Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC141	349.0554	3415.13927	1301.53092	2400.2142000000003	22521.40084000002	1440.49242	10695.84314	4627.546609999999	1680.35596	4834.849720000001	3004.7082	4267.570030000001	8426.00253	1622.6409	2602.3168	13156.066339999992	2884.85268	97.8568	414.273	201.42383	2407.6761599999995	1747.0688	472.1664	561.3828	1970.7253	1313.8002199999996	2709.7420999999995	6613.344229999999	2611.36051	6057.809669999999	7716.929749999999	4908.469700000001	2646.586590000001	9104.089649999998	5592.676350000001	10582.866430000002	1348.3754000000004	2295.77381	6074.982149999997	2126.9600600000003	1774.9404999999997	430.5859	6859.545930000001	16122.52061	15272.858430000006	5873.003360000001	19526.95087	7613.630700000005	2438.5371100000007	1823.95149	965.3823299999998	2746.5723000000003	1844.2357	2558.64593	1112.1758	5208.02028	8833.486700000003	25420.745439999995	13571.096710000009	5219.27675	4840.457809999998	3315.9606500000004	8568.82567	2797.12451	2158.0849	8208.11682	2491.942699999999	1742.6970899999997	2472.4836	7243.044589999999	1791.3406000000002	1422.4898999999998	7080.657900000001	6318.075339999999	8779.885989999997	5680.53476	11035.301460000004	5354.6648000000005	2628.2324300000005	6714.366900000001	7769.649980000002	2836.12409	1220.9009999999998	3171.0708400000008	2861.8366	4162.952120000001	1967.94185	16922.609770000003
TSC142	132.1585	2471.114089999999	1121.36975	2729.20957	26922.554929999995	984.97731	13847.034749999995	2188.2282	2083.5418000000004	2416.0793500000004	884.6011000000001	3205.25488	8507.89415	169.829	1807.76093	14230.223340000004	3025.2922699999995	72.62180000000001	1693.9709	778.6563	1730.9248999999995	1399.8642999999995	418.45685	398.5565	1121.9489	1355.30394	2254.37985	3739.0878	3600.9290800000003	5517.17907	6181.1688	3352.215	970.14776	7795.68245	7321.458230000002	10086.46769	1241.6882	2859.8572800000006	3222.8757199999995	2098.78734	1481.3165999999997	1002.6505999999998	7496.87518	15131.647009999995	13057.025769999997	5061.9148	21602.5349	4781.77235	2291.2128	1602.88746	1706.8808	822.4968	1923.96848	1423.0417800000002	2854.7247999999995	1496.84795	9119.13461	18044.996840000003	13489.408310000004	3400.6935900000003	2086.4262000000003	1767.2273900000002	8710.954510000001	3569.0446	2565.0761	9844.744019999998	1493.0796	1860.18903	1122.80259	5138.26694	2242.6582	1998.1932	8240.1383	4563.530299999999	11789.142449999998	5102.89452	10735.552580000009	3129.63239	2361.8948	2951.531609999999	7851.453169999998	2518.16719	1113.03046	3141.98523	3289.326600000001	3398.236	1176.69447	18359.03527
TSC144	363.01122	1575.4624	1297.3029300000003	702.1910600000001	10143.11969	367.0911899999999	5419.4604	1438.5421600000004	1401.65584	1516.6811	498.6688000000001	2903.46978	3745.26063	844.5388	1650.90342	7633.65496	1209.08164	183.7607	787.5727	429.0243	882.7858199999998	859.9117400000001	433.04015	1177.9533400000005	1730.55426	967.25251	1555.7127	2319.26242	1862.38103	4131.871409999999	1462.56103	1193.9671999999998	789.34999	5616.633229999999	4799.06839	5279.538420000001	677.3426500000002	1341.7592599999996	4387.133570000001	1390.3527500000005	939.2057	381.56044	4924.186699999999	6982.853459999999	6903.568120000002	1125.19213	7895.320530000001	3369.9114600000003	1311.3408800000002	648.7491	1434.6369000000002	743.6937499999999	1203.1749200000002	1160.6326599999998	1174.6797	1642.4027399999993	3462.42563	9446.27086	7038.453419999998	2066.297920000001	1461.7148299999997	1143.63317	6348.076489999999	1648.139	3040.96633	2490.15439	1897.787549999999	325.9128	650.1642699999999	3289.488009999999	634.1703600000001	1097.11985	3342.0437000000006	2712.7772400000003	3830.567300000001	3425.2511600000003	5051.602270000001	1439.33377	996.80958	1495.43899	3955.5069900000008	2036.89757	477.79887	1314.81152	942.6114199999998	1147.9441000000002	640.4838000000001	11308.303109999995
TSC145	352.0155	5699.677899999999	1309.3816	2278.7656	36441.30201000001	2198.3037	15254.688680000005	4455.6545	2017.63388	3776.4282000000007	1204.6629999999998	1869.1456000000005	17532.778189999997	141.157	1646.12266	18913.54739	3956.11676	0.0	1930.2779	22.6727	2245.4106	1486.3771000000004	0.0	248.7888	2533.13464	1474.9870000000003	3509.8396	6252.750199999999	4720.51645	5530.3611	4021.7690000000007	3556.7380500000004	1253.2925999999998	7138.169069999999	10354.03047	10420.016959999995	3463.8627	4421.7556	3038.00299	2093.57413	3194.7869	174.1458	11187.35402	16383.57465	19745.89388	6264.532400000001	28628.74331	2401.9675	2014.1657	1301.1603999999998	839.3067999999998	1642.7767	1199.6454	1514.909	3512.8908	3670.6137	9504.93377	24450.30337000001	15059.183919999996	1981.0511000000004	4219.242200000001	2389.82678	14023.143899999995	4332.6075	3219.098	14503.02421	2697.40275	2646.9323	1277.1540000000002	6509.1661	2768.11667	1506.6461000000002	5168.809000000001	3072.99603	13521.21431	4659.958500000001	13845.83602	3993.51015	1908.6781100000003	6679.317000000001	13323.49056	2070.7290000000003	727.4953	2237.13331	1583.9597000000003	2759.80544	1454.2954	26679.914639999988
TSC245	410.2551	3510.4421100000004	1894.2751	2600.5758	20409.591680000005	767.1467	13065.611990000005	2206.6024200000006	1857.1781	2358.657109999999	519.50008	4398.177009999999	12544.678149999998	1268.7067499999998	3784.74155	17981.590080000005	3713.63231	85.6565	1577.1278	462.50904	1272.4302300000002	1276.4255999999998	904.6772000000002	1192.9642	1956.66165	1570.1928	2209.8778	5963.806809999999	3471.5881300000005	5006.82417	5408.499529999999	3459.1125	1801.9381000000003	10759.581869999996	9449.58326	10756.894429999998	932.6928	2578.2814000000008	3596.0746300000005	1799.07336	449.7784999999999	1105.1299	11692.498899999997	18584.99721000001	13292.8052	5561.612119999999	20233.00164	4772.538379999999	3458.83336	1367.1869	1964.38076	596.9857	1617.16426	1997.9586	1877.5472	4842.09514	6648.88124	27491.15402	17302.200659999995	4357.87296	4682.212079999999	1976.8322	8538.47052	4435.186420000001	2874.7955400000005	9516.676539999997	2355.23559	1412.7137999999998	1573.7158299999994	7824.39471	638.9476	891.34207	5878.120499999999	2571.93931	7765.346000000002	6676.612939999998	12491.081979999995	5277.53132	2924.543	3228.9501700000005	8161.644269999999	2746.15894	1244.84262	3173.0340200000005	1763.4063	4493.884209999999	2596.0371	20190.580849999995
TSC246	217.5774	2960.041640000001	1928.19138	1482.2779799999996	21241.97651	719.4396000000002	13178.789010000002	2361.18321	1498.35421	2647.37915	502.64623000000006	3357.5818000000004	11286.767579999998	722.6310099999998	3663.73868	20210.376440000007	1814.15988	203.4196	2448.87262	693.8657000000001	1427.2332	1387.4267	485.9157	934.41227	2187.37258	1175.76034	3940.0409	7789.50369	4143.86807	3698.458019999999	4460.936340000001	3355.02007	1044.1932800000002	10040.38457	7893.366089999999	11256.34485	1178.4225	2470.51028	5559.30803	1880.84021	190.80145	861.6827	9905.89594	14561.43557	12236.850050000005	5716.345810000002	16138.52654	3774.62103	3408.56214	1831.58049	2095.72513	545.9823	1771.20763	1574.8328	1257.46356	4431.866060000001	7370.4954	25546.79461000001	17356.95966999999	3915.4229099999993	6387.687929999999	2139.643560000001	7127.084389999997	4421.865519999999	2369.56597	6427.286680000001	3933.39758	1257.3769200000002	1458.55384	7487.598959999998	777.13748	1077.32578	5346.793869999999	2187.05941	7166.93049	5178.944959999998	9413.63542	2918.54825	2932.34279	2655.0239	5573.4989099999975	3267.3458599999994	1103.9750299999998	2330.21054	1905.00765	3578.6664900000005	2289.8356	20999.07951
TSC247	441.45201	2338.22149	728.5465	1378.0364699999998	11833.728879999991	325.98973	5107.427960000001	882.9812299999998	865.2933699999999	1252.26348	460.5019	1109.6769600000005	4479.058990000001	764.1014900000001	1188.91508	9217.28272	1099.49811	502.84621	563.1994500000001	405.9904	642.79381	523.72966	188.3141	805.3683399999999	1296.07261	970.4161300000002	1344.37899	2281.476080000001	964.4692299999996	1806.4049299999992	2009.3736300000005	940.2459	666.47091	4411.906200000001	4059.6247600000006	3940.34336	323.3723	585.5740599999999	2079.91959	1170.95123	442.4821	149.40956999999997	5065.245790000002	7556.138310000006	6488.90236	2249.0705300000004	7483.0856	2296.3029000000006	1444.2446600000003	497.84451999999993	402.7406600000001	1076.8123	494.41028000000006	624.2286299999998	640.77909	951.28749	3165.911940000001	11540.95602	7892.547820000002	2121.39512	1880.20327	1519.88429	5270.354159999999	2066.05036	2081.30401	3300.4717799999994	1027.57136	273.63452	858.9370599999999	2651.3714600000008	443.75691	724.7385699999999	3411.54611	1521.40685	3527.4344100000008	2966.562749999999	5579.24084	1513.47838	999.3861	1514.1228099999998	2885.3737400000005	1748.48475	650.03071	1660.31648	714.6736700000001	1146.5848200000005	843.1633999999999	10030.73355
TSC248	803.7381	2056.06671	789.9517	2179.88769	17907.939100000003	616.3884	10707.145579999997	1795.79463	1476.2988	2537.95494	965.531	5896.5732	8934.816330000001	483.0577	3362.2104	14203.44277	2780.81893	313.6112	375.19924	250.2296	1883.0854	816.6285999999999	505.8948	798.9924	1858.4473	569.82368	1397.9156999999998	4165.429070000001	3046.22964	5489.15962	6633.59078	1692.90657	875.6145399999999	10367.064079999998	8035.62823	11229.853489999998	758.6806	2834.4765	5512.258469999999	1424.0585	164.96453	1594.68661	5539.380169999999	14283.983880000003	13940.02416	3817.39956	20300.96297	2308.11977	5054.731750000001	1953.6587	4182.3211	220.6055	1372.69177	2399.9307	1505.00384	3150.645570000001	6004.9055	22252.33331	14499.027940000002	3520.605060000001	2839.985010000001	1066.15524	3648.172279999999	2622.8277800000005	2216.218199999999	8618.74367	2995.72885	1145.35946	2386.88683	6025.54256	945.1532	922.8924899999998	5991.24367	2977.3976	8080.651279999999	4293.04115	8903.421519999998	2759.0780000000004	1011.61892	1751.5654699999998	6525.451569999999	2160.74097	1103.88634	5143.47548	1876.3571000000004	4051.59528	1628.7228600000003	17981.26451
TSC250	483.0969	3318.0163	1369.50129	2285.32149	17790.19226	1409.72288	12248.631869999996	2535.55583	1387.2502900000006	3197.11583	1118.4951299999998	2741.2855	7383.939990000001	483.75724	2406.95187	13647.73	2591.54722	229.6941	998.95539	390.5775	2178.7292	1763.2167299999996	657.5191000000002	1112.1975	1439.8540099999998	900.40957	4644.055249999999	5209.931369999998	3261.90195	4450.367399999998	3776.236179999999	2542.5312000000004	857.9068399999999	9641.59469	9104.321780000002	11527.76235	1659.4447	3371.6673400000004	6337.49234	1744.475	363.06269	1641.5540999999998	8246.71187	14944.210009999995	10341.037889999998	4521.6552	15644.249700000002	3236.484870000001	3714.91209	1664.0786999999998	2011.05653	1726.9685999999997	1004.67238	2053.3564	1942.6957500000003	4401.381580000001	7369.231609999998	20726.754450000008	11534.65909	4727.68169	3510.0329999999994	1313.4788	8671.885460000001	2664.97957	4138.999970000001	9481.079030000004	3717.5581200000006	1329.85551	2379.031970000001	4831.2637300000015	860.0865	755.2556	7819.994499999997	4070.08329	7719.494839999999	4748.607870000001	6774.637659999999	4650.669810000001	2379.7107100000003	3363.10949	8101.089759999998	2272.93682	636.5572599999998	2184.89821	1912.3757	2476.3174800000006	1949.7781999999995	22838.73471
TSC251	374.7905300000001	2611.47878	1380.7708999999998	1878.0811	17880.824609999996	2578.66259	12509.179040000005	5030.825699999998	2114.8555900000006	3658.9156	901.12875	7585.120700000001	7957.885429999999	3340.9351000000006	3497.5983999999994	18273.26171	3413.86142	315.41220000000004	1837.59383	499.8166	4301.6375	1900.08473	437.67808	1364.48633	2907.82288	1535.50352	4172.958979999999	5773.997729999998	4479.716570000001	4813.131260000001	3783.563540000001	4152.31831	1420.4537	11483.587070000003	7238.52936	13168.557330000003	2989.6833000000006	4601.64535	6291.7844700000005	2636.2436499999994	1307.83289	1999.54283	8872.873820000004	17004.66824000001	11331.247330000002	4703.866019999999	18754.50694	5985.24377	2713.4189999999994	2409.7761800000007	3007.9117	2509.4459	1253.02694	2783.0138700000007	1896.60513	5385.032199999999	10672.254250000004	23993.58266	11869.258550000004	5640.40524	3995.98301	3680.48778	10787.605130000007	2761.9825599999995	3409.783900000001	9819.52562	2969.64156	1673.1726999999998	1927.8371	7146.4857200000015	1988.6649	1620.90512	7886.350970000001	5059.747609999999	7875.31852	7209.380080000001	9850.717650000002	5144.217680000001	2392.97913	6078.451289999997	9247.32054	2378.8142	1791.1422	3119.8314199999995	3396.381639999999	2840.5716700000003	2397.0599	18950.67051000001
