"Samples"	"AcnR"	"AgaR"	"AmtR"	"AraR"	"ArgR"	"BioQ"	"BirA"	"CadR-PbrR"	"CblR"	"CcpA"	"CsoR"	"CueR"	"CzrA"	"DasR"	"ExuR_UxuR"	"FabR"	"FadP"	"FadR"	"FixJ"	"FnrN_FixK"	"FruR"	"FUR"	"GguR"	"GlcC"	"GntR"	"GulR"	"HcpR"	"HexR"	"HisR"	"HrcA"	"HutC"	"HypR"	"Irr"	"IscR"	"KdgR"	"LexA"	"LiuQ"	"LiuR"	"LldR"	"LtbR"	"MerR"	"MetJ"	"MetR"	"MntR"	"ModE"	"NadQ"	"NagC"	"NagQ"	"NagR"	"NarP"	"NiaR"	"NifA"	"NikR"	"NmlR"	"NnrR"	"NorR"	"NrdR"	"NrtR"	"NsrR"	"NtrC"	"PaaR"	"PdhR"	"PdxR"	"PhnF"	"PhnR"	"Phr"	"PhrR"	"PhsR"	"PrpR"	"PsrA"	"PurR"	"QorR"	"RbkR"	"RbsR"	"Rex"	"RutR"	"SahR_SamR"	"SdaR"	"SiaR"	"SoxR"	"ThiR"	"TrpR"	"TtrR"	"TyrR"	"VanR"	"XylR"	"ZntR"	"Zur"
"GS1"	"-1.2455105559593491"	"0.5173237878853634"	"-0.3767592778973974"	"-0.471096067894047"	"1.9206756480040514"	"-1.1131797601630833"	"1.0507024348559781"	"0.057511766467479575"	"-0.6233210120304431"	"0.21334454733158026"	"-1.1411314285367862"	"0.5050393634341841"	"1.1115152722394175"	"-1.2842539878145782"	"-0.3854211573303701"	"-0.20206742747252093"	"-1.3852841310905166"	"-1.0066865483975178"	"-1.8588913641740943"	"-0.48411193152128895"	"-0.5462441610349025"	"1.5732412915744298"	"-1.33390577991395"	"-0.7029356084553413"	"0.05591739245507377"	"-0.8577035663480324"	"0.061969420649925055"	"0.49430218197227305"	"-0.005720027184487719"	"0.6545964142562735"	"0.5896139378697018"	"0.24459625700086818"	"-1.0520476626455402"	"0.9087102982954587"	"0.6560085830539588"	"1.3272532979318736"	"-1.6719977012412262"	"-0.07254827723973278"	"0.32265352164048267"	"-0.29915705388422253"	"-0.7475626393045545"	"-1.44331270242553"	"0.9046998183565673"	"1.068797988627205"	"1.5747109778889907"	"0.2850972935560936"	"1.3326280308000023"	"0.4266628705731268"	"0.1386178696893463"	"-0.664865569301222"	"-0.20333963008094535"	"-0.9365690113527751"	"0.11737037080517254"	"-1.344546991730141"	"-0.5256277158727141"	"-0.054380022660422966"	"1.0116656071281085"	"1.8669673955469275"	"1.4540951950144034"	"0.3091931167180775"	"-0.1542705345076829"	"-0.6245207820938479"	"1.0886835315750059"	"0.14291068648207883"	"0.13267077774802516"	"0.5843617056177379"	"-0.14022958948101127"	"-1.0730247213886326"	"-0.32045277831960917"	"0.4669106095989779"	"-0.6701784694820407"	"-0.8128165968051846"	"0.45083950686014695"	"0.41880021370353404"	"0.8431273452115047"	"0.27355964475624894"	"1.1815590301034078"	"0.45326125748990975"	"-0.19266813214124134"	"-0.4320365904211876"	"0.5729847465583813"	"0.05033055853247426"	"-0.7614766934725292"	"0.025477114898205144"	"-0.7457195975579509"	"-0.4127436836817111"	"-1.052763187339897"	"1.9921214468923356"
"GS2"	"-0.8801857229387089"	"0.4186094734198953"	"-0.2608440977013853"	"-0.2885917324004925"	"1.7767627726311659"	"-0.9230080416029303"	"1.035038237239947"	"-0.14366680545960797"	"-0.4197669068507839"	"0.29543789741299875"	"-0.7869435581293924"	"0.5925308946206727"	"0.8720708412034615"	"-1.1680683331843777"	"-0.3991231815826328"	"0.05236692414345079"	"-1.4878878121447343"	"-1.0639896242421845"	"-1.5485870619234081"	"-0.6689910115989157"	"-0.5234410498927229"	"1.465429975991766"	"-1.4107141020370335"	"-0.7745545535381453"	"0.1963924687691616"	"-0.9299934376572789"	"0.02793290018608552"	"0.35091986368464667"	"0.09851727562586632"	"0.5460242845065544"	"0.5049410801940102"	"0.0804328348926564"	"-1.3041517781708691"	"0.9119113655624176"	"0.7146157207153827"	"1.344778697492643"	"-1.671571932534036"	"0.09461150077309277"	"0.23379601619618917"	"-0.2606060818845908"	"-0.41594443245784163"	"-1.3272980435971071"	"0.8390865847401034"	"1.0405066434906534"	"1.4957527503894372"	"0.023176596535241956"	"1.3034276390252248"	"0.3258736239455402"	"0.16268632816297135"	"-0.8803045674773298"	"-0.3792366084809746"	"-0.7582420263143295"	"-0.06352549398769902"	"-1.2016774622483375"	"-0.2877824304341665"	"-0.14542030274764173"	"0.8794004365197878"	"1.6917198222213958"	"1.3175160923285532"	"0.45531640934879647"	"0.24596670261616538"	"-0.5560793964182871"	"1.0766334704176064"	"0.016688926637744572"	"0.07548233309512575"	"0.34069311087933585"	"-0.14079134128216353"	"-1.134197759581939"	"-0.6357413967738097"	"0.7010423318517613"	"-0.7405024453133322"	"-0.5418725101001378"	"0.4555906357155255"	"0.5360261054075348"	"0.9013941428043921"	"0.5288810970437279"	"0.9787628800416375"	"0.45273420416141796"	"-0.5075787253846187"	"-0.5099701901679641"	"0.5068929212821978"	"-0.009617441932613602"	"-0.7120284525744509"	"0.13577040403231067"	"-0.9272995432987674"	"-0.19982281130302937"	"-1.0818416435848839"	"1.9713186329795462"
"GS3"	"-1.0200209730370968"	"0.5417443449822326"	"-0.1383205768670024"	"-0.3345979200832563"	"1.8252483142632911"	"-1.0553340828018953"	"1.1101980768481425"	"-0.16924552242120328"	"-0.36357118015055967"	"0.3104924578538881"	"-0.7379903861781543"	"0.3909608441503778"	"0.9679904298823114"	"-1.180058119107418"	"-0.41736028918829504"	"0.11618201822903984"	"-1.8790205730356888"	"-0.9179344240417588"	"-1.6834211684741671"	"-0.7874874876561488"	"-0.5227489451174385"	"1.4637374697448227"	"-1.4583859408687836"	"-0.7944411648532554"	"0.21412416321067873"	"-0.8638897757050792"	"0.07774909363815041"	"0.3659353518392656"	"0.14527652992691387"	"0.5186250720407966"	"0.6115860557777104"	"0.18768274039804744"	"-1.3435287329102383"	"0.9080673034574662"	"0.7625507533058293"	"1.3795798157462968"	"-1.6127815238018286"	"-0.11683829389404465"	"0.2571487109127517"	"-0.26391756771626973"	"-0.5228860683350884"	"-1.22114935653312"	"0.9057714325866382"	"1.052738267605207"	"1.532664701374106"	"0.038604405855748425"	"1.3387768482643114"	"0.37671095709666425"	"0.1405589077495133"	"-0.8078320527903333"	"-0.3617115262791675"	"-0.8547889320203463"	"-0.10075273637557558"	"-1.1512585145874645"	"-0.40206743217929386"	"-0.07731981146677391"	"0.8011224337091569"	"1.7605013864007386"	"1.326343756550001"	"0.3435025215023444"	"0.17791223820570323"	"-0.5888650940540217"	"1.1541943455100725"	"0.03704505826832083"	"-0.0519106859914249"	"0.4596018797734498"	"-0.07969612579625007"	"-1.1857000793805295"	"-0.6573890276863441"	"0.72706697789482"	"-0.7112043006711737"	"-0.5395960652394294"	"0.40963125661983923"	"0.45698375146145054"	"0.9768491168567373"	"0.5437829556078437"	"1.0819639354633743"	"0.289821140394519"	"-0.3597804474582471"	"-0.5408440558514833"	"0.5157583396414918"	"-0.02781844416320922"	"-0.6350200953761718"	"0.1124958185661793"	"-0.8366710241180506"	"-0.13524569321786117"	"-1.1879668871640554"	"1.9830871254786722"
"GS4"	"-0.8827434291250835"	"0.43216132554923803"	"-0.24573697886718016"	"-0.14379794574295524"	"1.8323784277066988"	"-1.109853612492122"	"1.0750245180614044"	"-0.1426071852477815"	"-0.4788517546420348"	"0.31054166545240847"	"-0.7944665707682592"	"0.4331593875800479"	"1.0474182805466565"	"-1.1687264287707002"	"-0.3480626130142479"	"0.09687337922059669"	"-1.7846617965627658"	"-1.0404278110680494"	"-1.6457265481720764"	"-0.6486592859802514"	"-0.5885590925779987"	"1.5026323669853472"	"-1.3093508540174685"	"-0.829574501303469"	"0.12882319177553292"	"-0.8188920817259415"	"0.007723460529174275"	"0.3353050131404629"	"0.00754037036439037"	"0.4671668014675969"	"0.6292260857393455"	"0.18823710349570177"	"-1.1743230270661922"	"0.9449028920277698"	"0.7317415317243601"	"1.36422901989161"	"-1.6608959009667554"	"-0.03634791509546531"	"0.2692499781177382"	"-0.2940656676766835"	"-0.5148952781879501"	"-1.3181123197980789"	"0.8972264886293075"	"1.0870540407500542"	"1.5711176525633714"	"0.18227412086329053"	"1.3294432929689606"	"0.3488299970487958"	"0.22752489571475465"	"-0.8854470164822601"	"-0.3230102142022435"	"-0.7785647829132198"	"-0.17148339411633629"	"-1.400370499056061"	"-0.45897193249809654"	"-0.16915498458898348"	"0.8527217633315853"	"1.7565900420255023"	"1.4042602222160045"	"0.30065639886950635"	"0.197125759027319"	"-0.6320230182044533"	"1.0127021527192674"	"0.05230168001113"	"0.04095371685406057"	"0.4242824705078512"	"-0.01676419787893657"	"-1.23745430033828"	"-0.46725520886883665"	"0.7212146630068084"	"-0.7598345513408837"	"-0.580803975810193"	"0.517387115614353"	"0.4716814338939095"	"0.8517416634562736"	"0.45583740775713544"	"1.0968755144957747"	"0.3813557612531717"	"-0.3123629184077963"	"-0.4943790363062792"	"0.592480483567634"	"-0.042530223961634306"	"-0.8334101413778576"	"0.16918570625453278"	"-0.8875068269570505"	"-0.13284173960635215"	"-1.1819842355903045"	"1.9983325545991182"
"GS5"	"-0.9155913619934548"	"0.37698867108640677"	"-0.3415885508595675"	"-0.12230300917749304"	"1.812136088445401"	"-1.2296429380323666"	"1.0428467903777658"	"-0.14370738121868776"	"-0.3639418330381581"	"0.16975644775138043"	"-0.8236683433560952"	"0.5432725375301981"	"1.0232319283737095"	"-1.1543465397202741"	"-0.4224404140873794"	"0.05372767435284587"	"-1.4848692214926622"	"-1.0153244214622408"	"-1.471151123653394"	"-0.678637052009865"	"-0.5014264302528044"	"1.4470747797303805"	"-1.257535794673414"	"-0.8589162161326431"	"0.1902929996430398"	"-0.8766405443527834"	"0.006647595741252843"	"0.33312955044601367"	"0.00293404711569778"	"0.4834814237070191"	"0.6372633554256755"	"0.0649351638449911"	"-1.3270765343968804"	"0.9151488705094764"	"0.6103769809439683"	"1.32807053143212"	"-1.3919031010370464"	"0.03572108893346204"	"0.3940088914128701"	"-0.250224599808444"	"-0.5969089444976614"	"-1.2124206962221749"	"0.8294008529219727"	"1.0125134485123777"	"1.536524722617422"	"0.20026902765499344"	"1.251185005355067"	"0.3444487711517912"	"0.21823165243857368"	"-0.9032967195782522"	"-0.2936843423787536"	"-0.7858240921971245"	"-0.1771434518699273"	"-1.2879895184438581"	"-0.4037331357620584"	"-0.1603861327036249"	"0.8819022557479581"	"1.6824547846031237"	"1.3715272291933296"	"0.3895255414818237"	"0.2570215710972441"	"-0.4509027949558799"	"1.06741111378326"	"0.019871430960272107"	"0.17740483719768108"	"0.32113984341675206"	"-0.11803534432611684"	"-1.1958018546126645"	"-0.5079700088541639"	"0.6285042623789749"	"-0.9724091992172958"	"-0.543647576007217"	"0.3855320462623304"	"0.43392550936306407"	"0.8183591657427929"	"0.5486350322798863"	"1.079879212024581"	"0.46395027789419707"	"-0.35381076027639935"	"-0.3891651665196978"	"0.4897904066587948"	"0.00879826867116762"	"-0.7452183790389526"	"0.1706142823033634"	"-0.9686282259511731"	"-0.3310537302136378"	"-1.0042084846242094"	"1.9733080004900483"
"GS6"	"-0.9330778534735149"	"0.4839740050219845"	"-0.30137320279791346"	"-0.22969918348884555"	"1.901581893253951"	"-1.128903581749375"	"1.1289787912358378"	"-0.18581301259052374"	"-0.4643104441243775"	"0.3235979150737638"	"-0.8325564789202016"	"0.4295227054403714"	"1.122445651534166"	"-1.2073819573983027"	"-0.4693223336855983"	"0.0733639913443973"	"-1.6567183435793105"	"-1.1052604066040672"	"-1.5988757126851816"	"-0.7958077400737267"	"-0.5900217147764089"	"1.5012240808252475"	"-1.4837775901516732"	"-0.8523344106184503"	"0.15765781799535894"	"-0.8519078747551099"	"0.007395303204972947"	"0.39102144407498685"	"0.07757032455929824"	"0.4954182967220788"	"0.6063512347552944"	"0.1818063703404995"	"-1.3477096615642328"	"0.9368009234063361"	"0.7361846373852572"	"1.2995173600127412"	"-1.637097664538942"	"-0.030769102817460592"	"0.259773660861919"	"-0.4634039121406097"	"-0.6397850549318509"	"-1.1093145071657151"	"0.8915168578380346"	"1.1429820578468632"	"1.5774975244770406"	"0.149799076747831"	"1.3980915782899181"	"0.29538214398177587"	"0.20644016245201158"	"-0.9004155787607875"	"-0.22129074592027465"	"-0.7093370345117318"	"-0.03766408954155054"	"-1.3124178680378424"	"-0.4202348997359948"	"-0.123891808641444"	"0.8983162173276291"	"1.7946588320581593"	"1.410593245365332"	"0.3084647400972802"	"0.12959517884817018"	"-0.6158450485384073"	"1.1124537912751684"	"0.10011429119794002"	"-0.028438419795195458"	"0.4834227544119116"	"-0.02681289581541435"	"-1.1115847165326933"	"-0.5345735655641999"	"0.6370879375291807"	"-0.8237462474738972"	"-0.6330129747892173"	"0.4589922500326331"	"0.5010782204055406"	"0.9488991791609038"	"0.5049764775979231"	"1.149793887965755"	"0.4870190977877584"	"-0.36231781831533105"	"-0.46431325433565185"	"0.5440699637921593"	"0.07354077257022773"	"-0.8121852792912367"	"0.20519734376402177"	"-0.9555860377960297"	"-0.31401533037231744"	"-1.2050878219667815"	"2.0038231904978403"
"GS7"	"-0.9776433862338241"	"0.3938814368070158"	"-0.20829021015615368"	"-0.361919522015528"	"1.7415047729263424"	"-0.8599402480136131"	"1.027690398537624"	"-0.09335700112467826"	"-0.3864147814721477"	"0.269625971941279"	"-0.8787451855870216"	"0.47931809519919355"	"0.8508068824080759"	"-1.036381579675961"	"-0.3533208996764099"	"0.030434958292902436"	"-1.7716198212774312"	"-0.8947298512822766"	"-1.4092601439376065"	"-0.5133415270834014"	"-0.3508993562389229"	"1.472741081058448"	"-1.488727762688013"	"-0.5753767472035101"	"0.22514076791302529"	"-0.8435406842945721"	"0.15824192660098113"	"0.3454849266993598"	"0.009394739340127245"	"0.48096759112458365"	"0.523431429556755"	"0.11780961698455172"	"-1.1902723975298262"	"0.8722521774718945"	"0.7143468984403505"	"1.3086961257140022"	"-1.5443718124454477"	"0.11731525388572273"	"0.36311317888554484"	"-0.3776896257468838"	"-0.5805042955939061"	"-1.2162620444160979"	"0.8368796441375697"	"1.0366547154795924"	"1.5183410733209861"	"0.08462700469575957"	"1.298115722677636"	"0.27684652133930143"	"0.1516254376988524"	"-0.7950617531952826"	"-0.3487590147029902"	"-0.8313616010497675"	"-0.16757131535141845"	"-1.2702717576272544"	"-0.3341810208560485"	"-0.10072507495571337"	"0.8197373540539346"	"1.7078200841215665"	"1.2891312763536558"	"0.3656656038669315"	"0.21647821628785913"	"-0.5778094643854281"	"1.0859431167210545"	"0.020845365042470476"	"0.08690654175296864"	"0.3558000816245013"	"-0.19000785261715336"	"-1.3785189238409323"	"-0.49159593588105466"	"0.6638211582904052"	"-0.6713916096338952"	"-0.5104470940782377"	"0.4495854765112508"	"0.49712280248599505"	"0.9487291239316136"	"0.5677665723092513"	"1.0358018767948636"	"0.2562143426724024"	"-0.43751777814790493"	"-0.37913270638545526"	"0.4640113569960267"	"-0.03434673015795653"	"-0.8074618588579376"	"0.14469835273739484"	"-1.0186754104111309"	"-0.23345352283721432"	"-1.1365261078045759"	"1.9460583647790521"
"GS8"	"-0.9631557577388019"	"0.49651232547770974"	"-0.1764803210195005"	"-0.15815648804690952"	"1.8375531872369368"	"-1.1343411822923173"	"1.1295891095792552"	"-0.1538098462862756"	"-0.3677463355229946"	"0.34880056993570463"	"-0.9088376113551782"	"0.4652630201394423"	"1.0523766179467557"	"-1.163641061282231"	"-0.460364413866996"	"0.04393291432020163"	"-1.8209565525122287"	"-1.2053648325567128"	"-1.4487432327473844"	"-0.7557696825676423"	"-0.5962500357895326"	"1.5587640931185796"	"-1.6386877042127548"	"-0.9422701383519545"	"0.07922011848061139"	"-0.7903416305012332"	"-0.005793754729351619"	"0.38078388867461044"	"0.09523625092707277"	"0.45499843110165017"	"0.5657191668450423"	"0.20033417125613084"	"-1.1376145526178174"	"1.0147809404545143"	"0.8600103835110371"	"1.3236835149728545"	"-1.6792927167644631"	"-0.1065347391595779"	"0.22085062541354183"	"-0.2647827522733266"	"-0.5606365030014899"	"-1.423476237962026"	"0.9196367437903135"	"1.1259035324258484"	"1.5392017951813255"	"0.10378649209220647"	"1.4901733772247763"	"0.322217097797564"	"0.18839179818877838"	"-0.7865017185566661"	"-0.2931875232058303"	"-0.8799937063854593"	"-0.13250462422335296"	"-1.3121647024821428"	"-0.4883700188025397"	"-0.13981739286501416"	"0.7944255754654694"	"1.8490367253090376"	"1.4092266850980657"	"0.274960945921487"	"0.14232914934232"	"-0.5457191895105513"	"1.055673447746166"	"0.1167044053781705"	"-0.0640731090592741"	"0.5300944630701192"	"-0.08535124772058289"	"-1.3210366486791703"	"-0.5345907690311247"	"0.7193591760571127"	"-0.7483761171859342"	"-0.5563987286546155"	"0.5193234490094021"	"0.4085384971004977"	"0.8635208549601856"	"0.4758978202855033"	"1.1221343148211957"	"0.3707830325650914"	"-0.31185446665054073"	"-0.39945451640980245"	"0.6868047936659192"	"0.03261856733664814"	"-0.7897162367309534"	"0.15781032841929843"	"-0.9219069183646464"	"-0.06013429836458606"	"-1.1201850090527596"	"2.007422627450085"
"GS9"	"-1.0106770356658341"	"0.43251394211093164"	"-0.24922653792115845"	"-0.203046097218186"	"1.8069973593978634"	"-0.9966288519839264"	"1.0513328976379732"	"-0.1277385279745431"	"-0.3825828666896154"	"0.329445074607861"	"-0.8778332797571498"	"0.5078765639548593"	"0.9525463120589297"	"-1.2096004967652227"	"-0.3679151538043772"	"0.04823163747375325"	"-1.624445682924879"	"-0.9649986746899906"	"-1.5462821641557678"	"-0.5059495622291248"	"-0.4305666478430954"	"1.5017291023812511"	"-1.391741858116026"	"-0.7846849115346224"	"0.10682656235318788"	"-0.8173185307526669"	"0.10569394228807205"	"0.3699507291847013"	"-0.1252438573918937"	"0.4714669355203309"	"0.5779060369620677"	"0.06341309357760139"	"-1.2521142957586449"	"0.9277860041604438"	"0.6082762809780284"	"1.3187359339532634"	"-1.4376129709991705"	"-0.005092270033454582"	"0.36487441828287714"	"-0.30314712584483594"	"-0.5595460793815121"	"-1.268834663069926"	"0.898431028615823"	"1.0718056212305545"	"1.5188828284789526"	"0.16181306788405792"	"1.2869942182582879"	"0.30188682628853414"	"0.2349503130280155"	"-0.7465794354015856"	"-0.3951710969730904"	"-0.8492100940695408"	"-0.22741419635176996"	"-1.3049737972133695"	"-0.4191969718914148"	"-0.039353750105094676"	"0.8868827213550539"	"1.7215145959881397"	"1.317604336452188"	"0.34531824793875465"	"0.18027790764819862"	"-0.460811404977564"	"1.0086948230237844"	"0.1287949315673913"	"0.04031974649127257"	"0.39573148828751137"	"-0.11886052925810553"	"-1.3144256112195762"	"-0.5789064796971903"	"0.67955818767099"	"-0.636396625100982"	"-0.5263652894748798"	"0.4703674035133858"	"0.5106024986038129"	"0.8629299753541719"	"0.4756722406582288"	"1.0858931251216166"	"0.33922759384102186"	"-0.3939262997193218"	"-0.5051599589298323"	"0.4762288239575003"	"-0.06547957231376067"	"-0.856446138042287"	"0.08502395614578795"	"-0.827092081135298"	"-0.19417627977209406"	"-1.1179209838534874"	"1.9896854037188518"
"GS10"	"-0.9105853602437382"	"0.4404299563709948"	"-0.2349785352992395"	"-0.24329584024354922"	"1.7619960188067285"	"-1.0025619541535828"	"1.0615342798019132"	"-0.16249977139179705"	"-0.4183604772847662"	"0.3060204799080015"	"-0.695754634382638"	"0.4809257511711742"	"0.9307258621515366"	"-1.0274426581376126"	"-0.36876600455394204"	"0.008158679442718864"	"-1.5271101225692902"	"-0.8551814038674994"	"-1.4294197541374754"	"-0.7722250876480157"	"-0.5322487264225018"	"1.4774594947111481"	"-1.366037113074789"	"-0.7167142977651366"	"0.1653304052784943"	"-0.9150417040654641"	"0.014138288638410046"	"0.2539113983604899"	"0.01678168638855304"	"0.5052037025696201"	"0.5762113050333308"	"0.22057698814434268"	"-1.184585328134684"	"0.9241355894256564"	"0.6629251676662644"	"1.3154379614519325"	"-1.697768347831829"	"-0.0022357251300508807"	"0.3005803027936018"	"-0.33960027598789466"	"-0.5049887977900465"	"-1.2308951738862746"	"0.8568974436442645"	"1.0348128260612661"	"1.506085324465504"	"0.1183228004117236"	"1.1729523330343188"	"0.3111392948636045"	"0.2503176914802392"	"-0.9201411784235045"	"-0.2991196013086803"	"-0.7055001679321631"	"-0.001154489794402025"	"-1.1300386689590045"	"-0.3384315328511782"	"-0.08457549658216124"	"0.856728581907241"	"1.6872045768127286"	"1.3448741675756004"	"0.342730896559889"	"0.16759580766351156"	"-0.6663706109297749"	"1.1398614237716167"	"0.057270927681438266"	"0.0572978688383774"	"0.28768378686244134"	"-0.10979211627073404"	"-1.2534667546994473"	"-0.5161745391310575"	"0.6123368225934325"	"-0.9584322667075007"	"-0.647903971177346"	"0.4568479574885025"	"0.48213992246693493"	"0.9284387590847683"	"0.5652693861829245"	"1.0456882071737752"	"0.31696700854885407"	"-0.47197238081460746"	"-0.46765417044595736"	"0.4155135013142992"	"0.002050836480183449"	"-0.720522709048101"	"0.23288082004197008"	"-0.7424613976617866"	"-0.38798070859344946"	"-1.081973286377794"	"1.9695708505860985"
