Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC141	0.0	90.7972	0.0	63.8621	3213.553909999999	0.0	946.8781	50.14019999999999	0.0	181.118	11.3577	10.8849	305.88755000000003	0.0	484.3736	674.82266	18.9085	0.0	102.0973	0.0	8.19263	0.0	0.0	59.525	0.0	219.0469	19.88523	411.77304	190.7607	149.3955	51.6853	49.82404	152.74990000000005	186.943	591.7201	230.25093	46.5672	223.5517	135.4158	233.5745	0.0	0.0	877.7631999999999	2332.71574	668.54259	112.12379	670.2288700000001	109.9272	111.6308	98.1559	105.278	111.3163	37.42079	0.0	105.278	766.1032	127.76569	862.5263900000002	959.26897	165.0869	11.6926	11.6926	576.912	61.5949	67.8447	419.36792	18.5292	135.325	0.0	121.2095	0.0	0.0	52.1712	290.2622	222.1367	403.3161	526.39259	105.7312	703.8661	313.18460000000005	402.4043	237.1691	313.401	684.95083	45.7292	22.2865	110.8206	875.0333
TSC145	0.0	246.7368	150.858	0.0	5527.99679	0.0	1016.96749	369.47550000000007	78.692	84.48089999999999	0.0	100.794	309.6583	0.0	537.4902999999999	1744.2473	80.12263	0.0	26.6821	0.0	223.1381	29.8309	0.0	128.93	105.3895	150.4454	95.2556	442.88360000000006	68.5486	156.3629	202.28103	0.0	18.3205	1201.59261	659.7123600000001	467.0349	0.0	0.0	320.6178	102.809	0.0	289.8243	805.8395	5284.843800000001	270.0769	105.9893	1059.8818	16.2981	89.3145	188.6505	89.24603	101.128	69.7783	135.1998	0.0	368.0967	239.5378	617.4766999999999	1392.0261	115.2727	90.6084	113.8417	504.7438	229.0876	58.8312	355.15	1043.5401	0.0	0.0	374.3326	0.0	0.0	1883.1574	74.872	188.50626	426.1021	328.24150000000003	103.5802	372.3373	233.0672	271.87971	258.2473	45.4145	678.3384000000001	89.3136	137.8295	89.3439	1022.30456
TSC245	0.0	2008.4111	87.1838	256.4938	1727.28943	0.0	1139.5521700000002	271.1469	210.6118	436.5815	0.0	184.3829	857.997	0.0	152.91430000000005	3421.00203	353.96626999999995	135.366	33.66722	0.0	195.902	114.939	9.62692	98.1408	0.0	36.2346	0.0	108.7695	82.71152000000001	166.58640000000003	814.4055999999999	34.08059	162.6719	301.30420000000004	886.55299	906.92253	0.0	460.03330000000005	484.51853	196.5029	193.078	232.224	2257.0641	818.8128199999999	648.76973	289.7309	3312.35592	217.4609	137.77159999999998	151.76556	106.3088	16.8954	71.1944	31.6951	262.7219	72.8816	340.4065	2404.18913	883.5389299999999	484.0827	107.0103	99.2698	1364.0653	313.0394	255.5969	68.08680000000001	101.9581	40.5653	131.8929	2290.3957	14.0439	15.9388	120.35926	2592.7192	1307.6811	235.61242	887.9828	94.9455	29.1374	273.1299	652.7456999999999	163.8	255.0576	114.7228	90.9857	469.7382	217.8527	3754.6369
TSC248	0.0	54.4427	21.5852	0.0	588.1951999999999	25.6243	153.55058	18.873	0.0	15.0549	18.5564	0.0	198.15756	0.0	138.262	1451.4748000000002	97.1232	0.0	6.01988	69.3027	1545.988	0.0	0.0	60.99	0.0	62.2693	2058.27435	83.5359	18.5721	187.99303	59.7965	154.72164	0.0	507.00118	491.16334	223.37747	0.0	500.802	165.48000000000002	48.47111	9.41713	0.0	392.61453	4631.3225	2314.58168	1953.50316	2864.45458	483.4544	33.0788	211.849	220.4662	13.1928	9.60628	413.023	39.2039	16.3438	1735.9874100000002	1181.2538100000002	496.07785999999993	202.119	60.4914	7.52126	126.3715	32.43488	1526.52593	208.86468	29.7634	20.9731	7.23251	336.53178	19.3656	0.0	3588.13338	0.0	97.0891	166.05849999999998	2032.264	162.271	147.24825	16.1592	282.82732	34.4068	0.0	62.2693	98.386	20.63601	76.42060000000001	638.42092
TSC251	169.7147	204.37744	92.3548	88.8761	995.6928	0.0	583.8174	22.349	0.0	36.03134	101.557	51.1219	824.4271	34.4489	705.5387000000001	1028.683	150.0849	37.5752	117.25	0.0	935.667	23.4878	23.069	27.5563	0.0	59.5743	12.9399	1290.7507	89.2482	452.96824	196.7361	723.5766	0.0	1864.9948	269.6825	2010.9828	0.0	582.5805	666.8906000000001	256.91701	36.4107	0.0	695.342	2648.3873000000003	881.5162	252.18964	623.37891	1056.7399	164.7205	132.9246	0.0	49.5946	32.021	19.9548	55.36061	112.1038	408.24894	1764.04821	2177.7794	1288.4492	25.7975	546.2999000000001	652.4401	548.8148100000001	226.4261	919.7369	532.4915000000001	47.3816	123.323	1346.9448000000002	122.242	286.4567	1101.0914	104.9898	96.9884	677.78191	335.50641	942.4597	63.9471	136.763	2029.3442	488.0569	31.9364	104.4512	267.742	375.231	66.78059999999999	2627.0888000000004
TSC254	34.3114	12.6941	0.0	371.3977	880.1445299999999	66.6453	406.34334	58.5079	65.5044	633.0236	82.6071	0.0	437.20255	0.0	76.48524	2058.06898	118.3711	105.847	31.4974	177.5068	753.561	23.0164	101.5744	121.0564	8.70139	54.73329	0.0	1442.7254	119.1386	161.93282	325.5037	202.2829	0.0	1341.3561	1598.4796	2100.9198	1057.37	623.2129	288.3204	411.2065	30.5662	76.5569	724.3295200000001	1000.50699	778.0977	714.3181400000001	1122.46364	755.474	39.4879	19.5313	0.0	46.64205	85.54832999999999	0.0	391.60350000000005	127.0582	1377.81413	2042.69213	1667.50028	857.0851	82.8255	0.0	901.05438	816.858	69.0466	611.5784	12.4115	73.2817	160.65220000000002	1465.48708	8.10238	103.7474	1435.23934	707.1835	65.1018	660.9868	503.97604	1064.05005	35.36814	173.58350000000002	1381.44583	1305.9256	1125.6337999999998	0.0	102.1429	146.35840000000002	29.5891	2194.74099
TSC257	46.2862	58.950500000000005	0.0	127.333	526.10181	0.0	510.17154	0.0	29.9524	70.51496	148.304	45.1559	397.37501	0.0	0.0	788.4875999999999	90.7303	0.0	20.5961	19.734	736.567	0.0	85.2376	75.75399999999999	65.0788	0.0	0.0	189.31686	126.2296	562.76446	276.9386	135.285	0.0	1972.9836000000005	677.66596	1944.0276	0.0	857.5885	139.0681	278.1741	72.0825	0.0	454.5202000000001	389.5152	534.0093	233.45696	442.76194	851.9101	99.7189	284.3105	0.0	0.0	134.18259999999998	0.0	211.8227	76.98570000000001	359.90190000000007	1929.16144	2210.6869000000006	1713.4368599999998	0.0	11.9149	784.2477200000001	1037.2252	132.5883	544.443	75.91720000000001	88.9818	135.285	884.5015000000001	106.2549	206.4664	744.7856	391.0611	154.66517000000002	196.02006	177.45451	491.5195	0.0	56.91623	696.2438	173.2048	324.87887	0.0	239.1006	21.7095	214.3069	2410.7132600000004
TSC259	0.0	88.84133	55.8555	174.8326	1559.2304700000004	0.0	787.0629000000001	0.0	77.3177	91.6336	97.5362	13.4656	859.5971999999999	0.0	611.5196	1481.28802	85.626	0.0	94.134	14.1323	140.2808	29.7263	299.363	0.0	34.0528	492.8636	31.8911	591.3671	109.37127	518.1149	126.79676	578.7792	342.511	3240.6237	640.3215	2156.9097	0.0	361.6901	621.6219	272.7383	7.87563	70.5143	1148.2765	831.18546	662.46793	265.9519	487.1776	59.4224	105.203	24.0037	76.2815	331.1267	74.89789999999999	212.6053	170.0035	397.2373	699.82853	3505.10276	3094.61353	2237.1620000000003	133.6756	202.6692	1075.6055	2011.1334	0.0	898.8844000000001	149.4212	68.9295	83.4329	999.8168	86.9797	88.4179	2092.4234	179.47950000000003	233.1054	1224.8474	1582.10527	390.8807	7.67423	271.349	1203.5794999999998	302.3954	44.0589	1823.843	76.2833	126.7517	25.87775	952.11053
TSC261	106.8136	102.6367	23.3333	257.507	2866.12962	0.0	492.34618	31.83745	57.3587	60.7115	86.2111	0.0	1291.6183099999998	0.0	11.7016	805.42919	424.73	40.097	0.0	163.83553999999998	337.93240000000003	0.0	70.0102	40.097	0.0	50.95835	7.46097	241.05379	55.00699	351.51199	275.9354	0.0	0.0	1465.5618399999998	790.7845699999999	1440.51483	0.0	43.549890000000005	216.4474	65.6395	56.5605	0.0	377.79372	920.74591	642.27584	170.995	646.3207	325.88120000000004	0.0	117.5978	170.59	221.66540000000003	99.5617	45.9107	12.1738	100.648	190.5973	2427.80936	1806.75585	393.7045	36.32259	0.0	710.4871499999999	934.6453	0.0	818.08636	177.4263	12.1738	0.0	1198.05623	82.07780000000001	140.5571	662.4911999999999	353.8405	61.10509999999999	116.52959	646.87203	399.52731	0.0	343.58014000000003	956.14375	626.1984	12.0233	157.6404	43.6717	17.8971	40.286	1071.27975
TSC264	0.0	130.277	0.0	76.561	785.8167199999999	0.0	240.9895	196.5905	212.24707	144.0507	30.477	107.6654	2239.7602	31.5466	234.4664	2419.08851	14.2885	86.5354	159.86	62.9994	155.2754	0.0	31.5408	1757.904	113.4351	135.5659	36.0053	235.78645000000003	22.8655	270.84175000000005	432.9078	69.9824	0.0	569.3511199999999	177.09088000000003	379.6971	0.0	150.56560000000002	388.87848	43.3465	0.0	120.3405	216.7031	640.7646800000001	323.62892	219.6773	435.85329	182.3333	73.5818	31.3856	0.0	149.5348	51.9591	29.9747	76.9412	255.18740000000005	349.28698	1263.63367	1076.8993999999998	394.8263	159.91402	0.0	710.21585	1852.3658	31.5466	424.54998	62.79871	29.1644	23.3686	117.21089999999998	31.1199	81.5117	1982.0292000000004	160.1938	213.1116	169.14780000000002	774.5563	143.8301	46.5631	58.680400000000006	148.0933	218.08932	73.0843	49.3228	0.0	0.0	44.183	840.4908
