Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC000	110.0354	3282.9184000000005	840.2904000000001	1435.3711	10974.61602	214.6745	5721.693780000001	1862.83954	648.4163	1631.9435999999998	155.7738	1420.6083	6543.628400000001	55.209900000000005	1773.2794	8912.384030000001	1338.2733000000003	61.8506	130.9949	204.71687	359.3921	1119.4704	109.2746	806.6352	1184.2824	1058.57668	606.0321999999999	1611.1885	925.9961	1419.6553800000002	3053.02395	1329.7046	408.5621	4893.62768	3675.3298999999993	5105.8631700000005	494.01380000000006	890.1276	2447.9344	641.014	1201.0755	634.7466999999999	4379.91952	9412.94157	6145.31593	2129.76803	9068.63216	1518.7475	1022.6900000000002	140.8324	524.35758	66.95009999999999	493.83295	892.3501	102.1345	753.6138000000001	2687.4952000000003	14271.93685	7816.8586	2373.0453	1616.6726000000003	663.4773	2021.5444	918.18625	1462.8660199999997	4158.15597	444.45283	378.8998	263.7913	2583.6911	15.6378	461.0455	3749.4297	554.8008	2499.3017	1683.7427	4014.65847	1561.059	447.3991	844.6704	1922.8500000000004	1422.7369	657.771	1753.8804199999995	690.0355000000001	1280.9104999999995	152.8396	12308.19317
TSC001	262.3666	1682.5522600000002	421.36376999999993	922.09944	10024.983439999998	180.0661	8077.13026	672.42208	670.7624000000001	1430.7808100000004	169.3931	607.9075	6955.79974	214.7375	1316.4483	8762.9358	584.0208	380.6888	228.1515	41.5215	678.5393	417.46227	66.6661	259.2651	848.6714000000001	599.5477	1289.4615700000002	692.4736	350.3713	858.0386	3705.96358	1255.4788000000003	245.23642	3216.71234	3098.6262100000013	2292.4774299999995	39.46836	600.3118	2097.55466	533.3983000000001	98.6899	715.7652	6183.628300000003	6348.837820000001	3478.2553399999997	961.7106	12352.712879999995	789.3449400000001	1179.0115000000003	476.6192	455.8447	96.4804	863.04284	487.1887	412.5535	690.0501499999999	2821.093480000001	12758.795109999995	7697.075719999998	3921.9299	1953.2385	2768.1676	2114.437280000001	2399.8593	1035.072	4548.44824	647.1544	219.2527	75.88409999999999	2186.6193	820.0182000000001	279.5667	2414.7878100000003	920.79135	2595.3516	1497.04057	2665.8407	698.0603999999998	760.4568	807.90904	2045.7423300000005	603.51716	0.0	1980.2881	1316.99604	1198.89151	312.0559	7467.596139999998
TSC002	14.9385	209.81136	138.99061999999998	664.0349	1814.6943	163.5887	852.60807	555.14547	176.9658	508.4038	159.55017	488.27985	890.7180000000001	94.3258	263.9381	2004.1039	12.1256	79.6431	137.365	33.9165	571.32338	114.7781	37.7396	176.38420000000002	763.99576	194.46410000000003	383.84107000000006	506.5609	317.2443	1089.6472	980.2428	205.51594	0.0	1215.669	353.0546	875.5234800000001	160.88807	482.6803	1218.6912000000004	149.801	27.7328	34.0543	1427.7868500000002	1973.72799	2395.711	235.0887	1971.1099	277.81043	484.3407	27.4606	41.6539	99.9009	422.4654	290.6741	796.2636999999999	421.4251	1132.1152	1961.88017	2842.14739	1281.5522	578.5346	534.8362	959.9963	983.1194	447.2464	638.64167	176.73039999999995	136.14139999999998	125.1941	540.3806999999999	73.4499	120.2589	1079.3157	499.0317	884.852	852.3582	611.8455	205.178	227.42	286.58067	1267.89662	362.18946	101.0606	858.28158	171.54515	277.5785	148.19639999999998	2629.6019
TSC003	62.9483	810.3847000000001	1033.4585	723.4018000000001	3506.6397	92.3655	3215.9389999999994	1954.07968	204.9496	1977.2212	53.485	591.4978	2704.1126200000003	132.4557	896.7679	2265.71919	484.256	31.7441	108.9192	54.659780000000005	401.0206	278.50550000000004	125.7827	61.822100000000006	545.3609	576.1836	614.8716999999999	687.9879999999999	441.0264	854.6837	1435.0829	884.2223	402.4907	1188.9216900000004	2524.507290000001	1271.94512	239.6999	325.4996	868.7754	212.9096	0.0	111.3905	3076.3927	2251.6948	3269.0854	1622.6099000000004	4072.36347	951.9277	1044.6378	104.7364	258.8437	585.4848	552.7263	665.5033999999999	151.4058	1467.8787	2056.3668	6943.767419999999	3475.7352000000005	1799.0638	856.2279000000001	317.8577	1789.4014	484.8989	501.3130000000001	1984.9253	287.7883	40.6052	224.5563	963.003	0.0	147.23149999999998	942.4006	677.8035	1950.16858	787.0326	2129.2925	552.29548	451.8247	1045.5238	770.2943999999999	413.2051	106.9079	1005.7446	329.60060000000004	1651.1861	73.396	3043.2497000000003
TSC004	44.8017	1310.4398	1744.6861	1297.12324	7444.60146	73.25336	5612.96634	1511.07939	588.4068299999999	1524.1591399999998	252.201	1668.01014	4736.8537400000005	1498.40288	1067.10805	10077.635020000002	767.4122100000001	74.4044	237.28228	328.58410000000003	608.1346000000001	624.6828	11.8818	964.52687	1030.23154	1516.0333000000005	949.13398	1089.0175699999998	1002.5111700000002	1215.3985799999998	2672.0162900000005	1565.97881	449.04727	5464.886099999999	3803.494740000001	5269.827580000001	247.45239	800.6458799999998	3593.1972	277.38519	92.7853	415.6636	6770.89444	6038.946290000001	5131.590880000002	2040.2076	8814.92043	844.12656	1765.9080599999998	302.5291	384.48846	24.8809	885.0169999999999	798.8676	369.6204	1022.8884	3765.083340000001	11732.001940000002	9171.896599999998	1957.25382	2020.1017	942.95144	2942.1054	943.84088	1358.1157	4153.07954	535.48727	684.56853	856.1532	1787.5332400000002	70.82639999999999	384.36835	1655.2326999999996	674.064	2604.53139	1261.29416	4434.442049999999	1311.1085	675.4548	1662.4129099999998	3302.98803	525.80014	644.7072000000001	1391.48326	561.9018	1035.8991	298.6062	9026.408199999998
TSC005	192.1394	1574.3704	1572.548	1656.3105800000003	6249.93237	480.1926	7215.743039999999	1255.94514	416.32445999999993	1363.0518	938.3029	1187.86639	4111.2118	52.698	1109.5096	4630.52043	750.3081	305.9448	291.01320000000004	555.2772	535.5505	570.7367	97.49899	927.3622	1359.98104	607.1524	1787.1275399999995	904.4769	1864.70421	1881.18539	2337.59149	812.2125	965.5408	5118.84597	4106.807830000001	2764.64058	802.4307999999999	1079.29488	2090.46237	668.3345999999999	212.2173	415.1099	3734.74891	6321.462199999999	5896.006599999999	2044.24194	8206.19416	2067.4495	1620.89468	199.00198	926.07106	218.34366	1090.86948	450.3998	858.5926000000001	1402.18816	3583.77037	11553.776700000002	7019.3229200000005	4115.2304	1947.7637	338.7009	3346.4151000000006	1206.88849	961.10774	3955.43088	963.14041	35.4627	1839.03774	2595.51439	88.7595	100.14467	2181.8063	1561.5747	4282.74064	1263.4855	4068.773509999999	961.76928	1223.6321999999998	1256.28716	1777.6513800000005	1151.3040000000003	271.9344	1549.8572300000003	387.07694	667.53509	336.22860000000003	7744.388390000001
TSC006	105.0618	1794.48315	1738.8768	2497.5516999999995	12221.946110000004	95.77015	5431.068599999998	1110.31	1578.0381000000002	1555.6088000000002	345.4753	972.61495	5783.11607	123.6692	1116.858	10924.436	597.1811200000001	115.89	318.5488	111.0038	431.8379	551.3302	77.6776	312.19200000000006	985.8725	878.2523	1246.1826	1784.59516	1410.82456	886.7277299999998	2388.64027	1096.0807	596.7967899999999	5376.38696	4663.30523	3268.655670000001	837.1544	572.1207	1868.3335	619.50713	301.5472	187.88	6740.859149999999	10123.74502	4533.89484	1070.6895100000002	11442.44863	1122.06597	1949.32726	361.30956	523.9875	1729.2065	530.2468000000001	763.0550000000001	322.8422	1243.3378200000002	5150.533799999999	16883.57667	8750.633370000001	4336.68027	1171.35136	278.48389999999995	3395.16627	1358.27088	471.30776	3290.8863699999997	347.10881	170.60399999999998	1527.70946	1364.65876	126.4512	552.9801300000001	1870.9530000000004	1090.6394099999998	3989.8835	2911.15081	5419.465870000001	558.17091	593.59259	979.1821	1361.2494000000002	2623.9086	491.3492	1447.0935	380.29361	1609.2952000000002	1333.6062000000002	10379.46639
TSC008	80.649	1122.46951	1633.6174	2385.0344	7992.359800000002	101.9812	7206.8398	809.23562	363.6798	3776.015900000001	508.4895	720.5090000000001	4373.76946	44.0624	1063.1625	10261.473780000004	401.44787	130.5113	192.8707	174.7652	564.84	360.5512	240.1663	422.56511	2665.4040999999997	1434.3045000000002	1969.2481	2196.22731	3284.8614	1683.1429000000005	3639.616610000001	651.8221000000001	383.59131	4306.647009999999	6731.072190000001	3295.223769999999	217.0561	1082.4989	3639.24396	738.2766300000001	205.6349	188.0377	11068.382759999997	7900.329770000001	3787.08802	1443.7551499999995	10373.904099999998	795.624	1309.7986300000002	2115.1179	419.0105	1740.2549	905.42967	639.5925	550.5162	1212.86164	5034.192629999999	11854.577349999998	12227.588809999996	2448.38685	1792.3576	295.6695	2853.6734	2854.7955600000005	443.4142	5627.38804	716.0504100000003	139.8234	644.6314000000001	1736.5145899999998	115.7855	413.31909999999993	3327.1991000000007	676.8431400000001	3671.48282	1470.44479	5696.213380000001	896.5331000000001	475.94110000000006	1244.1419199999998	2365.33458	928.4099	338.3611	720.6225199999999	642.3619000000001	1110.56897	263.24335	9777.498810000005
TSC011	9.52653	497.9038	351.3344	638.086	2266.1297400000008	154.1114	1593.5883	605.4642999999999	240.641	614.8241999999999	48.5197	250.76875	1193.6202	194.6495	386.7154100000001	1966.08775	267.39678	0.0	88.3914	175.0965	171.1092	64.3446	35.7192	177.3958	521.5591	423.00299	348.05715000000004	550.48741	461.82137	738.3624000000002	1130.2373	255.1341	425.68820000000005	1447.60257	842.1474300000001	1105.89783	110.4392	352.7333	1157.37678	185.59969	102.80767	136.75973	1778.0209100000004	1947.9024100000004	1469.2912	517.6847	2456.07609	171.57379999999998	684.3904	168.4553	322.51773	37.1596	259.568	265.55361	171.4579	226.06025	955.9755	4074.49133	2889.21814	1444.1472700000002	554.71823	476.4308	1467.17158	534.7247199999999	190.8915	426.4593	225.43686	14.3852	512.7807	444.954	0.0	125.1261	584.9831	176.47162	1336.7753999999998	570.012	1149.32483	518.6528000000001	595.8177000000001	381.47543	932.9238	181.7882	181.0419	335.51455	184.4386	531.36097	51.22677	2190.13331
TSC013	22.6068	440.69819999999993	696.0672000000001	577.4495000000001	3766.3942	185.18958	2383.42645	466.13812	242.9815	1656.1658999999995	136.159	597.6079	1344.8323	59.1579	816.7503800000001	2304.4740800000004	154.63759	56.767	59.1419	110.1412	228.5915	132.6125	52.1078	176.1844	516.5622	774.1551000000001	251.70788	926.2721000000004	96.8052	685.58392	895.4884	321.0902	313.0459	2001.4773	1495.4569600000002	818.89303	266.3018	380.2871	1158.3452000000002	264.97090000000003	0.0	91.70615	3111.6901100000005	1880.16225	1577.715	1022.67038	2475.48607	566.4212000000001	612.8241	252.9107	213.0778	220.2532	175.64969	214.7256	228.0418	202.2075	1262.1231	4104.545160000001	3695.94512	1477.06752	403.8503	223.8273	1513.0144	605.1324199999999	162.16501	1251.5869999999998	177.83747999999997	39.6591	630.36599	685.3937	5.81059	126.3946	736.446	342.4756	2117.4215000000004	714.1424000000001	1462.2001999999998	590.5207	225.4778	648.2076	768.5270000000002	294.90914	155.1994	583.1386	330.8275	231.7642	201.6714	3066.5954
