Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC039	17.1554	553.5832100000001	291.6512	264.37170000000003	4069.98013	21.6449	2015.05513	712.55759	74.62299999999999	1336.05415	1144.2259	939.1063	469.4773	355.1018	207.75188000000003	5352.679510000002	471.74589	33.82464	285.16883	195.91036	294.27750000000003	1392.5951	0.0	197.3173	1792.73396	608.0998000000001	797.9596	674.3089	458.00671	974.91485	635.53699	467.15998	161.27999999999997	1565.43975	2037.758	3050.76433	161.68198	2529.9220500000006	487.93175	607.3756	267.04049999999995	35.7536	2286.04531	2341.1482600000004	2516.42354	1207.8213	4029.76555	3874.10287	960.33902	245.535	444.4899	329.2899	40.8574	156.2167	553.3077	633.5337	2755.59068	3974.84452	3375.32621	2917.17343	1078.3360999999998	265.85804999999993	2706.6919000000003	460.4316	1469.27601	1292.0401999999997	96.9749	741.4876999999999	128.09750000000005	2715.5181	114.7062	134.3838	796.4232200000001	977.1583899999998	1116.2817099999995	439.02946	2413.38873	1166.14094	283.29046	496.3156	1337.2460600000002	338.81578	119.6721	415.34746	198.40726	323.784	151.9044	7601.841379999999
TSC043	0.0	690.79087	159.7346	193.97043	4628.78166	5.41143	1217.8403900000003	295.44960000000003	11.6316	846.0877800000001	410.1513	122.4021	1056.16659	13.5748	69.5689	4206.59354	11.3185	88.9864	88.4556	14.9211	1268.28559	292.8045	0.0	131.09	490.4344	288.14199	507.415	1067.9687	1118.1510300000002	678.80773	435.9102	91.74	7.81053	3243.00518	1966.3796200000004	1066.85125	8.31534	727.3365	138.4932	329.50868	184.613	0.0	2215.78873	1251.045	2665.1343900000006	1125.70733	3113.88227	1056.69062	340.88912	75.77731000000001	530.03142	294.31710000000004	9.06463	231.79736	1599.46	514.7445	987.0826	2440.8008700000005	1931.2363800000005	1970.33113	712.8893	0.0	1166.24616	303.65508	599.9182999999999	756.3217999999999	235.80283000000003	160.099	34.38023	1184.0258	238.3218	25.53277	190.05953	726.6269	590.96326	767.2912999999999	1043.1925599999995	1063.45313	105.1827	896.4747500000003	915.02366	449.61955	169.81772999999998	1402.5058	346.5298	1006.52293	317.13775000000004	4107.28217
TSC050	29.3681	818.5512	309.81705000000005	31.7632	4806.132890000002	10.4657	1432.65166	466.76473	12.8253	673.5784	363.8531	193.57937	509.90498	183.65301	69.42106	3740.29814	210.3822	10.7602	76.70490000000001	57.3323	931.242	364.5675	18.4818	23.4104	649.3108599999999	406.4233	468.25722	1039.8346	1193.33138	322.46836	358.58699	167.97474	27.3344	1435.8946	1857.87991	1780.59211	75.06224	777.27491	173.50289999999998	623.9394000000001	207.672	80.51332000000001	1190.9612799999998	1625.83882	1740.0946700000002	1239.5768	3364.84012	2172.2496	924.59503	79.5103	422.88624	540.8571	77.6344	152.6473	1316.0298	446.8214	2250.48047	2920.9509500000004	2242.9772300000004	2019.09494	919.70264	405.32511	1174.46119	96.91703	613.7258	411.56279	208.6698	946.22702	200.89734	1544.28968	194.35093	122.50609	184.31057	948.92179	518.7822400000001	667.9488899999999	1233.81472	595.5711	126.84250000000002	781.8611599999998	174.04437	401.0402	90.57466	615.8588	432.10395000000005	682.06712	82.12817	4051.760600000001
TSC069	39.4728	944.78977	689.4015700000001	288.7365	3211.9084399999992	140.3322	1064.12065	120.7323	517.6697	129.8191	223.55465	690.71876	1295.8052999999998	108.77334	238.60506	2238.6710700000003	460.53850000000006	234.0806	276.2371	245.9438	160.0785	212.3277	197.165	413.9797000000001	381.1991	16.3984	755.9285	729.7509999999999	782.99892	659.8851	1723.2442	308.606	146.613	1257.9118999999998	1149.1345000000003	1563.538	62.95439	501.50189	479.43932000000007	364.8704	360.8850000000001	117.9862	2243.99452	2736.72485	2219.68426	116.5085	3848.24436	871.72376	350.81127	89.31137	61.861	70.0863	553.6724	562.8949	625.9702	597.8163999999999	1170.9661999999998	4473.40921	3541.20331	1237.90776	942.0729	528.3111	1229.2528999999995	805.0492700000001	326.52776000000006	1904.6791	514.4868	190.1203	95.1814	633.80621	83.95925	218.0953	629.52905	431.3456	1295.33497	519.87569	2359.24732	84.50556	230.43671	958.6917	728.2059	251.4012	142.2225	391.8863	301.75004	426.2744	462.3916	4056.938800000001
TSC077	0.0	452.59	195.1369	142.7278	1303.4234599999995	76.474	423.72192	142.1845	117.9155	148.5543	76.094	414.51159999999993	456.0432	0.0	86.2003	989.71373	92.3419	69.0298	229.07110000000003	196.087	79.1883	33.3588	49.7633	341.47869	323.71815999999995	472.7488	311.2714	652.7241	506.1747	492.33019	693.8189999999998	897.2943	35.4905	579.00972	403.27575	755.7773599999998	11.3122	133.867	537.0365999999999	62.4723	34.3244	79.3449	1018.48261	915.71153	820.37541	182.29692	826.4388899999999	685.253	19.6576	241.7469	385.2708	51.016	195.9466	86.9992	74.9906	601.1391	570.16774	2313.2931	1789.9577900000002	541.4503699999999	307.34642	98.6968	586.54898	246.6759	491.7001	715.79426	63.354600000000005	0.0	522.7634	374.2423	0.0	225.9528	959.7857	236.32345000000004	482.7435	230.8284	574.0921	361.0385	8.76819	563.4223000000001	646.7138	124.9492	77.8132	63.31	63.7079	75.1524	411.6032	1835.25103
TSC083	106.7188	456.51	325.926	240.34414	3684.533299999999	650.3463000000002	1113.41504	713.2102	256.9308	282.5683	199.8607	1065.54075	1640.4944999999998	29.5513	967.1775	2554.59493	212.6375	116.405	1132.7345	231.1432	47.8767	389.7981	21.0971	378.1547	951.7488	675.9133000000002	422.7622	461.11798	946.7078	1073.5024	964.25369	388.5215	44.8668	761.31843	1684.8353	1922.0916100000004	0.0	159.2905	1667.8122299999998	319.6478	208.5817	116.723	964.99531	1295.9559	1723.4442400000005	524.5310999999999	2640.287799999999	668.4512	382.9741	167.5369	409.0003	454.8719	269.6305	115.6159	189.006	92.0256	692.8812	3850.3358	2676.49141	1501.8296999999998	575.0816799999999	577.935	1812.31864	254.231	210.2419	1110.4693	316.81690000000003	34.833	93.215	850.0088	41.575	157.481	791.7256	530.4135	782.31256	389.7529	1452.24981	556.7090999999999	253.591	507.1503	1143.3165	330.18963	206.8542	628.4909	405.00195	152.8692	327.5972	4285.99354
TSC099	173.34969999999998	513.93588	490.94250000000005	85.3248	3259.6025400000003	177.24349999999998	1180.5189999999998	395.17936	267.4362	855.8574000000001	70.9042	312.86885	761.3624000000001	41.59429	122.1097	3502.10725	371.2661	203.3517	50.9731	150.6314	243.1072	332.30231	288.8339	333.31528	868.6074	180.5307	548.58511	522.4399199999999	421.3169	1197.9398	1245.39818	471.9759	404.3186	1843.0577	1574.1129	886.0837	113.9613	189.85684	591.95138	155.90655999999998	167.7958	140.76989	2295.3773600000004	1421.5980100000002	1563.93249	364.29336	2429.60981	579.7573	210.6803	417.0215	799.901	207.7641	709.0548999999999	477.35669999999993	238.6272	138.70113	969.16924	3338.9613	3018.5969400000004	606.1542099999999	895.4849800000001	391.62402	757.7457999999999	745.5217699999998	441.78777	815.21767	195.2123	219.3808	126.77699	538.2804800000001	73.2424	324.6937	348.44915	336.14641	856.6732	683.8467100000001	2419.64006	517.2587	111.21667	457.5620300000001	1031.45899	393.86135	109.8639	453.0206	265.8829	234.4105	515.5597	2599.57607
TSC106	807.2226	562.5272199999999	883.1193	130.4554	4992.025799999999	1214.9434	2697.71742	1752.9071	58.3528	1545.8602	1031.4402	4028.9793	3015.32758	51.6075	131.97969999999998	5457.350099999999	1049.2778	112.2939	1397.9986	27.2483	292.9631	245.90378	271.2988	207.6364	3859.0293	314.817	345.31729	1482.35322	1530.5836	3347.2244	1942.1274	121.8328	31.8514	2125.427	1797.0517	4675.098279999999	181.6328	2561.0415000000003	2106.6688	1350.8710999999998	906.8072	196.8208	2340.55438	1533.8107000000002	3066.23822	966.0246	2278.64368	480.8895300000001	3077.0352000000003	1675.3721999999998	1563.6781	851.9562000000001	1720.9948	984.777	554.961	566.5104	2555.572	5134.440020000001	3417.66971	6491.860549999999	4170.7305	2185.7343	3722.9329200000006	1405.0363	677.5001000000001	1752.3405000000002	936.0562	19.0146	138.2451	3240.4564	1448.9851	115.4831	1898.3512	3002.22955	2160.02878	419.7503	2486.14708	3532.289	1011.4881	2777.7322	2677.1899000000003	1413.0	102.92858	2649.2556	132.4324	1598.5703	137.9916	8115.858720000002
TSC115	239.9874	778.5801	30.02918	109.59552	1884.8826	113.84369999999998	955.79056	488.8466800000001	51.1869	379.19403	49.2551	520.4924	1140.813	0.0	98.30012	2584.92954	381.0832	40.368300000000005	273.28609	37.5232	153.80668	35.7311	30.1087	205.91275	533.0020999999999	213.1942	199.33928000000003	332.02007	622.77384	732.13128	1212.68687	124.87681	1409.5447	789.7115000000001	959.0222699999998	1026.6243000000002	19.8544	575.17294	1005.4452	131.22050000000002	1346.26774	57.3959	2030.1688100000003	1584.9999099999998	1222.8839300000002	487.8157	1887.29975	333.36356	922.5047	228.007	106.0496	43.162	368.96269	145.7561	58.56558	353.06013	1063.37295	2542.68793	1513.1938800000005	1145.4439	653.4701	364.26569	1228.84617	575.9244000000001	56.1494	992.26116	192.2849	39.6464	87.2203	620.54359	19.67078	58.9379	918.2795999999998	579.6836000000001	697.1811	300.97296	1264.4031000000002	899.9393799999999	29.25052	597.7532	1820.3363	480.89393	10.9376	882.62681	307.6929	577.9395000000001	163.63279999999995	2907.2301
TSC123	115.09969	319.38748	131.44299999999998	373.14609999999993	2075.68635	271.7774	801.07903	293.68258	46.6898	576.4412	319.3147	607.3920799999999	685.9321800000001	106.83753	877.7418	2257.8224800000003	354.72210000000007	459.712	439.91704	114.522	245.33038	92.7817	248.7632	229.0196	337.2972	691.03966	114.17009	289.55279	428.57758	694.6783500000001	791.483	126.8226	28.4153	1088.7317899999998	767.8526099999998	1955.21063	73.8637	603.3185999999998	1008.34325	387.6579	206.0492	8.87988	1060.5184399999998	2036.46645	1586.02176	106.69755	1192.65175	592.69528	538.7926	223.2225	144.05149999999998	137.51425	346.74229999999994	112.6744	230.90838	253.8395	1067.54721	2973.71374	2042.78629	1532.4452600000002	883.4786999999998	185.4815	1635.15954	506.79476000000005	325.26892	418.60225	253.9099	63.58572	156.6496	599.4911000000001	246.5648	70.41282999999999	613.94618	926.96252	731.5176000000001	1047.54687	857.54569	397.4212	232.3463	846.2723800000001	433.7326	106.07921	100.2061	690.5044	246.4288	306.61794999999995	155.7329	2695.71862
