Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
TSC001	262.3666	1682.5522600000002	421.36376999999993	922.09944	10024.983439999998	180.0661	8077.13026	672.42208	670.7624000000001	1430.7808100000004	169.3931	607.9075	6955.79974	214.7375	1316.4483	8762.9358	584.0208	380.6888	228.1515	41.5215	678.5393	417.46227	66.6661	259.2651	848.6714000000001	599.5477	1289.4615700000002	692.4736	350.3713	858.0386	3705.96358	1255.4788000000003	245.23642	3216.71234	3098.6262100000013	2292.4774299999995	39.46836	600.3118	2097.55466	533.3983000000001	98.6899	715.7652	6183.628300000003	6348.837820000001	3478.25534	961.7106	12352.712879999995	789.3449400000001	1179.0115000000003	476.6192	455.8447	96.4804	863.04284	487.1887	412.5535	690.0501499999999	2821.093480000001	12758.795109999995	7697.075719999998	3921.9299	1953.2385	2768.1676	2114.437280000001	2399.8593	1035.072	4548.44824	647.1544	219.2527	75.88409999999999	2186.6193	820.0182000000001	279.5667	2414.7878100000003	920.79135	2595.3516	1497.04057	2665.8407	698.0603999999998	760.4568	807.90904	2045.7423300000005	603.51716	0.0	1980.2881	1316.99604	1198.89151	312.0559	7467.596139999998
TSC003	62.9483	810.3847000000001	1033.4585	723.4018000000001	3506.6397	92.3655	3215.9389999999994	1954.07968	204.9496	1977.2212	53.485	591.4978	2704.1126200000003	132.4557	896.7679	2265.71919	484.256	31.7441	108.9192	54.659780000000005	401.0206	278.50550000000004	125.7827	61.822100000000006	545.3609	576.1836	614.8716999999999	687.9879999999999	441.0264	854.6837	1435.0829	884.2223	402.4907	1188.9216900000004	2524.507290000001	1271.94512	239.6999	325.4996	868.7754	212.9096	0.0	111.3905	3076.3927	2251.6948	3269.0854	1622.6099000000004	4072.36347	951.9277	1044.6378	104.7364	258.8437	585.4848	552.7263	665.5033999999999	151.4058	1467.8787	2056.3668	6943.767419999999	3475.7352000000005	1799.0638	856.2279000000001	317.8577	1789.4014	484.8989	501.3130000000001	1984.9253	287.7883	40.6052	224.5563	963.003	0.0	147.23149999999998	942.4006	677.8035	1950.16858	787.0326	2129.2925	552.29548	451.8247	1045.5238	770.2943999999999	413.2051	106.9079	1005.7446	329.60060000000004	1651.1861	73.396	3043.2497000000003
TSC005	192.1394	1574.3704	1572.548	1656.3105800000003	6249.93237	480.1926	7215.743039999999	1255.94514	416.32445999999993	1363.0518	938.3029	1187.86639	4111.2118	52.698	1109.5096	4630.52043	750.3081	305.9448	291.01320000000004	555.2772	535.5505	570.7367	97.49899	927.3622	1359.98104	607.1524	1787.1275399999995	904.4769	1864.70421	1881.18539	2337.59149	812.2125	965.5408	5118.84597	4106.807830000001	2764.64058	802.4307999999999	1079.29488	2090.46237	668.3345999999999	212.2173	415.1099	3734.74891	6321.462199999999	5896.006599999999	2044.24194	8206.19416	2067.4495	1620.89468	199.00198	926.07106	218.34366	1090.86948	450.3998	858.5926000000001	1402.18816	3583.77037	11553.776700000002	7019.3229200000005	4115.2304	1947.7637	338.7009	3346.4151000000006	1206.88849	961.10774	3955.43088	963.14041	35.4627	1839.03774	2595.51439	88.7595	100.14467	2181.8063	1561.5747	4282.74064	1263.4855	4068.773509999999	961.76928	1223.6321999999998	1256.28716	1777.6513800000005	1151.3040000000003	271.9344	1549.8572300000003	387.07694	667.53509	336.22860000000003	7744.388390000001
TSC008	80.649	1122.46951	1633.6174	2385.0344	7992.359800000002	101.9812	7206.8398	809.23562	363.6798	3776.015900000001	508.4895	720.5090000000001	4373.76946	44.0624	1063.1625	10261.473780000004	401.44787	130.5113	192.8707	174.7652	564.84	360.5512	240.1663	422.56511	2665.4041	1434.3045000000002	1969.2481	2196.22731	3284.8614	1683.1429000000005	3639.616610000001	651.8221000000001	383.59131	4306.647009999999	6731.072190000001	3295.223769999999	217.0561	1082.4989	3639.24396	738.2766300000001	205.6349	188.0377	11068.382759999997	7900.329770000001	3787.08802	1443.7551499999995	10373.904099999998	795.624	1309.7986300000002	2115.1179	419.0105	1740.2549	905.42967	639.5925	550.5162	1212.86164	5034.192629999999	11854.577349999998	12227.588809999996	2448.38685	1792.3576	295.6695	2853.6734	2854.7955600000005	443.4142	5627.38804	716.0504100000003	139.8234	644.6314000000001	1736.5145899999998	115.7855	413.31909999999993	3327.1991000000007	676.8431400000001	3671.48282	1470.44479	5696.213380000001	896.5331000000001	475.94110000000006	1244.1419199999998	2365.33458	928.4099	338.3611	720.6225199999999	642.3619000000001	1110.56897	263.24335	9777.498810000005
TSC013	22.6068	440.69819999999993	696.0672000000001	577.4495000000001	3766.3942	185.18958	2383.42645	466.13812	242.9815	1656.1658999999995	136.159	597.6079	1344.8323	59.1579	816.7503800000001	2304.4740800000004	154.63759	56.767	59.1419	110.1412	228.5915	132.6125	52.1078	176.1844	516.5622	774.1551000000001	251.70788	926.2721000000004	96.8052	685.58392	895.4884	321.0902	313.0459	2001.4773	1495.4569600000002	818.89303	266.3018	380.2871	1158.3452000000002	264.97090000000003	0.0	91.70615	3111.6901100000005	1880.16225	1577.715	1022.67038	2475.48607	566.4212000000001	612.8241	252.9107	213.0778	220.2532	175.64969	214.7256	228.0418	202.2075	1262.1231	4104.545160000001	3695.94512	1477.06752	403.8503	223.8273	1513.0144	605.1324199999999	162.16501	1251.5869999999998	177.83747999999997	39.6591	630.36599	685.3937	5.81059	126.3946	736.446	342.4756	2117.4215000000004	714.1424000000001	1462.2001999999998	590.5207	225.4778	648.2076	768.5270000000002	294.90914	155.1994	583.1386	330.8275	231.7642	201.6714	3066.5954
TSC016	309.8327	1517.54525	1400.9707	1457.8828000000003	10426.386709999995	175.0266	6229.489520000002	1314.5242	1017.0743	2578.0988	398.4217	1729.1605000000004	4798.80715	416.6939	3698.4876	5927.957840000001	960.9523000000002	126.1443	290.5944	212.3489	1488.3264	1010.8253	159.5025	1605.1237	1563.6328	1307.7091	1655.7698099999998	1570.31975	1411.0503499999998	2792.46861	2843.8506	785.5735999999999	1433.97441	5603.6058	2656.0315900000005	4267.3434	777.3032	1742.80664	5134.909290000001	1449.3164000000002	331.79460000000006	756.9098999999999	6111.048920000001	7545.4964500000015	5883.5845500000005	2790.91349	13958.475589999996	1486.6886999999997	3077.0634000000005	285.46168	1055.1559	427.2317000000001	770.51478	686.6444000000001	1918.3492	1460.96	3618.27121	12841.831340000002	8516.43329	5106.47561	2517.7264	1403.4991	4974.55098	1775.024	862.0166899999999	2383.1609400000007	798.0670799999999	146.8374	1385.6735	2149.95231	151.789	432.56025	2327.65309	1789.98178	4790.96904	2060.9406000000004	5355.188610000001	849.0832500000001	1448.2382	2487.6479800000006	2493.7216999999987	819.0975	575.26	1783.05067	682.8539	1291.22684	1162.3729	8454.313269999999
TSC020	77.2727	1577.812	549.6707999999999	1686.7909	9085.621939999995	335.1981	5836.061710000001	649.8009	532.69712	1506.37301	182.1254	1567.1206000000002	8214.454109999999	64.5199	1010.93172	7582.899670000002	1012.96955	76.97	294.59995000000004	215.6479	298.7407	174.05105	23.0484	1667.1068	991.03267	498.6542	228.0846	911.9574700000002	810.2168	2144.57333	3538.9630999999995	696.92148	637.5421	7474.085300000002	5033.152010000001	2330.0042700000004	466.7233	1261.1421400000002	2878.167520000001	885.0784	94.78932	178.634	5362.347680000001	8128.695760000003	6385.151320000001	5036.857400000001	14076.76923	1099.89855	1185.179	466.5449	467.0656000000001	37.4523	617.7577	525.3165	451.3478	1138.3256599999995	2825.68281	13221.716679999996	8461.88336	1929.27267	1294.16594	833.9965	2469.4801	3793.2261	224.17071	2969.61065	797.89282	0.0	105.03841	1685.4906999999998	26.957	421.2789	2621.0376	1593.66947	3315.90587	1207.15148	4376.591880000001	1152.31473	671.9888000000001	1221.76786	1959.37128	1048.73774	435.107	1133.5571699999998	629.7045700000001	807.19427	509.399	8274.433959999998
TSC021	133.11968000000002	954.7825	403.252	318.1155	6652.99308	22.6872	5157.669700000001	279.4245	232.42046	1060.3317	194.0318	921.2384	1570.7212	146.00459999999998	741.96071	9793.998399999997	202.9254	114.5684	140.49384	25.2755	214.0285	444.757	17.6833	305.7329	522.2382	206.0988	1875.35903	583.3395000000002	348.0254	1570.78763	2116.528	188.0115	171.1174	2207.99355	3541.3945000000003	1315.3003	231.71408	1869.1277	2311.8687	164.6386	155.56051	44.0544	4547.806639999999	6873.04735	1638.1016	3032.16397	7687.94391	553.0673999999999	1705.0895	25.8367	188.7054	2909.786	496.8051	276.23586	106.7603	371.55595	4815.9872	11348.056820000002	5175.365220000001	1544.58344	438.2759	483.4352	1352.7648900000004	866.6580999999998	666.4890899999999	3447.6661	399.6928	252.9646	621.4441799999998	2049.3309	46.7478	127.26585	1121.1503	279.67940000000004	2850.192399999999	1744.62276	5292.03475	672.6613	1695.3180699999998	777.0152	1348.2268	439.478	55.2764	1641.0533400000002	407.2491	501.807	395.67216	7170.749330000001
TSC025	0.0	963.7036300000002	589.6815000000001	373.6263	7614.013560000001	231.568	3053.43333	158.66704	127.23196	3904.0201000000006	84.3479	1127.1522000000002	1391.0362300000002	0.0	742.6735999999999	7602.33103	228.5612	25.0411	54.8606	31.28928	232.9269	333.924	14.8585	470.5441	451.36211	24.5543	614.2355	986.30283	820.0915	1452.4047000000005	2635.0506	271.099	142.0057	1484.0560999999998	1631.3675000000003	3992.14871	220.45077	293.989	1927.69237	368.97981	125.7631	30.1155	8377.288820000002	4173.6697	2093.9958	2837.91	9253.079270000002	548.23218	1663.2451000000003	170.4824	4218.4717	2538.5932	766.2587100000001	103.4449	273.968	347.37388000000004	5094.2027	9762.381659999995	12905.62886	636.3754999999999	803.3824299999999	184.0999	2755.5733	1018.9680799999998	298.0925	6948.958409999999	985.0845	74.79633	84.628	737.6175000000001	0.0	470.3126	1219.8625699999998	279.77590000000004	1278.80071	1905.66052	7881.355789999999	449.5977	1183.5438399999998	1298.6793	4953.74122	349.4193	136.6062	1522.6209199999998	578.5033399999999	1289.838	625.9474	7229.14191
TSC027	15.6	896.0522	459.8653	411.4554	3884.70169	347.075	3153.2959900000005	336.8858	104.9737	694.06016	393.1908	1197.1464	1821.85986	183.5698	589.2899000000001	4365.7963	1320.0269999999998	66.719	157.8331	63.6337	119.9366	1052.9658599999998	67.53869999999999	180.1259	857.6128	233.2878	370.6565	842.3767	350.547	663.3402600000001	1673.70126	291.2653	452.73530000000005	2613.7508000000003	1249.56536	2772.6712	386.7788000000001	641.0464000000001	1419.2193700000005	124.5121	382.71220000000005	240.2854	5737.5435800000005	3491.979499999999	2608.08606	1505.6173000000003	4548.2346800000005	554.0788000000001	553.429	752.21841	497.862	711.5167	647.4198	240.302	64.4514	702.2005	2628.7745899999995	5287.0587700000015	4305.471039999999	1330.3415999999995	2086.6681000000003	347.21968000000004	1746.4841999999996	580.1505000000001	321.9155	2920.87498	826.9490000000001	209.9207	199.68261	1020.21638	0.0	164.6642	1838.04306	1430.05648	1104.5106200000002	1132.964	3366.902400000001	620.12519	1811.1709	745.1985999999999	1764.3947	422.7017	300.51859	829.8236999999999	425.1048	762.1714499999999	161.76497999999998	4776.838890000002
