"TSC_NAME"	"PANGAEA sample id"	"Station.label"	"Layer"	"Layer2"	"polar"	"lower.size.fraction"	"upper.size.fraction"	"Event.date"	"Latitude"	"Longitude"	"Depth.nominal"	"Depth.Mixed.Layer"	"Temperature"	"Oxygen"	"ChlorophyllA"	"Salinity"	"Carbon.total"	"NO2"	"NO2NO3"	"NO3"	"PO4"	"Ammonium.5m"	"Iron.5m"	"Alkalinity.total"	"CO3"	"HCO3"	"NP"	"Lyapunov"	"Si"	"Nitracline"	"Brunt.Väisälä"	"Okubo.Weiss"	"Residence.time"	"PAR.PC"	"Gradient.Surface.temp(SST)"	"Fluorescence"	"Density"	"Depth.Min.O2"	"Depth.Max.O2"	"Mean Flux at 150m"	"FluxAttenuation"	"NPP 8d VGPM (mgC/m2/day)"	"Ocean"	"Province"
"TSC000"	"TARA_X000000368"	"TARA_004"	"DCM"	"EPI"	"non polar"	"0.22"	"1.6"	"2009-09-15 18:00"	"36.5533"	"-6.5669"	"40"	"11"	"16.3584"	""	"0.535777"	"36.5811"	""	""	""	""	""	"0.02287024322"	"0.001387697625"	""	""	""	""	"0.031746"	""	""	"36"	""	"4"	""	"0.8599"	""	"26.8866"	""	""	""	""	""	"[NAO] North Atlantic Ocean (MRGID:1912)"	""
"TSC001"	"TARA_Y200000002"	"TARA_004"	"SRF"	"EPI"	"non polar"	"0.22"	"1.6"	"2009-09-15 11:30"	"36.5533"	"-6.5669"	"9"	"12"	"20.238088"	""	"0.180403"	"36.599199"	""	""	""	""	""	"0.02287024322"	"0.001387697625"	""	""	""	""	"0.031746"	""	""	"25"	""	"4"	""	"0.73994"	""	"25.909909"	""	""	""	""	"686.086"	"[NAO] North Atlantic Ocean (MRGID:1912)"	"B7"
"TSC002"	"TARA_A200000159"	"TARA_007"	"DCM"	"EPI"	"non polar"	"0.22"	"1.6"	"2009-09-23 16:08"	"37.0541"	"1.9478"	"42"	"18"	"17.521075"	""	"0.338691"	"37.1036"	"0.0256"	""	"0.028"	""	"0.0065"	"0.01524471973"	"0.001387776788"	"0.0265"	"0.0273"	"0.0243"	""	""	"0.4985"	""	"45"	"-1.3813"	"0"	""	"1.0375"	""	"27.003675"	""	""	""	""	"354.2245"	"[MS] Mediterranean Sea (MRGID:1905)"	""
"TSC003"	"TARA_A200000113"	"TARA_007"	"SRF"	"EPI"	"non polar"	"0.22"	"1.6"	"2009-09-23 12:50"	"37.051"	"1.9378"	"9"	"18"	"23.8141"	""	"0.189348"	"37.522"	"0.00695"	"0.0445"	"0.14325"	""	"0.0475"	"0.01524471973"	"0.001387776788"	"0.00065"	"0.0067"	""	""	""	"0.7935"	""	"45"	"-1.3813"	"0"	""	"1.0375"	""	"25.61115"	""	""	""	""	"354.2245"	"[MS] Mediterranean Sea (MRGID:1905)"	"B7"
"TSC004"	"TARA_X000001036"	"TARA_009"	"DCM"	"EPI"	"non polar"	"0.22"	"1.6"	"2009-09-28 16:59"	"39.0609"	"5.9422"	"55"	"0"	"15.9708"	""	"0.442902"	"37.68195"	"0.0067"	"0.02"	"0.08"	""	"0.02"	"0.01508665892"	"0.00138772993"	"0.002"	"0.0169"	"0.0071"	""	"0.190651"	""	""	"25"	"0.021447"	"0"	""	"0.35542"	""	"27.81605"	""	""	""	""	"205.122"	"[MS] Mediterranean Sea (MRGID:1905)"	""
"TSC005"	"TARA_X000000950"	"TARA_009"	"SRF"	"EPI"	"non polar"	"0.22"	"1.6"	"2009-09-28 12:18"	"39.1633"	"5.916"	"9"	"25"	"24.4828"	""	"0.136232"	"37.8042"	"0.0003"	"0.01"	"0.03"	""	"0.02"	"0.01508665892"	"0.00138772993"	""	"0.0003"	""	""	"0.190651"	""	""	"35"	"0.021447"	"0"	""	"0.95289"	""	"25.621"	""	""	""	""	"205.122"	"[MS] Mediterranean Sea (MRGID:1905)"	"B7"
"TSC006"	"TARA_S200000501"	"TARA_018"	"DCM"	"EPI"	"non polar"	"0.22"	"1.6"	"2009-11-02 14:07"	"35.7528"	"14.2765"	"60"	"50"	"18.30575"	"238.694625"	"0.076875"	"37.84945"	"0.0118"	"0.0263"	"0.038"	""	"0.0131"	"0.009119561485"	"0.001387895066"	"0.0017"	"0.0452"	""	""	"0.066158"	"0.58135"	""	"60"	"-0.124391"	"15.222222"	""	"1.0568"	"1.375"	"27.375"	"580"	"58"	""	""	"331.789"	"[MS] Mediterranean Sea (MRGID:1905)"	""
"TSC008"	"TARA_A100000164"	"TARA_018"	"SRF"	"EPI"	"non polar"	"0.22"	"1.6"	"2009-11-02 8:13"	"35.759"	"14.2574"	"5"	"51"	"21.48665"	"208.245"	"0.013344"	"37.89575"	"0.0103"	"0.01833"	"0.118"	""	"0.0256"	"0.009119561485"	"0.001387895066"	"0.001"	"0.0228"	""	""	"0.066158"	"0.5571"	""	"61"	"-0.124391"	"15.222222"	""	"1.0513"	"1.091875"	"26.565263"	"221"	"60"	""	""	"331.789"	"[MS] Mediterranean Sea (MRGID:1905)"	"B7"
"TSC011"	"TARA_E500000081"	"TARA_023"	"DCM"	"EPI"	"non polar"	"0.22"	"1.6"	"2009-11-18 13:50"	"42.1735"	"17.7252"	"55"	"12"	"15.180558"	"224.264417"	"0.136877"	"38.47375"	""	"0.013"	"0.05"	""	"0.012"	"0.00143125304"	"0.001387877506"	""	""	""	""	"0.078584"	"1.0505"	""	"58"	"-0.354776"	"3.583333"	""	"1.657"	"1.786458"	"28.613475"	"160"	"43"	"1.897733"	"1.352154776"	"478.135"	"[MS] Mediterranean Sea (MRGID:1905)"	""
"TSC013"	"TARA_E500000075"	"TARA_023"	"SRF"	"EPI"	"non polar"	"0.22"	"1.6"	"2009-11-18 8:41"	"42.2038"	"17.715"	"5"	"16"	"17.211742"	"221.782083"	"0.103935"	"38.22805"	""	"0.009125"	"0.040875"	""	"0.012"	"0.00143125304"	"0.001387877506"	""	""	""	""	"0.078584"	"1.372375"	""	"3"	"-0.354776"	"3.583333"	""	"1.6157"	"1.465"	"27.9429"	"115"	"37"	"2.376476"	""	"478.135"	"[MS] Mediterranean Sea (MRGID:1905)"	"B7"
