Matrix_subsample	Top1	Top2	Top3	Top4	Top5
M0_all	NtrC (max: 0.69, avg15: 0.42)	LiuR (max: 0.68, avg15: 0.42)	AgaR (max: 0.77, avg15: 0.41)	GguR (max: 0.63, avg15: 0.40)	MetR (max: 0.63, avg15: 0.39)
M0_epi	NtrC (max: 0.64, avg15: 0.44)	MetR (max: 0.54, avg15: 0.41)	NagC (max: 0.49, avg15: 0.39)	KdgR (max: 0.55, avg15: 0.40)	GntR (max: 0.64, avg15: 0.41)
M0_epi-nonpolar	FadR (max: 0.58, avg15: 0.34)	KdgR (max: 0.39, avg15: 0.35)	AcnR (max: 0.43, avg15: 0.34)	NagC (max: 0.38, avg15: 0.32)	NtrC (max: 0.43, avg15: 0.30)
M0_nonpolar	AcnR (max: 0.68, avg15: 0.40)	FadR (max: 0.70, avg15: 0.39)	NagC (max: 0.58, avg15: 0.40)	KdgR (max: 0.66, avg15: 0.41)	GntR (max: 0.69, avg15: 0.38)
M0_polar	LiuR (max: 0.69, avg15: 0.50)	SahR_SamR (max: 0.62, avg15: 0.50)	RbkR (max: 0.61, avg15: 0.51)	AgaR (max: 0.59, avg15: 0.48)	Zur (max: 0.60, avg15: 0.49)
M0_srf	NagC (max: 0.60, avg15: 0.47)	KdgR (max: 0.68, avg15: 0.48)	MetR (max: 0.65, avg15: 0.48)	NtrC (max: 0.69, avg15: 0.47)	AgaR (max: 0.72, avg15: 0.47)
M0_srf-nonpolar	FadR (max: 0.61, avg15: 0.40)	KdgR (max: 0.48, avg15: 0.42)	AcnR (max: 0.55, avg15: 0.39)	NagC (max: 0.30, avg15: 0.36)	ThiR (max: 0.32, avg15: 0.38)
M0_srf-polar	DasR (max: 0.75, avg15: 0.55)	NagC (max: 0.67, avg15: 0.53)	PdxR (max: 0.58, avg15: 0.55)	AcnR (max: 0.75, avg15: 0.52)	SahR_SamR (max: 0.71, avg15: 0.52)
M1_all	PhnF (max: 0.54, avg15: 0.39)	NtrC (max: 0.65, avg15: 0.39)	MetR (max: 0.60, avg15: 0.38)	LiuR (max: 0.65, avg15: 0.39)	SahR_SamR (max: 0.62, avg15: 0.39)
M1_epi	MetR (max: 0.49, avg15: 0.40)	KdgR (max: 0.55, avg15: 0.41)	NtrC (max: 0.62, avg15: 0.41)	SahR_SamR (max: 0.47, avg15: 0.40)	PhnF (max: 0.49, avg15: 0.42)
M1_epi-nonpolar	KdgR (max: 0.41, avg15: 0.36)	FadR (max: 0.51, avg15: 0.32)	PhnF (max: 0.37, avg15: 0.32)	ThiR (max: 0.32, avg15: 0.31)	NagC (max: 0.34, avg15: 0.30)
M1_nonpolar	PhnF (max: 0.46, avg15: 0.37)	KdgR (max: 0.67, avg15: 0.41)	ThiR (max: 0.57, avg15: 0.40)	MetR (max: 0.54, avg15: 0.39)	NagC (max: 0.56, avg15: 0.38)
M1_polar	SoxR (max: 0.67, avg15: 0.54)	LiuR (max: 0.67, avg15: 0.49)	MetR (max: 0.63, avg15: 0.50)	AraR (max: 0.57, avg15: 0.47)	NtrC (max: 0.65, avg15: 0.47)
M1_srf	MetR (max: 0.63, avg15: 0.48)	KdgR (max: 0.67, avg15: 0.48)	PhnF (max: 0.56, avg15: 0.48)	LiuR (max: 0.74, avg15: 0.48)	SahR_SamR (max: 0.57, avg15: 0.46)
M1_srf-nonpolar	KdgR (max: 0.47, avg15: 0.43)	PhnF (max: 0.40, avg15: 0.37)	MetR (max: 0.34, avg15: 0.38)	LiuR (max: 0.52, avg15: 0.35)	FadR (max: 0.48, avg15: 0.34)
M1_srf-polar	SoxR (max: 0.60, avg15: 0.53)	MetR (max: 0.65, avg15: 0.53)	PhnR (max: 0.75, avg15: 0.51)	CzrA (max: 0.77, avg15: 0.52)	NagC (max: 0.64, avg15: 0.50)
MX_all	PurR (max: 0.63, avg15: 0.42)	AgaR (max: 0.73, avg15: 0.41)	MetR (max: 0.62, avg15: 0.40)	LiuR (max: 0.60, avg15: 0.40)	GulR (max: 0.64, avg15: 0.39)
MX_epi	MetR (max: 0.57, avg15: 0.41)	PurR (max: 0.62, avg15: 0.42)	AgaR (max: 0.67, avg15: 0.43)	GntR (max: 0.67, avg15: 0.42)	LiuR (max: 0.62, avg15: 0.41)
MX_epi-nonpolar	KdgR (max: 0.36, avg15: 0.32)	NagC (max: 0.36, avg15: 0.30)	GntR (max: 0.53, avg15: 0.32)	MetR (max: 0.35, avg15: 0.31)	FadR (max: 0.49, avg15: 0.32)
MX_nonpolar	AcnR (max: 0.66, avg15: 0.39)	KdgR (max: 0.60, avg15: 0.40)	NagC (max: 0.57, avg15: 0.40)	GntR (max: 0.70, avg15: 0.38)	FadR (max: 0.70, avg15: 0.39)
MX_polar	SiaR (max: 0.63, avg15: 0.52)	PurR (max: 0.77, avg15: 0.50)	NadQ (max: 0.63, avg15: 0.49)	MetR (max: 0.59, avg15: 0.48)	LiuR (max: 0.67, avg15: 0.46)
MX_srf	MetR (max: 0.70, avg15: 0.48)	LiuR (max: 0.70, avg15: 0.47)	PurR (max: 0.70, avg15: 0.47)	FUR (max: 0.64, avg15: 0.45)	AgaR (max: 0.71, avg15: 0.47)
MX_srf-nonpolar	FabR (max: 0.77, avg15: 0.38)	KdgR (max: 0.42, avg15: 0.38)	PdxR (max: 0.50, avg15: 0.36)	NagC (max: 0.33, avg15: 0.35)	MetR (max: 0.40, avg15: 0.37)
MX_srf-polar	AcnR (max: 0.70, avg15: 0.53)	DasR (max: 0.66, avg15: 0.54)	SahR_SamR (max: 0.76, avg15: 0.52)	NadQ (max: 0.74, avg15: 0.53)	ThiR (max: 0.66, avg15: 0.51)
guidi_all	FUR (max: 0.67, avg15: 0.39)	MetR (max: 0.64, avg15: 0.38)	SahR_SamR (max: 0.57, avg15: 0.37)	PhnF (max: 0.59, avg15: 0.38)	Zur (max: 0.45, avg15: 0.34)
