"Matrix_subsample"	"Top1"	"Top2"	"Top3"	"Top4"	"Top5"	"Top6"	"Top7"	"Top8"
"MX_all"	"Fluorescence (max: 0.70, avg15: 0.64)"	"NO3 (max: -0.61, avg15: 0.53)"	"Temperature (max: 0.73, avg15: 0.62)"	"Carbon.total (max: 0.59, avg15: 0.51)"	"PAR.PC (max: 0.66, avg15: 0.52)"	"Density (max: 0.45, avg15: 0.40)"	"NO2NO3 (max: 0.46, avg15: 0.39)"	"FluxAttenuation (max: -0.42, avg15: 0.38)"
"MX_epi"	"Fluorescence (max: 0.67, avg15: 0.59)"	"Carbon.total (max: -0.64, avg15: 0.56)"	"Temperature (max: -0.68, avg15: 0.57)"	"ChlorophyllA (max: 0.62, avg15: 0.54)"	"Oxygen (max: 0.68, avg15: 0.54)"	"FluxAttenuation (max: -0.42, avg15: 0.38)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.47, avg15: 0.41)"	"Latitude (max: -0.44, avg15: 0.38)"
"MX_epi-nonpolar"	"CO3 (max: -0.58, avg15: 0.49)"	"FluxAttenuation (max: -0.42, avg15: 0.38)"	"HCO3 (max: -0.64, avg15: 0.49)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.47, avg15: 0.41)"	"Carbon.total (max: -0.47, avg15: 0.39)"	"Fluorescence (max: 0.53, avg15: 0.39)"	"ChlorophyllA (max: 0.42, avg15: 0.37)"	"NO2 (max: 0.40, avg15: 0.33)"
"MX_nonpolar"	"NO3 (max: -0.71, avg15: 0.65)"	"Fluorescence (max: 0.70, avg15: 0.61)"	"Temperature (max: -0.64, avg15: 0.56)"	"Density (max: 0.52, avg15: 0.49)"	"Oxygen (max: -0.54, avg15: 0.45)"	"NO2NO3 (max: 0.50, avg15: 0.42)"	"CO3 (max: -0.53, avg15: 0.44)"	"HCO3 (max: 0.67, avg15: 0.48)"
"MX_polar"	"Oxygen (max: 0.77, avg15: 0.65)"	"Iron.5m (max: -0.68, avg15: 0.61)"	"Temperature (max: 0.65, avg15: 0.59)"	"CO3 (max: 0.66, avg15: 0.57)"	"Brunt.Väisälä (max: 0.57, avg15: 0.50)"	"Latitude (max: 0.63, avg15: 0.56)"	"NO2 (max: 0.57, avg15: 0.50)"	"HCO3 (max: 0.56, avg15: 0.49)"
"MX_srf"	"Fluorescence (max: 0.74, avg15: 0.66)"	"Oxygen (max: 0.75, avg15: 0.66)"	"Temperature (max: -0.72, avg15: 0.65)"	"Carbon.total (max: 0.70, avg15: 0.61)"	"ChlorophyllA (max: 0.68, avg15: 0.57)"	"Latitude (max: -0.48, avg15: 0.45)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.56, avg15: 0.48)"	"Mean Flux at 150m (max: 0.56, avg15: 0.45)"
"MX_srf-nonpolar"	"HCO3 (max: -0.94, avg15: 0.77)"	"CO3 (max: 0.57, avg15: 0.50)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.56, avg15: 0.48)"	"Fluorescence (max: 0.59, avg15: 0.46)"	"Mean Flux at 150m (max: 0.56, avg15: 0.45)"	"Carbon.total (max: 0.51, avg15: 0.43)"	"ChlorophyllA (max: 0.48, avg15: 0.40)"	"NO3 (max: -0.54, avg15: 0.39)"
"MX_srf-polar"	"CO3 (max: 0.79, avg15: 0.75)"	"Oxygen (max: -0.75, avg15: 0.71)"	"Iron.5m (max: -0.72, avg15: 0.68)"	"NO2 (max: -0.75, avg15: 0.64)"	"Brunt.Väisälä (max: -0.73, avg15: 0.60)"	"Latitude (max: 0.78, avg15: 0.64)"	"Lyapunov (max: -0.76, avg15: 0.64)"	"NO3 (max: -0.69, avg15: 0.55)"
"M0_all"	"Fluorescence (max: -0.70, avg15: 0.66)"	"Temperature (max: 0.77, avg15: 0.64)"	"NO3 (max: -0.54, avg15: 0.51)"	"Carbon.total (max: 0.57, avg15: 0.49)"	"Density (max: 0.47, avg15: 0.43)"	"Salinity (max: 0.55, avg15: 0.42)"	"NO2NO3 (max: 0.46, avg15: 0.39)"	"PO4 (max: 0.42, avg15: 0.36)"
"M0_epi"	"Fluorescence (max: 0.64, avg15: 0.59)"	"Carbon.total (max: 0.63, avg15: 0.56)"	"Temperature (max: 0.67, avg15: 0.55)"	"ChlorophyllA (max: 0.63, avg15: 0.53)"	"Oxygen (max: -0.66, avg15: 0.53)"	"Latitude (max: -0.49, avg15: 0.41)"	"HCO3 (max: -0.56, avg15: 0.39)"	"Salinity (max: 0.52, avg15: 0.38)"
"M0_epi-nonpolar"	"CO3 (max: -0.57, avg15: 0.45)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.44, avg15: 0.40)"	"Carbon.total (max: -0.49, avg15: 0.38)"	"FluxAttenuation (max: 0.40, avg15: 0.35)"	"Fluorescence (max: 0.58, avg15: 0.41)"	"HCO3 (max: 0.64, avg15: 0.44)"	"ChlorophyllA (max: 0.50, avg15: 0.39)"	"NO3 (max: -0.48, avg15: 0.35)"
"M0_nonpolar"	"NO3 (max: -0.70, avg15: 0.67)"	"Fluorescence (max: 0.70, avg15: 0.63)"	"Temperature (max: 0.66, avg15: 0.59)"	"Density (max: -0.57, avg15: 0.52)"	"Oxygen (max: 0.48, avg15: 0.43)"	"NO2NO3 (max: 0.54, avg15: 0.45)"	"PO4 (max: 0.47, avg15: 0.39)"	"CO3 (max: -0.51, avg15: 0.40)"
"M0_polar"	"NO2 (max: -0.68, avg15: 0.60)"	"Iron.5m (max: -0.68, avg15: 0.63)"	"CO3 (max: -0.66, avg15: 0.60)"	"Latitude (max: 0.67, avg15: 0.62)"	"Temperature (max: -0.64, avg15: 0.56)"	"Oxygen (max: 0.69, avg15: 0.60)"	"Ammonium.5m (max: 0.60, avg15: 0.53)"	"Carbon.total (max: 0.57, avg15: 0.48)"
"M0_srf"	"Fluorescence (max: 0.73, avg15: 0.67)"	"Oxygen (max: 0.74, avg15: 0.65)"	"Carbon.total (max: 0.72, avg15: 0.61)"	"Temperature (max: -0.72, avg15: 0.63)"	"ChlorophyllA (max: 0.69, avg15: 0.58)"	"Latitude (max: -0.53, avg15: 0.47)"	"Salinity (max: 0.55, avg15: 0.45)"	"Brunt.Väisälä (max: 0.53, avg15: 0.44)"
"M0_srf-nonpolar"	"HCO3 (max: -0.94, avg15: 0.76)"	"CO3 (max: 0.59, avg15: 0.49)"	"Mean Flux at 150m (max: -0.60, avg15: 0.48)"	"Fluorescence (max: 0.61, avg15: 0.48)"	"Carbon.total (max: -0.49, avg15: 0.41)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.55, avg15: 0.45)"	"NO3 (max: -0.57, avg15: 0.43)"	"ChlorophyllA (max: 0.60, avg15: 0.44)"
"M0_srf-polar"	"CO3 (max: -0.86, avg15: 0.72)"	"NO2 (max: -0.75, avg15: 0.69)"	"Oxygen (max: -0.77, avg15: 0.71)"	"Latitude (max: -0.75, avg15: 0.69)"	"Iron.5m (max: 0.77, avg15: 0.71)"	"NO3 (max: 0.70, avg15: 0.60)"	"Lyapunov (max: -0.83, avg15: 0.62)"	"Temperature (max: 0.75, avg15: 0.56)"
"M1_all"	"Fluorescence (max: -0.70, avg15: 0.63)"	"Temperature (max: 0.74, avg15: 0.60)"	"NO3 (max: 0.53, avg15: 0.49)"	"Carbon.total (max: -0.56, avg15: 0.48)"	"Density (max: 0.48, avg15: 0.42)"	"Salinity (max: -0.48, avg15: 0.41)"	"NO2NO3 (max: 0.39, avg15: 0.36)"	"ChlorophyllA (max: 0.48, avg15: 0.39)"
"M1_epi"	"Carbon.total (max: -0.61, avg15: 0.55)"	"Fluorescence (max: -0.64, avg15: 0.55)"	"Temperature (max: 0.65, avg15: 0.52)"	"ChlorophyllA (max: 0.63, avg15: 0.50)"	"Oxygen (max: 0.62, avg15: 0.49)"	"Latitude (max: -0.46, avg15: 0.41)"	"HCO3 (max: -0.48, avg15: 0.38)"	"Salinity (max: -0.46, avg15: 0.39)"
"M1_epi-nonpolar"	"CO3 (max: -0.57, avg15: 0.43)"	"HCO3 (max: 0.61, avg15: 0.45)"	"FluxAttenuation (max: 0.41, avg15: 0.34)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.47, avg15: 0.40)"	"Carbon.total (max: -0.46, avg15: 0.38)"	"Fluorescence (max: 0.51, avg15: 0.37)"	"ChlorophyllA (max: 0.44, avg15: 0.37)"	"NO3 (max: -0.50, avg15: 0.33)"
"M1_nonpolar"	"NO3 (max: -0.68, avg15: 0.65)"	"Fluorescence (max: -0.63, avg15: 0.60)"	"Temperature (max: 0.67, avg15: 0.57)"	"Density (max: -0.60, avg15: 0.51)"	"Oxygen (max: 0.48, avg15: 0.41)"	"NO2NO3 (max: -0.47, avg15: 0.41)"	"PO4 (max: 0.44, avg15: 0.36)"	"Si (max: -0.37, avg15: 0.32)"
"M1_polar"	"NO2 (max: 0.66, avg15: 0.61)"	"CO3 (max: 0.68, avg15: 0.59)"	"Iron.5m (max: -0.63, avg15: 0.58)"	"Latitude (max: 0.67, avg15: 0.59)"	"Oxygen (max: 0.67, avg15: 0.57)"	"Temperature (max: -0.57, avg15: 0.51)"	"Ammonium.5m (max: -0.61, avg15: 0.52)"	"NO3 (max: 0.65, avg15: 0.51)"
"M1_srf"	"Fluorescence (max: 0.74, avg15: 0.63)"	"Oxygen (max: -0.72, avg15: 0.62)"	"Temperature (max: 0.71, avg15: 0.60)"	"Carbon.total (max: 0.69, avg15: 0.60)"	"ChlorophyllA (max: 0.71, avg15: 0.56)"	"Latitude (max: -0.52, avg15: 0.47)"	"Salinity (max: -0.53, avg15: 0.44)"	"Gradient.Surface.temp(SST) (max: -0.51, avg15: 0.43)"
"M1_srf-nonpolar"	"HCO3 (max: -0.94, avg15: 0.78)"	"CO3 (max: 0.59, avg15: 0.47)"	"Mean Flux at 150m (max: -0.56, avg15: 0.46)"	"NO3 (max: -0.64, avg15: 0.42)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.53, avg15: 0.44)"	"Carbon.total (max: 0.52, avg15: 0.40)"	"Fluorescence (max: 0.52, avg15: 0.43)"	"ChlorophyllA (max: 0.50, avg15: 0.42)"
"M1_srf-polar"	"CO3 (max: -0.86, avg15: 0.71)"	"NO2 (max: 0.77, avg15: 0.69)"	"Oxygen (max: -0.75, avg15: 0.65)"	"Iron.5m (max: -0.77, avg15: 0.67)"	"Latitude (max: -0.78, avg15: 0.68)"	"NO3 (max: -0.70, avg15: 0.60)"	"Temperature (max: 0.68, avg15: 0.54)"	"Lyapunov (max: -0.76, avg15: 0.62)"
"guidi_all"	"Fluorescence (max: -0.69, avg15: 0.58)"	"Temperature (max: 0.67, avg15: 0.54)"	"Carbon.total (max: -0.57, avg15: 0.46)"	"NO3 (max: -0.50, avg15: 0.42)"	"ChlorophyllA (max: 0.46, avg15: 0.40)"	"Salinity (max: 0.50, avg15: 0.38)"	"HCO3 (max: 0.49, avg15: 0.38)"	"Density (max: -0.40, avg15: 0.35)"
"guidi_epi"	"Fluorescence (max: -0.63, avg15: 0.54)"	"Temperature (max: 0.60, avg15: 0.49)"	"ChlorophyllA (max: -0.60, avg15: 0.51)"	"Carbon.total (max: -0.64, avg15: 0.51)"	"Oxygen (max: -0.55, avg15: 0.47)"	"Latitude (max: -0.48, avg15: 0.43)"	"HCO3 (max: 0.55, avg15: 0.40)"	"Salinity (max: 0.50, avg15: 0.37)"
"guidi_epi-nonpolar"	"HCO3 (max: 0.71, avg15: 0.51)"	"Fluorescence (max: -0.48, avg15: 0.39)"	"CO3 (max: -0.58, avg15: 0.41)"	"NO3 (max: -0.60, avg15: 0.38)"	"ChlorophyllA (max: -0.51, avg15: 0.36)"	"NO2 (max: -0.45, avg15: 0.33)"	"NPP 8d VGPM (mgC/m2/day) (max: -0.39, avg15: 0.30)"	"Temperature (max: -0.41, avg15: 0.30)"
"guidi_nonpolar"	"NO3 (max: -0.66, avg15: 0.58)"	"Fluorescence (max: -0.65, avg15: 0.55)"	"Temperature (max: 0.59, avg15: 0.47)"	"Density (max: -0.50, avg15: 0.42)"	"HCO3 (max: 0.72, avg15: 0.43)"	"NO2NO3 (max: -0.49, avg15: 0.38)"	"PO4 (max: -0.48, avg15: 0.35)"	"Oxygen (max: -0.43, avg15: 0.37)"
