	abs_sum
LiuR	3.385665077162681
AgaR	3.3803908900223596
KdgR	3.2764479215393854
MetR	3.219296775361013
SahR_SamR	3.1473334191051796
PhnF	3.0601915517139195
NtrC	3.001990560051261
NagC	2.9975708060359856
FabR	2.9633536036949737
FUR	2.9500268653576502
ThiR	2.8052754169226617
NnrR	2.6331472160857445
HrcA	2.61532387585529
LexA	2.6038307218845045
MntR	2.602107129854235
Zur	2.5897537075691224
Irr	2.5310406064491184
XylR	2.523952214250469
GguR	2.485573110257076
GulR	2.38233490621096
PrpR	2.361530875828591
CsoR	2.329590373772007
RbkR	2.3178059463012985
GntR	2.294062167803976
PurR	2.210305602606712
