	PhnF	AgaR	GulR	Irr	SiaR	CzrA	MetR	SahR_SamR	KdgR	FUR	NagC	IscR	RbkR	NsrR	Phr	MntR	ArgR	NrtR	ThiR	Zur	BirA	XylR	AraR	ModE	NadQ	LldR	NrdR	GguR	NagR	Rex	HutC	PhrR	CcpA	NiaR	FnrN_FixK	HcpR	GlcC	DasR	FadR	NifA	BioQ	MerR	FadP	FruR	LiuR	GntR	NnrR	NtrC	RbsR	AcnR	CueR	PhnR	PdxR	HrcA	PurR	CsoR	ZntR	FixJ	NmlR	PaaR	CblR	PdhR	HypR	SdaR	HexR	TrpR	TyrR	HisR	PsrA	NagQ	NarP	LiuQ	LexA	SoxR	QorR	FabR	PhsR	NorR	LtbR	MetJ	AmtR	RutR	TtrR	VanR	CadR-PbrR	NikR	ExuR_UxuR	PrpR
PhnF	1.0	0.5727976658063069	0.5004127233506652	0.5462237683761643	0.5171061983316501	0.6481602014987718	0.6460554371002132	0.7281063354904674	0.5718998990012344	0.6468384892579708	0.6755620394269255	0.6426738488011072	0.6480504744448186	0.7002955149066696	0.6529083903789324	0.6054464519507724	0.6171872467237746	0.6330228556465791	0.6815870522076335	0.6771281437424407	0.4848015561291288	0.46011296898963827	0.5905884113268245	0.5437100213219617	0.514851806132246	0.3720719709722066	0.38489008591129564	0.45549944513023854	0.5198842878340129	0.2578860085537226	0.5255900946395841	0.3693088442499283	0.2420903003778102	0.27188618311949025	-0.2331924338208706	-0.23952168979663088	-0.10259728924300801	-0.27035499195750573	-0.3504657165301313	-0.4303869125550194	-0.4564620506490106	-0.4010748263694061	-0.5499095998703226	-0.4880285290340279	-0.7145749947006821	-0.6068180401251886	-0.6716517662314991	-0.6904101048641504	-0.5901295527375653	-0.583411264479607	-0.6548784897567301	-0.2923403034950561	-0.5293457524408035	-0.5207421538921931	-0.5700046135238594	-0.4520629933041559	-0.3251038042868365	-0.3391638299729423	-0.4682427461689048	-0.42484569633037816	0.1704584845197571	0.07200339156348583	-0.03337448097856582	-0.14512649783663137	0.11008366687863938	0.020366837491739297	-0.14288208082395043	-0.05225750944525493	-0.01916482749161461	0.05777877529645008	-0.07053703911520094	-0.21977082008503845	-0.30231050262472103	-0.17734136335864537	-0.22450903377847603	-0.49186398832903155	-0.35052058005710796	-0.19301736929388147	-0.078098230651255	-0.13136074015885485	-0.07401837928153718	-0.08050225065150439	-0.11249766206561179	0.09888651978204217	0.12029327048965698	0.029962967119290765	0.028960460853626604	-0.0429007842990561
AgaR	0.5727976658063069	1.0	0.6693774236586492	0.5849823563884836	0.6028878165563162	0.6202147158942132	0.7452087931270963	0.7996084739211212	0.7295677003453909	0.7777279018441626	0.7643910771954763	0.6355914662277584	0.6890883926233494	0.6799710719585033	0.6105936482998541	0.6394618386762927	0.6732527837005449	0.6388583398795497	0.6966396089726804	0.6824249678923677	0.45655681492287936	0.509400366588112	0.5732964251424582	0.5210962730208606	0.5702091048516814	0.3108991383932468	0.2846394593448796	0.4901731941794785	0.4453596678262821	0.2376812678462325	0.3572538310951508	0.47118542625219767	0.35395204428982907	0.37935884487337745	-0.16665793837828402	-0.14168007082382572	-0.13184453671492163	-0.13553535580244142	-0.17586004813027595	-0.48185388845247445	-0.4603374106909064	-0.4516141099016197	-0.5155351064227733	-0.5060337410690906	-0.7308744498061073	-0.747702589807853	-0.7601566104315515	-0.7767503335453061	-0.4561927206074889	-0.5795359044377112	-0.6377909949001858	-0.3966258930909363	-0.555171510866719	-0.6362049402112245	-0.574568261449644	-0.5243332211124827	-0.44596815421638675	-0.48108081148143994	-0.5192059751368471	-0.45513036322148653	0.20890285415030113	0.2604546191349019	0.026461676579508472	-0.11411862990810359	-0.00634172495916408	-0.080168081896283	-0.13461763862392298	-0.06299081035923142	-0.01781318969064452	-0.10831307123530219	-0.34538834648811084	-0.2552475716654821	-0.357887255452063	-0.2333819623686081	-0.42855646579134404	-0.5656604197059814	-0.425903066123019	-0.2807192109627302	0.03384331475454806	-0.12039302235688724	-0.11285676878764074	0.04867142981832691	0.14307659696504943	0.200184540954376	-0.013189690644521752	-0.07570917343109017	0.0038229903115998953	-0.0914001421464108
GulR	0.5004127233506652	0.6693774236586492	1.0	0.5591765483360142	0.552178954849811	0.636918166061921	0.6930984176860061	0.7161859873564508	0.6961558124166137	0.7337024152420853	0.6952979463584334	0.6215314405416527	0.6678961084302797	0.6534769760221449	0.5967331263482089	0.655761293781718	0.6740956869786406	0.6829187396351576	0.6652526839486776	0.665761418471552	0.5091908876669285	0.508038753600419	0.5273856282497288	0.5486028504096061	0.5278943627726032	0.28205089839025427	0.31383184328981656	0.30579184279105726	0.3774585718026409	0.256344842205015	0.4033042806020025	0.41590792902654644	0.33199167071908625	0.2078404967642988	-0.22865372386189353	-0.14900185787852716	-0.18737640120201	-0.3166997094726867	-0.2982755395952568	-0.525201062357386	-0.4455442087806581	-0.4420828189877679	-0.5669771443534208	-0.5302385316525143	-0.6160001995037344	-0.6396862803775608	-0.6780608237010437	-0.7536178755346077	-0.5589969949749997	-0.5351163979600743	-0.6070724073866258	-0.3199117195975012	-0.4398034888215564	-0.5943440691280439	-0.5910422823227223	-0.43513510143517997	-0.3808351725083854	-0.4412399157096722	-0.4901632189927555	-0.44876619409219565	0.0965273881220464	0.23162632950535542	0.0915846831007868	-0.0958839885784112	0.04436214915397948	0.051893415129864465	0.06030748513073729	-0.07227770919836905	0.08865696579757852	-0.02460629184902555	-0.17254828613823114	-0.1535804685843963	-0.2532425591341538	-0.18250851008117308	-0.35426127507824284	-0.4768114315639846	-0.3033678724173618	-0.15318146111547526	-0.05598822927966683	-0.07674659285028491	-0.033509145999326674	0.11102632202396538	0.12869237771044525	0.17263307522537688	-0.0693549794885223	-0.15245826007805582	-0.03742939438147608	-0.056836120151124075
Irr	0.5462237683761643	0.5849823563884836	0.5591765483360142	1.0	0.5279691766730259	0.6259604234466764	0.6341151385927505	0.62508260701505	0.6197807952717614	0.6261848651479445	0.6391775458546864	0.6068180401251886	0.6424444195064777	0.6473123106273145	0.5952168979663088	0.5662090549757478	0.5663038192496166	0.5987979899998753	0.56153567999601	0.5813663512013866	0.49199865334979237	0.47595855309916585	0.5396152071721593	0.5436202446414544	0.5211411613611142	0.235237347099091	0.2659110462723974	0.46974401177072034	0.3902567363682839	0.2816768288881408	0.36707939001733186	0.38334891956258804	0.2196710682178082	0.3062257634135089	-0.27748725046446965	-0.2054664023242185	-0.2332772229080163	-0.24576116909188395	-0.25732739809723315	-0.4892804149677677	-0.40862604271873715	-0.48767440990536043	-0.4894499931420591	-0.4329555231361987	-0.6459656604197059	-0.632623848177658	-0.626937991745533	-0.6688337759822441	-0.6169727802092295	-0.443035449319817	-0.5569221561366102	-0.3254379730420579	-0.5286574645569146	-0.5258394743076596	-0.5571615606179628	-0.4254092943802292	-0.3714584969887405	-0.460955872267734	-0.4851057993241811	-0.504637214927867	0.0996147084128231	0.2954974500928939	0.057050586665669145	-0.07800845397074777	0.11463235202433945	-0.02969363707776905	-0.055948328532774726	-0.059280040898265565	-0.07644733724859412	0.046042968116809434	-0.1400491277946109	-0.3127894362772603	-0.39367323782092045	-0.33179715457798725	-0.3254429606354194	-0.4851706380378808	-0.30247010561228943	-0.03967879898751855	-0.10169952243793563	-0.09939525430491652	-0.026686118280776567	0.07320540156361052	0.0633997930148755	0.14823376850085412	0.020272073217870546	-0.2289829050237534	-0.0933951794910161	-0.15702190800384044
SiaR	0.5171061983316501	0.6028878165563162	0.552178954849811	0.5279691766730259	1.0	0.545560418459083	0.6507288120799511	0.6216511427823289	0.6123442935697453	0.6197408945248694	0.6248980660606741	0.5582338931906882	0.5372361251387174	0.5829324555169018	0.5627077644359655	0.575500941408247	0.5510866719036397	0.5701791792915124	0.5589870197882767	0.5878851357248843	0.4339480542151398	0.3712739560343645	0.4869212833077719	0.5175700445142708	0.4710258232646292	0.339248619060088	0.28605593585954936	0.44344941956882256	0.23161136672527088	0.18342123966633	0.3907953964513273	0.30538286013541316	0.16980510978939886	0.17960074315141086	-0.29515330615094953	-0.23220489033529096	-0.23012506390353996	-0.20566590605867904	-0.2766792603399045	-0.4178131896906445	-0.3680370079427424	-0.31743288569682915	-0.4043217496477512	-0.3701467599346625	-0.6247185126996596	-0.6359356101697029	-0.5990872704148431	-0.6999214454045561	-0.4774997194478734	-0.5300190775446078	-0.547221287048467	-0.4236087731767229	-0.5130363221486552	-0.512587438746119	-0.5401139665083106	-0.4045112781954887	-0.3687502337934388	-0.34906420279554606	-0.37701966358682776	-0.3793239317198469	0.0970510854250053	0.24449930797142108	0.09845259915959052	-0.10464719011458996	0.05376376264043192	0.03447673911146024	-0.013269492138305965	-0.13664758912205888	-0.05368396114664772	-0.05803813015124877	-0.15518148605344206	-0.15779498497487499	-0.3384156909687153	-0.22384568386139478	-0.4263569371189167	-0.4659983291562239	-0.3464556914674747	-0.11335552812379207	-0.06320028928041496	-0.09486651953266251	-0.06973902417735882	0.026780882554645318	0.09564957169042008	0.23777603212010126	0.16067781393782965	-0.10656741355877256	-0.01707003827977905	-0.23618000224441701
CzrA	0.6481602014987718	0.6202147158942132	0.636918166061921	0.6259604234466764	0.545560418459083	1.0	0.7509894138330901	0.8267010810608612	0.7597077270290153	0.8189054726368159	0.8119078791506128	0.7769498372797666	0.7787204329231038	0.8752303644683849	0.828721056372274	0.7826257185251686	0.8435741094028604	0.8228556465791343	0.8140874574495941	0.8038978042120226	0.7974987219292011	0.6655569271437299	0.7322410503871619	0.7525206049950748	0.6928041496776768	0.41066596840359604	0.4603174603174603	0.31247023030212345	0.44665145450691407	0.455484482350154	0.6253369742764873	0.5362435940597763	0.3454432100150875	0.40256112919113707	-0.3651541789797878	-0.4283220489033529	-0.35512412872978466	-0.4931358246362174	-0.32470978441127696	-0.6608037506702079	-0.6611778201723213	-0.7231536552824848	-0.718305714535094	-0.6477362560630432	-0.6606241973091934	-0.6909138517936633	-0.7465704061147894	-0.7311587426277135	-0.7193231835808427	-0.6848688886395092	-0.7773787703088567	-0.4704522500280552	-0.5664384842703775	-0.5392910136036609	-0.5956059302485068	-0.5743138941882069	-0.43990822828214815	-0.5527226025262161	-0.5161136672527089	-0.5834362024464146	0.10426813301911494	0.19677801468846245	0.18156086734248555	0.006975149316076261	0.24334717390491153	0.17291736804698313	0.10830808364194067	0.11785433733587701	0.1396750582924974	0.07573909899125925	-0.0359281287796606	-0.24214516390478685	-0.217142358383521	-0.19956607937754836	-0.2622850658985773	-0.38240127682390057	-0.3141011733313383	-0.16379007219541392	-0.146677639372062	-0.15228868190376438	-0.04306537487998603	-0.043219990274192946	-0.06865671641791045	0.13236324642451902	0.012855521889300366	0.024641205002556142	0.015937854586715546	-0.04459157844860909
MetR	0.6460554371002132	0.7452087931270963	0.6930984176860061	0.6341151385927505	0.6507288120799511	0.7509894138330901	1.0	0.9021533934338334	0.8862928465442212	0.9018092494918889	0.9057145350939538	0.8112694672003392	0.8369156722652402	0.8357435878252846	0.8041820970336289	0.8513846806069901	0.8556939612713376	0.8550405865409794	0.880711729572688	0.8641030436788488	0.672155513161012	0.6317161061858627	0.67742241175077	0.6085337722415491	0.6643848427037744	0.34675494706916543	0.33351787428770935	0.4482075836357062	0.40097507450217584	0.3653038067806332	0.45439219940398257	0.52350029302111	0.4606167159191511	0.2821855634110151	-0.360540655120388	-0.21881320215962793	-0.33989201860372326	-0.37896981259117946	-0.4569209092382698	-0.5594508659708974	-0.5564583099539895	-0.6296312921607501	-0.7213431588922555	-0.6806194590954999	-0.7516078754099178	-0.7861419718450354	-0.8201324206037481	-0.8280876320153618	-0.5655008167184129	-0.7576727889375179	-0.7415478995997457	-0.42606266911058743	-0.5725233481714236	-0.6797665806306812	-0.5624484095811668	-0.49962468359954615	-0.4754348557962069	-0.5147520542650158	-0.4910310602376588	-0.5591117096223145	0.22899786780383796	0.23624484095811668	0.04906544969388646	-0.017768301350390904	0.13628848240002991	0.065659172807641	0.025129989151984437	0.13700170825072633	0.13855783737951846	-0.04095063529470442	-0.16542101522462874	-0.07714560031920598	-0.2146136485492338	-0.11155500692028579	-0.32266487113305653	-0.5527625032731082	-0.45117021409244507	-0.3509545006795596	-0.12828339505480119	-0.20701255626628762	-0.06456688986146959	-0.06646217533884462	0.03978353844811033	0.059185276624396814	-0.020820708487637004	-0.05008790633299667	-0.03242185064651679	-0.21092282946171398
SahR_SamR	0.7281063354904674	0.7996084739211212	0.7161859873564508	0.62508260701505	0.6216511427823289	0.8267010810608612	0.9021533934338334	1.0	0.8529557725158667	0.916328133767254	0.912158505717029	0.8129602613498922	0.8499881544657664	0.8963179092008629	0.8358632900659609	0.8565418521427948	0.8894998690756742	0.8721979077045848	0.8983279093255527	0.8592251773712889	0.7261112981458622	0.6731779698001222	0.7389393882716742	0.6724797067295103	0.6619658599234405	0.377119415454058	0.37980274068255215	0.4196137108941508	0.43237696230626316	0.4435641342161374	0.5447175151809873	0.5633860771331314	0.44680108230775945	0.425154927118792	-0.3069340016708438	-0.27500841656379754	-0.2901258120425442	-0.3579520941657627	-0.3862417237122657	-0.613760770084415	-0.6400753126597588	-0.695312909138518	-0.7564558161573087	-0.7033828351974464	-0.7717228394369007	-0.7937879524682353	-0.8357485754186461	-0.8186311550019327	-0.6181249142757391	-0.7728201099764336	-0.7714485218020175	-0.4530106360428434	-0.6059352361002007	-0.6617264554420879	-0.6479207970174191	-0.537455579246624	-0.5066023267123031	-0.56305190837791	-0.6155313657277522	-0.6113367997107196	0.2036908190875198	0.23740695021134928	0.09768949737527899	-0.01855135350814848	0.12492674472250277	0.12367984638212447	0.039075300190775444	0.0836344592825347	0.14623374356288732	0.004177109440267335	-0.12366488360203992	-0.19015947829773439	-0.24720258357336125	-0.17001957630394393	-0.32261499519944137	-0.5384580855122881	-0.42067606828015314	-0.32202645918278283	-0.10513098667065675	-0.19304729485405056	-0.06934999189516079	-0.09188393870247759	0.009119814461526952	0.1000286786618287	-0.0021770845023005273	0.016237110188406338	0.07220788289130788	-0.062073093180712975
KdgR	0.5718998990012344	0.7295677003453909	0.6961558124166137	0.6197807952717614	0.6123442935697453	0.7597077270290153	0.8862928465442212	0.8529557725158667	1.0	0.9113255776256561	0.9288719310714597	0.7961271337547849	0.8529408097357822	0.8412349281163107	0.8137981770346263	0.8752353520617464	0.8831756006932755	0.8897093479968579	0.8977244105288096	0.8474245314779486	0.7474382473596928	0.6746692602152147	0.6825097569795134	0.6365391089664459	0.673641815982743	0.3834037830895647	0.3871594408907842	0.3488048479407474	0.333009139764835	0.45192334069003354	0.422326961682814	0.5961096771780197	0.5087370166710308	0.3130138779785284	-0.3681567101834187	-0.24454918390503622	-0.33953291188169427	-0.38702976346338486	-0.49594383969874933	-0.5661891046023018	-0.6453521864362398	-0.6732378209204604	-0.764884848938266	-0.6854424618760833	-0.7000710732054015	-0.819508971433559	-0.7904263145425754	-0.8145862167857455	-0.5754809910348009	-0.7333532837067794	-0.7171535804685844	-0.4263469619321937	-0.5750670207857953	-0.6850185164403546	-0.5143430716093716	-0.5173705407798103	-0.49173431090163217	-0.5501789299118443	-0.5288270427312062	-0.6257908452723849	0.15212409132283444	0.30835047818551353	0.09844262397286749	-0.07173406152196411	0.19070811356750084	0.06330004114764523	0.09349991895160788	0.20774074489706854	0.22685320265838727	0.005832990436289729	-0.09142009251985686	-0.07904587338994251	-0.14386463671616853	-0.057564308781905014	-0.3168842504270627	-0.491849025548947	-0.39479045873389945	-0.30828563947181387	-0.16637364555667777	-0.21836930635045324	-0.17595979999750622	-0.06466165413533835	0.03507525031484183	0.04863152907143481	-0.13118118679784038	-0.09773937330889412	0.017603710769460965	-0.14101173331338296
FUR	0.6468384892579708	0.7777279018441626	0.7337024152420853	0.6261848651479445	0.6197408945248694	0.8189054726368159	0.9018092494918889	0.916328133767254	0.9113255776256561	1.0	0.9275302684572126	0.8498884025985362	0.8542076584496066	0.8690856494470006	0.8371650519333159	0.9061285053429594	0.9135899450117831	0.904093567251462	0.9154602925223506	0.8930211099889026	0.7404705794336588	0.7176373770246511	0.7309243257397224	0.6591179441140164	0.6976321400516216	0.342804773126847	0.38316437860821206	0.37065549445753687	0.36901956383496054	0.4798837890746767	0.5196199453858527	0.5986832753525605	0.5163480841407	0.36367286375141833	-0.37270539532911884	-0.2612875472262746	-0.3485006047456951	-0.45573386201822963	-0.3943914512649784	-0.6477362560630432	-0.6426638736143843	-0.715303183331463	-0.7485654434593948	-0.7329044003042432	-0.7501564857417174	-0.7988353969500867	-0.8709809349243756	-0.8194640830933054	-0.6442150151498148	-0.7543909525056423	-0.7789049738774798	-0.4251998154590456	-0.5661442162620481	-0.6255664035711168	-0.5847778650606617	-0.5580144390827816	-0.5101135924388085	-0.5564034464270128	-0.5614209653486951	-0.5877404955174005	0.19689771692913877	0.22846918290751755	0.1449818576291475	-0.01053629097619671	0.16569034526615045	0.08874674247808576	0.03422735944338458	0.15590468709086147	0.21358620431676206	-0.02498036135113904	-0.13203905285602066	-0.08179902492549783	-0.22435940597763065	-0.09274180476065787	-0.29701866606815547	-0.5239392012369232	-0.47325028990386414	-0.27584134465517024	-0.14469756480754123	-0.192079701741917	-0.07707078641878327	-0.05473634334592701	0.01566852454519383	0.06022768363695308	-0.023718500230676193	-0.0914749560468335	0.04046683873863764	-0.10514594945074128
