	IscR	NsrR	Phr	Zur	SahR_SamR	FUR	NagC	ThiR	MntR	ArgR	NrtR	RbkR	KdgR	MetR	BirA	CzrA	HexR	PhrR	AgaR	GulR	XylR	AraR	ModE	NadQ	SiaR	HutC	Irr	PhnF	HypR	SoxR	NagQ	NarP	PdhR	VanR	NiaR	Rex	TrpR	TyrR	HisR	CcpA	PsrA	GguR	NrdR	LldR	NagR	NifA	CueR	AcnR	FruR	FadP	MerR	LiuR	RbsR	FadR	NnrR	GntR	NtrC	HrcA	PurR	NmlR	ZntR	BioQ	DasR	CsoR	PdxR	GlcC	FixJ	PaaR	AmtR	PrpR	PhsR	RutR	HcpR	TtrR	FabR	LexA	FnrN_FixK	PhnR	LtbR	QorR	CblR	LiuQ	MetJ	NorR	ExuR_UxuR	SdaR	CadR-PbrR	NikR
IscR	1.0	0.8615437997117387	0.8484652751828324	0.8607270592003416	0.8513372124059146	0.8721133828004057	0.8504724283350238	0.8536699941280094	0.8486094058613143	0.8499012437943736	0.8505952063203972	0.8208081994341536	0.8179522767309026	0.8246890514066086	0.7972828698019537	0.8082261250200181	0.5774995996370043	0.6490417978967598	0.717914909517963	0.7100891474937276	0.6958255484973043	0.6823199701062297	0.6908717236961511	0.7179362622110713	0.6497624512891689	0.6368333956120216	0.6774302033844019	0.689280948059574	0.2802540970479902	0.2077029840388619	0.060695030160679016	0.14533176746917206	0.1641755191373512	0.14868947846047081	0.43062510009074895	0.537975764693322	0.4474883894731223	0.3091122617840175	0.3429989857470773	0.4507660278652645	0.46026797629851063	0.32223882987241764	0.45055783910745745	0.33637965088346766	0.36676987135002403	-0.7207441413548283	-0.7889339667965622	-0.7914375700635242	-0.7683072652538301	-0.7651203758073987	-0.698062243100411	-0.7790423317140874	-0.7437836972188118	-0.7264132813751134	-0.8460577590348582	-0.7554262531361768	-0.8227299418139112	-0.5726792291677788	-0.5886990871723696	-0.5289115464687983	-0.5058559760849837	-0.6276357230555704	-0.5553355041904661	-0.5451662840975818	-0.5847968825068062	-0.5613676399935942	-0.6331927614370363	-0.6026744248118294	-0.08457801740244489	-0.15034965034965034	-0.31371910532215874	-0.256867559920995	-0.21812309827577003	-0.2477232690973149	-0.4437196391394865	-0.271873165002936	-0.4339294293492767	-0.42227085891208027	-0.40823146319329523	-0.35499386110073133	0.12363743127101906	0.016575028025409704	-0.2620349116532323	-0.19669033256819515	-0.06640687556718092	-0.03723375860780441	-0.005759888965995837	-0.10190572785992634
NsrR	0.8615437997117387	1.0	0.9492393103080126	0.9128222922116052	0.9402177974697059	0.9089734692788128	0.9329578818128437	0.9220733465008274	0.9115037634121603	0.9352052527625047	0.944461645225004	0.8919767255645118	0.8814284951689532	0.8790423317140874	0.9004057011690599	0.9088240004270539	0.6482997918112422	0.746911866759195	0.7645171622270859	0.7675599209950354	0.7402551646826456	0.7456947632520151	0.8168205839961565	0.8067474510222602	0.6626434634068222	0.7175999572946138	0.7295574654353281	0.7687770245022153	0.29647146746383385	0.20565312550045375	0.20652858591789888	0.16467730742539902	0.17754230502322105	0.16244595099556933	0.4738749799818502	0.6373245075535152	0.5888378796775743	0.4466449580953398	0.4405007206533924	0.4904126407943202	0.508936102065873	0.3900389686649229	0.5045000800725992	0.33787967757433407	0.34811295574654355	-0.7954785672342924	-0.856461858751935	-0.8735813804516095	-0.8287780921368708	-0.8400309614050072	-0.8105108631826189	-0.820418512784925	-0.8313244007900497	-0.7992152885282656	-0.8502428868841082	-0.8221107137137671	-0.8339881492553248	-0.5906635349383441	-0.6409224363422836	-0.6323279773661453	-0.5422356269684514	-0.6721080446271286	-0.6519511023327818	-0.6296055089948219	-0.715518069716543	-0.6595046175198847	-0.7632306624673036	-0.7021886510436128	-0.18333422302887953	-0.18780761223509315	-0.28620616025196177	-0.3238135909891635	-0.34730689158170075	-0.3461912133667859	-0.36444776597448353	-0.3803928895531949	-0.47404046335344047	-0.5413281375113436	-0.4532109112261784	-0.41828858164736027	0.027769177387497998	-0.008183419633801313	-0.18489296962579405	-0.1646506165590135	-0.04476058292852186	0.03205039235573587	-0.009912987775583195	0.02818021672983505
Phr	0.8484652751828324	0.9492393103080126	1.0	0.9245449207281269	0.9229594832648268	0.9077990711578497	0.9412534030854641	0.9231196284631399	0.9212619441627076	0.9183953451129023	0.954161106069503	0.8801900389686649	0.8803822132066407	0.8869001227779854	0.9030534351145039	0.8897720600010677	0.6843057705653125	0.7293332621576897	0.7615064324987989	0.7449634335130518	0.7514866812576736	0.7301500026690866	0.7892916244061282	0.8098756205626435	0.6773234399188598	0.6630598409224363	0.7227299418139113	0.75717183579779	0.29887898361180804	0.2388512251107671	0.12615704905781241	0.19665830352853253	0.17966689798750868	0.15477499599637004	0.4356429829712272	0.6457107777718465	0.5524422142742753	0.42221213900603216	0.4572999519564405	0.4868467410452143	0.5627128596594245	0.4120055517002082	0.48002989377035177	0.32078684674104524	0.30736667912240434	-0.795350451075642	-0.8570917631986334	-0.8379971173864303	-0.8243901137030908	-0.8379757646933219	-0.8208348903005391	-0.7817701382586879	-0.8067954945817541	-0.790759622057332	-0.8605775903485827	-0.81812309827577	-0.8329205145999039	-0.5903592590615492	-0.6022527091229382	-0.6051726899055143	-0.5223776223776224	-0.6701222441680457	-0.6422035979287888	-0.6438103880851972	-0.6785298670794854	-0.7051833662520686	-0.7196925212192388	-0.7162013558960124	-0.2244915389953558	-0.2240377942668019	-0.3141995409170982	-0.3526877702450222	-0.3361074040463353	-0.3745422516414883	-0.31509635402765174	-0.36987135002402177	-0.5259862275129451	-0.5413601665510063	-0.46352960017082157	-0.44499546255271444	0.02646666310788448	0.05165750280254097	-0.2107243901137031	-0.2172796668979875	-0.061848075588533606	-0.02099503549885229	0.01080446271285966	0.05877328778092137
Zur	0.8607270592003416	0.9128222922116052	0.9245449207281269	1.0	0.9045854908450328	0.9257993914482464	0.9185981956974323	0.9273367853520526	0.9202476912400577	0.9138258687877009	0.9340148401217103	0.8832808412961085	0.8816366839267603	0.9059787540703571	0.8614797416324134	0.8520204985853841	0.6729247851385256	0.7415843698286446	0.7706347088026477	0.7670100891474937	0.7425452410185235	0.7381412480649122	0.7866545668072386	0.7822025302941333	0.6630064591896653	0.6685314685314685	0.7016815245822879	0.7306411146105802	0.3280467623979074	0.2962846313991352	0.14016441573693483	0.12955746543532803	0.16702076549404793	0.17382693642235628	0.42082421395398495	0.60975284257727	0.478353707361341	0.39527571664976247	0.48454065018950515	0.5454545454545454	0.5720546628943576	0.3774995996370042	0.4397960817808146	0.2463246676987135	0.32195590668873114	-0.8061335610953931	-0.8434207014359686	-0.8483745262371216	-0.8775049378102813	-0.8347194789942881	-0.8144397587145679	-0.7855228740724924	-0.7709229701596114	-0.7647200128116158	-0.8759408530400897	-0.8132119788608339	-0.8140927774515561	-0.5543105749212619	-0.5782789729354615	-0.572177440879731	-0.5670634708802648	-0.6897667218277905	-0.66712752895959	-0.613425505791918	-0.6593978540543426	-0.6656381786152779	-0.6912827630384882	-0.6982490791651097	-0.17558319543052367	-0.18374526237121658	-0.37099770458549086	-0.32188651043612876	-0.2485239950888806	-0.36118614210217265	-0.3145785512197726	-0.3497250840762291	-0.4712806277691774	-0.5354454705599744	-0.45286926813644374	-0.40877061869428283	0.09571878503176214	0.10329899108525063	-0.1940586131425826	-0.18678802113916618	-0.08905674478193562	-0.01116745849570277	-0.055468958522393634	0.05010409437890354
SahR_SamR	0.8513372124059146	0.9402177974697059	0.9229594832648268	0.9045854908450328	1.0	0.9330753216249399	0.9401804302567661	0.9437623445257033	0.9257566860620295	0.9499386110073132	0.9399722414989591	0.899028452463567	0.9058826669513692	0.9158703891528319	0.9118560828484492	0.885554903112155	0.6158810654993861	0.7342924251321198	0.8169540383280841	0.7882827096567555	0.787957081086852	0.7528639299631666	0.7910532215875727	0.7734692788127903	0.6610793786366306	0.6856082848449261	0.7164308973469279	0.7660492179576149	0.2745529279880425	0.23062510009074894	0.16339614583889392	0.1508621149842524	0.20204985853840815	0.14717343724977314	0.4743447392302354	0.6300325628569904	0.5393797042652004	0.41355896012384563	0.44755778572572463	0.5195804195804196	0.5334756846207228	0.3744194736561149	0.4449260663001121	0.28083595793519456	0.32005017882880477	-0.7828858164736028	-0.8264079432018363	-0.8587732877809213	-0.8710404099717077	-0.8798056904927134	-0.8438157262584743	-0.7926119681844873	-0.7640847701916404	-0.78106549938611	-0.8703037420594673	-0.8503710030427588	-0.822051993807719	-0.6177921315325895	-0.6433299524902578	-0.6356483211445043	-0.5427214007366679	-0.6981796829125073	-0.5943095072866065	-0.6168686275556504	-0.6925052047189452	-0.6561735973949714	-0.7592323706827524	-0.722463033150056	-0.19387711525116105	-0.19268136443708964	-0.3041050552500934	-0.343490097688571	-0.28829338600330967	-0.30346981263011796	-0.3654513425505792	-0.35380878663321413	-0.4540383280841296	-0.5510222601825655	-0.44021245929642877	-0.45124112528692684	0.08948913681738109	0.030646452783857366	-0.16946031068168474	-0.22830833288848557	-0.05971280627769177	0.0050178828804783	-0.05320023487962419	0.06483211445043506
FUR	0.8721133828004057	0.9089734692788128	0.9077990711578497	0.9257993914482464	0.9330753216249399	1.0	0.9517909571344686	0.952271392729408	0.9490684887631452	0.952426199754444	0.9509582021032402	0.8902418192494529	0.9455666470933647	0.9273741525649922	0.8995996370042172	0.8633214114130144	0.6222601825655261	0.75477499599637	0.8122777985373405	0.7936956173597395	0.7976458655847969	0.7449580953397748	0.7572519083969466	0.7901670848235733	0.6632573533336892	0.6440399295361128	0.7019270805530348	0.7083969465648855	0.3039769390914429	0.30987028238936637	0.11553942240965141	0.09843591522980837	0.20904286553141516	0.11877969358885389	0.4117012758234132	0.6255645118240538	0.4867453157529493	0.37578070784177653	0.4711952169967437	0.596733037954412	0.5729407996583569	0.33113222655207386	0.4512304489403726	0.2759622057331981	0.2936742646666311	-0.7915069663161266	-0.8169166711151444	-0.8461805370202317	-0.8724283350237548	-0.858191426893717	-0.8357283937436609	-0.7819569743233865	-0.7656755458282176	-0.7630011210163882	-0.9006459189665297	-0.8572305557038381	-0.8316340148401217	-0.6014306304382641	-0.5868894464314311	-0.6059574013772487	-0.5754817701382587	-0.6938397480382213	-0.6439064752041851	-0.6407569529706935	-0.6525062723536006	-0.6781882239897508	-0.7388885923237068	-0.708631826189078	-0.20065659531308386	-0.21882239897507072	-0.3658837345860247	-0.30200715315219134	-0.25058452997384295	-0.2934714140821011	-0.375241552340789	-0.3357017028772754	-0.48018470079538783	-0.5243634228367052	-0.45725724657022365	-0.45456680723856296	0.11028665990498052	0.12820690759622058	-0.16014519831313725	-0.19795014146159184	-0.0856509902311429	0.002386163454865745	-0.06737842310361394	-0.01864623925692628
NagC	0.8504724283350238	0.9329578818128437	0.9412534030854641	0.9185981956974323	0.9401804302567661	0.9517909571344686	1.0	0.9578551219772594	0.9538194629797683	0.9381946297976832	0.9683553088133241	0.8937116318795708	0.944461645225004	0.9249933272834037	0.9240057652271393	0.8604921795761491	0.6204505418245876	0.759979714941547	0.808375593871777	0.7815405968077723	0.7746490151070303	0.733128703357711	0.7553728714034058	0.7878449794480329	0.6718571504831047	0.645689425078738	0.7161533123365185	0.7231569956760796	0.25901884375166817	0.2787914375700635	0.1110820477232691	0.08932365344579085	0.18603000053381732	0.09980248758874713	0.43831206960977953	0.6425132119788608	0.5093311268883788	0.3949394117333049	0.49187530027224685	0.5648694816633748	0.574526237121657	0.3688517589280948	0.4468051032936529	0.2691773874979982	0.3029466716489617	-0.7634121603587253	-0.8138045160945925	-0.8348956387124326	-0.8433513051833662	-0.8304115731596647	-0.8187583408957455	-0.7815939785405435	-0.7675012010889873	-0.7882133134041531	-0.8698980408904073	-0.8612715528746063	-0.8485506859552661	-0.6487054929803021	-0.6095286392996316	-0.5957775049378102	-0.5345219665830353	-0.6936635883200769	-0.6444189398387872	-0.6393476752255378	-0.6851225110767095	-0.6626060961938824	-0.7416217370415844	-0.7093204505418246	-0.22365878396412747	-0.20761223509315113	-0.31944162707521484	-0.30879730956066836	-0.2984252388832542	-0.33135642982971225	-0.37124326055623763	-0.3275556504564138	-0.5062937062937063	-0.5275930176693535	-0.508065979821705	-0.46984999733091337	0.06293172476378583	0.09103720706774142	-0.20179362622110714	-0.2648321144504351	-0.09121870495916297	-0.026050285592270326	-0.1081620669406929	-0.0226338546949234
ThiR	0.8536699941280094	0.9220733465008274	0.9231196284631399	0.9273367853520526	0.9437623445257033	0.952271392729408	0.9578551219772594	1.0	0.9466129290556772	0.9406875567180911	0.9505738536272887	0.9074574280681151	0.9306731436502429	0.9251588106549938	0.8951262477980035	0.8603320343778359	0.6272033310201249	0.7552661079378636	0.7899642342390434	0.7700688624352746	0.7711952169967438	0.7318422035979288	0.7621843805049912	0.7722361607857791	0.6360700368333956	0.6412907702984039	0.6805210057118454	0.7399348742860193	0.2820423850958202	0.30517802807879146	0.13686008647840708	0.11381519244114664	0.1799071157849784	0.12197192120856243	0.43363049164575884	0.6385736401003577	0.5090535418779694	0.38629157102439543	0.4747717930924038	0.5583035285325362	0.570442534564672	0.35113436182138474	0.4248438584316447	0.2710617626648161	0.3012384562002883	-0.7681791490951796	-0.8296535525543159	-0.8492980302140607	-0.8796081780814605	-0.8533123365184434	-0.8357017028772754	-0.7704905781241659	-0.7662040249826509	-0.7657609566006512	-0.8825655260769765	-0.8469065285859179	-0.8385576255805264	-0.6484866278759408	-0.6112955746543532	-0.5811402338119895	-0.5465275182832434	-0.6834516628409758	-0.6423317140874393	-0.6401644157369348	-0.6804836384989057	-0.6590028292318368	-0.7316767202263386	-0.7011210163881919	-0.19899108525062723	-0.21043612875673945	-0.3421075108098009	-0.32568728980942724	-0.31052687770245024	-0.31024929269204077	-0.3417872204131746	-0.34378369721881175	-0.5050178828804783	-0.5145038167938931	-0.4748999092510543	-0.4447605829285219	0.11542198259755512	0.109443228527198	-0.16972721934553994	-0.24649015107030375	-0.11299311375647253	0.009122938130571719	-0.08159931671382054	0.05513265360593605
MntR	0.8486094058613143	0.9115037634121603	0.9212619441627076	0.9202476912400577	0.9257566860620295	0.9490684887631452	0.9538194629797683	0.9466129290556772	1.0	0.9454652218010997	0.9609779533443655	0.8800512464634602	0.930625100090749	0.910975284257727	0.8937169700528479	0.8396946564885496	0.6647413655047243	0.7668019003896867	0.7664602572999519	0.7667058132706988	0.7789302300752683	0.7391715155073934	0.7601024929269204	0.7678214914856136	0.6590562109646079	0.6383761276891048	0.6879784337799605	0.7030214060748412	0.2457321304649549	0.2598676133027278	0.12565526076976458	0.18247477713126567	0.24755244755244754	0.0612608765280521	0.3888005124646346	0.6775369668499439	0.5414135482837773	0.4316607057065072	0.5169433619815299	0.5777665083008594	0.6167992313030481	0.3288848556024129	0.43953451129023646	0.30042171568889126	0.2714461111407676	-0.7620135589601238	-0.7937116318795708	-0.8526237121656969	-0.8810441466930017	-0.8443015000266909	-0.8243420701435968	-0.7612288474883895	-0.7585330699834517	-0.7726792291677788	-0.8531682058399616	-0.8352479581487215	-0.8180323493300593	-0.5952703784764853	-0.5825388352105909	-0.6002615704905782	-0.5515827683766615	-0.6987935728393744	-0.6597608498371857	-0.619446965248492	-0.67948006192281	-0.6939198206373779	-0.7306197619174718	-0.7029520098222388	-0.20807131799498213	-0.2368921155180697	-0.33036352960017085	-0.33577109912987774	-0.3126141034537981	-0.31431164255591737	-0.34777131265680883	-0.33226925746009717	-0.5283777291410879	-0.5474990658196766	-0.4613409491272087	-0.4431911599850531	0.04216623071584904	0.09120802861260877	-0.18031281695403834	-0.2610473495969679	-0.09075428388405488	0.007393369988789836	-0.09219025249559601	0.04126407943201836
ArgR	0.8499012437943736	0.9352052527625047	0.9183953451129023	0.9138258687877009	0.9499386110073132	0.952426199754444	0.9381946297976832	0.9406875567180911	0.9454652218010997	1.0	0.9568728980942721	0.9076496023060908	0.922922116051887	0.9160412106976993	0.9050712646132494	0.8872257513478887	0.6605722521753056	0.7745689425078738	0.7930763892595953	0.7923130304809695	0.7836598515987829	0.7254630865317888	0.7845353120162281	0.7882506806170928	0.6468371323333155	0.6653072118720974	0.6913788501574761	0.705669140020285	0.2985053114824107	0.27765974483531736	0.1649975978220253	0.15726792291677788	0.21001441306784818	0.11279560134521967	0.40332568195163615	0.6473335824480863	0.5540810334703464	0.44721614263598997	0.4805103293652912	0.5658570437196392	0.5489937543372658	0.34186729301233115	0.46477339454438693	0.27809213687076284	0.3036192814818769	-0.7864890834356483	-0.821694336198153	-0.86375380344846	-0.8681311055356857	-0.8861421021726366	-0.845171622270859	-0.7551913735119842	-0.756712752895959	-0.7806224310041104	-0.8652271392729408	-0.8468424705065927	-0.8281161586505098	-0.6060641648427908	-0.5907542838840549	-0.6368761009982384	-0.5575028025409705	-0.6849997330913361	-0.6658570437196392	-0.6269364223562697	-0.6992099503549886	-0.6745315752949341	-0.7519564405060588	-0.7203491165323226	-0.18983611808039288	-0.23678535205252763	-0.32045587999786473	-0.32961618534137616	-0.30367800138792506	-0.32294880691827255	-0.3396466129290557	-0.3147120055517002	-0.47612235093151123	-0.5685955266107938	-0.45559707468104416	-0.456456520578658	0.03785298670794854	0.06567554582821758	-0.1589280948059574	-0.19493941173330487	-0.0697752629050339	0.05634975711311589	-0.07415790316553675	0.029039662627448885
