	LldR	NrdR	CcpA	NiaR	Rex	MetR	KdgR	SahR_SamR	FUR	NagC	IscR	RbkR	ArgR	MntR	NrtR	ThiR	Zur	NsrR	Phr	BirA	PhrR	ModE	NadQ	XylR	AraR	CzrA	HutC	PhnF	AgaR	GulR	NagR	GguR	Irr	SiaR	PurR	HrcA	LiuR	CsoR	FabR	MerR	BioQ	FadP	FruR	GntR	NnrR	NtrC	AcnR	CueR	ZntR	PdxR	NifA	NmlR	PaaR	FixJ	RbsR	PhnR	NorR	PhsR	FnrN_FixK	HcpR	GlcC	DasR	FadR	QorR	PrpR	NagQ	NarP	LiuQ	SdaR	LexA	SoxR	HisR	HypR	PsrA	TyrR	HexR	TrpR	NikR	CadR-PbrR	ExuR_UxuR	TtrR	CblR	PdhR	MetJ	AmtR	VanR	LtbR	RutR
LldR	1.0	0.4480710297636539	-0.04930523487678939	0.10769908903908317	0.21210276646656312	0.22971327819990764	0.2847697409848453	0.302527181898325	0.2539146131564586	0.26506024096385544	0.3356911968431216	0.2353805465765501	0.30850929851811426	0.2791234624910793	0.29385836027034967	0.2710843373493976	0.27721338314932203	0.39681373577935436	0.3001973048990387	0.20612064984677386	0.20368582343310523	0.24768061794215188	0.23256790227110533	0.11638890054993493	0.3150161622098149	0.39381218252802147	0.2997565173586331	0.318353553587171	0.2310776205868771	0.21088535325972882	0.41851727467360733	0.1356576130305193	0.12379832920532303	0.3238948826665547	-0.3575206750346333	-0.27931237143696735	-0.3771881952898703	-0.15517820410562108	-0.11223290374039713	-0.055728139036984176	-0.3838629780445825	-0.3298350195205911	-0.15889341337475338	-0.28584022501154444	-0.21348809873640906	-0.3331514210150707	-0.2955795306662189	-0.28019394651777846	-0.17247386759581881	-0.15866252466311237	-0.08889215398178078	-0.13376852357163846	-0.2816842282020066	-0.19008437932916333	-0.29528567230594854	-0.30626338105033374	-0.16598799378699466	-0.16393098526510222	-0.10253557785147559	-0.23693379790940766	0.07730573863397842	-0.10851769447126484	-0.20028546240711978	-0.10942025943495236	0.029616724738675958	-0.02867218000923555	0.060471852567062674	-0.18483690861004995	-0.1469081902522984	-0.08519793459552495	-0.08370765291129675	0.06303261827799	-0.027664665631165777	-0.19808152470509213	-0.07323370135594644	0.2160488644473364	0.009508416943033457	0.16447672221989001	0.08209143192980983	0.0	-0.05386003946097981	-0.043134209311112046	0.3670081020947903	0.010159103312203517	-0.12709374081692623	0.06171025565677343	-0.10952520884933462	-0.1448301918475295
NrdR	0.4480710297636539	1.0	0.14743293732420973	0.06483774820536502	0.2821879853910415	0.20933210192687124	0.2904579992443642	0.2761638890054994	0.27922841190546155	0.32907938373703877	0.3992905419587759	0.3665673145543848	0.3828134839007598	0.3487259141093993	0.3945888081944503	0.343205574912892	0.4028168422820201	0.4117795222702657	0.400822803408757	0.3457243608580664	0.2863649720834558	0.3895722261869779	0.3920910121321523	0.19631837454347004	0.2631291717392217	0.38050459678434995	0.3792242139288863	0.31539398010159103	0.2004533814701314	0.22572520045338146	0.4172159019352672	0.09395071575500609	0.14556483774820536	0.23817220099911843	-0.24675706309558793	-0.1412199319927795	-0.2879602031820662	-0.20469333781117502	-0.14245833508249023	-0.18408127282649764	-0.4194618194030477	-0.383422190504177	-0.29455102640527264	-0.24658914403257629	-0.27125225641240924	-0.25878426598379584	-0.3482641366861173	-0.3520633054867554	-0.3044582511229587	-0.24566558918601233	-0.21890348851853406	-0.32234163133369714	-0.39807312875194156	-0.21579698585281895	-0.37414466227278453	-0.24417530750178415	-0.02248016456068175	0.04286134083371815	-0.18691490701481886	-0.3266655472062466	-0.15750808110490744	-0.26464044330632636	-0.25496410730028124	-0.18527769615045547	0.09367784727761219	0.060870660341715295	0.09651148146593343	0.0022039377020276227	-0.18489987825867932	0.055980017631501615	-0.029616724738675958	0.1250367322950338	0.2196171445363335	0.17753242936904412	-0.03511607405230679	0.2940892489819907	0.041476008563872215	0.09863145963645523	0.03784475882624575	0.11764829352252214	-0.1315016162209815	-0.10490743461651483	0.09609168380840435	-0.0020779984047689013	-0.07997145375928802	0.04636665127408589	-0.1723479282985601	0.035997649133117836
CcpA	-0.04930523487678939	0.14743293732420973	1.0	0.15868351454598884	0.37305318836320894	0.46532471348809873	0.5022878972335334	0.4470845052684606	0.5143151001217413	0.5014483019184753	0.3694219386255825	0.4836698711221191	0.4394861676671844	0.45686579068888794	0.4749590697283909	0.49460560010075144	0.4528567230594853	0.3570379077284749	0.3426598379581042	0.37706225599261156	0.32849166701649807	0.3033457873305067	0.4237437555098443	0.33680366063557365	0.3005331430250619	0.28588220477729737	0.05455270559590277	0.2595608916502246	0.39316149615885143	0.2952436925401956	0.20288820788380002	0.032765207170143994	0.1193904538012678	0.12421812686285211	-0.1510222072960833	-0.30741782460853867	-0.23126652953276522	-0.29364846144158513	-0.21392888627681458	-0.49492044834389826	-0.325574073296671	-0.47359472734142144	-0.4731329499181395	-0.3960371101129256	-0.42523403719407243	-0.33546030813148064	-0.43048150791318585	-0.37162587632761007	-0.23855001889089458	-0.12854204273540154	-0.3363628730951681	-0.32282439863985557	-0.37011460476050545	-0.2839091557869107	-0.17677679358549178	-0.1319004239956341	-0.13049410184291171	-0.1690944964527098	-0.05469963477603795	-0.06920364384366735	-0.08605851979345955	-0.26902732882750513	-0.12686285210528525	-0.04945216405692456	0.03442340791738382	-0.05066957726375887	0.009487427060157004	0.21214474623231602	0.05505646278493766	0.061122538936232734	0.13066202090592335	0.19275009445447294	0.03635447714201755	0.20593174090088578	0.13884807522774023	0.10969312791234626	-0.02063305486755384	0.05129927375005248	-0.15484236597959783	0.20882834473783637	-0.020087317912766047	0.2129213718987448	0.10648167583224885	-0.10318626422064565	-0.13183745434700475	0.015406574031316905	0.06525754586289409	-0.040531463834431805
NiaR	0.10769908903908317	0.06483774820536502	0.15868351454598884	1.0	0.4010746820032744	0.35531673733260566	0.4044750430292599	0.4698165484236598	0.43213970866042567	0.4914571176692834	0.4476722219890013	0.4297888417782629	0.43306326350698965	0.4287813274001931	0.46513580454221065	0.43589689769531087	0.448490827421183	0.5361235884303766	0.4694597204147601	0.5146299483648882	0.38411485663909994	0.28372024684102265	0.3935183241677511	0.40069686411149824	0.5301834515763402	0.45577431677931235	0.2526552201838714	0.22075059821166199	0.4288442970488225	0.23737458544981319	0.12419713697997566	0.04739515553503212	0.29501280382855466	0.14548087821669956	-0.22224087989589017	-0.20505016582007474	-0.36851937366189497	-0.11420595273078377	-0.14350782922631292	-0.48272532639267873	-0.4049788002182948	-0.31167877083245876	-0.38636077410688047	-0.37005163511187605	-0.34859997481214056	-0.30214936400654885	-0.37599177196591244	-0.32742118298979894	-0.30231728306956046	-0.17931656941354268	-0.33837790185130767	-0.24312581335796146	-0.20137693631669534	-0.4620083119936191	-0.3960371101129256	-0.26056840602829434	-0.2389488266655472	-0.22748835061500358	-0.2554048948406868	-0.1616430880315688	-0.20717014399059652	-0.25320095713865914	-0.133978422400403	0.007913185844422988	0.06603417152932287	0.09021451660299735	0.12732462952856724	-0.15717224297888419	0.15461147726795685	0.0596952269006339	0.0206960245161832	0.14898618865706728	0.0387263339070568	0.16275555182402082	0.09546198732211074	-0.01763150161622098	0.12159439150329542	0.04269342177070652	-0.06108055917047983	0.16693253851643508	0.11460476050543637	0.09111708156668485	0.10396288988707443	-0.1788967717560136	-0.13206834305864573	-0.13370555392300912	-0.15100121741320682	-0.20744301246799043
Rex	0.21210276646656312	0.2821879853910415	0.37305318836320894	0.4010746820032744	1.0	0.3211032282439864	0.401473489777927	0.42454137105914946	0.45166029973552746	0.4761345031694723	0.41616640779144454	0.47525292808866126	0.5484236597959783	0.5735905293648461	0.5584778136937996	0.515175685319676	0.4906385122371017	0.5126778892573779	0.5465345703370975	0.6649804794089249	0.3416103438142815	0.4089248981990681	0.4501070484026699	0.35479199026069436	0.3918601234205113	0.4982368498383779	0.3566600898366987	0.2170353889425297	0.20910121321523026	0.1906511061668276	0.10883254271441166	-0.1179841316485454	0.21071743419671718	0.18466898954703834	-0.23309264934301666	-0.14543889845094665	-0.09567188615087528	-0.07535367952646824	-0.05996809537802779	-0.5963855421686747	-0.5145669787162588	-0.49189790520968896	-0.45014902816842284	-0.30357667604214766	-0.35067797321690947	-0.25809159984887287	-0.3988707443012468	-0.31780781663238317	-0.2099408085302884	-0.20870240544057764	-0.4751269887914025	-0.2540825322194702	-0.37890936568573946	-0.4718945468284287	-0.44721044456571935	-0.2573359640653205	-0.1674572855883464	-0.13685403635447715	-0.445762142647244	-0.403320599471055	-0.35080391251416815	-0.5224801645606818	-0.31018848914823055	-0.011019688510138114	0.12027202888207884	0.15396079089878678	0.3777129423617816	0.02004533814701314	0.01790437009361488	0.07652911296754965	0.1752445321355107	0.391755174006129	0.1612232903740397	0.31090214516603	0.1930439528147433	0.32551110364804164	0.2624365056042987	0.17220099911842493	0.06951849208681415	0.14560681751395826	0.0007136560177994207	0.03284916670164981	0.1578439192309307	-0.2668653708912304	-0.006485873808824147	-0.08719197346878804	-0.21428571428571427	-0.09867343940220813
MetR	0.22971327819990764	0.20933210192687124	0.46532471348809873	0.35531673733260566	0.3211032282439864	1.0	0.885878006800722	0.896288988707443	0.8924688300239285	0.9021031862642206	0.8148272532639268	0.8162335754166492	0.833487259141094	0.8332773603123295	0.8296461105747029	0.8818059695226901	0.8474875110196886	0.7870996179841316	0.7561395407413627	0.6065026657151253	0.5560219973972546	0.5158473615717224	0.5518030309390873	0.6467402711892868	0.6383233281558289	0.6826959405566517	0.4556693673649301	0.6530372360522229	0.7781999076445153	0.6252046513580454	0.45564837748205367	0.5440787540405525	0.5168548759497922	0.6036270517610511	-0.5294697955585408	-0.6953108601654002	-0.7411947441333278	-0.434700474371353	-0.541790856807019	-0.5649426976197472	-0.5213467108853532	-0.7125435540069687	-0.6761261072163217	-0.7577137819570967	-0.8485789849292641	-0.8128122245077872	-0.7517106754544309	-0.7194702153561983	-0.4183073758448428	-0.5322614499811091	-0.5024768061794215	-0.435393140506276	-0.46156752445321353	-0.4683262667394316	-0.48631459636455227	-0.34994332731623357	-0.46211326140800135	-0.5405734436001847	-0.3354183283657277	-0.19883716048864447	-0.30246421224969566	-0.36423743755509846	-0.4477771714033836	-0.25886822551530164	-0.14203853742496117	-0.2621846270097813	-0.2140968053398262	-0.03809663742076319	-0.04630368162545653	-0.1558079005919147	-0.06202510389992024	0.29161244280256915	-0.005961126736912808	0.10274547668024013	0.05747029931572982	0.015805381805969524	0.02821040258595357	-0.048927416985013225	0.015112715671046556	-0.01922673271483145	0.14957390537760798	0.26220561689265776	0.19581461735443517	-0.14982578397212543	-0.08461021787498425	-0.0549934931363083	-0.040888291843331516	-0.041769866924142564
KdgR	0.2847697409848453	0.2904579992443642	0.5022878972335334	0.4044750430292599	0.401473489777927	0.885878006800722	1.0	0.8568280088997103	0.9107929977750724	0.9219596154653457	0.7833004491834935	0.8396792745896478	0.859682632970908	0.8687082826077831	0.8762016707946769	0.9018093279039503	0.8397422442382771	0.8105453171571303	0.7786197053020444	0.6526594181604467	0.5931740900885774	0.5811468872003694	0.5588976113513286	0.6863481801771546	0.6482515427563914	0.6983753830653625	0.3935393140506276	0.5749338818689391	0.7682926829268293	0.6341883212291676	0.3914613156458587	0.44427186096301585	0.521241761470971	0.5857016917845599	-0.48026951009613367	-0.7009361487762898	-0.7261449981109105	-0.42464632047353174	-0.4854120314008648	-0.6190965954409975	-0.6199152008731791	-0.7545023298769993	-0.685025817555938	-0.826917425800764	-0.806830107887998	-0.8127912346249108	-0.7409428655388103	-0.7047353175769279	-0.42017547542084716	-0.608433734939759	-0.4922337433357122	-0.47653331094412493	-0.5150497460224172	-0.5302464212249696	-0.5225641240921876	-0.3813022123336552	-0.4272910457159649	-0.48650350531044034	-0.32727425380966374	-0.21986902313085094	-0.3186054321816884	-0.33699256958146173	-0.44271860963015824	-0.25704210570505015	-0.04412073380630536	-0.18811133033877672	-0.11999916040468495	0.0005667268376642458	-0.11181310608286806	-0.13557365349901349	-0.04025859535703791	0.3422190504176987	0.034675286511901264	0.120880735485496	0.09527307837622266	0.04164392762688384	0.0002098988287645355	-0.06637000965534612	-0.07314974182444062	0.0549934931363083	0.1919104991394148	0.2066873766844381	0.31058729692288317	-0.21823181226648755	-0.22583014986776373	-0.0031484824314680325	-0.07445111456278074	-0.029616724738675958
SahR_SamR	0.302527181898325	0.2761638890054994	0.4470845052684606	0.4698165484236598	0.42454137105914946	0.896288988707443	0.8568280088997103	1.0	0.904202174551866	0.9022291255614794	0.8103354183283658	0.8236010243062843	0.8855841484404517	0.8611519247722598	0.8631039838797699	0.9004239956341044	0.8541413038915243	0.877314134587129	0.8290374039712859	0.6752865119012635	0.5991142269426136	0.5980017631501616	0.6051593132110323	0.6899164602661517	0.7223878090760254	0.7574199235968263	0.5017631501616221	0.729545359136896	0.8170521808488309	0.6690315268040804	0.4558582763108182	0.49284244993912935	0.497082406280173	0.5728139036984173	-0.6151085176944713	-0.6886570672935645	-0.7560345913269804	-0.4504218966458167	-0.5309810671256454	-0.6424793249653666	-0.6129045799924436	-0.7585323873892784	-0.6765878846396037	-0.7669283405398598	-0.8266235674404937	-0.8174509886234835	-0.7704756307459805	-0.7577347718399732	-0.46908190252298393	-0.5672515847361572	-0.5158683514545989	-0.5783762226606776	-0.5496410730028126	-0.5623609420259434	-0.5435120272028882	-0.4126191175853239	-0.39924856219302296	-0.5119012635909491	-0.3175349481549893	-0.27878762436505605	-0.27578607111372316	-0.3283237479534864	-0.387494227782209	-0.24453213551068384	-0.013475504806683178	-0.1646236514000252	-0.13912094370513411	-0.09707820830359766	-0.04689139834599723	-0.20958398052138869	-0.09262835313378952	0.18869904705931742	0.0544057764157676	0.14552285798245246	0.10509634356240292	0.004449855169808153	0.08416943033457873	0.05186600058771672	0.015154695436799462	0.13259309013055706	0.10188489148230553	0.21627975315897738	0.21636371269048318	-0.15119012635909493	-0.09086520297216742	-0.0010075143780697703	-0.04206372528441291	-0.09063431426052643
FUR	0.2539146131564586	0.27922841190546155	0.5143151001217413	0.43213970866042567	0.45166029973552746	0.8924688300239285	0.9107929977750724	0.904202174551866	1.0	0.9261785819235129	0.8243776499727131	0.8186684018303177	0.8982410478149532	0.9056084967045884	0.9009277528231392	0.9104991394148021	0.8771881952898702	0.8233281558288905	0.8122874774358759	0.7006422904160194	0.6371478947147475	0.585659712018807	0.6455228579824525	0.7199319927794803	0.6962344150119643	0.7604214768481592	0.4785903194660174	0.5853028840099073	0.795999328323748	0.6846689895470384	0.39446286889719157	0.4482179589437891	0.4896519877419084	0.5826581587674741	-0.5627177700348432	-0.6420175475420847	-0.731392468830024	-0.4989085260904244	-0.5080181352588052	-0.6751815624868813	-0.6297804458251123	-0.711913857520675	-0.6913227824188741	-0.7763737878342639	-0.8510557911086856	-0.795306662188825	-0.7280970572184208	-0.7317912766046766	-0.4540531463834432	-0.5258175559380379	-0.5696864111498258	-0.5163721086436338	-0.4967255782712732	-0.55942235842324	-0.5633054867553839	-0.41255614793669454	-0.37630662020905925	-0.5387473237899333	-0.36274715587087025	-0.2504722723647202	-0.3443810083539734	-0.4332521724528777	-0.35731077620586876	-0.2240460098232652	-0.02873514965786491	-0.2185676503925108	-0.15127408589060073	0.027517736451030603	-0.04959909323705974	-0.17333445279375342	-0.0523277780109987	0.2916334326854456	0.11420595273078377	0.17788925737794384	0.10152806347340582	0.036333487259141095	0.042378573527559714	-0.0872129633516645	0.0034213509088619285	0.112967549641073	0.11099450065068638	0.19440829520171277	0.2195751647705806	-0.225935099282146	-0.11873976743209773	-0.018135258805255867	-0.06786029133957433	-0.030540279585239916
NagC	0.26506024096385544	0.32907938373703877	0.5014483019184753	0.4914571176692834	0.4761345031694723	0.9021031862642206	0.9219596154653457	0.9022291255614794	0.9261785819235129	1.0	0.8266655472062466	0.8549808992065824	0.882729524369254	0.8980731287519416	0.9204693337811175	0.9313840728768733	0.8995004407875404	0.8806095461987322	0.8641744679064691	0.7276352797951388	0.6207757860711137	0.5580999958020234	0.6134713068301079	0.7054909533604803	0.683262667394316	0.7466101339154527	0.4810041559968095	0.665169388354813	0.7867637798581084	0.6403383569119684	0.4636665127408589	0.4520171277444272	0.5214306704168591	0.5911380714495613	-0.5024977960622979	-0.6396876705427984	-0.7378153729902187	-0.460476050543638	-0.4891062507871206	-0.6370849250661181	-0.5998488728432896	-0.7089123042693422	-0.6678770832458755	-0.7936274715587087	-0.8360270349691449	-0.823957852315184	-0.7482683346626926	-0.751248898031149	-0.43130011334536755	-0.6102808446328869	-0.5596952269006339	-0.5185340665799085	-0.5350111246379246	-0.5424625330590656	-0.5758154569497502	-0.42067923260988205	-0.4507787246547164	-0.484866294446077	-0.41190546156752444	-0.3076487133201797	-0.3174090088577306	-0.4434112757650812	-0.41163259309013056	-0.2412577137819571	-0.08479912682087234	-0.1883422190504177	-0.15249149909743503	-0.04590487385080391	-0.07384240795936359	-0.14747491708996263	-0.03142185466605096	0.3008689811510852	0.027286847739389615	0.17954745812518366	0.04670248940010915	0.05587506821711935	0.09036144578313253	-0.0251248898031149	-0.0004407875404055245	0.056987532009571386	0.07814533394903657	0.19482809285924185	0.23431006254985098	-0.2477645774736577	-0.1680030225431342	-0.0422946139960539	-0.13236220141891608	-0.05104739515553503
