	GntR	LiuR	FadR	NtrC	MerR	AcnR	FadP	NnrR	FruR	NifA	PaaR	FixJ	NmlR	BioQ	RbsR	CueR	DasR	FabR	MetJ	GlcC	HrcA	PrpR	NorR	VanR	FnrN_FixK	QorR	LtbR	PdxR	HcpR	PurR	AmtR	PhnR	RutR	PhsR	CsoR	ZntR	MetR	RbkR	FUR	KdgR	SahR_SamR	ThiR	Zur	NagC	ArgR	MntR	NrtR	IscR	CzrA	BirA	NsrR	Phr	HutC	SiaR	HexR	CcpA	PsrA	AraR	NadQ	ModE	Rex	XylR	PhnF	GulR	PhrR	AgaR	Irr	TtrR	CadR-PbrR	ExuR_UxuR	GguR	NagR	NarP	NiaR	HisR	TrpR	HypR	TyrR	NagQ	NrdR	CblR	LiuQ	SoxR	LexA	SdaR	PdhR	LldR	NikR
GntR	1.0	0.5003364414111314	0.5644129804185444	0.5830953740719589	0.41974882810953856	0.3775324991094198	0.4246116787578244	0.4265681279721347	0.5496774120587387	0.500890580205936	0.19038060288039083	0.29660561715794653	0.09587166597870524	0.3143267496366998	0.26658034164353045	0.37823365431917266	0.2872191845112552	0.39706306438753525	0.3165659227259105	0.19047107452035894	0.34531328632577707	0.15450859763303573	0.3014684678062324	0.14860532312511662	0.15742630802200722	0.25602908663224977	0.03431702393540325	0.22634307976771406	0.07406800074639103	0.15705311250713877	0.0697140530729258	0.12927831903692938	0.0030816902364137044	0.2648839983941284	-0.016460183996697787	0.2075702144743315	-0.745491967814714	-0.6205393240637599	-0.675523463254378	-0.6873073943602241	-0.6649269724231133	-0.6619300993491697	-0.6673470887922601	-0.6965355016369712	-0.6162306122102787	-0.628930568670802	-0.6232647822177991	-0.5277154214564803	-0.42060830868923554	-0.4886769088102414	-0.5240060842177878	-0.581534738282509	-0.2646238924292201	-0.35860130844609306	-0.2072309458244511	-0.2631424193247423	-0.4498985021289108	-0.29039700086513504	-0.3596078054407382	-0.4889030879101617	-0.35495982493737666	-0.5057308129442298	-0.4080779865536525	-0.4487676066293094	-0.3033570632905666	-0.46802675698752055	-0.4396978247225065	-0.08928985417102532	-0.09230934515496096	-0.02875301807736456	0.0028555111364934323	-0.08707329899180666	-0.20719701895946305	-0.15660075430729822	-0.08663224974696213	-0.1111500641783196	0.0903528959406506	-0.05433387427834731	-0.15330984840345827	-0.10967990002883783	-0.1400105173281463	-0.23499443033966447	-0.14181995012750848	0.047740753515671384	0.02383362265409865	0.04378261926706663	-0.03064161356169883	-0.026400755438193733
LiuR	0.5003364414111314	1.0	0.5189283634245777	0.5548229865819249	0.2826956025128498	0.4119682670722812	0.40933328055821	0.4208684146541439	0.3837863512222153	0.41790546844518833	0.17393738231618708	0.3099841109182306	0.217963144115668	0.19423695653403147	0.3396701177827663	0.38871705560047726	0.2431029510718062	0.2395067033830739	0.38931643021526596	0.13033005185155866	0.34643287287038244	0.18193281349836868	0.22135583061447206	0.14438708291160354	0.09273908544480947	0.07018902918275836	0.14964574698474986	0.1931739147644062	0.04113632379799945	0.2589807238862093	0.017579770541303132	-0.004246512601003104	0.047401484865790974	0.20429061752548755	0.06937478442304539	0.08844168254632431	-0.6579267292805808	-0.517480817185088	-0.5389112869025338	-0.5646165416084726	-0.6345285013938287	-0.5510344866582604	-0.603983013949596	-0.6163550107152349	-0.5478114344843965	-0.5970506245370396	-0.5754731384046458	-0.5462281807849546	-0.4807606403130319	-0.3917591644944049	-0.6137539510661517	-0.5082640188633369	-0.36310227253450644	-0.3762658961498663	-0.1135588715924705	-0.17507958677078445	-0.21276102481750173	-0.4227230832734901	-0.23396531543502722	-0.5122786978869217	-0.36591820232851385	-0.3583977472561648	-0.5014221010907487	-0.4772887911292557	-0.2931676948391584	-0.4017110448908969	-0.4886655998552454	-0.07602444996070139	-0.09164211681019616	-0.18463565374241594	-0.08360144980803048	-0.16075114079083522	-0.1893401790207576	-0.23825140937851638	-0.09978456440732594	-0.18771168950133163	-0.05537429813798056	-0.015329288497096426	-0.2040644384255673	-0.188865202910925	0.043805237177058656	-0.07755115888516322	0.08408773487285907	0.0788629976647008	0.0796998603344058	0.17072563909731922	-0.11920204013548127	0.12611181163804558
FadR	0.5644129804185444	0.5189283634245777	1.0	0.6640335649784281	0.28604305319166984	0.42365041758316324	0.42600268022233406	0.4957450056827499	0.45670649303651095	0.37685396180965897	0.12499222509344024	0.35880486963602126	0.371052467896704	0.247931874855104	0.3833679198873628	0.405997138834386	0.3364470656089024	0.27863568766928093	0.4208684146541439	0.3682026112377086	0.48406285517186787	0.222973011178902	0.24893837184974923	0.1366178308293422	0.26527981181898885	0.12810218771734397	0.0724621291369571	0.25758972242169964	0.1354530084647528	0.1095668104788777	-0.07180620974718831	0.02012428541540619	-0.0246252495038196	0.20378171455066696	0.06877540980825667	0.08009567375926628	-0.6517407308977614	-0.5846107740414247	-0.5428920390611306	-0.6199399494489711	-0.5743309339500483	-0.605690666153994	-0.652238324917586	-0.6831004631017071	-0.6109040944071563	-0.6184245494795053	-0.6651757694330256	-0.504950495049505	-0.5186908753696615	-0.5128441456367224	-0.6021057274202577	-0.616422864445211	-0.34719057285511534	-0.4062459358442983	-0.3866022810162227	-0.31209888550248516	-0.19751655348287542	-0.31766289136052384	-0.28604305319166984	-0.49912638322655795	-0.3121215034124772	-0.43633906508869047	-0.6066519273286552	-0.5081056934933927	-0.34264437294671785	-0.49538311912287747	-0.4884281118003291	-0.07785650067005559	-0.10888827317911688	-0.07590005145574523	-0.33592685367908576	-0.1869426805616027	-0.18714624175153094	0.032812932920933444	-0.17505696886079242	-0.24738904501529535	0.006044636445369266	-0.08340919757309825	-0.2060661234598617	-0.0894255616309775	0.05163103403430006	-0.0608139054910631	-0.08964043177590175	-0.0049363588557599335	0.15950715574127372	0.08296814832825372	-0.13314598164556604	-0.13322514433053814
NtrC	0.5830953740719589	0.5548229865819249	0.6640335649784281	1.0	0.2684123923528846	0.44755754844473594	0.3936590689337352	0.572306631005762	0.4421179410916534	0.5022928906254418	0.2103182905383628	0.2405132003777191	0.28716263973627515	0.1873611118964552	0.3657259500935816	0.4701076047067871	0.21293065914244194	0.36641579634833843	0.21377883076714296	0.2600550746108306	0.5237346692978835	0.20277521755602174	0.050601919129662824	0.012615139298053163	0.3316746866005847	0.24510463610610062	0.0497537475049618	0.2584039671814126	0.1480059485103279	0.17652713301027417	-0.04905259229520896	0.17725090613001906	-0.017398827261366913	0.12732186982261903	0.07119552617740357	0.0950121853990082	-0.6026485572600664	-0.559957252150115	-0.6004433110358437	-0.6302310984953435	-0.6059507721189024	-0.6600301949098394	-0.6053287795941216	-0.6540138308519601	-0.6155860017755059	-0.6075227168633482	-0.6134938451012434	-0.6094904750326546	-0.5038309085048996	-0.5116906322271291	-0.5896093321496627	-0.5459341479550582	-0.3678859604978202	-0.49722647878722764	-0.2777648981345879	-0.1837761731627189	-0.22655794991263833	-0.3243464837631679	-0.330306303046067	-0.4521602931281135	-0.3778491498493082	-0.4122170640821935	-0.5218686917235413	-0.5915770903189691	-0.3691977992773578	-0.4868787849658752	-0.5001102623112111	-0.09480862420907996	0.026310283798225625	-0.008724858779424487	-0.1158885163216493	-0.23363735574014283	-0.06773498594862341	-0.03217963144115668	0.01865412126592442	-0.1904484566103669	-0.12036686250007068	-0.07566256340082894	-0.0744638141712515	-0.07145563214231189	-0.026932276323006373	-0.15298188870857388	-0.05388151607850677	-0.05821284584197997	0.057308129442298884	0.03943998054859741	-0.127299251912627	0.07111636349243149
MerR	0.41974882810953856	0.2826956025128498	0.28604305319166984	0.2684123923528846	1.0	0.4359997964388101	0.49251064455389	0.5375994481229962	0.48659606109097486	0.5115549247671769	0.3038320394003992	0.3110584616428519	0.2960967141831259	0.5654647132331737	0.3074848318641116	0.3363339760589423	0.3808120960582637	0.2253592006830609	0.2144121322469197	0.24145184364238823	0.16227784971529705	0.07537983952592861	0.15098020367427947	0.122300693804389	0.10592532697016133	0.017195266071438668	0.08232353789348096	0.1286902533771367	0.26158178353529243	0.21824586799056833	0.20106756535162368	0.2579855358465601	0.26285969544984195	0.22023624406986672	0.28624661438159804	0.23648721239913825	-0.532465182554806	-0.5639493132637079	-0.6368016013480274	-0.5820210233473376	-0.6480087757490769	-0.5746362757349407	-0.5417950704265172	-0.6409519878315644	-0.5764570174892989	-0.5923234813487059	-0.6390407744372382	-0.46532391674347334	-0.5705989788013639	-0.6808612900124964	-0.5860470113259184	-0.6520234547726618	-0.12156561172964812	-0.13291980254564578	-0.31818310329034044	-0.4128277476519782	-0.5127084381767703	-0.4424232828765458	-0.5555806865666578	-0.4760561150346902	-0.596451249922251	-0.5569490701211754	-0.3120649586374971	-0.2648048357091563	-0.27372760120101103	-0.4811112179179083	-0.3822030975227734	0.10552951354530085	-0.06301915171528574	0.10602710756512544	0.09546454359884875	0.19821770869262825	-0.3322966791253654	-0.3202074062346269	-0.3907865943647477	-0.3209424883093678	-0.22114096046954781	-0.23911088995821342	-0.00737909313489887	-0.1317775980910484	-0.27244968928646146	-0.17474031812090404	-0.251256707623932	-0.07456559476621563	0.030754703111658968	-0.211324787533008	-0.0418487879627483	-0.21658345160615433
AcnR	0.3775324991094198	0.4119682670722812	0.42365041758316324	0.44755754844473594	0.4359997964388101	1.0	0.5338674929743117	0.5595727476802506	0.4746990404351686	0.476700725469463	0.30411476327529957	0.3771932304595394	0.3007333857314915	0.35569490701211753	0.2754578713154011	0.4249057115877207	0.24362316300162284	0.24175718542728059	0.20277521755602174	0.13513635772486443	0.133937608495287	0.12966282350679387	0.11350232681749042	0.15081056934933929	-0.0022222096567166712	0.037574002974255165	0.04373738344708257	0.13808799497882399	0.1866712656416984	0.1361880905394937	0.005795839435456966	0.2193202187151896	0.05003647137986214	0.2658678774787816	0.17295350323153388	0.10826628065433613	-0.5511701941182126	-0.5372941063381038	-0.5894283888697265	-0.6127248361615145	-0.5846786277714008	-0.5887046157499817	-0.6335220043991835	-0.5506726000983879	-0.6245087672673607	-0.5492702896788823	-0.6216702195633612	-0.5014786458657288	-0.5639606222187039	-0.5819418606623655	-0.633917817824044	-0.5448597972304369	-0.354416995097568	-0.3603541964704751	-0.3262463882024981	-0.3562038099869382	-0.3641992411691198	-0.437605668048244	-0.3844196527019921	-0.48881261627019357	-0.44471900074073656	-0.30280292449576196	-0.370238223136991	-0.33904812525798556	-0.3915216764394886	-0.33614172382401003	-0.17799729715975596	-0.004778033485815743	-0.03749484028928307	0.04463079089176765	0.02418420025897507	0.025903161418369135	-0.24836161514495253	-0.1737225121712628	-0.16437000638955956	-0.49649139671248677	-0.0712181440873956	-0.3002018648466788	-0.21243306512261734	-0.2664446341835783	-0.10193326585656852	-0.04728839531583084	-0.08076290210403107	-0.14645662167587403	0.02686442259303029	-0.02589185246337312	-0.19597853560341758	-0.20852016669399664
FadP	0.4246116787578244	0.40933328055821	0.42600268022233406	0.3936590689337352	0.49251064455389	0.5338674929743117	1.0	0.505821284584198	0.5269916483367354	0.5113400546222526	0.2760233190652018	0.24879135543480105	0.2718842415366608	0.4646566883987085	0.3010048006513958	0.4931213281236747	0.30892106914860534	0.17956924190420184	0.2566284612470385	0.20904037862381328	0.24469751372624413	0.29048747250510315	0.15186230216396854	0.12905213993700912	0.14814165597028006	0.10884303735913282	0.11086734030341926	0.16499199891434033	0.2098093875635422	0.11402253874730706	0.004325675285975199	0.17766933746487157	0.12469819226354388	0.23389746170505116	0.02692096736801036	0.17323622710643424	-0.5892022097698062	-0.5995499035911587	-0.6052948527291335	-0.5533415134774471	-0.6258092970919023	-0.6285347552459415	-0.6152806599906135	-0.5953882081526256	-0.6507455428581121	-0.6317691163748014	-0.6859163928957145	-0.549948826978643	-0.5581478193507529	-0.5915544724089771	-0.634811225268729	-0.5671610564825758	-0.31419104217674765	-0.145597141096177	-0.40854165370848905	-0.36693600827815503	-0.45827843778095684	-0.4643061107938321	-0.2992519126270137	-0.48462830292166853	-0.5246620036075567	-0.49251064455389	-0.4553946542569734	-0.37518023647024895	-0.3039225110403673	-0.3726583395061379	-0.3080502796139123	0.060915686086027224	-0.05420947577339116	-0.0001413619374501699	0.03809421490407179	-0.0646476412347117	-0.33614172382401003	-0.1376017099139954	-0.32150793605916844	-0.3633171426794307	-0.1635670705848426	-0.2044037070754477	-0.16942510927277765	-0.11536830439183267	-0.09529490927390855	-0.009154599069273003	-0.14102832327778753	-0.08312647369819792	0.044404611791847376	-0.05614330707770948	-0.22283730371894986	-0.27493765938558445
NnrR	0.4265681279721347	0.4208684146541439	0.4957450056827499	0.572306631005762	0.5375994481229962	0.5595727476802506	0.505821284584198	1.0	0.6093095317527184	0.6510621935980005	0.3187711689501332	0.3461727669054741	0.38975747946011047	0.3745582439454682	0.5834685695868274	0.5322729303198738	0.3723643066762416	0.24587364504582954	0.17882285087446495	0.33382338804982725	0.29579137239823355	0.13624463531447376	0.06485120242463994	-0.041011925293043296	0.17859667177454466	0.13382451894532685	0.1387778412335808	0.2776178817196397	0.25011450316933465	0.27065156544209534	0.11386421337736287	0.15726798265206304	0.1215429938196561	0.26368524916455094	0.18476005224737208	0.15030166637451867	-0.6152128062606375	-0.6543304815918485	-0.6704118155961798	-0.5936805559482276	-0.7053338686238698	-0.6444125280603445	-0.6754216826594138	-0.6686928544367857	-0.6562530039411708	-0.6225297001430583	-0.6731033468852311	-0.6895578764044309	-0.6992270329260225	-0.6817999332771655	-0.7685961628715698	-0.7365013485928833	-0.43973175158749456	-0.3798395259286066	-0.3942584435485239	-0.28945835760046595	-0.3586465442660771	-0.5610994566047124	-0.3505945683089154	-0.4645209809387564	-0.5677830490073564	-0.5071105054537436	-0.4698927345618628	-0.49075775652950787	-0.3835940989872831	-0.5725667369706702	-0.4116742342423848	0.002810275316509378	-0.09360987497950252	-0.03922511040367315	-0.1866938835516904	-0.09173258845016426	-0.19281202820453375	-0.32499109419794064	-0.22368547534365088	-0.30188689914108485	-0.2801058518187627	-0.24729857337532726	-0.11548139394179281	-0.23563904077443723	-0.13743207558905518	-0.09624486149357368	-0.1072371657496989	-0.10937455824394547	-0.02243131223459296	0.046010483401281305	-0.04260648794748121	-0.10186541212659245
FruR	0.5496774120587387	0.3837863512222153	0.45670649303651095	0.4421179410916534	0.48659606109097486	0.4746990404351686	0.5269916483367354	0.6093095317527184	1.0	0.5983737722715733	0.22073383808969133	0.29752164251262364	0.2206433664497232	0.34968985190923435	0.3457656445256176	0.31903127491504146	0.35972089499069837	0.2976347320625838	0.16163323928052428	0.26342514319964266	0.2669874640233869	0.21374490390215492	0.2505329345041871	0.18366308361275877	0.1235446788539505	0.1790490299743852	0.06220490695557277	0.2090856144437973	0.1070675314247587	0.23189577667075673	0.033197437390797904	0.11853481179071648	0.060485945796178706	0.21487579940175627	-0.01436802732243527	0.12340897139399834	-0.6643728336283086	-0.6091285884727822	-0.6943754912327327	-0.6440958773204563	-0.6282294134610491	-0.6600641217748274	-0.6642484351233524	-0.6427048758559465	-0.6412912564814448	-0.633092264109335	-0.6332279715692871	-0.497520511617124	-0.4760674239896862	-0.5564062402813668	-0.564051093858672	-0.5070878875437516	-0.3196419584848262	-0.30370764089544305	-0.35509553239732883	-0.3904699436248594	-0.39247162865915375	-0.39981114045156657	-0.33723869245862337	-0.4306958965456797	-0.4548292065071727	-0.42333376684327484	-0.3986915539069612	-0.43610157703377417	-0.4332856472397668	-0.4729913882307705	-0.36468552623394834	-0.05321428773374196	0.10695444187479856	0.02802924495761969	-0.04300230137234169	0.006949352845050353	-0.09910602710756512	-0.20841838609903252	-0.16906322271290522	-0.2691587833826215	-0.19872661166744887	-0.29904835143708547	-0.1541693289831553	-0.06612911433918948	-0.15421456480313936	-0.24106733917252376	-0.02261225551452918	-0.07158003064726803	-0.03553839107497272	-0.0441784326919271	-0.0564034130426178	-0.17010364657253846
NifA	0.500890580205936	0.41790546844518833	0.37685396180965897	0.5022928906254418	0.5115549247671769	0.476700725469463	0.5113400546222526	0.6510621935980005	0.5983737722715733	1.0	0.3400998580726148	0.4389175068277816	0.35653176968182254	0.37126733804162826	0.2983924320473167	0.44521659476056114	0.26008900147581865	0.3267100553573347	0.13501195921990827	0.2440755212014634	0.220462423169787	0.17406178082114324	0.1049075210205201	0.028221497192551924	0.20602088763987764	0.07614884846565753	0.11144409700821596	0.17108752565719165	0.23601223628930568	0.21061232336825916	0.03929296413364923	0.14883150222503688	0.18522371940220864	0.13497803235492023	0.07731367083024693	0.18307501795296605	-0.6359195028583384	-0.6571237934758639	-0.7457746916896144	-0.653979903986972	-0.6825463243069024	-0.6762133095091348	-0.6476016533692204	-0.6889585017896421	-0.7059897880136387	-0.6415287445363611	-0.6827159586318426	-0.6595891456649948	-0.5446110002205247	-0.5683484967571572	-0.6436774459856037	-0.6138444227061198	-0.2822997890879893	-0.3274677553420676	-0.3046462841601122	-0.41127842081752436	-0.4461891648902183	-0.39977721358657853	-0.4099778909929828	-0.4760448060796942	-0.4848997178415729	-0.5368869839582473	-0.30339099015555465	-0.49996324589626295	-0.3115108198426924	-0.4709331584214961	-0.31949494206987805	0.03933819995363329	-0.01957014662060152	0.009686119954085642	-0.0022222096567166712	0.1227982878242136	-0.21528292178161276	-0.20478821154531215	-0.23524322734957676	-0.2896845367003862	-0.2794612413839899	-0.31726707793566333	-0.19920158777728145	-0.18197804931835274	-0.004721488710835675	-0.2310249871360637	-0.1549044110578962	-0.023754459969126552	-0.07586612459075719	-0.0797111692894018	-0.028583383752424356	-0.05891400105173281
