	AgaR	Irr	Rex	XylR	AraR	NadQ	CzrA	FUR	SahR_SamR	NrtR	NsrR	ArgR	MntR	KdgR	ThiR	MetR	Phr	BirA	NagC	SiaR	Zur	ModE	PhrR	RbkR	CcpA	NikR	PdhR	FabR	PhsR	GulR	TyrR	NagR	NiaR	IscR	MetJ	HexR	LexA	NagQ	HisR	LldR	NrdR	CadR-PbrR	TrpR	HutC	PhnF	CblR	HcpR	CsoR	RutR	PaaR	PhnR	QorR	FadR	PsrA	PurR	PrpR	GlcC	SoxR	AcnR	HrcA	NnrR	FixJ	RbsR	LiuR	FadP	MerR	ZntR	LiuQ	PdxR	NifA	GntR	CueR	NtrC	FruR	NmlR	FnrN_FixK	SdaR	BioQ	DasR	HypR	TtrR	AmtR	VanR	ExuR_UxuR	GguR	LtbR	NarP	NorR
AgaR	1.0	0.5934500282326369	0.6228119706380576	0.549407114624506	0.5539243365330322	0.567476002258611	0.6420101637492942	0.7617165443252399	0.7380011293054771	0.6408808582721626	0.6149068322981367	0.6171654432523997	0.6081309994353472	0.5810276679841897	0.603613777526821	0.6465273856578204	0.4590626764539808	0.6149068322981367	0.6702428006775832	0.5008469791078487	0.5584415584415584	0.427442123094297	0.6386222473178995	0.5381140598531903	0.09542631281761717	-0.0378317334839074	-0.15866741953698477	-0.3427442123094297	0.20496894409937888	0.6939582156973462	0.15866741953698477	0.08977978543195934	0.49520045172219085	0.3800112930547713	0.3359683794466403	0.3427442123094297	0.19480519480519481	0.40711462450592883	0.07396950875211744	0.18690005646527386	0.1067193675889328	0.16544325239977414	0.3359683794466403	0.5008469791078487	0.3890457368718238	0.1101072840203275	-0.28289102202145683	-0.21174477696216826	-0.33032185206098247	-0.10559006211180125	-0.2715979672501412	-0.23997741389045738	-0.36645962732919257	-0.13043478260869565	-0.37888198757763975	-0.2704686617730096	-0.44664031620553357	-0.24675324675324675	-0.5686053077357425	-0.4500282326369283	-0.6182947487295314	-0.5471485036702428	-0.5957086391869001	-0.49520045172219085	-0.5053642010163749	-0.5335968379446641	-0.5426312817617166	-0.34839073969508755	-0.5223037831733484	-0.6103896103896104	-0.6736307171089779	-0.6984754376058724	-0.7944664031620553	-0.15979672501411632	-0.2015810276679842	-0.3924336533032185	-0.011857707509881422	-0.30434782608695654	-0.44776962168266515	0.22529644268774704	-0.05928853754940711	0.1225296442687747	-0.04799548277809147	-0.14850367024280067	-0.0378317334839074	-0.14850367024280067	0.06380575945793338	-0.000564652738565782
Irr	0.5934500282326369	1.0	0.7673630717108978	0.6476566911349521	0.515527950310559	0.4839073969508752	0.6928289102202145	0.6849237718802936	0.655561829474873	0.7154150197628458	0.6860530773574252	0.6770186335403726	0.6883116883116883	0.6815358554488989	0.5561829474872954	0.52343308865048	0.655561829474873	0.7571993224167137	0.7560700169395822	0.6250705815923208	0.5652173913043478	0.44551101072840205	0.4805194805194805	0.6194240542066629	-0.06380575945793338	0.057029926595143984	0.0660643704121965	-0.29757199322416716	-0.15302089215132694	0.4613212874082439	0.3890457368718238	0.10220214568040654	0.6216826651609261	0.4161490683229814	0.0942970073404856	0.4161490683229814	0.18464144551101072	0.30773574251835123	0.15753811405985318	0.313382269904009	0.23997741389045738	0.19706380575945792	0.13043478260869565	0.42405420666290233	0.3800112930547713	-0.13269339356295878	-0.339356295878035	0.05251270468661773	-0.2422360248447205	-0.23771880293619424	-0.3845285149632976	-0.19480519480519481	-0.409373235460192	-0.2523997741389046	-0.5302089215132694	-0.5189158667419537	-0.19254658385093168	-0.12478825522303783	-0.6070016939582157	-0.6239412761151891	-0.5324675324675324	-0.6691134952004517	-0.7752682100508187	-0.5008469791078487	-0.46357989836250707	-0.45115753811405984	-0.46809712027103334	-0.5211744776962168	-0.5742518351214003	-0.709768492377188	-0.6679841897233202	-0.6612083568605308	-0.7120271033314511	-0.16092603049124787	0.1507622811970638	-0.5573122529644269	-0.30886504799548276	-0.3427442123094297	-0.38114059853190285	0.15189158667419536	0.24675324675324675	0.09090909090909091	0.005081874647092038	-0.251270468661773	-0.07284020327498589	-0.14737436476566912	0.26595143986448333	-0.12478825522303783
Rex	0.6228119706380576	0.7673630717108978	1.0	0.6702428006775832	0.6645962732919255	0.52343308865048	0.7899491812535291	0.769621682665161	0.7346132128740824	0.735742518351214	0.7707509881422925	0.7888198757763976	0.7007340485601355	0.7876905702992659	0.5889328063241107	0.567476002258611	0.5911914172783738	0.6804065499717674	0.6871823828345568	0.6544325239977414	0.6973461321287409	0.5098814229249012	0.49294184076792774	0.4624505928853755	-0.19932241671372106	-0.11575381140598531	0.07284020327498589	-0.11236589497459062	0.018633540372670808	0.20722755505364202	0.11914172783738002	0.21626199887069453	0.30547713156408807	0.4601919819311124	0.09316770186335403	0.3246753246753247	0.2388481084133258	0.28289102202145683	0.2727272727272727	0.4839073969508752	0.3190287972896669	0.3800112930547713	0.2648221343873518	0.5392433653303218	0.4568040654997177	-0.1293054771315641	-0.27498588368153587	0.07396950875211744	-0.07622811970638058	-0.4839073969508752	-0.4127611518915867	-0.24336533032185206	-0.5844155844155844	-0.23207227555053642	-0.6092603049124788	-0.5889328063241107	-0.47035573122529645	-0.3020892151326934	-0.3619424054206663	-0.4150197628458498	-0.4409937888198758	-0.49407114624505927	-0.5290796160361377	-0.5979672501411631	-0.6205533596837944	-0.629587803500847	-0.6228119706380576	-0.5539243365330322	-0.5200451722190853	-0.42405420666290233	-0.6815358554488989	-0.7018633540372671	-0.7346132128740824	-0.07961603613777526	-0.007340485601355167	-0.3901750423489554	-0.37662337662337664	-0.4308300395256917	-0.5640880858272163	0.4839073969508752	0.017504234895539244	0.19480519480519481	0.1767363071710898	-0.05138339920948617	-0.018633540372670808	-0.19141727837380013	0.12478825522303783	-0.3800112930547713
XylR	0.549407114624506	0.6476566911349521	0.6702428006775832	1.0	0.6928289102202145	0.6137775268210051	0.7605872388481084	0.823828345567476	0.8723884810841332	0.7899491812535291	0.8802936194240542	0.8351214003387917	0.8441558441558441	0.8283455674760023	0.7560700169395822	0.7233201581027668	0.771880293619424	0.7413890457368718	0.8306041784302653	0.717673630717109	0.5979672501411631	0.6047430830039525	0.5844155844155844	0.6476566911349521	0.08526256352343309	0.26030491247882553	0.3608130999435347	-0.10107284020327499	0.23207227555053642	0.4330886504799548	0.21174477696216826	0.33258046301524563	0.42518351214003386	0.6002258610954263	0.4082439299830604	0.233201581027668	0.40146809712027104	0.3935629587803501	0.2670807453416149	0.5098814229249012	0.4432523997741389	-0.11123658949745906	0.22868435911914173	0.391304347826087	0.26143421795595706	-0.35064935064935066	-0.32580463015245625	-0.3427442123094297	-0.2264257481648786	-0.5290796160361377	-0.5742518351214003	-0.3404856013551666	-0.233201581027668	-0.42066629023150764	-0.5629587803500847	-0.5629587803500847	-0.35064935064935066	-0.22529644268774704	-0.5900621118012422	-0.6487859966120836	-0.6092603049124788	-0.6770186335403726	-0.6352343308865048	-0.7188029361942405	-0.6363636363636364	-0.6792772444946358	-0.6871823828345568	-0.4748729531338227	-0.46357989836250707	-0.6081309994353472	-0.6623376623376623	-0.6510446075663467	-0.7210615471485037	-0.2648221343873518	-0.22529644268774704	-0.4500282326369283	-0.5064935064935064	-0.5200451722190853	-0.5448898927159797	0.3178994918125353	0.10220214568040654	0.22416713721061546	-0.019762845849802372	-0.011857707509881422	0.006211180124223602	-0.15189158667419536	0.028797289666854884	-0.16996047430830039
AraR	0.5539243365330322	0.515527950310559	0.6645962732919255	0.6928289102202145	1.0	0.7741389045736872	0.8023715415019763	0.8147939017504235	0.8080180688876341	0.805759457933371	0.8181818181818182	0.8452851496329757	0.805759457933371	0.8848108413325805	0.8328627893845285	0.8035008469791078	0.7549407114624506	0.8136645962732919	0.8046301524562394	0.6973461321287409	0.7402597402597403	0.6996047430830039	0.5166572557876906	0.639751552795031	0.08413325804630152	0.05815923207227555	0.22529644268774704	0.11349520045172219	0.427442123094297	0.35968379446640314	0.3235460191981931	0.4138904573687182	0.18690005646527386	0.44551101072840205	0.4025974025974026	0.20835686053077357	0.4522868435911914	0.32580463015245625	0.21174477696216826	0.6092603049124788	0.3924336533032185	0.3416149068322981	0.33258046301524563	0.5324675324675324	0.6329757199322417	-0.19706380575945792	-0.30660643704121965	-0.3111236589497459	-0.22190852625635235	-0.5403726708074534	-0.49520045172219085	-0.4647092038396386	-0.44212309429700736	-0.313382269904009	-0.5223037831733484	-0.5957086391869001	-0.427442123094297	-0.42518351214003386	-0.42970073404856013	-0.5471485036702428	-0.5539243365330322	-0.515527950310559	-0.5878035008469791	-0.665725578769057	-0.753811405985319	-0.7989836250705816	-0.7775268210050819	-0.6928289102202145	-0.6307171089779785	-0.541501976284585	-0.7278373800112931	-0.691699604743083	-0.7605872388481084	-0.47600225861095424	-0.2715979672501412	-0.3337097684923772	-0.37549407114624506	-0.47261434217955955	-0.5561829474872954	0.20496894409937888	-0.08526256352343309	-0.0942970073404856	0.08526256352343309	-0.044607566346696784	0.2140033879164314	0.07284020327498589	0.057029926595143984	0.011857707509881422
NadQ	0.567476002258611	0.4839073969508752	0.52343308865048	0.6137775268210051	0.7741389045736872	1.0	0.7730095990965556	0.7481648785996612	0.8249576510446076	0.7865612648221344	0.823828345567476	0.7899491812535291	0.7910784867306606	0.6996047430830039	0.7899491812535291	0.7447769621682665	0.7515527950310559	0.6758893280632411	0.7029926595143986	0.549407114624506	0.6770186335403726	0.7108977978543196	0.5934500282326369	0.7605872388481084	0.19141727837380013	0.09881422924901186	0.16431394692264256	0.06945228684359118	0.2388481084133258	0.5335968379446641	0.32241671372106157	0.5335968379446641	0.18012422360248448	0.3551665725578769	0.4308300395256917	0.49632975719932243	0.55957086391869	0.453416149068323	0.23771880293619424	0.5166572557876906	0.383399209486166	0.16770186335403728	0.36645962732919257	0.3235460191981931	0.49632975719932243	-0.08300395256916997	-0.2795031055900621	-0.24336533032185206	-0.1507622811970638	-0.3551665725578769	-0.42292490118577075	-0.5573122529644269	-0.43873517786561267	-0.4590626764539808	-0.44664031620553357	-0.35177865612648224	-0.4059853190287973	-0.4330886504799548	-0.37662337662337664	-0.5911914172783738	-0.5979672501411631	-0.5392433653303218	-0.5403726708074534	-0.6171654432523997	-0.8520609824957651	-0.7244494635798984	-0.6984754376058724	-0.4409937888198758	-0.5832862789384529	-0.6307171089779785	-0.7786561264822134	-0.7459062676453981	-0.7571993224167137	-0.33258046301524563	-0.3551665725578769	-0.3269339356295878	-0.3190287972896669	-0.4105025409373235	-0.551665725578769	-0.015245623941276116	-0.11575381140598531	-0.04686617730095991	0.053642010163749296	-0.033314511575381144	0.13608130999435347	-0.028797289666854884	0.19028797289666854	0.11349520045172219
CzrA	0.6420101637492942	0.6928289102202145	0.7899491812535291	0.7605872388481084	0.8023715415019763	0.7730095990965556	1.0	0.8870694522868436	0.8848108413325805	0.8893280632411067	0.8870694522868436	0.9424054206662902	0.9457933370976849	0.8893280632411067	0.893845285149633	0.7651044607566346	0.8147939017504235	0.8362507058159232	0.8351214003387917	0.8610954263128177	0.79785431959345	0.7142857142857143	0.6284584980237155	0.6883116883116883	-0.043478260869565216	0.22077922077922077	0.23094297007340486	-0.09090909090909091	0.07284020327498589	0.515527950310559	0.2930547713156409	0.3709768492377188	0.233201581027668	0.3359683794466403	0.2422360248447205	0.42518351214003386	0.365330321852061	0.39920948616600793	0.26143421795595706	0.5923207227555054	0.49520045172219085	0.3551665725578769	0.34726143421795597	0.6499153020892151	0.611518915866742	-0.22077922077922077	-0.30095990965556185	-0.18125352907961603	-0.23207227555053642	-0.453416149068323	-0.655561829474873	-0.47600225861095424	-0.39469226425748166	-0.4568040654997177	-0.7402597402597403	-0.46357989836250707	-0.551665725578769	-0.4647092038396386	-0.46809712027103334	-0.5098814229249012	-0.6420101637492942	-0.5189158667419537	-0.6182947487295314	-0.7526821005081875	-0.8633540372670807	-0.849802371541502	-0.7459062676453981	-0.7639751552795031	-0.6600790513833992	-0.5844155844155844	-0.7221908526256352	-0.8181818181818182	-0.8554488989271598	-0.21964991530208922	-0.22868435911914173	-0.33032185206098247	-0.4127611518915867	-0.5945793337097685	-0.4850367024280068	0.3427442123094297	-0.05928853754940711	0.13608130999435347	-0.057029926595143984	-0.025409373235460192	0.16431394692264256	-0.09090909090909091	0.20045172219085264	-0.13495200451722192
FUR	0.7617165443252399	0.6849237718802936	0.769621682665161	0.823828345567476	0.8147939017504235	0.7481648785996612	0.8870694522868436	1.0	0.9446640316205533	0.8949745906267645	0.9209486166007905	0.9277244494635799	0.8893280632411067	0.8870694522868436	0.8735177865612648	0.7933370976849238	0.7391304347826086	0.805759457933371	0.8204404291360813	0.7391304347826086	0.7312252964426877	0.6533032185206098	0.6871823828345568	0.7029926595143986	0.04799548277809147	0.14850367024280067	0.1789949181253529	-0.08074534161490683	0.22190852625635235	0.5911914172783738	0.32919254658385094	0.49181253529079616	0.36984754376058726	0.5968379446640316	0.4138904573687182	0.36307171089779783	0.39469226425748166	0.3924336533032185	0.2704686617730096	0.6002258610954263	0.42631281761716544	0.13269339356295878	0.26143421795595706	0.5686053077357425	0.5584415584415584	-0.33483907396950874	-0.453416149068323	-0.3642010163749294	-0.277244494635799	-0.5110107284020328	-0.5369847543760587	-0.3890457368718238	-0.42857142857142855	-0.2478825522303783	-0.6228119706380576	-0.4116318464144551	-0.3404856013551666	-0.3156408808582722	-0.5358554488989271	-0.5923207227555054	-0.7651044607566346	-0.691699604743083	-0.6849237718802936	-0.8159232072275551	-0.7944664031620553	-0.8283455674760023	-0.7944664031620553	-0.6024844720496895	-0.5448898927159797	-0.5911914172783738	-0.7289666854884246	-0.7707509881422925	-0.8520609824957651	-0.269339356295878	-0.2422360248447205	-0.49858836815358554	-0.42292490118577075	-0.6126482213438735	-0.5719932241671372	0.35177865612648224	-0.04009034443817053	0.19706380575945792	0.09542631281761717	-0.14850367024280067	0.0502540937323546	-0.07058159232072275	0.13269339356295878	-0.06154714850367024
SahR_SamR	0.7380011293054771	0.655561829474873	0.7346132128740824	0.8723884810841332	0.8080180688876341	0.8249576510446076	0.8848108413325805	0.9446640316205533	1.0	0.8791643139469226	0.9570863918690006	0.9164313946922643	0.9017504234895539	0.8565782044042913	0.8610954263128177	0.8249576510446076	0.7843026538678712	0.8068887634105025	0.8656126482213439	0.7142857142857143	0.6996047430830039	0.6905702992659515	0.6950875211744777	0.6939582156973462	0.08977978543195934	0.2106154714850367	0.22077922077922077	-0.1507622811970638	0.20271033314511575	0.5810276679841897	0.2365894974590627	0.5166572557876906	0.36984754376058726	0.5640880858272163	0.47261434217955955	0.339356295878035	0.4161490683229814	0.37662337662337664	0.2478825522303783	0.5087521174477696	0.41727837380011296	0.06719367588932806	0.3800112930547713	0.5313382269904009	0.5335968379446641	-0.20722755505364202	-0.3800112930547713	-0.41953698475437606	-0.2264257481648786	-0.49294184076792774	-0.5324675324675324	-0.5031055900621118	-0.4308300395256917	-0.3867871259175607	-0.6216826651609261	-0.4161490683229814	-0.3890457368718238	-0.3958215697346132	-0.6092603049124788	-0.5911914172783738	-0.7300959909655562	-0.6510446075663467	-0.6713721061547149	-0.8023715415019763	-0.8091473743647657	-0.831733483907397	-0.8306041784302653	-0.5697346132128741	-0.5290796160361377	-0.6250705815923208	-0.8136645962732919	-0.8170525127046866	-0.8881987577639752	-0.22416713721061546	-0.295313382269904	-0.43195934500282324	-0.4308300395256917	-0.541501976284585	-0.5437605872388481	0.21739130434782608	-0.044607566346696784	0.1101072840203275	0.014116318464144552	0.03557312252964427	0.10107284020327499	-0.12027103331451157	0.11575381140598531	-0.11914172783738002
NrtR	0.6408808582721626	0.7154150197628458	0.735742518351214	0.7899491812535291	0.805759457933371	0.7865612648221344	0.8893280632411067	0.8949745906267645	0.8791643139469226	1.0	0.9457933370976849	0.9356295878035008	0.9288537549407114	0.8972332015810277	0.8622247317899492	0.849802371541502	0.8644833427442123	0.9096555618294748	0.8723884810841332	0.779785431959345	0.7955957086391869	0.8023715415019763	0.7413890457368718	0.849802371541502	0.06380575945793338	0.13495200451722192	0.163184641445511	0.05251270468661773	0.2456239412761152	0.47939017504234893	0.3879164313946923	0.339356295878035	0.3235460191981931	0.49407114624505927	0.2704686617730096	0.47148503670242803	0.52343308865048	0.5471485036702428	0.4556747600225861	0.665725578769057	0.5268210050818747	0.2388481084133258	0.43195934500282324	0.5990965556182948	0.5821569734613213	-0.29079616036137773	-0.4150197628458498	-0.17221908526256352	-0.26256352343308864	-0.44438170525127046	-0.49294184076792774	-0.35629587803500845	-0.5200451722190853	-0.3450028232636928	-0.5979672501411631	-0.4782608695652174	-0.37210615471485037	-0.42518351214003386	-0.577639751552795	-0.6070016939582157	-0.7267080745341615	-0.717673630717109	-0.743647656691135	-0.6521739130434783	-0.8407679277244494	-0.779785431959345	-0.7752682100508187	-0.7120271033314511	-0.7233201581027668	-0.6837944664031621	-0.8023715415019763	-0.8147939017504235	-0.8193111236589498	-0.4082439299830604	-0.4048560135516657	-0.5110107284020328	-0.4805194805194805	-0.691699604743083	-0.665725578769057	0.19932241671372106	-0.053642010163749296	-0.00846979107848673	-0.034443817052512704	-0.14398644833427443	0.11349520045172219	-0.03670242800677583	0.2885375494071146	0.08977978543195934
