	CueR	FruR	MerR	FadP	AcnR	NifA	FadR	GntR	BioQ	NnrR	NtrC	PurR	LiuR	RbsR	LtbR	ZntR	NmlR	PaaR	RutR	FixJ	GlcC	DasR	PhnR	PdxR	FnrN_FixK	HrcA	FabR	QorR	PrpR	CadR-PbrR	GguR	TtrR	CsoR	HcpR	MetJ	NorR	TyrR	CcpA	HisR	PsrA	NiaR	HutC	PhnF	HexR	HypR	XylR	IscR	MetR	BirA	RbkR	MntR	ThiR	KdgR	NagC	FUR	SahR_SamR	Zur	NsrR	NrtR	ArgR	Phr	NadQ	Rex	PhrR	AraR	CzrA	ModE	Irr	SiaR	AgaR	GulR	AmtR	VanR	CblR	PhsR	LexA	SdaR	SoxR	NarP	TrpR	NrdR	NagQ	NikR	NagR	LiuQ	ExuR_UxuR	LldR	PdhR
CueR	1.0	0.7440331126202283	0.7249209786769654	0.6874770286851644	0.6498973712334112	0.7498006796681953	0.7075051879831045	0.6129962510814189	0.6297448134305149	0.7361281530780148	0.738797066457074	0.5689591803269419	0.6599284143148753	0.6758627319042584	0.45496491396712485	0.42400099518803963	0.565679583378098	0.5369661466432194	0.6145681958258647	0.6217833091133214	0.5888403232099337	0.6898292913243351	0.5953203544226495	0.597355966321932	0.5471781330046197	0.5098020367427948	0.28853102329079283	0.2855567681268412	0.190516310340343	0.3181378674703564	0.20702738463452286	0.22622999021775392	0.3542473607726278	0.32323820617355853	0.31516361230640483	0.3084121661737847	-0.562399986429254	-0.5685972937670695	-0.579849703988103	-0.6084613601280173	-0.5768075950941753	-0.558238290990721	-0.6576892412256645	-0.5565193298313269	-0.524164409587732	-0.7588026078450221	-0.796223939926831	-0.769591350911219	-0.7923788952281864	-0.7711067508806849	-0.7824835596066746	-0.8184234185840057	-0.7434337380054397	-0.8120677858762461	-0.8005552696903042	-0.8267920452810558	-0.8338262152885763	-0.8670632340218603	-0.8409621658910609	-0.8421269882556502	-0.8474535060587727	-0.7035244358245076	-0.6920571554585498	-0.6935951733380077	-0.7159642863201225	-0.81696456338952	-0.7575133869754765	-0.5609411312347683	-0.49571107881776183	-0.6367789834380354	-0.69880860159117	0.02163968538487201	0.1067395717298743	-0.040751819328134986	-0.05763608913718328	-0.0681421083284799	-0.1099060791287581	0.07562863653584091	-0.28786379494602804	-0.300337572306631	-0.0002996873073943602	-0.1162277849715297	-0.08478889008261192	-0.23889601981328915	-0.09776026146303951	-0.047141378900882665	-0.21593884117138157	-0.12465295644355984
FruR	0.7440331126202283	1.0	0.6620092620341418	0.7065891626284273	0.7083194327428174	0.6869228898903597	0.7376548620024767	0.6552804338115137	0.7032982567245873	0.7879570938247451	0.7548897094164013	0.6973497463966842	0.654782839791689	0.6376384640177324	0.46093604220502005	0.3535009697428909	0.48722936257075167	0.5641189475886481	0.5196295186343306	0.5544837179320445	0.6578588755506047	0.6736348677700437	0.568212789297205	0.5883314202351132	0.6444125280603445	0.48971733266987466	0.3168712645108029	0.21970472318505407	0.13399415327026706	0.20805649953916008	0.1890913820108453	0.09733052117319099	0.17098574506222752	0.27899757422915333	0.25864145523632887	0.26625238194864603	-0.5437628285958236	-0.5618910834544334	-0.5690609609219061	-0.5238703767578357	-0.6159252704253864	-0.6400020356118993	-0.6137991868861358	-0.5212353902437645	-0.4609699690700081	-0.7052433969839017	-0.8018557995148459	-0.7680420240767651	-0.7450622275248656	-0.791236690773589	-0.8129838112309232	-0.812033859011258	-0.7622744570287983	-0.7649207524978654	-0.7944371250374609	-0.7988702353958982	-0.8267581184160677	-0.814487902245393	-0.8306710168446885	-0.8240892050370086	-0.7942674907125207	-0.6283425030110092	-0.6709659543909845	-0.6911750569688608	-0.7645927928029811	-0.7224103906678503	-0.7344996635585889	-0.45459171845225643	-0.45393579906248765	-0.5767510503191953	-0.6528942443073548	0.07040389932768262	0.238760312353337	-0.039372126818621324	-0.10944241197392154	-0.10620805084506166	0.011416390068475722	0.0801974543542304	-0.4333421920147469	-0.45686481840645515	-0.22017969929488665	-0.21071410396322326	-0.28845186060582073	-0.3132523989120785	-0.15220157081384894	-0.17348502411634653	-0.16899536898292913	-0.1128124805627336
MerR	0.7249209786769654	0.6620092620341418	1.0	0.7684604554116177	0.7471883110641161	0.6897953644593471	0.5728833877105586	0.47610135085467425	0.5270029572917314	0.7060689506986106	0.5367286585883031	0.5906271380993039	0.6096261824926068	0.61897868827431	0.5659849251629903	0.4969776817773154	0.6442202758254123	0.6076018795483203	0.3999016120915347	0.653097805497283	0.6057359019739781	0.6083256526680652	0.566527755002799	0.4805344612131116	0.41956788482960233	0.42199931015374526	0.2872983471962273	0.21028436367337477	0.16209690643536084	0.2574992507817315	0.39511792412822094	0.29298675155922216	0.3331787776150545	0.3193931614749139	0.19755048034786346	0.34318720278652654	-0.5620267909143856	-0.6838242362214519	-0.6460183996697785	-0.6152354241706295	-0.5991880170312862	-0.5137714799463956	-0.5168814425702993	-0.4550214587421049	-0.4603253586352353	-0.8187174514139021	-0.7317176606295696	-0.7673069420020243	-0.8378974390871412	-0.8029753860594512	-0.8303996019247841	-0.8203911767533121	-0.7910670564486488	-0.7951043533822257	-0.8121808754262062	-0.8312025377295011	-0.8010867905751169	-0.7904563728788642	-0.830331748194808	-0.8364046570276673	-0.8114344843964694	-0.6393234983121384	-0.6800696631627754	-0.5933865231183313	-0.7375191545425245	-0.7327807023991948	-0.7270018263962319	-0.4903280162396594	-0.40622331793430627	-0.5487500777490656	-0.643066762415819	0.038026361174095705	0.14345974860193045	-0.028854798672328683	-0.05768132495716733	-0.013112733317877762	-0.17567896138557318	-0.13939983375836157	-0.3518159354484849	-0.33524831637932495	0.05009301615484221	-0.13731898603909506	0.013304985552809992	-0.21219557706770106	-0.16041187214095481	-0.18338035973785843	-0.24089770484758355	-0.24133875409242808
FadP	0.6874770286851644	0.7065891626284273	0.7684604554116177	1.0	0.7393172783868907	0.7574794601104885	0.6191596315542462	0.6183001509745492	0.6417775415462734	0.7892802415592787	0.7022465239099581	0.6780905960384731	0.7610757077992208	0.7601709913995397	0.5937484096782036	0.48333908205212295	0.6435530474806476	0.6777400184335967	0.3646515993689603	0.5486369881991054	0.5483316464142131	0.6217493822483333	0.47120457334140037	0.5208848126388881	0.4669410973079033	0.541659362966565	0.39624881962782227	0.17464984648093593	0.2686385714528049	0.16103386466573558	0.3283724717417487	0.1734624062063545	0.24980916138444226	0.2834985383175668	0.2567867866169827	0.24804496440506416	-0.47092184946650006	-0.7175588489745605	-0.6294055447806346	-0.5535111478023873	-0.5643225087785764	-0.6339969805090161	-0.6484272070839294	-0.4759882613047141	-0.47679119710943113	-0.7972643637864643	-0.7947085399573652	-0.7916664310634376	-0.8105184590417922	-0.8193055170736948	-0.8284996974854538	-0.8318019123442898	-0.8101904993469079	-0.8137528201706521	-0.8575750207802048	-0.8667013474619878	-0.8479171732136092	-0.8456893090793945	-0.8456893090793945	-0.8529948940068193	-0.8261474348462831	-0.6992157239710265	-0.6285913000209216	-0.6567166710960074	-0.7663343718723671	-0.7780504492482372	-0.7879231669597571	-0.521574658893645	-0.5317979542100412	-0.5919842126988256	-0.7233490339325195	0.07709880068532267	0.09500087644401219	-0.00319477978637384	-0.0005824111822947001	-0.0008990619221830807	-0.049403169900085385	-0.12650762506290605	-0.46918027039711396	-0.38432918106202396	-0.1815370000735082	-0.259557480591006	-0.05597367275276928	-0.35428128763761585	-0.10453432550565166	-0.30818598707386446	-0.3486720459595931	-0.27697327128486693
AcnR	0.6498973712334112	0.7083194327428174	0.7471883110641161	0.7393172783868907	1.0	0.7255768980667341	0.6020944184652617	0.48598537752119014	0.6115034690219451	0.6815398273122573	0.6194536643841426	0.5853910919361497	0.6125438928815783	0.6821618198370379	0.40953684174813826	0.41344974017675895	0.5098698904727709	0.6444012191053485	0.39013067497497894	0.5616309774895251	0.5245941498775806	0.6494223951235786	0.5702710191064795	0.49254457141887803	0.5204663813040356	0.47180394795618913	0.2842110024823156	0.18896698350588914	0.1868522089216346	0.19117222973011178	0.29313376797417035	0.20043426387184693	0.30454450356514806	0.2631537282797383	0.2807165353885474	0.24406421224646738	-0.5344216317691164	-0.6616021396542853	-0.5310289452703123	-0.6134259913712673	-0.5069069442638153	-0.6167960599600794	-0.5526742851326824	-0.49462541913814456	-0.40295502994045834	-0.7266625577463515	-0.7361168441230188	-0.747912084183861	-0.7652487121927498	-0.771265076250629	-0.7983726413760737	-0.7479573200038451	-0.7402106858315758	-0.7440783484402124	-0.7619125704689258	-0.7706204658158563	-0.7881832729246654	-0.7528201706521309	-0.7921187892632782	-0.7875725893548806	-0.7792152716128267	-0.6702647991812316	-0.6211386986785487	-0.6727188424153666	-0.728754714420614	-0.7014548970602371	-0.7088509536276301	-0.46899932711717773	-0.5070087248587795	-0.5096776382378386	-0.6535614726521196	0.029827368801985853	0.05287501908386156	-0.06565413822935692	-0.072382966451985	0.023200321174321886	-0.06901289786317295	-0.04433675806187129	-0.3828363990025502	-0.4482473946994928	-0.13370012044037072	-0.1876099089063675	-0.06515654420953232	-0.25230844043856127	-0.0861120378171455	-0.2962663485080661	-0.30618430203957003	-0.2914374247247683
NifA	0.7498006796681953	0.6869228898903597	0.6897953644593471	0.7574794601104885	0.7255768980667341	1.0	0.5480376135843168	0.5512493568031847	0.6110737287320965	0.7502756557780278	0.7099139953972553	0.5569151432561874	0.676382943834075	0.6621562784490899	0.5343650869941363	0.4881566968804248	0.5699882952315791	0.587358850105456	0.48764779390560414	0.5387642704875856	0.5865672232557351	0.6430554534608229	0.49387902810840767	0.43882703518781346	0.5676925773673883	0.4860984670711503	0.20321626680086627	0.2335355751451787	0.23182792294078067	0.1836970104777468	0.27502813102555257	0.16401942878468315	0.2519917896986729	0.24645040175062624	0.18730456712147514	0.16438131534455558	-0.5061944800990664	-0.6155068390905338	-0.6216023658333851	-0.635591543163454	-0.5378934809528926	-0.5830840651169629	-0.6039264691746159	-0.5696377176267027	-0.6002510588009115	-0.7541093915216764	-0.7561563123759549	-0.7315140994396413	-0.7639594913232043	-0.7632470271584554	-0.7561450034209589	-0.7677593002018649	-0.7033434925445714	-0.715444074390306	-0.7713329299806051	-0.7693199359913148	-0.7994469921006949	-0.7929895787979712	-0.7680307151217691	-0.7882058908346574	-0.7824496327416866	-0.730371894985044	-0.6202226733238715	-0.7232246354275633	-0.7571741183255961	-0.7662778270973871	-0.7480477916438132	-0.5090895725780459	-0.5200818768341712	-0.5380970421428208	-0.6729224036052949	0.05754561749721517	0.040842290968103094	-0.13195854137098462	-0.05287501908386156	0.14116403073773967	0.03354801499567432	0.046327134141169686	-0.2583813492714206	-0.4321886786051535	-0.07862550960978451	-0.2509852927040277	-0.10109640318686351	-0.27252885197143356	-0.06003358759633816	-0.18167270753346038	-0.19032405810541078	-0.24744558979027542
FadR	0.7075051879831045	0.7376548620024767	0.5728833877105586	0.6191596315542462	0.6020944184652617	0.5480376135843168	1.0	0.6688398708517339	0.6129170883964468	0.6601772113247876	0.6989556180061182	0.6058829183889263	0.6469118071144636	0.5826317069171223	0.40514896720968496	0.314451148141656	0.4127485849670061	0.6279579985411448	0.46025750490525924	0.531549157200129	0.5912378216690887	0.5908193903342361	0.6052496169091495	0.5061605532340784	0.6174519793498482	0.5886933067949857	0.3134220332370187	0.29596100672317377	0.1786305986395327	0.24495761969115243	0.033966446330526825	0.17339455247637842	0.24962821810450606	0.3891694138003178	0.30318742896562645	0.2467557435355186	-0.546635303164811	-0.4424345918315418	-0.4469355559199552	-0.49021492668969924	-0.4440856992609598	-0.4614336362248446	-0.5760046592894583	-0.44461722014577243	-0.4189572012598176	-0.6015289707154611	-0.6747883811796371	-0.7328259382191789	-0.7057183730937343	-0.7509768109877807	-0.7222746832078982	-0.7486019304386178	-0.7483644423837016	-0.7780730671582292	-0.7383560172122295	-0.7633261898434275	-0.7181921504543373	-0.8079965620776812	-0.7809455417272166	-0.7678950076618171	-0.7822573805067543	-0.6895126405844468	-0.5605113909449198	-0.5531831881075029	-0.6335898581291596	-0.6732051274801952	-0.6675280320721964	-0.5611333834697004	-0.5301920826006072	-0.6050347467642253	-0.6591254785101582	0.11920204013548127	0.12927831903692938	0.030980882211579238	-0.02663824349311002	-0.08779707211155154	0.07834278573488417	0.08537695574240463	-0.27442875641076386	-0.321112122634308	-0.11396599397232698	-0.05238873401903297	-0.09166473472018818	-0.2867668263114147	-0.21392584718209115	-0.13176628913605237	-0.36053513975041135	-0.07043782619267067
GntR	0.6129962510814189	0.6552804338115137	0.47610135085467425	0.6183001509745492	0.48598537752119014	0.5512493568031847	0.6688398708517339	1.0	0.6246784015923008	0.7192891190889505	0.7741149329096245	0.6804541676326399	0.6673018529722761	0.6070590497085117	0.3308717507958677	0.22939649761663775	0.3598905293156386	0.4573397945162877	0.36467421727895233	0.37433206484554793	0.4970002996873074	0.45227338267807365	0.3967464136476469	0.5778932547737926	0.5278963647364165	0.6062108780838107	0.48577050737626587	0.4261836235022703	0.04892819379025281	0.08828335717638011	-0.04258387003748919	-0.06634398448411374	0.1907764163052513	0.20984331442853024	0.28738881883619544	0.27660007576999845	-0.28521749947696085	-0.30038280812661505	-0.3463424012304143	-0.3571650711615993	-0.4566047124415468	-0.5090669546680539	-0.5464769777948668	-0.42333376684327484	-0.348570265364629	-0.5361632108385025	-0.717151726594704	-0.7480477916438132	-0.549937518023647	-0.6599057964048832	-0.6587183561303018	-0.6898971450543112	-0.7250566861369175	-0.7293540890354027	-0.7343413381886447	-0.7000525866407314	-0.706385601438499	-0.7211890235282808	-0.6983675523463254	-0.6548167666566771	-0.6632645560386993	-0.5250238901674291	-0.42854719509643713	-0.5123917874368819	-0.6078732944682247	-0.559029917840442	-0.5219591633635094	-0.5127989098167384	-0.6409293699215723	-0.6766769766639714	-0.7069736670982918	0.2247824439782642	-0.038919768618780784	0.013938287032586753	-0.014413263142419325	-0.12332980870902624	0.24211907198715302	0.06669456208899016	-0.21628941877625799	-0.2576575761516757	-0.26974684904241425	-0.00785406924473144	-0.022793198794465397	-0.26742851326823147	-0.1020011195865446	-0.20226631458120112	-0.25303221355830613	-0.12539934747329673
BioQ	0.6297448134305149	0.7032982567245873	0.5270029572917314	0.6417775415462734	0.6115034690219451	0.6110737287320965	0.6129170883964468	0.6246784015923008	1.0	0.7059332432386586	0.6951558091274576	0.5639606222187039	0.5940876783280841	0.6208785927136403	0.3432663654714986	0.29706928431278307	0.3854940034266134	0.5509327060632963	0.4693838315870422	0.445962985790298	0.5613708715246167	0.5586906491905616	0.4915946191992129	0.4698248808318867	0.5458323673600941	0.5290159512810219	0.22292777535891795	0.26098240892050373	0.17557718079060905	0.08336396175311421	-0.011416390068475722	-0.026445991258177787	0.20460726826537592	0.167219863048555	0.3487512086445652	0.19673623558815048	-0.32416554048323165	-0.4324374756150658	-0.46487155854363277	-0.41475027000130055	-0.63392912677904	-0.6304120417752798	-0.6569089233309396	-0.5987922036064257	-0.5207264872689439	-0.559957252150115	-0.6400925072518674	-0.613233739136335	-0.5847238635913848	-0.627313388106372	-0.6329226297843947	-0.6387580505623378	-0.613199812271347	-0.6292132925457024	-0.6694957902415027	-0.6833492601116193	-0.7261875816365189	-0.6864705316905192	-0.6673131619272721	-0.6928487823082708	-0.6845819362061849	-0.5482411747742449	-0.5168814425702993	-0.6448875041701772	-0.7088848804926181	-0.680544639272608	-0.6682970410119253	-0.4652221361485092	-0.5912491306240847	-0.577452205528948	-0.6558232636513223	0.16277544373512165	0.11770925807600749	0.01673159891660211	-0.005773221525464939	-0.05604152648274536	0.14113010387275163	0.12455117584859571	-0.2043358533454716	-0.3574704129464917	-0.2799588354038145	-0.2383531899734805	-0.23805915714358414	-0.38607076013141006	-0.035911586589841164	-0.2852627352969449	-0.22047373212478302	-0.0927617033548015
NnrR	0.7361281530780148	0.7879570938247451	0.7060689506986106	0.7892802415592787	0.6815398273122573	0.7502756557780278	0.6601772113247876	0.7192891190889505	0.7059332432386586	1.0	0.8451804061045739	0.7318420591345257	0.7343639560986367	0.7177171743445047	0.44828132156448086	0.3291867165014617	0.5548229865819249	0.5808448920277521	0.42258737581353795	0.5080491487184127	0.657236883025824	0.5946870529428728	0.4892875923800261	0.5818287711124054	0.6462898145896828	0.6116165585719051	0.4569100542264392	0.3129809839921742	0.16853170182809257	0.02399194802404284	0.14031585911303865	0.02683049572804225	0.20837315027904846	0.23197493935572883	0.13864213377362863	0.20429061752548755	-0.41194564916228915	-0.5434009420359511	-0.5195051201293744	-0.4886882177652374	-0.580777038297776	-0.648099247389045	-0.6801488258477475	-0.5628410356740985	-0.5417385256515371	-0.759503763054775	-0.8557542790258467	-0.8322655794991264	-0.7273524040011082	-0.7737756642597441	-0.8115815008114176	-0.7977506488512929	-0.77373042843976	-0.7966423712616836	-0.8597124132744514	-0.831066830269549	-0.8611825774239331	-0.8075102770128526	-0.8178466618792091	-0.8115023381264455	-0.8042646069289967	-0.6439827877704961	-0.5601381954300513	-0.7081837252828652	-0.8006231234202803	-0.723778774222368	-0.7268095741612997	-0.6041526482745362	-0.6462106519047107	-0.6235135792277114	-0.7748047791643813	0.19877184748743293	0.0996714748573658	-0.10444385386568354	-0.018280925751055974	-0.04070658350815093	0.12331849975403023	-0.06577853673431307	-0.34815183402977645	-0.37859554087904507	-0.27607986384018185	-0.12667725938784627	-0.1124845208678492	-0.3848041571718565	-0.15251822155373732	-0.24597542564079367	-0.17167559131698434	-0.17887939564944502
