	ModE	PhrR	NiaR	HutC	PhnF	CcpA	Rex	AgaR	Irr	SiaR	GulR	IscR	MetR	BirA	XylR	MntR	ThiR	Phr	ArgR	NrtR	RbkR	NsrR	Zur	FUR	SahR_SamR	KdgR	NagC	NadQ	AraR	CzrA	HexR	HypR	TyrR	HisR	PsrA	NarP	TrpR	LldR	NagR	CblR	VanR	NrdR	ExuR_UxuR	PdhR	FabR	QorR	NmlR	LiuR	PurR	GntR	HrcA	BioQ	NnrR	NtrC	FruR	PaaR	CueR	RbsR	MerR	FadP	AcnR	NifA	PdxR	PhnR	DasR	FadR	FnrN_FixK	FixJ	GlcC	HcpR	CsoR	ZntR	LtbR	RutR	GguR	TtrR	CadR-PbrR	PrpR	MetJ	NorR	SdaR	SoxR	AmtR	LexA	LiuQ	NikR	NagQ	PhsR
ModE	1.0	0.7372685444955672	0.6855222633698674	0.692514869262709	0.7534682477337623	0.588698113442811	0.5556902205763165	0.4870659235152558	0.5591366475891221	0.5170263968378658	0.6437362061871096	0.7086497337872043	0.6656267534507911	0.7619022681080811	0.7644309779423684	0.7669197870297635	0.7695233107644733	0.8130051496901458	0.8428658711455255	0.8227608823052657	0.7954338582775347	0.8330004114764523	0.8100275564533224	0.7506003815508921	0.7790147009314331	0.6835172508385391	0.7306450205114777	0.7421763363632963	0.7694784224242197	0.8561578074539583	0.5379244130226063	0.5672065736480505	0.4701230688661953	0.4441476826394344	0.307946483123231	0.32538310951508126	0.3643611516353072	0.3325403059888527	0.4320577563311263	0.16678262821232184	0.14055287472412376	0.3186698088504844	0.12960011970224067	0.30349256225139964	-0.2816169777678026	-0.3206947717552588	-0.6767839998004963	-0.7085799074801431	-0.6104689584658163	-0.5871968478409956	-0.5763388570929812	-0.721143655157795	-0.7683661891046023	-0.692145787353957	-0.7315178493497425	-0.6865247696355317	-0.7724211025075126	-0.8036334617638624	-0.7942318482774099	-0.800112220850634	-0.7644309779423684	-0.7787553460766343	-0.47412810633549046	-0.47265676629384407	-0.5126971658000723	-0.47333507899100985	-0.38086011047519297	-0.5364381102008753	-0.5478696741854636	-0.37715432860758863	-0.27652464494569756	-0.4402673350041771	-0.3088642003017494	-0.35210164715270764	-0.11912118604970137	-0.12570480928689884	-0.15077245352186436	-0.08247235002930212	-0.08562450903377848	-0.03215252060499507	-0.15718649858477038	-0.20932679958602976	-0.08350976944849686	-0.29399618449107845	-0.0312946545468148	0.10268207833015375	0.21372585693088442	0.033075225376875024
PhrR	0.7372685444955672	1.0	0.649327298345366	0.6454369755233855	0.6310826818289504	0.5403034950560481	0.5415304430229804	0.46402822977842617	0.47472162994551054	0.5030312098654597	0.5527275901195775	0.6313819374306413	0.5933814636092719	0.7432536565293831	0.7044252422100026	0.7378471053255028	0.7106298083517251	0.7777977281512238	0.7881569595630868	0.7745308544994327	0.7141410740782304	0.7390391401389045	0.7954937093978728	0.6865746455691467	0.6990436289729298	0.6542201274330104	0.7131036546590357	0.6408334268507089	0.7684459905983865	0.7689397623411763	0.5990024813276974	0.4858489507350466	0.4473098168306338	0.4523123729722316	0.3604059900996272	0.3049439519196	0.38221174827616305	0.22111747029264703	0.3490941283557152	-0.003119739647626529	0.06842728712328083	0.3484058404718263	0.11489669447249966	0.14738587762939687	-0.1862841182558386	-0.31495405179615704	-0.5602688312821855	-0.5795059788775421	-0.514657289991147	-0.530847018042619	-0.5871120587538498	-0.6859910971458497	-0.7276125637476777	-0.7021309492637066	-0.7345752440803501	-0.654080474818888	-0.7149789897629646	-0.6831032805895335	-0.650504370378683	-0.7106647215052557	-0.673691691916358	-0.7272684198057332	-0.5094701928951733	-0.4524669883664385	-0.5211810621080063	-0.440227434257285	-0.5034102669609347	-0.49297622164864896	-0.6096609683412512	-0.30908365440965596	-0.25867903589820324	-0.3523610020075063	-0.3222409256973279	-0.43461639172558264	-0.17860322447910823	-0.09574932355765034	-0.18179029663711518	-0.10706118530156236	-0.10178431152508136	-0.0853302410254492	-0.1220339405728251	-0.2221499021184803	-0.12105637227396851	-0.21595531116348085	-0.11767478397486253	0.1087370166710308	0.21885809049988156	0.06647215052556765
NiaR	0.6855222633698674	0.649327298345366	1.0	0.6022045162657889	0.6022294542325964	0.4433197421414232	0.40184291574707914	0.4291799149615332	0.3467100587289118	0.36612177209192137	0.48659708973927357	0.5472711629820821	0.4801331687427524	0.5645631491664485	0.5739747378396239	0.5541839673811394	0.5667078143118992	0.5924886843975611	0.6000897766805072	0.6075362535692465	0.5964089327797105	0.5988777914936595	0.6364493322859387	0.5733712390428808	0.5911769473434831	0.5225626254691454	0.5488721804511278	0.45739473060761354	0.67270913602414	0.6653075474756543	0.4283170613099914	0.4769760221449145	0.370889911345528	0.3463958403471365	0.2448085387598349	0.24412025087594608	0.2992930086410055	0.16746592850284917	0.336226137483011	0.11894163268868689	0.01930946769909849	0.2639060337410691	0.2214067507076148	0.23232459257596727	-0.20530679933665008	-0.2232870734049053	-0.5440491776705445	-0.5315353059265078	-0.4840185039713712	-0.49734036583997304	-0.538418184765396	-0.5945635232359505	-0.630893153281213	-0.5542887068417311	-0.610553747552962	-0.501624708537513	-0.5707627277148094	-0.7012980211723339	-0.6274816394219379	-0.6114365515779498	-0.5517749597875286	-0.6070873701667103	-0.33262509507599847	-0.2877966059427175	-0.3096322896794224	-0.29103355403433956	-0.2902155887230514	-0.37272035810920334	-0.45193331587675656	-0.17191486178131896	-0.1990972456015661	-0.3555979500991284	-0.2866893602164616	-0.41992792927592615	-0.16037357074277733	-0.043329717328146236	-0.04347435753563012	0.043339692514869264	-0.11735557799972568	-0.12729585156922157	-0.0687115799448871	-0.1953266250202621	-0.09167445978129403	-0.1072257758824923	-0.05796331625082607	0.13234329605107295	0.18798987518547614	0.05945460666591853
HutC	0.692514869262709	0.6454369755233855	0.6022045162657889	1.0	0.7506352947044227	0.36387236748587887	0.4002568610581179	0.4047307323033953	0.4177683013503909	0.4780034663773863	0.520856868539508	0.5813264504544945	0.5388620805745707	0.5129764710283171	0.5686529757228893	0.5785583361388545	0.5762939687527275	0.5932567737752341	0.6334617638623923	0.6102544919512712	0.6168381151884686	0.6365391089664459	0.6568286387610818	0.5977505953939576	0.6261798775545829	0.5110063716505193	0.5318395491215602	0.5129016571278944	0.735283482337685	0.6994476240352124	0.44794324118754597	0.5133505405304305	0.3276574520879313	0.22205015025125002	0.07280639409468946	0.2813227097594733	0.4861332435566528	0.2181598274292697	0.3488048479407474	0.07532014114889213	0.0853302410254492	0.4771954762528211	0.1320290776692976	0.260095512412873	-0.20906744473123107	-0.26189104602301777	-0.49759972069477176	-0.6272272721605008	-0.6517063803788077	-0.5443933216124889	-0.4869561964613025	-0.6590780433671243	-0.684963652913378	-0.6516365540717465	-0.6345889599620943	-0.5524632476714173	-0.5604733226100076	-0.6930635045324754	-0.5736505442711256	-0.6558560580555868	-0.6430529058965823	-0.622613748301101	-0.4665320016459058	-0.4020424194815397	-0.45866656691479946	-0.32135313407897853	-0.40483048417062556	-0.30828563947181387	-0.37089988653225103	-0.20878315190962482	-0.09649746256187733	-0.34596690731804636	-0.16920161099265577	-0.2775121884312772	0.0476489731792167	0.060197758076784	0.08370428558959588	-0.15940597763064376	-0.047624035212409134	-0.1547126522774598	-0.18900235663786333	-0.30451501889050986	-0.09480168081896283	-0.24822504021247146	-0.15029364455915908	0.24821506502574844	0.267267671666729	0.031763488322797045
PhnF	0.7534682477337623	0.6310826818289504	0.6022294542325964	0.7506352947044227	1.0	0.32011122333196174	0.35895460043142685	0.47569421065100564	0.482063367373658	0.5209965211536304	0.5914562525717278	0.6291275452312373	0.594169503360391	0.5525629995386476	0.5883040935672514	0.5817853090437537	0.6054514395441339	0.6489532288432525	0.6847441988054714	0.6458808713325602	0.6547238743625232	0.7085250439531665	0.6813526353196424	0.6460604246935747	0.6821057619172309	0.5348470679185526	0.5859250115338096	0.5707776904948939	0.686120774573249	0.7888252970735296	0.4450703874113144	0.47495105924014014	0.21551141535430615	0.20527188618311948	0.13274230351999403	0.18659833663761394	0.3111584932480455	0.251262484569633	0.48225289592139553	0.13817878028404343	0.16429381912492674	0.363358645369643	0.0957293731842043	0.22092794174490954	-0.2927642489307847	-0.3766056933378222	-0.45402810508859215	-0.6546291100886544	-0.6113866756443347	-0.5989476178007207	-0.5705432736069028	-0.6969687901345404	-0.7260464594321625	-0.7141011733313383	-0.5954114141074078	-0.5502038678786518	-0.6822853152782453	-0.6773675482237933	-0.5697253082956146	-0.6523547675158045	-0.6023441688799113	-0.6286936246087856	-0.5384979862591803	-0.4327659945884612	-0.4045412037556578	-0.420257110437786	-0.42652152769984664	-0.3414182221723463	-0.39856107931520346	-0.2589483659397249	-0.18856344842205014	-0.27135251062980836	-0.17220414219628674	-0.3109939026671156	0.08828788388882654	-0.06545468147981895	0.013718375540842155	-0.12480704248182646	-0.08119552612875472	-0.10841282310253245	-0.2507437748600357	-0.27090861482063366	-0.03994812902904026	-0.1734011646030499	-0.14352049277422413	0.1889574682976097	0.18789012331824587	-0.07695108417810696
CcpA	0.588698113442811	0.5403034950560481	0.4433197421414232	0.36387236748587887	0.32011122333196174	1.0	0.4891257995735608	0.42460130425566406	0.3762415990224317	0.29815583735458046	0.4995598448858465	0.5860696517412936	0.578338882030948	0.6858265065649197	0.6686143218743376	0.7005997581017219	0.6436115163530718	0.6511377947355952	0.63787079639397	0.6706941483060886	0.672893676978516	0.6052718861831194	0.6625992842803526	0.6292472474719136	0.6072918614945324	0.6598860334916894	0.6508185887604584	0.5554607912816868	0.577560817466552	0.5172458509457724	0.3797877779024676	0.2697814187209317	0.49903614758288756	0.4712702153393434	0.42509507599845386	0.39181785309043754	0.16854823626229753	0.2814224616267036	0.337168792628337	0.003518747116547588	-0.016351824835721143	0.04649683911270714	0.28528784648187633	0.22500779311462737	-0.3078018429157471	-0.10757989501115973	-0.6298856594221873	-0.49187895110911606	-0.38367311313108643	-0.3418022668611828	-0.38326911806880387	-0.4325714784473622	-0.5759597999975062	-0.4632052768737765	-0.5676903702041173	-0.5802790558485766	-0.5635706180875073	-0.49774436090225566	-0.671766480878814	-0.7353233830845771	-0.6450080424942954	-0.6378059576802704	-0.36701953889699374	-0.2783800296761805	-0.42318482774099425	-0.2935223631217347	-0.19085774136834624	-0.47704584845197573	-0.5625232234815896	-0.16334617638623922	-0.3402261873589446	-0.43493061010735795	-0.4150899637152583	-0.2627738500480056	-0.2720008977668051	-0.20185538473048292	-0.252369730295889	-0.09320066334991708	-0.0028753475729123806	-0.03165376126884375	0.04244691330315839	0.08616316911682191	-0.04777865060661604	-0.08609334280976072	0.21040910734547813	-0.06436738612700907	0.13609895385229243	0.025434232347036748
Rex	0.5556902205763165	0.5415304430229804	0.40184291574707914	0.4002568610581179	0.35895460043142685	0.4891257995735608	1.0	0.35347323532712377	0.3825060162844923	0.29621566353695183	0.39401239416950334	0.5463634209902867	0.4795446327260938	0.6885297821668599	0.5631765982119478	0.6750084165637975	0.6788588386388857	0.6840010473946059	0.6815571266474645	0.67574159278794	0.6202047407074901	0.6201748151473211	0.6169478422424219	0.5722191049763713	0.557804960161598	0.5901145899574808	0.646509308096111	0.6533373234080225	0.5550567962194042	0.5785882616990237	0.4601329193630843	0.24169628050225064	0.3629047743737453	0.4843925734734847	0.4660881058367311	0.32105886607064926	0.19409468945996833	0.2774074489706854	0.17677277771543287	-0.0036135113904163393	-0.08869686654447063	0.0796792977468547	-0.013533834586466165	0.17419419194753052	-0.19009962717739623	-0.09894138330901882	-0.3762316238357087	-0.37267048217558824	-0.3577825159914712	-0.36680507238244864	-0.30994152046783624	-0.49108093617127396	-0.47776904948939514	-0.3995835359543136	-0.6027731019090014	-0.4267659197745608	-0.6043940697514931	-0.4828065187845235	-0.6057058068055712	-0.5452960760109228	-0.5188119552612875	-0.5221336924400554	-0.4202920235913166	-0.5341338420678562	-0.640504245688849	-0.5182184316512675	-0.5157196473771494	-0.6300702003765632	-0.4367610568710333	-0.46874150550505617	-0.40229678674297686	-0.4147557949600369	-0.44884100799261833	-0.3993690694397686	-0.3089789149490642	-0.21530692402648413	-0.27538248606591104	-0.254080474818888	-0.2884001047394606	-0.3191386426264667	0.07032257260065587	-0.0008304342946919538	-0.080547138991758	-0.09259716455317397	0.0312946545468148	0.17975037095225627	0.12236810932804648	-0.028421800770583174
AgaR	0.4870659235152558	0.46402822977842617	0.4291799149615332	0.4047307323033953	0.47569421065100564	0.42460130425566406	0.35347323532712377	1.0	0.720784548435766	0.7637626404319255	0.8383072108131024	0.7553834835845834	0.8424169877429893	0.5286624521502762	0.6132570231549022	0.6987393857778775	0.6796119652364743	0.6280053367248968	0.6741655132857018	0.6649634035337099	0.6745096572276462	0.7334430603872866	0.7220563847429519	0.8167358695245577	0.8120225937979276	0.769004601054876	0.7657177770296387	0.6335016646092844	0.6783700544894574	0.632963004526241	0.1434456788738014	0.26735744834723624	0.04605294330353246	-0.0652501901519969	-0.0007655955809922817	-0.08704597314180974	-0.2036110175937356	0.38304467636753575	0.5582139428172421	0.2815172259005723	0.3392037307198344	0.2091123330714847	0.2303694559782541	0.18111198393994937	-0.690824075113156	-0.6310826818289504	-0.5384830234790957	-0.7603910273195427	-0.7509694634596441	-0.7976084489831544	-0.7564957169042008	-0.638025411788177	-0.7257073030835796	-0.7689746754947069	-0.4814748313569995	-0.5383134453048043	-0.6628985398820434	-0.6129727303332959	-0.5872616865546952	-0.6435117644858415	-0.6240651379693014	-0.6175064526989115	-0.481120712228332	-0.42559383533460515	-0.2007531265975885	-0.22956645344705046	-0.22474843825982868	-0.4055985735482986	-0.3654683973615631	-0.17885260414718387	-0.43672614371750273	-0.42082070848763703	0.045469394880235416	-0.034661280065836235	0.21692290427561442	0.03169864960909737	-0.20168580655619148	-0.1090711854262522	-0.10007356700208232	-0.23525230987917556	-0.3446651454506914	-0.2800508734522874	-0.07347473160513224	-0.06531502886569658	-0.020691031060237657	-0.08079153106647215	-0.22020474070749013	-0.16040848389630794
Irr	0.5591366475891221	0.47472162994551054	0.3467100587289118	0.4177683013503909	0.482063367373658	0.3762415990224317	0.3825060162844923	0.720784548435766	1.0	0.7482312747041734	0.7441863364879862	0.7079414955298694	0.7829000361600519	0.5590368957218917	0.571146772403646	0.6632476714173493	0.6311375453559271	0.6246137732390679	0.6579508472674223	0.6554620381800271	0.6670781431189915	0.7294080973578224	0.6858165313781968	0.7563510766967169	0.7493235576503448	0.7066497088492375	0.7183356400952631	0.6781206748213818	0.6641903265626753	0.6553572987194354	0.2765745208793127	0.256529383159391	0.1099390266711555	0.005169640519208469	0.0578236636367037	-0.04484594571004626	-0.09524557662813751	0.43836207434007907	0.5008566191598399	0.25659422187309067	0.41243157645357176	0.23118243369618074	0.05948453222608761	0.22952156510679683	-0.6364243943191311	-0.589805359169067	-0.48576914924126235	-0.7279716704697066	-0.6902056135363284	-0.712495168268931	-0.6191174453546803	-0.5987730520330677	-0.7109839274803925	-0.7079913714634846	-0.46400827940498013	-0.5757602962630457	-0.6543099041135176	-0.63727727278395	-0.596792977468547	-0.6142196286736742	-0.622603773114378	-0.6280801506253195	-0.40768338757341116	-0.48791381438671305	-0.28465940971832565	-0.2818813202159628	-0.29307846731256	-0.4505916532625095	-0.4157333632588935	-0.3603112258257584	-0.4929413084951184	-0.38397236873277724	-0.04736468035761045	-0.01948902106011297	0.24921757129141262	-0.08633773488447487	-0.07867180388782903	-0.24886843975610667	-0.08843252409631043	-0.04575867529520318	-0.35431613860521954	-0.24675370017082507	-0.08065187845234978	-0.2094913901669597	-0.08777416177259068	-0.058831157495729376	-0.11720595019888029	-0.16139602738188755
SiaR	0.5170263968378658	0.5030312098654597	0.36612177209192137	0.4780034663773863	0.5209965211536304	0.29815583735458046	0.29621566353695183	0.7637626404319255	0.7482312747041734	1.0	0.7954388458708962	0.7072332572725346	0.7881070836294717	0.5166124265888602	0.595491215601192	0.656334867018292	0.6350178929911844	0.6242247409568698	0.6540056609184653	0.645207546228756	0.6452225090088405	0.7005947705083605	0.702320477811444	0.7734884474868764	0.744321001508747	0.7045000561104253	0.7069290140774822	0.6211424082594547	0.6825945460666591	0.622429207346725	0.22922230950510605	0.41349393383957406	0.04175363782590805	-0.03926482873851295	0.02529956732627589	-0.04315016396713176	-0.08240751131560244	0.39095001184553424	0.4477237870796394	0.28156211424082594	0.42538934400678313	0.30003117245850947	0.17844860908490132	0.2064738961832442	-0.6357111684684348	-0.6128829536527887	-0.42746917043853416	-0.7327647476901208	-0.7455030611354256	-0.7710594895198194	-0.730590156984501	-0.6691928827042731	-0.7422910510106111	-0.7677626903078592	-0.4552550530555244	-0.5035349567949725	-0.5941445653935835	-0.655546827267173	-0.5182732951782442	-0.6095961296275515	-0.632943054152795	-0.6177857579271562	-0.4138879537151336	-0.4570954750059228	-0.2498160824947942	-0.2319106223269617	-0.32572226586366415	-0.36424643698799236	-0.4026110051247522	-0.24813526353196425	-0.3839923191062233	-0.26836992979962343	0.019992767989625806	-0.05230239778550855	0.24783102033691193	0.0566565667901096	-0.03137445604059901	-0.18539632663748926	-0.06616291973715382	-0.04743450666467163	-0.36257060561852394	-0.2332772229080163	-0.10972456015661043	-0.18467312560006982	-0.035294704422748416	-0.03974363770121822	-0.19756605443958153	-0.23744685095824136
