	Rex	ModE	PhrR	AraR	MntR	Zur	CzrA	NsrR	RbkR	NadQ	FUR	SahR_SamR	KdgR	NagC	ThiR	Phr	ArgR	NrtR	BirA	XylR	AgaR	IscR	GulR	MetR	Irr	SiaR	LldR	NagR	VanR	NrdR	HutC	PhnF	HypR	NiaR	PsrA	CcpA	TyrR	HexR	HisR	TrpR	NagQ	NarP	CsoR	HcpR	FnrN_FixK	DasR	FadR	PdxR	SoxR	MetJ	PhsR	CadR-PbrR	ZntR	LiuQ	PhnR	NorR	PdhR	ExuR_UxuR	PrpR	AmtR	CblR	NikR	TtrR	GguR	LtbR	GlcC	RutR	FabR	SdaR	HrcA	GntR	NtrC	QorR	LiuR	PurR	FixJ	FruR	PaaR	BioQ	CueR	MerR	LexA	NmlR	NnrR	RbsR	FadP	AcnR	NifA
Rex	1.0	0.183372498176809	0.474758933635848	0.4535288874483429	0.6865732112470626	0.5940361396969451	0.4826999432785026	0.5481727574750831	0.5659995138157362	0.5321286767684953	0.5906328498500932	0.5899846041649786	0.658860708208411	0.6692326391702456	0.5961429381735678	0.626934608216514	0.545255651892067	0.5645409610242281	0.42840936715014993	0.40426221537962886	0.44105015800988573	0.4700591524187667	0.4271128757799206	0.5246738513896767	0.45450125597601493	0.44639818491208166	0.4271128757799206	0.2869297463738757	-0.0474029657240094	0.28206790373551577	0.36099181589822543	0.06490559922210518	0.07738432866056236	0.16586986467871323	0.037355157604732195	0.038813710396240174	0.13361964184425898	0.27104772708856656	0.260189611862896	0.0717121789158091	0.04902357993679605	0.2475488210031602	-0.42597844583096994	-0.2337736001944737	-0.6275828539016287	-0.5462280204197391	-0.2577586905437161	-0.31934203062960864	-0.11757556113767118	-0.3554817275747508	-0.04367555303460011	-0.049671825621910706	-0.07543959160521838	-0.2613240418118467	-0.2699132971396159	-0.19812008751316748	-0.03605866623450288	-0.1459363098614375	-0.26424114739486265	-0.14966372255084678	0.0973178834778381	0.29341220322502226	0.1994165788833968	-0.3446236123490803	-0.16343894335953327	-0.3331172514382951	-0.34851308645976825	-0.15890122356373065	-0.1893687707641196	-0.5160845960619075	-0.43521594684385384	-0.5350457823515112	-0.12227534235475244	-0.3896766874645491	-0.3216108905275099	-0.4078275666477595	-0.3276071631148205	-0.30508062555708615	-0.4792966534316506	-0.47313831942306134	-0.3752532209707479	-0.1412365286443562	-0.27023741998217327	-0.4608216514058828	-0.4063690138562515	-0.45061178186532697	-0.33052426869783647	-0.3303622072765578
ModE	0.183372498176809	1.0	0.6690705777489668	0.7387569888987926	0.6950004051535532	0.7152580828133863	0.6946762823109959	0.6797666315533587	0.6329308808038246	0.7089376873835184	0.6343894335953326	0.6818734300299814	0.45758042298030954	0.5818815331010453	0.6987278178429625	0.7118547929665343	0.7698727817842963	0.7442670772222673	0.6058666234502876	0.6590227696296896	0.14010209869540555	0.4956648569807957	0.5206223158577101	0.5321286767684953	0.4664938011506361	0.418199497609594	0.1728385057936958	0.40361396969451424	0.3630986143748481	0.2814196580504011	0.5951705696458958	0.6066769305566809	0.42160278745644597	0.5356940280366259	0.15582205655943604	0.4903168300785998	0.5643788996029495	0.6196418442589742	0.5899846041649786	0.40620695243497285	0.3178834778381006	0.41366177781379143	-0.06231261648164654	-0.42646463009480595	-0.10136941900980471	-0.3514301920427842	-0.19050320071307025	-0.21157118547929665	-0.17267644437241714	0.2503038651648975	0.03622072765578154	-0.05323717689004132	-0.05647840531561462	0.06620209059233449	-0.0757637144477757	0.3473786565108176	0.22291548496880317	0.1775382870107771	0.2026578073089701	0.006239364719228588	0.08710801393728224	-0.09115954946924884	-0.27542338546309053	-0.1747832428490398	-0.2757475083056478	-0.6538368041487724	-0.43229884126083784	-0.07932906571590632	-0.12195121951219512	-0.2410663641520136	-0.47265213515922533	-0.4700591524187667	-0.33619641844258974	-0.5373146422494125	-0.4480187991248683	-0.48675147881046915	-0.6254760554250061	-0.53277692245361	-0.5664856980795722	-0.687383518353456	-0.8121708127380277	-0.4948545498744024	-0.6557815412041164	-0.6810631229235881	-0.7103962401750263	-0.7053723361153877	-0.7920751964994733	-0.7159063284985009
PhrR	0.474758933635848	0.6690705777489668	1.0	0.7429705858520379	0.710072117332469	0.7979094076655052	0.6321205736974314	0.6880317640385706	0.6891661939875213	0.6758771574426707	0.6562677254679523	0.6445993031358885	0.602301272182157	0.6946762823109959	0.7262782594603354	0.739567296005186	0.7502633498095779	0.7431326472733166	0.6883558868811279	0.6651811036382789	0.2305323717689004	0.4444534478567377	0.5267806498662994	0.47070739810388135	0.3997244955838263	0.4120411636010048	0.23490803014342435	0.26488939307997733	0.18904464792156228	0.38238392350700917	0.6115387731950409	0.43959160521837776	0.36131593874078277	0.5867433757394053	0.2337736001944737	0.5306701239769873	0.5198120087513167	0.6112146503524836	0.5982497366501904	0.4224130945628393	0.4019933554817276	0.5596791183858683	-0.25127623369256946	-0.33992383113199903	-0.4288955514139859	-0.5044161737298436	-0.3697431326472733	-0.449153229073819	-0.06604002917105584	0.12713718499311238	0.09861437484806741	-0.06215055506036788	-0.01823190989384977	-0.05890932663479459	-0.06830888906895713	0.21983631796450856	0.045458228668665425	-0.00948059314480188	0.10461064743537801	-0.2329632930880804	-0.1866137266023823	0.016449234259784458	-0.16797666315533588	-0.32063852199983794	-0.4622802041973908	-0.661777813791427	-0.5100883234745969	0.09780406774167409	0.09796612916295276	-0.4052345839073009	-0.4002106798476623	-0.48237582043594524	-0.16765254031277854	-0.446236123490803	-0.315776679361478	-0.5864192528968479	-0.7825135726440321	-0.6915971153067012	-0.630337898063366	-0.6358479863868406	-0.6543229884126084	-0.41674094481808605	-0.5909569726926505	-0.6270966696377928	-0.6201280285228101	-0.733246900575318	-0.6175350457823515	-0.629365529535694
AraR	0.4535288874483429	0.7387569888987926	0.7429705858520379	1.0	0.812981119844421	0.8560894579045458	0.8340491046106474	0.8165464711125516	0.8040677416740944	0.8257839721254355	0.8460416497852686	0.8562515193258244	0.6809010615023093	0.7416740944818087	0.7562596223968884	0.7392431731626287	0.8309699376063528	0.8113605056316344	0.5907949112713718	0.5943602625395025	0.5089538935256462	0.6575642168381817	0.7137995300218782	0.7478324284903979	0.5993841665991411	0.6254760554250061	0.4115549793371688	0.576209383356292	0.3488372093023256	0.340896199659671	0.687869702617292	0.5860951300542906	0.42176484887772464	0.48480674175512517	-0.05890932663479459	0.3054047483996435	0.3383032169192124	0.4535288874483429	0.4313264727331659	0.19309618345352889	0.2559760149096508	0.3927558544688437	-0.18693784944493963	-0.48124139048699455	-0.2917915890122356	-0.37460497528563325	-0.11514463981849121	-0.2462523296329309	-0.24690057531804555	0.1921238149258569	0.009318531723523215	0.04594441293250142	0.0968316992140021	-0.05177862409853334	-0.07738432866056236	0.2127056154282473	0.17364881290008913	0.2528968479053561	0.04270318450692812	-0.1673284174702212	0.013208005834211166	-0.02276962968965238	-0.19228587634713556	-0.3062150555060368	-0.10380034032898469	-0.4361883153715258	-0.3276071631148205	-0.1660319260999919	-0.23733895146260434	-0.4734624422656187	-0.5548172757475083	-0.7518839640223645	-0.40750344380520215	-0.7572319909245604	-0.6262863625313994	-0.44558787780568837	-0.6457337330848392	-0.6572400939956243	-0.6932177295194879	-0.7001863706344704	-0.7327607163114821	-0.655943602625395	-0.5630824082327202	-0.8223806822785836	-0.8055262944656024	-0.8097398914188477	-0.756907868082003	-0.7009966777408638
MntR	0.6865732112470626	0.6950004051535532	0.710072117332469	0.812981119844421	1.0	0.8601409934365124	0.8218944980147476	0.8653269589174297	0.8334008589255327	0.8473381411554979	0.864678713232315	0.8977392431731627	0.8009885746697999	0.891256786322016	0.9037355157604732	0.9176727979904383	0.9048699457094239	0.921724333522405	0.7577181751883963	0.6964589579450612	0.4326229641033952	0.6843043513491613	0.7031034762174865	0.7813791426950815	0.6463819787699538	0.6713394376468682	0.43829511384814845	0.44283283364395104	0.25873105907138805	0.3446236123490803	0.5470383275261324	0.4237095859330686	0.27526132404181186	0.36779839559192934	0.07025362612430111	0.3161008022040353	0.3853010290900251	0.4862652945466332	0.4980957782999757	0.24333522404991492	0.2041163601004781	0.38141155497933715	-0.38335629203468113	-0.4839964346487319	-0.4384571752694271	-0.5322907381897739	-0.24641439105420954	-0.27801636820354914	-0.1294060448910137	-0.0418928774005348	-8.103071063933231e-05	-0.08727007535856089	0.03508629770683089	-0.13588850174216027	-0.2987602301272182	0.1289198606271777	0.037355157604732195	0.03848958755368285	-0.09715582205655944	-0.008508224617129892	0.041244631715420144	0.055181913945385304	-0.11773762255894984	-0.392107608783729	-0.19957864030467548	-0.508143586419253	-0.3446236123490803	-0.2509521108500122	-0.22842557329227778	-0.5138157361640061	-0.6183453528887448	-0.6993760635280771	-0.4882100316019771	-0.6974313264727332	-0.5783161818329147	-0.47232801231666804	-0.7256300137752209	-0.5447694676282311	-0.6716635604894254	-0.7588526051373471	-0.8137914269508144	-0.4523944574993923	-0.503281743780893	-0.762255894984199	-0.7009966777408638	-0.7509115954946924	-0.7719795802609188	-0.680576938659752
Zur	0.5940361396969451	0.7152580828133863	0.7979094076655052	0.8560894579045458	0.8601409934365124	1.0	0.8074710315209465	0.8512276152661858	0.8662993274451017	0.9014666558625719	0.9013045944412933	0.8834778381006402	0.7249817680901062	0.8392350700915647	0.8094157685762904	0.8763471355643789	0.9040596386030305	0.865164897496151	0.656915971153067	0.7502633498095779	0.5076574021554169	0.686411149825784	0.7876995381249493	0.7914269508143587	0.6115387731950409	0.6702050076979175	0.3648812900089134	0.5434729762580017	0.3313345758042298	0.266510007292764	0.6296896523782514	0.5536828457985576	0.3995624341625476	0.5212705615428247	0.08257029414147962	0.39016287172838504	0.3747670367069119	0.5739405234583908	0.5159225346406288	0.26472733165869866	0.22631877481565513	0.43586419252896846	-0.3248521189530832	-0.3848148448261891	-0.3616400615833401	-0.4587148529292602	-0.21173324690057532	-0.32517624179564053	-0.1778624098533344	0.01904221700024309	0.014504497204440484	0.013045944412932501	-0.015314804310833806	-0.04497204440482943	-0.11368608702698323	0.14950166112956811	0.1073656915971153	0.11919617535045782	0.0052669961915566	-0.05469572968154931	0.04027226318774816	0.08419090835426626	-0.130702536261243	-0.3647192285876347	-0.20363017583664209	-0.572319909245604	-0.48594117170407586	-0.17316262863625315	-0.29162952759095695	-0.5619479782837695	-0.6092699132971396	-0.7311401020986954	-0.40247953974556355	-0.7194716797666315	-0.5867433757394053	-0.5120330605299408	-0.6467061016125112	-0.5745887691435054	-0.6950004051535532	-0.7974232234016693	-0.7476703670691192	-0.5860951300542906	-0.6392512762336926	-0.8423142370958593	-0.8060124787294385	-0.843934851308646	-0.7624179564054777	-0.7416740944818087
CzrA	0.4826999432785026	0.6946762823109959	0.6321205736974314	0.8340491046106474	0.8218944980147476	0.8074710315209465	1.0	0.9337168786970261	0.8338870431893688	0.8338870431893688	0.8914188477432947	0.9186451665181103	0.763228263511871	0.819301515274289	0.7800826513248521	0.790778705129244	0.8789401183048375	0.8450692812575966	0.7162304513410582	0.6462199173486751	0.5783161818329147	0.5382870107770845	0.7546390081841018	0.7969370391378332	0.7220646625070902	0.7230370310347621	0.30038084434000484	0.5073332793128595	0.2924398346973503	0.35450935904707886	0.5567620128028523	0.6441131188720525	0.3190179077870513	0.3630986143748481	-0.050158009885746695	0.20962644842395267	0.3010290900251195	0.3016773357102342	0.2880641763228263	0.012883882991653836	-0.09423871647354347	0.08970099667774087	-0.423061340247954	-0.5838262701563893	-0.30264970423790616	-0.4741106879507333	-0.31691110931042865	-0.41236528644356213	-0.4250060773032979	0.022445506847095047	-0.18483105096831698	-0.30005672149744755	-0.14269508143586418	-0.2851470707398104	-0.3804391864516652	0.06604002917105584	0.09099748804797018	-0.00948059314480188	-0.12729924641439105	0.04480998298355077	0.008508224617129892	0.1650595575723199	-0.17040758447451584	-0.08921481241390487	0.025200551008832346	-0.39940037274126894	-0.22502228344542582	-0.2347459687221457	-0.345758042298031	-0.6510817599870351	-0.7650109391459363	-0.8029333117251438	-0.5901466655862572	-0.7319504092050887	-0.6188315371525809	-0.5227291143343327	-0.5993841665991411	-0.5582205655943603	-0.7724657645247549	-0.821732436593469	-0.6651811036382789	-0.420630418928774	-0.39291791589012237	-0.7454015071712179	-0.6941900980471599	-0.607649299084353	-0.6697188234340815	-0.5651892067093428
NsrR	0.5481727574750831	0.6797666315533587	0.6880317640385706	0.8165464711125516	0.8653269589174297	0.8512276152661858	0.9337168786970261	1.0	0.8274045863382222	0.89563244469654	0.9129730167733571	0.9171866137266024	0.8609513005429058	0.9124868325095211	0.8803986710963455	0.8742403370877563	0.9361478000162061	0.9136212624584718	0.8048780487804879	0.7515598411798071	0.5750749534073414	0.5450935904707884	0.7454015071712179	0.790778705129244	0.733246900575318	0.7766793614780002	0.31691110931042865	0.4655214326229641	0.2603516732841747	0.3240418118466899	0.5228911757556114	0.48172757475083056	0.36536747427274935	0.29957053723361154	0.007049671825621911	0.2428490397860789	0.31464224941252733	0.36893282554087997	0.3538611133619642	0.06393323069443319	-0.0036463819787699537	0.1660319260999919	-0.48367231180617454	-0.608135483348189	-0.33797909407665505	-0.5473624503686897	-0.37282229965156793	-0.4541771331334576	-0.32809334737865653	0.047078842881452074	-0.1384814844826189	-0.2721821570375172	-0.15517381087432136	-0.27850255246738514	-0.41479620776274206	0.12713718499311238	0.0158009885746698	-0.04772708856656673	-0.18256219107041569	0.04724090430273074	-0.09472490073737946	0.0684709504902358	-0.1999027631472328	-0.1632768819382546	-0.05372336115387732	-0.4280852443075926	-0.27428895551413984	-0.22858763471355645	-0.2588931204926667	-0.5792885503605867	-0.7353536990519407	-0.7251438295113848	-0.529373632606758	-0.7042379061664371	-0.6392512762336926	-0.4660076168868001	-0.6893282554087999	-0.5940361396969451	-0.7826756340653107	-0.8397212543554007	-0.716392512762337	-0.45579774734624423	-0.38805607325176245	-0.6927315452556518	-0.6784701401831295	-0.6321205736974314	-0.7244955838262701	-0.5668098209221295
RbkR	0.5659995138157362	0.6329308808038246	0.6891661939875213	0.8040677416740944	0.8334008589255327	0.8662993274451017	0.8338870431893688	0.8274045863382222	1.0	0.8497690624746779	0.8703508629770683	0.8839640223644761	0.737136374686006	0.7987197147718985	0.7377846203711207	0.7531804553925938	0.8128190584231424	0.7987197147718985	0.6311482051697593	0.5971153067012398	0.5421764848877725	0.5937120168543878	0.7682521675715096	0.8021230046187505	0.6943521594684385	0.703751721902601	0.4055587067498582	0.4436431407503444	0.3345758042298031	0.342354752451179	0.5789644275180293	0.5073332793128595	0.394052345839073	0.44023985090349244	-0.029576209383356294	0.24771088242443887	0.37833238797504254	0.4528806417632283	0.2819058423142371	0.1422088971720282	0.1412365286443562	0.2237257920751965	-0.33862733976176973	-0.370391378332388	-0.26748237582043594	-0.39194554736245035	-0.17397293574264647	-0.25970342759906007	-0.2563001377522081	-0.09650757637144478	0.014342435783161819	-0.05177862409853334	-0.0684709504902358	-0.21659508953893525	-0.17462118142776112	0.016935418523620453	0.156794425087108	0.09326634794587149	0.009804715987359209	-0.04918564135807471	0.07381897739243173	0.14026416011668422	-0.13734705453366827	-0.2527347864840775	0.006887610404343246	-0.4194959889798234	-0.28028522810145046	-0.2274532047646058	-0.3387894011830484	-0.603759824973665	-0.7633903249331496	-0.7983955919293412	-0.6243416254760554	-0.7316262863625314	-0.6400615833400859	-0.527428895551414	-0.5948464468033384	-0.6196418442589742	-0.7343813305242687	-0.7544769467628231	-0.6828457985576534	-0.5339113524025606	-0.58496070010534	-0.7928855036058666	-0.7293574264646301	-0.7167166356048943	-0.7112065472814196	-0.6439510574507739
NadQ	0.5321286767684953	0.7089376873835184	0.6758771574426707	0.8257839721254355	0.8473381411554979	0.9014666558625719	0.8338870431893688	0.89563244469654	0.8497690624746779	1.0	0.9333927558544688	0.9293412203225022	0.712503038651649	0.8225427436998622	0.795640547767604	0.8402074386192367	0.8650028360748724	0.83858682440645	0.6353618021230046	0.6925694838343732	0.5619479782837695	0.7225508467709262	0.8225427436998622	0.8820192853091322	0.7000243092131918	0.8050401102017665	0.40620695243497285	0.5721578478243254	0.4233854630905113	0.22080868649218052	0.5343975366663966	0.451097966129163	0.3848148448261891	0.4100964265456608	-0.08970099667774087	0.19876833319828216	0.30459444129325014	0.4319747184182805	0.39615914431569565	0.09747994489911677	0.12357183372498177	0.26602382302892796	-0.3616400615833401	-0.4592010371930962	-0.2127056154282473	-0.3995624341625476	-0.11449639413337655	-0.2310185560327364	-0.25176241795640547	0.07754639008184101	-0.08791832104367556	-0.02390405963860303	-0.002998136293655295	-0.05226480836236934	-0.1861275423385463	0.21627096669637794	0.15128433676363343	0.12681306215055507	0.010128838829916538	0.08257029414147962	0.14804310833806011	0.06425735353699052	-0.13524025605704562	-0.3110768981443967	-0.027631472328012316	-0.40491046106474354	-0.23960781136050563	-0.32550036463819787	-0.36633984280042137	-0.5013370067255489	-0.7103962401750263	-0.7324365934689248	-0.5352078437727898	-0.7948302406612106	-0.7544769467628231	-0.48853415444453446	-0.6355238635442833	-0.49145126002755046	-0.7324365934689248	-0.7943440563973746	-0.767117737622559	-0.6235313183696621	-0.5128433676363342	-0.7891580909164574	-0.8021230046187505	-0.741025848796694	-0.8325905518191394	-0.6838181670853254
