	NmlR	ZntR	LtbR	PaaR	FixJ	DasR	PhnR	FadP	NnrR	NtrC	FadR	FruR	CueR	MerR	AcnR	NifA	GntR	HrcA	PurR	BioQ	LiuR	RbsR	PdxR	FnrN_FixK	GlcC	FabR	QorR	RutR	VanR	HcpR	MetJ	NorR	CadR-PbrR	GguR	CsoR	TtrR	BirA	XylR	IscR	MetR	RbkR	NrtR	Zur	NsrR	ArgR	Phr	SahR_SamR	ThiR	KdgR	MntR	FUR	NagC	AgaR	GulR	HutC	PhnF	HypR	TyrR	AraR	CzrA	ModE	NiaR	PhrR	PsrA	NadQ	Rex	CcpA	HisR	SdaR	SoxR	AmtR	NagQ	PhsR	NikR	PdhR	Irr	SiaR	NarP	HexR	TrpR	LexA	CblR	PrpR	NagR	NrdR	LiuQ	ExuR_UxuR	LldR
NmlR	1.0	0.5149127445795875	0.2905341089370703	0.48011634056054997	0.46303543098889477	0.2771020624008461	0.06187202538339503	0.5263881544156531	0.44352194606028555	0.3996827075621364	0.4044420941300899	0.4129561078794289	0.4831306187202538	0.5968799576943417	0.4516657852987837	0.4332099418297197	0.22443151771549444	0.34722369116869384	0.3822316234796404	0.2351136964569011	0.4261237440507668	0.3597567424643046	0.3484399788471708	0.23046007403490218	0.36520359598096247	0.3784241142252776	0.19079851930195663	0.10655737704918032	0.13659439450026442	-0.08968799576943416	0.048122686409307246	-0.0565309360126917	0.0663670015864622	0.1674246430460074	-0.19249074563722898	-0.02236911686938128	-0.4682178741406663	-0.5788471708090958	-0.4537810682178741	-0.5139079851930196	-0.5254891591750397	-0.5407191961924908	-0.5121099947117927	-0.5139608672659969	-0.4747223691168694	-0.48001057641459544	-0.5227392913802221	-0.4838709677419355	-0.5460602855631941	-0.5173453199365415	-0.5068746694870438	-0.5120042305658382	-0.4460602855631941	-0.3682707562136436	-0.27530407191961925	-0.21686938127974617	-0.3794288736118456	-0.629402432575357	-0.42051824431517715	-0.3061872025383395	-0.5530407191961925	-0.3264410364886304	-0.38688524590163936	-0.24828133262823904	-0.35817028027498676	-0.26821787414066633	-0.5504494976203067	-0.5080380750925436	0.020782654680063458	0.08323638286620835	-0.2632998413537811	-0.22712850343733473	-0.35351665785298786	0.3237969328397673	-0.070386039132734	-0.2754098360655738	-0.18942358540454785	-0.3282919090428345	-0.154362771020624	-0.23231094658910628	-0.058751983077736644	-0.15970386039132733	-0.15742993125330512	-0.14600740349021682	-0.10930724484399788	-0.24717080909571656	-0.2098360655737705	-0.206081438392385
ZntR	0.5149127445795875	1.0	0.4430460074034902	0.32511898466419886	0.4016393442622951	0.2332099418297197	0.07165520888418826	0.36065573770491804	0.2081967213114754	0.21464833421470123	0.2840824960338445	0.26922263352723425	0.340772078265468	0.3664727657324167	0.2950290851401375	0.4518244315177155	0.06848228450555262	0.14918032786885246	0.24574299312533052	0.18529878371232153	0.19227921734531994	0.2683236382866208	0.1615018508725542	0.1404019037546272	0.18963511369645691	0.09619249074563722	0.20126916975145426	0.13913273400317291	-0.027921734531993654	0.1375462718138551	0.06166049709148599	-0.027128503437334743	0.11073506081438392	0.3017451084082496	0.0387625594923321	0.040719196192490745	-0.4051295610787943	-0.38122686409307244	-0.28799576943416183	-0.30031729243786354	-0.39159175039661553	-0.36509783183500794	-0.313590692755156	-0.35954521417239554	-0.3629825489159175	-0.36668429402432573	-0.3931782125859334	-0.3450555261766261	-0.37461660497091487	-0.35716552088841885	-0.3685880486515071	-0.36790058170280276	-0.39460602855631943	-0.2556319407720783	-0.278900052882073	-0.1547858276044421	-0.29645690111052353	-0.4837123215230037	-0.3709677419354839	-0.36927551560021155	-0.3966155473294553	-0.3349021681649921	-0.2817028027498678	-0.2549444738233739	-0.2970386039132734	-0.39635113696456903	-0.3389212057112639	-0.4151771549444738	0.18323638286620836	0.09413008989952407	-0.26975145425700686	-0.1187202538339503	-0.2178741406663141	0.07292437863564252	-0.1635113696456901	-0.2204653622421999	-0.1710735060814384	-0.2254362771020624	-0.1808566895822316	-0.07916446324695928	0.09629825489159174	-0.13199365415124273	-0.22194606028556318	-0.00830248545742993	-0.07049180327868852	-0.19714436805922791	-0.14420941300898996	-0.24664198836594395
LtbR	0.2905341089370703	0.4430460074034902	1.0	0.4499206768905341	0.3920148069804336	0.3225806451612903	0.3151242728714966	0.5280803807509254	0.34801692226335273	0.31025912215758855	0.45272342675832894	0.47250132205182444	0.3579058699101005	0.47593865679534636	0.3553146483342147	0.42982548915917507	0.21760973030142783	0.28741406663141195	0.3578529878371232	0.3168693812797462	0.41168693812797463	0.3577472236911687	0.21163405605499735	0.21623479640401905	0.1534108937070333	0.07461660497091487	0.21840296139608673	0.10200951877313591	-0.019725013220518246	0.39920676890534107	0.15922792173453199	0.16361713379164464	0.07599153886832363	0.3804865150713908	0.15954521417239556	0.2114225277630883	-0.5948704389212057	-0.5368059227921734	-0.42971972501322053	-0.3865150713907985	-0.5372289793759916	-0.5443151771549445	-0.4896351136964569	-0.5592808038075092	-0.5314119513484928	-0.5647805393971443	-0.4970386039132734	-0.5846641988365944	-0.5565838180856689	-0.5606028556319408	-0.5275515600211528	-0.5509783183500794	-0.24859862506610259	-0.35351665785298786	-0.2843997884717081	-0.2582760444209413	-0.3464304600740349	-0.33574828133262824	-0.4870967741935484	-0.4911686938127975	-0.5012691697514543	-0.4018508725542041	-0.3041776837652036	-0.3720253833950291	-0.37556848228450557	-0.489053410893707	-0.42929666842940245	-0.49037546271813853	0.10105764145954521	-0.14420941300898996	-0.06684294024325754	-0.027974616604970914	0.034214701216287675	-0.017609730301427817	-0.05774722369116869	-0.18529878371232153	-0.2310946589106293	-0.23865679534637757	-0.20449497620306717	-0.22030671602326812	0.08450555261766261	0.07297726070861978	0.03886832363828662	-0.17408778424114224	-0.0946060285563194	-0.33458487572712853	-0.0678476996298255	-0.3443151771549445
PaaR	0.48011634056054997	0.32511898466419886	0.4499206768905341	1.0	0.24606028556319406	0.3423585404547858	0.15193019566367003	0.6242728714965626	0.4907456372289794	0.45256478053939714	0.5826546800634584	0.4945002644103649	0.48069804336329985	0.47001586462189315	0.5808038075092543	0.5364357482813327	0.3567424643046007	0.4290322580645161	0.36409307244843997	0.5142252776308831	0.5931782125859334	0.5757271285034373	0.3356425171866737	0.23410893707033315	0.25658381808566894	0.2028027498677948	0.12432575356953993	0.166737176097303	-0.0006345848757271285	0.07615018508725542	0.18350079323109467	0.06197778952934955	0.052829190904283445	0.1518244315177155	-0.06710735060814384	-0.03865679534637758	-0.5078794288736118	-0.5840296139608673	-0.44029613960867264	-0.4662083553675304	-0.4772607086197779	-0.5286620835536753	-0.5227921734531994	-0.5431517715494447	-0.535483870967742	-0.541195134849286	-0.5635113696456902	-0.5121099947117927	-0.49915388683236384	-0.4832892649391856	-0.5127974616604971	-0.4509254362771021	-0.2637757800105764	-0.2962453728186145	-0.5003701745108409	-0.5846113167636171	-0.41285034373347435	-0.4051295610787943	-0.5701216287678477	-0.6373876255949233	-0.661660497091486	-0.49492332099418296	-0.497567424643046	-0.34743521946060285	-0.4589106292966684	-0.2854574299312533	-0.43733474352194607	-0.49106292966684295	0.028714965626652565	0.14283447911158118	0.01422527763088313	-0.23442622950819672	-0.07710206240084612	-0.17228979375991538	-0.22400846113167636	-0.3293495505023797	-0.25780010576414597	-0.23326282390269698	-0.38889476467477524	-0.3319936541512427	0.16504494976203068	-0.21935483870967742	0.003067160232681121	-0.33532522474881016	-0.2581173982020095	-0.27556848228450553	-0.2459016393442623	-0.33077736647276573
FixJ	0.46303543098889477	0.4016393442622951	0.3920148069804336	0.24606028556319406	1.0	0.48381808566895823	0.46092014806980436	0.5488630354309889	0.45552617662612377	0.327392913802221	0.4271285034373347	0.5714436805922792	0.5731359069275516	0.6107879428873612	0.49159175039661557	0.5075621364357483	0.24865150713907985	0.2074034902168165	0.3488630354309889	0.42591221575885774	0.3080380750925436	0.3738762559492332	0.3380750925436277	0.45690111052353255	0.3793759915388683	0.24235854045478583	0.17757800105764146	0.41417239555790586	0.2701216287678477	0.36980433632998416	0.43664727657324165	0.26398730830248546	0.047858276044420944	0.25579058699101004	0.2375462718138551	0.17451084082496035	-0.6796932839767319	-0.6361713379164463	-0.600211528291909	-0.5293495505023796	-0.6537810682178742	-0.6562665256478054	-0.6266525647805394	-0.6655208884188261	-0.7086197778952935	-0.6562136435748281	-0.6258064516129033	-0.6641988365943945	-0.5997884717080909	-0.6558434690639873	-0.639344262295082	-0.651718667371761	-0.5470121628767848	-0.5164463246959281	-0.2904283447911158	-0.2696456901110523	-0.4557377049180328	-0.3653622421998942	-0.514595452141724	-0.533262823902697	-0.5383923849814912	-0.4077736647276573	-0.4633527234267583	-0.5456901110523532	-0.6498677948175569	-0.6427287149656267	-0.4793231094658911	-0.5919619249074564	-0.260444209413009	-0.14225277630883132	-0.09687995769434161	-0.13125330512956107	-0.13913273400317291	-0.10936012691697515	-0.02162876784769963	-0.4091485986250661	-0.29719725013220516	-0.35928080380750926	-0.18619777895293496	-0.10370174510840825	-0.15415124272871497	0.047435219460602855	-0.053939714436805924	0.05594923320994183	0.11813855103120043	-0.16382866208355368	-0.2088841882601798	-0.130830248545743
DasR	0.2771020624008461	0.2332099418297197	0.3225806451612903	0.3423585404547858	0.48381808566895823	1.0	0.6769962982548916	0.5482284505552618	0.5641459545214172	0.5197250132205182	0.5961924907456372	0.6701216287678478	0.6608143839238498	0.4919090428344791	0.5988365943945002	0.5879957694341619	0.3684294024325754	0.2787414066631412	0.3969857218402961	0.5465891062929666	0.4474881015335801	0.4069804336329984	0.43278688524590164	0.4428344791115812	0.537123215230037	0.0654151242728715	0.16456901110523534	0.4817028027498678	0.49915388683236384	0.2994711792702274	0.4234796404019038	0.3331570597567425	0.11940772078265469	0.11057641459545214	0.1121099947117927	0.18582760444209412	-0.6370174510840825	-0.5781597038603913	-0.6384981491274458	-0.6161290322580645	-0.6280274986779482	-0.7581702802749868	-0.7344262295081967	-0.7144368059227921	-0.7329455314648334	-0.7246959280803807	-0.6157059756742465	-0.633051295610788	-0.6156002115282919	-0.6773664727657324	-0.6709148598625067	-0.665732416710735	-0.34473823373876256	-0.5639873083024854	-0.6142252776308831	-0.5734531993654152	-0.5043892120571126	-0.5976731887890006	-0.6484399788471709	-0.6067160232681121	-0.6384452670544686	-0.4662083553675304	-0.5580645161290323	-0.4882601797990481	-0.47149656266525647	-0.5604970914859863	-0.46922263352723426	-0.48741406663141196	-0.11681649920676891	0.00962453728186145	0.058011634056055	-0.1165520888418826	-0.04547858276044421	-0.15108408249603383	-0.16594394500264412	-0.31956636700158647	-0.36335272342675834	-0.5030671602326812	-0.4699101004759387	-0.5074034902168165	-0.2427815970386039	-0.088841882601798	0.10317292437863564	-0.05103120042305658	-0.14431517715494446	-0.17265996827075622	0.0331041776837652	-0.07065044949762031
PhnR	0.06187202538339503	0.07165520888418826	0.3151242728714966	0.15193019566367003	0.46092014806980436	0.6769962982548916	1.0	0.4298783712321523	0.49243786356425173	0.4401374933897409	0.47995769434161817	0.5180327868852459	0.5205711263881544	0.4683765203595981	0.4727657324167107	0.44235854045478584	0.287625594923321	0.20698043363299842	0.2556848228450555	0.4115811739820201	0.31195134849286094	0.28244315177154944	0.34225277630883133	0.549497620306716	0.4896351136964569	0.040084611316763614	0.019196192490745636	0.45161290322580644	0.28931782125859334	0.45468006345848755	0.26441036488630354	0.4265468006345849	0.10745637228979377	0.2044420941300899	0.2886303543098889	0.24267583289264938	-0.5887890005288208	-0.5241142252776309	-0.528609201480698	-0.4603384452670545	-0.5230037017451085	-0.61216287678477	-0.5753569539925966	-0.5892120571126388	-0.6593336858804865	-0.650502379693284	-0.5496562665256478	-0.5563194077207827	-0.47228979375991537	-0.5692755156002115	-0.5453728186144897	-0.5501322051824431	-0.28514013749338973	-0.4501850872554204	-0.43934426229508194	-0.4986250661025912	-0.41322051824431516	-0.3331041776837652	-0.4878900052882073	-0.5837123215230037	-0.48804865150713905	-0.39444738233738763	-0.4557377049180328	-0.49508196721311476	-0.4737176097303014	-0.555367530407192	-0.33384452670544684	-0.36319407720782654	-0.2711792702273929	-0.24283447911158118	0.12670544685351665	0.12755156002115284	-0.02755156002115283	-0.2763617133791645	-0.1977260708619778	-0.18418826017979906	-0.24526705446853517	-0.3212585933368588	-0.2993654151242729	-0.40597567424643044	-0.25943945002644103	0.054680063458487575	0.24949762030671602	0.009518773135906928	-0.03659439450026441	-0.05637228979375992	-0.027445795875198308	-0.021311475409836064
FadP	0.5263881544156531	0.36065573770491804	0.5280803807509254	0.6242728714965626	0.5488630354309889	0.5482284505552618	0.4298783712321523	1.0	0.7538868323638287	0.6807509254362771	0.6854045478582761	0.7215230037017452	0.6236911686938128	0.6831306187202538	0.7038075092543628	0.6446853516657853	0.5563194077207827	0.584399788471708	0.6437863564251719	0.617239555790587	0.7016922263352724	0.6608672659968271	0.4589635113696457	0.40898995240613434	0.5651507139079852	0.4330512956107879	0.1846641988365944	0.2453728186144897	0.1894764674775251	0.2224748810153358	0.2796404019037546	0.24500264410364886	0.1527763088313062	0.274034902168165	0.10698043363299842	0.015282919090428344	-0.8242199894235854	-0.7753040719196193	-0.7686938127974616	-0.789846641988366	-0.8180856689582232	-0.8451084082496034	-0.811369645690111	-0.8483870967741935	-0.8311475409836065	-0.8444738233738762	-0.8673188789000529	-0.8047065044949762	-0.8440507667900582	-0.8300898995240613	-0.8525647805393971	-0.8500793231094659	-0.5691168693812797	-0.6916975145425701	-0.5662083553675304	-0.5974087784241142	-0.4453199365415124	-0.5034902168164992	-0.7721311475409836	-0.686409307244844	-0.7272871496562665	-0.5690639873083024	-0.5800634584875727	-0.49682707562136436	-0.6363828662083554	-0.5770491803278689	-0.7404547858276045	-0.6256478053939715	-0.07070333157059756	-0.18551031200423057	0.021152829190904283	-0.13595980962453727	0.029561078794288737	-0.0780539397144368	-0.19101004759386567	-0.39090428344791117	-0.4841353781068218	-0.5246959280803808	-0.3178212585933369	-0.2953463775780011	-0.2158646218931782	-0.023373876255949232	-0.036118455843469066	-0.27340031729243786	-0.2282390269698572	-0.27318878900052884	-0.4248016922263353	-0.3862506610259122
NnrR	0.44352194606028555	0.2081967213114754	0.34801692226335273	0.4907456372289794	0.45552617662612377	0.5641459545214172	0.49243786356425173	0.7538868323638287	1.0	0.7867794817556848	0.6948704389212057	0.7708619777895294	0.6209941829719725	0.650713907985193	0.6049709148598625	0.6493389740877843	0.6149127445795876	0.5733474352194606	0.6597567424643046	0.6625066102591222	0.6549973558963511	0.5731359069275516	0.48551031200423056	0.5921734531993654	0.7872025383395029	0.49069275515600214	0.21697514542570068	0.29238498149127445	0.29185616076150184	0.12527763088313063	0.11517715494447382	0.23046007403490218	0.04373347435219461	0.047435219460602855	0.06414595452141723	-0.09962982548915918	-0.7113167636171338	-0.7560549973558963	-0.8602855631940772	-0.8668429402432576	-0.7625066102591221	-0.811369645690111	-0.8335801163405605	-0.7522474881015336	-0.794923320994183	-0.7932310946589106	-0.8167107350608144	-0.7796932839767319	-0.8102591221575886	-0.8305129561078795	-0.8577472236911687	-0.8163934426229508	-0.598783712321523	-0.7464304600740349	-0.5274457958751984	-0.5289793759915389	-0.4808566895822316	-0.40317292437863567	-0.7303543098889477	-0.5848228450555262	-0.6263352723426758	-0.4942358540454786	-0.624537281861449	-0.4593865679534638	-0.5828662083553675	-0.4479111581173982	-0.5905869910100476	-0.5075092543627711	0.15187731359069276	-0.21766261237440507	0.1984135378106822	0.11602326811211	-0.028820729772607086	-0.09899524061343205	-0.05076679005817028	-0.5142781597038604	-0.5763088313061872	-0.38461131676361715	-0.40211528291909043	-0.2397144368059228	-0.26615547329455314	-0.16335272342675833	-0.07630883130618721	-0.3704918032786885	-0.2754098360655738	-0.3237440507667901	-0.37466948704389214	-0.14526705446853516
NtrC	0.3996827075621364	0.21464833421470123	0.31025912215758855	0.45256478053939714	0.327392913802221	0.5197250132205182	0.4401374933897409	0.6807509254362771	0.7867794817556848	1.0	0.7072448439978847	0.7392913802221047	0.6654151242728715	0.4435748281332628	0.5554732945531465	0.6402432575356954	0.7048122686409307	0.6802221047065045	0.5646747752511898	0.6322051824431518	0.655367530407192	0.5447382337387625	0.5395029085140137	0.5895822316234797	0.6246959280803808	0.36409307244843997	0.3285034373347435	0.22628239026969857	0.12305658381808567	0.12929666842940243	0.18291909042834478	0.26536224219989424	0.1849286092014807	-0.009254362771020624	0.04923320994182972	-0.21930195663670016	-0.6114225277630884	-0.6422527763088313	-0.7843469063987308	-0.8072448439978848	-0.6680063458487573	-0.7546271813855103	-0.7607086197778953	-0.7351136964569011	-0.6980433632998414	-0.7259122157588578	-0.7639873083024855	-0.7143310417768377	-0.7686938127974616	-0.7296668429402433	-0.7360655737704918	-0.7392384981491275	-0.6607615018508726	-0.7186673717609731	-0.5409307244843998	-0.5457429931253305	-0.32289793759915386	-0.4781597038603913	-0.6806980433632999	-0.6230037017451084	-0.5676890534108937	-0.4351665785298784	-0.6109994711792702	-0.4092543627710206	-0.4702802749867795	-0.3569011105235325	-0.5190375462718139	-0.4662083553675304	0.2792702273929138	-0.025859333685880486	0.09375991538868324	0.07736647276573241	-0.2088841882601798	-0.09090428344791116	-0.026705446853516657	-0.4309360126916975	-0.5191433104177684	-0.23664727657324167	-0.3903225806451613	-0.2668958223162348	-0.22067689053410894	-0.14436805922792173	-0.012956107879428873	-0.4294553146483342	-0.28339502908514014	-0.3127974616604971	-0.2621364357482813	-0.2101004759386568
