	NiaR	HutC	PhnF	CcpA	Rex	AgaR	GulR	Irr	SiaR	MetR	FUR	SahR_SamR	IscR	KdgR	NagC	BirA	AraR	XylR	RbkR	NsrR	Zur	NrtR	ArgR	Phr	MntR	ThiR	ModE	PhrR	CzrA	NadQ	NarP	PsrA	HypR	HexR	HisR	TyrR	CblR	VanR	LldR	NagR	ExuR_UxuR	NrdR	PdhR	NmlR	NnrR	NtrC	GntR	HrcA	LiuR	PurR	FruR	CueR	FadP	MerR	AcnR	NifA	BioQ	PaaR	RbsR	PhnR	FnrN_FixK	DasR	FadR	FixJ	GlcC	PdxR	GguR	TtrR	CadR-PbrR	HcpR	CsoR	ZntR	MetJ	NorR	LtbR	RutR	TrpR	NagQ	PhsR	LiuQ	PrpR	AmtR	NikR	FabR	QorR	SdaR	LexA	SoxR
NiaR	1.0	0.5376768397632341	0.5824272700558331	0.48455144620293017	0.4066370009655346	0.3680156164728601	0.4437471138911045	0.2802569161664078	0.3127282649762814	0.4602241719491205	0.5777885059401369	0.5700642290416019	0.5385584148440452	0.5620460937827967	0.5573023802527182	0.6279963057806137	0.6640989043281138	0.5831829058393854	0.6597959783384408	0.6178162125855338	0.6618949666260863	0.6474959069728391	0.6329499181394568	0.6376726417866588	0.572981822761429	0.5813357961462575	0.6971789597414046	0.6460056252886109	0.6884051886990471	0.4816758322488561	0.22005793207673902	0.2560765710927333	0.4171739221695143	0.30901305570714915	0.3961000797615549	0.4356450191007934	0.14869233029679693	-0.06437597078208304	0.16875865832668654	0.2686285210528525	0.27977414886024937	0.23464590067587424	0.22104445657193234	-0.5077452667814114	-0.5745770538600394	-0.5035053104403677	-0.4383946937576088	-0.485097183157718	-0.5036732295033793	-0.39255278955543427	-0.558729692288317	-0.5535661811007094	-0.6193484740355149	-0.6390579740565048	-0.5122371017169725	-0.5773267285168548	-0.5755425884723563	-0.5188489148230553	-0.6837874144662273	-0.2937114310902145	-0.2739599513034717	-0.3548129801435708	-0.33546030813148064	-0.46519877419084	-0.505877167205407	-0.2647873724864615	-0.17102556567734353	-0.04166491750976029	-0.2067713362159439	-0.23756349439570126	-0.20318206624407037	-0.35582049452164055	-0.21476848159187273	-0.22904160194786113	-0.35021619579362745	-0.42099408085302886	0.17539146131564587	0.09970194366315437	0.03771881952898703	0.047940892489819906	0.11815205071155703	-0.04756307459804374	0.09040342554888543	-0.16271357205826792	-0.09138995004407875	-0.1064606859493724	-0.08194450274967466	-0.09844255069056715
HutC	0.5376768397632341	1.0	0.7273624113177448	0.3505730238025272	0.3024852021325721	0.36031232945720165	0.4568028210402586	0.37792284119054614	0.4409764493514126	0.5052684606019898	0.5617312455396499	0.5548255740732967	0.5211997817052181	0.487133201796734	0.49762814323496074	0.49307333865077035	0.6639939549137316	0.5195205910751018	0.5760883254271442	0.5879476092523404	0.6054951513370556	0.5915578691070904	0.6071953318500483	0.5837706225599261	0.5531463834431803	0.5157843919230931	0.6476428361529742	0.5910960916838084	0.6521976407371647	0.41230426934217707	0.2259770790478989	0.028000503757189033	0.44922547332185886	0.29450904663951977	0.21063347466521137	0.37857352755971624	-0.013979261995718063	-0.027412787036648335	0.23517064774778557	0.31421854666050963	0.16573611519247722	0.4799336719701104	0.2280130976869149	-0.3997313294991814	-0.6014441039419	-0.6049704042651441	-0.4853700516351119	-0.4374081692624155	-0.5634104361697662	-0.5941186348180177	-0.5536711305150918	-0.4892741698501322	-0.5854708030729189	-0.4887914025439738	-0.6037320011754335	-0.5242852944880567	-0.6742789975231939	-0.5520968892993577	-0.6012342051131355	-0.35739473573737457	-0.32708534486377566	-0.4950253977582805	-0.3413584652197641	-0.3152260610385794	-0.43031358885017423	-0.3374333571218673	0.13855421686746988	0.17730154065740314	0.014818857310776206	-0.24942277822089753	-0.012447000545736955	-0.2603165274337769	-0.07766256664287813	-0.21932328617606314	-0.13624532975106	-0.23414214348683934	0.4412493178288065	0.0768649510935729	-0.01985642920112506	-0.1011292556987532	-0.009067629402627933	0.00615003568280089	0.21537718819528986	-0.20796775953990176	-0.19808152470509213	-0.2504302925989673	-0.2635909491625037	-0.26604676545904876
PhnF	0.5824272700558331	0.7273624113177448	1.0	0.2970068427018177	0.2751353847445531	0.3955333529238907	0.5181772385710087	0.3902439024390244	0.4276478737248646	0.5201502875613954	0.5726249947525293	0.6179631417656689	0.5420007556357835	0.4985936778472776	0.5238025271818983	0.5473531757692792	0.6139540741362663	0.5712396624826833	0.6058729692288317	0.6597120188069351	0.6173964149280047	0.6160740523067881	0.652953276520717	0.6299273750052474	0.5149867763737879	0.5240963855421686	0.7276142899122623	0.5530624239116746	0.7670123000713656	0.4822845388522732	0.18135258805255866	0.08379161244280257	0.4036564375970782	0.2769195247890517	0.21004575794467067	0.23403719407245707	0.08885017421602788	0.024873011208597456	0.2521934427605894	0.4699424877209185	0.13160656563536374	0.36157172242978886	0.20950002098988288	-0.3609630158263717	-0.6125267621006675	-0.6200831199361908	-0.5115444355820494	-0.5336048024852021	-0.601674992653541	-0.528924058603753	-0.5051845010704841	-0.6024726082028462	-0.5960916838084044	-0.5164140884093866	-0.539565929222115	-0.48014357079887493	-0.6725998068930775	-0.5698123504470846	-0.6085176944712648	-0.3848914823055287	-0.3533436883422191	-0.42980983166113934	-0.45993031358885017	-0.2842659837958104	-0.37322110742622056	-0.4528777129423618	0.15041350069266612	-0.010893749212879392	-0.08148272532639268	-0.2686914907014819	-0.1729356450191008	-0.2137819570966794	-0.08141975567776331	-0.15144200495361235	-0.130368162545653	-0.23924268502581755	0.2636119390453801	0.005079551656101759	-0.13807144956131145	-0.044666470761093154	0.10192687124805844	-0.05816296545065278	0.1643507829226313	-0.2602325679022711	-0.2874774358759078	-0.274064900717854	-0.15171487343100626	-0.2623525460727929
CcpA	0.48455144620293017	0.3505730238025272	0.2970068427018177	1.0	0.4640023508668822	0.4682632970908022	0.5183871373997733	0.3292892825658033	0.2909617564333991	0.6152554468746064	0.6503505310440367	0.627408589060073	0.6189706561437387	0.6738801897485412	0.6725998068930775	0.6773645103060325	0.5856807019016834	0.6299903446538768	0.693169892112002	0.637168884597624	0.6722219890013014	0.6713614038033667	0.6286679820326603	0.6596280592754292	0.691826539607909	0.6313756769237228	0.5798035346962764	0.5164140884093866	0.4848243146803241	0.5714075815456949	0.37882540615423366	0.3274841526384283	0.2863649720834558	0.2944040972251375	0.39400109147390955	0.4706351538558415	0.10102430628437094	0.013769363166953529	0.2547961882372696	0.38948826665547204	0.34091767767935854	0.19726291927291045	0.10287141597749884	-0.6317954745812518	-0.6159481130095295	-0.528693169892112	-0.36482515427563916	-0.4039922757231015	-0.5445615213467109	-0.4173838209982788	-0.607321271147307	-0.5299105830989463	-0.7523823517064775	-0.6279963057806137	-0.6496788547919903	-0.6336425842743797	-0.4701313966668066	-0.5554342806767139	-0.4749800596112674	-0.26189076864951094	-0.17612610721632174	-0.3531757692792074	-0.3374543470047437	-0.47038327526132406	-0.5442886528693169	-0.3299189790520969	-0.23586331388270854	-0.08091599848872844	-0.2054279837118509	-0.09264934301666597	-0.2037907728474875	-0.359682632970908	-0.06003106502665715	0.04155996809537803	-0.34668989547038326	-0.1543176189076865	0.15543008270013853	0.06622308047521094	0.020947903110700643	0.3077956425003148	0.0005667268376642458	-0.030078502161957937	-0.10879056294865874	-0.3632299231770287	-0.1392258931195164	-0.03704714327694052	0.02033919650728349	0.05001889089458881
Rex	0.4066370009655346	0.3024852021325721	0.2751353847445531	0.4640023508668822	1.0	0.3458712900382016	0.3681415557701188	0.31402963771462156	0.2788505940136854	0.43843667352336174	0.5379077284748751	0.5208009739305655	0.5287981193064942	0.5384324755467864	0.6101549053356282	0.6991310188489148	0.54202174551866	0.529154947315394	0.5934469585659712	0.5956508962679988	0.5875068217119348	0.6515889341337475	0.6703328995424206	0.6659250241383653	0.6401914277318332	0.6587254943117418	0.5320305612694681	0.47046723479282987	0.5654464548087822	0.659753998572688	0.3667982032660258	0.4247722597707905	0.2511019688510138	0.3979261995718064	0.509067629402628	0.3187943411275765	0.08668821627975316	-0.1061038579404727	0.3400361025985475	0.1945762142647244	0.03843247554678645	0.1538978212501574	0.18790143151001218	-0.28279669199445867	-0.4259896729776248	-0.3880819445027497	-0.29646110574702994	-0.28945048486629443	-0.3160026867050082	-0.3182486041727887	-0.5646698291423534	-0.602136770076823	-0.553964988875362	-0.5776415767600017	-0.49827882960413084	-0.4957180638932035	-0.4840476890138953	-0.3622224087989589	-0.4698165484236598	-0.5017841400444986	-0.46379245203811764	-0.6067965240753956	-0.4953822257671802	-0.633747533688762	-0.39748541203140086	-0.3867595818815331	-0.31169976071533523	-0.17501364342386969	-0.2951597330086898	-0.527118928676378	-0.35863313882708536	-0.3918391335376349	-0.25368372444481757	-0.26741110784601824	-0.4478611309348894	-0.30172956634901976	0.05127828386717602	0.05241173754250451	-0.047332185886402756	0.07516477058058016	-0.12297972377314134	0.003925108097896814	0.19333781117501364	-0.17732253054027958	-0.027223878090760253	0.04890642710213677	-0.07283489358129382	0.02098988287645355
AgaR	0.3680156164728601	0.36031232945720165	0.3955333529238907	0.4682632970908022	0.3458712900382016	1.0	0.8547919902606943	0.6823810923135049	0.7517526552201839	0.8699466856974938	0.829415221863062	0.8324587548801478	0.7912975945594224	0.8086772175811259	0.7901011712354645	0.5208639435791949	0.6540237605474162	0.6209646950170018	0.6919314890222913	0.7404391083497754	0.7289156626506024	0.6674992653540993	0.6572981822761429	0.6374837328407708	0.7222828596616431	0.7014189160824482	0.4412283279459301	0.44076655052264807	0.5409302716090845	0.6375467024894002	-0.024453213551068383	-0.0011754334410813989	0.1874396540867302	0.010243062843709332	-0.028336341883212292	0.0990512572939843	0.3886486713404139	0.27471558708702404	0.42034339448385877	0.5051635111876076	0.2805717644095546	0.1664287813274002	0.14506108055917047	-0.568678896771756	-0.7272574619033626	-0.7789135636623148	-0.7800470173376433	-0.7296083287855254	-0.7622266067755342	-0.7288317031190966	-0.503841148566391	-0.6776583686663028	-0.6528903068720876	-0.5712186725998069	-0.6205448973594727	-0.6074262205616893	-0.605285252508291	-0.4934091767767936	-0.5925443936022837	-0.41308089500860584	-0.24719785063599345	-0.18701985642920113	-0.24413332773603122	-0.47367868687292725	-0.4094286553881029	-0.4207841820242643	0.2743377691952479	0.10996599638974014	-0.2844548927416985	-0.11313546870408463	-0.4125981277024474	-0.445993031358885	-0.08207044204693338	-0.22102346668905587	0.04305024977960623	-0.009403467528651191	-0.27326728516854876	-0.3859829562151043	-0.1537299021871458	0.10792997775072415	0.07191133873472987	-0.05255866672263969	-0.11107846018219218	-0.708765375089207	-0.6268418622224088	-0.3736199152008732	-0.04130808950086059	-0.21886150875278115
GulR	0.4437471138911045	0.4568028210402586	0.5181772385710087	0.5183871373997733	0.3681415557701188	0.8547919902606943	1.0	0.7108643633768523	0.7491499097435036	0.8832752613240418	0.884534654296629	0.8721506233995214	0.8137357793543512	0.8295621510431972	0.8344947735191638	0.6272616598799379	0.7433567020696025	0.6880903404559002	0.7594769321187188	0.8011628395113555	0.8049829981948701	0.7615969102892406	0.7549641073002813	0.7262079677595399	0.7870366483355022	0.7456445993031359	0.5743251752655221	0.48994584610217873	0.6489651987741908	0.6516309138995005	0.03862138449267453	0.009487427060157004	0.2384030897107594	0.09602871415977499	0.09252340371940725	0.12398723815121111	0.38646572352126274	0.24467906469081901	0.3299189790520969	0.5718063893203476	0.24786952688803995	0.19037823768943368	0.14101003316401495	-0.5534192519205743	-0.8311993619075606	-0.8331934007808236	-0.7602325679022711	-0.7856723059485328	-0.7895764241635531	-0.7673481381973889	-0.5753536795264682	-0.7033919650728349	-0.7305528735149658	-0.6439905965324714	-0.6862012509970195	-0.6733554426766298	-0.675769279207422	-0.5174845724360858	-0.6644557323370136	-0.4854959909323706	-0.23892783678267077	-0.3266655472062466	-0.25872129633516644	-0.4535493891944083	-0.48421560807690694	-0.4255069056714664	0.24167751143948618	0.06746148356492171	-0.23493975903614459	-0.14323496074891903	-0.43174090088577305	-0.3422190504176987	-0.0937198270433651	-0.22375215146299485	-0.020234247092901222	-0.039293060744721046	-0.15948113009529408	-0.3460601989840897	-0.19102892405860375	0.11949540321565005	-0.040468494185802444	-0.1064606859493724	-0.06225599261156123	-0.6842911716552622	-0.5965954409974392	-0.377314134587129	-0.08943789093656858	-0.12488980311489861
Irr	0.2802569161664078	0.37792284119054614	0.3902439024390244	0.3292892825658033	0.31402963771462156	0.6823810923135049	0.7108643633768523	1.0	0.7370177574409135	0.7003064522899962	0.6635741572562025	0.6678351034801225	0.6637210864363376	0.6216363712690484	0.6294655975819655	0.45399017673481384	0.6134293270643549	0.5305612694681163	0.5713446118970656	0.6299903446538768	0.5968683094748332	0.543826875446035	0.5344443978002603	0.5293648461441585	0.5618781747197851	0.5372780319885815	0.464086310398388	0.3943579194828093	0.5303303807564754	0.6004785693295831	-0.05574912891986063	-0.03305906553041434	0.15700432391587255	0.1656521556609714	-0.031190965954409976	0.02724486797363671	0.36545485076193274	0.3823307165946014	0.40061290457999243	0.45909071827379205	0.06261282062046093	0.22939842995676085	0.19470215356198312	-0.46463204735317576	-0.6723689181814365	-0.6532051551152345	-0.6095671886150875	-0.5501448301918476	-0.6645187019856429	-0.6611813106082868	-0.3604172788715839	-0.5700012593929726	-0.5711347130683011	-0.5190588136518198	-0.5475840644809202	-0.5649846773855002	-0.5297636539188111	-0.5187439654086731	-0.5813148062633811	-0.412766046765459	-0.26270937408169265	-0.23955753326896437	-0.18867805717644096	-0.43875152176650856	-0.36016540027706645	-0.258238529029008	0.3697577767516057	0.028021493640065488	-0.011271567104655556	-0.2607573149741824	-0.3848914823055287	-0.3458083203895722	0.010243062843709332	0.0022669073506569833	0.04250451282481844	0.0986944292850846	-0.16898954703832753	-0.24434322656479576	-0.1848159187271735	-0.03811762730363964	-0.16311237983292054	-0.07657109273330255	-0.06511061668275892	-0.6306620209059234	-0.5759413962470089	-0.4069938289744343	-0.21758112589731748	-0.20223752151462995
SiaR	0.3127282649762814	0.4409764493514126	0.4276478737248646	0.2909617564333991	0.2788505940136854	0.7517526552201839	0.7491499097435036	0.7370177574409135	1.0	0.7618697787666345	0.7483942739599513	0.7163427228076067	0.6979975651735864	0.6975357877503043	0.6875865832668654	0.46799042861340834	0.6490491583056966	0.5825322194702154	0.5849460560010075	0.6457117669283405	0.6647705805801604	0.6035221023466689	0.5955459468536165	0.5981277024474203	0.6399185592544394	0.5961126736912808	0.4409134797027833	0.48587380882414677	0.5040510473951555	0.56960245161832	-0.006989630997859032	0.0074304185382645565	0.29939968934973343	0.10463456613912095	-0.028252382351706476	0.03874732378993325	0.3298350195205911	0.3169262415515721	0.41081398765794885	0.4130599051257294	0.2172662776541707	0.32383191301792535	0.19749380798455143	-0.4017253683724445	-0.722555728139037	-0.7289996221821082	-0.6987112211913857	-0.7394735737374586	-0.712606523655598	-0.7083875571974309	-0.41089794718945466	-0.540447504302926	-0.6134503169472314	-0.4712858402250115	-0.5884513664413753	-0.5829520171277445	-0.6077620586877125	-0.4681163679106671	-0.6149615885143361	-0.4066370009655346	-0.2841820242643046	-0.2565803282817682	-0.15297426640359346	-0.33629990344653876	-0.43868855211787916	-0.31430250619201544	0.2990848411065866	0.1442844548927417	-0.056924562360942024	-0.17312455396498888	-0.313588850174216	-0.27354015364594264	-0.003316401494479661	-0.044393602283699256	0.024390243902439025	0.009088619285504387	-0.1120649846773855	-0.3693169892112002	-0.2483942739599513	0.03977582805087947	-0.05990512572939843	-0.1491750976029554	-0.07413626631963394	-0.6316695352839932	-0.604823475085009	-0.3936232735821334	-0.19054615675244532	-0.19201544855379707
MetR	0.4602241719491205	0.5052684606019898	0.5201502875613954	0.6152554468746064	0.43843667352336174	0.8699466856974938	0.8832752613240418	0.7003064522899962	0.7618697787666345	1.0	0.956173124553965	0.935393140506276	0.918643213970866	0.9397170563788254	0.9255698753200957	0.7200159523109861	0.781936106796524	0.7829226312917174	0.8562612820620461	0.8716468662104866	0.8995844003190462	0.8518743965408673	0.8238319130179254	0.8214600562528861	0.893140506275975	0.8547080307291886	0.5914109399269553	0.5838545820914319	0.6848998782586793	0.7137819570966794	0.10562109063431425	0.11086856135342765	0.23873892783678266	0.16017379623021705	0.14722303849544519	0.2264388564711809	0.41706897275513205	0.18460601989840897	0.4410604088829184	0.5382225767180219	0.3123924268502582	0.28817010201083076	0.2134671088535326	-0.6302632131312708	-0.8937492128793921	-0.8623693379790941	-0.8132320221653163	-0.7685655514042231	-0.858339280466815	-0.8355442676629864	-0.665631165778095	-0.7648923219008438	-0.8141765668947567	-0.7620586877125226	-0.7814533394903657	-0.734540951261492	-0.6795054783594308	-0.6230636833046471	-0.7149783804206372	-0.5204231560387893	-0.2994206792326099	-0.4008018135258805	-0.37019856429201126	-0.49937030351370637	-0.5663700096553461	-0.49426976197472816	0.17665085428823307	0.008500902564963688	-0.2621006674782755	-0.16779312371436966	-0.38948826665547204	-0.4247722597707905	-0.08796859913521683	-0.23758448427857773	-0.07168045002308887	-0.09063431426052643	-0.07476596280592754	-0.32590991142269427	-0.20015952310986104	0.19980269510096133	-0.0078082364300407206	-0.06584526258343479	-0.0801183829394232	-0.7093530918097477	-0.5258805255866672	-0.35756265480038624	-0.08845136644137526	-0.15805381805969523
