	MetJ	HypR	VanR	LiuQ	NarP	PhsR	ZntR	NmlR	PrpR	LtbR	GntR	PdxR	PhnR	TtrR	FnrN_FixK	HcpR	CsoR	FadR	FadP	AcnR	FixJ	GguR	CblR	PaaR	HrcA	LiuR	BioQ	FruR	CueR	PurR	RbsR	DasR	NtrC	NnrR	MerR	NifA	NadQ	RbkR	XylR	ThiR	BirA	Phr	MetR	FUR	SahR_SamR	NsrR	ArgR	CzrA	KdgR	MntR	NagC	NrtR	HutC	IscR	PhnF	AraR	Zur	ModE	AgaR	NagR	LldR	GulR	NikR	SiaR	Irr	TyrR	NorR	SoxR	HexR	PhrR	LexA	PsrA	HisR	NrdR	PdhR	CcpA	QorR	ExuR_UxuR	Rex	FabR	SdaR	NagQ	AmtR	GlcC	RutR	CadR-PbrR	NiaR	TrpR
MetJ	1.0	0.11672406839999815	0.0350529131186524	-0.026326768058368987	-0.06939892736787945	0.14235089069257548	0.0020789779864738957	-0.03640876832722233	0.1646286347349245	0.11433451845121934	0.012944361264723196	-0.04084021304309533	-0.053005826700845034	0.08158771803774145	-0.05778492659840264	0.04927432775076368	-0.08258664725978186	0.0347655181684598	0.10985208430869926	0.07522794591412453	0.16451043197315174	0.22127325233740167	0.011118012710273443	-0.02267407094946948	0.10242153422549378	0.22868757851212854	0.08842261890966065	0.1246065702193936	0.1387167351933658	0.13079019705095699	-0.05401402672773037	0.022275426341137806	0.04190172019783898	0.17707005483681065	-0.06868739309603163	-0.02247011324288118	-0.08997316101997395	-0.09436056941283358	0.07847968071348115	-0.14040402167514174	-0.17421696464578573	-0.11810078291946915	-0.2278462529724518	-0.2457898957497995	-0.21142765759209387	-0.20592079951420983	-0.18874431583777945	-0.14246909345434824	-0.13761582711803125	-0.16800088999726512	-0.18873504503293453	-0.2080739439394431	-0.2005576389114221	-0.07486870222638378	-0.1261107583054823	-0.16443626553439236	-0.1372936666496702	-0.06323847754842837	-0.08401435120589994	0.004273841033509324	-0.16038492381716118	-0.17726010633613157	-0.14857391844472978	-0.1513505244957841	-0.11471925685228362	-0.1597730506973963	-0.033136174216964645	-0.136809267096523	-0.05175426804678048	0.0083020057386282	-0.09938534563878162	-0.11904640501365125	0.041468310071338846	-0.015959690540534276	-0.16682349778195993	0.07486638452517255	0.02079209756595019	-0.12847944894336003	-0.14863417867622178	0.005896231881370781	-0.03472611724786887	-0.12629617440238075	-0.16654305593540103	-0.11350246371638754	-0.04374429266076735	-0.038925791842618816	-0.0017591352193240656	0.09744542972498157
HypR	0.11672406839999815	1.0	0.28462066184275786	0.04290296712109062	0.1837705290384785	0.16891174657327876	0.070409445095976	0.12511182908344187	0.0024196800645248017	0.16326119102029843	-0.016673542513593317	-0.01633747583796487	-0.04428895244540655	0.14052222443691448	0.011310381910805587	0.16200036156138894	0.13626924271430624	0.14233466678409687	-0.11406334740950536	0.12854434457727448	0.09224682590819122	0.1296267110429192	0.21901581135766302	0.1736027738248096	0.23619461273530462	0.09452976160125341	-0.02200657300063505	0.09286333443037857	0.1249542254010782	0.1859190380612893	0.05341605981523286	-0.005896231881370781	0.03875659965419898	0.02899907755491793	0.07103290672179706	0.14504869490244796	-0.07844723289652392	-0.10225929514070764	-0.10946734590763497	-0.04489155476032652	-0.1267249491264584	-0.009766792904125972	-0.1888231176789613	-0.17775609439533493	-0.12508401666890712	-0.09605944440066565	-0.1491950623693396	-0.02004579777593392	-0.2552090334722409	-0.08076493410775457	-0.19500442680931346	-0.11541688491686405	0.007912631935141448	-0.221115648655038	-0.13164774649911232	-0.24352318396521594	-0.16753966745623022	0.015711696510932596	0.06601508359948269	-0.033636797678590465	-0.17191085194061123	-0.0638387621621371	-0.17013781051401977	-0.08412096546161656	0.0370345476542546	-0.01135441823381897	0.09401059652993775	-0.026866792440585728	-0.012346394352225688	-0.03206076085495362	-0.19497429669356744	0.02034478123218267	-0.06023241907746221	0.17545925249500535	-0.024509690308764154	0.07996764489109122	0.05713597025925806	-0.054934154108588935	0.11321738646740617	0.0212695440154637	0.1697159888935758	-0.034626456095785955	-0.17474076511952386	-0.08109868308217177	0.0681937227380395	-0.041011722932726404	0.040504146367466895	0.006236933959421687
VanR	0.0350529131186524	0.28462066184275786	1.0	0.14190820976123042	0.2281939081541364	0.1648858995693711	0.1502310748107597	0.19820748988323422	0.15643092555080168	-0.040216751417274293	-0.019285591778650264	-0.14288627967236975	0.0619173878580269	0.08533775859751264	0.0005469774858504341	0.07306089528162388	-0.03897909897047712	-0.028306084892759965	-0.03471684644302395	-0.05925666686753411	-0.020395770658829745	0.08442458432028777	0.209670840073981	0.04564944305639894	0.07020548738938771	0.17474540052194631	0.09620545957697317	0.050750703422317606	0.13471406520157048	0.24356722028822933	0.06390134009484033	0.07954350556943601	0.051654606894697565	0.02296610130208454	0.08913647088271968	0.14267536886214777	-0.030086079422985107	0.012798346088415666	-0.11717833783739935	-3.47655181684598e-05	-0.0746577914161618	0.046592747449369816	-0.22016770885964465	-0.25397601642786616	-0.15959690540534277	-0.154986997696205	-0.09657629177077008	-0.09907013827405427	-0.17349384186788175	-0.08230157001080049	-0.08484640594073174	-0.11801502797465362	-0.06250376626446826	-0.2869314099503548	-0.24639018036350827	-0.1282592673282931	-0.19901868530716493	-0.205841997673028	-0.13242185870366335	-0.12176738623563604	-0.11194496850244054	-0.1272000778747607	-0.16076039141338055	-0.17411962119491403	-0.0600354144745076	-0.10381910805586587	0.020852357797442184	0.02978246056431389	0.1017192707584909	0.1149208968576607	-0.10352012459961711	0.04310460712646769	0.02779619062628922	0.06867116918755302	0.07066670993042261	-0.07379792426679523	-0.04595769731749262	0.045948426512647696	0.17567016330522733	-0.08211615391390203	0.08417659029068608	-0.09653920855139039	-0.1726594694318387	-0.07575638179028513	0.027098562561708794	-0.03645048694902448	0.007075941797887184	-0.13017832393119208
LiuQ	-0.026326768058368987	0.04290296712109062	0.14190820976123042	1.0	0.2929481622947096	0.2299020539468134	0.17395506440891667	0.17066392868896912	-0.003047777092768309	-0.06487245690234597	-0.12541313024090187	-0.03474234115634749	0.08496924410492697	0.056489331621324704	-0.041268987767173006	-0.054148453397981744	-0.01835387589173554	0.03273752960863297	-0.16549081958550232	-0.00905294093106693	-0.0507877866416973	0.11623039804200602	0.1431922162322522	0.053731267179960226	0.1561203535884968	-0.003026917781867233	-0.05837825810847769	0.05652409713949316	0.10585173201811515	0.16528917958012526	0.23903379671906216	0.1404411048945214	0.1230792051211926	0.12033041148467304	0.06679614890766741	0.16477928531365452	0.10480644877185012	-0.0028345485813350887	-0.1859792982927813	-0.041683856283983294	0.01813601197787986	0.014453184753234352	-0.16734266285327562	-0.19711353491153336	-0.09921847115157302	-0.16147656108765082	-0.07676921721959291	-0.16798003068636402	-0.17524834168478337	-0.11554435848348174	-0.1143762370730215	-0.13571762982603336	-0.10394194622006109	-0.14005173109103466	-0.14240883322285625	-0.16949580727850888	-0.10220135261042687	-0.18309376028479912	-0.16398894920062485	-0.19679600984559475	-0.01991137110568254	-0.06493735253626043	-0.1551005650555553	-0.039368472773963874	0.03709249018453537	0.013356912080322253	0.022405217608966722	0.05424811455006466	0.10668378675294696	0.1272302079905067	0.036503794076882784	0.06362321594949266	-0.115124854564249	-0.07654440020210354	-0.043199632876128144	-0.019005149932091354	-0.029726835735244355	0.05835276339515415	0.23501258511757697	-0.0004913526567808985	-0.026644293124307588	-0.07331120701243679	-0.20256245045913662	-0.10197190019051504	-0.08939141801595506	-0.06561180358872856	-0.061286973128572154	-0.015920289619943354
NarP	-0.06939892736787945	0.1837705290384785	0.2281939081541364	0.2929481622947096	1.0	0.18879066986200407	0.13020381864451563	0.13841079863348338	0.1806254084948385	-0.0011009080753345603	-0.13093389452605328	-0.09451585539398603	-0.05877922041802059	0.0798077235075163	0.0074375031868391655	-0.029337461931757604	0.25472231621788244	-0.10994942775957095	-0.10380288414738725	0.05561555826469075	0.01380886381651223	0.016335158136753642	0.04415220807394394	0.12808543973745082	0.11776008084141824	-0.06817981653077212	0.06713685098571832	-0.018149918185147242	0.1920145922468259	0.10495478164936889	0.14032058443153742	0.13841079863348338	0.17199892458663799	0.06320834743268237	0.11229494138533637	0.18686002475304894	0.05465602996324126	-0.004948292085977444	-0.1274480719043624	0.03359276135557709	0.03957706588297463	0.10704534814189894	-0.24501578354524847	-0.1672290954939253	-0.1396299094705907	-0.07516768568263253	-0.04748274471448239	-0.12695440154637025	-0.10535110855648933	-0.05111458251248082	-0.08208834149936726	-0.034804919089050715	-0.04189013169178282	-0.12450227366488821	-0.2462719776017355	-0.11689326058841798	-0.11689557828962921	-0.13336052769421178	-0.237856404503757	-0.23983340363693675	-0.179485099498913	-0.03985750772953354	-0.2606486782149992	0.02236349898716457	-0.010005516128882728	0.11290681450510126	0.03340966295988986	-0.05263962990947059	0.058797762027710435	0.02937918055355976	-0.0408378953418841	0.13246125962425429	-0.10867237439218286	-0.0911482355340679	-0.06595714106920192	0.03194719349560332	-0.0315902675090738	0.08950962077772782	0.26128604604808764	-0.025014949172812436	0.10045148819594774	-0.017162577469162985	-0.20813883957335755	-0.15789339501508823	-0.13605137880045057	-0.11238069633015191	-0.0655399548511804	-0.0912247196740385
PhsR	0.14235089069257548	0.16891174657327876	0.1648858995693711	0.2299020539468134	0.18879066986200407	1.0	0.26844542508957914	0.07477831187914578	0.023408782233429595	-0.026250283918398377	-0.08469575536200175	-0.14235784379620917	-0.03586642624379435	0.15978463920345246	0.0881097292461445	0.10313306849734159	0.08868683684774094	0.12224715038636079	-0.11713198381317474	0.035358849678534844	-0.01494221970880402	0.15191372589011315	0.07679471193291645	0.12265274809832616	0.168823673927252	0.26031724694179326	0.02860506834900872	0.1290681450510126	0.18959722988351232	0.23693627712289841	0.18168923335079334	0.17535959134292245	0.11760711256147703	0.1642578025411276	0.019007467633302584	0.1741173034937028	-0.08881431041435862	-0.050634818361756075	-0.1293485868975715	-0.047790998975576066	-0.0960409027909758	0.06085819840449449	-0.26995656627930154	-0.308537020641447	-0.29774348610074586	-0.20596947123964568	-0.13445680036712387	-0.22464087219731982	-0.22755654032104797	-0.08618835494203429	-0.1460128586063199	-0.10867237439218286	-0.09694480626335575	-0.12197134394222435	-0.2293434879549068	-0.2015102141092379	-0.19467067783489625	-0.3395548159513468	-0.11204231195331223	-0.15767553110123256	-0.18037277906281435	-0.16065609485887516	-0.12214517153306664	-0.16295525446041598	-0.08778061567414976	-0.01728773333456944	0.06576013646624732	0.08340943118976873	0.19377604516736122	0.010160802110035182	0.08807032832555359	0.07298904654407573	-0.1068298019292545	0.0007880184118184221	-0.030646963116102925	-0.06693521098034126	-0.10574743546360978	0.0963282977411684	0.1864706509495622	0.13289003434833194	0.12215212463670033	-0.047155948843698864	-0.2531532324978793	-0.21640376209260606	-0.09744542972498157	-0.15822250858708298	-0.09768415294973833	-0.10969216292512435
ZntR	0.0020789779864738957	0.070409445095976	0.1502310748107597	0.17395506440891667	0.13020381864451563	0.26844542508957914	1.0	0.06790169238542444	0.12278253936615507	-0.014049904742480218	0.09807352675322509	-0.05113775952459313	0.018632000037083218	0.12433076377525715	0.02939076905961591	0.026989630604780955	-0.04784430610343437	0.02654926737464713	0.023188600618362684	0.1218624119852965	-0.01564911857822937	0.0025355651250863346	0.12405032192869823	0.06818908733561704	0.019121034992652886	0.0905595394264153	0.01646958480700502	-0.04707019389888333	0.05122351446940866	0.0308717801335923	0.05257473427555613	0.21943531527689578	0.08793358395409097	0.11227176437322406	-0.014615423838020497	0.21169187553017416	0.011553740537984806	-0.04870649095401217	-0.14595028067361668	-0.05951856710440317	-0.07607854225864619	-0.020662306298121273	-0.20950396558677242	-0.1513806546115301	-0.10923325808530067	-0.12399933250205117	-0.07186959685905132	-0.1788060130440224	-0.11652706379704354	-0.07827108760447038	-0.17848153487445012	-0.1273878116728704	-0.013250297824605644	-0.10888328520240485	-0.11382694188595983	-0.06598958888615915	-0.07366581529775508	-0.10334629700877482	-0.04487764855305913	-0.02146423091720708	-0.058934506399173046	-0.03910889023830604	-0.09879201412870658	-0.09155151554482202	0.01792510116765787	0.024899064112250905	0.008672837932425103	-0.10628745984582652	0.027995512930455057	-0.03558598439723545	-0.0675888027219083	0.08153672861109437	-0.08436200638758454	-0.1778742971571077	0.05494342491343386	-0.055810245166434125	-0.10580769569510177	0.053638559131511	0.07387672610797706	-0.04912599487324492	0.0747110985440201	0.06071450092939819	-0.13015514691907978	0.04262484297574294	-0.036473663961136785	-0.18765731396971227	0.01377409829834377	-0.16618149454644904
NmlR	-0.03640876832722233	0.12511182908344187	0.19820748988323422	0.17066392868896912	0.13841079863348338	0.07477831187914578	0.06790169238542444	1.0	0.19192420189958792	-0.049756409602699656	-0.15877180377414465	-0.17749187645725464	0.12468537206057544	-0.052655853817949204	0.011537516629506191	0.017753591278026802	-0.05298496738994396	0.08051230467573042	-0.039801882900464006	0.09163495278842633	0.004964515994456058	0.04900315670904969	0.07305857758041265	0.057859093037162024	0.22270327398473097	0.1778302608340943	0.1525163282050331	0.1464949404582559	0.20851430716957692	0.14613106136809267	0.11299488715112803	0.03624189384001372	0.06812882710412504	0.07871376853581544	0.02860275064779749	0.06466618149454645	0.12055059309973995	-0.13713142756488406	-0.15990747736764768	-0.19421640839749502	-0.12027246895439228	-0.11272603381062526	-0.2203438541516982	-0.30567002424315465	-0.2387185893543348	-0.2713124214878715	-0.2258113113089913	-0.24835095558820938	-0.20273396034876767	-0.15885524101774895	-0.20158206284678604	-0.23111652938149826	-0.10096601786484094	-0.21430160709401988	-0.27014430007741125	-0.1739202988907482	-0.15979391000829737	-0.28783299572152354	-0.23872090705554602	-0.14151883595774367	-0.09685441591611776	-0.14962383709341726	-0.20539236363804925	-0.14196383459029996	-0.10495941705179135	-0.05968775929282301	0.03350932411197278	-0.051100676305213436	-0.05775479648265664	0.04926737464712999	-0.013329099665787485	-0.037025276849409684	-0.07759663655200226	-0.12265043039711493	-0.04500512211967682	-0.10358270253232034	-0.10989380293050141	-0.041359378114411004	0.14287700886752483	0.05917091192271857	-0.030141704252054643	0.060640334490638804	-0.03476783586967103	-0.21122833528792803	-0.0807371216932198	-0.10650764146089342	-0.07202720054141501	-0.1816706917411035
PrpR	0.1646286347349245	0.0024196800645248017	0.15643092555080168	-0.003047777092768309	0.1806254084948385	0.023408782233429595	0.12278253936615507	0.19192420189958792	1.0	-0.07592789167991619	-0.056310868628059944	-0.18169618645442703	0.18349472259434202	0.11335181313765755	-0.07878561727336358	0.05129304550574558	0.04874589187460309	-0.0958369450843875	0.04409890094608564	-0.10340192183784436	-0.05108677009794605	0.0951555409282857	-0.021176835967014477	-0.003912279644557343	-0.14795740992254242	0.018307521867510928	0.2125957790025541	-0.0026213200699018685	0.042177526641975424	-0.027207494518636636	0.029339779632968837	0.04237916664735249	-0.01043660855417163	0.04725097459335932	-0.026628069215828973	0.002619002368690638	-0.01366516634141593	0.09249945534021536	0.02346672476371036	0.01628416871010657	-0.01192225503057048	0.009887313367109966	-0.1928837302010374	-0.15375166295061907	-0.14221878172353533	-0.17197342987331446	-0.10717050400730539	-0.12424269112923038	-0.0799583740862463	-0.01640237147187933	-0.065857479917119	-0.069002600460759	-0.1719247581478786	-0.23948111305282968	-0.21658454278708206	-0.08313594244684352	-0.20175589043762834	-0.19565338314845804	-0.20095396581854252	-0.07927233452772202	-0.1585794345736125	-0.16073721440126826	-0.1566418363610237	-0.09576046094441688	0.021999619897001357	-0.14565361491857914	-0.0933639578920044	-0.1107328107689669	-0.01852306808015538	0.12815497077378774	-0.09786029824179186	0.09180878037926862	-0.05169400781528848	-0.0013280427940351642	-0.0266906471485322	0.06844635217006365	-0.06630247854967529	-0.046298399395543526	0.06899564735712531	-0.024016019950772027	0.1485994131580533	-0.006144225910972461	-0.20767066392868896	-0.13850118898072136	-0.18490156722955903	0.01642786618520287	-0.04373733955713365	-0.24483036744835002
LtbR	0.11433451845121934	0.16326119102029843	-0.040216751417274293	-0.06487245690234597	-0.0011009080753345603	-0.026250283918398377	-0.014049904742480218	-0.049756409602699656	-0.07592789167991619	1.0	0.3140948681459781	0.223899207809726	-0.004535741270378388	0.04198515744144328	0.1053557439589118	-0.08572945010221063	0.12043934344160089	0.12955022690294857	0.09761462191340141	0.23751338472449485	0.17862986775196887	-0.07697317492618122	0.10049320681774988	0.08707835220714687	0.240579703426953	0.26337893024182896	0.059258984568745336	0.13009952209001024	0.15424069790618872	0.07923756900955356	0.07968256764210985	0.010552493614733163	0.00958137680722752	0.15459530619150702	0.1679313589609282	0.19347010860747876	-0.16399126690183607	-0.1435931785417951	-0.24003504364231382	-0.20510728638906786	-0.23181879284850115	-0.19551663877699543	-0.09995086473432191	-0.10772675229800074	-0.14079803088105095	-0.05693433025388099	-0.2362154720462057	-0.19480742220635885	-0.2904821282059602	-0.1934214368820429	-0.24294839406483074	-0.2398913461672175	0.054176265812516514	-0.06007481539509853	-0.04241624986673218	-0.12348943823558042	-0.10603946581622484	0.12877611469839753	0.08079274652228934	-0.11288131979177772	-0.06340535203563698	-0.0661750049830576	-0.24620708196782104	-0.10409259679879108	0.02730020256708586	-0.04916076039141338	-0.11497883938794147	-0.10911969072595037	-0.08300615117901461	-0.05608141620814811	-0.2606069595931971	-0.23817856497211806	0.013118188855565496	-0.08006962374438537	-0.21493433952468582	-0.07568221535152574	-0.05785677533595079	-0.022583680602231482	-0.04748969781811608	-0.04567493776972248	-0.019294862583495186	-0.010633613157126236	0.008295052634994507	0.07025415911482355	0.23473214327101807	0.12076150390996195	0.018692260268575216	0.15090784356443904
