	FadP	CblR	ZntR	MerR	NifA	NnrR	NtrC	CsoR	RbsR	LiuQ	NarP	PhnR	PaaR	SdaR	FnrN_FixK	HcpR	FixJ	MetJ	BioQ	DasR	PrpR	TtrR	GguR	AcnR	CueR	VanR	HrcA	HypR	LiuR	PhsR	NmlR	FruR	PurR	Phr	ThiR	MetR	KdgR	SahR_SamR	FUR	NagC	ArgR	MntR	NsrR	NrtR	Zur	CzrA	PhnF	BirA	IscR	NikR	AraR	GulR	NagQ	Irr	NorR	FabR	GntR	FadR	LtbR	SiaR	AmtR	SoxR	NagR	AgaR	XylR	ModE	RbkR	PsrA	LldR	HutC	NadQ	TyrR	PhrR	Rex	HexR	PdhR	LexA	ExuR_UxuR	CadR-PbrR	PdxR	CcpA	QorR	GlcC	NiaR	HisR	NrdR	RutR	TrpR
FadP	1.0	0.01041098190672096	0.08165064438940431	-0.15610175895218506	-0.2480794257168045	-0.16166407791444523	0.10196885101381134	-0.05872969228831703	-0.04978800218294782	-0.20259434952352967	-0.24018722975525797	0.06834305864573276	-0.1446832626673943	-0.13897401452499894	-0.029448805675664328	0.03081314806263381	0.1582427270055833	0.14054825574073296	0.17887578187313716	0.1945342344989715	0.046996347760379496	-0.01746358255320935	-0.16548423659795977	-0.09565089626799883	-0.007052600646488392	-0.06597120188069351	-0.12067083665673145	-0.2897443432265648	-0.04525418748163385	-0.15454850761932748	0.06544645480878217	0.03349985307081987	-0.050879476092523405	-0.0038831283321439066	-0.20729608328785526	0.01200621300533143	-0.0021619579362747157	-0.04370093614877629	-0.04370093614877629	-0.11651483984719366	-0.11340833718147852	-0.20118802737080727	-0.20192267327148314	-0.2840350950841694	-0.13332773603123294	-0.14113597246127366	-0.1132823978842198	-0.21256454388984508	-0.05127828386717602	0.1351538558414844	0.1860333319340078	-0.0212837412367239	-0.11706057680198144	-0.20290919776667646	-0.08169262415515721	-0.26890138953024645	-0.05484656395617313	0.02164056924562361	-0.28953444439780024	-0.08912304269342176	0.06129045799924437	0.0490743461651484	-0.12705176105117333	-0.07401032702237521	0.09080223332353805	-0.16894756727257462	-0.3156038789303556	-0.0843163595147139	-0.22106544645480877	-0.2304059443348306	-0.29333361319843837	-0.15589186012342052	-0.18995844003190462	-0.18233911254775198	-0.29690189328743544	-0.13548969396750765	-0.004428865286931699	-0.007220519709500021	-0.027013979261995717	-0.10977708744385206	-0.012614919608748583	-0.1286050123840309	0.06103857940472692	0.01135552663616137	0.029532765207170145	-0.13485999748121405	-0.03484320557491289	-0.023676587884639604
CblR	0.01041098190672096	1.0	0.19203643843667353	0.23202216531631753	0.2032450358926997	0.25601360144410396	0.07997145375928802	0.04575794467066874	0.1752865119012636	0.2072331136392259	0.07388438772511649	0.057680198144494356	0.19090298476134504	0.028630200243482642	-0.0484866294446077	-0.02726585785651316	0.04544309642752194	0.1471180890810629	-0.01649804794089249	0.028777129423617816	0.09338398891734184	0.07266697451828219	0.0245371730825742	0.16158011838293942	-0.013706393518324167	0.07285588346417027	0.11359724612736662	0.12306368330464716	0.12952856723059486	0.191595650896268	0.16296545065278537	0.08217539146131565	0.3042483522941942	0.05176105117333445	-0.134440199823685	-0.09745602619537383	-0.24207631921413877	-0.1203769782964611	-0.172389908064313	-0.22293354603081314	-0.19715796985852818	-0.1372738340120062	-0.1328869484908274	-0.15927123126652953	-0.21594391503295413	-0.1112043994794509	-0.1747407749464758	-0.05257965660551614	-0.06368330464716007	-0.08782166995508164	-0.26107216321732923	-0.18208723395323453	-0.07621426472440283	-0.03855841484404517	0.18962260190588137	0.05327232274043911	0.0714915410772008	-0.028189412703077118	0.07864909113807145	-0.1464044330632635	0.00023088871164098903	-0.097602955375509	0.015007766256664288	-0.056336845640401326	0.0685949372402502	-0.08591159061332437	-0.12967549641073003	0.14560681751395826	-0.09986986272616599	-0.22054069938289744	0.046387641156962346	0.012971747617648294	-0.05457369547877923	-0.031841652323580036	0.10979807732672851	0.02275303303807565	-0.13062004114017045	-0.058519793459552494	-0.011607405230678812	-0.06706267579026909	-0.05694555224381848	-0.011397506401914278	0.01821921833676168	0.08954284035095084	0.08347676419965576	0.06727257461903363	-0.04831871038159607	-0.05551824020821964
ZntR	0.08165064438940431	0.19203643843667353	1.0	0.1708996263800848	0.3202006632802989	0.28036186558079007	0.22983921749716638	-0.04191679610427774	0.11168716678560933	0.18301078879979849	0.14571176692834054	0.05642080517190714	0.12237101716972419	0.17205406993828976	-0.015049746022417194	0.12400822803408756	0.004449855169808153	0.1061038579404727	0.149343016665967	0.24413332773603122	0.2413416733134629	0.019352672012090174	0.004260946223920071	0.11823601024306285	0.14061122538936233	0.21159900927752823	0.08494605600100752	0.1217833004491835	0.26969900507955163	0.3192141387851056	0.15062339952143067	-0.07881701020108307	0.08419042021745518	-0.025796566055161414	-0.15601779942067923	-0.30191847529490784	-0.11135132865958608	-0.17621006674782755	-0.230007136560178	-0.22790814827253264	-0.1176692834053986	-0.1426052642626254	-0.1833676168086982	-0.19545778934553545	-0.22257671802191345	-0.1703119096595441	-0.11932748415263843	-0.026657151253096006	-0.19787162587632762	-0.0712606523655598	-0.06101758952185047	-0.13246715083329835	0.04030057512279082	-0.07705386003946098	-0.051425213047311194	0.048528609210360604	0.27267956844800806	-0.061836194954032156	-0.08832542714411654	-0.06951849208681415	-0.22675370471432768	-0.3124344066160111	0.037571890348851854	-0.0986944292850846	-0.07340162041895806	-0.10706939255278955	-0.021325721002476806	0.1534570337097519	-0.19392552789555434	-0.0033793711431090215	-0.08853532597288107	0.055329331262331555	-0.09586079509676336	0.12073380630536082	-0.09919818647411947	0.0189328743545611	-0.10713236220141892	-0.026447252424331474	-0.16871667856093364	-0.04926325511103648	-0.0389992023844507	-0.10652365559800177	-0.020591075101800933	-0.05719743083833592	-0.07638218378741446	-0.18185634524159355	-0.1502036018639016	-0.35170647747785566
MerR	-0.15610175895218506	0.23202216531631753	0.1708996263800848	1.0	0.4624490995340246	0.3540783342428949	0.15715125309600772	0.12898283027580706	0.18899290541958777	0.33806305360816086	0.17159229251500777	0.07759959699424877	0.34091767767935854	0.24553964988875362	0.19260316527433777	0.17711263171151506	-0.19803954493933923	-0.19657025313798748	0.13964569077704547	0.2873724864615255	0.0037991688006380926	0.03175769279207422	0.09138995004407875	0.05906553041434029	0.11643088031568784	0.17597917803618657	0.0830989463078796	0.08377062255992612	0.1505184501070484	0.18962260190588137	0.10287141597749884	0.27864069518492085	0.27309936610553714	-0.2763108181856345	-0.2702657319172159	-0.26890138953024645	-0.32374795348641955	-0.2915704630368163	-0.24129969354771	-0.239494563620335	-0.18546660509634355	-0.2989589018093279	-0.37170983585911593	-0.27475756685277697	-0.2859661643088032	-0.22030981067125646	-0.08641534780235927	-0.16819193148902228	-0.24421728726753705	-0.1542336593761807	-0.2189874480500399	-0.25876327610091937	0.08595357037907729	-0.01884891482305529	0.054384786532891145	0.292808866126527	0.12346249107929978	0.07990848411065866	-0.015595482977204988	-0.13383149322026783	-0.12232903740397129	-0.04812980143570799	-0.05448973594727342	-0.08114688720036942	-0.22492758490407624	-0.2533059065530414	-0.11357625624449015	0.03891524285294488	-0.05121531421854666	-0.22427689853490618	-0.08943789093656858	-0.03417152932286638	-0.052474707191133875	0.09069728390915578	0.08878720456739851	0.27620586877125225	-0.0620880735485496	-0.14128290164140883	0.014399059653247136	0.28086562276982496	-0.17669283405398598	0.09982788296041308	0.06372528441291297	-0.07019016833886067	0.1507913185844423	0.018618026111414297	-0.06676881742999874	-0.0777255362915075
NifA	-0.2480794257168045	0.2032450358926997	0.3202006632802989	0.4624490995340246	1.0	0.2987699928634398	0.2579866504344906	0.10087737710423576	0.19862726165987993	0.3553587170983586	0.38587800680072204	0.04189580622140129	0.2298182276142899	0.1350698963099786	0.21096931279123463	0.24260106628605013	-0.11523445699172999	-0.09844255069056715	0.22505352420133495	0.17895974140464296	0.04135006926661349	0.08637336803660635	0.10784601821921834	0.1685907392636749	0.12583434784433903	0.38407287687334707	0.268187733512447	0.2676419965576592	0.25452331975987574	0.2957474497292305	0.2131942403761387	0.2087233953234541	0.2671172494857479	-0.2424751269887914	-0.19293900340036102	-0.26682339112547754	-0.2898702825238235	-0.24885605138323327	-0.26273036396456906	-0.2872885269300197	-0.2201628814911213	-0.27242768985349064	-0.21695142941102388	-0.1849628479073087	-0.3056966542126695	-0.1264850342135091	-0.1288359010956719	-0.10337517316653373	-0.22274463708492506	-0.12058687712522564	-0.22266067755341926	-0.20895428403509508	0.028777129423617816	-0.1375047227236472	0.0047017337643255955	0.15421266949330423	0.12159439150329542	-0.11643088031568784	-0.008773771042357584	0.011271567104655556	-0.16537928718357753	-0.02027622685865413	-0.14665631165778095	-0.10322824398639856	-0.24352462113261408	-0.2769195247890517	-0.06548843457453507	0.0703580874018723	-0.10849670458838839	-0.020213257210024767	-0.03891524285294488	-0.06288568909785483	-0.0009235548465639561	0.0771378195709668	0.2526552201838714	0.19654926325511105	-0.05818395533352924	0.023676587884639604	0.04097225137483733	0.14281516309138995	-0.08198648251542756	-0.05192897023634608	-0.057869107090382434	0.01389530246421225	-0.16577809495823012	-0.022522144326434658	0.025817555938037865	-0.16029973552747576
NnrR	-0.16166407791444523	0.25601360144410396	0.28036186558079007	0.3540783342428949	0.2987699928634398	1.0	0.3985978758238529	0.10757314974182444	0.20473531757692792	0.19205742831954997	0.2672851685487595	0.1389530246421225	0.19130179253599766	0.16840183031778683	0.19852231224549766	0.07300281264430544	0.08347676419965576	0.11840392930607448	0.08307795642500315	0.24673607321271146	0.16890558750682172	0.15983795810419377	-0.052474707191133875	0.1670584778136938	0.24673607321271146	0.15014063221527224	0.20956299063851225	0.07579446706687376	0.31010452961672474	0.27796901893287435	0.17986230636833048	0.21336215943915032	0.14661433189202805	-0.21256454388984508	-0.3505100541538978	-0.3139036984173628	-0.2651651903782377	-0.3023592628353134	-0.3592838251962554	-0.2906469081902523	-0.2605893959111708	-0.24520381176273037	-0.2821040258595357	-0.3239368624323076	-0.2246337265438059	-0.2040216615591285	-0.15967003904118215	-0.08129381638050459	-0.1254355400696864	-0.32038957222618697	-0.23527559716216784	-0.34335250409302714	0.1356995927962722	-0.17068972755132025	0.17304059443348307	0.24734477981612862	0.17087863649720836	0.006737752403341589	0.042441543176189075	-0.05165610175895218	0.0056042987280130975	-0.22337433357121866	0.011439486167667184	0.003064522899962218	-0.06070274127870366	-0.24908694009487428	-0.20242643046051803	0.09802275303303808	-0.05998908526090425	-0.026216363712690482	0.007829226312917175	0.16120230049116327	-0.03196759162083876	-0.0076193274841526385	0.021430670416859074	0.07592040636413248	-0.1191175853238739	-0.05740732966710046	-0.11932748415263843	-0.022920952101087275	-0.3474875110196885	-0.05423785735275597	-0.07487091222030981	0.027013979261995717	-0.18827924940178833	-0.12405020779984048	-0.009508416943033457	0.03641744679064691
NtrC	0.10196885101381134	0.07997145375928802	0.22983921749716638	0.15715125309600772	0.2579866504344906	0.3985978758238529	1.0	0.19554174887704126	0.3250493262247597	0.20630955879266194	0.29518072289156627	-0.04701733764325595	-0.06687376684438101	0.05379706981235045	0.1696402334074976	0.06676881742999874	0.18095378027790604	0.12808026531211955	0.04844464967885479	0.22591410939926956	0.2282859661643088	0.08966877964820956	0.058330884513664416	0.13290793837370388	0.2848117207505982	0.24520381176273037	0.17856093362999034	-0.006926661349229671	0.19885815037152094	0.164707610931531	0.2931237143696738	0.1770076822971328	0.24532975105998908	-0.25433441081398767	-0.3415473741656522	-0.27769615045548046	-0.23355442676629865	-0.21955417488770412	-0.4679484488476554	-0.3738298140296377	-0.21951219512195122	-0.19293900340036102	-0.3013517484572436	-0.36333487259141095	-0.3479702783258469	-0.33552327778011	-0.275870030645229	-0.06756643297930398	-0.1712144746232316	-0.09479031107006423	-0.15154695436799462	-0.25979178036186557	0.14352881910918938	-0.23605222282859661	0.029301876495529153	-0.1463204735317577	-0.19497502203937703	-0.10077242768985349	-0.028294362117459386	0.099638974014525	-0.0922295453591369	-0.1286469921497838	-0.21863062004114017	-0.19111288359010956	-0.2309936610553713	-0.4356450191007934	-0.33606901473489775	-0.011250577221779103	-0.02111582217371227	-0.12866798203266025	0.04414172368918182	0.05392300910960917	-0.0024558162965450654	-0.06011502455816296	0.13830233827295244	0.11783720246841023	-0.13206834305864573	-0.07818731371478947	-0.054720624658914405	0.015322614499811092	-0.14352881910918938	-0.12793333613198438	-0.1613072499055455	-0.10297636539188111	-0.15108517694471266	-0.11737542504512825	-0.11932748415263843	-0.06529952562864699
CsoR	-0.05872969228831703	0.04575794467066874	-0.04191679610427774	0.12898283027580706	0.10087737710423576	0.10757314974182444	0.19554174887704126	1.0	0.2184417110952521	0.020717014399059652	0.3786155073254691	-0.004533814701313967	0.018722975525796565	-0.016288149112127955	0.15943915032954117	0.08500902564963687	0.03765584988035767	-0.0626338105033374	0.1911548633558625	0.10232567902271106	0.13410436169766174	0.0002938583602703497	-0.042189664581671636	0.04626170185970362	0.20102010830779565	0.04741614541790857	0.30433231182570003	0.2487091222030981	0.006003106502665715	0.02554468746064397	0.08851433609000461	0.02642626254145502	0.15463246715083329	-0.25311699760715334	-0.08889215398178078	-0.06819612946559758	-0.1345661391209437	-0.10683850384114857	-0.18460601989840897	-0.13991855925443936	-0.19176356995927962	-0.2232274043910835	-0.1544435582049452	-0.23857100877377105	-0.2601066286050124	-0.05524537173082574	-0.09569287603375173	-0.09512614919608749	-0.16393098526510222	-0.07971957516477059	-0.08322488560513833	0.049284244993912936	0.06135342764787372	-0.10786700810209479	0.12052390747659628	-0.04040552453717308	-0.043386087905629485	0.11993619075605558	0.1711724948574787	0.13807144956131145	0.01282481843751312	-0.006758742286218043	-0.0025397758280508794	-0.04189580622140129	0.021514629948364887	-0.017190714075815457	-0.18548759497922002	0.06458586961084757	-0.011082658158767474	-0.06941354267243188	0.09348893833172411	0.05814197556777633	-0.14098904328113848	-0.15035053104403678	0.02680408043323118	0.12339952143067041	-0.02690902984761345	-0.15352000335838126	0.04195877587003065	0.10547416145417908	0.0967003904118215	-0.04871751815624869	-0.08845136644137526	-0.1712144746232316	-0.026279333361319844	-0.14235338566810798	-0.025922505352420133	-0.18021913437723017
RbsR	-0.04978800218294782	0.1752865119012636	0.11168716678560933	0.18899290541958777	0.19862726165987993	0.20473531757692792	0.3250493262247597	0.2184417110952521	1.0	0.21881952898702825	0.19858528189412702	-0.11756433399101633	0.04995592124595945	-0.04424667310356408	0.18385038411485663	0.15209269132278241	-0.0024348264136686117	-0.09390873598925319	0.13968767054279838	0.07711682968809035	0.09644851181730406	0.11418496284790731	-0.06702069602451619	0.14445237395575333	0.16523235800344235	0.20192267327148314	0.23867595818815332	0.04878048780487805	0.16840183031778683	0.09201964653037235	0.2309936610553713	0.0970152386549683	0.33329835019520593	-0.1256664287813274	-0.2383191301792536	-0.1493010369002141	-0.14113597246127366	-0.09476932118718777	-0.2854624071197683	-0.29075185760463457	-0.036585365853658534	-0.12497376264640443	-0.27977414886024937	-0.11023886486713404	-0.19470215356198312	-0.2510389992023844	-0.2450988623483481	-0.002875613954074136	-0.19713697997565174	-0.12549850971831578	-0.13242517106754545	-0.11808908106292768	-0.07155451072583015	0.0452331975987574	-0.1066915746610134	-0.09468536165568196	-0.041077200789219594	0.06483774820536502	-0.030183451576340205	-0.063263506989631	-0.14674027118928676	0.06714663532177491	-0.3579194828092859	-0.3687712522564124	-0.2662146845220604	-0.2337643255950632	-0.07296083287855254	0.0055203391965072835	-0.04340707778850594	-0.026111414298308214	0.034990134755048065	0.01903782376894337	0.01614121993199278	0.010033164014944796	0.23701775744091347	0.05163511187607573	0.11491960874858319	0.0009235548465639561	-0.06691574661013391	0.07165946014021242	-0.05944334830611645	0.01910079341757273	-0.272028882078838	-0.19816548423659797	0.09890432811384912	-0.004302925989672977	0.056378825406154236	-0.09031946601737963
LiuQ	-0.20259434952352967	0.2072331136392259	0.18301078879979849	0.33806305360816086	0.3553587170983586	0.19205742831954997	0.20630955879266194	0.020717014399059652	0.21881952898702825	1.0	0.35307081986482514	0.08824146761261072	0.06697871625876328	-0.04871751815624869	0.0638932034759246	0.003316401494479661	-0.120880735485496	-0.08259518911884471	-0.10251458796859914	0.25935099282146007	-0.02436925401956257	0.1957096679400529	0.03482221569203644	0.04579992443642165	0.017064774778556734	0.2651651903782377	0.23437303219848032	0.12203517904370094	0.1646236514000252	0.21290038201586836	0.10297636539188111	-0.03721506233995214	0.3253012048192771	-0.055371311028084465	-0.06229797237731413	-0.09907224717686075	-0.15186180261114143	-0.07923680785861215	-0.11691364762184626	-0.10843373493975904	0.004638764115696235	-0.11735443516225179	-0.058225935099282145	-0.0564837748205365	-0.09539901767348138	-0.12253893623273582	-0.10688048360690147	0.015616472860081441	-0.05595902774862516	-0.15904034255488855	-0.2141387851055791	-0.12184627009781285	-0.08542882330716595	-0.038537424961168715	-0.059863145963645524	0.014357079887494227	-0.03427647873724864	-0.07848117207505982	-0.01064187061836195	0.090151546954368	-0.12465891440325763	0.0097602955375509	-0.3288904747911507	-0.1271986902313085	-0.2939003400361026	-0.20838755719743085	-0.019562570840854707	-0.013979261995718063	-0.049536123588430375	-0.09789681373577935	0.08186054321816884	0.15360396288988706	0.07640317367029092	0.19325385164350783	0.16395197514797868	0.13538474455312538	0.10033164014944797	0.0928592418454305	-0.04708030729188531	0.16762520465135805	0.0393140506275975	0.03033038075647538	-0.09187271735023718	-0.04487636958985769	-0.2262079677595399	-0.08735989253179967	-0.03891524285294488	-0.01259392972587213
