	LldR	PdxR	NrtR	RutR	ArgR	IscR	NagC	NsrR	MetR	SahR_SamR	CzrA	MntR	FUR	BirA	Zur	Phr	LexA	ModE	ThiR	KdgR	RbkR	PhnF	AgaR	SoxR	Rex	HutC	NadQ	NagQ	NrdR	PsrA	NagR	SdaR	TrpR	HisR	HrcA	CueR	XylR	CblR	PhnR	FnrN_FixK	PaaR	ExuR_UxuR	TyrR	LiuR	GntR	RbsR	NtrC	HexR	PhrR	HypR	PdhR	AraR	NorR	CcpA	CadR-PbrR	SiaR	HcpR	LtbR	GulR	NikR	ZntR	MerR	NiaR	FabR	MetJ	GlcC	NnrR	TtrR	Irr	NmlR	FadR	PurR	GguR	PhsR	DasR	NifA	FadP	FixJ	NarP	PrpR	BioQ	LiuQ	AmtR	FruR	VanR	AcnR	CsoR	QorR
LldR	1.0	0.7252376294168538	0.7607025122843524	0.6856675958858022	0.7072676999281882	0.7189385414840742	0.7036262164194718	0.7276916726509887	0.6940701494478403	0.7018733283950896	0.7269565905762478	0.718734980294146	0.7358680471131065	0.7500720945880995	0.7386613589971218	0.6806916556875562	0.7315367173496333	0.6759871304092145	0.6764847244290392	0.6295525611955827	0.6153485137205896	0.5485691344691294	0.5546081164370006	0.5978422513867606	0.6024336871151421	0.6074661720883682	0.5946870529428728	0.5713566787860967	0.47293484345579045	0.47873633736874543	0.5770337741940956	0.5020214757055375	0.5145404888861245	0.4553833453019774	0.5947775245828409	0.5775992219438962	0.5411504599917445	0.41633352370074245	0.495846786277714	0.3174027853956155	0.39354597938377506	0.36310227253450644	0.3200490808646827	0.46221395411956956	0.4583123646459449	0.46125269294490845	0.39754934945236386	0.34230510429683747	0.329469440376362	0.3944054599634721	0.6604825531096798	0.4549309871021368	0.39770767482230807	0.3523361473783015	0.3141571153117596	0.36953706792723817	0.33471679549451233	0.33515784473935684	0.24130482722744004	0.2525911643134616	0.2007509146117353	0.324448264358132	0.4232885310232908	0.3657033321835896	0.2998399782868064	0.3223108718638854	0.2158822963964015	0.1785514359545606	0.2956669738932774	0.22205698582422492	0.22007791869992252	0.33683157007876685	0.31411187949177555	0.28971846356537423	-0.15412409316317124	0.097341830128187	0.14055334716795495	0.131449638396164	0.01731966457639482	0.09686685401835443	0.12130550576473981	0.18575524028702128	0.06293998903031366	0.04682472816099428	0.17782766283481574	0.12838491159224433	0.1049979926604882	0.1318567607760205
PdxR	0.7252376294168538	1.0	0.6836206750315237	0.7247061085320411	0.7870749953350561	0.7564164183408633	0.7340586143137443	0.7355400874182221	0.777043952253592	0.7717965971354417	0.7725769150301667	0.756167621330951	0.7728483299500709	0.7716608896754895	0.8132212992858395	0.6657072903178382	0.7463401394394151	0.7176719385245206	0.6788030602032219	0.69880860159117	0.7148786266405053	0.5858208322259981	0.5875850292053763	0.46469061526369654	0.6373670490978282	0.6361343730032626	0.6235701240026915	0.5639719311736999	0.5726006638356582	0.5116906322271291	0.49895674890161773	0.5037630547749236	0.47067305245658775	0.5945739633929127	0.6962980135820549	0.7106264595620042	0.6671774544673199	0.4443571141808641	0.4321321338301734	0.3589745039609615	0.4604045213202074	0.3753611797501852	0.4063137895742744	0.5353263481687974	0.5115662337221729	0.5358804869636021	0.42705441303696334	0.3300348881261627	0.33201395525046506	0.3740380320156516	0.4413376231969285	0.3490113146094735	0.3993927091167141	0.3514314309786204	0.28580556513675354	0.3312901821307202	0.3245048091331121	0.34989341309916255	0.18993955363554632	0.22020231720487868	0.17500042408581234	0.3299444164861946	0.44848488275440906	0.3681234485527365	0.4374473426782998	0.27359189374105886	0.3047254468450843	0.2639679730394513	0.2709795251369797	0.3391499058529497	0.1579917557718079	0.23250646024054147	0.20725356373444312	0.22123143210951593	-0.14140151879265597	0.19714335796800697	0.20996771293348637	0.14506562021136438	0.05726289362231483	0.1548931021029002	0.1261231205930416	0.061831711440704325	0.12659809670287417	0.16899536898292913	0.07630717383560172	0.1340280801352551	0.15094627680929143	0.09907210024257708
NrtR	0.7607025122843524	0.6836206750315237	1.0	0.8485391657383899	0.8216464707578697	0.8490028328932265	0.8220422841827301	0.8370945032824242	0.8088786605673702	0.8288050392703462	0.86689359969692	0.8647788251126655	0.8539674641364765	0.8496700612379913	0.8623813266535105	0.7952513697971739	0.8097607590570594	0.8008153756552125	0.818626979773934	0.7891784609643145	0.7433093395004835	0.6702082544062515	0.6768353020339155	0.6534031472821754	0.7147542281355491	0.7163827176549751	0.6660239410577266	0.6471492951693799	0.5835703501817915	0.6287043895708817	0.5910229515241644	0.5435931942708834	0.5400195644921431	0.5551848731417973	0.5250238901674291	0.5422700465363498	0.6127700719814986	0.5203646007090714	0.5455948793051778	0.5056968860792419	0.5240965558577559	0.5555693776116618	0.5263357289469667	0.45220552894809757	0.4166614833956268	0.460053943715331	0.4566725661715229	0.34959938026926624	0.41875364006988935	0.41769059830026406	0.48699187451583537	0.598102357351669	0.4405912321671916	0.4852842223114373	0.32082939875940764	0.5284957393512053	0.4789625164686657	0.4971925519222396	0.25935391940107777	0.3731333156159705	0.30263329017082174	0.3001000842517147	0.3767861080796829	0.3797716721986305	0.2900690411702507	0.3383130431832447	0.3538176204827793	0.21475140089680014	0.3089776139235854	0.2299506364114424	0.272065184816597	0.22583417679289344	0.28226586222300126	0.2350170482496565	-0.11872706402564871	0.18590225670196944	0.15969940797620596	0.1198805774352421	0.13306681896059394	0.21474009194180413	0.24341960181169459	0.19879446539742496	0.08667748556694618	0.025880543508377107	0.18433031195752356	0.045433726696484614	0.08961781386590972	0.09254683320987724
RutR	0.6856675958858022	0.7247061085320411	0.8485391657383899	1.0	0.8244850184618691	0.8257290035114305	0.8058704785384306	0.806175820323323	0.7959638339619227	0.8169419454795279	0.8629354654483152	0.8479511000785972	0.8214089827029534	0.8588529326947544	0.8481094254485414	0.7802556954724599	0.8169080186145399	0.794538905632425	0.8012451159450611	0.7361394620330108	0.7399845067316555	0.6784524825983455	0.6224166105930982	0.5996856110511108	0.7034678910495276	0.6804767855426319	0.618141825604605	0.6448535773051891	0.5552640358267694	0.6254134836670417	0.5159767261706182	0.5464882867498628	0.5792616383283102	0.5885802172450255	0.5504238030884756	0.5960554364973905	0.5429938196560947	0.5882861844151291	0.5007435637909879	0.4712271912513924	0.5597763088701788	0.5061831711440704	0.4347784292992406	0.4457481156453738	0.4917529445691571	0.40702625373902324	0.4698814256068668	0.3398284431527105	0.4085868895284731	0.39088837495971185	0.3599696920006107	0.5211223006938044	0.45877603180078147	0.3791383707188537	0.36003754573058677	0.4539697259274757	0.3867719153411629	0.43255056516502594	0.2380365392335921	0.35647522490684247	0.37633374987984236	0.3083216945338166	0.3772158483695314	0.303673714030455	0.3478464922448841	0.3323645328553415	0.40195984190080913	0.3225483599188017	0.2737841459759911	0.2548981911326484	0.2923308321694534	0.23152258115588828	0.2874340546561795	0.2147174740318121	-0.0628155905253575	0.18250957020316538	0.3067497497893707	0.11000785972372223	0.0776190126151393	0.27975527421388624	0.22298432013389802	0.16751389587845136	0.0028328932265014053	0.02002250482044207	0.15256345737372137	0.10500930161548422	0.10402542253083104	0.061469824880831886
ArgR	0.7072676999281882	0.7870749953350561	0.8216464707578697	0.8244850184618691	1.0	0.8655365250973984	0.8264867034961635	0.8207191364481965	0.8641907594528727	0.8272104766159083	0.8433144285302316	0.8483356045484617	0.870150578735772	0.8856664649903025	0.880136385997252	0.8054294292935861	0.8295514303000832	0.8016974741449017	0.7894272579742269	0.8185817439539499	0.7723959717502304	0.6516502592577933	0.6387015057873577	0.5803586069629236	0.6910732763738967	0.716303554970003	0.7458877812395746	0.6729110946502989	0.6235927419126835	0.6556649382813781	0.5169040604802914	0.46782319579759235	0.5054141622043415	0.6271437537814318	0.6135843167412115	0.6122046242316979	0.5744666414100005	0.6128039988464866	0.5675455609524402	0.4583462915109329	0.5394428077873464	0.46374066304403144	0.49188865202910925	0.4140943506115317	0.42924835030618996	0.3603994322904592	0.4183238997800408	0.3932745644638707	0.40577095973446575	0.49220530276899765	0.3906169600398075	0.5196521365443226	0.4696326285969545	0.42365041758316324	0.461716360099745	0.47241463152597385	0.41979406392952257	0.450927617033548	0.2584718209113887	0.37413981261061574	0.26824275802794445	0.2538464583180191	0.3836054079422791	0.3811852915731322	0.37218336339630537	0.31926876296995776	0.33573460144415357	0.28770546957608384	0.2153168486466008	0.22939649761663775	0.25993067610587445	0.21486449044676026	0.25954617163600996	0.14582332019609728	-0.18758729099637547	0.23557118704446114	0.22507647680816054	0.10651339262995403	0.2117319099128645	0.28371340846249105	0.15060700815941103	0.16527472278924066	0.0025501693516010652	0.012151472143216605	0.15767510503191953	0.1022386076414609	0.09191353173010049	0.2118789263278127
IscR	0.7189385414840742	0.7564164183408633	0.8490028328932265	0.8257290035114305	0.8655365250973984	1.0	0.8361558600177551	0.8276289079507608	0.8438685673250363	0.8633765146931598	0.8343464272183929	0.8359862256928149	0.8339279958835404	0.861069487873973	0.884388553075753	0.778683750728014	0.8199501275084676	0.8000124398504956	0.7870863042900521	0.7629869211935472	0.7361507709880069	0.6079072213332127	0.6737027215000198	0.6027277199450385	0.6641692724383803	0.7077426760380207	0.6378420252076606	0.6395044415920746	0.612295095871666	0.6397306206919949	0.5387981973525736	0.4910291714494122	0.5206925604039558	0.6620318799441338	0.6342797043839165	0.5997082289611029	0.5724649563757062	0.5357108526386619	0.5882522575501411	0.43164584876534484	0.5067033830738871	0.43390763976454755	0.45210374835313344	0.48795313569049653	0.4279138936166604	0.42643242051218255	0.41133496559250443	0.3596530412607223	0.35140881306862837	0.4536417662325913	0.42441942652289216	0.5734714533703513	0.5821680397622858	0.5243340439126722	0.425968753357346	0.4609699690700081	0.36777287094786004	0.44545408281547744	0.300360190216623	0.39753804049736785	0.3381773357232925	0.21468354716682406	0.364357566539064	0.3430062595065903	0.2934843455790468	0.23458730795980798	0.3528789772181102	0.24311426002680223	0.3082538408038405	0.27593284742523366	0.2838943517424272	0.24821459873000434	0.24972999869947018	0.16541043024919283	-0.2777083533596078	0.24529688834103286	0.16396288400970307	0.11963178042532979	0.22715732452742704	0.13930936211839345	0.16749127796845933	0.1047491956505759	0.055046338443096164	0.09102012428541541	0.10433076431572341	0.12891643247705695	0.13109906079128758	0.11949607296537763
NagC	0.7036262164194718	0.7340586143137443	0.8220422841827301	0.8058704785384306	0.8264867034961635	0.8361558600177551	1.0	0.8662942250821313	0.8508914283775608	0.8467297329390278	0.8333512391787437	0.8549626521761257	0.8272104766159083	0.8398425793464555	0.8682619832514377	0.7536004885468558	0.8030319308344313	0.8175865559143007	0.7908974221237086	0.7794866865327309	0.7417373947560376	0.6426370221259704	0.6902364137041916	0.5939858977331199	0.7093485476474546	0.7550593437413415	0.7215735279981453	0.6991931060610345	0.6897840555043511	0.664723411233185	0.5194485753543944	0.51248225907685	0.49254457141887803	0.5712662071461286	0.59571616784751	0.6212065524085247	0.5608280416848082	0.5358578690536101	0.5805847860628439	0.4760674239896862	0.5310289452703123	0.4569892169114113	0.5012411578108125	0.4458498962403379	0.46817377340246874	0.47757151500415607	0.49377724751344354	0.382678073632606	0.4560845005117302	0.4394716456225862	0.4203142758593392	0.4936528490084874	0.4588099586657695	0.48397238353189975	0.33480726713448045	0.40364487619521516	0.3921323600092733	0.41401518792655967	0.32815760159682444	0.38849087650055697	0.30189820809608087	0.3030630304606703	0.43391894871954356	0.3292658791864338	0.35895188605096945	0.2738633086609632	0.4585724706108532	0.26422807900435963	0.2508948210640596	0.2555201836574291	0.27449661014073995	0.22703292602247088	0.2347908691497362	0.2272025603474111	-0.1457667754211172	0.2575784134667036	0.23180530503078864	0.12257210872429333	0.06460240541472766	0.22160462762438438	0.1776241016448875	0.1448394411114441	0.009539103539137466	0.04083098201310708	0.23095713340608762	0.031659419511340055	0.09699125252331059	0.037788873119179424
NsrR	0.7276916726509887	0.7355400874182221	0.8370945032824242	0.806175820323323	0.8207191364481965	0.8276289079507608	0.8662942250821313	1.0	0.8126445425810428	0.8216238528478776	0.8227208214824909	0.8637723281180203	0.8481772791785175	0.8458702523593308	0.8659775743422429	0.7507732497978524	0.782890681986531	0.8142504141904767	0.7743411120095448	0.7680872598967492	0.7107960938869444	0.6459844728047904	0.6425917863059863	0.6071269034384877	0.6820261123770858	0.6776608557486246	0.6715992558707613	0.6494450130335706	0.6415061266263691	0.5871213620505398	0.5351340959338652	0.5576841521959164	0.5343877049041283	0.5621398804643457	0.5633047028289351	0.5841810337515762	0.5718316548959294	0.436746187468547	0.5386737988476175	0.4253693787425573	0.5687895460020017	0.48230996714748575	0.49716993401224757	0.45170793492827294	0.4773679538142278	0.436757496423543	0.48229865819248974	0.42228203402864556	0.4390984501077178	0.49347190572855115	0.4470260275599233	0.5075967905185721	0.49620867283758646	0.4261949324572663	0.3388445640680573	0.37508976483028084	0.41503299387620085	0.381886446782885	0.2815647070132484	0.4537435468275554	0.2796987294389062	0.3480500534348124	0.398465374807041	0.2900238053502666	0.26982601172738635	0.2957574455332455	0.32115735845429205	0.3454150669207412	0.3475072235950037	0.3135577406969709	0.3176968182255119	0.26918140129261353	0.21529423073660878	0.18586832983698143	-0.1578334304018637	0.2734901131460947	0.22181949776930862	0.10567652996024902	0.10129996437679176	0.1670502287236148	0.20461857722037194	0.1443644650016115	-0.006926734935058326	0.00275373054152931	0.23323023336028634	0.11429395366721139	0.1990093355423492	0.1828601478080418
MetR	0.6940701494478403	0.777043952253592	0.8088786605673702	0.7959638339619227	0.8641907594528727	0.8438685673250363	0.8508914283775608	0.8126445425810428	1.0	0.883551690406048	0.8537639029465482	0.8723784428699866	0.8747080875991654	0.8767097726334598	0.8946570842121334	0.7614375943590932	0.7935437175927759	0.780334858157432	0.7879570938247451	0.8266789557310956	0.7530237318420592	0.5881052411351929	0.6502818757032757	0.6167168972751073	0.6601659023697916	0.7297046666402791	0.7222520652979062	0.7048136566940532	0.7216074548631334	0.657157720340852	0.557367501456028	0.5119846650570254	0.5917693425539013	0.5823376740872259	0.6610819277244686	0.6707963200660443	0.6320066044297177	0.4945688743631645	0.5251256707623932	0.423446856393235	0.5314926124251489	0.4328898338149063	0.4624627511294819	0.5635761177488394	0.42850195927645307	0.4478515812746323	0.5164969381004348	0.44228757541659364	0.36832700974266475	0.49072382966451983	0.4435994141961312	0.4678345047525883	0.4608229526550599	0.4717813300461971	0.4230510429683745	0.4466980678650389	0.33624350441897416	0.46003132580533895	0.1939203057941431	0.44072693962714377	0.3172331510706753	0.3464102549603904	0.48182368208265713	0.258765853741285	0.3159665481111218	0.33564412980418545	0.4104754850128074	0.24945858377956584	0.2799022906288344	0.3048272274400484	0.3064104811394903	0.2823110980429853	0.24655218234559034	0.25869800001130894	-0.18770038054633562	0.10236300614641704	0.19237097895968924	0.2126479352675416	0.1134683999525024	0.20503700855522444	0.15800306472680392	0.29813232608240836	0.005185155865672232	0.09126892129532771	0.1768550927051586	0.12383871168384686	0.0281197165975878	0.10981560748879
SahR_SamR	0.7018733283950896	0.7717965971354417	0.8288050392703462	0.8169419454795279	0.8272104766159083	0.8633765146931598	0.8467297329390278	0.8216238528478776	0.883551690406048	1.0	0.883506454586064	0.8526330074469468	0.8485391657383899	0.8605040401241724	0.8899977947537758	0.7652260942827578	0.807815618797745	0.7861250431153909	0.7991981950907826	0.8083810665475457	0.7563938004308712	0.6443446743303685	0.6308983268401084	0.585685124766046	0.6852717824609417	0.7245251652521049	0.6848533511260892	0.6726962245053746	0.6503271115232597	0.6466290832395633	0.5641189475886481	0.5739125026151959	0.5375315943930201	0.5995159767261706	0.6210256091285885	0.634822534223725	0.653968595031976	0.482570073112394	0.5525385776727302	0.48342955369209106	0.4979050160869885	0.46168243323475694	0.4787250284137494	0.4765424000995188	0.38794804666074834	0.4071619611989754	0.5130703247366427	0.44825870365448883	0.383526245257307	0.4984026101068131	0.47368123448552735	0.5029601189702065	0.5051088204194492	0.5116793232721331	0.3624802800097257	0.41481812373127663	0.3482649235797366	0.4772209373992796	0.35178200858349684	0.3838542049521914	0.26983732068238236	0.26817490429796836	0.37540641557016924	0.34152478640211253	0.3210329599493359	0.3584882188961329	0.3617112710699968	0.29706928431278307	0.30077862155147556	0.3389350357080254	0.284527653222204	0.22877450509185698	0.28224324431300923	0.22576632306291738	-0.2044150160304437	0.20260558323108152	0.22816382152207226	0.122300693804389	0.2126479352675416	0.13977302927323002	0.20244725786113735	0.1631486392499901	0.09072609145551905	0.057500381677231115	0.07697440218036652	0.08690366466686646	0.046519386376101916	0.07792435440003166
