	LiuR	NnrR	PhnF	VanR	HypR	LtbR	RutR	ExuR_UxuR	PdhR	PhrR	ZntR	SiaR	XylR	NagR	PhnR	GulR	NifA	LldR	ModE	NrtR	Zur	MntR	ArgR	SahR_SamR	NrdR	BirA	MetR	FUR	KdgR	NagC	NorR	SoxR	CzrA	HutC	PdxR	Phr	SdaR	IscR	LexA	NsrR	PsrA	TrpR	NikR	ThiR	HisR	HexR	HrcA	RbkR	NtrC	FnrN_FixK	NagQ	CcpA	RbsR	NadQ	AgaR	NarP	CblR	FadP	FixJ	PhsR	PurR	CsoR	GguR	AcnR	QorR	BioQ	PaaR	CueR	GntR	FadR	NiaR	TyrR	HcpR	CadR-PbrR	Rex	AraR	FabR	GlcC	LiuQ	MerR	TtrR	PrpR	DasR	MetJ	AmtR	NmlR	FruR	Irr
LiuR	1.0	0.6040839478162223	-0.032493314966372255	0.11449639413337655	0.29632930880803826	0.24560408394781622	0.22761526618588446	0.10072117332469006	0.14885341544445344	0.20379223725792076	0.2315047402965724	0.15306701239769874	0.13118872052507902	0.3240418118466899	0.3190179077870513	-0.06182643221781055	0.022283445425816385	0.25986548902033874	0.2700753585608946	0.3185317235232153	0.3067012397698728	0.17300056721497448	0.16943521594684385	0.1619803905680253	0.05890932663479459	0.09034924236285552	0.25792075196499475	0.3253383032169192	0.2974637387569889	0.20670934284093673	-0.1344299489506523	0.15695648650838667	0.20606109715582205	-0.026172919536504337	0.2759095697269265	0.1999027631472328	0.3600194473705534	0.24058017988817762	0.31739729357426466	0.28984685195689164	0.2919536504335143	0.1650595575723199	0.27542338546309053	0.15290495097642007	0.20962644842395267	0.1678146017340572	0.04432379871971477	0.09245604083947816	0.4603354671420468	0.3562920346811442	0.39810388137103964	0.14480187991248683	0.23182886313912973	0.11644113118872053	0.07462928449882505	0.10898630580990196	-0.002674013451097966	0.24673851389676688	0.15306701239769874	0.37590146665586255	0.12097885098452313	0.17915890122356373	0.016287172838505795	-0.06328498500931853	-0.0423790616643708	-0.12211328093347379	-0.16716635604894256	-0.26375496313102664	-0.2775301839397131	-0.1216270966696378	-0.24787294384571754	-0.06052994084758123	-0.27526132404181186	-0.19520298193015154	0.078518758609513	0.15809091645733733	0.1023417875374767	0.27671987683331983	-0.07025362612430111	0.03524835912810955	-0.0028360748723766306	0.20865407989628068	-0.06814682764767847	-0.16651811036382788	0.07868082003079167	0.003484320557491289	-0.07155011749453043	0.016611295681063124
NnrR	0.6040839478162223	1.0	0.07738432866056236	0.09051130378413419	0.38189773924317316	0.43051616562677253	0.3034600113442995	0.22437403776031115	0.12000648245685115	0.046916781460173404	0.3754152823920266	0.1028279718013127	0.09764200632039544	0.15987359209140264	0.2540312778543068	-0.08613564540961025	-0.04108257029414148	0.2315047402965724	0.2392836885179483	0.3436512438214083	0.2590551819139454	-0.00040515355319666155	0.10477270885665667	0.09991086621829673	0.24009399562434164	0.1371849931123896	0.29406044891013694	0.15906328498500932	0.27023741998217327	0.2707236042460092	0.07932906571590632	0.043837614455878776	0.003970504821327283	0.031520946438700265	0.28401264079085975	0.18321043675553034	0.32387975042541123	0.20703346568349404	0.2763957539907625	0.13378170326553765	0.20281986873024876	0.14658455554655214	0.12843367636334171	0.0008913378170326554	0.23912162709666965	0.03800340328984685	0.0757637144477757	0.0657159063284985	0.3958350214731383	0.15079815249979742	0.22729114334332712	0.2720200956162386	0.11449639413337655	0.022445506847095047	-0.13977797585284824	0.11044485860140993	0.1073656915971153	-0.07511546876266105	0.04578235151122275	0.3749290981281906	-0.043837614455878776	0.2750992626205332	0.014990681468276477	-0.029576209383356294	-0.006563487561785917	-0.06911919617535046	-0.2827161494206304	-0.05955757231990925	-0.11563082408232721	-0.14237095859330687	-0.3890284417794344	-0.17462118142776112	-0.14577424844015882	-0.025362612430111012	0.04367555303460011	0.1133619641844259	-0.01337006725548983	0.20379223725792076	0.045458228668665425	0.1110931042865246	0.11433433271209789	0.3062150555060368	0.17737622558949842	0.1687869702617292	-0.20119925451746212	-0.06749858196256381	-0.20962644842395267	-0.02844177943440564
PhnF	-0.032493314966372255	0.07738432866056236	1.0	0.03751721902601086	0.3963212057369743	0.2255084677092618	0.2026578073089701	0.10039705048213272	0.027631472328012316	0.3049185641358075	0.10039705048213272	0.026172919536504337	0.06101612511141723	0.11773762255894984	0.10914836723118061	0.15938740782756664	0.31253545093590474	0.4682764767847014	0.30686330119115146	0.49226156713394376	0.33603435702131107	0.24058017988817762	0.47232801231666804	0.30329794992302084	0.1614942063041893	0.5117089376873836	0.3284174702212138	0.24641439105420954	0.24090430273073496	0.20492666720687142	0.46114577424844017	0.1820760068065797	0.4536909488696216	0.41398590065634877	0.3327931285957378	0.3904869945709424	0.46568349404424275	0.5645409610242281	0.52791507981525	0.5744267077222267	0.2781784296248278	0.2966534316505956	0.20687140426221537	0.2985981687059395	0.36779839559192934	0.447208492018475	0.5361802123004619	0.6287172838505793	0.3903249331496637	0.237014828620047	0.1106069200226886	0.11725143829511385	0.1183858682440645	0.14739486265294546	0.14933959970828944	0.1422088971720282	0.4151203306052994	0.03719309618345353	0.04351349161332145	0.13135078194635766	-0.08710801393728224	0.16441131188720526	0.28401264079085975	0.03605866623450288	0.37590146665586255	-0.18272425249169436	-0.14512600275504417	0.04318936877076412	0.20849201847500204	0.2634308402884693	0.062474677902925206	0.35661615752370146	-0.006887610404343246	0.2428490397860789	0.18142776112146503	0.28903654485049834	0.24544202252653755	0.1298922291548497	0.1499878453934041	-0.006725548983064582	0.10201766469491938	0.18256219107041569	0.06377116927315453	0.16586986467871323	-0.09099748804797018	0.008184101774572563	-0.13588850174216027	-0.015152742889555142
VanR	0.11449639413337655	0.09051130378413419	0.03751721902601086	1.0	0.3859492747751398	0.263592901709748	0.3549955433109148	0.15582205655943604	-0.014342435783161819	0.1610080220403533	0.290657159063285	0.19779596467061017	0.12130297382708047	0.18969289360667693	0.45158415039299893	0.25743456770115875	-0.13491613321448828	0.3029738270804635	0.42160278745644597	0.30459444129325014	0.3760635280771412	0.46616967830807876	0.24560408394781622	0.2720200956162386	0.4423466493801151	0.22064662507090188	0.38886638035815574	0.32112470626367395	0.3267968560084272	0.4421845879588364	0.11822380682278584	0.21837776517300056	0.013856251519325824	0.12859573778462038	0.4275990600437566	0.4614698970909975	0.43213677983955917	0.3549955433109148	0.40491046106474354	0.4105826108094968	0.45612187018880157	0.3370067255489831	0.34397536666396566	0.4348918240012965	0.38319423061340246	0.3890284417794344	0.40847581233287417	0.14188477432947086	0.4087999351754315	0.3909731788347784	0.5572481970666883	0.09521108500121546	0.014504497204440484	0.23588039867109634	0.16441131188720526	0.398428004213597	-0.17235232152985983	0.13686087026983226	0.030386516489749615	0.23636658293493235	0.2947086945952516	0.2013613159387408	0.2700753585608946	0.21432622964103396	-0.002674013451097966	-0.11157928855036059	0.10752775301839397	-0.1371849931123896	-0.016935418523620453	0.006887610404343246	0.15533587229560003	0.12697512357183371	-0.07868082003079167	-0.06717445912000648	-0.06117818653269589	-0.06766064338384248	0.1755935499554331	-0.03557248197066688	-0.044485860140993434	0.10509683169921401	0.015963049995948466	0.014180374361883154	0.16376306620209058	-0.14836723118061745	0.30005672149744755	-0.01871809415768576	-0.16376306620209058	-0.031034762174864273
HypR	0.29632930880803826	0.38189773924317316	0.3963212057369743	0.3859492747751398	1.0	0.3488372093023256	0.36909488696215864	0.21513653674742728	0.11401020986954055	0.27347864840774655	0.17073170731707318	0.2282635118709991	0.06474353780082652	0.24771088242443887	0.32987602301272184	0.12697512357183371	0.058423142370958595	0.3470545336682603	0.41042054938821815	0.48853415444453446	0.3592091402641601	0.37460497528563325	0.32517624179564053	0.3541852362045215	0.33992383113199903	0.36536747427274935	0.4454258163844097	0.33198282148934444	0.2874159306377117	0.2566242605947654	0.314804310833806	0.16716635604894256	0.27850255246738514	0.09829025200551009	0.1989303946195608	0.3159387407827567	0.4460740620695243	0.508143586419253	0.4655214326229641	0.5149501661129569	0.2242119763390325	0.2127056154282473	0.16911109310428651	0.3551576047321935	0.4250060773032979	0.4758933635847986	0.4047483996434649	0.41900980471598737	0.41982011182238066	0.14350538854225753	0.4814034519082732	0.008346163195851228	-0.15582205655943604	0.11725143829511385	0.036544850498338874	0.19034113929179158	-0.13005429057612836	-0.025524673851389675	-0.01401831294060449	0.17543148853415444	0.09991086621829673	0.21529859816870595	0.17494530427031846	-0.07932906571590632	0.1462604327039948	-0.22939794181994977	-0.009642654566080544	-0.16797666315533588	0.09375253220970747	0.17591767279799045	-0.06458147637954785	0.3204764605785593	0.10185560327364071	0.05420954541771331	0.1783485941171704	0.040596386030305485	0.010452961672473868	0.08321853982659427	0.00915647030224455	0.07689814439672636	-0.10752775301839397	0.3073494854549874	0.012397698727817843	-0.17867271695972772	-0.10623126164816465	-0.0013775220808686492	-0.12827161494206304	0.13702293169111093
LtbR	0.24560408394781622	0.43051616562677253	0.2255084677092618	0.263592901709748	0.3488372093023256	1.0	0.6207762742079248	0.4058828295924155	0.2794749209950571	0.2960051859654809	0.4078275666477595	0.23863544283283364	0.263106717445912	0.1642492504659266	0.21027469410906732	0.03605866623450288	-0.00737379466817924	0.39243173162628636	0.2856332550036464	0.4156065148691354	0.394538530102909	0.2985981687059395	0.13831942306134024	0.2671582529778786	0.4126894092861194	0.5172190260108581	0.5193258244874808	0.28579531642492506	0.4279231828863139	0.41479620776274206	0.343813305242687	0.1439915728060935	0.08159792561380763	0.3353861113361964	0.1409124058017989	0.2695891742970586	0.475245117899684	0.395024714366745	0.4089619965967102	0.37184993112389597	0.3078356697188234	0.27801636820354914	0.2762336925694838	0.4660076168868001	0.5528725386921644	0.37330848391540394	0.21157118547929665	0.27104772708856656	0.26456527023742	0.12000648245685115	0.21238149258568997	-0.03297949923020825	-0.10542095454177133	0.1128757799205899	-0.11546876266104854	0.17202819868730249	0.1110931042865246	-0.11482051697593387	0.13831942306134024	-0.08986305809901952	0.11449639413337655	0.09067336520541285	-0.04837533425168139	0.26229641033951867	0.10914836723118061	-0.36228830726845473	-0.2302082489263431	-0.19536504335143018	-0.0025119520298193016	-0.03460011344299489	0.050320071307025364	0.0717121789158091	0.03443805202171623	-0.025038489587553683	0.09294222510331415	0.1211409124058018	0.13426788752937363	0.36893282554087997	0.21416416821975529	0.26116198039056804	0.18013126975123572	0.2204845636496232	-0.03233125354509359	-0.04011020176646949	-0.06052994084758123	0.08240823272020095	-0.04335143019204278	0.17445912000648245
RutR	0.22761526618588446	0.3034600113442995	0.2026578073089701	0.3549955433109148	0.36909488696215864	0.6207762742079248	1.0	0.45887691435053884	0.3376549712340977	0.2947086945952516	0.3086459768252168	0.14382951138481484	0.18013126975123572	0.1971477189854955	0.2584069362288307	0.23166680171785106	0.08824244388623288	0.30281176565918483	0.34170650676606434	0.4394295437970991	0.38562515193258246	0.36715014990681466	0.21238149258568997	0.1760797342192691	0.366015719957864	0.3378170326553764	0.4890203387083705	0.4125273478648408	0.40166923263917026	0.3271209788509845	0.420630418928774	0.25435540069686413	0.17899683980228506	0.25062798800745484	0.24025605704562028	0.345758042298031	0.3395997082894417	0.42160278745644597	0.4164168219755287	0.47232801231666804	0.2026578073089701	0.35775058747265215	0.42468195446074064	0.5258082813386273	0.28482294789725304	0.3815736164006158	0.2969775544931529	0.28903654485049834	0.2699132971396159	0.2888744834292197	0.21416416821975529	-0.0757637144477757	-0.07381897739243173	0.25986548902033874	0.16473543472976257	0.21173324690057532	0.014342435783161819	-0.16360100478081194	-0.08078761850741431	0.05550603678794263	0.19309618345352889	0.39696945142208895	0.18045539259379303	0.058423142370958595	0.13961591443156957	-0.17219026010858116	0.0689571347540718	-0.11935823677173649	0.09666963779272345	0.08386678551170894	0.1073656915971153	0.29535694028036624	0.015314804310833806	0.10380034032898469	0.14804310833806011	0.052426869783648	0.17770034843205576	0.3908111174134997	0.06992950328174379	0.12130297382708047	0.2149744753261486	0.29406044891013694	0.024876428166275017	0.17851065553844908	-0.17851065553844908	-0.04513410582610809	-0.17689004132566244	0.12535450935904707
ExuR_UxuR	0.10072117332469006	0.22437403776031115	0.10039705048213272	0.15582205655943604	0.21513653674742728	0.4058828295924155	0.45887691435053884	1.0	0.42030629608621667	0.3052426869783648	0.3370067255489831	0.339437646868163	0.29357426464630093	0.2854711935823677	0.2076817113686087	0.36763633417065067	0.08872862815006888	0.38870431893687707	0.1412365286443562	0.35856089457904544	0.25970342759906007	0.2525727250627988	0.09051130378413419	0.2759095697269265	0.3455959808767523	0.3332793128595738	0.27234421845879586	0.22858763471355645	0.22939794181994977	0.32550036463819787	0.3574264646300948	0.07236042460092375	0.1138481484482619	0.11773762255894984	0.2149744753261486	0.29146746616967834	0.20800583421116603	0.3477027793533749	0.22664289765821247	0.25500364638197875	0.10833806012478729	0.079004942873349	0.07932906571590632	0.17543148853415444	0.21659508953893525	0.22761526618588446	0.2788266753099425	0.2960051859654809	0.12000648245685115	0.0020257677659833075	0.04918564135807471	-0.09974880479701807	-0.31318369662101936	0.14026416011668422	-0.0008913378170326554	0.11806174540150717	-0.08872862815006888	-0.17737622558949842	-0.12648893930799773	-0.1366988088485536	-0.013856251519325824	-0.11530670123976987	-0.21108500121546067	0.02309375253220971	-0.17996920832995705	-0.08727007535856089	-0.06328498500931853	0.023741998217324367	-0.06198849363908922	0.17332469005753182	0.14172271290819222	0.2558139534883721	0.19747184182805283	0.18872052507900494	0.10169354185236204	-0.1815898225427437	0.04270318450692812	0.1422088971720282	-0.052913054047484	-0.07560165302649705	0.08824244388623288	0.09018718094157686	0.1966615347216595	0.24398346973502957	0.2533830321691921	0.17543148853415444	-0.19455473624503686	0.013856251519325824
PdhR	0.14885341544445344	0.12000648245685115	0.027631472328012316	-0.014342435783161819	0.11401020986954055	0.2794749209950571	0.3376549712340977	0.42030629608621667	1.0	0.19293412203225022	0.158252977878616	0.006887610404343246	0.3233935661615752	0.24884531237338953	0.11433433271209789	0.19309618345352889	0.014504497204440484	0.37962887934527184	0.19001701644923427	0.3488372093023256	0.3097804067741674	0.18142776112146503	0.13961591443156957	0.15760473219350132	0.21853982659427923	0.16360100478081194	0.1110931042865246	0.06458147637954785	0.17737622558949842	0.1238959565675391	0.35353699051940685	0.1619803905680253	0.22680495907949114	0.08370472409043027	0.26424114739486265	0.27785430678227047	0.17721416416821975	0.341868568187343	0.3407341382383923	0.2305323717689004	0.19779596467061017	0.30216351997407015	0.15598411798071468	0.2217810550198525	0.15468762661048538	0.08775625962239689	0.06425735353699052	0.1459363098614375	0.18677578802366096	0.13054047483996434	-0.0057531804553925935	-0.022931691110931043	-0.042054938821813465	-0.09196985657564216	0.07430516165626773	0.03054857791102828	-0.0318450692812576	-0.209464387002674	-0.3616400615833401	-0.10299003322259136	0.06409529211571185	0.05485779110282797	-0.030710639332306944	-0.13183696621019367	0.1101207357588526	0.07722226723928369	0.16651811036382788	0.34673041082570294	0.13605056316343894	0.004942873348999271	-0.11093104286524592	0.05161656267725468	0.08872862815006888	0.18596548091726764	0.19876833319828216	0.04075844745158415	0.26845474434810795	0.10963455149501661	0.08046349566485698	-0.05858520379223726	0.07155011749453043	0.11854792966534317	-0.029900332225913623	-0.035734543391945546	0.1986062717770035	0.0313588850174216	0.12584069362288308	-0.05566809820922129
PhrR	0.20379223725792076	0.046916781460173404	0.3049185641358075	0.1610080220403533	0.27347864840774655	0.2960051859654809	0.2947086945952516	0.3052426869783648	0.19293412203225022	1.0	0.37573940523458393	0.05631634389433595	0.12178915809091646	0.33295519001701646	0.25970342759906007	0.03848958755368285	0.04756502714528806	0.33344137428085246	0.3023255813953488	0.4250060773032979	0.3426788752937363	0.4143100234989061	0.36958107122599465	0.37784620371120653	0.30038084434000484	0.4454258163844097	0.43894335953326313	0.3885422575155984	0.32809334737865653	0.3477027793533749	0.25565189206709343	0.28984685195689164	0.4021554169030062	0.1880722793938903	0.15517381087432136	0.1725143829511385	0.20006482456851146	0.38513896766874645	0.18791021797261162	0.2407422413094563	0.2869297463738757	0.07722226723928369	0.12049266672068715	0.22858763471355645	0.3588850174216028	0.32290738189773927	0.2814196580504011	0.5136536747427275	0.058423142370958595	0.046916781460173404	0.05728871242200794	-0.1357264403208816	0.11174134997163924	0.2159468438538206	0.2759095697269265	0.18547929665343166	0.08500121546065958	0.007211733246900575	0.05696458957945061	-0.26926505145450125	-0.029738270804634957	-0.008022040353293899	-0.2875779920589904	-0.0020257677659833075	0.024876428166275017	-0.3120492666720687	-0.12486832509521109	-0.156794425087108	0.09115954946924884	0.14415363422737218	0.27607163114820515	0.30702536261243013	0.12973016773357102	0.18580341949598897	0.33571023417875373	0.0057531804553925935	0.11028279718013127	0.44639818491208166	-0.10558301596304999	0.08937687383518353	0.06393323069443319	0.13329551900170164	0.13459201037193097	-0.04367555303460011	0.4261405072522486	0.16246657483186128	0.13329551900170164	0.3024876428166275
