	MetJ	AcnR	GguR	PurR	CsoR	CblR	FixJ	PhnF	LexA	ThiR	KdgR	MntR	NagC	NsrR	ArgR	NrtR	FUR	Zur	MetR	SahR_SamR	NrdR	BirA	Phr	ModE	Rex	HutC	CzrA	IscR	AmtR	HisR	RbkR	AgaR	NagQ	PsrA	FadP	CcpA	NagR	NadQ	NifA	DasR	PrpR	LtbR	NnrR	CadR-PbrR	FadR	Irr	LiuR	TtrR	AraR	GulR	HcpR	NarP	NorR	BioQ	FruR	SiaR	FnrN_FixK	QorR	PhnR	PhsR	LiuQ	MerR	CueR	NmlR	NtrC	ExuR_UxuR	SoxR	LldR	RutR	HexR	PaaR	GlcC	NikR	TyrR	PdxR	HrcA	SdaR	GntR	NiaR	VanR	PhrR	XylR	HypR	RbsR	TrpR	ZntR	FabR	PdhR
MetJ	1.0	0.10970251793882986	0.06009013237131823	-0.12584039671814126	0.09089572578045926	-0.2925683202243697	-0.025111534568648185	-0.23081011699113943	-0.0843591497927634	-0.07721189023528281	-0.23615925270425386	-0.113151749212614	-0.13541908159976476	-0.17336062561139037	-0.16476581981442004	-0.056516502592577934	-0.0794510633244935	0.00023183357741827867	0.007593963279823128	-0.11101435671836744	-0.2150454337266965	-0.05511419217307225	-0.025122843523644196	-0.02188848239478431	-0.06675110686397023	0.08447223934272353	0.055770111562841035	-0.004540545430899458	-0.13864213377362863	-0.2740668698508914	-0.18756467308638344	-0.08938032581099344	-0.04092145365307519	0.008973655789336786	-0.04826096544548801	-0.08228961102849291	-0.09170997054017224	-0.0945032824241876	-0.033265291120773983	-0.09364380184449056	-0.08950472431594958	0.010014079648970036	0.10058750021204291	-0.05078286240959904	0.04150951931286789	-0.04176962527777621	-0.06037285624621857	0.08589716767222125	0.06517916211952435	0.2805695189735992	-0.1753849285556768	-0.13743207558905518	0.054661833973231704	0.00882663937438861	0.10035001215712662	0.06275904575037744	0.2992519126270137	0.06917122323311714	0.010161096063918214	-0.05334999519369413	0.0500817071998462	0.16858824660307264	0.18988300886056625	0.2117319099128645	0.07018902918275836	0.0022448275667086982	-0.028108407642591787	0.08110217075391149	0.02144743314993978	0.1799424374190703	0.20106756535162368	0.1535021006383905	0.1558995990975454	0.08189379760363244	0.09920780770252925	-0.030200564316854302	0.08499245127254017	-0.07977902301937789	-0.007899305064715496	0.08733340495671497	0.04333026106722608	-0.0019055589168282905	0.06476073078467184	0.007887996109719481	-0.17782766283481574	-0.2273721946723513	-0.1253767295633047	0.03621692837473353
AcnR	0.10970251793882986	1.0	0.23756156312375956	0.016810761601574208	-0.06515654420953232	0.1007458255819871	-0.03766447461422327	-0.040604802913186806	-0.08159976477373608	-0.14301869935708592	-0.054593980243255624	-0.0921849466500048	-0.10150352556672	-0.09365511079948657	-0.10514500907543639	-0.07422632611633521	-0.027984009137635636	0.04587477594132914	-0.12824920413229215	-0.1016618509366642	-0.17116668834216375	0.07309543061673386	-0.17269339726662558	-0.049640657955001666	-0.119790105795274	-0.007627890144811169	-0.12060435055498697	-0.08776314524656349	-0.12081922069991123	-0.09158557203521608	-0.07393229328643887	-0.015917354156889132	0.11345709099750638	0.10705622246976268	0.060553799526154785	-0.23704135119394293	-0.00376022753617452	0.031093971761539375	-0.0646363322797157	-0.09478600629908793	-0.04950495049504951	-0.11684977749631045	-0.012931790037941544	0.045750377436372995	0.05867651299681653	-0.14876364849506082	-0.07137646945733979	-0.12401965496378307	-0.10730501947967498	0.10224991659645691	0.014300173592459189	0.0494144788550814	0.09118975861035561	-0.19946169374218975	0.032451046361061005	-0.06465895018970771	0.037099026864422596	-0.03680499403452624	0.11234881340789704	-0.008430825949528134	-0.05513681008306427	-0.025043680838672103	0.16914238539787732	0.13912841883845722	0.1433353500969743	0.09069216459053102	0.08750303928165518	0.023539589824202293	0.13789574274389174	-0.04777468038065943	0.11260891937280536	0.019909415270481932	0.09978456440732594	0.08368061249300258	-0.035187813470096294	0.021820628664808227	-0.005637514065512776	0.05122391165444357	-0.0895160332709456	-0.12754804892253932	0.02418420025897507	-0.05832593539194011	-0.12483389972349605	0.09911733606256114	-0.014515043737383448	-0.17114407043217172	-0.11850088492572844	-0.06516785316452833
GguR	0.06009013237131823	0.23756156312375956	1.0	-0.08339788861810224	0.05729682048730287	-0.01556677655201271	0.07899870512465296	0.10876387467416074	-0.032767697100949386	-0.09223018246998886	-0.1095668104788777	-0.1400896800131184	-0.21320207406234626	-0.0896743586408898	-0.1539883857032191	-0.1421026740024088	-0.09573595851875308	-0.11828601478080418	-0.09321406155464204	-0.1221310594794488	-0.1506748618893871	-0.14371985456683875	-0.09374558243945469	-0.0614811338358279	-0.13170974436107233	-0.007786215514755359	-0.0477520624706674	0.01502394671220406	-0.11983534161525804	-0.024794883828759804	-0.06262333829042527	-0.16956081673272982	-0.050963805689535256	-0.13856297108865656	-0.13757909200400337	-0.16336350939491437	-0.07796959022001572	-0.11989188639023811	-0.04102323424803931	-0.21227473975267316	-0.00930161548422118	-0.04113632379799945	-0.07562863653584091	0.2110646815680997	0.06956703665797762	0.12415536242373523	0.16899536898292913	0.14155984416260015	0.07023426500274242	0.17866452550452075	-0.1201293744451544	0.1926650117895856	0.04530932819152846	-0.1144748969471476	-0.03558362689495677	0.0797111692894018	-0.09375689139445069	-0.07198715302712452	0.11026796568863054	0.0760470678706934	-0.18222684632826502	-0.09930958829749337	0.08748042137166315	0.036850229854510294	-0.08293422146326569	0.17609739272042568	0.17824609416966825	0.002945982776461541	0.10753119857959526	-0.025439494263532578	-0.016618509366641974	-0.21003556666346246	-0.1801007627890145	-0.01417577508750304	-0.09493302271403611	0.0430927730123098	0.08994577356079411	0.07647680816054192	-0.005275627505640341	0.07774341112009545	0.022883670434433505	0.22823167525204832	0.027316780792870834	0.024613940548823585	-0.04279874018241345	-0.140598582987939	-0.1677174570683796	-0.18887651186592103
PurR	-0.12584039671814126	0.016810761601574208	-0.08339788861810224	1.0	0.11345709099750638	0.13245613539080922	-0.0609835398160033	-0.23713182283391104	-0.1443531560466155	-0.17833656580963636	-0.1644830959395197	-0.27102476095696376	-0.18471481642738802	-0.2467444345805226	-0.14989454399466218	-0.22619606335276587	-0.19455360727391985	-0.12548981911326484	-0.33849398646318085	-0.25176561059875263	-0.28384911592244316	-0.3222430181339093	-0.2743722116357838	-0.2577028119716598	-0.19287988193450983	-0.342757462496678	-0.15497226478787227	-0.26279184171986586	-0.08447223934272353	-0.1069883687397866	-0.19769749676281162	-0.11329876562756218	-0.022340840594624854	-0.14989454399466218	-0.13565656965468106	-0.055984981707765294	-0.21046530695331098	-0.23682648104901866	-0.35495982493737666	0.20478821154531215	0.014006140762562836	0.1331912174655501	-0.04066134768816688	0.11862528343068458	0.163046858655026	-0.09351940333953442	-0.022193824179676677	-0.1942595744440235	-0.14455671723654376	-0.20188181011133666	0.011359845293495655	-0.11941691028040553	-0.07415847238635914	-0.13656128605436216	-0.13218472047090488	-0.1418425680375005	-0.019954651090465986	0.14120926655772373	0.0055922782455287215	0.0970138704333026	-0.27810416678446825	-0.16558006457413302	-0.18307501795296605	-0.12513924150838843	-0.002787657406517351	-0.25454761352777194	0.02418420025897507	-0.2548868821776524	-0.023381264454258106	-0.13512504876986842	-0.19015442378047057	-0.10554082250029687	-0.08888273179116883	-0.21126824275802794	-0.09164211681019616	-0.16105648257572758	-0.04527540132654042	-0.10919361496400926	-0.2172280620409271	-0.034972943325172035	0.00939208712418929	-0.18558560596208107	-0.05779441450712747	-0.0024710066666289703	0.015645939236984808	0.08589716767222125	-0.062023963675636555	-0.09495564062402814
CsoR	0.09089572578045926	-0.06515654420953232	0.05729682048730287	0.11345709099750638	1.0	-0.028108407642591787	0.012004455728268429	-0.12542196538328876	-0.23608009001928176	-0.19013180587047854	-0.14732741121056708	-0.08961781386590972	-0.19070856257527524	-0.10356175537599448	-0.13192461450599657	-0.17757886582490345	-0.09260337798485731	-0.06865101130330052	-0.17453675693097578	-0.16553482875414896	-0.12974198619176594	-0.11326483876257415	-0.26747374908821553	-0.06626482179914166	-0.016109606391821362	-0.10486228520053605	-0.16548959293416493	-0.09398307049437096	-0.18306370899797003	-0.06865101130330052	-0.16354445267485057	-0.12176917291957637	-0.009482558764157397	-0.11454275067712368	-0.13184545182102447	-0.19362627296424673	-0.15917919604638933	-0.21714889935595502	-0.183029782132982	-0.20230024144618916	-0.17540754646566883	0.08397464532289894	0.011167593058563423	0.144760278426472	0.029171449412217065	0.019581455575597536	0.25046508077421104	0.07359302463655847	0.1423627799673171	0.19387506997415904	-0.08442700352273948	-0.05616592498770151	-0.022872361479437494	0.05236611610904095	-0.04856630723038038	-0.1678079287083477	0.01862019440093638	-0.13641426963941397	-0.22964529462655003	-0.1885259342610446	-0.012004455728268429	-0.05893661896172484	-0.12591955940311336	-0.13882307705356486	-0.019411821250657334	-0.048916884835256795	0.06437622631480738	-0.09788465996799565	-0.0361943104647415	-0.027769138992711377	-0.1498266902646861	-0.11278986265274157	-0.04158868199783999	-0.08553528111234882	0.16934594658780555	0.11226965072292495	0.04397487150199886	0.09821261966288006	0.1818762687233886	-0.05126914747442762	0.014729913882307705	-0.1358714397996053	-0.018009510831151647	-0.026310283798225625	0.04895081170024484	-0.050126943019830256	-0.10828889856432816	-0.18682959101164257
CblR	-0.2925683202243697	0.1007458255819871	-0.01556677655201271	0.13245613539080922	-0.028108407642591787	1.0	0.19215610881476497	0.08712984376678673	-0.0243764524939073	-0.038535264148916316	0.1255237459782529	-0.02557520172348474	0.02192240925977235	-0.06386732333998676	-0.018597576490944356	-0.09860843308774053	-0.04724315949584679	-0.11916811327049324	-0.2825485860979016	-0.17544147333065688	-0.11513081633691638	-0.09765848086807538	-0.25518091500754875	-0.06867362921329255	0.0493353161701093	-0.2101486562134226	-0.0009669156521591622	-0.1014130539267519	0.04119286857297951	0.04102323424803931	-0.008035012524667658	0.004133423051042968	-0.001645452951919978	-0.07180620974718831	-0.11827470582580817	-0.14765537090545147	-0.2160632396763377	-0.11733606256113904	-0.4232432952033067	-0.02859469270742037	-0.06659278149402605	0.08042363345415067	0.06231799650553291	0.10077975244697514	0.08538826469740064	-0.03680499403452624	0.014130539267518985	-0.06082521444605911	0.12714092654268283	-0.005739294660476899	0.13881176809856885	0.226286534992734	0.026061486788313326	0.052117319099128645	-0.20179133847136854	-0.10861685825921255	-0.02081413167016302	-0.053824971303526696	-0.08762743778661133	-0.017591079496299143	0.00870224086943246	-0.18555167909709303	-0.10315463299613799	-0.10434207327071941	-0.008125484164635767	-0.16510508846430047	-0.07688393054039841	-0.08962912282090574	0.02280450774946141	0.017229192936426708	0.09720612266823485	-0.082368773713465	-0.2781607115594483	-0.15835364233168034	-0.13417509655020327	0.06395779497995488	-0.009810518459041791	0.02686442259303029	-0.0272036912429107	-0.038433483553952194	-0.12749150414755925	0.0707997127525431	0.09959231217239371	0.025869234553381096	0.16662048843376628	-0.045411108786492585	0.05355355638362237	-0.020746277940186936
FixJ	-0.025111534568648185	-0.03766447461422327	0.07899870512465296	-0.0609835398160033	0.012004455728268429	0.19215610881476497	1.0	-0.05383628025852271	0.06491905615461603	-0.06937478442304539	-0.1217126281445963	-0.1975844072128515	-0.2677112371431318	-0.0924337436599171	-0.20838445923404447	-0.18420591345256743	-0.06027107565125445	-0.19147757151500416	-0.10338081209605826	-0.17074825700731125	-0.18067751949381117	-0.2280281140621201	-0.28798819345098414	0.011800894538340184	-0.1529931976635699	-0.04974243854996579	-0.08722031540675484	-0.08873571537622066	-0.09959231217239371	0.0446760267117517	-0.0007407365522388903	-0.18041741352890286	-0.020689733165206867	-0.1371945875341389	-0.2324386065105654	-0.05990918909138201	-0.1520997902188848	-0.06292868007531764	-0.2844371815822359	-0.167219863048555	0.031467167276407824	0.07848980214983234	0.07946237227948952	0.1753849285556768	-0.02173015702484012	-0.07757377679515524	-0.012388960198132891	0.04437068492685933	0.09618831671859362	-0.0013966559420076788	0.07960938869443769	0.3721155096663293	0.09070347354552702	0.13238828166083313	0.08940294372098546	-0.09080525414049115	-0.07346862613160231	-0.10560867623027294	-0.14524656349130058	-0.03547053734499664	-0.13140440257617994	-0.13790705169888776	0.09755670027311127	0.04268565063245331	-0.13431080401015544	-0.158059609501784	-0.07108243662744344	-0.013090115407885735	-0.07713272755031071	-0.11134231641325183	0.08667748556694618	0.06657016358403402	0.07817315140994396	-0.16493545413936025	-0.05794143092207565	0.04035600590327451	0.16277544373512165	0.15154565142408016	0.18989431781556226	0.1537622066032988	-0.018099982471119755	-0.04843059977042821	-0.044596864026779606	0.0819390334236165	-0.0822783020734969	-0.021526595834911875	0.10822104483435208	0.12733317877761505
PhnF	-0.23081011699113943	-0.040604802913186806	0.10876387467416074	-0.23713182283391104	-0.12542196538328876	0.08712984376678673	-0.05383628025852271	1.0	0.40070454789625165	0.5012298488558165	0.3684966440676049	0.4634918660341191	0.3985784643570011	0.5578537865208565	0.48100943732294416	0.4771078478493195	0.46614947045818234	0.3719798022063771	0.4756829195198218	0.4615806526397928	0.32756953593703175	0.39057172421982345	0.37324640516593066	0.4033734612753109	0.2963228932830462	0.4651542824185331	0.38890930783540945	0.44796467082459246	0.26084670146055156	0.31494874216148055	0.36667590231324676	0.2566510791570305	0.12510531464340038	0.22002137392494248	0.2103295994933588	0.3089549960135934	0.39037947198489126	0.16401942878468315	0.23491526765469237	0.046078337131257384	0.13187937868601252	0.030358889686798493	-0.05411900413342305	0.13539646368977273	0.12190488037952853	0.10313201508614596	0.06487382033463197	0.2489157539397572	0.14310917099705403	0.05912887119665707	0.11029058359862257	0.2807956980735195	0.13936590689337353	0.11120660895329967	0.0001752888024382107	0.03250759113604108	0.10123211064681568	-0.010059315468954092	0.20695953090454677	0.040887526788087145	0.0988459211426568	0.0372686611893628	0.04861154305036443	0.15004156040961034	0.2714318833368203	0.23937099592312172	0.27224612809653326	0.3810948199331641	0.2649631610791005	0.24063759888267525	0.3515897563485646	0.09260337798485731	0.17932044489428955	0.18571000446703723	0.17578074198053728	0.22272421416898971	0.3056414721997614	0.17839311058461643	0.19602377142340163	0.24756998829523158	0.2747001713306682	0.2985168305522728	0.12725401609264295	0.18124296724361186	0.14878626640505285	0.37027215000197905	0.16698237499363872	0.2933260202091026
LexA	-0.0843591497927634	-0.08159976477373608	-0.032767697100949386	-0.1443531560466155	-0.23608009001928176	-0.0243764524939073	0.06491905615461603	0.40070454789625165	1.0	0.6293942358256386	0.35195164290843706	0.4353099501840532	0.3894408287202221	0.48025173733821125	0.4907916833944959	0.5356882347286699	0.6252777762070896	0.5419307778864694	0.4635484108090992	0.605690666153994	0.41799594008515645	0.25405001950794737	0.48328253727714293	0.44653974249509476	0.2117997636428406	0.3603089606504911	0.3601506352805469	0.41473896104630453	0.32891530158155735	0.23829664519850044	0.37050963805689535	0.32129306591424417	0.2585849104613488	0.3243464837631679	0.1104828358335548	0.29039700086513504	0.3513748862036404	0.29216119784451317	0.28141769059830024	0.22206829477922094	0.128136114582332	-0.03973401337849376	-0.02054271675025869	0.1672990257335271	0.18423984031755547	0.18993955363554632	-0.032722461280965336	0.1328519488156697	-0.004065569321066886	-0.004868505125783852	0.19586544605345743	0.27758395485465165	0.03583242390486907	0.114814165597028	0.2158031337114294	0.07867074542976857	0.2492550225896376	0.2568207134819707	0.39579646142798175	0.30236187525091746	0.22909115583174536	0.240434037692747	0.1859474925219535	0.25386907622801114	0.2806147547935833	0.25676416870699065	0.3783015080491487	0.405126349299693	0.2812706741833521	0.24040011082775897	0.47175871213620507	0.3029951767306942	0.2522518956635812	0.22084692763965147	0.2475812972502276	0.3137273750219111	0.3438996669512754	0.1729648121865299	0.2392805242831536	0.17072563909731922	0.2039174220106191	0.3647420710089284	0.1952773803936647	0.2106462502332472	0.13433342192014747	0.3279766583168882	0.3606482293003715	0.21963686945507802
ThiR	-0.07721189023528281	-0.14301869935708592	-0.09223018246998886	-0.17833656580963636	-0.19013180587047854	-0.038535264148916316	-0.06937478442304539	0.5012298488558165	0.6293942358256386	1.0	0.48439081486675223	0.5488744762540217	0.5812293964976166	0.6545114248717847	0.5650575908533172	0.6766543587539794	0.6535840905621116	0.5830501382519748	0.630626911920204	0.6161062137053226	0.5953882081526256	0.4377866113281802	0.5245376051026005	0.5226377006632702	0.44737660516479977	0.4321321338301734	0.38732605413596755	0.47515139863500916	0.3515105936635925	0.3713125738616123	0.5428807301061346	0.28520619052196483	0.3405748341824474	0.3605916845253914	0.22915900956172144	0.3232947509485386	0.30452188565515603	0.3307925881108956	0.3561472652119581	0.0854448094723807	0.14668280077579432	-0.057907504057087604	0.04910913707018903	0.16741211528348723	0.09778287937303154	0.17216187638181293	0.024365143538911286	0.09538538091387665	0.18656948504673426	0.0668076516389503	0.19170375061492442	0.1786192896845367	0.08477758112761591	0.14537096199625674	0.03135407772644769	0.15031297532951468	0.19155673419997626	0.26196628800515687	0.3444990415660641	0.1811185687386557	0.11732475360614303	0.14405912321671915	0.11006440449870229	0.18049657621387497	0.25659453438205043	0.2552374597825288	0.41157245364742073	0.530814075125388	0.2972502275927193	0.3272302672871513	0.3268683807272789	0.31644152422095434	0.35942686216080205	0.2771994503847872	0.39737971512742365	0.25237629416853735	0.26136691339036816	0.20675596971461851	0.16702761081362277	0.34461213111602423	0.25336017325319055	0.3523361473783015	0.17633488077534196	0.21237652034763727	0.09044336758061872	0.3356667477141775	0.19393161474913911	0.3715387529615326
