	ArgR	MetR	SoxR	HisR	NrdR	HutC	SahR_SamR	CcpA	PaaR	Rex	Zur	FabR	HrcA	RbkR	RutR	BirA	NikR	MntR	ModE	ThiR	LexA	NadQ	NagC	KdgR	PurR	CadR-PbrR	PdxR	IscR	LldR	MerR	NrtR	NsrR	Phr	CzrA	FUR	AraR	XylR	HypR	SiaR	MetJ	PhsR	NagQ	NtrC	LiuR	PhrR	HexR	TyrR	CueR	GntR	PhnR	FnrN_FixK	HcpR	LiuQ	FruR	NagR	NarP	PhnF	LtbR	SdaR	GlcC	PdhR	PsrA	PrpR	NiaR	TrpR	DasR	QorR	ZntR	AmtR	RbsR	FadP	CblR	Irr	AgaR	TtrR	ExuR_UxuR	AcnR	FadR	BioQ	GulR	CsoR	VanR	GguR	NifA	NorR	FixJ	NmlR	NnrR
ArgR	1.0	0.6199659671015315	0.4509359047078843	0.5167328417470222	0.446722307754639	0.1660319260999919	0.15014990681468277	0.25419333927558546	0.4473705534397537	0.4144720849201847	0.3815736164006158	0.2694271128757799	0.17689004132566244	0.28222996515679444	0.23588039867109634	0.3217729519487886	0.14075034438052023	0.44283283364395104	0.3891905032007131	0.5358560894579045	0.4169030062393647	0.4357021311076898	0.4692488453123734	0.32987602301272184	0.3483510250384896	0.4357021311076898	0.2838505793695811	0.5583826270156389	0.41868568187343	0.41495826918402073	0.5977635523863545	0.37411879102179724	0.5204602544364314	0.6133214488291062	0.444777570699295	0.3016773357102342	0.4750830564784053	0.19520298193015154	0.24446965399886558	-0.008508224617129892	0.3742808524430759	0.1610080220403533	-0.028603840855684303	0.05534397536666397	0.003970504821327283	0.17219026010858116	0.19974070172595412	0.028279718013126974	0.05955757231990925	0.09634551495016612	0.07868082003079167	0.11708937687383518	0.09018718094157686	0.06539178348594117	0.09342840936715015	-0.2580828133862734	0.12827161494206304	0.12600275504416172	-0.026983226642897658	0.027145288064176324	0.13248521189530832	0.07592577586905437	0.3092942225103314	0.40539664532857955	0.3212867676849526	-0.1678146017340572	0.1778624098533344	-0.0025119520298193016	0.28304027226318773	0.010939145936309862	-0.25046592658617617	0.46892472246981604	0.45126002755044164	0.29649137022931693	0.312859573778462	0.08143586419252896	-0.03460011344299489	-0.12729924641439105	0.04643059719633741	0.15614617940199335	0.009966777408637873	-0.14577424844015882	-0.2169192123814926	-0.1381573616400616	0.3734705453366826	0.017745725630013774	0.06944331901790779	0.1958512276152662
MetR	0.6199659671015315	1.0	0.39891418847743293	0.4120411636010048	0.2951948788590876	0.23215298598168707	0.18142776112146503	0.3533749290981282	0.4078275666477595	0.448667044809983	0.47800016206142126	0.3284174702212138	0.19536504335143018	0.22891175755611376	0.1866137266023823	0.3687707641196013	0.3042703184506928	0.31010452961672474	0.3010290900251195	0.3303622072765578	0.38838019609431973	0.2522486022202415	0.5768576290414067	0.38319423061340246	0.25565189206709343	0.22680495907949114	0.2420387326796856	0.28774005348026904	0.3203143991572806	0.4041001539583502	0.5175431488534155	0.4021554169030062	0.5450935904707884	0.5403938092537072	0.6821975528725387	0.2875779920589904	0.41220322502228346	0.16765254031277854	0.3115630824082327	-0.04173081597925614	0.19098938497690623	0.09018718094157686	-0.30767360829754475	-0.05307511546876266	-0.08808038246495421	0.1243821408313751	0.03524835912810955	0.01758366420873511	0.09310428652459282	0.19730978040677416	0.17186613726602382	0.263106717445912	-0.015638927153391134	-0.027793533749290982	-0.05469572968154931	-0.12454420225265375	0.08986305809901952	-0.06620209059233449	0.04108257029414148	-0.07284660886475974	0.21205736974313263	0.020824892634308402	0.12373389514626043	0.27720606109715584	0.08856656672879021	-0.2917915890122356	0.09942468195446075	-0.1883964022364476	-0.011425330200145856	-0.17705210274694108	-0.07155011749453043	0.5509278016368203	0.38205980066445183	0.5227291143343327	0.48999270723604244	0.237014828620047	-0.019852524106636415	0.09375253220970747	0.11255165707803258	0.4070172595413662	-0.0657159063284985	-0.14156065148691355	-0.2663479458714853	-0.10428652459282067	0.16716635604894256	0.18483105096831698	0.06766064338384248	0.3444615509278016
SoxR	0.4509359047078843	0.39891418847743293	1.0	0.5659995138157362	0.4368365610566405	0.15468762661048538	0.007697917510736569	0.14480187991248683	0.3332793128595738	0.4664938011506361	0.3982659427923183	0.43602625395024713	0.16019771493395998	0.44088809658860706	0.391621424519893	0.2973016773357102	0.26748237582043594	0.5632444696539989	0.447208492018475	0.2708856656672879	0.3165869864678713	0.4023174783242849	0.35726440320881614	0.3849769062474678	0.4548253788185722	0.19439267482375822	0.2974637387569889	0.24446965399886558	0.33603435702131107	0.4021554169030062	0.3120492666720687	0.3011911514463982	0.4908030143424358	0.365529535694028	0.17219026010858116	0.42678875293736324	0.556437889960295	0.19228587634713556	0.11190341139291791	-0.08289441698403695	0.1477189854955028	0.11482051697593387	0.17948302406612107	0.24900737379466817	0.3370067255489831	0.23458390730086703	0.2122194311644113	0.1623045134105826	0.29357426464630093	0.08419090835426626	0.006887610404343246	0.15403938092537073	0.18547929665343166	0.045458228668665425	0.28401264079085975	0.09764200632039544	0.19536504335143018	0.04351349161332145	0.16927315452556518	-0.10185560327364071	-0.13799530021878292	0.21789158090916458	0.1276233692569484	0.21805364233044325	0.36958107122599465	-0.1697593387894012	0.265051454501256	-0.09942468195446075	0.29260189611862897	0.29211571185479296	-0.02601085811522567	0.5446074062069525	0.5664856980795722	0.16959727736812252	0.31318369662101936	0.04756502714528806	-0.2689409286119439	-0.10606920022688598	0.003484320557491289	0.029414147962077627	-0.13750911595494691	-0.2744510169354185	-0.02568673527266834	-0.28077141236528647	-0.05696458957945061	0.03703103476217486	0.024390243902439025	0.18920670934284092
HisR	0.5167328417470222	0.4120411636010048	0.5659995138157362	1.0	0.47686573211247063	0.04173081597925614	-0.09132161089052751	0.31820760068065795	0.5267806498662994	0.4089619965967102	0.47249007373794666	0.3370067255489831	0.36828457985576535	0.2691029900332226	0.2776922453609918	0.35710234178753747	0.36358479863868404	0.49728547119358235	0.6251519325824487	0.47038327526132406	0.1619803905680253	0.25241066364152015	0.36731221132809333	0.3771979580260919	0.4627663884612268	0.3258244874807552	0.08192204845636496	0.3536990519406855	0.3712016854387813	0.37573940523458393	0.34170650676606434	0.36779839559192934	0.35580585041730817	0.34122032250222833	0.3303622072765578	0.3405720768171137	0.338951462604327	0.1935823677173649	0.2746130783566972	0.26002755044161735	0.3561299732598655	0.09942468195446075	0.052913054047484	0.3332793128595738	0.2694271128757799	0.22761526618588446	0.24333522404991492	0.15809091645733733	0.07381897739243173	0.3786565108175999	0.18547929665343166	0.4502876590227696	0.16862490884045053	0.1357264403208816	0.3084839154039381	0.10606920022688598	0.40296572400939956	0.23166680171785106	0.2329632930880804	-0.19455473624503686	0.16489749615104124	0.07819463576695568	0.07738432866056236	0.16992140021067983	0.17899683980228506	0.0862977068308889	0.38205980066445183	0.038813710396240174	0.40717932096264486	0.3084839154039381	-0.10136941900980471	0.4882100316019771	0.3052426869783648	0.12681306215055507	0.08970099667774087	0.12908192204845637	-0.2420387326796856	0.04724090430273074	-0.014828620046997813	0.0020257677659833075	0.28725386921643303	-0.13750911595494691	-0.03557248197066688	-0.26229641033951867	-0.10606920022688598	-0.02114901547686573	-0.0973178834778381	0.10558301596304999
NrdR	0.446722307754639	0.2951948788590876	0.4368365610566405	0.47686573211247063	1.0	0.036544850498338874	0.2323150474029657	0.2603516732841747	0.3078356697188234	0.3982659427923183	0.5147881046916781	0.34673041082570294	0.33797909407665505	0.3840045377197958	0.37330848391540394	0.3642330443237987	0.1806174540150717	0.5335872295600033	0.5094400777894822	0.6112146503524836	0.4549874402398509	0.4423466493801151	0.5134916133214489	0.5390973178834778	0.5180293331172514	0.3554817275747508	0.3601815087918321	0.4292196742565432	0.35450935904707886	0.40993436512438214	0.4971234097723037	0.394538530102909	0.3976176971072036	0.37573940523458393	0.33344137428085246	0.37784620371120653	0.37330848391540394	0.12243740377603111	0.3024876428166275	0.06539178348594117	0.4763795478486346	0.2700753585608946	0.19649947330038084	0.31318369662101936	0.3353861113361964	0.1916376306620209	0.32144882910623124	0.156794425087108	0.23555627582853902	0.37784620371120653	0.09747994489911677	0.3762255894984199	0.12081678956324447	0.10217972611619804	0.08451503119682359	-0.08273235556275829	0.21286767684952598	0.2031439915728061	0.15971153067012397	0.09553520784377278	0.11449639413337655	0.24463171542014422	0.23588039867109634	0.29908435296977554	0.20800583421116603	-0.11433433271209789	0.24041811846689895	-0.010939145936309862	0.3754152823920266	0.35450935904707886	-0.09132161089052751	0.2407422413094563	0.06604002917105584	0.0927801636820355	0.12211328093347379	0.11303784134186856	-0.23782513572644032	0.060205818005023906	0.014990681468276477	0.08078761850741431	0.05145450125597602	-0.12324771088242444	-0.04513410582610809	-0.3849769062474678	-0.04254112308564946	-0.1861275423385463	0.022607568268373714	0.18580341949598897
HutC	0.1660319260999919	0.23215298598168707	0.15468762661048538	0.04173081597925614	0.036544850498338874	1.0	0.4329470869459525	0.2503038651648975	0.35904707884288145	0.3381411554979337	0.35029576209383356	0.3953488372093023	0.2888744834292197	0.47119358236771736	0.3556437889960295	0.5394214407260352	0.4275990600437566	0.29130540474839967	0.32922777732760716	0.41398590065634877	0.28287821084190906	0.28952272911433435	0.4895065229722065	0.17867271695972772	0.1926099991896929	0.5408799935175431	0.23960781136050563	0.2736407098290252	0.1926099991896929	0.3318207600680658	0.42727493720119925	0.367474272749372	0.317721416416822	0.3313345758042298	0.46130783566971884	0.22502228344542582	0.1371849931123896	0.43051616562677253	0.3110768981443967	0.13102665910380035	0.11028279718013127	0.3890284417794344	0.15938740782756664	0.1778624098533344	0.22631877481565513	0.33068633011911513	0.40312778543067823	0.288226237744105	0.3629365529535694	0.2407422413094563	0.3890284417794344	0.1755935499554331	0.16716635604894256	0.2613240418118467	0.12908192204845637	0.26877886719066524	0.09991086621829673	0.05907138805607325	0.237014828620047	0.36407098290252005	0.004456689085163277	0.263106717445912	0.07252248602220242	0.1883964022364476	0.19131350781946357	-0.09747994489911677	-0.024552305323717688	0.30702536261243013	0.020500769791751073	0.11514463981849121	-0.4023174783242849	-0.019366339842800423	0.05664046673689328	0.06976744186046512	0.06766064338384248	0.07349485454987441	0.049347702779353374	-0.09148367231180618	0.031683007859978934	0.2801231666801718	-0.11498257839721254	0.05048213272830403	0.12195121951219512	0.29649137022931693	-0.1439915728060935	-0.08240823272020095	0.03557248197066688	-0.02844177943440564
SahR_SamR	0.15014990681468277	0.18142776112146503	0.007697917510736569	-0.09132161089052751	0.2323150474029657	0.4329470869459525	1.0	0.16862490884045053	0.15630824082327202	0.43229884126083784	0.48221375901466657	0.23458390730086703	0.37752208086864925	0.3117251438295114	0.33198282148934444	0.4549874402398509	0.34122032250222833	0.27671987683331983	0.3092942225103314	0.4692488453123734	0.48610323312535453	0.38805607325176245	0.5694028036625881	0.4165788833968074	0.2689409286119439	0.3514301920427842	0.44558787780568837	0.2425249169435216	0.3444615509278016	0.24576614536909488	0.606190746292845	0.5386111336196419	0.3827080463495665	0.32112470626367395	0.3395997082894417	0.16246657483186128	0.30443237987197147	0.4844826189125679	0.31334575804229803	0.013856251519325824	0.14334332712097886	0.3024876428166275	0.2836885179483024	0.10201766469491938	0.10995867433757395	0.19034113929179158	0.4434810793290657	0.13750911595494691	0.1298922291548497	0.32874159306377115	0.19682359614293818	0.010128838829916538	0.1793209626448424	0.0007292763957539907	0.13475407179320964	0.12195121951219512	-0.03524835912810955	0.07819463576695568	-0.016773357102341787	0.3849769062474678	0.2438214083137509	0.30832185398265943	0.017259541366177782	0.049671825621910706	0.37557734381330526	0.05226480836236934	0.057612835264565274	0.015638927153391134	0.07932906571590632	-0.005104934770277935	-0.5227291143343327	-0.17348675147881046	-0.0012154606595899846	0.026983226642897658	0.06604002917105584	-0.0712259946519731	-0.07916700429462767	-0.2425249169435216	0.07446722307754639	-0.013045944412932501	-0.1298922291548497	0.1234097723037031	-0.0013775220808686492	-0.049347702779353374	-0.18142776112146503	-0.02601085811522567	0.15079815249979742	-0.09034924236285552
CcpA	0.25419333927558546	0.3533749290981282	0.14480187991248683	0.31820760068065795	0.2603516732841747	0.2503038651648975	0.16862490884045053	1.0	0.6214245198930395	0.43278502552467385	0.5938740782756665	0.4567701158739162	0.4527185803419496	0.4880479701806985	0.4019933554817276	0.5382870107770845	0.44267077222267237	0.4697350295762094	0.33295519001701646	0.45077384328660564	0.35353699051940685	0.37411879102179724	0.5512519244793777	0.34673041082570294	0.3942144072603517	0.13556437889960296	0.079004942873349	0.01823190989384977	0.1705696458957945	0.29260189611862897	0.3605056316343894	0.2762336925694838	0.338951462604327	0.17267644437241714	0.35775058747265215	0.392107608783729	0.2535450935904708	0.15987359209140264	0.444291386435459	0.21157118547929665	0.3240418118466899	0.15403938092537073	-0.04837533425168139	0.12081678956324447	0.13280933473786566	0.3519163763066202	0.34673041082570294	0.005591119034113929	0.020824892634308402	0.37946681792399317	0.39000081030710637	0.2595413661777814	0.21205736974313263	0.045458228668665425	0.28709180779515436	0.1710558301596305	0.13216108905275098	0.0033222591362126247	0.07025362612430111	-0.11417227129081922	0.16668017178510655	0.004780811927720606	-0.13783323879750425	0.27477513977797585	0.09132161089052751	0.21448829106231262	0.31318369662101936	0.23312535450935903	0.24446965399886558	0.3958350214731383	0.1289198606271777	0.12178915809091646	0.05485779110282797	0.3569402803662588	0.15063609107851875	0.11708937687383518	-0.15906328498500932	0.008670286038408557	0.027145288064176324	-0.0817599870350863	-0.07284660886475974	-0.08889068957134755	-0.1459363098614375	0.12810955352078437	-0.15533587229560003	-0.5472003889474111	-0.13750911595494691	0.042217000243092134
PaaR	0.4473705534397537	0.4078275666477595	0.3332793128595738	0.5267806498662994	0.3078356697188234	0.35904707884288145	0.15630824082327202	0.6214245198930395	1.0	0.31561461794019935	0.5828539016287173	0.604732193501337	0.5789644275180293	0.5235394214407261	0.4280852443075926	0.5034438052021716	0.5131674904788915	0.5319666153472166	0.4932339356616158	0.5711854792966534	0.31383194230613404	0.3890284417794344	0.5650271452880642	0.4173891905032007	0.5363422737217406	0.3532128676768495	0.23004618750506442	0.45336682602706424	0.11368608702698323	0.2721821570375172	0.27023741998217327	0.2770439996758772	0.41868568187343	0.42419577019690463	0.5634065310752775	0.4160926991329714	0.3446236123490803	0.3016773357102342	0.34608216514058826	0.4604975285633255	0.5750749534073414	0.36034357021311075	0.12681306215055507	0.3828701077708451	0.25241066364152015	0.444291386435459	0.45207033465683494	0.0862977068308889	-0.05048213272830403	0.44656024633336033	0.4760554250060773	0.34105826108094967	0.11174134997163924	0.2681306215055506	0.48739972449558383	0.052102746941090676	0.13248521189530832	0.1357264403208816	0.2196742565432299	-0.056802528158171946	0.1028279718013127	-0.002349890608540637	0.06717445912000648	0.1976339032493315	0.04821327283040272	0.15792885503605866	0.1765659184831051	0.20087513167490478	0.45839073008670284	0.33927558544688435	-0.16489749615104124	0.12195121951219512	0.11984442103557248	-0.006239364719228588	0.054371606838991976	0.19633741187910217	-0.2757475083056478	-0.11319990276314723	-0.055181913945385304	-0.04578235151122275	0.07641196013289037	-0.3692569483834373	-0.2632687788671907	-0.02114901547686573	-0.08937687383518353	-0.4353780082651325	-0.13135078194635766	-0.019528401264079086
Rex	0.4144720849201847	0.448667044809983	0.4664938011506361	0.4089619965967102	0.3982659427923183	0.3381411554979337	0.43229884126083784	0.43278502552467385	0.31561461794019935	1.0	0.6462199173486751	0.35078194635766957	0.39372822299651566	0.42824730572887126	0.5125192447937769	0.5882019285309132	0.42824730572887126	0.5993841665991411	0.5833400858925533	0.38886638035815574	0.4214407260351673	0.49923020824892633	0.5716716635604894	0.27428895551413984	0.34656834940442427	0.37509115954946926	0.3034600113442995	0.21983631796450856	0.4269508143586419	0.545255651892067	0.6713394376468682	0.4248440158820193	0.36958107122599465	0.312859573778462	0.3752532209707479	0.1926099991896929	0.36715014990681466	0.14010209869540555	0.29162952759095695	-0.03054857791102828	0.1670042946276639	0.15857710072117331	0.1866137266023823	0.2572725062798801	0.24965561947978285	0.22502228344542582	0.38627339761769713	0.24722469816060286	0.3721740539664533	0.264079085973584	0.47184182805283204	0.39372822299651566	0.2937363260675796	0.09942468195446075	0.3656915971153067	0.15987359209140264	0.19730978040677416	0.12130297382708047	0.27850255246738514	-0.042217000243092134	0.2653755773438133	0.04659265861761608	0.12470626367393242	0.2415525484158496	0.341382383923507	0.16214245198930394	0.35094400777894824	0.11157928855036059	0.1279474920995057	0.17332469005753182	-0.2966534316505956	0.3363584798638684	0.3446236123490803	0.2425249169435216	0.21853982659427923	0.13880560732517624	-0.011425330200145856	0.0895389352564622	0.12357183372498177	0.12956810631229235	0.010290900251195202	0.04675472003889474	0.13767117737622558	-0.04497204440482943	-0.20460254436431408	-0.08435296977554493	0.1765659184831051	0.37152580828133863
