	AcnR	GguR	CsoR	MetJ	PurR	LtbR	NnrR	CblR	FixJ	ModE	NsrR	ThiR	ArgR	NrtR	SahR_SamR	MetR	FUR	Zur	KdgR	NrdR	Phr	MntR	NagC	AgaR	CzrA	IscR	RbkR	HutC	PdxR	NagQ	Rex	LldR	BirA	PsrA	NifA	LexA	SoxR	NagR	PhnF	ZntR	AmtR	CcpA	NmlR	SdaR	NiaR	RbsR	GntR	NorR	GlcC	HrcA	CueR	RutR	HexR	PaaR	NtrC	PhnR	ExuR_UxuR	TyrR	NikR	LiuQ	MerR	PdhR	FabR	HypR	PhrR	XylR	HisR	TrpR	NadQ	PhsR	HcpR	NarP	AraR	GulR	LiuR	TtrR	CadR-PbrR	Irr	BioQ	VanR	FruR	SiaR	FadP	DasR	PrpR	FadR	FnrN_FixK	QorR
AcnR	1.0	0.22062400846113167	-0.11099947117927023	0.13870967741935483	-0.10412480169222633	-0.1775251189846642	-0.060655737704918035	-0.013220518244315178	-0.019672131147540985	-0.040613432046536224	-0.15388683236382866	-0.12035959809624537	-0.24463246959280804	-0.13395029085140137	-0.15388683236382866	-0.11390798519301956	-0.004653622421998942	0.006081438392384982	-0.2535695399259651	-0.1891062929666843	-0.2368588048651507	-0.12157588577472236	-0.16467477525118984	-0.0873611845584347	-0.16869381279746165	-0.06842940243257535	-0.15965097831835007	-0.10586991010047594	-0.10914859862506611	0.013907985193019567	-0.2125330512956108	-0.033315705975674244	0.14082496033844527	0.05055526176626124	-0.03807509254362771	-0.09450026441036488	-0.07049180327868852	-0.05896351136964569	0.021998942358540455	-0.16779481755684822	-0.20433632998413537	-0.39693283976731886	0.16885245901639345	-0.13680592279217346	-0.13490216816499206	-0.04933897408778424	-0.08122686409307245	0.015388683236382867	-0.040560549973558964	-0.01565309360126917	0.08767847699629826	0.1341618191433104	-0.16885245901639345	-0.030195663670015863	0.09238498149127446	0.09439450026441036	0.09148598625066102	0.014542570068746695	0.15013220518244316	-0.11200423056583818	-0.07932310946589106	0.0015864621893178213	-0.16858804865150714	-0.17636171337916445	-0.03659439450026441	-0.13157059756742465	-0.18106821787414068	-0.12242199894235854	0.15457429931253305	-0.012797461660497092	-0.13236382866208354	-0.05240613432046536	-0.02834479111581174	0.17810682178741408	-0.2205711263881544	-0.046747752511898465	0.1410364886303543	-0.19444738233738762	-0.12591221575885775	-0.1053939714436806	0.051983077736647273	0.0028027498677948176	0.01718667371760973	-0.03945002644103649	-0.002168164992067689	-0.04040190375462718	0.047435219460602855	-0.052829190904283445
GguR	0.22062400846113167	1.0	0.11782125859333686	0.05018508725542041	-0.09053410893707034	-0.10380750925436277	-0.18297197250132205	-0.17609730301427817	0.05103120042305658	-0.03675304071919619	-0.02088841882601798	-0.10423056583818086	-0.14992067689053412	-0.0663670015864622	-0.09132734003172924	-0.03199365415124273	-0.13913273400317291	-0.165520888418826	-0.0656795346377578	-0.14309888947646748	-0.054098360655737705	-0.10095187731359069	-0.17017451084082497	-0.15145425700687468	-0.08794288736118455	-0.028926493918561606	-0.06388154415653094	-0.03574828133262824	-0.03252247488101533	-0.003966155473294554	-0.11607615018508725	-0.024960338445267054	-0.05108408249603384	-0.17948175568482286	0.0031729243786356425	-0.05711263881544157	0.2798519301956637	-0.035378106821787415	0.11258593336858805	-0.047964040190375465	-0.06234796404019038	-0.11824431517715495	-0.08619777895293496	0.08191433104177684	0.021047065044949763	-0.048810153358011636	0.1	0.12670544685351665	-0.2318878900052882	-0.18952934955050238	0.0651507139079852	-0.02020095187731359	-0.021311475409836064	-0.04584875727128503	-0.07567424643046007	0.14230565838180856	0.07620306716023269	-0.07244843997884717	-0.2566367001586462	-0.2098360655737705	-0.15351665785298785	-0.23442622950819672	-0.12818614489687996	-0.028873611845584346	0.02601797990481227	0.30523532522474883	-0.10052882072977261	-0.09635113696456901	-0.05965097831835008	0.16430460074034903	-0.13696456901110524	0.13220518244315177	0.1224748810153358	0.2013749338974088	0.1130618720253834	0.1291909042834479	0.21470121628767846	0.16573241671073505	-0.08244315177154944	0.06446324695928081	0.06292966684294024	0.10856689582231624	-0.12998413537810682	-0.06694870438921206	0.0668958223162348	-0.02755156002115283	-0.1615018508725542	-0.16710735060814383
CsoR	-0.11099947117927023	0.11782125859333686	1.0	0.15780010576414596	-0.013643574828133264	-0.09180327868852459	-0.013802221047065045	-0.12924378635642517	0.10343733474352194	-0.05780010576414595	-0.06203067160232681	-0.16033844526705446	-0.04405076679005817	-0.1500793231094659	-0.12792173453199365	-0.10142781597038604	-0.03305129561078794	-0.05171866737176097	-0.1745637228979376	-0.1808566895822316	-0.21850872554204126	-0.055473294553146486	-0.2297726070861978	-0.048704389212057116	-0.25690111052353254	-0.09349550502379693	-0.03220518244315177	0.02310946589106293	0.12480169222633528	0.13141195134849287	0.03262823902696986	0.05066102591221576	-0.07477525118984664	-0.09016393442622951	-0.21343204653622422	-0.21401374933897407	0.10052882072977261	-0.19740877842411422	-0.08482284505552617	-0.12310946589106293	-0.13611845584346907	-0.21649920676890533	-0.17488101533580117	0.1379693283976732	0.2714436805922792	0.0024325753569539926	0.14410364886303542	-0.0663670015864622	-0.07477525118984664	0.32189317821258595	-0.059545214172395555	0.05050237969328398	0.05605499735589635	-0.03870967741935484	-0.026758328926493918	-0.16927551560021153	0.04299312533051296	-0.04992067689053411	0.12607086197778952	-0.013379164463246959	0.01787414066631412	-0.18593336858804865	-0.0837123215230037	-0.07265996827075621	0.08355367530407191	-0.06953992596509784	-0.035959809624537285	-0.0021152829190904283	-0.1083553675304072	-0.1261237440507668	-0.086409307244844	-0.1207297726070862	0.21840296139608673	0.1457429931253305	0.2773664727657324	0.04331041776837652	0.07879428873611846	0.154362771020624	0.19344262295081968	0.12295081967213115	0.098783712321523	-0.18202009518773135	-0.10703331570597567	-0.24124801692226336	-0.222104706504495	0.060920148069804336	-5.288207297726071e-05	-0.053410893707033315
MetJ	0.13870967741935483	0.05018508725542041	0.15780010576414596	1.0	-0.08804865150713909	0.010735060814383924	-0.05251189846641988	-0.3162876784769963	-0.06504494976203067	-0.02755156002115283	-0.17519830777366474	-0.2222104706504495	-0.27054468535166576	-0.20111052353252248	-0.12882072977260708	-0.027921734531993654	-0.13061872025383395	-0.020782654680063458	-0.3057641459545214	-0.4033844526705447	-0.08762559492332099	-0.17297726070861977	-0.18799576943416182	-0.04484399788471708	0.07181385510312004	0.002908514013749339	-0.23569539925965097	0.071602326811211	0.046800634584875725	-0.03892120571126388	-0.17995769434161818	0.11448968799576943	-0.10549973558963512	0.09101004759386568	-0.10301427815970386	-0.11496562665256478	-0.11390798519301956	-0.23035430988894764	-0.24087784241142252	-0.15362242199894235	-0.153146483342147	-0.155579058699101	0.26536224219989424	0.016181914331041776	0.00830248545742993	0.07757800105764145	-0.10200951877313591	0.035219460602855635	0.13722897937599154	0.06589106292966684	0.21665785298783713	0.011951348492860921	0.1434690639873083	0.22501322051824432	0.1321523003701745	0.041882601797990485	-0.034214701216287675	0.2234267583289265	0.23067160232681122	0.013326282390269699	0.1399788471708091	0.03913273400317292	-0.0884188260179799	0.11491274457958751	0.06927551560021153	-0.07028027498677948	-0.42929666842940245	-0.296351136964569	-0.18254891591750397	-0.06240084611316764	-0.3460074034902168	-0.26493918561607616	0.07414066631411952	0.27276573241671076	-0.04849286092014807	0.17234267583289264	-0.18704389212057113	-0.0370174510840825	0.05515600211528292	0.03246959280803807	0.11946060285563194	0.023532522474881017	0.016129032258064516	-0.06361713379164463	0.07768376520359598	0.22416710735060813	0.3	0.08514013749338974
PurR	-0.10412480169222633	-0.09053410893707034	-0.013643574828133264	-0.08804865150713909	1.0	0.1761501850872554	0.04489687995769434	0.1804865150713908	-0.09936541512427287	-0.2884188260179799	-0.2828662083553675	-0.1663670015864622	-0.012004230565838181	-0.15293495505023796	-0.18313061872025382	-0.29545214172395556	-0.1872025383395029	-0.0982548915917504	-0.09545214172395558	-0.24019037546271813	-0.286409307244844	-0.18080380750925437	-0.036012691697514546	-0.08984664198836595	-0.13442622950819672	-0.19804336329984135	-0.1370174510840825	-0.27392913802221047	-0.13897408778424114	-0.07033315705975675	-0.12263352723426758	-0.27731359069275513	-0.30946589106292965	-0.2215230037017451	-0.3962453728186145	-0.08313061872025383	0.012321523003701745	-0.2118455843469064	-0.1928609201480698	0.0011105235325224749	-0.09910100475938657	-0.06753040719196192	-0.006927551560021153	0.06853516657852989	-0.22337387625594923	-0.09317821258593337	-0.0792702273929138	-0.04992067689053411	-0.05668958223162348	-0.23204653622422	-0.23262823902696986	-0.01263881544156531	-0.10190375462718139	-0.052776308831306185	0.01560021152829191	-0.027234267583289264	-0.2857218402961396	-0.30904283447911157	-0.1496562665256478	-0.32215758857747223	-0.09175039661554733	-0.06382866208355367	-0.08725542041248018	-0.03976731887890005	-0.0884188260179799	-0.11956636700158646	-0.0911158117398202	-0.03125330512956108	-0.24013749338974089	0.01718667371760973	0.005869910100475939	-0.1348492860920148	-0.08365943945002643	-0.18635642517186674	-0.17340031729243785	-0.18429402432575356	0.1380750925436277	-0.1757800105764146	-0.15674246430460073	0.0785827604442094	-0.11147540983606558	-0.1483342147012163	-0.2591221575885775	0.2760444209413009	-0.0662083553675304	0.09101004759386568	0.0609730301427816	0.1881544156530936
LtbR	-0.1775251189846642	-0.10380750925436277	-0.09180327868852459	0.010735060814383924	0.1761501850872554	1.0	0.3339502908514014	0.1861448968799577	0.05124272871496563	0.027075621364357483	0.0328397673188789	-0.08995240613432047	0.12501322051824432	0.027868852459016394	-0.03818085668958223	0.019725013220518246	-0.0928609201480698	0.0032258064516129032	0.24029613960867266	-0.004019037546271814	0.09656266525647805	0.1267583289264939	0.259227921734532	0.14516129032258066	0.18699101004759386	0.13765203595980963	-0.027763088313061873	0.03231094658910629	0.14119513484928609	0.07763088313061872	-0.0020624008461131676	0.012374405076679007	0.05806451612903226	-0.14960338445267055	-0.15066102591221575	-0.08688524590163935	-0.03225806451612903	-0.024114225277630883	-0.025859333685880486	-0.024061343204653623	0.055420412480169226	0.2434690639873083	-0.02088841882601798	-0.05092543627710206	-0.23046007403490218	-0.13305129561078793	-0.005288207297726071	0.08625066102591221	-0.033950290851401374	0.03638286620835537	-0.013537810682178741	0.09645690111052353	0.03442622950819672	-0.040930724484399786	-0.006557377049180328	-0.31380222104706507	-0.03786356425171867	-0.19666842940243257	-0.11671073506081438	-0.09994711792702274	-0.1763088313061872	0.008778424114225278	0.08487572712850344	0.10650449497620307	0.2309360126916975	0.02765732416710735	0.06261237440507668	0.08635642517186674	0.04838709677419355	0.06641988365943945	-0.10301427815970386	0.015018508725542041	0.16171337916446324	0.0550502379693284	0.14717080909571656	-0.10777366472765733	-0.06425171866737175	-0.14383923849814914	0.002749867794817557	-0.023320994182971972	-0.1481755684822845	0.025859333685880486	-0.088841882601798	-0.2729772607086198	-0.05557905869910101	-0.06879957694341618	0.09021681649920676	0.18799576943416182
NnrR	-0.060655737704918035	-0.18297197250132205	-0.013802221047065045	-0.05251189846641988	0.04489687995769434	0.3339502908514014	1.0	0.28313061872025386	0.10962453728186144	-0.10137493389740877	-0.05187731359069275	-0.09159175039661555	-0.023796932839767318	-0.13659439450026442	-0.16668429402432575	-0.13183500793231095	-0.101216287678477	-0.09534637757800106	-0.014489687995769435	-0.10232681121099947	-0.07265996827075621	-0.10798519301956637	0.0033844526705446853	0.048704389212057116	-0.06171337916446325	-0.017768376520359598	-0.07562136435748282	-0.1141195134849286	0.07562136435748282	-0.0709148598625066	-0.046536224219989424	-0.08175568482284505	-0.0990481226864093	-0.1301427815970386	-0.18974087784241142	-0.07128503437334743	-0.009571655208884188	-0.17054468535166578	-0.10565838180856689	-0.005235325224748811	-0.044420941300899	-0.016076150185087255	-0.07382337387625595	-0.06668429402432575	-0.012797461660497092	-0.11015335801163406	0.1083553675304072	0.1022739291380222	0.07213114754098361	0.16414595452141725	-0.35415124272871495	-0.14394500264410365	-0.11374933897408779	-0.07371760973030143	-0.042728714965626656	-0.23172924378635643	-0.040613432046536224	-0.20650449497620307	-0.05018508725542041	-0.13839238498149128	-0.24177683765203595	0.07636171337916446	-0.01872025383395029	0.19169751454257006	-0.0807509254362771	0.02453728186144897	0.12067689053410893	0.058699101004759384	-0.10846113167636172	0.06589106292966684	0.07868852459016394	0.047646747752511896	0.06663141195134849	0.18551031200423057	-0.017503966155473293	-0.19307244843997884	0.010153358011634056	-0.07377049180327869	0.17990481226864094	0.030883130618720254	-0.12564780539397144	0.14759386567953464	-0.042147012162876786	-0.03955579058699101	-0.01121099947117927	-0.08281332628239027	0.13437334743521945	0.07414066631411952
CblR	-0.013220518244315178	-0.17609730301427817	-0.12924378635642517	-0.3162876784769963	0.1804865150713908	0.1861448968799577	0.28313061872025386	1.0	0.35700687466948705	-0.16409307244843999	-0.08450555261766261	0.040666314119513484	-0.05663670015864622	-0.09957694341618191	-0.21782125859333687	-0.320888418826018	-0.07445795875198308	-0.16679005817028028	0.05452141723955579	-0.08228450555261767	-0.2435748281332628	-0.0792702273929138	0.0965097831835008	-0.019143310417768376	-0.028397673188789	-0.16805922792173453	0.08392384981491274	-0.359227921734532	-0.0375462718138551	0.11760973030142782	0.10232681121099947	-0.0031729243786356425	-0.05716552088841883	-0.1878900052882073	-0.4127445795875198	-0.04029613960867266	-0.1808566895822316	-0.2936541512427287	-0.0508725542041248	-0.01956636700158646	0.010047593865679535	-0.1790058170280275	-0.1453728186144897	-0.15055526176626124	-0.0659439450026441	0.08402961396086726	-0.013696456901110524	-0.08720253833950291	0.07260708619777895	0.035483870967741936	-0.02242199894235854	0.033368588048651504	0.020306716023268112	0.0659439450026441	-0.08503437334743522	-0.11930195663670017	-0.13209941829719726	-0.2417239555790587	-0.2351136964569011	-0.059968270756213644	-0.16938127974616604	0.09307244843997885	0.22876784769962982	0.1553146483342147	-0.17964040190375463	-0.05700687466948704	0.14865150713907985	0.31369645690111053	-0.00962453728186145	0.09275515600211529	0.3082496033844527	0.2978847170809096	0.05182443151771549	-0.08593336858804865	-0.05256478053939714	-0.2631411951348493	0.0017451084082496034	-0.09598096245372818	0.2629296668429402	-0.005235325224748811	-0.16345848757271286	-0.09201480698043363	-0.277683765203596	0.024325753569539928	-0.09576943416181914	-0.06964569011105236	-0.00893707033315706	0.017715494447382338
FixJ	-0.019672131147540985	0.05103120042305658	0.10343733474352194	-0.06504494976203067	-0.09936541512427287	0.05124272871496563	0.10962453728186144	0.35700687466948705	1.0	-0.11644632469592808	-0.09534637757800106	-0.12765732416710734	-0.27181385510312006	-0.25790586991010045	-0.3130618720253834	-0.2602855631940772	-0.16451612903225807	-0.26922263352723425	-0.09809624537281861	-0.22184029613960868	-0.4501322051824432	-0.2809624537281861	-0.3410364886303543	-0.299788471708091	-0.19307244843997884	-0.1400846113167636	-0.07324167107350608	-0.09957694341618191	0.02141723955579059	0.025118984664198835	-0.17250132205182442	-0.15658381808566896	-0.29465891062929667	-0.21618191433104178	-0.3769962982548916	-0.07911158117398202	-0.20084611316763618	-0.2857747223691169	-0.11470121628767847	-0.08741406663141195	-0.27842411422527763	-0.18011634056054998	-0.04452670544685352	0.044420941300899	0.11792702273929138	0.11686938127974617	0.06240084611316764	0.05150713907985193	-0.015071390798519302	-0.01411951348492861	0.023638286620835537	-0.1550502379693284	-0.16684294024325755	0.0461660497091486	-0.166737176097303	-0.24013749338974089	-0.22527763088313063	-0.3204653622421999	-0.07154944473823374	-0.13696456901110524	-0.3195134849286092	0.07139079851930195	0.07488101533580116	0.051983077736647273	-0.05642517186673718	-0.10243257535695399	-0.010153358011634056	0.1368588048651507	-0.11792702273929138	-0.2317821258593337	0.10999471179270227	0.32786885245901637	0.2748281332628239	-0.005499735589635114	0.02321523003701745	-0.0765732416710735	0.21099947117927023	0.0038603913273400317	0.2518244315177155	0.07847699629825489	0.16187202538339504	-0.12834479111581173	-0.15214172395557907	-0.16536224219989423	-0.005869910100475939	-0.22194606028556318	-0.186409307244844	-0.177683765203596
ModE	-0.040613432046536224	-0.03675304071919619	-0.05780010576414595	-0.02755156002115283	-0.2884188260179799	0.027075621364357483	-0.10137493389740877	-0.16409307244843999	-0.11644632469592808	1.0	0.6899524061343205	0.5967741935483871	0.6589635113696457	0.749709148598625	0.6687466948704389	0.7023796932839768	0.6175039661554733	0.7062400846113167	0.5793759915388683	0.5404547858276044	0.6167107350608144	0.6388154415653093	0.594923320994183	0.5444738233738763	0.699788471708091	0.6225806451612903	0.5115811739820201	0.5515071390798519	0.6704918032786885	0.610946589106293	0.6498149127445796	0.4974616604970915	0.602432575356954	0.621099947117927	0.3158646218931782	0.42014806980433633	0.3910629296668429	0.46319407720782657	0.35166578529878373	0.2905869910100476	0.4114225277630883	0.27609730301427815	0.2607086197778953	0.42971972501322053	0.3697514542570069	0.3430988894764675	0.3264939185616076	0.4117398202009519	0.33463775780010574	0.388841882601798	0.37546271813855103	0.33828662083553673	0.4848228450555262	0.303648863035431	0.3744050766790058	0.3131676361713379	0.4285034373347435	0.41993654151242726	0.2546800634584876	0.28011634056054996	0.19249074563722898	0.3985193019566367	0.4399788471708091	0.34854574299312535	0.3371760973030143	0.3965097831835008	0.3509783183500793	0.35737704918032787	0.28508725542041247	0.09444738233738763	0.0627181385510312	0.19767318878900053	0.25214172395557904	0.3847699629825489	0.21406663141195134	0.22675832892649392	0.30031729243786354	0.30428344791115813	0.15510312004230567	0.2364886303543099	0.00015864621893178213	0.017028027498677947	0.34436805922792174	0.09227921734531994	0.11946060285563194	0.0985193019566367	0.18598625066102592	0.28397673188789
