	NagQ	NtrC	RbsR	ZntR	PhrR	LiuR	RbkR	NikR	NagR	HrcA	RutR	FnrN_FixK	HcpR	SiaR	GntR	LtbR	CueR	NarP	FruR	LiuQ	FabR	PhnF	SdaR	PhsR	AmtR	QorR	PhnR	HexR	TyrR	CcpA	PaaR	AraR	BirA	Zur	MntR	PurR	ThiR	NadQ	KdgR	NagC	NiaR	MerR	Rex	HisR	ModE	CzrA	IscR	LldR	NsrR	Phr	CadR-PbrR	FUR	NrtR	MetR	ArgR	LexA	SoxR	NrdR	XylR	NnrR	CsoR	PdhR	AgaR	CblR	Irr	PrpR	PsrA	PdxR	TrpR	HutC	VanR	GlcC	SahR_SamR	DasR	MetJ	ExuR_UxuR	HypR	FadR	AcnR	BioQ	GulR	TtrR	FadP	FixJ	NorR	GguR	NifA	NmlR
NagQ	1.0	0.6216826651609261	0.5527950310559007	0.5900621118012422	0.4782608695652174	0.5663466967814794	0.4376058723884811	0.3201581027667984	0.2885375494071146	0.023150762281197064	0.47035573122529645	0.23094297007340486	0.25691699604743085	0.029926595143986448	0.46809712027103334	0.251270468661773	0.25804630152456237	0.3111236589497459	0.055900621118012424	0.13608130999435347	-0.024280067758328628	0.12704686617730096	0.30773574251835123	0.2987012987012987	0.1981931112365895	0.2106154714850367	0.5076228119706381	0.6261998870694523	0.6341050254093732	0.07284020327498589	0.26256352343308864	0.20609824957651043	0.21287408243929984	0.44551101072840205	0.32806324110671936	0.41727837380011296	0.5189158667419537	0.3427442123094297	0.3856578204404291	0.4613212874082439	-0.009599096555618294	0.2264257481648786	0.1541501976284585	0.14511575381140598	0.36984754376058726	-0.055900621118012424	0.014116318464144552	-0.13608130999435347	0.27498588368153587	0.2761151891586674	0.35177865612648224	0.21852060982495766	0.30547713156408807	0.000564652738565782	-0.042348955392433656	0.11914172783738002	0.3178994918125353	0.15640880858272163	0.11349520045172219	0.15302089215132694	0.2456239412761152	0.4647092038396386	-0.3845285149632976	-0.2388481084133258	-0.10559006211180125	-0.057029926595143984	0.49407114624505927	0.2919254658385093	0.44438170525127046	0.365330321852061	0.19480519480519481	0.2523997741389046	0.28176171654432525	-0.057029926595143984	0.22755505364201017	-0.09316770186335403	-0.26256352343308864	-0.25917560700169395	-0.2365894974590627	-0.4025974025974026	-0.49632975719932243	-0.29079616036137773	-0.3450028232636928	-0.163184641445511	0.025409373235460192	0.043478260869565216	0.1259175607001694	0.26256352343308864
NtrC	0.6216826651609261	1.0	0.6533032185206098	0.717673630717109	0.30434782608695654	0.4839073969508752	0.5381140598531903	0.2919254658385093	0.5166572557876906	0.26030491247882553	0.515527950310559	0.5550536420101637	0.4105025409373235	0.07961603613777526	0.6883116883116883	0.2862789384528515	0.42518351214003386	0.37888198757763975	0.36645962732919257	0.2727272727272727	0.18690005646527386	0.24110671936758893	0.14059853190287974	0.14511575381140598	0.42857142857142855	0.18351214003387917	0.5121400338791643	0.45115753811405984	0.6589497459062676	0.2230378317334839	0.2930547713156409	0.32806324110671936	0.3675889328063241	0.4850367024280068	0.37888198757763975	0.34726143421795597	0.18351214003387917	0.39469226425748166	0.3800112930547713	0.28514963297571994	0.10897797854319594	0.44551101072840205	0.339356295878035	0.21739130434782608	0.4647092038396386	-0.017504234895539244	0.009599096555618294	0.031055900621118012	0.17221908526256352	0.12365894974590627	0.31225296442687744	0.16544325239977414	0.11801242236024845	-0.1281761716544325	-0.018633540372670808	0.05815923207227555	0.47035573122529645	0.10897797854319594	0.38114059853190285	0.06267645398080181	0.04009034443817053	0.27837380011293056	-0.3890457368718238	-0.2264257481648786	0.15753811405985318	0.0818746470920384	0.4409937888198758	0.4150197628458498	0.2761151891586674	0.3642010163749294	0.1067193675889328	0.2987012987012987	0.08300395256916997	-0.025409373235460192	0.05928853754940711	0.15866741953698477	0.17447769621682666	-0.15753811405985318	-0.3020892151326934	-0.35742518351214003	-0.525691699604743	-0.12365894974590627	-0.1789949181253529	-0.2264257481648786	-0.12478825522303783	0.3201581027667984	0.09090909090909091	0.1665725578769057
RbsR	0.5527950310559007	0.6533032185206098	1.0	0.831733483907397	0.3427442123094297	0.5324675324675324	0.5878035008469791	0.4082439299830604	0.5053642010163749	0.46696781479390176	0.5019762845849802	0.3856578204404291	0.4579333709768492	0.22529644268774704	0.44438170525127046	0.21174477696216826	0.20383963862224733	0.2941840767927724	0.20271033314511575	0.13156408808582723	0.33258046301524563	0.35177865612648224	0.18125352907961603	0.14963297571993225	0.6623376623376623	0.3416149068322981	0.5290796160361377	0.7820440429136082	0.7605872388481084	0.3743647656691135	0.4500282326369283	0.4771315640880858	0.48842461885940147	0.4647092038396386	0.5098814229249012	0.5618294748729531	0.3845285149632976	0.33145115753811405	0.3800112930547713	0.2264257481648786	0.2365894974590627	0.2354601919819311	0.11236589497459062	0.43195934500282324	0.44664031620553357	0.05815923207227555	0.21852060982495766	0.15866741953698477	0.30547713156408807	0.24110671936758893	0.41953698475437606	0.16770186335403728	0.1101072840203275	-0.15640880858272163	0.04686617730095991	-0.023150762281197064	0.29757199322416716	0.3145115753811406	0.17221908526256352	-0.26256352343308864	0.0378317334839074	0.07058159232072275	-0.26256352343308864	-0.0942970073404856	-0.019762845849802372	0.2896668548842462	0.42970073404856013	0.30321852060982496	0.2964426877470356	0.23771880293619424	0.22981366459627328	0.23997741389045738	-0.00282326369282891	0.11688311688311688	0.39469226425748166	0.23094297007340486	0.22529644268774704	-0.07058159232072275	-0.2715979672501412	-0.42405420666290233	-0.46809712027103334	-0.2727272727272727	-0.11914172783738002	-0.639751552795031	-0.10784867306606437	0.11349520045172219	-0.033314511575381144	-0.09994353472614342
ZntR	0.5900621118012422	0.717673630717109	0.831733483907397	1.0	0.37888198757763975	0.5302089215132694	0.49632975719932243	0.47035573122529645	0.4748729531338227	0.35064935064935066	0.42405420666290233	0.4590626764539808	0.49294184076792774	0.15866741953698477	0.37662337662337664	0.17447769621682666	0.20948616600790515	0.32580463015245625	0.2523997741389046	0.21174477696216826	0.2140033879164314	0.2761151891586674	0.1756070016939582	0.0502540937323546	0.6250705815923208	0.3800112930547713	0.4624505928853755	0.6239412761151891	0.771880293619424	0.30660643704121965	0.453416149068323	0.42405420666290233	0.5403726708074534	0.4330886504799548	0.4658385093167702	0.45115753811405984	0.30547713156408807	0.25578769057029926	0.21287408243929984	0.20609824957651043	0.22416713721061546	0.32919254658385094	0.17447769621682666	0.27498588368153587	0.453416149068323	0.07961603613777526	0.21513269339356295	0.08526256352343309	0.22416713721061546	0.22190852625635235	0.4184076792772445	0.2738565782044043	0.10784867306606437	-0.09203839638622248	-0.010728402032749858	-0.10559006211180125	0.18351214003387917	0.05138339920948617	0.032185206098249576	-0.11575381140598531	0.13608130999435347	0.21626199887069453	-0.35177865612648224	-0.14059853190287974	-0.08752117447769622	0.06041784302653868	0.3427442123094297	0.33145115753811405	0.21626199887069453	0.5686053077357425	0.3337097684923772	0.39920948616600793	0.13608130999435347	0.07735742518351214	0.3246753246753247	0.14963297571993225	0.2919254658385093	-0.20271033314511575	-0.2264257481648786	-0.23207227555053642	-0.3867871259175607	-0.2354601919819311	-0.3438735177865613	-0.4116318464144551	-0.1067193675889328	0.25014116318464147	0.2930547713156409	0.07848673066064371
PhrR	0.4782608695652174	0.30434782608695654	0.3427442123094297	0.37888198757763975	1.0	0.7108977978543196	0.6149068322981367	0.5753811405985318	0.47374364765669114	0.11575381140598531	0.5527950310559007	0.29757199322416716	0.32919254658385094	0.04912478825522304	0.39695087521174477	0.25014116318464147	0.35290796160361376	0.20835686053077357	0.3901750423489554	0.34726143421795597	0.5403726708074534	0.4376058723884811	0.6510446075663467	0.1880293619424054	0.13156408808582723	0.13608130999435347	0.22981366459627328	0.3867871259175607	0.4398644833427442	0.16883116883116883	0.3427442123094297	0.47035573122529645	0.4839073969508752	0.26143421795595706	0.5042348955392434	0.47939017504234893	0.21626199887069453	0.20948616600790515	0.032185206098249576	0.20383963862224733	0.295313382269904	0.44212309429700736	0.2264257481648786	0.3675889328063241	0.4658385093167702	0.08300395256916997	0.17334839073969507	0.1665725578769057	0.16996047430830039	0.25691699604743085	0.18690005646527386	0.006211180124223602	0.017504234895539244	0.0220214568040655	0.026538678712591756	-0.04686617730095991	0.3958215697346132	0.163184641445511	0.10784867306606437	0.11462450592885376	0.11575381140598531	0.3269339356295878	-0.2761151891586674	0.015245623941276116	0.01637492941840768	-0.07284020327498589	-0.09768492377188029	-0.025409373235460192	-0.00846979107848673	0.25691699604743085	-0.339356295878035	-0.13043478260869565	-0.2230378317334839	0.1225296442687747	0.15189158667419536	-0.5347261434217956	-0.057029926595143984	-0.15979672501411632	-0.25917560700169395	-0.11236589497459062	-0.10446075663466968	-0.37549407114624506	-0.20722755505364202	-0.1293054771315641	-0.4568040654997177	0.28289102202145683	-0.11236589497459062	-0.19706380575945792
LiuR	0.5663466967814794	0.4839073969508752	0.5324675324675324	0.5302089215132694	0.7108977978543196	1.0	0.7639751552795031	0.5911914172783738	0.6442687747035574	0.44438170525127046	0.7413890457368718	0.5279503105590062	0.6047430830039525	0.20271033314511575	0.5369847543760587	0.4590626764539808	0.3856578204404291	0.3246753246753247	0.49407114624505927	0.2456239412761152	0.3901750423489554	0.32128740824393	0.4568040654997177	0.45454545454545453	0.1789949181253529	0.19367588932806323	0.6758893280632411	0.6634669678147939	0.5979672501411631	0.3958215697346132	0.4906832298136646	0.46357989836250707	0.5369847543760587	0.5990965556182948	0.6002258610954263	0.6770186335403726	0.44776962168266515	0.5697346132128741	0.29079616036137773	0.313382269904009	0.2456239412761152	0.47035573122529645	0.3269339356295878	0.4059853190287973	0.5900621118012422	0.1789949181253529	0.313382269904009	0.29079616036137773	0.3800112930547713	0.30886504799548276	0.3619424054206663	0.14850367024280067	0.15866741953698477	-0.01637492941840768	0.07622811970638058	0.20722755505364202	0.18351214003387917	0.2795031055900621	0.13269339356295878	0.09203839638622248	0.29983060417843027	0.49294184076792774	-0.3156408808582722	-0.23433088650479955	-0.17786561264822134	-0.06719367588932806	0.07396950875211744	-0.08413325804630152	0.2422360248447205	0.1383399209486166	-0.14398644833427443	-0.10107284020327499	0.06945228684359118	0.2388481084133258	0.4658385093167702	-0.33258046301524563	-0.15866741953698477	-0.06380575945793338	-0.15189158667419536	-0.3879164313946923	-0.35742518351214003	-0.4500282326369283	-0.30999435347261434	-0.4082439299830604	-0.2727272727272727	0.09768492377188029	0.053642010163749296	-0.22755505364201017
RbkR	0.4376058723884811	0.5381140598531903	0.5878035008469791	0.49632975719932243	0.6149068322981367	0.7639751552795031	1.0	0.4342179559570864	0.6092603049124788	0.4997176736307171	0.7154150197628458	0.5697346132128741	0.5471485036702428	0.1981931112365895	0.6081309994353472	0.5765104460756635	0.3145115753811406	0.30547713156408807	0.5990965556182948	0.11801242236024845	0.5550536420101637	0.39808018068887635	0.5731225296442688	0.5031055900621118	0.44438170525127046	0.2015810276679842	0.4827780914737436	0.6770186335403726	0.49632975719932243	0.42179559570863917	0.6634669678147939	0.5437605872388481	0.577639751552795	0.5098814229249012	0.7233201581027668	0.6002258610954263	0.40711462450592883	0.46922642574816487	0.40711462450592883	0.29757199322416716	0.189158667419537	0.38226990400903443	0.2523997741389046	0.4782608695652174	0.46696781479390176	0.3438735177865613	0.3020892151326934	0.06380575945793338	0.3178994918125353	0.30999435347261434	0.295313382269904	0.24675324675324675	0.06945228684359118	-0.000564652738565782	0.20722755505364202	0.13043478260869565	0.42292490118577075	0.4116318464144551	0.3190287972896669	0.055900621118012424	-0.04121964991530209	0.13043478260869565	-0.21852060982495766	-0.06719367588932806	0.1067193675889328	0.055900621118012424	0.24449463579898362	0.06267645398080181	0.034443817052512704	0.26595143986448333	-0.33032185206098247	-0.13156408808582723	-0.14285714285714285	-0.042348955392433656	0.40146809712027104	-0.09090909090909091	-0.003952569169960474	-0.00846979107848673	-0.09203839638622248	-0.2987012987012987	-0.16544325239977414	-0.3201581027667984	-0.12365894974590627	-0.5200451722190853	-0.21626199887069453	0.018633540372670808	-0.15866741953698477	-0.21964991530208922
NikR	0.3201581027667984	0.2919254658385093	0.4082439299830604	0.47035573122529645	0.5753811405985318	0.5911914172783738	0.4342179559570864	1.0	0.43195934500282324	0.5245623941276115	0.46696781479390176	0.6725014116318464	0.5482778091473743	0.3585544889892716	0.2490118577075099	0.21174477696216826	0.11462450592885376	0.28289102202145683	0.14850367024280067	0.20609824957651043	0.3246753246753247	0.163184641445511	0.4025974025974026	0.2715979672501412	0.22190852625635235	0.4376058723884811	0.42405420666290233	0.48955392433653305	0.541501976284585	0.6013551665725578	0.5313382269904009	0.3901750423489554	0.7221908526256352	0.5087521174477696	0.5471485036702428	0.47939017504234893	0.2388481084133258	0.3178994918125353	0.24449463579898362	0.4568040654997177	0.365330321852061	0.3551665725578769	0.5098814229249012	0.33258046301524563	0.4184076792772445	0.29079616036137773	0.10446075663466968	0.25352907961603616	0.339356295878035	0.23771880293619424	0.2478825522303783	0.3190287972896669	0.08526256352343309	0.20383963862224733	-0.05815923207227555	-0.01637492941840768	0.08300395256916997	0.014116318464144552	0.19932241671372106	0.10333145115753811	0.1225296442687747	0.5347261434217956	0.04799548277809147	-0.025409373235460192	0.00846979107848673	-0.03670242800677583	0.11575381140598531	0.2636928289102202	0.09881422924901186	0.23207227555053642	0.033314511575381144	-0.08639186900056466	0.09881422924901186	0.24110671936758893	0.427442123094297	-0.28514963297571994	0.09768492377188029	-0.2648221343873518	-0.23997741389045738	-0.20496894409937888	-0.233201581027668	-0.1417278373800113	-0.11236589497459062	-0.3370976849237719	-0.5087521174477696	0.163184641445511	0.25578769057029926	-0.17447769621682666
NagR	0.2885375494071146	0.5166572557876906	0.5053642010163749	0.4748729531338227	0.47374364765669114	0.6442687747035574	0.6092603049124788	0.43195934500282324	1.0	0.6386222473178995	0.7425183512140033	0.7041219649915302	0.47600225861095424	0.43873517786561267	0.44551101072840205	0.4579333709768492	0.6092603049124788	0.31225296442687744	0.6070016939582157	0.5832862789384529	0.4624505928853755	0.4658385093167702	0.2987012987012987	0.1665725578769057	0.2704686617730096	0.0378317334839074	0.5313382269904009	0.551665725578769	0.5607001693958216	0.4850367024280068	0.5313382269904009	0.4500282326369283	0.5945793337097685	0.6228119706380576	0.5189158667419537	0.4025974025974026	0.23433088650479955	0.40372670807453415	0.1756070016939582	0.24449463579898362	0.3404856013551666	0.5019762845849802	0.453416149068323	0.30321852060982496	0.4624505928853755	0.13721061547148503	0.3020892151326934	0.26143421795595706	0.19480519480519481	0.09316770186335403	0.4025974025974026	0.2704686617730096	0.1981931112365895	-0.09994353472614342	0.11801242236024845	0.11349520045172219	0.11575381140598531	0.11123658949745906	0.2015810276679842	-0.14511575381140598	0.09881422924901186	0.29079616036137773	-0.1756070016939582	-0.15866741953698477	-0.1383399209486166	0.10559006211180125	-0.07058159232072275	0.1067193675889328	0.000564652738565782	0.189158667419537	-0.003952569169960474	-0.01637492941840768	0.010728402032749858	0.45454545454545453	0.15753811405985318	-0.04009034443817053	0.07961603613777526	0.20948616600790515	0.23433088650479955	0.07509881422924901	-0.36307171089779783	-0.49745906267645396	-0.29757199322416716	-0.5629587803500847	-0.5076228119706381	0.04799548277809147	-0.26030491247882553	-0.0660643704121965
HrcA	0.023150762281197064	0.26030491247882553	0.46696781479390176	0.35064935064935066	0.11575381140598531	0.44438170525127046	0.4997176736307171	0.5245623941276115	0.6386222473178995	1.0	0.525691699604743	0.7459062676453981	0.7165443252399775	0.6103896103896104	0.27837380011293056	0.2987012987012987	0.2648221343873518	0.313382269904009	0.32806324110671936	0.35403726708074534	0.44438170525127046	0.3890457368718238	0.15979672501411632	0.3901750423489554	0.39469226425748166	0.38114059853190285	0.6092603049124788	0.5324675324675324	0.40711462450592883	0.7165443252399775	0.6668548842461886	0.37888198757763975	0.6476566911349521	0.5968379446640316	0.4827780914737436	0.3901750423489554	0.3743647656691135	0.32241671372106157	0.4376058723884811	0.3958215697346132	0.295313382269904	0.29079616036137773	0.42179559570863917	0.4771315640880858	0.4184076792772445	0.2230378317334839	0.14059853190287974	0.20609824957651043	0.3856578204404291	0.08752117447769622	0.42857142857142855	0.3551665725578769	0.14963297571993225	0.14624505928853754	0.12140033879164314	0.04799548277809147	-0.0818746470920384	0.3190287972896669	0.28063241106719367	-0.09655561829474874	0.08752117447769622	0.18690005646527386	0.15640880858272163	-0.032185206098249576	-0.28402032749858835	0.02766798418972332	-0.01637492941840768	0.06267645398080181	0.005081874647092038	-0.03670242800677583	0.0220214568040655	-0.08300395256916997	0.07961603613777526	0.3619424054206663	0.37888198757763975	0.3201581027667984	0.18125352907961603	0.3269339356295878	0.08413325804630152	-0.03557312252964427	-0.2682100508187465	-0.09542631281761717	-0.08752117447769622	-0.6216826651609261	-0.42405420666290233	-0.16205533596837945	-0.2523997741389046	-0.35629587803500845
