	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.6499153020892151	0.17786561264822134	-0.771880293619424	-0.8023715415019763	0.5460191981931113	-0.7944664031620553	0.19028797289666854	0.18464144551101072	-0.15640880858272163	0.4590626764539808	0.6408808582721626	-0.7944664031620553	0.7086391869000565	0.18125352907961603	-0.7910784867306606	0.2546583850931677	0.6126482213438735	0.37323546019198195	0.3675889328063241	0.7651044607566346	0.6250705815923208	-0.14963297571993225	0.44776962168266515	0.6420101637492942	-0.6770186335403726	0.7154150197628458	-0.277244494635799	-0.14850367024280067	0.6792772444946358	-0.5866741953698476	0.1767363071710898	-0.5866741953698476	-0.6826651609260305	-0.8362507058159232	-0.009599096555618294	0.5358554488989271	0.7605872388481084	-0.4364765669113495	-0.10897797854319594	0.8475437605872389	-0.3845285149632976	-0.8147939017504235	-0.8102766798418972	-0.7402597402597403	-0.6228119706380576	-0.8893280632411067	-0.07058159232072275	-0.5889328063241107	-0.22077922077922077	-0.3201581027667984	0.5866741953698476	-0.2738565782044043	0.3958215697346132	0.639751552795031	-0.12140033879164314	-0.5640880858272163	-0.7684923771880293	-0.7831733483907397	0.6883116883116883	0.44664031620553357	-0.365330321852061	0.6984754376058724	-0.39920948616600793	0.6589497459062676	-0.7933370976849238	-0.5031055900621118	0.0818746470920384	0.21626199887069453	0.042348955392433656	0.55957086391869	0.30434782608695654	-0.7526821005081875	0.743647656691135	-0.5968379446640316	0.2354601919819311	-0.8260869565217391	0.08413325804630152	-0.7289666854884246	0.35064935064935066	-0.8802936194240542	-0.2478825522303783	-0.16205533596837945	-0.07284020327498589	0.2140033879164314	-0.6691134952004517	0.5663466967814794	-0.8283455674760023
AgaR	-0.6499153020892151	1.0	-0.05251270468661773	0.6284584980237155	0.6792772444946358	-0.26595143986448333	0.6962168266516092	-0.045736871823828344	-0.10107284020327499	0.017504234895539244	-0.6182947487295314	-0.7933370976849238	0.7300959909655562	-0.6815358554488989	0.032185206098249576	0.8080180688876341	-0.5211744776962168	-0.52343308865048	-0.32128740824393	-0.3269339356295878	-0.4906832298136646	-0.30660643704121965	0.3337097684923772	-0.47261434217955955	-0.6623376623376623	0.823828345567476	-0.5505364201016375	0.10559006211180125	0.029926595143986448	-0.6510446075663467	0.6442687747035574	0.0220214568040655	0.5607001693958216	0.5426312817617166	0.6544325239977414	-0.08300395256916997	-0.44551101072840205	-0.6453980801806889	0.1293054771315641	-0.14963297571993225	-0.655561829474873	0.11914172783738002	0.7651044607566346	0.6939582156973462	0.5957086391869001	0.6205533596837944	0.7763975155279503	-0.0016939582156973462	0.43873517786561267	0.054771315640880856	0.3020892151326934	-0.6058723884810842	0.057029926595143984	-0.383399209486166	-0.6973461321287409	0.08074534161490683	0.3551665725578769	0.6465273856578204	0.6860530773574252	-0.8712591756070017	-0.37210615471485037	0.07509881422924901	-0.5279503105590062	0.40146809712027104	-0.47374364765669114	0.6487859966120836	0.6250705815923208	-0.3156408808582722	0.042348955392433656	0.0016939582156973462	-0.47148503670242803	-0.4342179559570864	0.5753811405985318	-0.7707509881422925	0.5697346132128741	-0.15753811405985318	0.7402597402597403	0.10333145115753811	0.551665725578769	-0.4184076792772445	0.7086391869000565	0.24449463579898362	0.24449463579898362	0.11462450592885376	-0.25804630152456237	0.6216826651609261	-0.6047430830039525	0.7244494635798984
AmtR	0.17786561264822134	-0.05251270468661773	1.0	-0.1880293619424054	-0.1281761716544325	0.13043478260869565	-0.2682100508187465	-0.21626199887069453	-0.09768492377188029	-0.1259175607001694	-0.0942970073404856	0.0660643704121965	-0.08300395256916997	0.3156408808582722	0.1880293619424054	0.0220214568040655	-0.2388481084133258	0.2478825522303783	0.3269339356295878	0.007340485601355167	0.1259175607001694	0.3404856013551666	-0.1259175607001694	0.1665725578769057	0.269339356295878	-0.04912478825522304	0.09768492377188029	-0.4500282326369283	-0.3608130999435347	0.0942970073404856	-0.05928853754940711	0.4658385093167702	0.07848673066064371	0.057029926595143984	-0.15189158667419536	-0.24336533032185206	0.4082439299830604	0.11575381140598531	-0.19480519480519481	-0.14398644833427443	0.009599096555618294	0.023150762281197064	-0.09881422924901186	-0.1293054771315641	-0.25917560700169395	-0.19254658385093168	-0.15753811405985318	-0.5189158667419537	-0.22981366459627328	-0.5663466967814794	-0.1259175607001694	0.4432523997741389	-0.163184641445511	0.30773574251835123	-0.009599096555618294	-0.4082439299830604	-0.2264257481648786	-0.09994353472614342	-0.13043478260869565	0.13269339356295878	0.14850367024280067	-0.13946922642574816	0.39808018068887635	-0.44889892715979673	0.0016939582156973462	-0.14850367024280067	-0.36645962732919257	-0.55957086391869	-0.28289102202145683	-0.26256352343308864	-0.1665725578769057	-0.031055900621118012	-0.14963297571993225	0.10559006211180125	-0.07284020327498589	0.024280067758328628	-0.04009034443817053	0.30321852060982496	-0.06267645398080181	0.18238283455674761	-0.20271033314511575	-0.435347261434218	-0.10107284020327499	-0.09994353472614342	0.07058159232072275	-0.00846979107848673	0.14624505928853754	-0.11575381140598531
AraR	-0.771880293619424	0.6284584980237155	-0.1880293619424054	1.0	0.8294748729531338	-0.6747600225861096	0.8147939017504235	0.09316770186335403	-0.4590626764539808	0.09994353472614342	-0.5019762845849802	-0.6758893280632411	0.8215697346132129	-0.7413890457368718	-0.11462450592885376	0.805759457933371	-0.06041784302653868	-0.7831733483907397	-0.46357989836250707	-0.26256352343308864	-0.7684923771880293	-0.7120271033314511	0.11575381140598531	-0.5381140598531903	-0.5731225296442688	0.5019762845849802	-0.7741389045736872	0.21513269339356295	0.36984754376058726	-0.7018633540372671	0.7470355731225297	0.18125352907961603	0.4409937888198758	0.8159232072275551	0.8644833427442123	0.21739130434782608	-0.49520045172219085	-0.8633540372670807	0.6702428006775832	0.033314511575381144	-0.7594579333709769	0.2862789384528515	0.7809147374364765	0.8407679277244494	0.6487859966120836	0.6521739130434783	0.8588368153585545	0.23433088650479955	0.6736307171089779	0.11236589497459062	0.2987012987012987	-0.5957086391869001	0.3675889328063241	-0.4364765669113495	-0.7199322416713722	0.13382269904009034	0.6928289102202145	0.8249576510446076	0.8362507058159232	-0.7075098814229249	-0.7255787690570299	0.31225296442687744	-0.6137775268210051	0.5945793337097685	-0.5584415584415584	0.7809147374364765	0.6962168266516092	-0.11236589497459062	-0.06832298136645963	0.13721061547148503	-0.5900621118012422	-0.20045172219085264	0.7188029361942405	-0.665725578769057	0.7300959909655562	-0.3020892151326934	0.8452851496329757	-0.10784867306606437	0.5573122529644269	-0.3167701863354037	0.8690005646527386	0.1541501976284585	-0.055900621118012424	0.06267645398080181	-0.2636928289102202	0.7820440429136082	-0.7741389045736872	0.771880293619424
ArgR	-0.8023715415019763	0.6792772444946358	-0.1281761716544325	0.8294748729531338	1.0	-0.6566911349520045	0.9164313946922643	0.034443817052512704	-0.3845285149632976	0.18464144551101072	-0.4624505928853755	-0.8441558441558441	0.9695087521174478	-0.8328627893845285	-0.17221908526256352	0.9469226425748165	-0.10107284020327499	-0.885940146809712	-0.453416149068323	-0.4409937888198758	-0.6815358554488989	-0.6894409937888198	0.08977978543195934	-0.5821569734613213	-0.8159232072275551	0.7154150197628458	-0.8746470920383964	0.2919254658385093	0.17786561264822134	-0.6781479390175043	0.8159232072275551	0.21852060982495766	0.6544325239977414	0.7809147374364765	0.9277244494635799	0.15979672501411632	-0.5132693393562959	-0.8159232072275551	0.5663466967814794	-0.12365894974590627	-0.8983625070581592	0.09768492377188029	0.9130434782608695	0.9785431959345002	0.7752682100508187	0.8226990400903444	0.9446640316205533	0.015245623941276116	0.6725014116318464	0.16431394692264256	0.2365894974590627	-0.551665725578769	0.26143421795595706	-0.49294184076792774	-0.7526821005081875	-0.028797289666854884	0.665725578769057	0.9277244494635799	0.974025974025974	-0.8769057029926595	-0.7459062676453981	0.2636928289102202	-0.6804065499717674	0.4116318464144551	-0.6939582156973462	0.9593450028232637	0.6284584980237155	-0.28514963297571994	-0.08977978543195934	-0.1756070016939582	-0.6894409937888198	-0.25804630152456237	0.8881987577639752	-0.7967250141163185	0.7888198757763976	-0.1767363071710898	0.9446640316205533	-0.06945228684359118	0.6691134952004517	-0.49858836815358554	0.9254658385093167	0.17108977978543197	0.23433088650479955	0.21964991530208922	-0.06832298136645963	0.8204404291360813	-0.6589497459062676	0.9345002823263693
BioQ	0.5460191981931113	-0.26595143986448333	0.13043478260869565	-0.6747600225861096	-0.6566911349520045	1.0	-0.629587803500847	-0.09542631281761717	0.5076228119706381	-0.2648221343873518	0.06380575945793338	0.4805194805194805	-0.6070016939582157	0.6329757199322417	0.15979672501411632	-0.6182947487295314	-0.14398644833427443	0.7165443252399775	0.40711462450592883	0.3337097684923772	0.5381140598531903	0.7312252964426877	0.08300395256916997	0.32806324110671936	0.4850367024280068	-0.4138904573687182	0.549407114624506	-0.4184076792772445	-0.3901750423489554	0.5031055900621118	-0.6499153020892151	-0.35968379446640314	-0.40372670807453415	-0.5934500282326369	-0.5911914172783738	-0.16544325239977414	0.1417278373800113	0.6533032185206098	-0.6081309994353472	0.042348955392433656	0.7447769621682665	-0.25917560700169395	-0.46922642574816487	-0.6996047430830039	-0.5471485036702428	-0.5335968379446641	-0.5979672501411631	-0.14737436476566912	-0.5844155844155844	-0.34839073969508755	-0.25691699604743085	0.48955392433653305	-0.1767363071710898	0.49181253529079616	0.4647092038396386	-0.26030491247882553	-0.611518915866742	-0.7221908526256352	-0.6453980801806889	0.435347261434218	0.5719932241671372	-0.14059853190287974	0.4522868435911914	-0.4048560135516657	0.4138904573687182	-0.603613777526821	-0.6928289102202145	-0.06719367588932806	-0.04121964991530209	-0.000564652738565782	0.4748729531338227	-0.11123658949745906	-0.6600790513833992	0.4906832298136646	-0.5731225296442688	0.409373235460192	-0.6250705815923208	0.16996047430830039	-0.5200451722190853	0.25917560700169395	-0.655561829474873	-0.3235460191981931	0.08526256352343309	-0.14398644833427443	-0.13721061547148503	-0.5505364201016375	0.37662337662337664	-0.6453980801806889
BirA	-0.7944664031620553	0.6962168266516092	-0.2682100508187465	0.8147939017504235	0.9164313946922643	-0.629587803500847	1.0	0.025409373235460192	-0.2761151891586674	0.16205533596837945	-0.3416149068322981	-0.8385093167701864	0.9164313946922643	-0.7989836250705816	-0.23094297007340486	0.8610954263128177	-0.05138339920948617	-0.771880293619424	-0.4748729531338227	-0.3619424054206663	-0.7594579333709769	-0.611518915866742	0.05815923207227555	-0.5290796160361377	-0.849802371541502	0.7029926595143986	-0.7368718238283456	0.28402032749858835	0.2896668548842462	-0.771880293619424	0.8125352907961604	0.11349520045172219	0.6431394692264257	0.6973461321287409	0.9254658385093167	0.15189158667419536	-0.6408808582721626	-0.7323546019198193	0.5550536420101637	-0.1101072840203275	-0.8396386222473179	0.11688311688311688	0.8961038961038961	0.9254658385093167	0.7684923771880293	0.8294748729531338	0.937888198757764	0.11801242236024845	0.6160361377752682	0.2422360248447205	0.35177865612648224	-0.7007340485601355	0.277244494635799	-0.4771315640880858	-0.753811405985319	-0.006211180124223602	0.6002258610954263	0.9085262563523433	0.9062676453980801	-0.8667419536984754	-0.6713721061547149	0.37210615471485037	-0.7221908526256352	0.5640880858272163	-0.7560700169395822	0.8994918125352908	0.6533032185206098	-0.21626199887069453	-0.15866741953698477	-0.1756070016939582	-0.6058723884810842	-0.4048560135516657	0.9017504234895539	-0.7763975155279503	0.8147939017504235	-0.2738565782044043	0.8701298701298701	-0.11914172783738002	0.7933370976849238	-0.37888198757763975	0.9051383399209486	0.2885375494071146	0.14285714285714285	0.29079616036137773	-0.22190852625635235	0.7955957086391869	-0.6837944664031621	0.9085262563523433
CadR-PbrR	0.19028797289666854	-0.045736871823828344	-0.21626199887069453	0.09316770186335403	0.034443817052512704	-0.09542631281761717	0.025409373235460192	1.0	-0.17334839073969507	-0.11349520045172219	0.3901750423489554	-0.07284020327498589	0.012987012987012988	-0.09881422924901186	-0.14398644833427443	-0.06832298136645963	0.3246753246753247	-0.1383399209486166	-0.13043478260869565	0.20045172219085264	0.042348955392433656	-0.045736871823828344	-0.08865047995482778	-0.5019762845849802	-0.05251270468661773	-0.1857707509881423	0.10446075663466968	0.2456239412761152	0.11462450592885376	0.11349520045172219	0.3178994918125353	0.453416149068323	-0.08865047995482778	-0.20271033314511575	0.06945228684359118	0.04799548277809147	-0.30547713156408807	0.010728402032749858	0.29757199322416716	-0.17334839073969507	0.09542631281761717	-0.12140033879164314	-0.14059853190287974	0.0220214568040655	-0.04121964991530209	0.034443817052512704	-0.00846979107848673	0.453416149068323	-0.06945228684359118	0.033314511575381144	-0.21513269339356295	0.06945228684359118	0.00846979107848673	-0.14511575381140598	0.23433088650479955	-0.18351214003387917	0.03670242800677583	-0.06041784302653868	-0.03670242800677583	-0.054771315640880856	-0.30886504799548276	-0.08977978543195934	-0.1789949181253529	0.28514963297571994	0.19367588932806323	-0.044607566346696784	-0.04121964991530209	0.006211180124223602	0.07284020327498589	0.00846979107848673	-0.07961603613777526	0.30773574251835123	-0.08865047995482778	0.22529644268774704	0.22868435911914173	-0.20271033314511575	0.029926595143986448	0.18464144551101072	0.09655561829474874	0.1101072840203275	0.057029926595143984	0.24675324675324675	-0.339356295878035	-0.3404856013551666	0.11575381140598531	-0.2140033879164314	-0.12478825522303783	0.03670242800677583
CblR	0.18464144551101072	-0.10107284020327499	-0.09768492377188029	-0.4590626764539808	-0.3845285149632976	0.5076228119706381	-0.2761151891586674	-0.17334839073969507	1.0	-0.014116318464144552	0.16544325239977414	0.20835686053077357	-0.28740824392998304	0.3382269904009034	-0.044607566346696784	-0.37775268210050816	-0.1067193675889328	0.4105025409373235	0.11123658949745906	-0.2704686617730096	0.22416713721061546	0.5957086391869001	0.10220214568040654	0.28063241106719367	-0.025409373235460192	-0.20948616600790515	0.28063241106719367	0.044607566346696784	-0.24449463579898362	0.2140033879164314	-0.5110107284020328	-0.4048560135516657	0.04009034443817053	-0.39695087521174477	-0.269339356295878	-0.08526256352343309	0.04121964991530209	0.295313382269904	-0.20948616600790515	0.04686617730095991	0.33145115753811405	-0.2264257481648786	-0.22981366459627328	-0.3901750423489554	-0.04009034443817053	-0.11688311688311688	-0.2670807453416149	-0.33032185206098247	-0.14059853190287974	-0.10446075663466968	0.08639186900056466	0.08977978543195934	-0.22190852625635235	0.3416149068322981	0.09994353472614342	-0.005081874647092038	-0.3743647656691135	-0.3156408808582722	-0.3145115753811406	0.1665725578769057	0.28176171654432525	-0.020892151326933936	0.14850367024280067	-0.2546583850931677	0.16996047430830039	-0.32806324110671936	-0.2354601919819311	-0.06945228684359118	-0.3675889328063241	-0.20609824957651043	0.24449463579898362	-0.28063241106719367	-0.35742518351214003	-0.00846979107848673	-0.22529644268774704	0.21287408243929984	-0.32580463015245625	0.2738565782044043	-0.23207227555053642	-0.05138339920948617	-0.3709768492377188	-0.2795031055900621	0.3800112930547713	0.233201581027668	0.08977978543195934	-0.4025974025974026	0.14624505928853754	-0.3461321287408244
CcpA	-0.15640880858272163	0.017504234895539244	-0.1259175607001694	0.09994353472614342	0.18464144551101072	-0.2648221343873518	0.16205533596837945	-0.11349520045172219	-0.014116318464144552	1.0	-0.044607566346696784	-0.14963297571993225	0.10107284020327499	-0.2941840767927724	0.11236589497459062	0.09542631281761717	0.33258046301524563	-0.25917560700169395	-0.026538678712591756	-0.042348955392433656	-0.08977978543195934	-0.251270468661773	-0.313382269904009	0.13156408808582723	-0.22190852625635235	0.15979672501411632	-0.30547713156408807	0.30999435347261434	-0.19028797289666854	-0.07058159232072275	0.1067193675889328	0.1259175607001694	-0.15302089215132694	0.08977978543195934	0.1383399209486166	0.427442123094297	0.08639186900056466	-0.011857707509881422	-0.017504234895539244	-0.010728402032749858	-0.09542631281761717	0.21513269339356295	0.18012422360248448	0.1665725578769057	0.2354601919819311	0.383399209486166	0.15527950310559005	-0.1293054771315641	0.42518351214003386	-0.08865047995482778	-0.11349520045172219	0.04912478825522304	0.045736871823828344	-0.4432523997741389	-0.0942970073404856	0.28402032749858835	0.33032185206098247	0.19028797289666854	0.17108977978543197	-0.0660643704121965	-0.25804630152456237	-0.03670242800677583	-0.13382269904009034	-0.03557312252964427	0.018633540372670808	0.13608130999435347	0.20835686053077357	0.3156408808582722	0.19593450028232637	0.10333145115753811	0.2919254658385093	-0.20722755505364202	0.2264257481648786	0.0016939582156973462	-0.032185206098249576	-0.44551101072840205	0.19593450028232637	0.15189158667419536	-0.055900621118012424	0.003952569169960474	0.1541501976284585	0.16544325239977414	0.018633540372670808	0.22981366459627328	0.28063241106719367	-0.024280067758328628	-0.14624505928853754	0.22190852625635235
