	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.47426656345170604	0.10523058809350534	-0.49228437266781316	-0.7061340280256431	0.35368120483379767	-0.701229772262679	-0.07493591556150947	-0.011199132252666515	-0.3818273683429827	0.35087678636820857	0.5649790711580626	-0.6574136308643634	0.3521793344489202	0.05386569385021161	-0.6844936518163824	0.26130690535898876	0.6363480445554881	0.5005701544979627	0.5485952412958731	0.2084656354441411	0.5789246793460374	-0.2586183719539612	0.39964353755371274	0.5630762384636422	-0.5036457440052658	0.3054011709026519	-0.467563771548827	-0.25159110188150985	0.3211406798281193	-0.46535268459331297	-0.24475620100959064	-0.4836393471499228	-0.4614079571317984	-0.6746411039674409	0.23045366683508628	-0.029163634340915307	0.4725537822566066	-0.03254747810931206	-0.010809758449179765	0.6135325938321335	0.08784319360685298	-0.6240340980202196	-0.6788871325864155	-0.6153890725023293	-0.5686271328645396	-0.6743096726942349	-0.23663497596543845	-0.06670807626164066	-0.12860228710755525	-0.21162466219504847	0.6352216417668299	-0.2585511586188355	0.45839494555719856	0.6725945737979243	0.062095850851291656	-0.31416671688352626	-0.7122110406014898	-0.7069521765532074	0.5142399562418011	0.4353824902308894	0.002836866282546319	0.4104996500271171	-0.49443056398941276	0.3458751871543728	-0.6953543996922092	-0.47054665300768084	0.242257719103884	0.1868345300397254	-0.2579416032002818	0.3252708233865323	0.3046061993871998	-0.6578748534053984	0.5095790591060163	-0.33921643157450715	0.1758555794021258	-0.6599515136906611	-0.025853957011277934	-0.4552961790377832	-0.1596224001186663	-0.6828133184382402	-0.5265515850758583	0.1606885426758324	-0.3476644524894429	-0.0351966105937487	-0.49096791837983417	0.30038566548154877	-0.6580602695022968
AgaR	-0.47426656345170604	1.0	-0.113537229234556	0.6225530869462432	0.689432673097515	-0.23860038659256202	0.5674335167407558	-0.040972322012135486	0.06546810611363225	0.3337767868317488	-0.5688426790771841	-0.5161010703144193	0.7157826181679963	-0.06127074922009354	0.12133397610913592	0.781375880147035	-0.5119500674451053	-0.533210340655724	-0.39212259712326925	-0.4708016001409162	-0.11620953873110494	-0.4362608989899458	0.5800580352383292	-0.42192128159606174	-0.6487477460355721	0.6623109335236939	-0.12753846225160037	0.15371921513366182	-0.01522729695778539	-0.581101000783383	0.38695875882464736	0.051624476778951565	0.6900399108148574	0.48614478215926316	0.7593832133536673	-0.5873680648585506	-0.02559669217683133	-0.7423110262317423	-0.05537915274114522	0.1398663149941362	-0.5979506885890299	-0.19970472486568921	0.7581756910226162	0.6836870917948742	0.5639569649239099	0.5957419193347271	0.7697271138593897	-0.04888031854485447	0.22629802856334974	-0.0880332451061739	0.06792486939753675	-0.6400841789079919	0.027246895439227557	-0.5462798577858536	-0.7785876855899245	-0.10302181883920253	0.15575647449833357	0.6694239585409607	0.7257093324556971	-0.7678636820855602	-0.4790294394407851	0.0743866203744478	-0.5870273627804998	0.6391431922162323	-0.4010851477070982	0.6364986951342181	0.42348109451122	-0.32742165011055435	-0.39836648418632464	-0.00022481701748937335	-0.6023010137625098	-0.47062313714765147	0.6586883665305403	-0.4667456230212626	0.2837492061873352	-0.07326948839063463	0.8045552099605527	-0.0211258465403674	0.6230374864993904	-0.05156421654745957	0.7123199725584176	0.11153473538805271	-0.08007657684801905	0.16091799509574423	0.1669254766352541	0.6791559859269183	-0.3113669338203596	0.7028544808117517
AmtR	0.10523058809350534	-0.113537229234556	1.0	-0.13969248740329393	-0.1679916191924202	0.10507993751477535	-0.2538694021721496	-0.04440715520717931	0.045600771330963095	-0.04770060862833807	0.20042784764359317	0.17133142663780357	-0.13320292401184808	0.18279941223097282	-0.05189796552187678	-0.12410362905655654	-0.06582039669773931	0.15623160324663585	0.03585020233531574	0.07990738465959922	0.05486462307225202	0.16895578289629215	-0.11290449680389003	0.14249922357009423	0.13328867895666363	-0.08139303113599808	0.09216338866458691	-0.19539148291158898	-0.2463554148453398	0.13206493271713385	-0.0753461486758973	-0.04001742911310845	-0.11782729417654393	-0.08320547348318044	-0.16964645785723886	0.15973364977680538	-0.030549619665231238	0.030579749780977234	-0.036793506728286615	0.04335491885728059	0.2437178708669593	-0.01710695264009345	-0.11655255851036708	-0.19800121447543467	-0.09640478188113902	-0.2148323606713917	-0.18501049918648688	-0.07887600762060158	-0.08577812182764646	-0.02967816400980851	-0.10292679308954207	0.14925300489962037	-0.08838785339149219	0.09425163745590573	0.12178824554653712	0.015041880860886939	-0.044599524407711456	-0.19316185434638508	-0.16038028841473873	0.03331927261265187	0.21863339065780996	0.019610069948222553	0.12951777908599135	-0.12854434457727448	0.14575095836945084	-0.26058841798350724	-0.23166118916613745	-0.002303795003963269	-0.008904608053548169	-0.15787948880782085	-0.04522993913716619	0.1726200685112478	-0.16807042103360204	0.07835220714686346	-0.16771117734586127	0.20061789914291409	-0.1284099179070231	-0.16209075190862696	-0.03271203489530944	-0.001675697975719762	-0.18719609142867738	-0.08376403947508702	-0.04810620634030344	-0.010710097297096847	0.037324260305658434	-0.08471893237411406	-0.04834492956506019	-0.1304518126741173
AraR	-0.49228437266781316	0.6225530869462432	-0.13969248740329393	1.0	0.6258581288734582	-0.4499677839531639	0.6123343423059273	0.1398663149941362	0.04595769731749262	0.25974477474261926	-0.4780884527490254	-0.5504980739902935	0.7037746081926103	-0.09806657364959138	0.030408239891346167	0.6700845033861614	-0.3109798777180841	-0.5898874060751584	-0.33517436066212086	-0.4524245472370684	-0.07852371703649452	-0.4547770139664675	0.3396058053779939	-0.38957544349212675	-0.5667868781028225	0.5132850633427741	-0.0834673737200495	0.19697215513764826	0.03305969007699403	-0.4674942405124901	0.45707385586679705	0.1452039808836004	0.5317455534902262	0.46008686744139693	0.6671549290551659	-0.3320987711548178	-0.050583828935109	-0.6347882316403298	0.02226383783508165	0.016766250562042544	-0.5995545378272015	-0.1913563651028364	0.6982376199989803	0.6358705981059746	0.5545355095002573	0.5417927882409111	0.6784189569417469	0.0955796802499409	0.06789705698300198	0.07091702166123552	0.16515243520866263	-0.5855764818222694	0.11104338273127182	-0.3771247525853957	-0.6626215054859987	-0.12587898818435922	0.1322294895031312	0.6388557972660397	0.700386129021791	-0.5889533724870325	-0.43377400559029533	-0.06719711121721032	-0.5082463809095586	0.5621885588997408	-0.3362729510362442	0.6100838544298223	0.3837927789701063	-0.20856066119380154	-0.3223621083664378	0.031699199466001644	-0.5059263619971168	-0.3432121484626688	0.6371893700951649	-0.4739930747087808	0.3406557240266814	-0.11830010522363499	0.7326044935591083	-0.10942099188341035	0.49326244257895246	0.07135506719015812	0.6480153524528232	0.25668772684500607	-0.1115416884916864	0.2141602273201348	0.07471805164765379	0.6028062726265581	-0.4428385350274184	0.6353560684370814
ArgR	-0.7061340280256431	0.689432673097515	-0.1679916191924202	0.6258581288734582	1.0	-0.4637720123672537	0.8495186134584274	0.04672949182083243	-0.12177665704048098	0.4308606551677784	-0.5134565732324051	-0.7263026639657721	0.8790600330967733	-0.444029833449991	-0.01050382188929732	0.9248369497197899	-0.35218396985134265	-0.8223760145737052	-0.6239576138802491	-0.6296174402380743	-0.29612804835651807	-0.6933889890650857	0.3567266642253547	-0.5579170355674428	-0.773880434429915	0.6874046845376881	-0.34724031316778764	0.45946108811436465	0.2600785237170365	-0.5267416365751793	0.5448034821142997	0.289726557611099	0.6930320630785561	0.6731971761128442	0.9060334397930756	-0.376485067051096	-0.00418808608869379	-0.6896227245968358	0.10867469209339409	-0.057446542221562966	-0.7637659863441044	-0.1603107573784018	0.8553963037301083	0.9248647621343247	0.7616429720346172	0.736389299637048	0.9218123496391339	0.20161451066374328	0.1334022463160139	0.05793789487834387	0.17160259767951755	-0.7960932828383496	0.22664568374503433	-0.5608674692093394	-0.8000519165071316	-0.13755556688653925	0.34672810120010567	0.9421223653531481	0.9208041496122485	-0.7481585863876773	-0.6050498073990294	0.04266192619512263	-0.6079492516142789	0.6574159485655747	-0.5014647871654978	0.8806082575058753	0.6414562580250405	-0.2723275746183905	-0.39501740593609636	0.2458269789691792	-0.4462386027042938	-0.4042372213543719	0.8636542731457232	-0.5895351154910513	0.5105339520050434	-0.2721699709360268	0.8850443376241709	0.04225632848315727	0.5811125892894392	0.12743184799588375	0.9238403381989607	0.3983247655645225	-0.20108839248879393	0.27522933653485127	0.10135075626590523	0.7536376320510265	-0.4650583365394867	0.8953001654838665
BioQ	0.35368120483379767	-0.23860038659256202	0.10507993751477535	-0.4499677839531639	-0.4637720123672537	1.0	-0.5102117915366823	-0.09690076994034237	-0.02456531513783369	-0.17948278179770177	0.14946623341105358	0.3464128938353783	-0.4516017633070815	0.2632305973643102	0.10380288414738725	-0.439709638392257	0.0788621014133342	0.49234695060051636	0.31976396530864826	0.32359744311202376	0.1631916599839615	0.4237754425650463	-0.03725472926932152	0.29313821379403054	0.34656586211531953	-0.27042474192397015	0.11096689859130121	-0.3129313821379403	-0.3253704845386152	0.19725723238662965	-0.32885862486151735	-0.2129805174036184	-0.30566075343830973	-0.3920716076966222	-0.4261232738920229	-0.04933227028104445	-0.06848343538944333	0.248638350538402	-0.16818630609416357	0.08766936601601068	0.5157024257060877	0.23466956533831484	-0.37115435426526555	-0.45385920428682014	-0.4667618469297412	-0.3670357992129087	-0.4432534035442287	-0.34599107221493436	0.11687240127751691	-0.14481460708011365	-0.14586684343001238	0.37484413459354476	-0.3041820600655446	0.2311049408754421	0.36270865105154104	0.005256546347071121	-0.20105130926941422	-0.5112732986914259	-0.46494940458255885	0.2710574743546361	0.1603779707135275	-0.05517287733334569	0.23510297546481498	-0.22689136007342478	0.2576843383658352	-0.473673231941631	-0.2963343237643176	0.08162248355590991	0.08934738169294167	-0.29197472778599276	0.19808001631661654	0.13210201593651352	-0.4740278402269493	0.2701234407665101	-0.38171843638605485	0.22261751903991545	-0.4115124854564249	0.14831201820786072	-0.2720424973694091	-0.16482100393545665	-0.4293587847829009	-0.3147322359790665	0.08825806212366327	-0.1960520277567897	0.08362497740241319	-0.32441559163958816	0.2881528384886734	-0.43789719604507465
BirA	-0.701229772262679	0.5674335167407558	-0.2538694021721496	0.6123343423059273	0.8495186134584274	-0.5102117915366823	1.0	0.07664174365297523	-0.09555418553661736	0.42729834840611686	-0.4412903106183163	-0.6840208407692914	0.8203920623368918	-0.5412504461574832	-0.08784087590564175	0.8167949900570618	-0.19623512615247693	-0.7716276288525988	-0.6209075190862695	-0.6110990075603413	-0.36124849928846575	-0.7067435834441967	0.24569487000013907	-0.5340099475735987	-0.687152055105664	0.5822505805841535	-0.40468917309056185	0.48649939044458146	0.3433488928341314	-0.44328121595876346	0.5117298858300383	0.35681010146895903	0.6681422697711502	0.5526628069215829	0.8225034881403229	-0.27116872401277514	-0.016409324575513022	-0.5160894818083632	0.08406534063254702	-0.12187631819256389	-0.7875201060580074	-0.12926746735517844	0.7451502102154999	0.8440210261853883	0.6922370915631041	0.7167560526767132	0.8593155364782994	0.2757531370085894	0.05398157891077314	0.10184442662389735	0.3014680319471935	-0.7083080317617774	0.215961081161261	-0.5065730006350502	-0.7296749192281128	-0.11727799898948227	0.30862509328747373	0.877127070286607	0.8464476593535468	-0.606825166526832	-0.5592867969832801	0.06308782696969838	-0.5793580894725375	0.5863992657522563	-0.5262943202414118	0.8786544353848079	0.5979182407720727	-0.1872887994771266	-0.2777579485563039	0.36691064334750223	-0.33278017531091963	-0.3907621065122769	0.7635434870278264	-0.5826700845033862	0.48603121479991285	-0.3066411410506603	0.786973128572157	0.01071936810194177	0.49939971538629124	0.22806411688630748	0.8285990423258596	0.4646944574493235	-0.2472639537201422	0.33593688436061575	0.03175018889264872	0.6587509444632436	-0.4465375861605425	0.7777533131538814
CadR-PbrR	-0.07493591556150947	-0.040972322012135486	-0.04440715520717931	0.1398663149941362	0.04672949182083243	-0.09690076994034237	0.07664174365297523	1.0	0.10421775266419754	-0.17349152416667052	-0.013686025652317005	-0.1251512300040328	0.0991188099994901	-0.11127978825481734	0.032114067982811925	0.019936865819006076	0.08420208500400962	-0.12344076651014457	-0.06410066239900616	-0.1644478540404485	-0.13340456401722517	-0.04152161719919715	-0.02950433641896621	-0.12945751885449935	-0.05117020734155036	-0.023202506825630066	0.01792278346644664	0.015394171444993996	0.24375495408633902	0.12487542355989635	0.2364959138927646	0.0485048509486351	0.01987197018509162	0.11114767928577719	-0.02492687652678567	-0.07207355456563962	-0.020567280548460815	-0.08766936601601068	0.01355623438448809	-0.05533743411934307	-0.11551191066652451	-0.06960288507446774	0.12514659460161034	0.09479861494175616	0.08774816785719253	0.08268630841186478	0.03188925096532255	0.1344359410562228	0.044254186927238086	0.206827020687801	0.1601369297875595	-0.049455108445239676	0.059059662264579496	-0.04207323008747004	-0.06214915797914996	-0.0964789483198984	0.09981180266164807	0.0930997399539241	0.08429015765003639	-0.0006304147294547376	-0.03468208092485549	-0.24393109937839252	-0.21263054452072255	0.17905632477483532	0.004589048398236693	0.1431481799092388	-0.03354177192893001	-0.04054586498926904	0.013616494615980086	0.014223732333322518	-0.10176794248392675	0.02949738331533252	0.07273178170962911	-0.1821852214099967	0.10835948472866672	-0.06549128312574456	0.07676226411595923	-0.026961818190246185	0.04719534976428979	0.07691059699347799	0.09623558969271917	0.2630359104625668	-0.10003893738034868	-0.15843805479972745	0.013964149797664685	-0.04236294273887387	-0.07660466043359554	0.11462654880383441
CblR	-0.011199132252666515	0.06546810611363225	0.045600771330963095	0.04595769731749262	-0.12177665704048098	-0.02456531513783369	-0.09555418553661736	0.10421775266419754	1.0	-0.16666589409959626	0.16484418094756897	0.02537651056176442	-0.07340623276209725	0.13638512777486778	0.12092374299474809	-0.024834168478336447	-0.21419962824072572	0.06359308583374666	0.09742225271286926	0.05716378267379282	0.13269302974537733	0.029879804015185578	-0.047271833904260395	0.02892491111615855	-0.01660864687967886	-0.03840894447251438	0.16474451979548604	-0.24542601665963631	-0.153128201324798	0.0231445642953493	-0.052472755422261985	0.04414757267152148	-0.061982283491941355	-0.001622390847861457	-0.10790057988884305	0.012619883095150905	0.05203007449091693	-0.02682970922120604	-0.16151364430703052	0.11736143623308658	-0.04778172817073114	-0.09283783971705503	0.008357630567697734	-0.1204323903379672	-0.0674520583504457	0.09696798327546806	-0.039484357834525405	-0.13619507627554686	-0.010999809948500678	0.05302668601174611	0.011356735935030199	0.02885769778103286	-0.08599830344271338	0.02665356392915251	-0.03393114573241676	-0.03808446630294209	0.0055485766996861835	-0.07581664202177713	-0.037528218012246733	-0.07455581256286764	0.11342829727762815	-0.08515697790303665	0.13473724221368277	-0.034480440919478425	0.08189365459762389	-0.060104945510844526	-0.16803333781422233	0.020073610190468685	-0.0014740579703426953	-0.06785302065998859	-0.13785223264157678	0.02536955745813073	-0.02311211647839207	-0.006369042928461834	0.014015139224311758	0.21606769541697762	-0.016376876758555793	-0.08949107916803797	-0.0019260097065326727	-0.1633956176905498	-0.07836379565291961	-0.02364287005576389	0.07402969438791829	-0.15930255735151647	0.05737932888643728	-0.09856951481242844	0.040337271880258284	-0.04648845089486444
CcpA	-0.3818273683429827	0.3337767868317488	-0.04770060862833807	0.25974477474261926	0.4308606551677784	-0.17948278179770177	0.42729834840611686	-0.17349152416667052	-0.16666589409959626	1.0	-0.32166911570427986	-0.3115778446305816	0.3400902049311411	-0.3404401778140369	-0.04692186102136457	0.44813448229508046	-0.16206757489651463	-0.44715177698151864	-0.31081300323087546	-0.3519475643277971	-0.0737214401268246	-0.32639259077276794	0.14128243043419814	-0.20939503362984457	-0.343606157668578	0.3167579068376821	-0.08389846614533841	0.3189736291956186	0.14994831526298955	-0.2743300684648938	0.08268862611307601	0.05027093927159286	0.3344466024817945	0.2311883781190464	0.49445374100152506	-0.18289675568184452	0.16765555251679173	-0.23243761907189972	-0.10185369742874227	0.014573705216218346	-0.43547751598054985	-0.07667187376872123	0.4012079858712934	0.4358367596682906	0.44699880870157743	0.3593039479722432	0.4655983609217034	0.1018560151299535	-0.019366711321043336	-0.014997844537873556	0.11091127376223167	-0.4387756048041311	0.08634364092318675	-0.27870588835169724	-0.3632672170434476	-0.05257936967797859	0.0402097983136406	0.4395311753989923	0.3990525237448489	-0.2698661759320635	-0.341656970949933	0.08247539760164278	-0.2442463067431199	0.21369436937667743	-0.2379097116316153	0.33245106173892486	0.3624954225401078	-0.2544094265543663	-0.1657318605114703	0.19087428325090042	-0.03496715817383686	-0.25599936958527053	0.35388748024159716	-0.23408086923066226	0.19877069127756325	-0.20600887216023658	0.40561393587384287	0.15853539825059912	0.173586549916331	0.3340410047698291	0.42476973638466425	0.12204087497856127	-0.004192721491116251	0.25341281503353713	-0.07870449773097052	0.4303716202122087	-0.21117966356249218	0.40110600701799926
