	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.3527699846631504	-0.013099913964014514	-0.41535929375678	-0.5710320577563311	0.3252634072744049	-0.5371962243918253	-0.02750408359206474	-0.14557538123916758	-0.31905884113268246	0.2084489831544034	0.40904500056110427	-0.5287821543909526	0.1239940647638998	0.0008054963278843876	-0.5547126522774598	0.298928914325615	0.46262172845047944	0.3258020673574483	0.3851743787329019	0.015803189565954688	0.40295016147333507	-0.10669210339281038	0.11856257559321189	0.3934886968665445	-0.34120874325116274	0.17613436576515917	-0.23038441875833862	-0.06940485542213744	0.20764099302983827	-0.30631055250065464	-0.029244753675232858	-0.28673424855671514	-0.475629371937306	-0.5368969687901345	-0.00494021122457886	0.03837204952680208	0.39173306400329183	-0.12902654646566666	0.014501427698599733	0.4316587488622053	0.17660818713450294	-0.514657289991147	-0.5185775383732965	-0.48432274716642354	-0.38360827441738676	-0.5424930485417524	-0.11657751343532961	-0.008112320602501277	-0.23367124278357584	-0.19244878365066895	0.5123580094514895	-0.15955560543148917	0.30940784797815435	0.5638997992493672	0.09924063891070961	-0.23917754585468648	-0.5654758787516054	-0.5864287584633224	0.43429219815708425	0.2398309205850447	-0.001154627863190314	0.1991770470953503	-0.3779423683587077	0.18493248045486851	-0.5344580356363545	-0.34130350752503147	0.28528784648187633	0.17010436539108967	-0.17018416688487387	0.24500804249429545	0.11107619795758052	-0.5345228743500542	0.36880509732041544	-0.39050112844299806	0.011169715333108891	-0.5480542151398397	0.08383895061035673	-0.3957281262858639	-0.005538722427960449	-0.5386775396201947	-0.43213755782491053	-0.014087457449594134	-0.2662901033678724	0.10263718998990012	-0.34023117495230615	0.13299168318806967	-0.54386962430953
AgaR	-0.3527699846631504	1.0	-0.10320078803975112	0.5506028753475729	0.5990723076347585	-0.2070474694198182	0.4493846556690233	-0.04140949388396364	0.18450354742577837	0.20403995062282573	-0.49523061384805295	-0.409139764834973	0.6029975436102695	0.1283183082083318	0.22512250776194218	0.7075275252808638	-0.5621491539794761	-0.403114752054265	-0.25581116971533313	-0.3913141061609247	0.05970398633399419	-0.34352298657090485	0.5183381338919438	-0.26219528921807006	-0.5520442898290502	0.5677252833576478	0.007623536453072981	-0.06543971869973442	-0.1454008154715146	-0.5530567712814374	0.2535767278893752	-0.06542974351301138	0.6527986633249792	0.5027319542637688	0.6939612713375478	-0.4748213818127408	-0.060781306500081046	-0.679123181087046	0.04863651666479632	0.16356563049414583	-0.5299991271711617	-0.26554695195700695	0.6850334792204391	0.6011621092532325	0.44401800521203505	0.4926570156735121	0.7186099577301462	-0.1562538186261674	0.23853414631105127	-0.011174702926470406	0.027464182845172633	-0.5798102220725945	-0.08867192857766307	-0.5252409631042781	-0.732824598810459	-0.13666753949550492	0.06503073604409032	0.5829573934837092	0.625995336600207	-0.7030037781019713	-0.33244554171498397	0.08560954625369394	-0.4684921258369805	0.6058703973865011	-0.2629733537824661	0.5516652327335753	0.3307946483123231	-0.2960859861095525	-0.3784261649147745	-0.056955822391800394	-0.526881881320216	-0.377867554458285	0.6153119116198457	-0.3525854437087744	0.34234092694422624	0.05344954425865659	0.7470442274841332	-0.1371862492051023	0.5147819798251848	-0.24323744685095824	0.6476115662290054	-0.032840808488883905	0.06914051297397723	0.07220788289130788	0.1395603436451826	0.6059851120338159	-0.1661591790421327	0.6325041459369818
AmtR	-0.013099913964014514	-0.10320078803975112	1.0	-0.05826755944587838	-0.0942231199890273	0.12023341936931882	-0.23074352548036758	0.04234716143592813	-0.04106036234865772	-0.012406638486764173	0.1450616591229317	0.09034277235377	-0.0651703886582127	0.137824661155376	-0.08121547650220078	-0.06270152994426365	-0.0336687489868951	0.04638212446539234	-0.00906993852791182	-0.011434057781269094	0.08300103492562251	0.12087681891295403	-0.0169752740059103	0.09177919924188581	0.07091609621067595	0.00492524844449432	0.12692178206710808	-0.059299991271711615	-0.15661791294155789	0.1108816818164815	-0.005538722427960449	0.05539470566964676	-0.05845708799361588	-0.12104140949388396	-0.1201486302821731	0.09058716442848415	-0.05170887417548847	0.001089789149490642	-0.08597364056908441	0.04160899761842417	0.18003965136722402	0.04303046172645544	-0.01941420715969027	-0.14335091459993266	-0.010855496951333558	-0.20246387112058753	-0.15484232970485917	-0.04571378695494956	-0.04328482898789262	-0.044097806705819274	-0.11086173144303545	0.04928490380179304	0.007833015374256538	0.007763189067195352	0.07152957019414208	0.051913365503310514	-0.12087183131959252	-0.11797902716991483	-0.11460741405753189	-0.009957730146261175	0.1614858040623948	-0.03535954313644808	0.055763787578398734	-0.046651454506914054	0.13791942542924476	-0.23094801680818963	-0.22450903377847603	-0.03503036197458821	-0.005553685208044988	-0.13852292422598786	-0.08377909949001858	0.10585418770807616	-0.10160475816406689	0.034895696953827354	-0.1279193007394107	0.18012444045436976	-0.0508909088642003	-0.115210912854275	-0.0032544046683873865	0.01936931881943665	-0.1120088779161835	-0.03259641641416975	-0.07148966944724996	0.057688998615942844	0.03168368682901283	-0.04638711205875385	-0.05215775757802466	-0.04211773214129852
AraR	-0.41535929375678	0.5506028753475729	-0.05826755944587838	1.0	0.5736206187109565	-0.4105961420965349	0.5704135961795035	0.13123106273145552	0.13794436339605232	0.1449419568822554	-0.43320989039763586	-0.5048167682888814	0.6740458110450255	0.009967705332984201	0.0711255751318595	0.6237060312472724	-0.3621217222159877	-0.5300938914450305	-0.22069352485691843	-0.36534370752752526	0.06489607102332946	-0.3950398384019751	0.2440155114153543	-0.24311275701692042	-0.47785383857654085	0.48678163069364955	0.0017431638798488759	-0.014541328445491839	-0.13210887916308184	-0.3977281512238307	0.4330702377835135	-0.004800558610456489	0.4732353271237796	0.49172433571490914	0.6116360553124104	-0.2415616154814898	-0.14620381800271823	-0.6131722340677564	0.15434855796206937	0.0693549794885223	-0.563675357548099	-0.16900709485155677	0.640893277971047	0.5710919088766693	0.473579471065724	0.4919238394493697	0.646364667888627	-0.00478559583037195	0.08317560069327548	0.09067195351562987	0.25201561116722154	-0.5339193755533111	0.04835721143655158	-0.3513584957418422	-0.6435915659796256	-0.10373446052943304	0.10239279791518598	0.587386376388733	0.6771181685557176	-0.559301238170052	-0.34818638636391974	-0.007548722552650282	-0.3865210289405105	0.5339393259267572	-0.24757665307547475	0.5716355565530742	0.335283482337685	-0.19320191024825745	-0.3563111759498248	-0.10261723961645407	-0.4995099689522313	-0.1699248120300752	0.6187982393795434	-0.4725320764598062	0.33227596354069255	-0.0023416750832304643	0.7134029102607264	-0.16677764061896033	0.4425915535106423	-0.10622326961682814	0.6092669484656916	0.18160076808937767	0.005274379979800247	0.15875260290028553	0.0658137882018479	0.5228668686641978	-0.41870098130899386	0.6100599758101722
ArgR	-0.5710320577563311	0.5990723076347585	-0.0942231199890273	0.5736206187109565	1.0	-0.45854686467412314	0.7574084464893577	0.027100088529782167	-0.028855721393034824	0.3768101846656442	-0.383523485330241	-0.6027830770957244	0.7963715258294991	-0.2712627339493011	0.03737453085449943	0.8859337398221923	-0.4256586740483048	-0.7322909263207771	-0.49971446028005334	-0.49133530343271115	-0.15904687090861483	-0.5748625294579733	0.17917181012232072	-0.3457125400566092	-0.6903751917106198	0.5848526789610843	-0.2155962044414519	0.22552151523086322	0.09425803314255789	-0.48889138268556964	0.41518971558248857	0.1349617825658674	0.5716255813663512	0.7403309268195364	0.8590306612301899	-0.1417050087906333	-0.023863140438160076	-0.6315116148580406	0.24458409705856682	-0.05781867604334218	-0.6451476951084179	-0.2549034277235377	0.7999675806431502	0.896183244180102	0.6897218169802616	0.6333270988416314	0.880517213431589	0.08611329318320678	0.12068230277185502	0.14798438883277845	0.11904138455591716	-0.7237621416725895	0.0908315565031983	-0.46846718787017294	-0.7019763338694996	-0.21208493871494657	0.29049489395129613	0.9102582326462924	0.8676242845920772	-0.7087794112146036	-0.45561914737091486	0.03352909637277273	-0.4379381289043504	0.5859549370939787	-0.35458546864674123	0.8049651491913864	0.5688225538971807	-0.2719061334929363	-0.43160388533522864	0.14113642314742078	-0.3745408296861557	-0.24449432037805957	0.8481976084489832	-0.4774199179540892	0.6079252858514446	-0.1167969675432362	0.8298731904387835	-0.07812316861806257	0.5049763712764498	-0.04210276936121398	0.8811456501951396	0.25408546241224955	-0.053609147246225015	0.16942605269392386	0.017099963839948128	0.6980860110475193	-0.3267696604695819	0.85978877542114
BioQ	0.3252634072744049	-0.2070474694198182	0.12023341936931882	-0.4105961420965349	-0.45854686467412314	1.0	-0.5144827242234941	-0.07346974401177073	-0.031798401476327634	-0.17787004825496577	0.11311113604907792	0.3096821656130376	-0.46970411102382825	0.25465903564882353	0.14839835908178406	-0.43296549832292175	0.10781431189915086	0.4868963453409644	0.27782640681305254	0.2681355129116323	0.11974463521989052	0.390481178069552	0.0510804374119378	0.18449855983241686	0.3310091148268682	-0.21577575780246636	0.06374393695681992	-0.3209940273569496	-0.3299218194740583	0.1153655282484819	-0.34605169640519207	-0.14446314791955012	-0.2611279442387062	-0.3628947991870223	-0.42771356251324827	-0.0981034676242846	-0.021703512512624847	0.19324679858851107	-0.2375615656055562	0.06655693961271338	0.5479594508659709	0.20246387112058753	-0.3107046222521478	-0.45760919712215864	-0.45003304280602	-0.3142508011321837	-0.4301524956670283	-0.24733724859412212	0.11637302210750758	-0.2158605468896121	-0.1988029775932368	0.3594084714273245	-0.3060162844923253	0.22299779298993752	0.31408122295789226	0.007723288320303246	-0.23229965460915972	-0.5362236436863302	-0.48174416139852116	0.19979550867217796	0.0882679335153805	-0.11805882866369904	0.11509619820696018	-0.1726131248519308	0.28137757328644997	-0.4751954513148543	-0.3510592401401514	0.08011820596266786	0.1358246362174092	-0.2844449432037806	0.1346575393708151	0.036391974962281325	-0.44706542475591965	0.219406725769648	-0.38387760445890845	0.24772129328295864	-0.39238145114028855	0.19554109153480717	-0.21791044776119403	-0.075270265215277	-0.3916532625095076	-0.26352198905223256	0.03911021334430604	-0.2098006209553735	0.1232808389132034	-0.32146784872629336	0.3033928103841694	-0.43708026284617013
BirA	-0.5371962243918253	0.4493846556690233	-0.23074352548036758	0.5704135961795035	0.7574084464893577	-0.5144827242234941	1.0	0.04649185151934563	0.03881594533597676	0.34338832155014404	-0.32787690619583787	-0.5738949363458398	0.7315078741630194	-0.39317447848476916	-0.05121011483933715	0.7102657140363346	-0.1974064514520131	-0.6444045436975523	-0.483764136709934	-0.4419880547138992	-0.21460367336251077	-0.5636155064277609	0.058013192184441204	-0.293642065362411	-0.5678399980049627	0.4218980286537239	-0.303632214865522	0.24139203730719835	0.1938153842317236	-0.363164129228544	0.3612439057843614	0.23502288058454593	0.5096248082893802	0.5972917368046983	0.7150338532899413	0.0019626179877554584	-0.12153019364331226	-0.4113791942542924	0.22559632913128594	-0.12812379206723276	-0.6773675482237933	-0.20641404506290603	0.637122657389743	0.7396825396825397	0.569700370328807	0.5760396014912904	0.7822466614296937	0.15313657277522164	0.006501327946732503	0.20296761805010038	0.3220414219628674	-0.5852766243968129	0.10659235152558012	-0.38941882068354966	-0.6102245663911021	-0.16213917879275302	0.21191037294729362	0.786895098442624	0.7722914250801132	-0.5337049090387661	-0.3918826918041372	0.09530542774847567	-0.3992344044190077	0.5151011858003217	-0.4013690943777354	0.8018977792740558	0.5016047581640669	-0.16667788875173006	-0.26912804399057344	0.3179067070661729	-0.2575668025785858	-0.21128193618374294	0.7049888402598536	-0.462073093180713	0.5702639683786581	-0.15616404194566016	0.6919662339929425	-0.12628337011683438	0.4069202857890996	0.04789336525393085	0.724370628062694	0.3286898839137645	-0.1108068679160588	0.28334268507088617	-0.07056696467537002	0.5410466464669136	-0.32215613661018216	0.6865696579757853
CadR-PbrR	-0.02750408359206474	-0.04140949388396364	0.04234716143592813	0.13123106273145552	0.027100088529782167	-0.07346974401177073	0.04649185151934563	1.0	0.13008391625830745	-0.10225314530106361	0.04821257122906769	-0.13953540567837505	0.11304130974201673	-0.066980885048442	0.08170924824499058	0.005104801805508797	0.09641766106809312	-0.10395391463733962	-0.11573461015723388	-0.1661591790421327	-0.11931570219080039	0.06301574832603898	-0.030596391476202946	-0.12964002044913278	-0.07460192770483423	-0.07756455816157308	-0.021264604296811682	-0.043000536166286366	0.15394456289978678	0.1400541153879724	0.2761455878502226	-0.05057170288906346	0.017693487449968202	0.12532076459806232	-0.04115512662252647	-0.07284130724822005	-0.16982506016284493	-0.060561852392174466	-0.03214753301163356	0.0653250040524196	-0.08509083654409656	-0.12272222845671392	0.10163967131759748	0.08282148156460804	0.10676691729323308	0.028172421102507512	0.046028005336724895	0.005044950685170638	-0.003199541141410741	0.21716729635032855	0.20356114166012046	0.0001920223444182596	0.08046234990461228	0.010261973341313483	-0.050023067619297	-0.13098168306337984	0.16386987368919811	0.06705071135550318	0.08540505492587189	-0.02710507612314368	-0.00221199765583112	-0.2297709447748725	-0.20013466502076085	0.14712153518123666	-0.033499170812603646	0.1660444643948179	-0.023967879898751855	-0.04072619359343633	-0.03472113118617439	-0.05859175301437674	-0.09120063841195028	0.02023217247097844	0.0652501901519969	-0.15988977418671055	0.05836232371974713	-0.0023865634234840833	0.09328545243706281	-0.012396663300041147	0.06501577326400579	0.05523510268207833	0.08647738749859724	0.21341163854910908	-0.06748961957131636	-0.21811493908901608	-0.00974825122507762	-0.011912866743974364	-0.060791281686804075	0.12781456127881893
CblR	-0.14557538123916758	0.18450354742577837	-0.04106036234865772	0.13794436339605232	-0.028855721393034824	-0.031798401476327634	0.03881594533597676	0.13008391625830745	1.0	-0.09406351700145887	0.07743488073417375	-0.0750458235140089	0.027633761019464083	0.0583872616865547	0.026740981807753215	0.08941009239516702	-0.25698824174865026	-0.040262347410815594	0.08967443484332722	0.011558747615306925	0.028047731268469683	-0.05730495392710632	0.07483135699946383	-0.07171411114851806	-0.11780944899562339	0.04190326562675345	0.04918016434120126	-0.1935261038167558	-0.08611329318320678	0.041613985211785685	0.029364455915909176	0.08798862828713575	0.10205862915996458	0.022905522512749535	-0.001937680020947892	-0.11402386563423485	0.04981857629147496	-0.06926021521465354	-0.16950086659434657	0.15817902966371153	-0.22107756954575494	-0.035848327285876384	0.11665731492911383	0.011269467200339157	-0.011872965997082258	0.24247434506664672	0.08124041446900834	-0.2075811419095001	0.029314579982294045	0.05583860147882143	0.07352959513210888	-0.06294592201897779	-0.04394817890497388	-0.07815309417823164	-0.1618349355977007	-0.050182670606865425	0.012685943715008915	0.039908228282148156	0.07670170451003129	-0.10374443571615606	-0.024815770770209106	-0.07774411152258756	0.03997306699584783	0.07134502923976609	-0.10876195463783837	0.07771418596241848	-0.05163406027506577	-0.06853202658387261	-0.05856182745420766	-0.008142246162670357	-0.13063753912143544	-0.030616341849649	0.10027307073654285	-0.07976408683400042	0.09113081210488909	0.13238319679796506	0.11973964762652901	-0.03951420840658861	0.05833738575293956	-0.1993166997094727	0.0337834636342099	0.027928029027793365	-0.017264554420878066	-0.04026733500417711	0.020571328819561342	0.05794336587738002	-0.0323869374929862	0.06390353994438834
CcpA	-0.31905884113268246	0.20403995062282573	-0.012406638486764173	0.1449419568822554	0.3768101846656442	-0.17787004825496577	0.34338832155014404	-0.10225314530106361	-0.09406351700145887	1.0	-0.2895322884325241	-0.2672876220401751	0.2356762553149042	-0.2661654135338346	0.04169877429893141	0.4010050000623449	-0.2063691567226524	-0.3369493385204304	-0.17745109041259866	-0.28318806967667925	-0.006062419730919338	-0.3206249454481976	0.003224479108218307	-0.08016309430292148	-0.2266736492973728	0.23739697502462626	0.021838177533385704	0.1733911894163269	0.12624346936994227	-0.17303208269429793	-0.043758650357236376	-0.0326911806880385	0.2003042431950523	0.2811830571453509	0.40907991371463487	-0.02429706106061173	0.15925136223643685	-0.18486265414780734	0.07241237421912991	0.048471926083866385	-0.3785109540019202	-0.09401862866120525	0.3654584221748401	0.35760795022381825	0.33179216698462577	0.2990735545330989	0.402725719772067	0.15237845858427163	-0.05376875023379344	0.11391912617364307	0.11122083816506441	-0.3949201361612988	0.0514944076609434	-0.3075474756543099	-0.3103405279367573	-0.07181386301574832	-0.010481427449220065	0.3764610531303383	0.32007132258506965	-0.21309243257397226	-0.22183568373670495	0.03421738425666156	-0.11640793526103817	0.22534196186984876	-0.10977443609022557	0.2291624583847679	0.29602114739585283	-0.23098791755508175	-0.16087233007892868	0.16383496053566754	0.025718525168643	-0.07252708886644472	0.33044052918365563	-0.20029426800832928	0.2589284155662789	-0.15130612601154628	0.32961258868564447	0.0808513821868103	0.029733537824661156	0.21735682489806607	0.3652888440005486	0.12894175737852093	0.06934999189516079	0.22856893477474782	-0.143470616840609	0.2962406015037594	-0.14790458733899425	0.3375827628773426
