	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.5839854801686862	0.12264986921475471	-0.576213099877222	-0.7700421715688891	0.4047402978700689	-0.7538888592323707	-0.07964020712112316	-0.014050072065339241	-0.44158436982864463	0.4148881652698447	0.6218224523568036	-0.7372924785138526	0.4433940105695831	0.03908076656168259	-0.749463513585651	0.3202850584529974	0.7079698927027172	0.5825495115571452	0.5790636844071959	0.2214701329205146	0.6498158330219399	-0.28372924785138526	0.4542678695350451	0.6092724069823306	-0.5639299631666044	0.3369988789836118	-0.5302781188277371	-0.3073773554689585	0.36190679549458177	-0.5194523034217691	-0.2594725884802221	-0.47765440666204023	-0.5212886350290931	-0.754155767896226	0.2689425078738056	-0.06890514066086585	0.6068755671809107	-0.053696684994394915	-0.05296001708215449	0.6399829178455133	0.11571024395451876	-0.7175839427747824	-0.7268723642769445	-0.660438797843378	-0.6268349970640047	-0.7244061282229222	-0.2856509902311429	-0.06679656221640955	-0.14336198152992047	-0.20241285432125128	0.6572358938771152	-0.2983825334970373	0.5109806224310041	0.7312283136710618	0.08146586238189292	-0.3331180270111568	-0.7685314685314686	-0.7813857897827363	0.6235093151123685	0.5440239150162814	-0.04464848128970266	0.4456787487321838	-0.5492499866545668	0.3998772220146266	-0.7272140073666791	-0.5211498425238883	0.2995142262317835	0.21949500880798592	-0.35241552340788984	0.37974697058666523	0.3132973896332675	-0.7209363155928041	0.4986174131212299	-0.3631185608284845	0.2239256926279827	-0.7420487909037528	-0.046970586665243154	-0.5100891474937277	-0.18731116212032242	-0.7437409918325949	-0.5807078417765441	0.17460097154753643	-0.3800298937703518	-0.07305823947045322	-0.5346447445684087	0.3549991992740084	-0.7498371857150483
AgaR	-0.5839854801686862	1.0	-0.19595366465595473	0.5082154486734639	0.7153579245182299	-0.34183526397266856	0.7075001334543319	-0.01976725564511824	-0.0007099770458549085	0.36651897720600013	-0.44090108364917524	-0.5120749479528105	0.6805583729247852	-0.3807238562963754	0.0012491325468424704	0.7690279186462392	-0.35911493087065605	-0.6266214701329205	-0.644408263492233	-0.5674691720493247	-0.3400896813110554	-0.6551006245662734	0.4753910211925479	-0.5666951369241445	-0.6757433406288368	0.6267228954251856	-0.29760316019858	0.5203277638392142	0.3982490791651097	-0.5660865851705547	0.4748892329045001	0.23130304809694122	0.7043132440079005	0.4928895531948967	0.7673730849303368	-0.45188170608017936	0.12293813057171836	-0.6332621576896386	-0.09608178081460524	0.025617893556824853	-0.6875460417445151	-0.20089681311055357	0.7027224683713233	0.7297816687129665	0.6119201409277745	0.6043025676613463	0.7774248652111247	0.14544386910799126	0.1698713500240218	-0.06513639032723002	0.14720546628943576	-0.6530988095873592	0.17415256499225965	-0.5311429028986281	-0.7596434100250894	-0.06444242780120643	0.24021779746970587	0.7357924518229861	0.6993487428601932	-0.6932685634975712	-0.5098649442160893	0.13273367853520526	-0.5714194202743821	0.5579245182298618	-0.4035979287887685	0.7345433192761437	0.48045160945924303	-0.26446911866759193	-0.2556451182405381	0.32654139753376393	-0.47124326055623766	-0.5498852292745422	0.6833182085090482	-0.4632413388138579	0.346757059734159	-0.2589334329792345	0.7633908076656168	0.01644157369348209	0.5286980195377142	0.21174931938290717	0.7394437623445257	0.3480115304542786	-0.14558799978647308	0.22851118347301552	0.08657983238135909	0.6472695243687611	-0.361970853573907	0.70178828804783
AmtR	0.12264986921475471	-0.19595366465595473	1.0	-0.14956493887791597	-0.16923610740404635	0.0970853573907009	-0.2304542785458816	0.032183846687663484	0.03773020872257513	-0.0466769871350024	0.2013986013986014	0.19388245342443816	-0.17208669193402018	0.1642982971227246	-0.09571344685848503	-0.15139593231196286	-0.006373778892862863	0.13240271179202476	-0.021886510436128756	0.0729247851385256	0.03452730475631239	0.11795227673090268	-0.14627128596594247	0.1463033150056051	0.14763785832488122	-0.07840175092083489	0.07631986334276411	-0.20881866225377677	-0.2720973682805744	0.17062937062937064	-0.019446965248491967	-0.05795654726952437	-0.14640474029787007	-0.07753162867666684	-0.16936956173597395	0.23668926493353976	-0.06984999733091336	0.09915123044894038	-0.016729835050445736	0.07250306944963433	0.25036032669620456	-0.023162333849356752	-0.12034911653232264	-0.18984145625367	-0.07568462072278866	-0.21935087812950407	-0.17810281321731702	-0.05833021939892169	-0.07925052047189451	-0.07692841509635402	-0.11060161212832968	0.16823253082795067	-0.054262531361768	0.05384081567287674	0.17840175092083488	0.044744568408690545	0.016649762451289168	-0.17570063524261997	-0.18708162066940692	0.046575561842737416	0.20404099717076815	-0.011968184487268456	0.08586985533550419	-0.11203758073987082	0.17050125447072012	-0.2486360967276998	-0.19303902204665563	0.09371163187957081	-0.06237655474296696	-0.14243847755298136	0.04470720119575081	0.21618000320290395	-0.1585757753696685	0.1028132173170341	-0.2227512945070197	0.22313030480969412	-0.14646879837719531	-0.16401003576576095	-0.08499439491805905	-0.02681364437089628	-0.17076282496129824	-0.03969999466182672	-0.0714087439278279	-0.03082795067527892	-0.012464634602039183	-0.10281855549031121	-0.0668552821224577	-0.09366892649335397
AraR	-0.576213099877222	0.5082154486734639	-0.14956493887791597	1.0	0.5572465702236694	-0.504847061335611	0.6361821384722148	0.16121283296855815	0.04917525222868734	0.2923984412534031	-0.3694282816420221	-0.519553728714034	0.6409064218224524	-0.2892222281535259	-0.06123418566166658	0.586830726525383	-0.2256926279827043	-0.6153846153846154	-0.45759355148668124	-0.47565792985640315	-0.16246730368867773	-0.5365825014679977	0.22890620829552127	-0.431393797042652	-0.5048951048951049	0.45942988309400523	-0.16695670741472268	0.46403672663214646	0.2806384455239417	-0.4029253189558533	0.4851812309827577	0.26776277157956546	0.4605882666951369	0.42272994181391127	0.5869107991245396	-0.23394544386910798	0.10730795921635616	-0.5519190732931191	-0.11996476805637112	-0.09453371056424492	-0.5879303902204666	-0.25021085784444563	0.6184220359792879	0.5914695991031869	0.5171835797789996	0.46624673036886777	0.6189131479207816	0.20964074093845086	-0.04179789675972882	0.12900763358778625	0.25199380771899854	-0.5574013772487055	0.18524528906208296	-0.29378102813217316	-0.6474883894731223	-0.13163935301339882	0.10218865104361288	0.6047242833502375	0.6417765440666204	-0.47873805583729245	-0.39259595366465594	-0.1274168579512091	-0.394384241712486	0.48866171995942986	-0.22246837132333316	0.6161533123365185	0.3609138952650403	-0.23668392676026265	-0.13062510009074896	0.26201889713340093	-0.42118187156355097	-0.31417818822398974	0.5877328778092137	-0.46452250040036297	0.31965515400629907	-0.24891901991138632	0.6763572305557038	-0.047904766988736455	0.3639353013398815	0.3216729835050446	0.5952116585704372	0.43122831367106174	-0.1401430630438264	0.26095660065125714	0.03658783964127475	0.5200395024822506	-0.42622644531041476	0.5812523354508088
ArgR	-0.7700421715688891	0.7153579245182299	-0.16923610740404635	0.5572465702236694	1.0	-0.4606576629477393	0.8641061228847489	0.03230128649975978	-0.09728286980195378	0.5291677787860994	-0.45992633320877596	-0.7004644210751081	0.8587679496076442	-0.5836812042918913	-0.014856136230182032	0.9154166444242781	-0.4194416270752149	-0.80398227726472	-0.7116852613035819	-0.6419260129183794	-0.35872524422142743	-0.7861207494795281	0.3190572785992633	-0.5741045214327657	-0.7648748198366518	0.7040997170768163	-0.3845780174024449	0.6048257086425025	0.3952169967437143	-0.5293866438904606	0.5654726952436876	0.31251801633481024	0.671366038541611	0.6838947312229755	0.8998238402818556	-0.3718571504831047	0.1206533924091176	-0.7352105909357818	-0.012875673944376234	-0.07735013078524529	-0.7557785725724657	-0.20499119201409277	0.872230822612502	0.9245769497677895	0.7660812469972775	0.7125020018149789	0.9264666631078845	0.23264292958949448	0.08182351999145893	0.1226338546949234	0.20212993113756472	-0.820167618640901	0.27952276730902686	-0.5437783590455346	-0.8119735226605456	-0.15573052901297177	0.3152992046121817	0.9340201782949874	0.9016281428495169	-0.7541984732824427	-0.6154807025036033	0.01752522286873432	-0.5553675332301287	0.6655687823626755	-0.4621203224256659	0.8756045481236321	0.636806704745636	-0.32819623124966635	-0.35777504937810284	0.4157903165536753	-0.4122831367106176	-0.41593444723215717	0.8828431110873859	-0.5733731916938024	0.4825174825174825	-0.35218064378369723	0.9023915016281429	0.11288635029093044	0.5384348475951529	0.2831954305236748	0.9200234879624193	0.5102653072118721	-0.25069129343938507	0.29853200234879623	0.07733945443869109	0.7384241712485987	-0.4497090695563978	0.8950515133721241
BioQ	0.4047402978700689	-0.34183526397266856	0.0970853573907009	-0.504847061335611	-0.4606576629477393	1.0	-0.5203064111461058	-0.04491005178028079	-0.09273474616986067	-0.3320610687022901	0.19557999252655742	0.3672022633854695	-0.49726151710884536	0.2762184380504991	0.10181497891421555	-0.46470399829178455	0.19108525062723536	0.5061816046548872	0.3339774729087706	0.3544280147333582	0.11480275449741098	0.412710190572786	-0.05311482410719052	0.30600544493674264	0.38447659211017987	-0.2901884375166818	0.08568301927080553	-0.40032029039662625	-0.33841349490204453	0.22315165750280255	-0.34754710937917044	-0.21440772967490523	-0.3303261623872311	-0.39090909090909093	-0.4779586825388352	0.044552394170714785	-0.1606790156408477	0.2882239897507073	-0.027192654673570703	0.11989537180376875	0.5298457267922917	0.3088506912934394	-0.41742379757646936	-0.46273955052581006	-0.4730101959109593	-0.3782896492820157	-0.5046068435381412	-0.3123471947899429	0.17446217904233172	-0.15795120909624727	-0.16691934020178295	0.4233384935675012	-0.32366946031068167	0.19888432178508514	0.41839000693962525	0.07863129237175039	-0.15514866812576736	-0.5112688837879678	-0.5009875620562644	0.29723482624245984	0.165696898521326	-0.054171782416057225	0.17307959216356164	-0.26446378049431485	0.2743180483638499	-0.49079165109699463	-0.2636203491165323	0.1550579191800566	0.12288474883894732	-0.3760743073720173	0.19434153632626916	0.16213633694549726	-0.45935514866812577	0.24755244755244754	-0.3568622217477179	0.2852132600224203	-0.47815085677681096	0.10770832221213901	-0.2689798750867453	-0.275599209950355	-0.43563230662467306	-0.28894998131639354	0.06325735333368922	-0.22924251321197886	0.0659371163187957	-0.3983451662840976	0.26588373458602466	-0.4872951476004911
BirA	-0.7538888592323707	0.7075001334543319	-0.2304542785458816	0.6361821384722148	0.8641061228847489	-0.5203064111461058	1.0	0.042529226498692146	-0.02869268136443709	0.5147173437249773	-0.48053168205839963	-0.6884001494688518	0.8694763252015161	-0.6112742219612448	-0.051742913574974646	0.8565739603907543	-0.32617840175092083	-0.7753323012864998	-0.6607270592003417	-0.6236961511770672	-0.38754070357123793	-0.737516681791491	0.32782255912026903	-0.5663534938344099	-0.697346927881279	0.6079271873165003	-0.43072118720973684	0.5783163401484012	0.41439705332835103	-0.49190199113863237	0.5045214327657076	0.3555436929482731	0.6792184914322319	0.6078577910638979	0.8477446217904233	-0.3627662413921956	0.0807345326429296	-0.6463727112582074	-0.018512784924998665	-0.08061175465755618	-0.807302621043079	-0.2012918379330593	0.8179042331714087	0.8653072118720974	0.7214327657075749	0.7338760476165056	0.895510596273955	0.26112208402284737	0.03560027758501041	0.15467890887738217	0.29163508247477715	-0.737719532376021	0.24034057545507928	-0.5640794320183633	-0.8233918753002722	-0.1508674531575295	0.2761970853573907	0.8805156675385682	0.897346927881279	-0.6925852773181017	-0.6031762130998772	0.04780867986974857	-0.5656755458282176	0.6722735279987189	-0.5200875460417446	0.8845940319222761	0.5846580900016014	-0.3095713446858485	-0.26570223669460313	0.46411679923130306	-0.43097741952703783	-0.41066567020765493	0.8078311001975124	-0.6000587199060482	0.4681097528425773	-0.34512357871136495	0.8857310628302995	0.022318902471574226	0.5405594405594406	0.32162493994555064	0.851299845192975	0.5239310308012598	-0.2871723696151177	0.35172156088186624	0.09343404686916137	0.7144931404473389	-0.44147760636310257	0.8063577643730315
CadR-PbrR	-0.07964020712112316	-0.01976725564511824	0.032183846687663484	0.16121283296855815	0.03230128649975978	-0.04491005178028079	0.042529226498692146	1.0	0.0586932151817648	-0.07814551860353387	-0.0569369561735974	-0.1426199754444029	0.0993060374739764	-0.09143757006352426	0.13019270805530347	0.0287033577109913	0.02431537927721134	-0.10827950675278919	-0.0590455346180537	-0.22860727059200342	-0.08639833448993754	-0.0028932899161906796	0.0556557945870923	-0.06133027278065446	-0.114242246303315	-0.028452463566967384	0.0034698126301179735	0.005946725030694496	0.1788715101692201	0.14816099930603746	0.17120589334329792	-0.006635349383440987	0.041135963273367854	0.09856403138845887	-0.02261250200181498	-0.15154540116372178	-0.013756472535098489	-0.13235466823253084	-0.07822559120269044	-0.039571878503176214	-0.09073826936422356	-0.034431217637324506	0.14104521432765707	0.06260609619388245	0.10368333956120215	0.059328457801740245	0.05850104094378904	0.08787700848769552	0.05342443815726258	0.21644691186675918	0.23224790476698873	-0.0824961298243741	0.06657769711204825	-0.06161853413761811	-0.1151657502802541	-0.08741258741258741	0.06310254630865318	0.08826669513692414	0.1299898574707735	0.00897346927881279	-0.04130144664495809	-0.19751241125286928	-0.18171141835263974	0.1591309453904874	0.019489670634708803	0.1357177173971067	-0.05858645171622271	-0.051235787113649706	0.03996690332568195	0.029231836865424653	-0.13678535205252762	-0.024075161479741633	0.08519724550258902	-0.202348796241926	0.035119841990070996	-0.025222868734319115	0.1220626701542732	0.0077296749052474245	0.05702770511930817	0.11467997651203758	0.06260609619388245	0.1999893236534458	-0.03721240591469599	-0.18073987081620668	0.05426786953504511	0.01256605989430417	-0.0889179522767309	0.09493407356002775
CblR	-0.014050072065339241	-0.0007099770458549085	0.03773020872257513	0.04917525222868734	-0.09728286980195378	-0.09273474616986067	-0.02869268136443709	0.0586932151817648	1.0	-0.13808252815886404	0.21066033203437784	0.006736774675705973	-0.10010676346554209	0.05046709016174665	0.050557839107457425	-0.015293866438904607	-0.14476058292852187	0.010308012598088934	0.04686382319970106	0.010259969038594993	0.1257887151016922	-0.042518550152137936	-0.17401911066033204	0.03002188651043613	-0.05564511824053809	-0.04712005551700208	0.15585864517162226	-0.194741899322052	-0.11468531468531469	0.03861634548657449	-0.05291197352266055	0.18198900336304916	-0.07457961885442801	0.015181764800085411	-0.08782896492820157	0.11386323600064058	0.06120749479528106	0.07885549564938878	-0.09549458175412374	0.07154753643303262	-0.08955319489670635	-0.07650136123418566	-0.01950034698126301	-0.09767789462445951	-0.10491111941493621	0.13376394597768643	-0.030897346927881278	-0.07574867880211392	-0.010019751241125287	0.01617466502962686	0.06950835424117867	0.06054022313564298	-0.03659317781455186	0.05266641755191374	-0.009779533443655581	-0.026845673410558907	0.11213900603213581	-0.0350024021779747	-0.02771045748144985	-0.008930763892595953	0.07255111300912828	-0.050365664869481665	0.1851865691560348	-0.08310468157796402	0.03736187476645492	-0.015389953557892489	-0.13135642982971227	0.1247424331393797	0.071056424491539	0.03970533283510383	-0.06563284044200075	0.041125286926813644	-0.004697592483852026	-0.0031068168472748623	0.05907756365771633	0.19887898361180803	-0.03320343778359046	-0.11840068328617948	-0.04259862275129451	-0.08146586238189292	-0.05874659691453585	-0.028815459349810495	0.07810815139059414	-0.17631986334276412	-0.0003416430897346928	-0.0844765921101799	0.07477179309240378	-0.017220946991939358
CcpA	-0.44158436982864463	0.36651897720600013	-0.0466769871350024	0.2923984412534031	0.5291677787860994	-0.3320610687022901	0.5147173437249773	-0.07814551860353387	-0.13808252815886404	1.0	-0.3229114397053328	-0.3465915763625687	0.4102919980782576	-0.4396733037954412	-0.04381572625847435	0.5344258794640474	-0.18971334009501947	-0.5043025676613463	-0.43112688837879676	-0.41103400416377517	-0.19318315272513745	-0.44887631452516946	0.10768696951903059	-0.33670527945337103	-0.3905140660865852	0.3560401430630438	-0.10194843324614317	0.3991031868894464	0.38135909891635084	-0.2888752468905141	0.10742539902845247	0.07955479634868948	0.38791437570063525	0.33728180216729836	0.5528532536166124	-0.1025676613462873	0.2784231036139433	-0.3196071104468051	-0.07543372657876475	0.025559173650776704	-0.5075428388405487	-0.151812309827577	0.4898467944269471	0.5271766401537394	0.5487428601932419	0.44141354828377727	0.5195430523674799	0.2015160412106977	-0.05701169059947686	0.06001174398120963	0.08655847968825069	-0.48269364223562694	0.07354401323866973	-0.33643837078951583	-0.4038434847595153	-0.027988042491859287	0.07858858698553355	0.5253403085464154	0.46468798377195325	-0.32300218865104363	-0.35119308172743285	0.04646346020391822	-0.26631612662147014	0.2639246249933273	-0.2584529973842951	0.38827203331020127	0.39643943842417123	-0.33635296001708215	-0.17159557999252656	0.29399455506325733	-0.08393209843591523	-0.180296802434207	0.4675759355148668	-0.301275823413228	0.32500934180323493	-0.18876848342497196	0.4619922062670154	0.09011370309080233	0.20317087492660013	0.4188917952276731	0.5060107831100198	0.2302247370949661	-0.08499973309133614	0.2551166390861047	-0.13696684994394917	0.4611380985426787	-0.25037634121603586	0.4661613195964341
