	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.20606109715582205	-0.01401831294060449	-0.21011263268778868	-0.3605056316343894	0.18499311238959565	-0.41982011182238066	-0.025524673851389675	-0.03848958755368285	-0.10963455149501661	0.10623126164816465	0.31820760068065795	-0.33668260270642575	0.10882424438862329	0.13896766874645491	-0.3024876428166275	0.26197228749696133	0.2177295194878859	0.10752775301839397	0.40539664532857955	0.23280123166680172	0.23782513572644032	-0.18791021797261162	0.09375253220970747	0.36358479863868404	-0.31674904788915	0.12859573778462038	-0.3618021230046187	-0.17770034843205576	0.14690867838910948	-0.21205736974313263	-0.210922939794182	-0.5277530183939713	-0.18904464792156228	-0.22437403776031115	-0.024714366744996354	0.17575561137671178	0.1404262215379629	0.05566809820922129	0.10817599870350864	0.37703589660481324	-0.07041568754557978	-0.3002187829187262	-0.46665586257191477	-0.4679523539421441	-0.263592901709748	-0.4089619965967102	-0.03622072765578154	-0.14431569564865085	-0.06231261648164654	-0.2783404910461065	0.45514950166112955	-0.08338060124787294	0.18191394538530103	0.420630418928774	-0.05939551089863058	-0.1888825865002836	-0.36633984280042137	-0.4107446722307755	0.20103719309618345	-0.10396240175026335	0.23215298598168707	0.31253545093590474	-0.17705210274694108	0.16117008346163195	-0.4248440158820193	-0.2720200956162386	8.103071063933231e-05	0.15744267077222268	0.13524025605704562	0.30637711692731545	0.29276395753990764	-0.33473786565108177	0.5831780244712746	-0.2136779839559193	0.03605866623450288	-0.4151203306052994	0.12276152661858844	-0.39923831131999027	0.03281743780892958	-0.3036220727655782	-0.23555627582853902	0.05064419414958269	-0.2112470626367393	0.13313345758042297	-0.39875212705615426	0.08613564540961025	-0.1678146017340572
AgaR	-0.20606109715582205	1.0	0.15938740782756664	0.6546471112551657	0.5830159630499959	-0.340896199659671	0.4128514707073981	0.17640385706182643	0.264079085973584	-0.21643302811765658	-0.3904869945709424	-0.611052588931205	0.6394133376549712	0.025848796693947004	-0.061664370796531885	0.765659184831051	-0.2879021149015477	-0.343327120978851	-0.13767117737622558	-0.2177295194878859	-0.40312778543067823	-0.1614942063041893	0.07252248602220242	-0.43051616562677253	-0.4919374442913864	0.6222348269994328	-0.09407665505226481	-0.1490154768657321	0.12292358803986711	-0.3561299732598655	0.2691029900332226	-0.044647921562272104	0.35045782351511223	0.545255651892067	0.5664856980795722	0.0028360748723766306	-0.17980714690867838	-0.7167166356048943	0.2741268940928612	0.10947249007373795	-0.395510898630581	0.21789158090916458	0.7236852767198768	0.49226156713394376	0.35596791183858684	0.4843205574912892	0.6309861437484807	0.29162952759095695	0.08289441698403695	-0.03119682359614294	0.03200713070253626	-0.49598897982335305	-0.09083542662669152	-0.3135078194635767	-0.6204521513653675	0.09991086621829673	0.014990681468276477	0.5841503929989466	0.6645328579531643	-0.7881857223887854	-0.16570780325743456	-0.10752775301839397	-0.5608135483348189	0.5553034600113443	-0.15209464387002675	0.41722712908192205	0.21384004537719795	-0.15322907381897738	-0.3180455392593793	-0.2428490397860789	-0.5616238554412122	0.016935418523620453	0.6084596061907462	-0.4826999432785026	0.4673041082570294	0.04562029008994409	0.6739324203873268	-0.11660319260999918	0.47492099505712665	-0.46179401993355484	0.6373065391783486	0.1128757799205899	-0.11903411392917916	0.05566809820922129	-0.05307511546876266	0.4421845879588364	-0.3415444453447857	0.5862571914755692
AmtR	-0.01401831294060449	0.15938740782756664	1.0	-0.034113929179158904	-0.07592577586905437	0.16084596061907463	-0.29406044891013694	-0.2738027712503039	0.1000729276395754	-0.010939145936309862	0.16019771493395998	0.04497204440482943	0.051940685519812006	0.31561461794019935	0.05226480836236934	0.07414310023498906	-0.39664532857953166	0.16343894335953327	0.2879021149015477	0.08824244388623288	0.13151284336763633	0.3997244955838263	0.07284660886475974	0.1211409124058018	0.0918077951543635	-0.0033222591362126247	0.09926262053318208	-0.1623045134105826	-0.3302001458552791	0.004132566242605947	-0.30637711692731545	0.034924236285552225	0.004942873348999271	-0.029738270804634957	-0.08370472409043027	-0.15938740782756664	0.20687140426221537	-0.22664289765821247	-0.05647840531561462	0.09196985657564216	0.11465845555465522	0.050158009885746695	-0.02147313831942306	-0.1431812656997002	-0.10590713880560733	-0.09666963779272345	-0.18418280528320233	-0.31269751235718335	-0.009318531723523215	0.11563082408232721	-0.10801393728222997	0.0012154606595899846	-0.22891175755611376	0.21448829106231262	-0.1793209626448424	-0.07009156470302244	-0.2588931204926667	-0.16570780325743456	-0.0313588850174216	-0.07284660886475974	0.14545012559760148	0.15744267077222268	0.18240012964913702	-0.19423061340247955	-0.04351349161332145	-0.21481241390486994	-0.3771979580260919	-0.2614861032331254	0.11530670123976987	-0.2919536504335143	-0.34348918240012966	-0.038165464711125516	-0.1294060448910137	-0.04594441293250142	-0.0008913378170326554	0.2558139534883721	0.02179726116198039	-0.1939064905599222	0.10153148043108338	0.06944331901790779	-0.14366744996353617	-0.40734138238392353	0.049671825621910706	0.10201766469491938	0.23652864435621102	0.04853739567296005	-0.0028360748723766306	-0.11644113118872053
AraR	-0.21011263268778868	0.6546471112551657	-0.034113929179158904	1.0	0.7483186127542338	-0.47184182805283204	0.6625881208978203	0.3183696621019366	0.04999594846446803	-0.20233368446641278	-0.35710234178753747	-0.6402236447613645	0.7815412041163601	-0.06830888906895713	-0.05583015963049996	0.7948302406612106	0.021311076898144397	-0.5198120087513167	-0.23507009156470302	-0.3426788752937363	-0.3524025605704562	-0.44753261486103235	0.07155011749453043	-0.47119358236771736	-0.5321286767684953	0.4392674823758204	-0.1256786322016044	-0.1216270966696378	0.22988412608378575	-0.3791426950814359	0.40069686411149824	0.05858520379223726	0.4058828295924155	0.48286200469978124	0.7842962482780974	0.1783485941171704	-0.42824730572887126	-0.7011587391621424	0.524511789968398	0.13507819463576695	-0.6838181670853254	0.2794749209950571	0.7988817761931772	0.6802528158171948	0.5916052183777651	0.6646949193744429	0.7460497528563326	0.33976176971072036	0.286767684952597	0.010290900251195202	-0.02114901547686573	-0.5847986386840612	-0.023741998217324367	-0.33489992707236044	-0.5844745158415039	0.13005429057612836	0.2021716230451341	0.7526942711287578	0.7729519487885909	-0.6911109310428653	-0.30702536261243013	0.07025362612430111	-0.6914350538854226	0.5812332874159306	-0.3878940118304838	0.6478405315614618	0.31496637225508467	0.156794425087108	-0.5019852524106636	-0.3099424681954461	-0.5591929341220323	-0.14139859006563488	0.6985657564216838	-0.46762823109958673	0.5219188072279394	0.05566809820922129	0.7215784782432542	-0.2763957539907625	0.5950085082246171	-0.4938821813467304	0.769548658941739	0.13183696621019367	-0.1916376306620209	0.10509683169921401	-0.07932906571590632	0.5857710072117333	-0.5857710072117333	0.709585933068633
ArgR	-0.3605056316343894	0.5830159630499959	-0.07592577586905437	0.7483186127542338	1.0	-0.6259622396888421	0.7933716878697026	0.22793938902844177	-0.22486022202414715	-0.14334332712097886	-0.4720038894741107	-0.7552872538692165	0.9069767441860465	-0.3426788752937363	-0.1472328012316668	0.8889879264241147	0.031683007859978934	-0.762255894984199	-0.3802771250303865	-0.48675147881046915	-0.42046835750749534	-0.3686087026983227	0.1073656915971153	-0.47621748642735595	-0.7022931691110931	0.525970342759906	-0.339437646868163	0.23037031034762176	0.34608216514058826	-0.3692569483834373	0.4366744996353618	0.3707155011749453	0.5651892067093428	0.5779920589903573	0.8615995462280204	0.237014828620047	-0.5296977554493153	-0.6223968884207115	0.6133214488291062	-0.1256786322016044	-0.7317883477838101	0.11546876266104854	0.7768414228992788	0.8797504254112308	0.6778218944980148	0.7069929503281743	0.9000081030710639	0.3836804148772385	0.3086459768252168	-0.13750911595494691	0.07284660886475974	-0.5045782351511223	0.19179969208329958	-0.3514301920427842	-0.6831699214002107	-0.004780811927720606	0.49372011992545173	0.8962806903816547	0.9293412203225022	-0.6595089538935256	-0.4528806417632283	0.10752775301839397	-0.658374523944575	0.5316424925046592	-0.4590389757718175	0.8402074386192367	0.4609837128271615	0.045458228668665425	-0.40912405801798885	-0.1344299489506523	-0.5656753909731789	-0.24900737379466817	0.7609594036139697	-0.5985738594927478	0.7544769467628231	-0.08094967992869298	0.8359938416659914	-0.2669961915565999	0.7620938335629204	-0.41171704075844745	0.9139453853010291	0.19179969208329958	-0.0918077951543635	0.10023498906085407	-0.11157928855036059	0.7411879102179726	-0.47718985495502797	0.8244874807552062
BioQ	0.18499311238959565	-0.340896199659671	0.16084596061907463	-0.47184182805283204	-0.6259622396888421	1.0	-0.5246738513896767	-0.16408718904464792	0.1802933311725144	0.30459444129325014	0.1994165788833968	0.37460497528563325	-0.5211085001215461	0.1999027631472328	-0.017259541366177782	-0.6136455716716636	-0.07511546876266105	0.47362450368689735	0.27931285957377844	0.2465764524754882	0.2669961915565999	0.4635766955676201	-0.20055100883234747	0.2302082489263431	0.3036220727655782	-0.3643951057450774	0.15209464387002675	-0.1261648164654404	-0.3809253707155012	0.23847338141155497	-0.23134267887529375	-0.17721416416821975	-0.447694676282311	-0.47167976663155337	-0.53034600113443	-0.24673851389676688	0.4000486184263836	0.4653593712016854	-0.5946843853820598	-0.08467709261810226	0.501823190989385	0.009804715987359209	-0.4788104691678146	-0.5669718823434081	-0.4655214326229641	-0.39243173162628636	-0.5113848148448262	-0.3909731788347784	-0.19536504335143018	-0.09132161089052751	-0.06182643221781055	0.24965561947978285	-0.1796450854873997	0.45126002755044164	0.5074953407341383	-0.184344866704481	-0.33976176971072036	-0.6141317559354995	-0.6010047808119278	0.4214407260351673	0.25046592658617617	-0.05177862409853334	0.5121951219512195	-0.4263025686735273	0.21400210679847662	-0.5217567458066608	-0.4269508143586419	-0.04837533425168139	0.14156065148691355	0.08548739972449558	0.4784863463252573	0.09764200632039544	-0.6721497447532615	0.43894335953326313	-0.4509359047078843	-0.01904221700024309	-0.5651892067093428	0.31334575804229803	-0.5859330686330119	0.33473786565108177	-0.6058666234502876	-0.33992383113199903	0.08532533830321692	-0.08645976825216757	0.02066283121302974	-0.2968154930718742	0.33927558544688435	-0.5489830645814764
BirA	-0.41982011182238066	0.4128514707073981	-0.29406044891013694	0.6625881208978203	0.7933716878697026	-0.5246738513896767	1.0	0.21902601085811524	-0.2904950976420063	0.020176646949193744	-0.3350619884936391	-0.6762012802852281	0.7468600599627259	-0.44882910623126165	-0.24706263673932422	0.6967830807876185	0.15322907381897738	-0.6684223320638522	-0.4865894173891905	-0.5885260513734706	-0.3815736164006158	-0.5659995138157362	-0.10428652459282067	-0.3637468600599627	-0.6416821975528726	0.5826918402074386	-0.3084839154039381	0.2746130783566972	0.30508062555708615	-0.3927558544688437	0.5172190260108581	0.3895146260432704	0.687383518353456	0.32242119763390326	0.7979094076655052	0.14950166112956811	-0.5470383275261324	-0.369905194068552	0.43878129811198446	-0.24317316262863625	-0.6930556680982092	0.13864354590389757	0.6340653107527753	0.7826756340653107	0.6068389919779597	0.6421683818167085	0.8312940604489102	0.47184182805283204	0.1705696458957945	-0.07997731140102099	0.343813305242687	-0.5651892067093428	0.1216270966696378	-0.23782513572644032	-0.5071712178915809	-0.03054857791102828	0.41366177781379143	0.8672716959727736	0.7578802366096751	-0.47492099505712665	-0.4499635361802123	0.014990681468276477	-0.6977554493152905	0.3705534397536666	-0.49226156713394376	0.8581962563811685	0.6337411879102179	0.25743456770115875	-0.4083137509115955	0.025524673851389675	-0.3208005834211166	-0.2823920265780731	0.6750668503362774	-0.5433109148367231	0.5941982011182239	-0.18742403370877564	0.654485049833887	-0.06279880074548254	0.6138076330929422	-0.2425249169435216	0.7421602787456446	0.23620452151365368	-0.06134024795397456	0.22161899359857387	-0.23685276719876833	0.6351997407017259	-0.46179401993355484	0.7009966777408638
CadR-PbrR	-0.025524673851389675	0.17640385706182643	-0.2738027712503039	0.3183696621019366	0.22793938902844177	-0.16408718904464792	0.21902601085811524	1.0	0.29389838748885827	-0.33554817275747506	0.027793533749290982	-0.1298922291548497	0.26926505145450125	-0.09359047078842882	-0.12097885098452313	0.16797666315533588	0.08856656672879021	-0.17494530427031846	0.06231261648164654	0.017745725630013774	-0.1775382870107771	-0.16068389919779597	-0.1820760068065797	-0.3107527753018394	0.06604002917105584	0.09472490073737946	0.22793938902844177	-0.10072117332469006	0.3797909407665505	-0.07317073170731707	0.4052345839073009	0.12875779920589903	0.14058828295924156	0.21481241390486994	0.11028279718013127	0.0008913378170326554	-0.16343894335953327	-0.24333522404991492	0.2443075925775869	0.003484320557491289	-0.290170974799449	-0.27104772708856656	0.2775301839397131	0.3327931285957378	0.1673284174702212	0.27898873673122115	0.1728385057936958	0.18385868244064502	0.08775625962239689	0.14301920427842152	-0.10347621748642735	-0.11887205250790049	-0.008994408880965886	-0.12908192204845637	-0.08581152256705292	-0.19098938497690623	0.20330605299408475	0.28595737784620373	0.15258082813386273	-0.28952272911433435	-0.04983388704318937	-0.38756988898792644	-0.42273721740539666	0.5178672716959728	-0.06117818653269589	0.2415525484158496	0.1138481484482619	-0.0927801636820355	-0.22032250222834454	-0.2548415849607001	-0.2841747022121384	0.1715420144234665	0.19196175350457823	-0.158252977878616	0.2979499230208249	-0.09164573373308484	0.16911109310428651	-0.13086459768252168	0.20865407989628068	-0.3112389595656754	0.32809334737865653	0.41965805040110205	-0.2564621991734867	-0.12859573778462038	-0.06279880074548254	-0.04497204440482943	-0.002674013451097966	0.33554817275747506
CblR	-0.03848958755368285	0.264079085973584	0.1000729276395754	0.04999594846446803	-0.22486022202414715	0.1802933311725144	-0.2904950976420063	0.29389838748885827	1.0	-0.2827161494206304	0.1935823677173649	0.09764200632039544	-0.03719309618345353	0.3830321691921238	0.28028522810145046	-0.12259946519730978	-0.4219269102990033	0.2533830321691921	0.19406855198120088	0.1880722793938903	0.17899683980228506	0.27979904383761445	0.23004618750506442	-0.0995867433757394	0.1366988088485536	-0.10153148043108338	0.2563001377522081	-0.3363584798638684	-0.2527347864840775	0.08889068957134755	-0.030062393647192286	-0.34899927072360426	-0.05226480836236934	-0.014990681468276477	-0.17024552305323717	-0.22534640628798314	0.0579369581071226	-0.23539421440726035	-0.35467142046835753	0.1820760068065797	0.1073656915971153	-0.12746130783566972	0.02001458552791508	-0.184344866704481	0.07981524997974232	-0.022283445425816385	-0.12324771088242444	-0.23993193420306297	-0.052913054047484	0.17429705858520378	-0.14237095859330687	-0.1178996839802285	-0.2127056154282473	0.03119682359614294	-0.09796612916295276	-0.09391459363098614	-0.3112389595656754	-0.11822380682278584	-0.06296086216676121	-0.2465764524754882	0.17899683980228506	-0.2237257920751965	-0.02309375253220971	0.17137995300218783	0.23182886313912973	-0.22129487075601653	-0.24090430273073496	-0.3052426869783648	-0.08759419820111822	-0.39291791589012237	-0.27850255246738514	0.04108257029414148	-0.07560165302649705	0.001863706344704643	-0.07868082003079167	0.22858763471355645	-0.01904221700024309	0.04886151851551738	-0.06701239769872781	-0.3549955433109148	-0.14415363422737218	0.15809091645733733	0.02276962968965238	-0.09715582205655944	0.16716635604894256	-0.21837776517300056	-0.07430516165626773	-0.1459363098614375
CcpA	-0.10963455149501661	-0.21643302811765658	-0.010939145936309862	-0.20233368446641278	-0.14334332712097886	0.30459444129325014	0.020176646949193744	-0.33554817275747506	-0.2827161494206304	1.0	-0.11368608702698323	-0.07495340734138238	-0.1595494692488453	-0.40069686411149824	-0.290657159063285	-0.1354023174783243	0.32922777732760716	-0.17770034843205576	-0.05907138805607325	-0.04286524592820679	0.05728871242200794	0.1381573616400616	-0.264079085973584	0.3159387407827567	-0.04610647435378008	-0.08645976825216757	-0.21335386111336196	0.3681225184344867	-0.2577586905437161	-0.013208005834211166	0.03233125354509359	0.1279474920995057	-0.06539178348594117	-0.28774005348026904	0.005104934770277935	-0.06685033627744916	-0.08564946114577425	0.3744429138643546	-0.16586986467871323	-0.18645166518110365	0.03233125354509359	0.3468924722469816	-0.23247710882424438	-0.13021635199740703	-0.08872862815006888	-0.11708937687383518	-0.039624017502633495	0.031034762174864273	-0.02876590227696297	-0.22664289765821247	0.3233935661615752	-0.015314804310833806	0.3327931285957378	0.11482051697593387	0.18791021797261162	-0.1564703022445507	-0.013856251519325824	-0.08532533830321692	-0.13912973016773358	0.29406044891013694	-0.13605056316343894	0.22113280933473786	0.09164573373308484	-0.3110768981443967	-0.14285714285714285	-0.09910055911190341	0.12632687788671906	0.24641439105420954	0.1110931042865246	0.2841747022121384	0.528887448342922	-0.3849769062474678	-0.2323150474029657	0.14820516975933878	-0.19504092050887287	-0.4778381006401426	-0.19406855198120088	0.44834292196742564	-0.23944574993922696	0.4175512519244794	-0.19909245604083947	-0.04497204440482943	0.1670042946276639	0.27720606109715584	-0.03541042054938822	0.11644113118872053	-0.09569726926505145	-0.16846284741917186
