	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.34200915158893413	-0.018156248688132322	-0.3641534780235926	-0.5645648797279711	0.20528105453171572	-0.5895428403509508	0.015217665085428824	-0.1256664287813274	-0.3225305402795852	0.16445573233701355	0.42279921078040383	-0.5667898073128752	0.14115696234415012	-0.04617774232819781	-0.5080181352588052	0.2789135636623148	0.45659292221149406	0.32217371227068553	0.4152218630620041	0.026048444649678856	0.2982452457915285	-0.1494269761974728	0.126527013979262	0.39947945090466397	-0.34009907224717684	0.17490869400948741	-0.10448763695898577	0.06483774820536502	0.20213257210024768	-0.21745518660005878	0.0013433525040930272	-0.2694051467192813	-0.43216069854330214	-0.5073464590067588	0.04359598673439402	0.05585407833424289	0.4254859157885899	-0.06861592712312665	-0.19188950925653836	0.40661601108265816	0.19323286176063137	-0.5263632928928257	-0.4914571176692834	-0.47317492968389235	-0.350887872045674	-0.5405104739515554	0.06804920028546241	-0.012467990428613409	-0.32685445615213465	-0.20393770202762268	0.5164140884093866	-0.17715461147726796	0.32374795348641955	0.5043239158725494	0.10933629990344654	-0.1304101423114059	-0.5522228285966164	-0.5921455858276311	0.4433483061164519	0.195436799462659	-0.0493891944082952	0.2075899416481256	-0.33327736031232946	0.27223878090760256	-0.49508836740690987	-0.358339280466815	0.2738969816548424	0.1850468074388145	-0.06313756769237228	0.21281642248436253	-0.027370807270895428	-0.5256916166407791	0.341169556273876	-0.3572478065572394	0.0488014776877545	-0.5476050543637967	0.04095126149196088	-0.3238948826665547	0.03282817681877335	-0.5238025271818983	-0.45054783594307546	-0.05041769866924142	-0.32229965156794427	0.04651358045422106	-0.2669493304227362	0.09854750010494942	-0.5310860165400277
AgaR	-0.34200915158893413	1.0	-0.07814533394903657	0.47607153352084297	0.5612904579992444	-0.1469081902522984	0.3589479870702321	-0.03137987490029805	0.1995927962721968	0.23752151462994836	-0.4323076277234373	-0.4094286553881029	0.5428403509508417	0.2275723101465094	0.23347046723479284	0.7205826791486504	-0.5352000335838126	-0.4212459594475463	-0.2788925737794383	-0.43514126191175856	0.008794760925234037	-0.26550102850426094	0.5731917215901935	-0.2585953570379077	-0.5463456613912094	0.592838251962554	-0.02101087275933	-0.1634901977246967	-0.11370219554174887	-0.5614163972965031	0.1803870534402418	-0.059527307837622265	0.6145627807396835	0.5011334536753285	0.7061416397296503	-0.49945426304521223	0.09306914067419504	-0.7304899038663364	0.03992275723101465	0.1924562360942026	-0.5157004323915872	-0.2628982830275807	0.7095839805213887	0.6412199319927795	0.39775828050879475	0.4712228705763822	0.7148944208891315	-0.25664329793039753	0.24171949120523908	0.04479241005835188	-0.007577347718399731	-0.5965114814659335	-0.12541455018680997	-0.525733596406532	-0.7277612190923974	-0.21285840225011546	-0.02430628437093321	0.5859325804962008	0.6033331934007808	-0.75870030645229	-0.2924520381176273	0.028714159774988455	-0.46156752445321353	0.5891020528105453	-0.17887578187313716	0.544750430292599	0.348620964695017	-0.30349271651064186	-0.3911464674027119	-0.04265144200495361	-0.4764703412954956	-0.27408589060073046	0.6327400193106922	-0.3057806137441753	0.2772343730321985	0.07136560177994207	0.7617438394693757	-0.153184165232358	0.4661852986860333	-0.19768271693043954	0.6932958314092608	-0.0626338105033374	0.07453507409428656	0.1328869484908274	0.11158221737122707	0.6081608664623651	-0.14417950547835942	0.6454598883338231
AmtR	-0.018156248688132322	-0.07814533394903657	1.0	-0.0425674824734478	-0.07487091222030981	0.10255656773435204	-0.25032534318458505	0.03711011292556988	-0.070945804122413	-0.004176986692414257	0.07669703203056127	0.11112043994794508	-0.06511061668275892	0.06580328281768187	-0.1754124511985223	-0.09980689307753662	0.0644809201964653	0.0005667268376642458	-0.013034717266277654	-0.08034927165106419	-0.01200621300533143	0.14101003316401495	0.026342303009949206	0.10408882918433315	0.14178665883044372	-0.03897821250157424	-0.04894840686788968	-0.013475504806683178	-0.06928760337517317	0.05518240208219638	0.026363292892825657	0.10440367742747995	-0.0018261198102514588	-0.10490743461651483	-0.1519247722597708	0.09500020989882876	-0.08633138827085345	-0.01868099576004366	-0.060576801981444946	-0.0724360858066412	0.12478485370051635	0.09504218966458167	-0.012803828554636664	-0.1262541455018681	0.07102976365391882	-0.22885269300197306	-0.1544015784391923	0.005940136854036354	-0.20832458754880148	-0.06265480038621385	-0.0724360858066412	0.03511607405230679	0.011796314176566895	-0.004764703412954955	0.10536921203979682	-0.0449603291213635	-0.10734226103018345	-0.09856848998782587	-0.16680659921917634	0.07411527643675749	0.1357415725620251	0.05967423701775744	0.046282691742580075	-0.09134797027832585	0.12323160236765879	-0.25418748163385246	-0.19272910457159648	-0.029112967549641072	-0.026531211955837287	-0.12176231056630704	-0.133978422400403	0.1420175475420847	-0.12631711515049746	0.06914067419503798	-0.02499895050585618	0.04386885521178792	-0.031841652323580036	-0.09350992821460057	-0.04521220771588094	0.02407539565929222	-0.10045757944670669	0.12396624826833466	-0.04359598673439402	0.11733344527937534	-0.015217665085428824	0.005814197556777633	-0.1769657025313799	-0.02902900801813526
AraR	-0.3641534780235926	0.47607153352084297	-0.0425674824734478	1.0	0.5567776331808069	-0.4043281138491247	0.5299105830989463	0.11053272322740439	0.07285588346417027	0.15610175895218506	-0.37840560849670457	-0.45184920868141554	0.6365181982284539	-0.04653457033709752	0.0615003568280089	0.5907602535577852	-0.2793543512027203	-0.47911506653792874	-0.2612820620460938	-0.43463750472272367	-0.001406322152722388	-0.33029679694387304	0.3078586121489442	-0.31900423995634103	-0.4226522816002687	0.412766046765459	0.020192267327148315	-0.10343814281516309	-0.08979471894546828	-0.39947945090466397	0.3534486377566013	-0.09273330254817178	0.45258385458209144	0.44309642752193446	0.6029343856261282	-0.1951219512195122	-0.13139666680659923	-0.532765207170144	0.14327694051467194	0.14583770622559927	-0.5841064606859494	-0.16617690273288274	0.6052222828596616	0.5780403845346543	0.45694975022039375	0.46673103564082113	0.6173544351622517	-0.06280172956634902	0.10196885101381134	0.14313001133453676	0.24843625372570421	-0.4736996767558037	0.08952185046807438	-0.3396372948238949	-0.5767600016791906	-0.12808026531211955	-0.011418496284790731	0.589039083161916	0.634859997481214	-0.501343352504093	-0.35686998866546327	-0.0003358381260232568	-0.26315016162209814	0.4929683892363881	-0.14203853742496117	0.5824272700558331	0.42468830023928467	-0.19768271693043954	-0.3751941564166072	-0.12686285210528525	-0.4552075899416481	-0.0910960916838084	0.6277444271860964	-0.47877922841190546	0.3265605977918643	-0.12321061248478234	0.6711095252088494	-0.2134251290877797	0.35537970698123506	0.0007346459006758742	0.618152050711557	0.26606775534192517	0.042126694933042275	0.28766634482179587	0.09353091809747702	0.5241173754250451	-0.45140842114101004	0.5907392636749087
ArgR	-0.5645648797279711	0.5612904579992444	-0.07487091222030981	0.5567776331808069	1.0	-0.3784895680282104	0.7140548255740733	0.0010914739095755845	-0.056630704000671675	0.35254607279291383	-0.32284538852273204	-0.5995130347172662	0.7500104949414382	-0.2493388186893917	0.04785693295831409	0.878699466856975	-0.34910373200117545	-0.7401242601066286	-0.4343856261282062	-0.4531086016540028	-0.16871667856093364	-0.5686579068888795	0.20691826539607908	-0.3771252256412409	-0.6234415011964233	0.5402795852399144	-0.26514420049536125	0.10805591704798287	0.0721632173292473	-0.5066957726375887	0.36721800092355483	0.1332647663826036	0.47006842701817725	0.7395155535032114	0.8363838629780446	-0.1061878174719785	0.0798035346962764	-0.5878216699550817	0.26428361529742667	0.04483438982410478	-0.6026825070316107	-0.22335334368834223	0.7975945594223585	0.8815960706939255	0.6154023760547416	0.5170647747785567	0.8520842953696318	-0.08866126527013979	0.1735653415053944	0.22532639267872887	0.12570840854708032	-0.7165526216363712	0.10872759330002939	-0.41524285294488056	-0.6650434490575543	-0.2810965114814659	0.18750262373535956	0.8839469375760883	0.836215943915033	-0.6922253473825616	-0.3868225515301625	0.014860837076529113	-0.44888963519583563	0.5238654968305276	-0.3561773225305403	0.7660887452248016	0.6695142941102389	-0.23424709290122162	-0.44322236681919314	0.035283993115318414	-0.32358003442340794	-0.16602997355274757	0.7925359976491331	-0.40092775282313925	0.5701271986902313	-0.07321271147306999	0.812014608958482	-0.08861928550438689	0.43115318416523235	-0.04317618907686495	0.8806935057302381	0.2808866126527014	-0.07589941648125603	0.2217791024726082	0.07558456823810923	0.6375047227236472	-0.3002812644305445	0.8515595482977205
BioQ	0.20528105453171572	-0.1469081902522984	0.10255656773435204	-0.4043281138491247	-0.3784895680282104	1.0	-0.4278787624365056	-0.03387767096259603	-0.012845808320389573	-0.1141010033164015	-0.011166617690273288	0.23966248268334664	-0.3611939045380127	0.2424331472230385	0.15782292934805423	-0.3862138449267453	0.0428823307165946	0.4495193316821292	0.26783090550354727	0.3342009151588934	0.1646236514000252	0.3196549263255111	0.01288778808614248	0.17438394693757608	0.3254901137651652	-0.1126527013979262	-0.01099869862726166	-0.28046681499517234	-0.3501532261449981	0.0709877838881659	-0.2991688006380924	-0.10427773813022123	-0.1995508165064439	-0.2974686201250997	-0.3417992527601696	-0.11722849586499308	-0.04653457033709752	0.11422694261366022	-0.2805297846438017	-0.0943075437639058	0.4957390537760799	0.2100247680617942	-0.22387809076025356	-0.38470257335964064	-0.40703580874018724	-0.24765962805927544	-0.3386297804458251	-0.24715587087024055	0.08950086058519793	-0.27511439486167666	-0.15587087024054405	0.27601695982536417	-0.2527811594811301	0.15347802359262835	0.21208177658368665	-0.08429536963183745	-0.14048528609210362	-0.4827463162755552	-0.4007178539943747	0.10807690693085932	-0.024159355190798034	-0.1862642206456488	0.10830779564250032	-0.07480794257168046	0.29694387305318837	-0.40653205155115235	-0.37893035556861593	0.09919818647411947	0.07262499475252929	-0.1486293606481676	0.0490743461651484	-0.06061878174719785	-0.37815372990218715	0.10761512950757735	-0.3270223752151463	0.3079635615633265	-0.2766466563116578	0.21036060618781746	-0.17291465513622434	-0.04785693295831409	-0.3243986398555896	-0.2678728852693002	0.014273120355988414	-0.2509760295537551	0.07365349901347551	-0.2561185508584862	0.3346626925821754	-0.382729524369254
BirA	-0.5895428403509508	0.3589479870702321	-0.25032534318458505	0.5299105830989463	0.7140548255740733	-0.4278787624365056	1.0	0.06574031316905252	0.10331220351790436	0.33814701313966666	-0.23582133411695563	-0.6087485831829058	0.7039167121447463	-0.37416565215566094	0.008291003736199152	0.681646446412829	-0.12455396498887536	-0.6673733260568406	-0.36341883212291676	-0.42135090886192855	-0.21195583728642794	-0.49441669115486336	0.07424121573401621	-0.28674278997523195	-0.5204441459216658	0.36602157759959697	-0.38090340455900257	0.13563662314764283	0.17186516099240165	-0.3013097686914907	0.3089081062927669	0.23433105243272742	0.4271021367700768	0.6387851055791108	0.6459216657571051	0.021514629948364887	-0.1282062046093783	-0.3204735317576928	0.21447462323160238	-0.04166491750976029	-0.6436127786406952	-0.23433105243272742	0.6100709458041225	0.6929809831661139	0.5164980479408925	0.5273917971537719	0.7203098106712564	0.02206036690315268	0.07900591914697117	0.34498971495739056	0.368750262373536	-0.5652785357457706	0.14006548843457453	-0.38149112127954327	-0.6030813148062634	-0.15834767641996558	0.19287603375173168	0.748751101968851	0.7662986440535662	-0.48222156920364384	-0.3532597288107132	0.0821963813441921	-0.40084379329163344	0.4521430670416859	-0.3971495739053776	0.7904789891272407	0.552621636371269	-0.2138239368624323	-0.2515637462742958	0.2551320263632929	-0.20958398052138869	-0.1224129969354771	0.6885940976449352	-0.44754628269174257	0.5943075437639058	-0.17499265354099325	0.654800386213845	-0.14313001133453676	0.3455564417950548	0.05556021997397254	0.7043155199193989	0.36835145459888335	-0.13135468704084632	0.3614667730154066	0.0031065026657151255	0.514441039419	-0.22763527979513876	0.661097351076781
CadR-PbrR	0.015217665085428824	-0.03137987490029805	0.03711011292556988	0.11053272322740439	0.0010914739095755845	-0.03387767096259603	0.06574031316905252	1.0	0.13951975147978674	-0.06483774820536502	0.05060660761512951	-0.0780823643004072	0.07680198144494353	-0.042189664581671636	0.063263506989631	-0.04651358045422106	0.11800512153142186	-0.1049284244993913	-0.13763066202090593	-0.23296671004575795	-0.10711137231854247	0.06861592712312665	-0.01324461609504219	-0.19971873556945552	-0.05524537173082574	-0.1696402334074976	-0.03240837916124428	-0.07310776205868771	0.2979094076655052	0.15198774190840014	0.21023466689055875	-0.03100205700852189	0.011901263590949163	0.04057344360018471	-0.022312245497670122	-0.08618445909071827	-0.1474959069728391	0.025292808866126528	-0.061227488350615006	0.08532387389278367	-0.0756895176524915	-0.08971075941396248	0.07419923596826329	0.005142521304731119	0.06670584778136938	-0.009067629402627933	0.013160656563536375	0.021619579362747155	-0.13238319130179255	0.15605977918643213	0.1389110448763696	0.0026237353595566937	0.05511943243356702	-0.06712564543889846	0.02260610385794047	-0.08805255866672264	0.14296209227152512	0.024495193316821293	0.05369212039796818	0.078397212543554	0.01857604634566139	-0.1474959069728391	-0.14107300281264432	0.0600100751437807	-0.08494605600100752	0.1328449687250745	-0.09911422694261365	-0.1194744133327736	-0.08062214012845809	0.04861256874186642	-0.0266151714873431	-0.012866798203266026	0.04884345745350741	-0.02909197766676462	0.056987532009571386	0.039481969690609124	0.025922505352420133	-0.04493933923848705	0.05583308845136644	0.07398933713949876	0.02921791696402334	0.19934091767767936	-0.012635909491625037	-0.16367910667058477	-0.07512279081482726	-0.03981780781663238	-0.08920700222492758	0.10933629990344654
CblR	-0.1256664287813274	0.1995927962721968	-0.070945804122413	0.07285588346417027	-0.056630704000671675	-0.012845808320389573	0.10331220351790436	0.13951975147978674	1.0	0.01727467360732127	0.05713446118970656	-0.07419923596826329	0.023760547416145417	-0.047332185886402756	0.1112043994794509	0.09239746442214852	-0.27074849922337435	-0.003757189034885185	0.02418034507367449	-0.08412745056882583	-0.020654044750430294	-0.028336341883212292	0.07161748037445952	-0.15589186012342052	-0.10104529616724739	0.04901137651651904	0.07963561563326477	-0.22595608916502247	-0.09506317954745813	0.08897611351328659	-0.08891314386465723	0.041140170437848955	0.14140884093866757	-0.03234540951261492	-0.007955165610175896	-0.2316233575416649	0.05186600058771672	-0.04542210654464548	-0.2652071701439906	0.29795138743125815	-0.26573191721590195	-0.09781285420427353	0.1199781705218085	0.05360816086646236	-0.015364594265563998	0.33052768565551405	0.10060450862684187	-0.26707526971999496	0.001028504260946224	0.16760421476848159	0.06378825406154234	-0.05310440367742748	-0.16195793627471558	-0.19526888039964738	-0.16141219931992778	-0.004365895638302338	-0.13635027916544226	0.056084967045883886	0.07298182276142899	-0.09646950170018051	-0.04258847235632425	-0.02306788128122245	0.06068175139582721	0.07516477058058016	-0.14827253263926787	0.09802275303303808	-0.02755971621678351	-0.09562990638512237	0.022018387137399772	0.11731245539649889	-0.08593258049620082	-0.014063221527223878	0.1443264346584946	-0.10925234037194072	0.08989966835985055	0.10650266571512532	0.12971747617648294	0.06760841274505688	-0.01525964485118173	-0.1884681583476764	0.03035137063935183	0.04626170185970362	-0.06496368750262374	0.05430082700138533	0.025292808866126528	0.0354729020612065	-0.05033373913773561	0.06425003148482432
CcpA	-0.3225305402795852	0.23752151462994836	-0.004176986692414257	0.15610175895218506	0.35254607279291383	-0.1141010033164015	0.33814701313966666	-0.06483774820536502	0.01727467360732127	1.0	-0.3149112127954326	-0.2873514965786491	0.20003358381260233	-0.16768817429998742	0.09835859115906133	0.3979261995718064	-0.16773015406574032	-0.29853910415179885	-0.13599345115654254	-0.331220351790437	0.12098568489987827	-0.3419461819403048	-0.004302925989672977	-0.052789555434280676	-0.2776331808068511	0.28831703119096597	0.03423449897149574	0.0591494899458461	0.03937702027622686	-0.12405020779984048	-0.11454179085680702	0.008332983501952058	0.15536711305150916	0.30290499979010116	0.3914613156458587	0.004260946223920071	0.3320809369883716	-0.2191973468788044	-0.0039670878636497205	0.08217539146131565	-0.40344653876831366	-0.21078040384534655	0.38583602703496916	0.3345787330506696	0.3154569497502204	0.38321229167541243	0.4163763066202091	0.05583308845136644	-0.035053104403677426	0.04099324125771378	0.13240418118466898	-0.4476722219890013	0.053713110280844634	-0.26808278409806474	-0.31887830065908235	-0.11189706561437388	-0.06068175139582721	0.3685613534276479	0.3035346962763948	-0.21036060618781746	-0.2054279837118509	-0.00455480458419042	-0.02460014273120356	0.32360102430628435	-0.06601318164644641	0.17973636707107174	0.2638638176398976	-0.14453633348725914	-0.195205910751018	0.08880819445027496	0.021367700768229712	-0.06683178707862811	0.3269594055665169	-0.10459258637336803	0.1952478905167709	-0.04645061080559171	0.34878888375802863	0.005352420133495655	-0.04032156500566727	0.20591075101800932	0.3765375089207002	0.08771672054069939	0.029763653918811132	0.24711389110448764	-0.10937827966919944	0.27738130221233365	-0.056672683766424585	0.32343310524327273
