	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	FUR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.6240651379693014	0.015987730520330676	-0.7980373820122445	-0.8183318994002419	0.7085499819199741	-0.7442711255751319	0.1449070437287248	-0.21977082008503845	-0.6450080424942954	0.3756281250389656	0.7183755408421552	-0.7668150475691717	0.45321013977730396	-0.3145251187670669	0.4486963677851345	0.7982967368670433	0.3267397349094128	0.5038242372099403	0.33865509545006794	0.7003204528734772	-0.8191049763712764	0.10027805832990436	0.490352747540493	0.6314916644845946	-0.7314031347024277	0.28076908689634533	-0.4526265913540069	-0.3043753662763875	0.614907916557563	-0.6430529058965823	-0.41429194877741615	-0.622603773114378	-0.7962967119290765	-0.7839773563261387	0.2528186136984252	0.007239491764236462	0.726420528934276	-0.45328495367772664	0.16388483646928265	0.8128355715158543	0.1091110861731443	-0.8015336849586653	-0.8336537862068105	-0.7644309779423684	-0.7688001097270539	-0.7850496888988641	-0.10445766156685246	-0.4530106360428434	-0.2668537014177234	-0.5517749597875286	0.8040723699796756	-0.029618823177346352	0.6164590580929937	0.7762765121759623	0.10376937368296363	-0.30289903864137957	-0.8123318245863415	-0.8132545293582214	0.7147944488085887	0.6989438771056996	-0.3725208543747428	0.46903577351338543	-0.6023441688799113	0.5529919325677377	-0.7903515006421526	-0.673691691916358	0.017962817491489917	0.1465329991645781	-0.2884350178929912	0.6975822641180065	0.3859674060773825	-0.8233244803551166	0.784261649147745	-0.5188119552612875	0.22503273108143493	-0.8269305103554907	0.17138118929163706	-0.632943054152795	0.1486826519033903	-0.7874187957455828	-0.2516365540717465	0.15829873190438784	-0.3743961894786718	-0.22717739622688563	-0.7628199852865996	0.38782777840122695	-0.8343969376176761
AgaR	-0.6240651379693014	1.0	-0.07347473160513224	0.6783700544894574	0.6741655132857018	-0.638025411788177	0.5286624521502762	-0.20168580655619148	0.2815172259005723	0.42460130425566406	-0.43672614371750273	-0.6628985398820434	0.632963004526241	-0.2007531265975885	0.2303694559782541	-0.690824075113156	-0.6435117644858415	-0.22956645344705046	-0.4055985735482986	-0.22474843825982868	-0.4814748313569995	0.8167358695245577	0.21692290427561442	-0.3654683973615631	-0.7976084489831544	0.8383072108131024	-0.17885260414718387	0.1434456788738014	-0.0652501901519969	-0.7564957169042008	0.4047307323033953	0.26735744834723624	0.720784548435766	0.7553834835845834	0.769004601054876	-0.06531502886569658	-0.020691031060237657	-0.7603910273195427	0.38304467636753575	0.045469394880235416	-0.5872616865546952	-0.10007356700208232	0.8424169877429893	0.6987393857778775	0.4870659235152558	0.6335016646092844	0.7657177770296387	-0.22020474070749013	0.5582139428172421	-0.08704597314180974	0.4291799149615332	-0.6175064526989115	-0.08079153106647215	-0.5384830234790957	-0.7257073030835796	-0.23525230987917556	0.2091123330714847	0.6649634035337099	0.7334430603872866	-0.7689746754947069	-0.5383134453048043	0.18111198393994937	-0.481120712228332	0.47569421065100564	-0.42559383533460515	0.6280053367248968	0.46402822977842617	-0.16040848389630794	-0.1090711854262522	-0.0007655955809922817	-0.7509694634596441	-0.6310826818289504	0.6745096572276462	-0.6129727303332959	0.35347323532712377	-0.034661280065836235	0.8120225937979276	-0.3446651454506914	0.7637626404319255	-0.2800508734522874	0.6796119652364743	-0.2036110175937356	0.03169864960909737	0.04605294330353246	0.3392037307198344	0.6132570231549022	-0.42082070848763703	0.7220563847429519
AmtR	0.015987730520330676	-0.07347473160513224	1.0	-0.16339605231985435	-0.10637289741767354	0.11720096260551877	-0.09901619720944152	0.0005561166598087258	0.09046247459444631	-0.04777865060661604	0.06728512824349431	0.006546216286986122	-0.06788363944687589	0.14451302385316525	0.10562475841344655	-0.07731019090013591	0.11198393994937593	0.12314118629908104	0.03644683848925797	0.08842753650294892	0.08451227571416102	-0.11688175663038193	-0.0526216037606454	0.16113667252708885	0.1402785570892405	-0.13001408995124628	0.16466788862704024	-0.102218232147533	-0.08441751144029228	0.10799386526016534	-0.09480168081896283	-0.07807329268444743	-0.08065187845234978	-0.03757403458895996	-0.14174989713088693	0.1454008154715146	-0.008865447200089777	0.0934699933914388	0.012361750146510555	-0.003394057282509757	0.03607775658050599	-0.06459182782827716	-0.033908153468247736	-0.11190413845559172	-0.08350976944849686	-0.09474182969862467	-0.14761031933066496	0.02690557238868315	-0.04124989089639522	-0.09005847953216374	-0.09167445978129403	0.042925722265863664	0.008296861556877267	-0.052008129777179266	0.1455853564258906	0.06561428446738737	-0.10988915073754037	-0.10953503160887293	-0.09340515467773912	0.06486614546316039	0.20303744435716156	0.04886594595942593	0.08010324318258333	-0.03994812902904026	0.01482063367373658	-0.15879250364717765	-0.12105637227396851	-0.006920285789099615	0.014805670893652041	-0.11237795982493547	0.06914550056733874	-0.01346400827940498	-0.03493061010735795	0.1255352311126074	-0.080547138991758	0.08051222583822741	-0.08390378932405641	-0.03055649072931084	-0.10972456015661043	0.00937916931632564	-0.14612401650893403	-0.08330527812067483	-0.16756069277671792	0.021060112968989637	0.10557488247983142	-0.08012319355602937	-0.08258706467661692	-0.10700632177458572
AraR	-0.7980373820122445	0.6783700544894574	-0.16339605231985435	1.0	0.8534295938852106	-0.7893140812229579	0.7619920447885884	-0.13576977269043256	0.17462811256998217	0.577560817466552	-0.3509844262397287	-0.7721168593124602	0.8332448035511665	-0.47381887554707663	0.1537550343520493	-0.4661579321437923	-0.8344268631778451	-0.39472063242683825	-0.5327273407399095	-0.4107258195239342	-0.7600568585643213	0.8658985772889937	-0.018157333632588934	-0.5726280876320153	-0.7133530343271113	0.7715831868227784	-0.35410167209067445	0.46137981770346265	0.29768700357859823	-0.6907791867729024	0.735283482337685	0.49244254915896707	0.6641903265626753	0.8039975560792528	0.8211947779897505	-0.25833987954962034	-0.036930635045324754	-0.7852841057868551	0.39111959001982566	-0.24128231025324506	-0.7882018479033405	-0.07229765957181511	0.8010498884025985	0.8426264666641728	0.7694784224242197	0.7386600830434294	0.8214740832179952	0.10614346812304393	0.47156448334767265	0.2273968503347922	0.67270913602414	-0.7901669596877766	0.07615805683362635	-0.6241748650232547	-0.8533896931383185	-0.1554957044352174	0.35083479843888327	0.8475542089053479	0.8648611578697989	-0.8137732390678188	-0.7595630868215314	0.29893390191897656	-0.5374306412798164	0.686120774573249	-0.5056397211935311	0.819498996246836	0.7684459905983865	0.022676093218119926	-0.18815945335976758	0.2141248643998055	-0.7444806044963154	-0.45648698861581816	0.8230701130936795	-0.7911794411401638	0.5550567962194042	-0.26106310552500656	0.878302721979077	-0.221476577014676	0.6825945460666591	-0.2597962568111822	0.8302073591940049	0.2138305963914762	-0.0653998179528423	0.36701953889699374	0.2261200264342448	0.7584807790620831	-0.4264916021396776	0.8795496203194554
ArgR	-0.8183318994002419	0.6741655132857018	-0.10637289741767354	0.8534295938852106	1.0	-0.7741567849973192	0.9238743625232235	-0.27877404955174007	0.11326076384992331	0.63787079639397	-0.4613997680769087	-0.8539333408147234	0.9137694983727976	-0.6157508198356588	0.15891220588785396	-0.4273694185713039	-0.860955872267734	-0.5624633723612514	-0.6544894574745321	-0.4960685295327872	-0.8105313033828352	0.9252409631042781	-0.15106173393683214	-0.6485691841544159	-0.7104003790570955	0.78599234404419	-0.4672751530567713	0.4846220027681143	0.4269604359156598	-0.6656317410441527	0.6334617638623923	0.4887966184117009	0.6579508472674223	0.8490055985735483	0.9053504407785633	-0.1860596765545705	-0.007438995498696991	-0.7553086696841607	0.42574845072881207	-0.3591291661990798	-0.85810795645831	-0.20511228319555105	0.8504520006483871	0.9503385328994127	0.8428658711455255	0.844950685170638	0.9384929986658188	0.0407162184067133	0.4403321737178768	0.25382111996408935	0.6000897766805072	-0.7991546029252236	0.08786892604645943	-0.6339655107919051	-0.8431352011870472	-0.2345490592152022	0.24926245963166624	0.9732515368022046	0.9605082357635382	-0.7924413022606267	-0.7398920186037232	0.23574109402860385	-0.6033516627389369	0.6847441988054714	-0.637327148717565	0.9596852828588885	0.7881569595630868	-0.04870135537849599	-0.24195563535704934	0.3686654447062931	-0.6971433559021933	-0.3928153717627402	0.9250963228967942	-0.7852491926333246	0.6815571266474645	-0.3880671828825796	0.9287073404905298	-0.1360590531054003	0.6540056609184653	-0.13761019464083094	0.9545281113230838	0.22391052257509445	-0.19102233194927618	0.4180924949188893	0.10831307123530219	0.8544670133044053	-0.47533011633561517	0.9506078629409345
BioQ	0.7085499819199741	-0.638025411788177	0.11720096260551877	-0.7893140812229579	-0.7741567849973192	1.0	-0.641815982742927	0.09492138305963915	-0.13811892916370527	-0.4325714784473622	0.2752976969787653	0.7145899574807666	-0.784436214915398	0.4727864437212434	-0.2105138468060699	0.3822765869898627	0.6934176236611429	0.42023716006434	0.429284654422125	0.43282584570879934	0.7197720669833788	-0.7541914487711817	-0.13588448733774736	0.5174902430204865	0.6963303781842667	-0.7090836544096559	0.31578199229416826	-0.5007967680395018	-0.24899312959014452	0.650873452287435	-0.6590780433671243	-0.45323507774411154	-0.5987730520330677	-0.7018067556952081	-0.6881257871045774	0.1462237683761643	0.09597875285227996	0.6847142732453023	-0.3817429145001808	0.1280240402000025	0.6299654609159715	0.19971071958503223	-0.7046646466913552	-0.7227346974401178	-0.721143655157795	-0.6839162583074602	-0.7104203294305416	-0.10654247559196499	-0.5306026259679049	-0.12291674459781295	-0.5945635232359505	0.6654272497163306	-0.2163593062257634	0.4686317784511029	0.7682963627975411	0.10701629696130874	-0.41634683724235966	-0.7420067581890049	-0.7750844773625606	0.7661716480255365	0.6400902754398434	-0.18490754248806096	0.5054352298657091	-0.6969687901345404	0.5065724011521341	-0.7355328620057606	-0.6859910971458497	0.08941009239516702	0.18667813813139814	-0.1498148355964538	0.6629583910023816	0.4241324704796818	-0.728879412461502	0.7091484931233557	-0.49108093617127396	0.29832541552887193	-0.7743712515118643	0.3085848950735047	-0.6691928827042731	0.2961358620431676	-0.7141809748251225	-0.18107208319305726	-0.023129964214017633	-0.22609508846743726	-0.1581291537300964	-0.6245539221187296	0.3012331824586342	-0.7934438085262908
BirA	-0.7442711255751319	0.5286624521502762	-0.09901619720944152	0.7619920447885884	0.9238743625232235	-0.641815982742927	1.0	-0.41943415753313634	0.0002917742116485243	0.6858265065649197	-0.4737241112732079	-0.7893390191897655	0.8336537862068105	-0.6112021346899588	0.17632888190625817	-0.3288395117146099	-0.7907056197708201	-0.605082357635382	-0.6680557114178481	-0.472267734011646	-0.7516278257833638	0.8349355977007195	-0.2844798563573112	-0.6300502500031172	-0.5717153580468585	0.6513921619970324	-0.4988216810683425	0.4640830933054028	0.5275053304904052	-0.5637451838551603	0.5129764710283171	0.4072694173244055	0.5590368957218917	0.7317422910510106	0.8701879075798951	-0.1369219067569421	-0.013369244005536228	-0.6313170987169416	0.3981620718462824	-0.4736143842192546	-0.8235838352099153	-0.19523186074639334	0.7314081222957892	0.9064925996583498	0.7619022681080811	0.7773438571553262	0.89673686704323	0.0580880060848639	0.3152383446177633	0.279133156273769	0.5645631491664485	-0.73019114951558	0.03709023803289318	-0.5765583112008877	-0.7238319679796507	-0.20390029800870335	0.13151535555306176	0.9306175887479894	0.8847566677888752	-0.6707390366463423	-0.6990685669397374	0.1695507425279617	-0.5308819311961496	0.5525629995386476	-0.609611092407636	0.9315752066733999	0.7432536565293831	-0.027454207658449605	-0.21048392124590082	0.5079789024800808	-0.564927243481839	-0.29393633337074027	0.8552600406488859	-0.6943453160263844	0.6885297821668599	-0.3765707801842916	0.8349455728874425	-0.04674123118742129	0.5166124265888602	-0.021484058404718263	0.9109864212770733	0.1964189079664335	-0.2717565056920909	0.48836768538261077	-0.0008005087345228744	0.8261773837579022	-0.5074452299903989	0.8561977082008504
CadR-PbrR	0.1449070437287248	-0.20168580655619148	0.0005561166598087258	-0.13576977269043256	-0.27877404955174007	0.09492138305963915	-0.41943415753313634	1.0	0.08490629558972057	-0.252369730295889	0.3015224628736019	0.3195276749086647	-0.23911270714098679	0.2905946458185264	0.04106534994201923	0.013359268818813202	0.12966994600930187	0.2677464806294343	0.24520255863539445	0.10502624721006497	0.18670806369156723	-0.23660394768014564	0.12566989613336824	0.20574071995910173	0.1261786306562426	-0.16632376962306264	0.2516714672252771	0.0111348021795783	-0.168154216386738	0.14326612551278695	0.08370428558959588	0.05183855160288782	-0.07867180388782903	-0.1130263469619322	-0.300619708475168	-0.11601391538547862	-0.0022020224691080936	0.10444269878676792	-0.05345453185201811	0.11884686841481815	0.24339704983852667	0.08774922380578311	-0.1906582376338857	-0.281592039800995	-0.15077245352186436	-0.2228431775957306	-0.30243519245875883	0.22295290464968393	-0.050721330689908854	0.1175850072943553	-0.04347435753563012	0.12412872978466066	0.040022942929462964	0.05694584720507737	0.034646317285751696	0.21317223406775646	0.27762191548523046	-0.2941358371052008	-0.25790595892716867	0.11626329505355429	0.15505180862604273	0.0695844087831519	0.14959538148854723	0.013718375540842155	0.3590992406389107	-0.2917268295115899	-0.18179029663711518	0.03570867467175401	0.06085113280714223	-0.2957268793875235	0.041519220937916934	0.052766243968129276	-0.2119452861008242	0.07564433471739049	-0.27538248606591104	0.08764947193855285	-0.23151161485804062	-0.08205837978029651	-0.03137445604059901	-0.048920809486402574	-0.2809137271038292	0.13924612526340727	0.17129640020449133	-0.20728687390117084	0.1429469195376501	-0.24451427075150564	0.2999314205912792	-0.2262347410815596
CblR	-0.21977082008503845	0.2815172259005723	0.09046247459444631	0.17462811256998217	0.11326076384992331	-0.13811892916370527	0.0002917742116485243	0.08490629558972057	1.0	0.003518747116547588	-0.022965373633087694	-0.17153081709248244	0.15089215576254067	0.10408857965810048	0.08445242459382286	-0.38998740632676215	-0.17202458883527227	0.14785471140537912	0.003010012593673238	0.0833002905273133	-0.030536540355864786	0.24369630544021745	0.14211399144627737	0.0008104839212459008	-0.2574919886781631	0.3199466327510318	0.18467811319343133	-0.050836045337223655	-0.26513298170800137	-0.19518697240613972	0.07532014114889213	0.07650220077557077	0.25659422187309067	0.29814087457449595	0.14740084040948143	-0.07213805658424668	0.1945784860160351	-0.3384306537487999	0.21033928103841693	0.2045636479257846	-0.1755059290016085	-0.02889063454656542	0.34931857005698325	0.15940597763064376	0.16678262821232184	0.20202496290477437	0.140273569495879	-0.13310141024202296	0.3323457898477537	-0.09812840559109216	0.11894163268868689	-0.2669185401314231	0.043773613137320914	-0.279317697228145	-0.28271923590069703	-0.014591204379106971	0.10807366675394955	0.09748999364081846	0.1591516103692066	-0.2923253407149715	-0.09183905036222396	0.19360590531054003	0.024735969276424893	0.13817878028404343	0.02466614296936371	0.10335540343395803	-0.003119739647626529	-0.1406825521515231	0.005528747241237422	-0.18473297672040798	-0.2570480928689884	-0.18876295215651068	0.16528136261050635	-0.24757166548211323	-0.0036135113904163393	0.2052319854362274	0.2607189615830621	-0.26705320515218395	0.28156211424082594	-0.2616815671018342	0.13598922679833914	-0.29212084938714944	0.09764959662838689	-0.19354605419020188	0.3730844524245938	0.1730969214079976	-0.11027818301973841	0.20707739497998728
CcpA	-0.6450080424942954	0.42460130425566406	-0.04777865060661604	0.577560817466552	0.63787079639397	-0.4325714784473622	0.6858265065649197	-0.252369730295889	0.003518747116547588	1.0	-0.3402261873589446	-0.5635706180875073	0.5172458509457724	-0.42318482774099425	0.28528784648187633	-0.3078018429157471	-0.7353233830845771	-0.2935223631217347	-0.47704584845197573	-0.19085774136834624	-0.5676903702041173	0.6292472474719136	-0.2720008977668051	-0.5625232234815896	-0.3418022668611828	0.4995598448858465	-0.16334617638623922	0.3797877779024676	0.4712702153393434	-0.38326911806880387	0.36387236748587887	0.2697814187209317	0.3762415990224317	0.5860696517412936	0.6598860334916894	-0.08609334280976072	0.21040910734547813	-0.49187895110911606	0.2814224616267036	-0.4150899637152583	-0.671766480878814	-0.0028753475729123806	0.578338882030948	0.7005997581017219	0.588698113442811	0.5554607912816868	0.6508185887604584	0.13609895385229243	0.337168792628337	0.39181785309043754	0.4433197421414232	-0.6378059576802704	-0.06436738612700907	-0.6298856594221873	-0.5759597999975062	-0.03165376126884375	0.04649683911270714	0.6706941483060886	0.6052718861831194	-0.4632052768737765	-0.5802790558485766	0.22500779311462737	-0.36701953889699374	0.32011122333196174	-0.2783800296761805	0.6511377947355952	0.5403034950560481	0.025434232347036748	-0.09320066334991708	0.42509507599845386	-0.38367311313108643	-0.10757989501115973	0.672893676978516	-0.49774436090225566	0.4891257995735608	-0.2627738500480056	0.6072918614945324	0.04244691330315839	0.29815583735458046	0.08616316911682191	0.6436115163530718	0.16854823626229753	-0.20185538473048292	0.49903614758288756	-0.016351824835721143	0.6686143218743376	-0.43493061010735795	0.6625992842803526
