	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.03534726117247869	0.07623151053858741	-0.3355706875692413	-0.42587759756363247	0.034594008278828726	-0.42272784161757004	-0.07680630043897262	0.16330754504452305	-0.18615776128604605	0.12476880930417975	0.2601457370521622	-0.3937218109590184	0.07541799741344545	-0.09766561134004849	-0.4318271365728616	-0.07461839049557087	0.2913419953553268	0.08505499904974251	0.3526938641178134	0.023197871423207606	0.18871186802082224	0.12226569199605064	0.10271356457810885	0.24466812836356389	-0.23014077717157014	-0.013479750244517478	-0.1312838674089491	-0.21507803699978215	0.2439125577687027	-0.19132159958466793	0.12854434457727448	-0.14368588659024434	-0.21098265895953758	-0.5533279871692061	-0.30326888578831973	-0.00905294093106693	0.17949668800496915	-0.11964900732857123	0.23751338472449485	0.25657415948565576	0.07522794591412453	-0.47155253533335495	-0.43756576477186865	-0.07060413199771938	-0.38609657397406955	-0.5736217789747416	-0.06918569885644622	-0.017044374707390224	0.05561555826469075	-0.045978556628393695	0.3231315851685664	-0.3210665133893599	0.09163495278842633	0.2874714343325716	-0.2581687379189824	-0.17438847453541678	-0.4611599631021967	-0.33189713114944075	0.25576064636051377	0.08094571480223056	-0.23872322475675725	0.24796389948593386	-0.2878121364106225	0.11628602287107555	-0.49393225822899817	-0.1696186454427041	0.035358849678534844	-0.10340192183784436	-0.3431889714505565	0.228511433220075	-0.00926153404007769	-0.4072548683313942	0.1734822533618256	-0.11484441271769008	0.2250487876104964	-0.41069201922764925	-0.0066633909822881275	-0.23929106155350877	-0.2360810453759543	-0.4077485386893863	0.05564568838043675	0.11186153125883623	-0.018237990831174007	-0.05925666686753411	-0.39991007319300426	0.1218624119852965	-0.2455766672383663
AgaR	-0.03534726117247869	1.0	0.29012288451821944	0.28151262451849757	0.22441837288104166	-0.0872011903713421	0.11221382184294329	0.09113201162558927	-0.006306464995758607	-0.018061845539120477	-0.03472379954665764	-0.2227496280089556	0.32766964414015604	-0.21336757350589391	-0.03919928058554403	0.2667001960775225	0.15007578882960723	-0.03365533928828031	-0.005200921518001585	0.03655941890595232	-0.03270508179167574	-0.0242408369682614	-0.12530419828397402	0.19592455419017202	0.207248842308245	0.1577242028266684	-0.04771683253681668	0.030538031159175083	0.03952839415753879	0.06120817128739031	0.18998892138821033	0.06601508359948269	0.045654078458821405	0.2882246872262215	0.16580139154780724	-0.027814732235979068	-0.16398894920062485	-0.09631902693632348	0.08447093834451237	0.08079274652228934	-0.07399956427217229	-0.08401435120589994	0.30356555154335724	0.17137082755839447	0.2976415072474517	0.1263912001520412	0.12977967932286041	-0.008788722992986636	0.3061103874732885	-0.237856404503757	0.04670631480872012	-0.04419856209816855	0.1593651352842197	-0.23872090705554602	-0.0020789779864738957	0.1519415383046479	0.12785366961632774	0.20427291395302483	0.25999276877222094	-0.1323940462891286	0.003909961943346111	0.0962147303818181	0.12798114318294543	0.3309607798601036	0.07618052111194033	0.08654296322735258	-0.17597146446268733	-0.11204231195331223	-0.20095396581854252	0.15782849938117377	-0.20836365659084694	-0.05303595681659103	0.12072673839179349	-0.24685603830696562	-0.02051165571939128	0.14540793859018872	0.24627661300415796	0.003807983090051963	0.177867344053474	0.07913327245504818	0.17198965378179307	0.1292187956297426	-0.19087891865332288	0.12977967932286041	-0.13242185870366335	0.21235010267416365	-0.04487764855305913	0.2815752024512008
AmtR	0.07623151053858741	0.29012288451821944	1.0	0.2531439616930344	0.050980155842229445	-0.10792375690095536	0.013521468866319629	0.1253482346069874	0.02030769801280298	-0.012070587908089242	-0.047788681274364836	-0.04438629589627824	0.0820373520727202	-0.05743727141671804	0.03557439589117929	0.1703579921290867	-0.005995893033453699	0.04585340076298724	0.08440140730817546	-0.007609013076470233	0.07535310177953099	-0.028173975923719816	-0.28616888625185993	0.20454176729352758	0.1573371467243929	0.08794517246014713	0.004211263100806097	-0.10037500405597712	-0.050838776068344374	0.029965558960001113	-0.06605216681886238	-0.17474076511952386	0.008967185986251396	0.2616290658273498	0.17154233744802555	0.022419123816234107	-0.20256245045913662	-0.0798216297147837	0.161126588204755	0.008295052634994507	0.07888296072423527	-0.16654305593540103	0.24409333846317868	-0.00216473293128943	0.0993598509254581	0.048794563600038934	0.02008519869652484	0.007284534906897943	0.029972512063634806	-0.20813883957335755	0.016135835832587805	-0.05174963264435802	0.21231997255841767	-0.03476783586967103	0.10598615868836653	0.036355461199364024	-0.002605096161423254	0.0696979108241282	0.08053084628542027	-0.03903704150075789	0.0727225109047842	0.04253677032971617	0.22803630447177273	0.2302265321163857	0.0010730956607997923	-0.10685993204500048	-0.152082918078533	-0.2531532324978793	-0.20767066392868896	-0.0774112204551038	-0.2553365070388586	-0.009280075649767535	-0.10038427486082205	-0.07104913063027567	-0.1445527068432446	0.20198302515632896	0.16468425956399405	-0.057330657161001435	0.17706078403196573	0.2029610950674683	0.014970032123338788	0.07861410738373252	-0.03715970351966106	0.053909730173224986	-0.1726594694318387	0.0731304263179608	-0.13015514691907978	0.2641762194584923
AraR	-0.3355706875692413	0.28151262451849757	0.2531439616930344	1.0	0.5314048514121753	-0.13811645057965707	0.46023288261770445	0.035159527374369004	-0.301231626423648	0.10956237165729543	-0.11804284038918839	-0.39807908923613206	0.5343483319504383	-0.27883567961952616	-0.017971455191882483	0.5936884360615767	-0.03309677329637373	-0.18262094923770808	-0.10099614798058694	-0.15780068696663901	-0.16154840982519897	-0.25770056227431387	-0.3926742100115422	0.03557671359239052	-0.1315782154627754	0.32868479727067507	-0.16841807621528662	0.10711256147702462	0.15567999035836297	-0.19985305774320797	0.3848079321006253	-0.24352318396521594	0.10833862541776565	0.42136735100657763	0.561154864159532	0.2351191993732936	-0.16949580727850888	-0.2578303535421428	0.30965647032647137	-0.12348943823558042	-0.27992268148759336	-0.16443626553439236	0.4987229466326119	0.49491032814013747	0.23482021591704483	0.25778399951791814	0.5485303456619587	-0.02510070411762797	0.2007685497216441	-0.11689326058841798	-0.036937204203382916	-0.3457593020938113	0.4093639764336141	-0.1739202988907482	-0.21516842734702013	0.05370577246663669	0.0884573844278291	0.5499626850104992	0.45509222133119487	-0.23054869258474675	-0.20806930853702063	0.049469014652507054	-0.004229804710495942	0.4645438068705935	-0.07772179241740872	0.43745683281494085	0.18852645192392378	-0.2015102141092379	-0.08313594244684352	0.23818551807575175	-0.37737042891378614	0.0008529140457328803	0.22955903416755125	-0.111859213557625	-0.028725588811992712	-0.007367972150502246	0.6228335287928022	-0.013141365867677803	0.37638540589901315	0.09293286546671549	0.37753266799857227	0.004584412995814232	-0.17314386898498593	0.13801215402515168	-0.1282592673282931	0.3873295910184443	-0.06598958888615915	0.5168033337814222
ArgR	-0.42587759756363247	0.22441837288104166	0.050980155842229445	0.5314048514121753	1.0	-0.2594689682984828	0.5738697730043434	0.014807793038552642	-0.2986103063537461	0.09869235297662367	-0.18918236136670205	-0.44983567498412375	0.7231088716966964	-0.3521886052537651	0.1447265344340869	0.6889042372213544	0.08061428352902457	-0.38311601021642694	-0.14067055731443326	-0.3435667567479871	-0.287485340539839	-0.36435653661272605	-0.3113344860034024	-0.06200546050405366	-0.21139520977513662	0.39679276506389904	-0.06342157594411559	0.20826631313997523	0.18180048300893242	-0.22867367230486116	0.453546314623304	-0.1491950623693396	0.20844709383445123	0.44942080646731347	0.7024349768925189	0.24499724193555864	-0.07676921721959291	-0.33554287515470654	0.21492738642105214	-0.2362154720462057	-0.36900120984003226	-0.18874431583777945	0.6179640385480065	0.7091841228196226	0.36873699190195197	0.4308003949362864	0.7042080183191104	0.03178031900839472	0.250105455405111	-0.04748274471448239	0.08443153742392145	-0.4317228400183562	0.3525663905511957	-0.2258113113089913	-0.41018444266238974	0.10077828406673126	0.16146265488038344	0.6713638744547608	0.7074643885208894	-0.31088716966963487	-0.20462983993955436	0.2124891647468375	-0.13497596543843954	0.5797034269530109	-0.13741186941144296	0.6037588478243738	0.3319643444845664	-0.13445680036712387	-0.10717050400730539	0.3221882807755955	-0.37218341360305196	0.248758871001386	0.5203123334152254	-0.2702764090464514	0.23556188030463865	0.03303883076609296	0.7479407224738216	-0.05679526818120715	0.47333716526600256	0.016103388015630576	0.5686618983827081	0.15694081981727243	-0.11274921082273757	0.28576097083868335	-0.09657629177077008	0.5253996875738767	-0.07186959685905132	0.6084151095577363
BioQ	0.034594008278828726	-0.0872011903713421	-0.10792375690095536	-0.13811645057965707	-0.2594689682984828	1.0	-0.17299090070504472	0.16974380130811056	0.03138399210127427	0.06097408346505602	0.1694448178518618	0.12412680606866885	-0.2327458733329934	0.1178087525668541	-0.09125716749099573	-0.30423304949219165	0.021241731600928935	0.10068094061585957	0.10115375166295063	0.051448331486898036	0.15044198562098168	0.28873226379148104	0.015491514895865685	-0.14446463419721783	0.13714533377215143	-0.2250163397935392	0.126921953729413	-0.12441420101886146	0.014740579703426952	0.11884708270948542	-0.2713773171217859	-0.02200657300063505	0.02133212194816693	-0.17347298255698068	-0.17545925249500535	-0.08168737918982437	-0.05837825810847769	0.25195498097167307	-0.23253728022398265	0.059258984568745336	0.1569222782075826	0.08842261890966065	-0.20548275398528723	-0.3092276956023937	-0.16051007968256764	-0.07787244299613871	-0.3378304462501912	-0.043023487584074614	-0.16345819562325303	0.06713685098571832	-0.03873805804450913	0.09966810518655177	-0.13584742109386228	0.1525163282050331	0.11969304365158462	-0.007912631935141448	-0.04122958684658209	-0.27293944773815537	-0.339837575499117	0.09426786136438435	0.11859677097867251	-0.12990483518826687	0.0899013122824258	-0.12615711232970692	0.05892755329553935	-0.21543728068752288	-0.13470479439672556	0.02860506834900872	0.2125957790025541	-0.13807009655543245	0.23347363151331982	-0.055311939406019535	-0.17535263823928873	0.12993496530401286	-0.17893116890942887	-0.08434578247910593	-0.24760002039577067	0.08644793747769212	-0.1329920132016261	0.04521371522868758	-0.147229651742216	-0.14517153306664318	0.1188679420203865	-0.10787276747430828	0.09620545957697317	-0.12379305709425163	0.01646958480700502	-0.31177716693474744
BirA	-0.42272784161757004	0.11221382184294329	0.013521468866319629	0.46023288261770445	0.5738697730043434	-0.17299090070504472	1.0	0.06484464448781121	-0.21601670599033054	0.21909229549763362	-0.12081712873903148	-0.4075955704094451	0.6426359679415569	-0.32602407628018226	0.06857382573668133	0.5915746925569343	-0.00020395770658829747	-0.4577320830107866	-0.11925268042145079	-0.3405073911491626	-0.22103684681385616	-0.3256741033972864	-0.25372106929463084	-0.05990098780425623	-0.24207462070819677	0.2827363707580274	-0.1635323620620124	0.17991387422299066	0.15844732560457236	-0.1796519739861216	0.3721185179691375	-0.1267249491264584	0.21632959565384668	0.4137189370095165	0.6308829050994063	0.2962995582461491	0.01813601197787986	-0.2850007648413997	0.2755793094177471	-0.23181879284850115	-0.3568564554931836	-0.17421696464578573	0.4708363656590847	0.6391501453198659	0.26201148652720285	0.4431792371054693	0.6872911171783378	0.028876239390722706	0.19078389290366243	0.03957706588297463	0.13596562385563501	-0.3618928202251879	0.34989408105464676	-0.12027246895439228	-0.2542495051707914	0.2535541948074222	0.28492891610385157	0.688116218809536	0.5406547969461969	-0.19716684203939164	-0.2506895161103411	0.119827470321836	-0.21344637534707575	0.4480881282708558	-0.177535912780268	0.5632709253653856	0.28341545721291794	-0.0960409027909758	-0.01192225503057048	0.3489832244786331	-0.27856219087660095	0.049754091901488426	0.40283501212157735	-0.08941227732685614	0.1802198107828731	-0.06862713286453964	0.5918064626780574	0.09768415294973833	0.3741140587120071	0.0854327843471731	0.5290547023839874	0.1647561083015422	-0.10176330708150429	0.31919381081068554	-0.0746577914161618	0.44741599491959894	-0.07607854225864619	0.47159425395515714
CadR-PbrR	-0.07680630043897262	0.09113201162558927	0.1253482346069874	0.035159527374369004	0.014807793038552642	0.16974380130811056	0.06484464448781121	1.0	0.02068780101144481	0.1709721829500628	0.010492233383241166	-0.0710213182157409	0.042652655390277704	0.030148657355688335	0.05018750202798856	0.168703153464268	-0.016963255164997148	0.0976517051327811	-0.025965206669417006	-0.16456142139979882	0.19871738414970497	0.037317307202024745	-0.06354209640709958	0.02278763830881978	0.08558343492590309	0.08960001112496581	0.03230411948213284	-0.09630975613147856	0.0925481270656512	-0.11491857915644947	-0.09256435097412982	-0.041011722932726404	0.06418873504503293	0.08733098163917101	0.08381734660294533	0.07853298784133944	-0.06561180358872856	-0.038782094367522515	0.08267703760701986	0.12076150390996195	0.038807589080846056	-0.038925791842618816	0.1601809661105729	0.07260430814301144	0.16197023144564296	-0.046537122620300284	0.05118411354881774	-0.017449972419355586	0.10890414451330592	-0.11238069633015191	0.09573728393230459	-0.026574762087970667	0.04317877356522706	-0.10650764146089342	-0.023017090728731614	0.032820966852237274	0.11186153125883623	0.07319532195187525	0.04792310794461621	-0.0006118731197648924	0.10367541058076957	-0.010380983725102095	0.21900885825402933	0.14821931015941148	-0.021661235520161682	-0.032109432580389466	0.0688287728699167	-0.15822250858708298	0.01642786618520287	-0.020462983993955436	-0.07192985709054331	0.03769045709703288	0.06779739583091907	-0.022518784968317024	-0.018805827627925518	0.14955430605708034	0.12211735911853187	0.07735559562603428	0.0075232581316547	0.13228743203341198	0.004211263100806097	0.11921791490328233	0.054614311341439105	-0.049575628908223666	-0.03645048694902448	0.11894674386156834	-0.18765731396971227	0.03189852177016748
CblR	0.16330754504452305	-0.006306464995758607	0.02030769801280298	-0.301231626423648	-0.2986103063537461	0.03138399210127427	-0.21601670599033054	0.02068780101144481	1.0	-0.13080410325822436	0.06422350056320139	0.14554700066286255	-0.28208509671767157	0.06730604317413816	-0.023149199697771763	-0.2905192114253399	0.021552303563233843	0.18918931447033574	0.017023515396489147	0.03633460188846295	0.12818741859074495	0.15245143257111865	0.16758833918166605	0.09363976433614084	0.12757322776976884	-0.13745822343566758	0.04576532811696048	-0.06383180905850341	0.05857758041264352	0.11503678191822223	-0.2373210155239627	0.21901581135766302	-0.09343117122713009	-0.15350135121980615	-0.34958119139113064	-0.18025921170346404	0.1431922162322522	0.09463637585697002	-0.2069707181628973	0.10049320681774988	0.3048101570937881	0.011118012710273443	-0.18965749011500432	-0.2837237114740116	-0.06937806805697837	-0.09969591760108654	-0.3521816521501314	0.010983586040022064	-0.0643671980382977	0.04415220807394394	0.07875316945640636	0.3028725588811993	-0.0999045107100973	0.07305857758041265	0.22379491125522064	0.09084461667539667	-0.01497466752576125	-0.32834641289383537	-0.24542601665963631	0.1253992240336345	0.14347497578002233	-0.12101181564077486	0.12813411146288664	-0.22318999123908942	0.16605170327862012	-0.1278513519151165	-0.11658964172974677	0.07679471193291645	-0.021176835967014477	-0.038784412068733745	0.18448438101153752	-0.08220886196235126	-0.22127093463619044	0.15188359577436716	-0.019999443751709305	0.09838873411795244	-0.25633080085847654	-0.04358900667961489	-0.2705892987099675	0.05359220510728639	-0.22485410070875303	0.05302436831053488	0.09603626738855334	-0.0763219008858254	0.209670840073981	-0.3079900431555965	0.12405032192869823	-0.2265599288002188
CcpA	-0.18615776128604605	-0.018061845539120477	-0.012070587908089242	0.10956237165729543	0.09869235297662367	0.06097408346505602	0.21909229549763362	0.1709721829500628	-0.13080410325822436	1.0	0.04102562913999379	-0.09946182977875224	0.12058304091669718	-0.010181661420936258	0.03691402719127061	0.21155281345750032	-0.03917610357343173	-0.1881254896143809	0.06950554162359605	-0.08954670399710751	0.008545364365807417	-0.06065887610032865	-0.14978607617820341	-0.11737302473914273	-0.0717027223718427	0.16364824712257395	0.0009039034723799547	0.13918259313682319	0.1512230509291664	-0.06426521918500355	-0.03431820183469228	0.07996764489109122	0.11241082644589791	0.02410872799922125	0.23180256894002252	0.11858750017382759	-0.019005149932091354	-0.0074421385892616265	-0.026148305065104228	-0.07568221535152574	-0.17092119352341573	0.07486638452517255	0.17975395283941575	0.14964469640431835	0.14628171194682266	0.1270030732718061	0.20871131177253152	-0.10080146107884357	-0.1319629538638397	0.03194719349560332	-0.04589048398236693	-0.19020214989964354	0.15614121289939786	-0.10358270253232034	-0.21772253408179632	0.16747245412110454	0.27121276033578856	0.25264333823140855	0.06406126147841525	-0.09019566033625209	-0.05351572096731578	0.17657174907639606	-0.0037987122852070404	0.0896741775637252	-0.214554236526044	0.2241124363211592	0.0833769833728115	-0.06693521098034126	0.06844635217006365	-0.01480083993491895	0.07473891095855487	0.2262818046548711	0.06750304777709276	0.04468064395010453	-0.0066170369580635146	-0.14426762959426323	0.15062044861424645	0.09791824077207263	0.10681126031956464	0.2161488149593707	0.19136795360889255	0.04640733135247137	0.00918968530252954	-0.01224673320014277	-0.07379792426679523	0.14630952436135744	-0.055810245166434125	0.12217530164881264
