	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.04660225270912294	0.09030053915550099	-0.44206480542358406	-0.5055517002081887	0.10959269737895692	-0.4640687556718091	-0.07937863663054502	0.1662734212352533	-0.23344899375433725	0.14101318528799445	0.2890140393957188	-0.4611754657556184	0.06934820904286552	-0.1386376981796829	-0.5980729194469653	-0.0842523888325415	0.34984252388832543	0.15968611541130626	0.4262584743500774	0.01933486360967277	0.21339347675225537	0.16914002028505845	0.022575134788875247	0.23821064431751454	-0.2631078844819303	-0.013612341856616667	-0.1896225911493087	-0.23926760262638125	0.28648908343564833	-0.23987081620669407	0.20797523087599423	-0.1283563764479795	-0.27481983665189774	-0.6652111247531095	-0.33005925372337586	-0.004046335344045268	0.24509154967170235	-0.2018736988202637	0.28841082581540595	0.2837506005444937	0.14015373939038062	-0.6075908824000427	-0.4990925105428922	-0.0926439972241499	-0.3942134201676186	-0.6493567501201088	-0.03820530614423744	-0.08542144878022741	0.09183259488603	-0.0707041050552501	0.36444776597448353	-0.3667325041370843	0.15147600491111943	0.3028132173170341	-0.27353867506539264	-0.19527037847648535	-0.5400629904446699	-0.41032936529119735	0.29796081780814604	0.09903379063684407	-0.3057492126194416	0.2381519244114664	-0.35325361661239524	0.09853200234879624	-0.5435167885549564	-0.24896172529760316	0.07959750173490632	-0.1556451182405381	-0.42136870762824963	0.2618961191480275	-0.0028826135696364704	-0.47162227085891206	0.2056104201142369	-0.08675599209950355	0.23563230662467305	-0.50597341589708	-0.025665937116318795	-0.25894944749906584	-0.2163294720546629	-0.4620882933860033	0.047039982917845516	0.08449260663001121	-0.0870549298030214	-0.054812363209309774	-0.43552554315913095	0.10644317514546522	-0.3201889713340095
AgaR	-0.04660225270912294	1.0	0.22841509635402765	0.11780280787914375	0.043201836331607325	-0.06817914909517964	0.03654513425505792	-0.01355896012384562	0.11032936529119736	-0.016212032242566593	-0.009021512838306732	-0.061613195964341005	0.151251801633481	-0.11078844819302834	-0.03461271552874606	0.012235093151123685	0.17836972188117226	-0.09664762718197832	-0.09622591149308707	0.04123205039235574	-0.006987668819729889	0.08886990871723696	-0.028473816260075804	0.12215341909998398	0.1371163187957081	0.04750440399295361	-0.019228100144130678	0.11070837559387178	0.04199007099770458	0.1314845459883628	0.0956920941653766	0.17331980996103133	0.010185234612715529	0.1643036352960017	0.04262531361768003	-0.02830833288848556	-0.03778359045534618	0.049004430683819995	-0.024261997544440292	0.01734906315058987	0.01042011423690813	-0.011722628516521645	0.09495008807985907	0.04036192814818769	0.13152191320130252	0.08709229701596113	0.05300272246837132	-0.028126834997064004	0.23601665510062456	-0.14462179042331713	0.07611701275823413	0.05715582127795868	0.1297656541931351	-0.09454972508407623	0.08905674478193562	0.2079432018363316	0.13111621203224258	0.033091336144771256	0.11007313297389633	-0.05268243207174505	0.06349223295788181	0.1559013505578391	0.1024555597074681	0.17288741792558587	0.1628836812042919	0.05419847328244275	-0.12489190199113863	0.06610259969038595	-0.17125927507606897	0.21930817274328726	-0.10416377515614157	-0.10453210911226178	0.07991779213153259	-0.1634602039182192	-0.02787594085304009	0.05565045641381519	0.028217583942774783	0.02390967810815139	0.08675065392622644	0.02944002562323173	0.13261090054983185	0.09647680563711097	-0.07659744835317354	0.13479955159344473	-0.009154967170234346	0.08308866705813271	-0.04934607377355469	0.12325842096834463
AmtR	0.09030053915550099	0.22841509635402765	1.0	0.08731650029359952	-0.10361928148187691	-0.09655154006299045	-0.03483158063310735	0.08492499866545668	0.12563924624993328	-0.04283350237548711	-0.012395238349436823	0.0788875246890514	-0.12205733198099611	0.06939091442908236	0.07895692094165377	-0.061575828751401274	0.06612395238349437	-0.043201836331607325	0.034420541290770296	-0.09828644637804942	0.15617893556824855	0.07345860246623605	-0.17137671488816528	0.10374739764052741	0.10959269737895692	-0.07558319543052368	0.00011743981209630065	-0.016537660812469972	-0.06840869054609512	0.13958255484973042	-0.14122671221907862	-0.1398921688998025	-0.06147440345913628	0.1388352105909358	0.04219825975551166	0.04666097261517109	-0.043420701435968614	-0.03387604761650563	0.0873858965462019	-0.0013345433192761436	0.16082314631932954	-0.13620882933860032	0.02301286499759782	-0.09547322906101532	-0.07480916030534351	0.07291410879197138	-0.07974697058666524	-0.0801580099290023	-0.13320877595686756	-0.06076976458655848	-0.08606202957347996	0.062034911653232265	0.07966689798750867	0.17407783056638018	0.20174024448833608	0.044536379650883466	-0.05604548123632093	-0.05616292104841723	-0.10313884588693749	0.025820744141354827	0.17938931297709923	0.048758874713073184	0.1442267656008114	0.023397213473549353	0.05210057118454065	-0.12787594085304008	-0.1956920941653766	-0.09371163187957081	-0.13122297549778467	-0.015293866438904607	-0.1141248064912187	-0.09938611007313297	-0.10497517749426147	0.09465115037634121	-0.08877915977152619	0.11145038167938931	-0.015966476271819782	-0.027758501040943788	0.04449367426466663	0.24429082368013666	-0.08212245769497678	-0.0074253990284524635	0.011989537180376875	0.015982490791651097	0.009880958735920568	-0.076773608071318	-0.06550472428335023	0.06036406341749853
AraR	-0.44206480542358406	0.11780280787914375	0.08731650029359952	1.0	0.4483264826776277	-0.16175198846954572	0.4619388245342444	-0.06010783110019751	-0.22995249025783376	0.12394170714781402	-0.11311589174184594	-0.26273421235253297	0.4021886510436129	-0.11310521539529172	0.09916190679549458	0.49296428762077615	-0.07867399775796723	-0.29364223562696845	-0.19210484172316233	-0.24589227566326802	-0.18971334009501947	-0.24156835530881332	-0.28222388298724177	-0.06534991725831421	-0.2763305396893183	0.2988309400523141	-0.1475898147653873	0.26890514066086585	0.1457428068115091	-0.16717023434580686	0.32819623124966635	-0.20846634281748785	0.08188757807078417	0.3112048257086425	0.483254150429723	0.2899855869321518	0.057342657342657345	-0.25208455666470936	0.29752842577270056	-0.23466075908824	-0.26724496877168635	-0.20411573159664761	0.36155447605829283	0.4448086264880158	-0.01747717930924038	0.28644637804943146	0.5088133240804996	-0.053082795067527895	0.018662253776757592	0.06923610740404633	-0.012715528746063097	-0.24336198152992047	0.4030160679015641	-0.025190839694656488	-0.21518710297336252	0.09545721454118401	0.038477552981369775	0.4792024769124006	0.33913948646773073	-0.15640313884588694	-0.17371483478353708	0.15362728874179254	-0.1586985533550419	0.29224897240164416	-0.05715582127795868	0.45281054823039557	0.3476325201516041	-0.06191213366785886	0.03615544760582928	0.37044253456467197	-0.29469919393583516	-0.07260449474189933	0.1939465115037634	-0.010334703464474456	0.061591843271232585	-0.2120108898734853	0.5347248171675653	-0.028916884642075483	0.3254310574921262	0.07685368067047456	0.3813537607430737	-0.061351625473762876	-0.11877969358885389	0.07904766988736454	0.08942507873805584	0.27650669940746275	0.04687983771953238	0.35734799551593444
ArgR	-0.5055517002081887	0.043201836331607325	-0.10361928148187691	0.4483264826776277	1.0	-0.2160038434847595	0.6192868200501789	-0.05312550045374473	-0.2805210057118454	0.1415416644424278	-0.22326909731489883	-0.37472908770618696	0.6937810281321731	-0.2372230822612502	0.2833502375487108	0.6443708962792932	0.0747984839587893	-0.5158597128062777	-0.23318742326375913	-0.41800032029039663	-0.31794693855762557	-0.33389206213633693	-0.24804355949394116	-0.16764533176746918	-0.3145038167938931	0.3917525222868734	-0.04510756419153366	0.37240164415736937	0.1967116852613036	-0.23179416003843484	0.37335183900069396	-0.17487321838466877	0.23618747664549192	0.4430096620936316	0.6913041157315967	0.2551753589921529	0.127411519777932	-0.3412320503923557	0.19367426466663107	-0.3591202690439332	-0.3781828858164736	-0.15661666577697111	0.5685688357444083	0.7250733998825601	0.18218651577430203	0.4752201996476806	0.682085090482037	0.018069716542998986	0.09985586932151817	0.066155981423157	0.13554155767896225	-0.4114236908130038	0.35142796135162546	-0.17042652004484066	-0.42327977366145303	0.18555490311215503	0.15991565686222176	0.6594886030000534	0.6698179682912507	-0.2162066940692895	-0.19680777238029146	0.24534778198900337	-0.23916617733411627	0.5199701062296482	-0.13653445790850371	0.6568622217477179	0.4692040783643837	0.032909838253349706	-0.05196177867933593	0.4125874125874126	-0.3001174398120963	0.22583675866118613	0.5100784711471734	-0.1883254150429723	0.2913521592910906	-0.11289168846420755	0.7189291624406128	-0.005348849623658784	0.4484279079698927	0.018341963380131318	0.5869054609512625	0.20769764586558478	-0.04180857310628303	0.23610740404633535	0.04280147333582448	0.43249346073773554	-0.07849249986654566	0.5468371323333155
BioQ	0.10959269737895692	-0.06817914909517964	-0.09655154006299045	-0.16175198846954572	-0.2160038434847595	1.0	-0.21415683553088133	0.1391982063737789	-0.014215555436929483	-0.026167725404366626	0.1771259275076069	0.1309293759675439	-0.23586184807558852	0.121592910905888	-0.1160999306037474	-0.3539849463513586	0.020242353066780547	0.12291143970533283	0.13085464154166443	0.07266321464794748	0.12385095820210323	0.24146159184327123	0.042080819943415365	-0.07123258420968345	0.1572999519564405	-0.28758874713073185	0.09808893396679656	-0.1626541397533764	-0.041600384348475954	0.16584102919980784	-0.23158063310735066	-0.06660972615171089	-0.026098329151764268	-0.1989643943842417	-0.17728073453264293	-0.11077243367319703	-0.17253509848929696	0.24260929909784873	-0.23179949821171195	0.03604334596701009	0.13134041530988097	0.08363316073239738	-0.2267228954251855	-0.3430256766134629	-0.18108685207921849	-0.1234559333795975	-0.4109859606042812	-0.00445737468638232	-0.09335931244328191	0.09091976725564511	-0.017039449100517804	0.07447285538888593	-0.18440185768430042	0.16292638659050873	0.1289382373351839	-0.07629851064965569	-0.13713233331553942	-0.31585971280627767	-0.34160572252175303	0.07156888912614104	0.1131852879944483	-0.13460203918219185	0.08585917898894999	-0.11066033203437783	0.04683179416003844	-0.279325254897774	-0.1819196071104468	-0.05347781989003363	0.25396893183152724	-0.1418939838787167	0.20131852879944484	-0.06250467090161747	-0.1449047136070037	0.0681364437089628	-0.19803021406074842	-0.049714407729674906	-0.25846367373084933	0.030117973629424012	-0.12165163081193615	-0.08788768483424972	-0.18498371857150483	-0.21770672076015588	0.12934927667752094	-0.036438370789515825	0.037180376875033366	-0.05151871029733625	0.11000373672129397	-0.33623552020498587
BirA	-0.4640687556718091	0.03654513425505792	-0.03483158063310735	0.4619388245342444	0.6192868200501789	-0.21415683553088133	1.0	0.04613783163401484	-0.22178508514386377	0.2895158276837666	-0.11344152031174932	-0.39096247264186196	0.6392142208936102	-0.25175892809480593	0.1451395932311963	0.6412160358725244	0.035360059787540706	-0.526391928682005	-0.21359632733678535	-0.42410185234612713	-0.2658036619868681	-0.3593711631879571	-0.21441840602145945	-0.07956013452196659	-0.3171355362195057	0.3445577323439919	-0.18171141835263974	0.24204879090375273	0.17754764319649816	-0.17352799871883842	0.39303902204665564	-0.15442801473335824	0.21894517696044413	0.4585864517162227	0.6455452944002562	0.307809747504404	0.08948379864410398	-0.30508727913308065	0.2888752468905141	-0.32139006032135803	-0.3901617466502963	-0.2122457694976779	0.4758501040943789	0.6484973042224951	0.26077510275983556	0.505717183579779	0.7150856776810975	0.07792665349917258	0.11468531468531469	0.09805690492713394	0.20332568195163614	-0.3646079111727967	0.36378049431484544	-0.1296321998612075	-0.2959216356162921	0.29482731009448565	0.2762237762237762	0.7242246303315005	0.5681631345753483	-0.21244862008220786	-0.28092136870762824	0.16294773928361714	-0.2852826562750227	0.4756098862969092	-0.16612929055677148	0.5977579672236161	0.4032456093524796	-0.09065285859178988	0.012277798537340522	0.4541450915496717	-0.27898361180803927	0.08075054716276091	0.4144824641007847	-0.07335717717397107	0.24884428548550686	-0.14255591736507767	0.5949661025996904	0.08019003896866492	0.37322372284204347	0.09959963700421716	0.5758180750547163	0.22829231836865424	-0.05835691026530721	0.3666470933646506	-0.02385095820210324	0.4434153632626915	-0.09025249559600705	0.4972134735493514
CadR-PbrR	-0.07937863663054502	-0.01355896012384562	0.08492499866545668	-0.06010783110019751	-0.05312550045374473	0.1391982063737789	0.04613783163401484	1.0	0.07950141461591843	0.16059894304169114	0.05030160679015641	-0.05516468264559868	-0.05742272994181391	0.11591843271232584	0.05373405220733465	0.06008114023381199	0.026952436876100997	0.104542785458816	-0.025500453744728552	-0.15186035338707093	0.1296535525543159	0.04052207334650083	0.037831634014840125	-0.00816740511397	0.013820530614423744	0.06119681844872685	0.012304489403726046	-0.10231676720226339	0.10461751988469546	-0.09407996583569103	-0.1655847968825068	-0.028228260289328993	0.016121283296855814	-0.0021672983505044573	0.07870602679762985	0.07642128863502909	-0.03075855442267656	0.019537714194202745	0.019911386323600063	0.11812309827577003	0.06362568728980943	0.013879250520471894	0.06326802968024342	0.029621523514653286	0.10312283136710618	-0.02634922329578818	0.020519938077189985	-0.1433940105695831	0.13179416003843486	-0.06269684513959323	0.11693802380825281	0.01928682005017883	-0.019398921688998025	-0.008407622911439705	-0.0029413334756846206	-0.06599049805156676	0.05097421662307158	0.04012171035071799	-0.01763198633427641	0.018304596167191586	0.1337372551113009	-0.015843698286446377	0.24066620402498265	0.05182832434740832	0.026680190038968665	-0.059162974430150006	0.07271125820744141	-0.133027278065446	0.11372444349543587	-0.001606790156408477	-0.050312283136710614	-0.015656862221747718	0.10589334329792345	0.02802540970479902	0.01103934233705226	0.09493407356002775	-0.009325788715101693	0.07612235093151123	-0.061746650296268614	-0.03631559280414242	-0.02912507339988256	0.03999893236534458	0.08369721881172262	-0.04017509208348903	0.03586718624886564	0.09803555223402552	-0.11597715261837399	-0.07737682165163082
CblR	0.1662734212352533	0.11032936529119736	0.12563924624993328	-0.22995249025783376	-0.2805210057118454	-0.014215555436929483	-0.22178508514386377	0.07950141461591843	1.0	-0.12840442000747343	0.021160518870442534	0.0429402658410292	-0.19333795975017348	-0.025105428922222815	-0.08321678321678322	-0.22234559333795975	0.00028292318368654246	0.2346660972615171	0.03637965088346768	0.03702556984999733	0.15084076229114396	0.1177227352799872	0.12829231836865423	0.1975551166390861	0.17890353920888272	-0.11811776010249293	0.03233331553942241	-0.15942988309400524	0.04726418619548391	0.09889499813163935	-0.18454598836278224	0.25804729621523514	-0.07502268723642769	-0.09586291571024395	-0.35794053274969306	-0.2517909571344686	0.0639459776864357	0.01870495916297443	-0.15598142315699567	0.14394918059040196	0.27965088346767736	0.03250947525756686	-0.12297549778465809	-0.29374366091923343	0.0073239737361874765	-0.08236801366572359	-0.3430630438264026	0.016660438797843378	0.07903699354081034	-0.03394544386910799	0.04402391501628143	0.27791063897934126	-0.08033416964714675	0.0007900496450114771	0.18112955746543533	0.07950141461591843	0.01350024021779747	-0.29307105108631826	-0.20078471147173438	0.11051086318261891	0.15905621096460792	-0.1649709069556398	0.1687236427694443	-0.13902738482891155	0.12374953290983826	-0.14209683446324667	-0.2142315699567608	-0.039203544547056	-0.0857684300432392	-0.11159985053114824	0.14092243634228366	-0.05780707841776544	-0.24181391127956015	0.07179309240377943	-0.0648748198366519	0.19373298457267923	-0.18861901457321303	-0.11511236854748305	-0.2425879464047403	0.06705279453371056	-0.2523781561949501	0.025180163348102278	0.04275342977633054	-0.04696524849196605	0.14308439651951102	-0.25566647093364653	0.11344152031174932	-0.1560081140233812
CcpA	-0.23344899375433725	-0.016212032242566593	-0.04283350237548711	0.12394170714781402	0.1415416644424278	-0.026167725404366626	0.2895158276837666	0.16059894304169114	-0.12840442000747343	1.0	0.0024288688410825814	-0.11390060321358031	0.17296215235146534	-0.03859499279346608	0.07122190786312924	0.27192654673570704	-0.060646986601185074	-0.18933966796562215	0.08862969091976726	-0.06370042171568889	-0.09775796722361609	-0.1644157369348209	-0.07878076122350931	-0.11979394651150377	-0.12633854694923397	0.2086425025356323	-0.038477552981369775	0.1892649335397427	0.21837399241979394	-0.1232157155821278	-0.05599743767682699	0.04016441573693482	0.0823840281855549	0.009758180750547163	0.2671595579992527	0.13205573052901298	-0.051027598355842634	-0.0845940319222762	-0.06119681844872685	-0.09692521219238777	-0.27849783803982275	0.12283670527945337	0.23829605508994822	0.21019057278599262	0.17297816687129663	0.1801793626221107	0.25800459082901833	-0.10316019858004591	-0.13965195110233278	0.036214167511877435	0.027630384882293278	-0.2765227139272941	0.17476645491912668	-0.1644264132813751	-0.30026690866385525	0.19249986654566809	0.2488869908717237	0.2884535312016228	0.10587732877809214	-0.1027918646239257	-0.05800459082901831	0.15964874819836652	-0.10121176533390273	0.07826295841563018	-0.2955159344472322	0.2854054342603961	0.08870976351892382	-0.10953931564618588	0.08627021833128704	0.03519457641595046	0.016430897346927882	0.20350717984305772	0.09269737895692094	0.00867986974857204	0.012245769497677894	-0.1835424117866866	0.1995088880585064	0.04895104895104895	0.08244274809160305	0.2027865264506486	0.21310521539529173	0.0469065285859179	-0.03107350664602573	-0.004024982650936849	-0.054823039555863984	0.174221961244862	-0.008183419633801313	0.1785512197725938
