	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.07932906571590632	-0.03508629770683089	-0.030224455068470952	-0.10720363017583664	-0.2966534316505956	-0.20427842152175674	-0.16797666315533588	0.21789158090916458	-0.02179726116198039	0.05080625557086136	0.26553763876509195	-0.1106069200226886	0.1128757799205899	0.12146503524835912	0.0064014261405072525	0.047078842881452074	0.07722226723928369	-0.24868325095211086	-0.047889149987845395	-0.00105339923831132	0.11903411392917916	-0.09375253220970747	0.43699862247791915	0.2762336925694838	-0.1028279718013127	-0.0005672149744753262	0.1101207357588526	-0.08694595251600357	0.02601085811522567	0.03832752613240418	-0.15241876671258406	-0.21675715096021392	-0.1619803905680253	-0.019528401264079086	-0.19001701644923427	-0.003970504821327283	-0.19844421035572482	0.20784377278988736	0.05226480836236934	0.08483915403938093	-0.2063852199983794	-0.13426788752937363	-0.15112227534235476	0.008346163195851228	-0.40928611943926746	-0.17316262863625315	-0.18774815655133295	0.23409772303703102	0.0052669961915566	0.060692002268859895	0.15322907381897738	-0.14075034438052023	-0.15987359209140264	0.20379223725792076	-0.24819706668827485	-0.09926262053318208	-0.09326634794587149	-0.08889068957134755	0.013694190098047159	-0.04578235151122275	0.030710639332306944	0.3619641844258974	-0.15193258244874808	0.21157118547929665	-0.2528968479053561	0.1655457418361559	-0.3089700996677741	0.11692731545255652	-0.0021878291872619725	0.13216108905275098	-0.05939551089863058	-0.13524025605704562	0.09666963779272345	-0.21432622964103396	0.19001701644923427	-0.20233368446641278	0.08111174134997164	-0.2287496961348351	-0.3212867676849526	-0.16019771493395998	0.1490154768657321	0.2781784296248278	0.3135078194635767	-0.13605056316343894	-0.27347864840774655	0.1935823677173649	-0.02390405963860303
AgaR	-0.07932906571590632	1.0	0.05145450125597602	0.4214407260351673	0.48999270723604244	-0.13459201037193097	0.23037031034762176	0.10120735758852605	-0.19536504335143018	-0.23507009156470302	0.1344299489506523	-0.3789806336601572	0.5556275828539017	-0.2836885179483024	0.10088323474596872	0.448667044809983	0.23588039867109634	-0.07706020581800502	0.19406855198120088	-0.06036787942630257	-0.34413742808524433	-0.2694271128757799	0.06879507333279312	0.09926262053318208	0.13378170326553765	0.25062798800745484	-0.18256219107041569	0.0057531804553925935	-0.05404748399643465	0.027145288064176324	0.2634308402884693	-0.014342435783161819	0.10963455149501661	0.27153391135240257	0.17899683980228506	-0.1595494692488453	-0.07495340734138238	-0.4169030062393647	0.06976744186046512	0.2580828133862734	-0.2681306215055506	-0.23814925856899766	0.5642168381816709	0.35953326310671746	0.4055587067498582	0.4100964265456608	0.15468762661048538	-0.018069848472571103	0.28660562353131835	0.014180374361883154	-0.15339113524025605	0.02876590227696297	-0.11579288550360586	-0.11174134997163924	-0.23037031034762176	0.05566809820922129	-0.2452799611052589	0.475245117899684	0.4021554169030062	-0.2546795235394214	0.11449639413337655	-0.027469410906733653	-0.1705696458957945	0.3817356778218945	-0.05583015963049996	0.20249574588769143	-0.26796856008427195	-0.03946195608135483	-0.012721821570375172	0.1610080220403533	-0.3122113280933474	-0.22761526618588446	0.263592901709748	-0.3102665910380034	0.33554817275747506	-0.03460011344299489	0.5185155173810875	-0.03362774491532291	0.0757637144477757	0.033951867757880234	0.15565999513815737	0.0054290576128352645	-0.5504416173729844	-0.026821165221618995	0.0025119520298193016	0.32371768900413256	0.2588931204926667	0.27056154282473055
AmtR	-0.03508629770683089	0.05145450125597602	1.0	0.029738270804634957	0.09132161089052751	0.07543959160521838	-0.025038489587553683	-0.10558301596304999	0.07965318855846366	-0.158252977878616	0.19909245604083947	-0.006563487561785917	0.1788347783810064	-0.11255165707803258	0.050320071307025364	0.19520298193015154	-0.12308564946114578	0.1725143829511385	0.24009399562434164	0.27039948140345194	-0.3749290981281906	-0.10169354185236204	-0.16862490884045053	0.20703346568349404	-0.05566809820922129	0.4207924803500527	0.1926099991896929	-0.048699457094238716	0.009966777408637873	-0.18466898954703834	-0.2788266753099425	-0.10623126164816465	0.21724333522404993	0.09829025200551009	0.31999027631472327	-0.09666963779272345	-0.1935823677173649	0.06976744186046512	-0.03784134186856819	-0.008184101774572563	0.024066121059881696	-0.210922939794182	0.2961672473867596	0.014180374361883154	0.09391459363098614	0.11076898144396727	0.08013937282229965	0.09926262053318208	0.018393971315128432	-0.23409772303703102	0.2274532047646058	0.037355157604732195	0.2997325986548902	-0.03589660481322421	-0.08937687383518353	0.02276962968965238	-0.0652297220646625	0.14804310833806011	0.2063852199983794	-0.11822380682278584	0.10088323474596872	0.13426788752937363	0.20654728141965806	0.1861275423385463	0.10704156875455798	-0.1073656915971153	0.10817599870350864	-0.23814925856899766	-0.038165464711125516	-0.19747184182805283	-0.26067579612673203	-0.05420954541771331	-0.13912973016773358	-0.237014828620047	8.103071063933231e-05	0.1738108743213678	0.1133619641844259	-0.1033141560651487	0.20897820273883802	-0.04643059719633741	0.21902601085811524	0.009642654566080544	-0.02925208654079896	-0.029738270804634957	-0.28838829916538367	0.09213191799692083	-0.04335143019204278	0.312859573778462
AraR	-0.030224455068470952	0.4214407260351673	0.029738270804634957	1.0	0.4616319585122762	0.010452961672473868	0.2242119763390325	-0.32420387326796857	-0.18466898954703834	-0.05534397536666397	0.19147556924074224	-0.47621748642735595	0.4572563001377522	-0.44574993922696704	-0.24592820679037355	0.22080868649218052	0.48286200469978124	-0.08208410987764363	0.04805121140912406	0.07284660886475974	-0.2520865407989628	-0.25921724333522406	-0.17316262863625315	-0.17137995300218783	-0.05129243983469735	0.15063609107851875	-0.1888825865002836	-0.055019852524106634	0.2558139534883721	-0.10590713880560733	0.3793047565027145	-0.05485779110282797	-0.008994408880965886	0.3958350214731383	0.4032898468519569	-0.039786078923912165	-0.2255084677092618	-0.09083542662669152	-0.12016854387812981	0.18418280528320233	-0.1339437646868163	0.14836723118061745	0.1999027631472328	0.5070091564703022	0.38805607325176245	0.4089619965967102	0.4151203306052994	-0.20055100883234747	0.3619641844258974	-0.016935418523620453	-0.23442184587958836	-0.10606920022688598	0.028603840855684303	0.08970099667774087	-0.05080625557086136	-0.09456283931610081	-0.0021878291872619725	0.522567052913054	0.40361396969451424	-0.3104286524592821	0.016611295681063124	-0.20249574588769143	0.04173081597925614	0.49923020824892633	0.027631472328012316	0.43278502552467385	-0.3227453204764606	0.20784377278988736	0.2044404829430354	0.13378170326553765	-0.2031439915728061	-0.12454420225265375	0.3543472976258002	-0.026821165221618995	0.25970342759906007	0.08759419820111822	0.391621424519893	0.1755935499554331	0.1439915728060935	-0.1509602139210761	0.2136779839559193	-0.2656997001863706	-0.31383194230613404	0.2538692164330281	-0.13037841341868567	0.2580828133862734	0.2392836885179483	0.48107932906571593
ArgR	-0.10720363017583664	0.48999270723604244	0.09132161089052751	0.4616319585122762	1.0	-0.5073332793128595	0.30880803824649544	-0.20006482456851146	-0.15873916214245198	-0.29146746616967834	0.1499878453934041	-0.38643545903897575	0.6311482051697593	-0.4856170488615185	-0.05420954541771331	0.6230451341058261	0.2969775544931529	-0.19050320071307025	0.05728871242200794	-0.24738675958188153	-0.3697431326472733	-0.49177538287010775	-0.041406693136698806	-0.07446722307754639	-0.2196742565432299	0.14107446722307754	-0.1509602139210761	-0.008022040353293899	0.07965318855846366	0.06215055506036788	0.5930637711692731	0.1439915728060935	0.060043756583745236	0.2146503524835913	0.44202252653755775	0.1948788590875942	-0.288226237744105	-0.19196175350457823	0.040596386030305485	0.14431569564865085	-0.1444777570699295	-0.20298193015152743	0.5083056478405316	0.5348837209302325	0.62985171379953	0.43051616562677253	0.5896604813224212	-0.03946195608135483	0.45077384328660564	0.28304027226318773	-0.11238959565675391	-0.03670691191961754	-0.024552305323717688	0.1023417875374767	-0.3104286524592821	-0.10914836723118061	-0.3122113280933474	0.4971234097723037	0.7173648812900089	-0.5416903006239365	0.03719309618345353	0.1710558301596305	-0.23118061745401508	0.418199497609594	-0.10979661291629528	0.47816222348269993	-0.011749453042703185	0.0313588850174216	0.04027226318774816	0.20508872862815006	-0.367474272749372	0.053561299732598655	0.5441212219431164	-0.345758042298031	0.5907949112713718	0.15971153067012397	0.6930556680982092	-0.1371849931123896	0.23085649461145774	-0.1793209626448424	0.3972935742646463	-0.18385868244064502	-0.3470545336682603	0.3648812900089134	-0.12373389514626043	0.5094400777894822	0.37460497528563325	0.5818815331010453
BioQ	-0.2966534316505956	-0.13459201037193097	0.07543959160521838	0.010452961672473868	-0.5073332793128595	1.0	-0.04999594846446803	0.2588931204926667	0.14156065148691355	0.4444534478567377	0.131674904788915	0.044485860140993434	-0.31010452961672474	0.14933959970828944	-0.059233449477351915	-0.32971396159144317	0.0318450692812576	0.06944331901790779	0.03605866623450288	0.03719309618345353	0.2755854468843692	0.5010128838829917	-0.16181832914674663	-0.393566161575237	0.1234097723037031	0.047889149987845395	0.22680495907949114	-0.020176646949193744	0.19698565756421685	-0.057774896685843936	-0.39113524025605706	0.07560165302649705	0.15809091645733733	-0.0013775220808686492	-0.19568916619398752	0.048699457094238716	0.24949355805850418	0.286767684952597	-0.20119925451746212	0.11919617535045782	0.18791021797261162	0.12956810631229235	-0.2773681225184345	-0.18677578802366096	-0.15355319666153472	0.06215055506036788	-0.12859573778462038	-0.09618345352888745	-0.37573940523458393	-0.09861437484806741	-0.08354266266915161	0.10039705048213272	0.1517705210274694	0.00316019771493396	0.08013937282229965	0.22469816060286849	0.37087756259622395	-0.1354023174783243	-0.39664532857953166	0.1715420144234665	0.07203630175836642	-0.15014990681468277	0.1760797342192691	-0.11417227129081922	0.06636415201361316	0.003970504821327283	-0.0017016449234259785	0.23409772303703102	-0.050158009885746695	-0.17219026010858116	0.343813305242687	-0.0008913378170326554	-0.2762336925694838	0.26456527023742	-0.27120978850984523	-0.14788104691678147	-0.34899927072360426	0.27607163114820515	-0.10866218296734462	0.5329389838748886	0.03508629770683089	0.13783323879750425	0.07511546876266105	-0.35078194635766957	0.13734705453366827	-0.3112389595656754	-0.34851308645976825	-0.4045863382221862
BirA	-0.20427842152175674	0.23037031034762176	-0.025038489587553683	0.2242119763390325	0.30880803824649544	-0.04999594846446803	1.0	-0.1005591119034114	-0.024066121059881696	-0.2347459687221457	-0.046268535775058746	-0.2874159306377117	0.5074953407341383	-0.4908030143424358	-0.10931042865245928	0.291143343327121	-0.050320071307025364	-0.2961672473867596	0.19406855198120088	0.06766064338384248	-0.11498257839721254	-0.16360100478081194	-0.08338060124787294	-0.20055100883234747	-0.10072117332469006	-0.20703346568349404	-0.011101207357588527	0.05858520379223726	0.06474353780082652	0.02309375253220971	0.21724333522404993	0.13361964184425898	0.08808038246495421	0.20508872862815006	0.40977230370310347	0.26553763876509195	0.04918564135807471	-0.1412365286443562	0.10671744591200065	0.08662182967344624	-0.13524025605704562	0.03443805202171623	0.3345758042298031	0.48124139048699455	0.08370472409043027	0.2447937768414229	0.39810388137103964	-0.2054128514707074	0.25678632201604407	0.1755935499554331	-0.12908192204845637	-0.12405801798881776	0.08759419820111822	0.08467709261810226	0.03897577181751884	0.079004942873349	0.20508872862815006	0.3642330443237987	0.36131593874078277	0.01158739162142452	0.041244631715420144	-0.02925208654079896	-0.1747832428490398	0.29389838748885827	-0.23539421440726035	0.3276071631148205	-0.132647273316587	0.2998946600761689	0.05080625557086136	-0.04562029008994409	-0.1467466169678308	-0.20995057126651	0.3036220727655782	0.04075844745158415	0.17526942711287577	0.03589660481322421	0.5061988493639089	0.18353455959808768	0.21886394943683657	-0.08289441698403695	0.22583259055181915	-0.15290495097642007	-0.21789158090916458	0.08824244388623288	0.026334980957783	0.28158171947167976	0.2071955271047727	0.3459201037193096
CadR-PbrR	-0.16797666315533588	0.10120735758852605	-0.10558301596304999	-0.32420387326796857	-0.20006482456851146	0.2588931204926667	-0.1005591119034114	1.0	0.004456689085163277	0.016773357102341787	0.04367555303460011	0.23490803014342435	-0.15306701239769874	0.09602139210760878	0.17219026010858116	-0.015963049995948466	-0.0057531804553925935	0.017421602787456445	0.012559760149096507	-0.3300380844340005	0.3511060692002269	0.27347864840774655	0.10136941900980471	-0.11660319260999918	0.05339923831131999	0.03233125354509359	0.1971477189854955	0.05550603678794263	-0.0968316992140021	0.03119682359614294	-0.184344866704481	0.07414310023498906	0.09650757637144478	-0.17348675147881046	-0.45579774734624423	-0.008670286038408557	0.37881857223887855	-0.10898630580990196	0.001863706344704643	0.027631472328012316	0.1073656915971153	-0.10687950733327932	-0.06636415201361316	-0.12033060529940848	-0.15938740782756664	-0.053561299732598655	-0.06879507333279312	0.27299246414391054	-0.20930232558139536	0.16797666315533588	-0.019204278421521757	0.19131350781946357	-0.15484968803176405	0.05874726521351592	-0.0028360748723766306	0.4047483996434649	0.09391459363098614	-0.1971477189854955	-0.18288631391297303	0.10525889312049266	0.28336439510574507	0.05647840531561462	-0.11141722712908192	-0.15468762661048538	-0.050158009885746695	-0.013208005834211166	0.12227534235475244	0.17137995300218783	0.022445506847095047	0.021311076898144397	0.26748237582043594	0.05048213272830403	-0.0822461712989223	-0.07025362612430111	0.19309618345352889	-0.021959322583259056	-0.016287172838505795	0.09359047078842882	-0.12908192204845637	0.5292115711854793	-0.08548739972449558	0.18240012964913702	-0.0028360748723766306	-0.2955190017016449	0.20379223725792076	-0.060854063690138564	-0.24025605704562028	-0.19698565756421685
CblR	0.21789158090916458	-0.19536504335143018	0.07965318855846366	-0.18466898954703834	-0.15873916214245198	0.14156065148691355	-0.024066121059881696	0.004456689085163277	1.0	-0.06701239769872781	0.00737379466817924	0.28109553520784375	-0.2998946600761689	0.1394538530102909	0.09764200632039544	-0.16246657483186128	-0.012721821570375172	0.14366744996353617	-0.027955595170569645	0.12632687788671906	0.16279069767441862	0.11968235961429381	-0.046268535775058746	0.026497042379061666	0.22064662507090188	-0.0057531804553925935	-0.0036463819787699537	0.08662182967344624	0.17899683980228506	-0.02276962968965238	-0.23215298598168707	-0.1298922291548497	-0.10606920022688598	0.04416173729843611	0.023417875374767038	0.15906328498500932	-0.024552305323717688	0.26456527023742	-0.1459363098614375	-0.00737379466817924	0.2791507981524998	-0.14690867838910948	0.02568673527266834	-0.04270318450692812	0.04254112308564946	-0.24187667125840695	-0.15436350376792804	0.16392512762336925	-0.3089700996677741	-0.13183696621019367	0.3363584798638684	0.04853739567296005	0.2169192123814926	-0.1354023174783243	0.38011506360910785	0.12146503524835912	-0.005104934770277935	-0.2438214083137509	-0.11222753423547524	0.09407665505226481	-0.0717121789158091	-0.010777084515031198	0.23960781136050563	-0.12827161494206304	0.2559760149096508	-0.08078761850741431	0.17445912000648245	-8.103071063933231e-05	-0.036382789077060204	0.09488696215865813	0.13216108905275098	-0.026497042379061666	-0.17526942711287577	0.2836885179483024	-0.17121789158090917	0.03994814034519083	-0.15663236366582936	0.16522161899359858	-0.17186613726602382	0.17316262863625315	-0.02665910380034033	0.33603435702131107	0.2678064986629933	-0.0418928774005348	-0.04254112308564946	-0.24041811846689895	-0.028603840855684303	-0.1138481484482619
CcpA	-0.02179726116198039	-0.23507009156470302	-0.158252977878616	-0.05534397536666397	-0.29146746616967834	0.4444534478567377	-0.2347459687221457	0.016773357102341787	-0.06701239769872781	1.0	0.24414553115630824	0.0028360748723766306	-0.39745563568592496	0.2590551819139454	-0.11627906976744186	-0.23831131999027633	0.02147313831942306	-0.22437403776031115	-0.07138805607325176	-0.15971153067012397	0.3742808524430759	0.4604975285633255	-0.3481889636172109	-0.26618588445020663	0.09472490073737946	-0.025200551008832346	0.12454420225265375	-0.0368689733408962	-0.10039705048213272	0.25127623369256946	-0.05177862409853334	0.16749047889149987	0.2572725062798801	0.04027226318774816	-0.23863544283283364	0.07252248602220242	0.37768414228992786	0.4207924803500527	0.08889068957134755	0.003970504821327283	0.19309618345352889	0.014180374361883154	-0.3771979580260919	-0.2794749209950571	-0.17915890122356373	-0.06587796774977717	-0.24576614536909488	-0.14269508143586418	-0.20849201847500204	0.06279880074548254	-0.27898873673122115	0.13459201037193097	0.00737379466817924	0.2841747022121384	0.1958512276152662	0.015152742889555142	0.3245279961105259	-0.07965318855846366	-0.2511141722712908	0.006239364719228588	-0.008184101774572563	0.25824487480755204	0.2452799611052589	-0.11401020986954055	0.2136779839559193	-0.07300867028603841	0.18742403370877564	0.2217810550198525	0.09537314642249413	-0.1294060448910137	0.38335629203468113	0.2632687788671907	-0.06928125759662912	0.28206790373551577	-0.10509683169921401	-0.14253302001458554	-0.3562920346811442	0.26975123571833726	0.12454420225265375	0.1404262215379629	-0.05323717689004132	-0.00316019771493396	0.23944574993922696	-0.14577424844015882	-0.1000729276395754	-0.10639332306944332	-0.1261648164654404	-0.31464224941252733
