	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.22226335272342676	0.02829190904283448	-0.3920676890534109	-0.25848757271285033	0.14526705446853516	-0.14685351665785298	-0.10031729243786357	0.0064516129032258064	-0.07324167107350608	-0.05896351136964569	0.10936012691697515	-0.0597567424643046	-0.06197778952934955	-0.2332099418297197	-0.47905869910100474	-0.0390269698572184	-0.08445267054468535	0.14426229508196722	0.24806980433633	-0.3474881015335801	0.12310946589106293	0.27223691168693814	-0.20756213643574828	-0.004019037546271814	-0.4263352723426758	-0.024907456372289794	-0.15928080380750925	-0.11443680592279218	0.16885245901639345	-0.19936541512427286	0.34621893178212587	0.12480169222633528	-0.401427815970386	-0.44410364886303544	-0.4118455843469064	-0.20132205182443152	0.05838180856689582	-0.23008989952406134	0.06901110523532522	-0.10803807509254362	0.21760973030142783	-0.4600211528291909	-0.13654151242728715	-0.05552617662612375	-0.0873611845584347	-0.49011105235325225	-0.04431517715494447	-0.07387625594923321	0.10163934426229508	-0.0343204653622422	0.028397673188789	-0.3016393442622951	0.1598625066102591	0.03262823902696986	0.11126388154415653	0.020306716023268112	-0.2973030142781597	-0.3379693283976732	-0.0011634056054997356	-0.13749338974087785	-0.2693283976731888	-0.2091485986250661	-0.2421470121628768	-0.03183500793231095	-0.3008989952406134	0.07292437863564252	0.05658381808566896	0.13759915388683236	-0.1701216287678477	0.16017979904812268	0.04415653093601269	-0.16525647805393973	0.06906398730830249	0.03246959280803807	0.10920148069804336	-0.37043892120571126	0.047593865679534636	0.03823373876255949	-0.10486515071390798	-0.2983606557377049	0.07842411422527763	0.2088841882601798	-0.047805393971443684	0.06234796404019038	-0.12242199894235854	-0.0325753569539926	-0.2602855631940772
AgaR	-0.22226335272342676	1.0	0.051983077736647273	0.08995240613432047	-0.022950819672131147	0.01861448968799577	0.048704389212057116	0.03934426229508197	0.09360126916975145	-0.14219989423585405	-0.0612374405076679	-0.07620306716023269	0.16160761501850873	-0.00021152829190904283	-0.047964040190375465	-0.10639873083024855	0.3532522474881015	-0.031041776837652035	-0.15457429931253305	0.006398730830248546	-0.072818614489688	0.16948704389212058	-0.11496562665256478	0.13881544156530937	0.0831835007932311	0.03241671073506081	-0.12210470650449498	0.12644103648863037	-0.09132734003172924	0.16948704389212058	0.042041248016922265	0.11475409836065574	0.12834479111581173	0.2700158646218932	0.00026441036488630354	-0.0905869910100476	0.02749867794817557	0.07176097303014278	-0.013590692755156002	0.021205711263881544	0.12009518773135906	0.15885774722369117	-0.006821787414066632	-0.060761501850872555	0.1476467477525119	0.002749867794817557	0.1277102062400846	0.17054468535166578	0.38582760444209413	-0.11110523532522475	0.1239555790586991	0.09857218402961396	0.13987308302485457	-0.07562136435748282	0.2165520888418826	0.311158117398202	0.12120571126388155	-0.0028556319407720783	0.11713379164463247	-0.002538339502908514	0.15430988894764675	0.058011634056055	0.1368588048651507	0.2281332628239027	0.27017451084082494	0.02453728186144897	-0.16980433632998412	0.21152829190904285	-0.10930724484399788	0.2539397144368059	0.03807509254362771	-0.13506081438392384	0.12099418297197251	-0.3300370174510841	-0.16641988365943944	-0.0031729243786356425	0.053305129561078794	-0.06467477525118985	-0.007562136435748282	-0.021946060285563194	0.17530407191961925	0.026388154415653092	-0.1249074563722898	0.11835007932310947	0.040560549973558964	0.24219989423585406	-0.05124272871496563	-0.006345848757271285
AmtR	0.02829190904283448	0.051983077736647273	1.0	-0.03685880486515072	-0.06694870438921206	-0.2773664727657324	-0.0024325753569539926	0.09740877842411423	0.1387625594923321	-0.1236911686938128	0.053252247488101534	0.11570597567424643	-0.1535695399259651	0.030460074034902168	0.2309360126916975	0.059280803807509254	0.06298254891591751	-0.060338445267054466	0.02845055526176626	-0.24246430460074034	0.033368588048651504	-0.046536224219989424	-0.2953992596509783	0.0014278159703860391	0.02157588577472237	-0.09820200951877314	-0.12929666842940243	-0.04627181385510312	-0.04537281861448969	0.040983606557377046	-0.21718667371760972	-0.1227392913802221	0.06800634584875727	0.16832363828662084	0.18096245372818615	-0.07948175568482284	0.06599682707562136	-0.26530936012691697	0.09280803807509254	0.01850872554204125	0.048704389212057116	-0.11718667371760973	0.1557377049180328	0.06308831306187203	-0.08408249603384453	0.281544156530936	0.05055526176626124	-0.16525647805393973	-0.09899524061343205	0.04928609201480698	-0.11618191433104177	-0.0069804336329984135	-0.08011634056054998	0.1493918561607615	0.24584875727128502	-0.030936012691697514	-0.04955050237969329	0.14463246959280804	0.00021152829190904283	0.07017451084082496	0.24420941300898996	0.09783183500793231	0.07905869910100476	0.060074034902168165	0.05161290322580645	-0.013273400317292438	-0.2002644103648863	-0.27488101533580117	-0.08069804336329985	-0.1689053410893707	-0.12601797990481226	0.13791644632469593	0.113590692755156	0.0686409307244844	-0.023691168693812797	-0.03860391327340032	0.1232681121099947	-0.09603384452670545	0.04997355896351137	0.22628239026969857	-0.12390269698572184	0.009836065573770493	0.013167636171337916	0.07884717080909572	0.0038603913273400317	0.02236911686938128	-0.11179270227392914	-0.05811739820200952
AraR	-0.3920676890534109	0.08995240613432047	-0.03685880486515072	1.0	0.31655208884188263	-0.11179270227392914	0.24526705446853517	-0.022950819672131147	-0.07165520888418826	-0.08598625066102591	-0.020306716023268112	-0.10285563194077207	0.12956107879428874	-0.1328397673188789	0.03707033315705976	0.29201480698043364	-0.1314648334214701	0.13839238498149128	-0.3552088841882602	-0.14124801692226335	0.05616076150185087	-0.23987308302485458	-0.20698043363299842	-0.09455314648334215	-0.040719196192490745	0.3379693283976732	-0.09143310417768377	0.22596509783183502	-0.04701216287678477	-0.19116869381279747	0.327181385510312	-0.25658381808566894	-0.07197250132205182	0.348281332628239	0.32919090428344794	0.35267054468535164	0.16700158646218932	-0.28260179799048124	0.1663670015864622	-0.21623479640401905	0.05838180856689582	-0.258011634056055	0.206081438392385	0.26980433632998413	-0.20237969328397673	0.028609201480698045	0.3460074034902168	0.047805393971443684	0.13024854574299313	0.181544156530936	-0.0647276573241671	0.1835536753040719	0.36160761501850874	0.0059756742464304605	-0.06626123744050767	-0.040983606557377046	-0.08672659968270756	0.1984135378106822	0.20301427815970385	0.1341618191433104	-0.16266525647805394	0.12855631940772078	0.1682178741406663	0.25346377578001056	-0.03199365415124273	0.1088841882601798	0.21094658910629296	-0.11173982020095188	0.025806451612903226	0.2566367001586462	-0.23722897937599155	-0.07704918032786885	0.054045478582760445	0.10370174510840825	0.0520888418826018	-0.22681121099947119	0.39153886832363827	-0.13024854574299313	0.31750396615547327	0.10285563194077207	0.26557377049180325	-0.22829190904283447	-0.13802221047065044	0.14849286092014807	0.0755156002115283	0.02464304600740349	0.1329984135378107	0.1571655208884188
ArgR	-0.25848757271285033	-0.022950819672131147	-0.06694870438921206	0.31655208884188263	1.0	-0.39349550502379693	0.4634056054997356	-0.052617662612374404	-0.040930724484399786	0.06800634584875727	-0.19164463246959282	-0.13204653622422	0.4500793231094659	-0.13157059756742465	0.1384981491274458	0.4808038075092544	-0.025013220518244315	-0.21782125859333687	-0.30274986779481755	-0.3897408778424114	0.026811210999471178	-0.4292437863564252	-0.15129561078794287	-0.08376520359598097	-0.09476467477525119	0.3943416181914331	-0.007509254362771021	0.5355367530407192	0.12030671602326812	-0.15822316234796405	0.19079851930195663	-0.31025912215758855	0.17895293495505024	0.4436277102062401	0.42644103648863035	0.27260708619777896	0.39386567953463775	-0.1843997884717081	0.13225806451612904	-0.23833950290851402	0.017239555790586992	-0.1674246430460074	0.3707562136435748	0.6236382866208355	0.07498677948175568	0.20132205182443152	0.49698572184029616	0.07244843997884717	-0.19576943416181913	0.13384452670544686	0.03807509254362771	0.0846641988365944	0.14674775251189848	-0.3435219460602856	-0.1118455843469064	-0.0224748810153358	0.0	0.4994711792702274	0.5700687466948704	0.12686409307244845	-0.004177683765203596	0.15790586991010047	0.2434690639873083	0.32765732416710736	-0.03881544156530936	0.49645690111052354	0.29280803807509254	0.07895293495505024	-0.18683236382866208	0.20089899524061344	-0.11385510312004231	0.12950819672131147	0.33844526705446853	0.22035959809624536	0.34960338445267053	0.026388154415653092	0.6423585404547858	-0.020306716023268112	0.31179270227392913	0.085193019566367	0.32882072977260707	0.05251189846641988	-0.03363299841353781	0.3282919090428345	0.040507667900581704	0.04463246959280804	0.02258064516129032	0.5890005288207297
BioQ	0.14526705446853516	0.01861448968799577	-0.2773664727657324	-0.11179270227392914	-0.39349550502379693	1.0	-0.3112638815441565	-0.06790058170280275	-0.12633527234267583	-0.1110523532522475	0.17276573241671073	0.1787414066631412	-0.30502379693283976	0.1741406663141195	-0.09413008989952407	-0.42755156002115285	0.013379164463246959	0.23072448439978846	0.10512956107879429	0.23305129561078794	0.0822316234796404	0.3662083553675304	0.04849286092014807	-0.010735060814383924	0.21496562665256477	-0.3356425171866737	0.13056583818085668	-0.4618191433104178	-0.19243786356425172	0.29180327868852457	-0.07398202009518773	-0.05314648334214701	-0.03246959280803807	-0.3295081967213115	-0.21163405605499735	-0.1427815970386039	-0.22564780539397145	0.3037546271813855	-0.36398730830248543	0.05081967213114754	0.018085668958223163	0.03231094658910629	-0.3071390798519302	-0.4588048651507139	0.0028556319407720783	-0.27588577472236914	-0.4466948704389212	0.15335801163405605	0.00745637228979376	0.12009518773135906	-0.06948704389212057	0.1324167107350608	-0.04775251189846642	0.2034902168164992	0.09471179270227392	0.12035959809624537	-0.271602326811211	-0.4654680063458488	-0.4236382866208355	0.012057112638815442	0.09122157588577472	-0.36520359598096247	0.027181385510312003	-0.11840296139608672	-0.01845584346906399	-0.3659439450026441	-0.4129032258064516	0.06166049709148599	0.09481755684822846	-0.08514013749338974	0.27815970386039135	-0.1768376520359598	-0.23209941829719724	0.09069275515600211	-0.17498677948175567	0.036118455843469066	-0.38244315177154947	0.0775251189846642	-0.1733474352194606	-0.005658381808566896	-0.3006874669487044	-0.29085140137493387	0.10137493389740877	-0.05732416710735061	0.030936012691697514	-0.09153886832363829	0.24161819143310417	-0.46938127974616606
BirA	-0.14685351665785298	0.048704389212057116	-0.0024325753569539926	0.24526705446853517	0.4634056054997356	-0.3112638815441565	1.0	0.1355367530407192	0.033844526705446853	-0.013960867265996827	-0.054785827604442096	-0.09391856160761503	0.43775780010576415	-0.2644632469592808	0.022633527234267585	0.39280803807509257	0.053516657852987835	-0.3833950290851401	-0.16504494976203068	-0.44928609201480696	0.027445795875198308	-0.30851401374933896	-0.2712321523003702	-0.07985193019566367	0.0007932310946589106	0.33923849814912743	-0.2293495505023797	0.20571126388154415	0.16583818085668958	0.0654151242728715	0.40867265996827074	-0.00978318350079323	0.20423056583818086	0.5519830777366472	0.43294553146483344	0.2437334743521946	0.24759386567953465	-0.21337916446324695	0.3720782654680063	-0.028820729772607086	-0.04362771020624009	-0.22845055526176627	0.3225806451612903	0.5809624537281861	0.18402961396086726	0.3298783712321523	0.607297726070862	0.0787414066631412	0.15193019566367003	0.2616076150185087	0.16007403490216818	0.09402432575356955	0.11845584346906399	-0.18159703860391327	0.021205711263881544	0.13257535695399258	0.27191961924907454	0.6347964040190376	0.5935483870967742	0.08461131676361713	-0.16292966684294025	0.11998942358540454	0.09672131147540984	0.5337916446324696	-0.08085668958223162	0.43569539925965095	0.3479111581173982	-0.05589635113696457	-0.058646218931782124	0.37794817556848226	-0.1236911686938128	0.029613960867265997	0.3488630354309889	0.16589106292966685	0.2763617133791645	0.025594923320994185	0.4815970386039133	0.09862506610259122	0.17488101533580117	0.10851401374933897	0.4449497620306716	0.2141195134849286	-0.04965626652564781	0.518667371760973	0.12268640930724485	0.13289264939185616	-0.00026441036488630354	0.48767847699629824
CadR-PbrR	-0.10031729243786357	0.03934426229508197	0.09740877842411423	-0.022950819672131147	-0.052617662612374404	-0.06790058170280275	0.1355367530407192	1.0	0.06197778952934955	0.20153358011634057	0.035536753040719196	-0.006187202538339503	-0.021840296139608674	0.08831306187202538	0.23225806451612904	0.2511369645690111	-0.1251718667371761	-0.06953992596509784	0.005764145954521418	-0.26980433632998413	0.16192490745637228	0.03712321523003702	-0.07022739291380223	0.0032258064516129032	0.10666314119513486	0.15230037017451084	-0.06753040719196192	-0.08112109994711793	0.27186673717609733	0.14108937070333158	-0.060708619777895295	-0.052723426758328924	0.07530407191961926	-0.06287678476996299	0.07387625594923321	0.36969857218402963	-0.04182971972501322	0.04352194606028556	-0.041935483870967745	0.2983606557377049	-0.009307244843997885	0.07144368059227922	0.19227921734531994	0.10840824960338445	0.21364357482813326	-0.019037546271813855	0.1738762559492332	-0.2725013220518244	0.14743521946060287	0.03141195134849286	0.27398202009518774	0.04833421470121629	-0.005869910100475939	-0.12892649391856162	-0.15134849286092014	0.02173453199365415	0.19719725013220518	0.1945002644103649	0.029561078794288737	-0.02834479111581174	0.14420941300898996	0.034584875727128504	0.31285034373347437	0.1484399788471708	0.0417239555790587	-0.023320994182971972	0.09212057112638815	-0.04558434690639873	-0.010840824960338445	0.08561607615018509	0.00893707033315706	0.13220518244315177	0.24394500264410365	-0.06160761501850873	0.07149656266525647	0.17345319936541512	0.034056054997355895	0.23030142781597038	-0.009836065573770493	-0.1094130089899524	0.08556319407720783	0.09984135378106822	-0.007086197778952935	-0.09196192490745637	0.05917503966155473	0.17250132205182442	0.030724484399788473	0.03225806451612903
CblR	0.0064516129032258064	0.09360126916975145	0.1387625594923321	-0.07165520888418826	-0.040930724484399786	-0.12633527234267583	0.033844526705446853	0.06197778952934955	1.0	0.020465362242199893	-0.00824960338445267	-0.275039661554733	0.14246430460074036	-0.08773135906927551	-0.06932839767318878	0.01946060285563194	0.0007403490216816499	0.05605499735589635	-0.0506081438392385	-0.029455314648334216	-0.1985193019566367	-0.05663670015864622	-0.08508725542041248	0.16076150185087257	0.12427287149656266	-0.02913802221047065	-0.09529349550502379	-0.060126916975145425	0.10486515071390798	0.012057112638815442	-0.1370174510840825	0.12633527234267583	0.05785298783712321	0.09301956636700158	-0.14780539397144368	-0.2621893178212586	0.03707033315705976	-0.07583289264939186	0.00814383923849815	0.1261237440507668	0.12252776308831306	0.21665785298783713	0.1488630354309889	-0.01126388154415653	0.17424643046007404	0.15425700687466948	-0.1249074563722898	-0.046060285563194074	0.2170809095716552	-0.06583818085668958	0.06869381279746166	0.025013220518244315	0.05557905869910101	-0.046536224219989424	0.07065044949762031	0.22670544685351665	0.1661025912215759	-0.040084611316763614	0.04637757800105764	-0.06425171866737175	0.14405076679005818	0.05610787942887361	-0.03828662083553675	0.08582760444209413	-0.02448439978847171	0.18968799576943415	-0.14822845055526176	-0.10819672131147541	5.288207297726071e-05	0.1266525647805394	0.16049709148598626	0.07519830777366472	-0.08725542041248018	-0.022051824431517715	-0.11385510312004231	-0.04981491274457959	0.13717609730301428	-0.16467477525118984	-0.09402432575356955	-0.06277102062400847	-0.09307244843997885	0.047858276044420944	-0.04373347435219461	0.086409307244844	-0.041353781068217875	0.28244315177154944	0.12035959809624537	-0.052617662612374404
CcpA	-0.07324167107350608	-0.14219989423585405	-0.1236911686938128	-0.08598625066102591	0.06800634584875727	-0.1110523532522475	-0.013960867265996827	0.20153358011634057	0.020465362242199893	1.0	0.06377578001057642	-0.04405076679005817	-0.0195134849286092	-0.09090428344791116	0.11232152300370174	0.2177683765203596	-0.24648334214701217	0.03315705975674246	0.2641988365943945	0.0503437334743522	0.014278159703860392	-0.18053939714436806	0.06382866208355367	-0.12601797990481226	-0.05642517186673718	0.36023268112109996	-0.15415124272871497	0.10111052353252248	0.15446853516657852	-0.07028027498677948	-0.12950819672131147	0.11575885774722369	0.04960338445267055	-0.1574828133262824	0.16203067160232681	0.18894764674775252	0.06319407720782655	0.022633527234267585	-0.023532522474881017	0.12792173453199365	-0.3108937070333157	0.15494447382337387	0.14034902168164992	-0.06991010047593865	0.23315705975674247	-0.030089899524061343	0.1355367530407192	-0.14944473823373877	-0.12644103648863037	-0.11337916446324696	-0.11840296139608672	-0.12575356953992597	0.22416710735060813	-0.10248545742993126	-0.4274986779481756	0.026811210999471178	0.053675304071919616	-0.013960867265996827	0.12950819672131147	-0.05314648334214701	0.07080909571655208	0.14315177154944475	0.0520888418826018	-0.008461131676361713	-0.06430460074034902	0.09783183500793231	0.14685351665785298	-0.14812268640930726	-0.04955050237969329	-0.1047065044949762	-0.023744050766790058	0.26795346377578	-0.13199365415124273	-0.05780010576414595	-0.08445267054468535	-0.13765203595980963	0.07731359069275516	-0.044420941300899	-0.048704389212057116	0.026916975145425702	0.1327340031729244	-0.10333157059756742	0.0765732416710735	-0.10333157059756742	-0.1780539397144368	-0.09132734003172924	0.0370174510840825	0.14230565838180856
