	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.32242559086520295	-0.11095252088493346	-0.4642542294613996	-0.35831829058393855	0.0848620964695017	-0.2333025481717812	-0.17396414928004703	0.16158011838293942	-0.10431971789597413	0.04626170185970362	0.28313253012048195	-0.2606733554426766	-0.00484866294446077	-0.16760421476848159	-0.5203182066244071	-0.03419251920574283	-0.09565089626799883	0.05453171571302632	0.28407707484992234	-0.2092691322782419	0.21963813441920993	0.3293312623315562	-0.14999370303513707	0.013391545275177365	-0.49523529658704507	0.001028504260946224	-0.03750892070022249	-0.1423953654338609	0.2633390705679862	-0.2238571008773771	0.3086772175811259	-0.049242265228160026	-0.4624910792997775	-0.46288988707443013	-0.3144074556063977	0.04579992443642165	0.16147516896855715	-0.2331766088745225	0.01763150161622098	0.05906553041434029	0.20563788254061544	-0.516477058058016	-0.30834137945510265	-0.21655262163637126	-0.19392552789555434	-0.49699844674866717	-0.11697661727047563	-0.08616346920784182	0.2228705763821838	-0.0239494563620335	0.1685907392636749	-0.36092103606061876	0.2777591201041098	0.1670584778136938	-0.0348851853406658	-0.02199739725452332	-0.3930145669787163	-0.4138785105579111	0.13290793837370388	0.007598337601276185	-0.22394106040888292	-0.1517358633138827	-0.4029847613450317	0.01662398723815121	-0.37024054405776413	0.12847907308677217	0.23464590067587424	0.24927584904076236	-0.10035263003232442	0.3079635615633265	0.023970446244909953	-0.24826833466269257	0.14445237395575333	0.013685403635447714	0.037928718357751565	-0.46872507451408424	0.07151253096007724	-0.1294655975819655	-0.27009781285420426	-0.3258469417740649	-0.013433525040930271	0.2791864321397087	0.010264052726585786	0.17100457579446707	-0.2560345913269804	0.11823601024306285	-0.35212627513538475
AgaR	-0.32242559086520295	1.0	0.21951219512195122	0.37028252382351706	0.3283237479534864	-0.05150917257881701	0.2939423198018555	0.13305486755383905	-0.056336845640401326	-0.061164518701985644	-0.04189580622140129	-0.360606187817472	0.4515553503211452	-0.23512866798203266	-0.026531211955837287	0.32691742580076405	0.24507787246547164	-0.07401032702237521	0.04067839301456698	-0.07407329667100458	-0.15032954116116032	-0.03446538768313673	-0.19665421266949332	0.1676461945342345	0.12873095168128962	0.22444481759791782	-0.09401368540363544	0.028609210360606187	0.028903068720876536	0.027748625162671594	0.14946895596322574	-0.001406322152722388	0.1673733260568406	0.3952604844464968	0.28204105621090636	-0.0195205910751018	-0.1271986902313085	-0.13372654380588556	0.15593383988917342	0.04968305276856555	-0.08114688720036942	-0.003484320557491289	0.36325091305990515	0.2919902606943453	0.3756979136056421	0.18051299273750052	0.3544141723689182	0.10373200117543344	0.43879350153226143	-0.21655262163637126	0.05136224339868183	-0.10322824398639856	0.2915074933881869	-0.2891146467402712	0.003064522899962218	0.29247302800050373	0.19417740649007179	0.3416943033457873	0.3697577767516057	-0.19111288359010956	-0.02323580034423408	0.003085512782838672	0.13658116787708324	0.4512824818437513	0.12709374081692623	0.24940178833802107	-0.18196129465597582	-0.061185508584862096	-0.18995844003190462	0.21262751353847445	-0.18714579572645984	-0.06869988665463246	0.2720708618445909	-0.3687712522564124	-0.04059443348306117	0.08429536963183745	0.4090928172620797	-0.1117921161999916	0.21493640065488434	0.08738088241467612	0.2897863229923177	0.15799084841106587	-0.32156500566726837	0.13274001931069224	-0.09220855547626045	0.40216615591285	-0.0986944292850846	0.3119306494269762
AmtR	-0.11095252088493346	0.21951219512195122	1.0	0.27416985013223627	0.19652827337223458	-0.20141891608244825	0.1727047563074598	0.145270979387935	0.00023088871164098903	-0.03188363208933294	0.01282481843751312	-0.1340623819319088	0.19831241341673314	-0.13408337181478527	0.14535493891944082	0.35221023466689055	-0.058519793459552494	0.06129045799924437	0.1482515427563914	-0.1839553335292389	-0.11118340959657445	-0.15098022753033039	-0.4301036900214097	0.1253515805381806	0.007493388186893917	0.1770496620628857	-0.08918601234205113	-0.1412199319927795	-0.030372360522228286	-0.18204525418748163	-0.1185718483690861	-0.1766298644053566	0.13670710717434198	0.2933965828470677	0.36327190294278155	-0.05457369547877923	-0.12465891440325763	-0.34467486671424374	0.12205616892657739	-0.07138659166281852	-0.12232903740397129	-0.18208723395323453	0.425905713446119	0.21756013601444105	0.18055497250325342	0.2804458251122959	0.2961672473867596	-0.049578103354183285	0.0896058099995802	-0.13336971579698587	0.03200957138659166	-0.16537928718357753	0.18878300659082323	-0.12321061248478234	0.0056042987280130975	0.0582469249821586	0.0721212375634944	0.3059485328071869	0.2264388564711809	-0.0922295453591369	0.03641744679064691	0.08658326686537089	0.17793123714369674	0.35796146257503886	0.00868981151085177	0.15524117375425045	-0.11223290374039713	-0.413458712900382	-0.17367029091977668	-0.14562780739683473	-0.3213551068385038	0.20351790437009362	0.1345241593551908	-0.14674027118928676	-0.047647034129549556	0.014965786490911381	0.3764115696234415	-0.1433818899290542	0.2589731749296839	0.3080895008605852	0.11949540321565005	0.18683094748331305	-0.0922295453591369	0.13204735317576927	-0.1948910625078712	0.23057386339784225	-0.22675370471432768	0.25561479366945133
AraR	-0.4642542294613996	0.37028252382351706	0.27416985013223627	1.0	0.5610385794047269	-0.1271147306998027	0.40991142269426134	0.06536249527727635	-0.26107216321732923	0.007724276898534907	-0.08322488560513833	-0.37832164896519876	0.4708870324503589	-0.34224004030057514	0.05383904957810336	0.583581713614038	-0.0638932034759246	0.1860333319340078	-0.14476722219890012	-0.1826539607908988	-0.08775870030645229	-0.34692078418202427	-0.39465177784307964	0.056021997397254525	0.06364132488140717	0.4439150329541161	-0.15320515511523447	0.017589521850468075	0.1327190294278158	-0.3171151504974602	0.40982746316275553	-0.3195919566768817	0.036312497376264644	0.5497670123000714	0.5737584484278577	0.3047101297174762	-0.2141387851055791	-0.3890054993493136	0.25760883254271444	-0.1170815666848579	-0.2189874480500399	-0.20102010830779565	0.5499139414802066	0.47376264640443305	0.3059485328071869	0.18135258805255866	0.5846102178749842	0.029658704504428864	0.32225767180219134	-0.1235884303765585	-0.011397506401914278	-0.22266067755341926	0.46874606439696065	-0.2943201376936317	-0.23527559716216784	0.07858612148944209	0.0588346417026993	0.4537802779060493	0.4724822635489694	-0.15154695436799462	-0.25469123882288736	0.009949204483438983	0.23905377607992948	0.5924394441879014	-0.09502119978170522	0.3715209269132278	0.14344485957768355	-0.37670542798371187	-0.16947231434448595	0.2403971285840225	-0.46293186684018306	0.05623189622601906	0.19170060031065025	-0.13242517106754545	-0.03349985307081987	-0.07111372318542462	0.6360774106880484	-0.16798203266025777	0.400361025985475	0.2389068468997943	0.34910373200117545	0.11512950757734772	-0.2817891776163889	0.20769489106250788	-0.24052306788128122	0.3578565131606566	-0.06101758952185047	0.5277276352797952
ArgR	-0.35831829058393855	0.3283237479534864	0.19652827337223458	0.5610385794047269	1.0	-0.3455354519121783	0.5365014063221527	0.08087401872297553	-0.19715796985852818	0.12705176105117333	-0.19176356995927962	-0.3968767054279837	0.6422484362537257	-0.3798539104151799	0.06609714117795222	0.709646950170018	0.010033164014944796	-0.11340833718147852	-0.09464338188992906	-0.39454682842869737	-0.10119222534738256	-0.4300827001385332	-0.29856009403467526	0.042840350950841696	-0.03356282271944923	0.4754628269174258	-0.0212837412367239	0.269992863439822	0.22238780907602534	-0.27223878090760256	0.3215230259015155	-0.2872255572813904	0.18752361361823602	0.5398597875823853	0.6551152344569917	0.33590109567188614	0.004638764115696235	-0.2891356366231476	0.2559086520297217	-0.1842282020066328	-0.18546660509634355	-0.2127534528357332	0.6065866252466311	0.7151253096007725	0.46255404894840685	0.32215272238780907	0.6789177616388901	-0.02147265018261198	0.15595482977204989	-0.06160530624239117	0.005541329079383737	-0.2201628814911213	0.30172956634901976	-0.4588808194450275	-0.2605893959111708	0.07338063053608161	0.13307585743671552	0.6815624868813231	0.7170143990596533	-0.21951219512195122	-0.12102766466563117	0.07902690902984762	0.2563494395701272	0.581356786029134	-0.04991394148020654	0.6119600352630032	0.2179379539062172	-0.22135930481507912	-0.23955753326896437	0.2132362201418916	-0.36228537844758824	0.2293774400738844	0.4594055665169388	-0.036585365853658534	0.27100037781789177	0.1333067461483565	0.7662566642878132	-0.12996935477100038	0.4048318710381596	0.21443264346584945	0.4678644893161496	0.19086100499559214	-0.2497586163469208	0.3380420637252844	-0.21516728936652532	0.34692078418202427	-0.1176692834053986	0.7607573149741824
BioQ	0.0848620964695017	-0.05150917257881701	-0.20141891608244825	-0.1271147306998027	-0.3455354519121783	1.0	-0.2368288484950254	0.05623189622601906	-0.01649804794089249	0.00816506443894043	0.1911548633558625	0.1770076822971328	-0.2779900088157508	0.21117921161999917	-0.05251668695688678	-0.3497124386045926	0.0564837748205365	0.17887578187313716	0.05870870240544058	0.16279753158977373	0.17346039209101213	0.3745224801645607	-0.0351580538180597	-0.14462029301876494	0.19948784685781454	-0.2308677217581126	0.20607867008102096	-0.298916922043575	-0.09388774610637672	0.1809327903950296	-0.15893539314050628	0.014147181058729693	0.05415389782125016	-0.27536627345619413	-0.21141010033164015	-0.15272238780907602	-0.10251458796859914	0.325574073296671	-0.3517274673607321	0.18439612106964443	0.13964569077704547	-0.0180303093908736	-0.23011208597456026	-0.37842659837958104	-0.08238529029008018	-0.20070526006464884	-0.3380420637252844	0.11716552621636371	-0.15098022753033039	0.09262835313378952	-0.09972293354603082	0.22505352420133495	-0.046093782796692	0.25660131816464465	0.08307795642500315	0.13861718651609925	-0.1627765417068973	-0.3994584610217875	-0.3954284035095084	0.04844464967885479	0.12696780151966752	-0.183913353763486	0.04298728013097687	-0.14909113807144955	0.03385668107971958	-0.29937869946685697	-0.24046009823265185	0.11485663909995382	0.0928172620796776	-0.09384576634062382	0.3150161622098149	-0.14170269929893792	-0.22410897947189454	0.13968767054279838	-0.1630284203014147	0.06836404852860921	-0.3107132362201419	0.18760757314974183	-0.15668947567272576	0.10988203685823433	-0.2492548591578859	-0.23871793795390622	0.14781075521598588	-0.12606523655598	0.09762394525838546	-0.20788380000839596	0.149343016665967	-0.3789513454514924
BirA	-0.2333025481717812	0.2939423198018555	0.1727047563074598	0.40991142269426134	0.5365014063221527	-0.2368288484950254	1.0	0.15091725788170102	-0.05257965660551614	0.0052474707191133875	-0.09512614919608749	-0.3401200621300533	0.5804962008311993	-0.4090928172620797	0.010452961672473868	0.5375718903488519	0.008899710339616305	-0.21256454388984508	-0.0013223626212165735	-0.3658956383023383	-0.03830653624952773	-0.38249863565761305	-0.34232399983208095	0.05096343562402922	0.07579446706687376	0.43631669535283996	-0.21117921161999917	0.10276646656311658	0.21422274463708493	-0.07900591914697117	0.4057554258847236	-0.10005877167205407	0.2427899752319382	0.6131144788212082	0.5613114478821208	0.20622559926115613	0.015616472860081441	-0.3096217623105663	0.39481969690609126	0.034675286511901264	-0.16819193148902228	-0.27066453969186854	0.5263213131270728	0.6354687040846312	0.3504051047395155	0.35414130389152426	0.6259183073758449	0.04737416565215566	0.23065782292934806	0.01236304101423114	0.11189706561437388	-0.10337517316653373	0.29904286134083374	-0.34060282943621173	-0.08129381638050459	0.16605096343562403	0.3534906175223542	0.6754124511985223	0.6095252088493346	-0.06756643297930398	-0.19417740649007179	0.10931531002057009	0.12043994794509047	0.6088115528315352	-0.10706939255278955	0.5006506863691701	0.20309810671256454	-0.20740103270223753	-0.15058141975567776	0.26841862222408797	-0.26671844171109527	0.04351202720288821	0.3408966877964821	-0.002875613954074136	0.17883380210738425	0.07262499475252929	0.6096091683808404	0.03289114646740271	0.3091180051215314	0.1463204735317577	0.45291969270811466	0.23731161580118382	-0.204924226522816	0.4969144872171613	-0.08091599848872844	0.30674614835649217	-0.026657151253096006	0.5588136518198229
CadR-PbrR	-0.17396414928004703	0.13305486755383905	0.145270979387935	0.06536249527727635	0.08087401872297553	0.05623189622601906	0.15091725788170102	1.0	-0.011607405230678812	0.23525460727929137	0.04195877587003065	-0.07942571680450024	0.07829226312917174	0.017967339742244237	0.2032870156584526	0.2862600226690735	-0.12104865454850762	-0.027013979261995717	0.04204273540153646	-0.292577977414886	0.2235422526342303	0.0694975022039377	-0.14678225095503966	-0.023382729524369254	0.12516267159229252	0.19615045548045842	0.0458209143192981	-0.05686159271231266	0.1895176524914991	0.027664665631165777	-0.026720120901725368	-0.06765039251080979	0.1333067461483565	-0.001868099576004366	0.12230804752109484	0.3081314806263381	-0.04708030729188531	-0.02879811930649427	0.003631249737626464	0.24696696192435247	0.014399059653247136	-0.06916166407791445	0.254859157885899	0.12388228873682886	0.23857100877377105	-0.022920952101087275	0.20389572226186978	-0.029532765207170145	0.019310692246337264	-0.042252634230301	0.1357415725620251	0.04097225137483733	0.051173334452793755	-0.1876705427983712	-0.11932748415263843	0.18746064396960666	0.2529490785441417	0.18460601989840897	0.08200747239830401	-0.054720624658914405	0.13156458586961084	0.08398052138869065	0.30441627135720584	0.21995298266235674	0.011124637924520382	0.053734100163721085	0.12207715880945384	-0.09300617102556567	-0.10459258637336803	0.0718063893203476	0.006947651232106125	0.177805297846438	0.1981444943537215	-0.06691574661013391	0.08866126527013979	0.19833340329960958	0.17738550018890895	0.16428781327400194	0.058876621468452205	0.19035724780655724	0.10761512950757735	0.21231266529532766	0.02424331472230385	-0.10467654590487385	-0.001868099576004366	0.16453969186851938	-0.16871667856093364	0.1351538558414844
CblR	0.16158011838293942	-0.056336845640401326	0.00023088871164098903	-0.26107216321732923	-0.19715796985852818	-0.01649804794089249	-0.05257965660551614	-0.011607405230678812	1.0	-0.05694555224381848	0.04575794467066874	-0.013706393518324167	-0.1112043994794509	0.028777129423617816	-0.058519793459552494	-0.172389908064313	0.05327232274043911	0.01041098190672096	-0.028189412703077118	0.04544309642752194	-0.0484866294446077	0.08217539146131565	0.0245371730825742	0.01821921833676168	0.0714915410772008	-0.18208723395323453	-0.02726585785651316	0.10979807732672851	0.08347676419965576	0.11359724612736662	-0.22054069938289744	0.12306368330464716	-0.03855841484404517	-0.06368330464716007	-0.24207631921413877	-0.13062004114017045	0.2072331136392259	0.12952856723059486	-0.09986986272616599	0.07864909113807145	0.23202216531631753	0.1471180890810629	-0.09745602619537383	-0.1372738340120062	-0.08591159061332437	0.046387641156962346	-0.22293354603081314	-0.07621426472440283	0.015007766256664288	0.07388438772511649	0.08954284035095084	0.2032450358926997	-0.08782166995508164	0.16296545065278537	0.25601360144410396	0.18962260190588137	0.06727257461903363	-0.15927123126652953	-0.1328869484908274	0.07997145375928802	0.19090298476134504	0.02275303303807565	-0.06706267579026909	-0.1747407749464758	0.057680198144494356	0.05176105117333445	-0.05457369547877923	0.191595650896268	0.09338398891734184	0.14560681751395826	0.3042483522941942	-0.011397506401914278	-0.12967549641073003	0.1752865119012636	-0.031841652323580036	-0.04831871038159607	-0.1203769782964611	0.028630200243482642	-0.1464044330632635	-0.097602955375509	-0.134440199823685	-0.05551824020821964	0.07266697451828219	0.012971747617648294	0.07285588346417027	0.0685949372402502	0.19203643843667353	-0.21594391503295413
CcpA	-0.10431971789597413	-0.061164518701985644	-0.03188363208933294	0.007724276898534907	0.12705176105117333	0.00816506443894043	0.0052474707191133875	0.23525460727929137	-0.05694555224381848	1.0	0.0967003904118215	-0.11107846018219218	0.015532513328575626	-0.0842323999832081	0.06966542126694933	0.19400948742706015	-0.1612232903740397	-0.012614919608748583	0.23768943369296	-0.05782712732462953	0.047919902606943454	-0.09667940052894505	-0.105285252508291	-0.14713907896393938	-0.02489400109147391	0.3048360690147349	-0.10270349691448721	0.05027076948910625	0.10108727593300029	-0.003043533017085765	-0.05316737332605684	0.1332647663826036	0.1480416439276269	-0.051782041056210905	0.15270139792619958	0.1844590907182738	0.0393140506275975	0.06548843457453507	-0.03039335040510474	0.10490743461651483	-0.17669283405398598	0.09124302086394358	0.15962805927542925	-0.0015532513328575628	0.28004701733764326	0.036648335502287896	0.16680659921917634	-0.10169598253641744	-0.13739977330926492	-0.05677763318080685	-0.18607531169976071	-0.08198648251542756	0.1833256370429453	-0.038285546366651275	-0.3474875110196885	0.07571050753536795	0.10488644473363838	0.0189328743545611	0.13420931111204398	-0.14352881910918938	0.05520339196507283	0.20635153855841484	0.12090172536837245	0.09598673439402208	0.011523445699173	0.13977163007430418	0.18473195919566768	-0.10033164014944797	-0.050228789723353345	-0.07484992233743336	-0.02585953570379077	0.29866504344905753	-0.04579992443642165	-0.05944334830611645	-0.021388690651106167	-0.1194324335670207	0.12048192771084337	0.027538726333907058	0.016120230049116325	0.19146971159900927	0.16684857898492927	-0.029112967549641072	0.06853196759162083	-0.08536585365853659	-0.14346584946056	-0.04712228705763822	-0.0389992023844507	0.18821627975315897
