	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	0.12579939144824642	-0.039828110820477235	0.07308493033683873	0.16444242780120644	0.02743287247104041	0.23291517642662682	0.03450595206320397	0.16109005498318477	-0.014589227566326803	0.13274969305503656	0.20262638125233545	0.19191800565846368	0.0030961405007206536	-0.08420434527304756	0.19613516254737628	0.00677948006192281	-0.07559920995035499	-0.07266855282122457	-0.07558853360380077	-0.046506165590135054	0.014813430843965195	0.071414082101105	0.11212832968558159	0.11146639619922062	0.05117706720760156	-0.016398868307265255	0.05956867559920995	0.1801580099290023	0.16186409010836492	0.10527411519777932	0.07278599263332088	0.06529653552554315	0.1525116105268777	0.24607911172796668	0.1336038007793733	0.1366465595473229	0.18640901083649175	0.19027384828911548	0.015843698286446377	0.026028932899161906	0.14404526770938986	0.20703571237922383	0.21060161212832967	0.17168632893823735	0.07321304649548924	0.14984252388832542	0.12468371323333155	0.1170394491005178	0.013649709069556398	-0.02735279987188384	0.04843858431644691	0.11102332781722095	0.10744141354828378	0.02577270058186089	0.15633374259328459	0.04420541290770298	0.1671969252121924	0.204900443068382	0.10610153205573053	0.17313297389633267	0.24187263118560828	0.18410291998078257	0.15432125126781615	0.06094592430470293	0.1326589441093258	0.16774141888645705	-0.006341749853200235	0.01469065285859179	0.09608178081460524	0.054860406768803716	0.10306411146105803	0.274424811829392	0.04467517215608819	0.08827737148347835	0.19483264826776278	0.19213687076282496	0.06538728447125394	0.14370896279293227	0.2214754710937917	0.09909251054289223	0.12575668606202958	-0.16241392195590668	0.06086585170554636	0.09361554476058292	0.0675599209950355	0.03211978860833822	0.2066300112101639
AgaR	0.12579939144824642	1.0	0.07595152938664389	0.3213420167618641	0.5964020712112316	0.09143223189024716	0.6105215395291731	0.14547055997437677	0.3068969198740191	0.32826562750226873	0.01229915123044894	0.35225004003629956	0.6371376714888165	-0.21082581540596806	0.2470079538781829	0.5780120642716062	0.30133454331927617	0.05386216836598516	0.1929803021406075	0.0732771045748145	0.41920140927774513	-0.02642929589494475	0.15276784284417871	0.19596967917578603	0.41138098542678697	0.04463780494314845	0.2741312122991512	0.2571931884908984	0.37577536966849945	0.396631612662147	0.5291090588800512	0.13027811882773715	0.1656862221747718	0.5564511824053808	0.5507339988256019	0.5844392248972402	0.11046281962312497	0.40890941119948754	0.4489830779907116	0.2311642555917365	0.2448353173544013	0.2004964501147707	0.5837986441039876	0.561458388939305	0.5549137885015748	0.3912453958255485	0.5966049217957615	0.40938450862114983	0.2887898361180804	0.09810494848662787	0.22877809213687075	0.13147386964180857	0.15314151497357603	0.0854161106069503	0.37484652751828323	0.20178294987455292	0.5499012437943736	0.6111140767629317	0.548694816633748	0.35559173650776704	0.3653339027384829	0.33297389633267493	0.5306678054769658	0.4539902845246357	0.3753803448459937	0.5302994715208456	0.41863556291037207	0.03297923450595206	0.17625580526343884	0.47359739497144077	0.1671061762664816	-0.012854321251267816	0.49563337425932846	0.2608658517055464	0.45132653605936046	0.5351038274702397	0.5858698553355042	0.40125447072011955	0.37310094485667006	0.5167565259168313	0.49402658410292	0.27557251908396946	0.17022900763358778	0.28648908343564833	0.13683339561202157	0.3639192868200502	0.10010142529226498	0.5934180323493301
AmtR	-0.039828110820477235	0.07595152938664389	1.0	-0.038242673357177175	0.11556611327603694	-0.02359472588480222	0.0330219398921689	0.2733678535205253	0.011199487535365397	0.11733304863075855	0.10353920888272033	0.028174878556557946	0.11040943789035391	-0.055746543532803075	0.1508621149842524	0.09351945764159504	0.1406021459456574	0.09752842577270059	-0.03679602839908183	-0.014962899695724122	0.06753323012864998	0.2039769390914429	0.040954465381946296	0.1003629957828431	0.044098649442160895	-0.0019164042064805423	0.1803928895531949	0.185197245502589	0.07388031815512731	0.1541450915496717	0.14338867239630598	-0.17453157529493407	-0.024646346020391823	0.12961084716809906	0.1597555116639086	0.1059520632039716	0.09927400843431378	0.12238829872417659	0.10254630865317889	0.06707948540009609	-0.05759355148668126	0.2095820210324027	0.11183473015534084	0.07611167458495703	0.17499599637004218	0.04841189345006139	0.1459616719158704	-0.029584156301713554	0.10293599530240752	0.06259541984732825	0.13098275770031495	0.13375860780440932	0.06661506432498798	-0.02790796989270272	-0.06816847274862542	0.028852826562750226	0.08802647733945444	0.19208348903005393	0.11521913201302514	0.23623018203170876	0.14138151924411466	0.04143490097688571	0.1788821865157743	0.057529493407356004	0.05562376554742967	0.08564031388458869	-0.09343938504243848	0.03416964714674638	-0.17472908770618695	0.038888592323706825	-0.04885496183206107	-0.11015854374633001	0.12920514599903912	0.27650136123418567	0.15692627982704319	0.09634868947846047	0.15073399882560187	-0.029445363796508833	0.020450541824587627	0.10148401217103507	0.11870495916297442	0.01487748892329045	-0.12038114557198527	0.09144290823680137	0.028916884642075483	0.13554689585223936	0.15584263065179096	0.16247264186195484
AraR	0.07308493033683873	0.3213420167618641	-0.038242673357177175	1.0	0.4131052153952917	0.16948166337479315	0.4020818875780708	0.10867986974857204	0.24975711311589174	0.159264399722415	0.13568035018416696	0.23291517642662682	0.37669353547216144	-0.12393636897453691	0.3424438157262585	0.349362088293386	0.22023167672022634	-0.03590455346180537	0.10073132973896333	-0.025874125874125874	0.18106549938611008	0.15503656648694816	0.13988683072652539	-0.005380878663321411	0.027870602679762987	0.2715208455666471	0.2143276570757487	0.12109112261784018	0.20590401964447766	0.1692040783643837	0.3233331553942241	0.21546468798377194	0.08625420381145572	0.4027865264506486	0.3109966369508354	0.316996743714301	0.13550952863929963	0.178508514386377	0.31463193295254366	0.1352372818021673	0.04894571077777184	-0.029034324454171784	0.33696684994394915	0.3345486574494208	0.3642289008701222	0.24817167565259168	0.35894410932578874	0.21698072919446965	0.27949607644264135	0.03475150803395078	0.18882720333102013	0.08221854481396466	0.26798697485720385	0.06517909571344686	0.033320877595686756	0.3266001174398121	0.19914055410238615	0.4845192974963967	0.33669994128009395	0.09642876207761704	0.2665990498051567	0.23143650242886885	0.23844552394170715	0.3195163615010943	0.30341643089734693	0.43541344152031175	0.09181124219292158	-0.03580846634281749	0.02346660972615171	0.19082901830993435	-0.015208455666470933	0.08513852559654086	0.2779213153258955	0.13235466823253084	0.325318955853307	0.39061549137885015	0.39058880051246464	0.25530347515080337	0.3231890247157423	0.2795334436555811	0.32992046121817115	0.26627342123525327	0.054620188971334006	0.22550579191800565	0.05767896225911493	0.24057545507927186	0.0976725564511824	0.3267656008114023
ArgR	0.16444242780120644	0.5964020712112316	0.11556611327603694	0.4131052153952917	1.0	0.0869374899909251	0.8376287834303101	0.5059894304169114	0.5807185181230983	0.33463940639513157	0.1288368120429189	0.5582341322799338	0.8232424064485133	-0.15464154166444244	0.48491432231890247	0.8591736507767042	0.3563444189398388	0.18511183473015533	0.3500453744728554	0.06407409384508621	0.40075268243207174	-0.0058559760849837186	0.19387711525116105	0.26657769711204826	0.4047669887364544	0.18840548764212886	0.45781241659104255	0.4562643463406822	0.5559600704638873	0.6287514012704852	0.7414829445363796	0.37569529706934285	0.16249399455506325	0.855388885923237	0.7722788661719959	0.8066460257299952	0.16846741045214328	0.3941013185287994	0.6572358938771152	0.3021085784444563	0.31087385896546205	0.3762397907436075	0.8635029093044361	0.8398654780334169	0.8112955746543533	0.6846527518283243	0.7817701382586879	0.6888912614103454	0.41813911279560134	0.1844872684567341	0.3925852773181017	0.3115411306251001	0.3428228260289329	0.1692094165376608	0.29792878876848344	0.4400149468851759	0.669113329418673	0.8187743554155767	0.8067154219825976	0.4409598035552234	0.4631772807345326	0.41805370202316766	0.7919019911386324	0.6114023381198954	0.5709656755458282	0.7700742006085518	0.3690439331660706	0.17267389099450167	0.226237121656969	0.6664335664335664	0.18176480008541077	0.14717343724977314	0.7553248278439119	0.40960337372551114	0.6882239897507073	0.8152831900923504	0.8274542251641488	0.44240111034004165	0.36883040623498636	0.5580526343885123	0.7464421075108097	0.4920407836438371	0.25208455666470936	0.5382373351839	0.1999039128810121	0.5628996957241232	0.225318955853307	0.8716222708589121
BioQ	0.02743287247104041	0.09143223189024716	-0.02359472588480222	0.16948166337479315	0.0869374899909251	1.0	0.16350290930443603	0.01727966689798751	0.10718518123098275	0.03143116425559174	-0.07364010035765761	0.06852613035819143	0.10920301072972828	-0.15569316180003204	0.08885923237068276	0.14583889393049698	0.0816793893129771	-0.11091122617840175	-0.0315058986814712	-0.06997811348956387	0.11187209736828058	-0.12357871136497091	0.044109325788715105	-0.16014519831313725	0.11438103880851973	-0.026274488869908717	0.08505845299738429	0.0660492179576149	0.007003683339561202	-0.0493567501201089	0.11107670954999199	0.11598782896492821	0.014770725457748358	0.1316180003202904	0.06784818235199915	0.1375754016975391	0.1435381412480649	0.22459830246089788	0.07419527037847648	0.040516735173223725	-0.01939358351572092	-0.04491538995355789	0.048582714994928736	0.11970853573907009	0.2026744248118294	0.13537073613409492	0.04935141194683179	0.001040943789035392	0.046794426947098705	-0.06629477392836171	-0.04221961244862008	-0.03812523354508087	-0.11992740084343138	0.10098756205626434	-0.015347248171675652	0.07109379170447873	0.08175946191213367	0.14587626114343671	0.11339347675225538	0.03270164949554263	0.07146212566059894	0.04627128596594245	0.09828110820477233	0.10019217423797576	0.10762291143970533	0.1294934073560028	0.060246623605402234	0.139000693962526	0.16121283296855815	-0.013404153098809587	0.035984626060961936	0.010291998078257621	0.04051139699994662	0.0857630918699621	0.15629637538034485	0.14908984145625367	0.1488923290450008	0.09903912881012118	0.17955479634868948	0.22784924998665457	0.12385095820210323	-0.04548123632093098	0.1151817648000854	-0.036203491165323225	-0.018069716542998986	0.04570010142529227	0.10491111941493621	0.12003416430897347
BirA	0.23291517642662682	0.6105215395291731	0.0330219398921689	0.4020818875780708	0.8376287834303101	0.16350290930443603	1.0	0.413425505791918	0.5470773501307853	0.3496983932098436	0.17871670314418406	0.5147226818982544	0.8055303475150803	-0.21566753856830193	0.38159397854054344	0.8723002188651043	0.34405060588266695	0.10833288848556025	0.2550685955266108	0.013201302514279614	0.3582127795868254	-0.055335504190466026	0.1910105162013559	0.3246196551540063	0.3474830512998452	0.20171889179522767	0.3727326109005498	0.42234025516468265	0.5474189932205199	0.5653178882186516	0.6932365344579084	0.38789836118080395	0.291272086691934	0.7380771899855869	0.7815833021939892	0.7683232797736614	0.27172903432445417	0.46956173597394973	0.6619495008807986	0.3520044840655528	0.3384989056744782	0.35033897400309616	0.82051993807719	0.8312389900176159	0.7779373298457268	0.6750226872364277	0.790967810815139	0.6791918005658464	0.5556237655474296	0.07252976031601986	0.37087492660011745	0.15232477446217904	0.37752629050338976	0.20028292318368654	0.3058613142582608	0.5228153525863449	0.6248972401644157	0.8262264453104148	0.7741365504724284	0.45154540116372177	0.4588320076869695	0.48025409704799016	0.7181017455826616	0.6291837933059307	0.557833769284151	0.7647253509848929	0.382031708749266	0.18206907596220573	0.16832327977366146	0.6405647787327177	0.14602572999519564	0.00313884588693749	0.733892062136337	0.42783857364010036	0.63088133240805	0.8082368013665724	0.8310628302994715	0.48275770031495224	0.42604494741899324	0.6000373672129398	0.7202743821064431	0.5348155661132761	0.19013505578391074	0.5130785245289062	0.2018683606469866	0.548700154807025	0.2804142422463033	0.8628089467784125
CadR-PbrR	0.03450595206320397	0.14547055997437677	0.2733678535205253	0.10867986974857204	0.5059894304169114	0.01727966689798751	0.413425505791918	1.0	0.38708162066940693	0.16512571398067583	0.12856456520578657	0.13502375487108312	0.3921582234559334	-0.12937062937062938	0.17545507927187318	0.42309293759675437	0.17170768163134575	0.15879464047402977	0.2107510809800886	-0.04073560027758501	0.1485400096087119	0.09402658410291997	0.13004857737682166	0.1430470293065713	0.252527625046709	0.018315272513745796	0.38628623285111835	0.3417178241605722	0.2772540436662574	0.43775689958896064	0.37052794533710565	0.2288261356963647	-0.06455452944002563	0.5091282763038488	0.40141995409170983	0.3937116318795708	0.19595900282923184	0.24052207334650083	0.3347728607270592	0.2223882987241766	0.035936582501468	0.07427534297763305	0.45912026904393316	0.38987882346660974	0.4312763572305557	0.38347835370736133	0.39617252976031603	0.45611487748892326	0.1456146906528586	0.22066406875567182	0.17347461698606736	0.20903218918486094	0.28651577430203384	-0.08252282069075963	0.09260129183793306	0.2564938877915977	0.37141942027438213	0.40008007259915657	0.42733678535205255	0.3220786846741045	0.16180003202903967	0.1375540490044307	0.3675599209950355	0.22665883734586026	0.39060481503229594	0.4615758287514013	0.046575561842737416	0.13821064431751454	0.14020178294987456	0.37160091816580365	0.07345860246623605	0.08262958415630171	0.37844979448032884	0.30625633908076655	0.42396839801419955	0.43201836331607324	0.40768163134575347	0.10837559387177707	0.2244915389953558	0.2821384722148081	0.38173277104574815	0.1707254577483585	0.05602946671648962	0.25896546201889714	0.12361607857791064	0.21809640740938452	0.1630064591896653	0.46169860673677465
CblR	0.16109005498318477	0.3068969198740191	0.011199487535365397	0.24975711311589174	0.5807185181230983	0.10718518123098275	0.5470773501307853	0.38708162066940693	1.0	0.28083595793519456	0.009678108151390594	0.3854267869535045	0.46889446431431164	0.0038755137991779215	0.3694923397213474	0.5283243474083169	0.4121870495916297	0.1575028025409705	0.13576042278332354	0.03271232584209684	0.1942934927667752	-0.09296428762077617	0.15173757540169755	0.1397960817808146	0.2025569849997331	0.16865424651684194	0.29891635082474777	0.21034004163775155	0.3684193668926493	0.31804302567661347	0.47067207601558747	0.21276357230555704	0.05165750280254097	0.5226605455613089	0.4227833235466823	0.4925158810654994	0.15136390327230023	0.25494047936796027	0.3890087012224417	0.2828858164736027	0.14439224897240163	0.3532269257460097	0.506790156408477	0.46634281748785567	0.5145945657396039	0.4053221587572733	0.5060961938824534	0.5447926119681845	0.32454492072812685	0.14116799231303048	0.23882453424438158	0.12817487855655796	0.1422249506218972	0.06268083061976192	0.23875513799177922	0.3704371963913949	0.38582714994928735	0.5254310574921262	0.46343351305183367	0.2246143169807292	0.41158383601131693	0.20815672876741578	0.4654620188971334	0.40570650723322477	0.41695403832808414	0.43111087385896546	0.19758180750547163	0.1812363209309774	0.2109859606042812	0.39227032509475257	0.14947952810548232	-0.1850798056904927	0.4404580152671756	0.26162387231089523	0.5067688037153686	0.5626968451395933	0.49180590401964447	0.17626648160999306	0.17074147226818984	0.37812950408370255	0.38278972935461486	0.16084449901243794	0.06236054022313564	0.29315646185875194	0.11923343831740778	0.3091976725564512	0.26831794160038436	0.5643997224149896
CcpA	-0.014589227566326803	0.32826562750226873	0.11733304863075855	0.159264399722415	0.33463940639513157	0.03143116425559174	0.3496983932098436	0.16512571398067583	0.28083595793519456	1.0	-0.1073613409491272	0.2890514066086585	0.41472802007153153	-0.19400523140981157	0.15865050979554796	0.3299685047776651	0.16316660438797842	-0.029215822345593338	0.12243100411039343	0.048572038648374526	0.053445790850371	-0.02982437409918326	0.08465275182832435	0.12121390060321358	0.10729194469652485	0.024721080446271287	0.05417712058933433	0.19686649228633962	0.23542411786686596	0.066155981423157	0.42489190199113863	0.2782095766828591	0.003341696471467464	0.3722468371323333	0.3215715582127796	0.3353280307478781	0.042027438210644315	0.25292264986921476	0.3074734425879464	0.21828858164736029	-0.03682271926546736	0.10898948379864411	0.42537767575935514	0.3715315219132013	0.33724443495435863	0.4577803875513799	0.37116852613035817	0.3157155821277959	0.3213793839748038	0.16901190412640793	0.09651951102332781	0.051508033950782045	0.22575134788875248	0.150178828804783	0.2678001387925052	0.23882987241765868	0.3127262050926173	0.3751454652218011	0.35994768590188436	0.12572999519564404	0.25654726952436874	0.16257406715421982	0.27964020712112314	0.16083382266588372	0.2531842203597929	0.30751614797416327	0.19425612555383548	0.03719639139486468	-0.005626434634068222	0.22247904766988735	0.12492393103080127	-0.2232157155821278	0.33589387711525115	0.2401644157369348	0.27487855655794585	0.3143329952490258	0.41361234185661666	0.19502482250573855	0.24437089627929323	0.40040570116905994	0.2820957668285913	0.21440772967490523	0.1613836545134255	0.23804516094592432	-0.10037367212939732	0.30901083649175254	0.14454171782416056	0.37886617199594297
