	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.2063852199983794	-0.041244631715420144	0.19439267482375822	-0.14139859006563488	0.15938740782756664	0.11303784134186856	-0.3339275585446884	-0.019852524106636415	-0.012883882991653836	0.34786484077465357	0.15339113524025605	-0.09634551495016612	0.06911919617535046	0.02309375253220971	-0.17851065553844908	0.13961591443156957	0.10850012154606596	-0.1033141560651487	0.18466898954703834	0.01401831294060449	-0.21384004537719795	0.1399400372741269	0.027469410906733653	0.1033141560651487	-0.20995057126651	-0.2076817113686087	0.10558301596304999	0.27720606109715584	0.1431812656997002	0.09569726926505145	-0.07932906571590632	-0.4275990600437566	0.11303784134186856	0.10493477027793534	0.05615428247305729	0.06944331901790779	-0.06328498500931853	-0.007697917510736569	0.26229641033951867	0.05145450125597602	-0.12973016773357102	-0.022445506847095047	0.11028279718013127	-0.03054857791102828	-0.002998136293655295	0.17510736569159713	0.22437403776031115	-0.010615023093752533	0.0968316992140021	0.09618345352888745	-0.21011263268778868	0.20508872862815006	-0.3446236123490803	-0.029576209383356294	0.07268454744348107	0.21513653674742728	-0.03460011344299489	0.06312292358803986	0.12875779920589903	-0.27250627988007453	-0.13183696621019367	0.06474353780082652	0.03605866623450288	-0.04772708856656673	0.16749047889149987	-0.0020257677659833075	0.08289441698403695	0.047078842881452074	0.08856656672879021	0.2738027712503039	0.3592091402641601	0.041406693136698806	-0.03767928044728952	-0.24835912810955352	0.058423142370958595	-0.09083542662669152	0.2169192123814926	-0.09196985657564216	-0.05874726521351592	0.3002187829187262	0.15630824082327202	-0.05485779110282797	-0.2827161494206304	0.21432622964103396	0.03605866623450288	0.025848796693947004	0.11854792966534317
AgaR	-0.2063852199983794	1.0	-0.01337006725548983	0.11725143829511385	0.4930718742403371	0.057450773843286604	0.30086702860384085	0.27299246414391054	0.20427842152175674	0.3135078194635767	0.014828620046997813	0.15079815249979742	0.3606676930556681	0.022931691110931043	-0.0008913378170326554	0.4956648569807957	0.3340896199659671	0.19179969208329958	0.024876428166275017	0.07997731140102099	0.36779839559192934	0.01758366420873511	0.10590713880560733	0.2669961915565999	0.03297949923020825	0.20897820273883802	0.1697593387894012	0.3909731788347784	0.06344704643059719	0.34024795397455637	0.39243173162628636	0.036544850498338874	0.14658455554655214	0.2681306215055506	0.3561299732598655	0.26456527023742	0.011749453042703185	0.07462928449882505	0.42160278745644597	-0.11546876266104854	0.23750101288388298	-0.09213191799692083	0.3209626448423953	0.2924398346973503	0.4133376549712341	0.4279231828863139	0.4765416092699133	0.3037841341868568	0.35661615752370146	0.682521675715096	0.30394619560813546	0.3827080463495665	0.32614861032331255	-0.017421602787456445	-0.13977797585284824	0.17040758447451584	0.10995867433757395	0.45077384328660564	0.36455716716635606	0.2788266753099425	0.23831131999027633	0.07430516165626773	0.44704643059719634	0.14933959970828944	0.28595737784620373	0.3455959808767523	0.2759095697269265	0.2540312778543068	-0.13637468600599628	0.4055587067498582	0.15809091645733733	0.07236042460092375	0.18596548091726764	0.5348837209302325	0.27283040272263187	0.16473543472976257	0.4604975285633255	0.18580341949598897	0.15193258244874808	0.5429867919941658	0.3029738270804635	0.2783404910461065	0.17137995300218783	0.17672797990438377	0.16441131188720526	0.23636658293493235	0.3282554087999352	0.5744267077222267
AmtR	-0.041244631715420144	-0.01337006725548983	1.0	-0.20363017583664209	0.1138481484482619	-0.013532128676768495	0.1101207357588526	-0.062474677902925206	-0.12081678956324447	-0.12729924641439105	-0.2720200956162386	-0.02844177943440564	0.0158009885746698	0.10606920022688598	0.2533830321691921	0.016611295681063124	0.1128757799205899	0.18677578802366096	-0.10509683169921401	-0.044647921562272104	0.007859978932015234	0.20832995705372337	-0.2994084758123329	-0.030386516489749615	-0.06717445912000648	0.08808038246495421	0.043837614455878776	-0.21805364233044325	0.11222753423547524	0.06296086216676121	-0.08030143424357832	-0.10623126164816465	0.1490154768657321	0.11303784134186856	0.0036463819787699537	0.029738270804634957	-0.18353455959808768	0.07868082003079167	0.07203630175836642	-0.06052994084758123	0.0318450692812576	-0.1101207357588526	0.08078761850741431	0.12827161494206304	0.055181913945385304	-0.04416173729843611	0.12130297382708047	-0.026497042379061666	0.09585933068633012	-0.0054290576128352645	0.20622315857710072	-0.17348675147881046	-0.12843367636334171	0.35775058747265215	-0.20119925451746212	-0.13118872052507902	0.09780406774167409	0.03719309618345353	-0.12778543067822704	-0.02147313831942306	0.17721416416821975	0.1986062717770035	0.11255165707803258	-0.09099748804797018	0.18288631391297303	0.046916781460173404	0.4261405072522486	-0.2919536504335143	-0.013045944412932501	0.13313345758042297	-0.10347621748642735	-0.2425249169435216	0.03589660481322421	-0.12924398346973504	0.07349485454987441	-0.17851065553844908	0.13831942306134024	-0.03443805202171623	0.03119682359614294	-0.028927963698241632	-0.10088323474596872	-0.10039705048213272	-0.06117818653269589	0.10979661291629528	0.30005672149744755	0.05323717689004132	0.22761526618588446	0.011749453042703185
AraR	0.19439267482375822	0.11725143829511385	-0.20363017583664209	1.0	0.3395997082894417	0.20784377278988736	0.266510007292764	0.09115954946924884	0.017097479944899116	0.38060124787294386	0.16181832914674663	0.2759095697269265	0.40183129406044893	-0.18353455959808768	-0.1815898225427437	0.2731545255651892	0.6980795721578478	0.07495340734138238	0.22583259055181915	0.18175188396402236	0.1939064905599222	0.12632687788671906	0.22226723928368852	0.39129730167733573	0.24009399562434164	-0.09148367231180618	-0.0038084434000486183	0.06409529211571185	0.34656834940442427	0.2960051859654809	0.31318369662101936	0.040596386030305485	-0.016773357102341787	0.3295519001701645	0.4261405072522486	0.29892229154849687	0.4906409529211571	0.15809091645733733	0.21805364233044325	0.1211409124058018	-0.09618345352888745	-0.03200713070253626	0.3536990519406855	0.185317235232153	0.3323069443319018	0.22388785349647516	0.2801231666801718	0.3054047483996435	0.3097804067741674	0.13896766874645491	0.23539421440726035	-0.052588931204926664	0.4219269102990033	-0.3661777813791427	0.1133619641844259	0.366015719957864	0.21108500121546067	0.3525646219917349	0.2177295194878859	0.12827161494206304	0.036544850498338874	0.04075844745158415	0.312859573778462	0.28903654485049834	0.1422088971720282	0.3047565027145288	0.0057531804553925935	0.10639332306944332	0.16635604894254924	0.29276395753990764	0.027631472328012316	0.5408799935175431	0.21205736974313263	0.3483510250384896	0.14204683575074953	0.052426869783648	0.2337736001944737	0.2854711935823677	-0.13361964184425898	0.25824487480755204	0.5024714366744997	0.5961429381735678	-0.10315209464387003	0.024552305323717688	-0.06766064338384248	0.31561461794019935	-0.11870999108662184	0.28174378089295843
ArgR	-0.14139859006563488	0.4930718742403371	0.1138481484482619	0.3395997082894417	1.0	-0.03460011344299489	0.7066688274856171	0.4797828376954866	0.2775301839397131	0.4582286686654242	0.1655457418361559	0.21983631796450856	0.7183372498176809	0.003970504821327283	0.09051130378413419	0.624503686897334	0.4553115630824082	0.11303784134186856	0.1994165788833968	0.08986305809901952	0.31431812656997	0.049671825621910706	0.24706263673932422	0.31334575804229803	0.3271209788509845	0.5194878859087594	0.2994084758123329	0.44023985090349244	0.37266023823028926	0.682521675715096	0.6031115792885504	0.32517624179564053	0.2337736001944737	0.5909569726926505	0.687383518353456	0.5642168381816709	0.2131917996920833	0.16943521594684385	0.5935499554331092	0.13831942306134024	0.05064419414958269	0.09537314642249413	0.6676120249574589	0.6139696945142209	0.7787861599546227	0.39437646868163034	0.6108905275099262	0.422575155984118	0.5838262701563893	0.446236123490803	0.43343327120978853	0.46065958998460416	0.49290981281905843	0.1815898225427437	0.10477270885665667	0.5873916214245198	0.4523944574993923	0.7266023823028928	0.6655052264808362	0.3762255894984199	0.2893606676930557	0.13961591443156957	0.6423304432379872	0.47232801231666804	0.38205980066445183	0.6125111417227129	0.36958107122599465	0.24139048699457094	0.004456689085163277	0.41106879507333277	0.02811765659184831	0.07090187180941576	0.5661615752370148	0.3637468600599627	0.5266185884450206	0.21238149258568997	0.7855927396483268	0.4379709910055911	0.27801636820354914	0.5708613564540961	0.3793047565027145	0.48723766307430516	-0.05420954541771331	0.4498014747589336	0.24560408394781622	0.24771088242443887	0.40669313669880885	0.7043999675877157
BioQ	0.15938740782756664	0.057450773843286604	-0.013532128676768495	0.20784377278988736	-0.03460011344299489	1.0	-0.14480187991248683	0.007697917510736569	-0.26926505145450125	0.1958512276152662	0.03865164897496151	0.40993436512438214	-0.043027307349485455	0.0057531804553925935	-0.08727007535856089	-0.04351349161332145	0.3744429138643546	-0.08419090835426626	-0.001539583502147314	0.07025362612430111	0.10363827890770602	0.09650757637144478	-0.08548739972449558	0.027145288064176324	0.22567052913054048	0.09942468195446075	0.19957864030467548	-0.20006482456851146	-0.049347702779353374	0.06976744186046512	0.09326634794587149	-0.22939794181994977	-0.24706263673932422	0.056802528158171946	0.16441131188720526	-0.08208410987764363	0.46309051130378415	-0.12211328093347379	-0.028603840855684303	-0.36228830726845473	-0.131674904788915	0.02665910380034033	-0.18191394538530103	-0.027631472328012316	0.1133619641844259	0.20687140426221537	0.10072117332469006	0.10963455149501661	0.10752775301839397	0.07479134592010372	0.1256786322016044	-0.02147313831942306	-0.027631472328012316	-0.26488939307997733	-0.06911919617535046	0.12503038651648976	0.1796450854873997	0.08532533830321692	-0.1499878453934041	-0.0020257677659833075	0.3744429138643546	0.07722226723928369	0.14075034438052023	-0.18272425249169436	0.05955757231990925	0.1251924479377684	-0.3120492666720687	0.19747184182805283	-0.01158739162142452	-0.041244631715420144	-0.10655538449072198	0.10768981443967264	0.010290900251195202	0.14188477432947086	0.11530670123976987	-0.17219026010858116	-0.07398103881371039	-0.014180374361883154	0.033465683494044246	0.008508224617129892	0.05955757231990925	0.19974070172595412	-0.009642654566080544	-0.21059881695162466	-0.11157928855036059	-0.020824892634308402	-0.1811036382789077	0.10201766469491938
BirA	0.11303784134186856	0.30086702860384085	0.1101207357588526	0.266510007292764	0.7066688274856171	-0.14480187991248683	1.0	0.35904707884288145	0.18175188396402236	0.2656997001863706	-0.06814682764767847	0.17543148853415444	0.6577262782594603	0.06474353780082652	0.3332793128595738	0.5966291224374037	0.40426221537962886	-0.11822380682278584	0.23539421440726035	0.11417227129081922	0.18175188396402236	0.1243821408313751	0.0707398103881371	0.3065391783485941	0.2956810631229236	0.370391378332388	0.22502228344542582	0.47670367069119196	0.503281743780893	0.5181913945385301	0.7240093995624342	0.36536747427274935	0.2695891742970586	0.5601653026497042	0.7306539178348594	0.5731302163519975	0.1921238149258569	0.09034924236285552	0.6246657483186128	0.5172190260108581	0.2900089133781703	0.13605056316343894	0.7262782594603354	0.6337411879102179	0.6039218863949437	0.4144720849201847	0.7254679523539421	0.3501337006725549	0.5251600356535127	0.444291386435459	0.4963131026659104	0.35710234178753747	0.4058828295924155	0.12535450935904707	0.1371849931123896	0.6024633336034357	0.5826918402074386	0.7084515031196824	0.5728060935094401	0.33489992707236044	-0.01904221700024309	0.16360100478081194	0.4160926991329714	0.5117089376873836	0.4673041082570294	0.4882100316019771	0.4454258163844097	-0.022607568268373714	0.07041568754557978	0.43602625395024713	0.019204278421521757	0.14107446722307754	0.5352078437727898	0.21481241390486994	0.5583826270156389	0.3378170326553764	0.7016449234259784	0.5130054290576128	0.39291791589012237	0.4436431407503444	0.4880479701806985	0.3835183534559598	0.1866137266023823	0.46665586257191477	0.22064662507090188	0.4559598087675229	0.46746616967830806	0.737136374686006
CadR-PbrR	-0.3339275585446884	0.27299246414391054	-0.062474677902925206	0.09115954946924884	0.4797828376954866	0.007697917510736569	0.35904707884288145	1.0	0.12324771088242444	0.3208005834211166	-0.12324771088242444	0.18499311238959565	0.4577424844015882	0.2485211895308322	0.18872052507900494	0.4269508143586419	0.10542095454177133	-0.060692002268859895	0.32306944331901793	-0.21027469410906732	0.15079815249979742	0.3629365529535694	-0.05939551089863058	0.17397293574264647	0.2948707560165303	0.41495826918402073	0.5170569645895795	0.29357426464630093	0.1449639413337655	0.27671987683331983	0.3496475164087189	0.05420954541771331	0.2232396078113605	0.2209707479134592	0.33376549712340975	0.16635604894254924	0.2585689976501094	-0.19520298193015154	0.19001701644923427	-0.025038489587553683	-0.11482051697593387	0.35094400777894824	0.2720200956162386	0.35775058747265215	0.3561299732598655	0.30508062555708615	0.3308483915403938	0.08613564540961025	0.28304027226318773	0.0867838910947249	0.2768819382545985	0.24965561947978285	0.13896766874645491	0.1477189854955028	-0.025362612430111012	0.48675147881046915	0.3536990519406855	0.36909488696215864	0.22858763471355645	-0.08046349566485698	0.28952272911433435	0.18596548091726764	0.20784377278988736	0.2428490397860789	0.041406693136698806	0.3062150555060368	0.18580341949598897	0.01612511141722713	-0.059881695162466574	0.03476217486427356	-0.2773681225184345	0.017259541366177782	0.3049185641358075	0.19957864030467548	0.4379709910055911	0.10380034032898469	0.3767117737622559	-0.0007292763957539907	0.16441131188720526	0.3091321610890527	0.15128433676363343	0.27720606109715584	-0.13118872052507902	0.4671420468357507	-0.06717445912000648	0.09375253220970747	0.24268697836480027	0.3313345758042298
CblR	-0.019852524106636415	0.20427842152175674	-0.12081678956324447	0.017097479944899116	0.2775301839397131	-0.26926505145450125	0.18175188396402236	0.12324771088242444	1.0	0.3016773357102342	0.055181913945385304	0.06749858196256381	0.1334575804229803	-0.008022040353293899	-0.08872862815006888	0.05907138805607325	0.11482051697593387	0.289684790535613	-0.1504740296572401	0.16295275909569726	0.16165626772546796	-0.06685033627744916	0.21076087837290333	0.029576209383356294	0.14188477432947086	-0.004780811927720606	0.006239364719228588	0.1101207357588526	0.04513410582610809	0.06198849363908922	0.3972935742646463	-0.13005429057612836	-0.02844177943440564	0.1399400372741269	0.11708937687383518	0.27542338546309053	-0.14415363422737218	-0.002674013451097966	0.25548983064581476	0.1110931042865246	0.16246657483186128	0.10606920022688598	0.07268454744348107	0.05485779110282797	0.07284660886475974	0.004294627663884612	0.2287496961348351	-0.10023498906085407	-0.14463981849120816	0.11255165707803258	-0.02390405963860303	0.27283040272263187	0.18904464792156228	0.20606109715582205	0.1073656915971153	0.06117818653269589	-0.04497204440482943	0.22696702050076978	0.2781784296248278	0.19925451746211814	-0.04999594846446803	-0.0318450692812576	0.2639170245523053	0.4151203306052994	0.023741998217324367	0.23085649461145774	0.08500121546065958	0.17543148853415444	0.022931691110931043	0.16262863625313995	0.13297139615914433	0.021959322583259056	0.2749372011992545	0.2900089133781703	-0.023741998217324367	0.014342435783161819	0.2329632930880804	0.26748237582043594	-0.050158009885746695	0.11676525403127785	-0.03589660481322421	0.13248521189530832	0.0995867433757394	-0.06506766064338385	-0.17235232152985983	0.06879507333279312	0.15468762661048538	0.2407422413094563
CcpA	-0.012883882991653836	0.3135078194635767	-0.12729924641439105	0.38060124787294386	0.4582286686654242	0.1958512276152662	0.2656997001863706	0.3208005834211166	0.3016773357102342	1.0	0.08159792561380763	0.3643951057450774	0.2584069362288307	-0.04432379871971477	-0.09974880479701807	0.4050725224860222	0.36455716716635606	0.21384004537719795	0.09196985657564216	0.04529616724738676	0.40296572400939956	0.1472328012316668	0.29260189611862897	0.14010209869540555	0.13524025605704562	0.13183696621019367	0.013694190098047159	0.21254355400696864	0.21286767684952598	0.29033303622072765	0.2998946600761689	0.008346163195851228	0.011101207357588527	0.2663479458714853	0.39891418847743293	0.45207033465683494	0.36633984280042137	0.14480187991248683	0.2545174621181428	-0.03297949923020825	0.036544850498338874	0.09812819058423142	0.2804472895227291	0.21448829106231262	0.5100883234745969	0.3922696702050077	0.4368365610566405	0.4266266915160846	0.41171704075844745	0.41965805040110205	-0.006239364719228588	0.28855036058666234	0.3097804067741674	-0.19423061340247955	0.2720200956162386	0.22161899359857387	0.2788266753099425	0.3830321691921238	0.2530589093266348	0.31820760068065795	0.1966615347216595	-0.022931691110931043	0.5157604732193501	0.11725143829511385	0.18726197228749697	0.43651243821408314	-0.1357264403208816	0.4938821813467304	-0.037355157604732195	0.3371687869702617	0.0900251195202982	0.05420954541771331	0.10363827890770602	0.6233692569483834	0.19423061340247955	-0.0757637144477757	0.316262863625314	0.3204764605785593	0.2310185560327364	0.3405720768171137	0.2503038651648975	0.5826918402074386	0.08710801393728224	-0.033465683494044246	0.09521108500121546	0.21059881695162466	0.2538692164330281	0.47443481079329064
