	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	0.17451084082496035	-0.07546271813855103	0.08524590163934426	0.21993654151242728	0.061343204653622425	0.21337916446324695	0.08603913273400317	0.19254362771020625	-0.08614489687995769	0.1636700158646219	0.21232152300370175	0.23844526705446853	-0.03241671073506081	-0.10608143839238499	0.21729243786356425	0.1053939714436806	0.07620306716023269	-0.04262295081967213	-0.14299312533051295	0.011316763617133793	0.07424643046007404	0.11237440507667901	-0.02088841882601798	0.1002644103648863	0.17530407191961925	0.029402432575356956	0.08968799576943416	0.25288207297726073	0.2	0.09957694341618191	0.15494447382337387	-0.012480169222633527	0.25309360126916974	0.212374405076679	0.1454785827604442	0.1192490745637229	0.05584346906398731	0.2076679005817028	0.10946589106292967	0.11300898995240613	0.1192490745637229	0.21126388154415654	0.20333157059756743	0.15563194077207826	-0.03278688524590164	0.13252247488101535	0.10074034902168165	0.009360126916975145	0.13384452670544686	0.008672659968270756	0.11422527763088314	0.01560021152829191	0.07588577472236911	0.2131676361713379	0.20824960338445267	-0.010893707033315707	0.12205182443151771	0.2581702802749868	0.1236911686938128	0.18836594394500264	0.11364357482813327	0.24008461131676362	0.10079323109465892	0.0032258064516129032	0.15214172395557907	0.17736647276573242	0.025594923320994185	-0.03807509254362771	-0.01840296139608673	0.011951348492860921	0.2041776837652036	0.21829719725013222	0.03236382866208355	0.0674246430460074	0.2170809095716552	0.2212585933368588	0.060179799048122685	0.03590692755156002	0.15721840296139608	0.14907456372289793	0.061554732945531467	-0.06546800634584876	-0.0014278159703860391	0.0965097831835008	0.19978847170809097	-0.05616076150185087	0.22390269698572185
AgaR	0.17451084082496035	1.0	-0.00893707033315706	0.4067689053410894	0.5734003172924379	0.3277630883130619	0.617451084082496	0.08016922263352723	0.39132734003172925	0.5534108937070333	-0.035166578529878374	0.4453199365415124	0.5948175568482285	-0.33130618720253835	0.3797990481226864	0.5594923320994183	0.28392384981491275	0.28889476467477526	0.2658381808566896	0.011052353252247488	0.44352194606028555	0.0044420941300898995	0.34769962982548913	0.16017979904812268	0.4037546271813855	-0.04547858276044421	0.21665785298783713	0.1550502379693284	0.41126388154415655	0.39804336329984136	0.5615018508725542	0.21147540983606558	0.1414595452141724	0.6445795875198308	0.5599682707562137	0.6286620835536753	0.10137493389740877	0.41850872554204127	0.48027498677948177	0.327392913802221	0.2441565309360127	0.29280803807509254	0.5873083024854574	0.5826017979904812	0.6077207826546801	0.3997355896351137	0.6595980962453728	0.32400846113167636	0.3971443680592279	0.24093072448439978	0.340772078265468	0.16092014806980434	0.15901639344262294	0.2792173453199365	0.3241142252776309	0.28487572712850345	0.5962453728186144	0.6815970386039133	0.6116340560549973	0.3947646747752512	0.4384981491274458	0.3526176626123744	0.48958223162347964	0.43262823902696984	0.4067689053410894	0.5252776308831306	0.2952934955050238	0.23733474352194606	0.18339502908514013	0.4898995240613432	0.31956636700158647	-0.10951877313590692	0.46329984135378105	0.23003701745108407	0.4053939714436806	0.5778424114225278	0.598995240613432	0.39132734003172925	0.3279746166049709	0.5980962453728186	0.5695399259650978	0.3143310417768376	0.3285563194077208	0.32427287149656264	0.05690111052353252	0.3977260708619778	0.060285563194077206	0.6350608143839238
AmtR	-0.07546271813855103	-0.00893707033315706	1.0	0.03807509254362771	-0.13707033315705977	0.15267054468535166	-0.15325224748810154	0.22030671602326812	-0.24219989423585406	0.11644632469592808	0.13141195134849287	-0.21597038603913274	-0.1613960867265997	-0.18212585933368589	-0.012480169222633527	-0.1631411951348493	0.048122686409307246	-0.011369645690111053	-0.24336329984135377	-0.06160761501850873	-0.17207826546800634	0.12041248016922264	0.04637757800105764	-0.1490216816499207	-0.054574299312533055	-0.28122686409307246	0.09375991538868324	0.07361184558434691	-0.17974616604970914	-0.08043363299841354	-0.09122157588577472	-0.2683765203595981	-0.13204653622422	-0.07107350608143839	-0.08804865150713909	-0.10576414595452142	0.09301956636700158	0.14225277630883132	-0.034214701216287675	0.08196721311475409	-0.28646218931782125	0.034849286092014806	-0.15462718138551032	-0.19635113696456902	0.04362771020624009	-0.07445795875198308	-0.14600740349021682	-0.31295610787942885	0.018350079323109465	-0.008408249603384453	-0.013326282390269699	0.03342147012162877	-0.004019037546271814	-0.15822316234796405	-0.13447911158117398	-0.010523532522474881	-0.12231623479640402	-0.07710206240084612	-0.1378106821787414	0.08561607615018509	-0.01258593336858805	-0.12295081967213115	-0.09148598625066102	-0.1277102062400846	0.029931253305129562	-0.04241142252776309	-0.23395029085140137	-0.16213643574828132	-0.19222633527234267	-0.14859862506610258	-0.323532522474881	0.0493918561607615	-0.1503437334743522	0.1156002115282919	0.018984664198836595	-0.10571126388154416	-0.1351136964569011	-0.07059756742464304	0.14304600740349022	0.08863035430988894	-0.15050237969328398	-0.034902168164992066	-0.15912215758857748	-0.14923320994182973	0.020306716023268112	-0.08455843469063987	0.09820200951877314	-0.11496562665256478
AraR	0.08524590163934426	0.4067689053410894	0.03807509254362771	1.0	0.6243257535695399	0.2970386039132734	0.6190904283447911	0.22374405076679005	0.46118455843469064	0.1841353781068218	0.05029085140137493	0.34452670544685354	0.5525118984664199	-0.10782654680063458	0.5297197250132205	0.5960867265996828	0.27826546800634583	0.1670544685351666	0.13104177683765203	0.05251189846641988	0.1769962982548916	0.14933897408778424	0.17154944473823375	0.023902696985721842	0.04632469592808038	0.34420941300898994	0.33093601269169753	0.22897937599153886	0.2932839767318879	0.3625066102591222	0.5287678476996298	0.33881544156530935	0.17228979375991538	0.63590692755156	0.5176097303014278	0.5702273929138022	0.20624008461131677	0.2632469592808038	0.5283447911158118	0.26652564780539395	0.2572184029613961	0.09148598625066102	0.5986250661025913	0.5370703331570598	0.5858804865150714	0.5845584346906398	0.5770491803278689	0.4253833950290851	0.30507667900581703	0.027974616604970914	0.29280803807509254	0.139555790586991	0.3584346906398731	0.21168693812797462	0.07985193019566367	0.42696985721840297	0.43278688524590164	0.6882601797990481	0.5256478053939715	0.20560549973558964	0.3498149127445796	0.40126916975145427	0.4535695399259651	0.41623479640401906	0.45996827075621366	0.5607086197778953	-0.030301427815970387	0.11713379164463247	0.03945002644103649	0.3935483870967742	0.004865150713907985	0.08878900052882073	0.4051295610787943	0.16774193548387098	0.552723426758329	0.5271285034373348	0.5820200951877313	0.271602326811211	0.4127445795875198	0.5212057112638816	0.5292966684294025	0.41168693812797463	0.10576414595452142	0.345425700687467	0.12723426758328926	0.4052882072977261	0.17948175568482286	0.5796404019037547
ArgR	0.21993654151242728	0.5734003172924379	-0.13707033315705977	0.6243257535695399	1.0	0.22416710735060813	0.9001586462189318	0.47768376520359596	0.6934426229508197	0.36033844526705444	0.1197778952934955	0.6048122686409307	0.849497620306716	-0.2122157588577472	0.49740877842411424	0.911369645690111	0.3956636700158646	0.39693283976731886	0.3250661025912216	0.08952934955050237	0.4017451084082496	0.022739291380222106	0.34056054997355895	0.17096774193548386	0.35859333685880485	0.30449497620306715	0.40497091485986253	0.24870438921205712	0.6301956636700159	0.5974087784241142	0.71988365943945	0.6419354838709678	0.20872554204124802	0.8739291380222105	0.8155473294553146	0.834690639873083	0.13601269169751454	0.28783712321523003	0.6868323638286621	0.5228450555261767	0.26224219989423586	0.4446853516657853	0.8514013749338974	0.830037017451084	0.8057641459545214	0.7498149127445796	0.8369645690111053	0.6851401374933898	0.4850343733474352	0.312374405076679	0.39270227392913803	0.23839238498149126	0.3797461660497091	0.29450026441036486	0.22897937599153886	0.5480169222633527	0.6115282919090428	0.8340031729243786	0.7986779481755685	0.3835536753040719	0.4701216287678477	0.4741406663141195	0.7519830777366473	0.6609201480698044	0.5927551560021153	0.8040719196192491	0.30312004230565837	0.19682707562136437	0.3644103648863035	0.679323109465891	0.15362242199894235	0.20010576414595452	0.8054468535166579	0.24188260179799048	0.6869381279746166	0.8328926493918561	0.8476996298254892	0.39539925965097833	0.38254891591750395	0.559016393442623	0.7695399259650978	0.40005288207297723	0.3101004759386568	0.525965097831835	0.15616076150185088	0.6075621364357483	0.12823902696985723	0.8958223162347964
BioQ	0.061343204653622425	0.3277630883130619	0.15267054468535166	0.2970386039132734	0.22416710735060813	1.0	0.2989423585404548	0.2157588577472237	0.19941829719725013	0.23421470121628768	-0.010735060814383924	0.09143310417768377	0.3251718667371761	-0.23855103120042306	0.15922792173453199	0.2723955579058699	0.14701216287678476	-0.03114754098360656	0.010893707033315707	-0.09254362771020624	0.04463246959280804	-0.03215230037017451	0.07477525118984664	-0.2288207297726071	0.2840824960338445	-0.09238498149127446	0.18191433104177684	0.10983606557377049	0.1979904812268641	0.05256478053939714	0.23231094658910628	0.11755684822845056	0.030037017451084082	0.26187202538339505	0.23712321523003702	0.32041248016922264	0.17340031729243785	0.3818614489687996	0.22289793759915388	0.15214172395557907	-0.03379164463246959	-0.02310946589106293	0.23654151242728716	0.3216287678476996	0.37890005288207296	0.2876784769962983	0.2498149127445796	0.005235325224748811	0.04933897408778424	-0.023426758328926493	-0.08804865150713909	0.09524061343204654	0.040560549973558964	0.1613960867265997	-0.09428873611845584	0.12136435748281332	0.21602326811211	0.34648334214701215	0.26144896879957696	0.15388683236382866	0.15430988894764675	0.1249074563722898	0.22966684294024325	0.25780010576414597	0.2154944473823374	0.36721311475409835	0.2168164992067689	0.25647805393971446	0.24140666314119513	0.1368588048651507	0.11935483870967742	-0.06546800634584876	0.22295081967213115	0.2382337387625595	0.35473294553146484	0.3079323109465891	0.2338974087784241	0.10629296668429403	0.26589106292966685	0.46456901110523535	0.3040190375462718	0.03886832363828662	0.2502908514013749	-0.08831306187202538	0.15108408249603383	0.059280803807509254	0.09915388683236383	0.2711792702273929
BirA	0.21337916446324695	0.617451084082496	-0.15325224748810154	0.6190904283447911	0.9001586462189318	0.2989423585404548	1.0	0.45097831835007934	0.6632998413537811	0.3571126388154416	0.10074034902168165	0.5913802221047065	0.8771020624008461	-0.2712321523003702	0.5439978847170809	0.9372289793759916	0.3413537810682179	0.4100475938656795	0.3615547329455315	0.1037546271813855	0.4217345319936541	0.08979375991538868	0.3166578529878371	0.19159175039661555	0.4204653622421999	0.2994711792702274	0.4348492860920148	0.3019037546271814	0.5913273400317293	0.6511369645690112	0.7227392913802221	0.5733474352194606	0.28894764674775253	0.8774193548387097	0.7998413537810682	0.8790058170280275	0.1321523003701745	0.38408249603384453	0.734479111581174	0.5355367530407192	0.2811210999471179	0.39460602855631943	0.8712850343733475	0.8859333685880486	0.8093601269169751	0.7011634056054997	0.8622421998942359	0.6946060285563194	0.5524061343204654	0.22802749867794816	0.4178741406663141	0.2600740349021682	0.4277102062400846	0.35954521417239554	0.24161819143310417	0.5764145954521417	0.642993125330513	0.8591750396615547	0.8455314648334215	0.5115811739820201	0.5024854574299312	0.5246959280803808	0.7852987837123215	0.6707562136435749	0.6211528291909043	0.8346377578001057	0.31195134849286094	0.37059756742464306	0.2684822845055526	0.6929666842940243	0.22675832892649392	0.05520888418826018	0.7981491274457959	0.35780010576414595	0.7115811739820201	0.852934955050238	0.9045478582760444	0.4547858276044421	0.3733474352194606	0.600211528291909	0.8132734003172924	0.5017451084082496	0.3748281332628239	0.4873611845584347	0.1710735060814384	0.6386567953463775	0.1950290851401375	0.9287678476996298
CadR-PbrR	0.08603913273400317	0.08016922263352723	0.22030671602326812	0.22374405076679005	0.47768376520359596	0.2157588577472237	0.45097831835007934	1.0	0.42818614489687995	0.34114225277630883	0.07387625594923321	0.10708619777895294	0.39687995769434165	-0.1935483870967742	0.059333685880486514	0.44796404019037545	0.12030671602326812	-0.014383923849814913	0.0491274457958752	-0.09222633527234268	-0.08556319407720783	0.02168164992067689	0.1765732416710735	0.0038603913273400317	0.1558434690639873	0.09735589635113696	0.27958751983077734	0.2157588577472237	0.22009518773135908	0.2827075621364358	0.27747223691168693	0.43855103120042305	-0.03574828133262824	0.46774193548387094	0.3865150713907985	0.34299312533051296	0.2197778952934955	0.21322051824431518	0.32712850343733474	0.4594923320994183	-0.1730830248545743	0.021047065044949763	0.38699101004759384	0.3656795346377578	0.34690639873083023	0.5138551031200423	0.3106292966684294	0.39291380222104705	0.21189846641988366	0.2708090957165521	0.011369645690111053	0.04447382337387626	0.3672659968270756	-0.12924378635642517	-0.01866737176097303	0.41723955579058697	0.21121099947117927	0.33278688524590166	0.335695399259651	0.21285034373347436	0.040084611316763614	0.17556848228450556	0.2569539925965098	0.14695928080380752	0.39899524061343206	0.4195134849286092	0.061501850872554206	-0.020941300898995242	0.17974616604970914	0.2801692226335272	-0.1242199894235854	0.06578529878371232	0.3565309360126917	0.22966684294024325	0.3826017979904812	0.3244843997884717	0.3835536753040719	0.002009518773135907	0.3227392913802221	0.32115282919090427	0.19471179270227393	-0.07879428873611846	0.005393971443680592	0.06044420941300899	0.03347435219460603	0.20153358011634057	0.21041776837652035	0.4150713907985193
CblR	0.19254362771020625	0.39132734003172925	-0.24219989423585406	0.46118455843469064	0.6934426229508197	0.19941829719725013	0.6632998413537811	0.42818614489687995	1.0	0.25785298783712324	0.08503437334743522	0.41126388154415655	0.5948175568482285	-0.12681121099947118	0.30100475938656795	0.6344262295081967	0.3924378635642517	0.2465362242199894	0.09873083024854575	0.09434161819143311	0.3185616076150185	-0.10206240084611316	0.21702802749867794	0.08154415653093601	0.1558434690639873	0.2772607086197779	0.3605499735589635	0.029455314648334216	0.3641988365943945	0.3753569539925965	0.5423585404547858	0.550079323109466	0.035219460602855635	0.6551560021152829	0.5635113696456902	0.5450555261766261	0.11745108408249604	0.26790058170280273	0.4608672659968271	0.5559492332099418	0.1788471708090957	0.2593336858804865	0.5756742464304601	0.5547858276044421	0.5382866208355368	0.44870438921205713	0.598572184029614	0.5943945002644103	0.3862506610259122	0.17641459545214172	0.17842411422527762	0.07821258593336859	0.19386567953463776	0.16874669487043892	0.2901639344262295	0.44061343204653625	0.34881015335801163	0.5994182971972501	0.45251189846641987	0.26266525647805394	0.3222104706504495	0.3072448439978847	0.4829190904283448	0.47958751983077735	0.5232152300370174	0.5434690639873083	0.15013220518244316	0.20951877313590692	0.31110523532522477	0.4167107350608144	-0.024272871496562664	-0.09370703331570597	0.5295081967213114	0.08233738762559492	0.5784769962982549	0.6483342147012163	0.579111581173982	0.13051295610787944	0.2465362242199894	0.4427815970386039	0.4833421470121629	0.14399788471708092	0.10988894764674775	0.23585404547858277	0.16451612903225807	0.46726599682707565	0.15362242199894235	0.6426758328926494
CcpA	-0.08614489687995769	0.5534108937070333	0.11644632469592808	0.1841353781068218	0.36033844526705444	0.23421470121628768	0.3571126388154416	0.34114225277630883	0.25785298783712324	1.0	-0.022104706504494975	0.1742993125330513	0.4136964569011105	-0.15547329455314648	0.2514013749338974	0.3071390798519302	0.16663141195134848	0.05700687466948704	0.19603384452670544	0.06314119513484928	0.25579058699101004	-0.14828133262823903	0.2255420412480169	0.1698572184029614	0.0651507139079852	-0.06869381279746166	0.16060285563194077	0.21470121628767846	0.08730830248545743	0.13046007403490217	0.5799576943416181	0.3020095187731359	-0.21327340031729244	0.4437863564251719	0.3485986250661026	0.4028027498677948	-0.03622421998942359	0.39455314648334217	0.2415653093601269	0.3394500264410365	0.03844526705446853	0.05579058699101005	0.4347964040190375	0.288841882601798	0.3833421470121629	0.47498677948175566	0.4190904283447911	0.3390269698572184	0.24933897408778424	0.2973030142781597	0.0950290851401375	0.10200951877313591	0.3558434690639873	0.08598625066102591	0.30507667900581703	0.21718667371760972	0.5230037017451085	0.41094658910629295	0.38244315177154947	0.085193019566367	0.2570597567424643	0.2391856160761502	0.2529878371232152	0.17001586462189316	0.3421470121628768	0.3239555790586991	0.03865679534637758	0.08810153358011634	0.04452670544685352	0.34341618191433104	0.13992596509783184	-0.23172924378635643	0.36795346377578003	0.0713379164463247	0.2702273929138022	0.30983606557377047	0.45700687466948703	0.15002644103648863	0.19465891062929666	0.43855103120042305	0.34648334214701215	0.08207297726070863	0.17757800105764146	0.24584875727128502	-0.07472236911686939	0.2018508725542041	0.011369645690111053	0.3958223162347964
