	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.22755505364201017	0.06832298136645963	0.3450028232636928	0.00846979107848673	0.19593450028232637	-0.02766798418972332	-0.28063241106719367	0.011857707509881422	0.06832298136645963	0.5561829474872954	0.05138339920948617	0.06041784302653868	0.15527950310559005	-0.18351214003387917	-0.2106154714850367	0.25578769057029926	0.20609824957651043	-0.23771880293619424	0.10333145115753811	0.00282326369282891	-0.35177865612648224	0.34839073969508755	-0.042348955392433656	0.14850367024280067	-0.19254658385093168	-0.3856578204404291	0.14398644833427443	0.30660643704121965	0.35403726708074534	-0.04799548277809147	0.03670242800677583	-0.5923207227555054	0.17108977978543197	0.16092603049124787	0.17334839073969507	-0.033314511575381144	-0.024280067758328628	0.007340485601355167	0.11575381140598531	0.06041784302653868	-0.295313382269904	-0.014116318464144552	0.00282326369282891	0.21739130434782608	0.033314511575381144	0.06719367588932806	0.35742518351214003	-0.011857707509881422	0.10897797854319594	-0.1101072840203275	-0.18125352907961603	0.16431394692264256	-0.46696781479390176	0.033314511575381144	0.019762845849802372	0.32580463015245625	0.012987012987012988	0.11575381140598531	0.1756070016939582	-0.42970073404856013	-0.10107284020327499	0.20722755505364202	0.20045172219085264	-0.06832298136645963	0.30321852060982496	0.12027103331451157	0.13043478260869565	-0.017504234895539244	0.28740824392998304	0.42066629023150764	0.3269339356295878	0.08639186900056466	0.08526256352343309	-0.4839073969508752	-0.018633540372670808	-0.12140033879164314	0.409373235460192	-0.4522868435911914	-0.031055900621118012	0.3269339356295878	0.3178994918125353	-0.06041784302653868	-0.4376058723884811	0.435347261434218	-0.05815923207227555	0.03896103896103896	0.06832298136645963
AgaR	-0.22755505364201017	1.0	0.18690005646527386	0.2670807453416149	0.6702428006775832	0.06380575945793338	0.5471485036702428	0.2987012987012987	0.14963297571993225	0.30547713156408807	-0.21739130434782608	0.24336533032185206	0.5347261434217956	-0.07961603613777526	-0.09542631281761717	0.6284584980237155	0.5866741953698476	0.3709768492377188	0.2264257481648786	0.233201581027668	0.453416149068323	0.19028797289666854	-0.07171089779785432	0.3800112930547713	0.08526256352343309	0.2648221343873518	0.2896668548842462	0.37323546019198195	0.2919254658385093	0.42066629023150764	0.7063805759457933	-0.06267645398080181	0.30886504799548276	0.28402032749858835	0.5448898927159797	0.32806324110671936	0.2015810276679842	0.14624505928853754	0.585544889892716	-0.043478260869565216	0.054771315640880856	-0.233201581027668	0.4409937888198758	0.5471485036702428	0.5313382269904009	0.3495200451722191	0.6702428006775832	0.40146809712027104	0.48842461885940147	0.779785431959345	0.5223037831733484	0.33483907396950874	0.5031055900621118	0.16205533596837945	-0.313382269904009	0.2682100508187465	-0.0016939582156973462	0.5279503105590062	0.5132693393562959	0.25014116318464147	0.5098814229249012	0.0502540937323546	0.5448898927159797	0.06380575945793338	0.42857142857142855	0.5268210050818747	0.12365894974590627	0.2862789384528515	-0.19480519480519481	0.36307171089779783	0.10559006211180125	0.033314511575381144	0.1789949181253529	0.551665725578769	0.6103896103896104	0.010728402032749858	0.6318464144551101	0.2140033879164314	0.313382269904009	0.5911914172783738	0.40711462450592883	0.4330886504799548	-0.010728402032749858	0.3675889328063241	0.3156408808582722	0.3178994918125353	0.251270468661773	0.7312252964426877
AmtR	0.06832298136645963	0.18690005646527386	1.0	-0.2422360248447205	0.11575381140598531	-0.15753811405985318	0.1981931112365895	0.018633540372670808	-0.06832298136645963	-0.4308300395256917	-0.24449463579898362	-0.12704686617730096	0.044607566346696784	-0.053642010163749296	0.32919254658385094	-0.01637492941840768	0.20496894409937888	0.163184641445511	0.019762845849802372	0.020892151326933936	0.07171089779785432	0.11236589497459062	-0.29757199322416716	0.00282326369282891	-0.13269339356295878	0.06945228684359118	0.09203839638622248	-0.16770186335403728	0.032185206098249576	0.12704686617730096	-0.005081874647092038	-0.27837380011293056	0.17334839073969507	0.12704686617730096	-0.09881422924901186	-0.03670242800677583	-0.33483907396950874	-0.23207227555053642	0.05815923207227555	-0.15979672501411632	0.0818746470920384	-0.19706380575945792	0.053642010163749296	0.2264257481648786	-0.0378317334839074	-0.003952569169960474	0.10446075663466968	-0.1789949181253529	-0.020892151326933936	0.08526256352343309	0.5110107284020328	-0.10220214568040654	-0.19028797289666854	0.3416149068322981	-0.5945793337097685	-0.2365894974590627	-0.015245623941276116	-0.043478260869565216	-0.06267645398080181	-0.22755505364201017	0.08639186900056466	0.11914172783738002	-0.057029926595143984	-0.042348955392433656	-0.000564652738565782	0.07171089779785432	0.5482778091473743	-0.427442123094297	-0.20948616600790515	0.1880293619424054	-0.020892151326933936	-0.2648221343873518	0.13721061547148503	-0.29757199322416716	-0.08639186900056466	-0.1541501976284585	0.1225296442687747	-0.1293054771315641	-0.2388481084133258	0.023150762281197064	0.15189158667419536	-0.21964991530208922	-0.3246753246753247	0.2795031055900621	0.383399209486166	-0.011857707509881422	0.07622811970638058	-0.07509881422924901
AraR	0.3450028232636928	0.2670807453416149	-0.2422360248447205	1.0	0.25917560700169395	0.1417278373800113	0.29079616036137773	-0.10784867306606437	-0.043478260869565216	0.251270468661773	0.1259175607001694	0.163184641445511	0.44776962168266515	-0.12478825522303783	-0.49520045172219085	0.25578769057029926	0.5335968379446641	0.22077922077922077	0.10333145115753811	0.36307171089779783	0.028797289666854884	0.06380575945793338	0.35403726708074534	0.2140033879164314	0.13269339356295878	-0.1417278373800113	-0.2523997741389046	0.25352907961603616	0.36984754376058726	0.251270468661773	0.3438735177865613	-0.010728402032749858	-0.04121964991530209	0.19028797289666854	0.47261434217955955	0.2106154714850367	0.3935629587803501	0.2015810276679842	0.25804630152456237	0.09768492377188029	0.0660643704121965	-0.2682100508187465	0.3020892151326934	0.10107284020327499	0.2704686617730096	0.28063241106719367	0.33483907396950874	0.35290796160361376	0.22755505364201017	0.13495200451722192	0.23207227555053642	-0.13946922642574816	0.6070016939582157	-0.5810276679841897	0.05815923207227555	0.3020892151326934	0.26256352343308864	0.3156408808582722	0.26595143986448333	0.2738565782044043	-0.11801242236024845	-0.15979672501411632	0.41953698475437606	0.277244494635799	0.13495200451722192	0.2919254658385093	-0.0502540937323546	0.17108977978543197	-0.05251270468661773	0.3743647656691135	0.17108977978543197	0.6013551665725578	0.024280067758328628	0.6894409937888198	0.019762845849802372	-0.1293054771315641	0.2896668548842462	0.39808018068887635	-0.2795031055900621	0.37323546019198195	0.49745906267645396	0.5369847543760587	0.13721061547148503	-0.09203839638622248	0.10559006211180125	0.28402032749858835	-0.13946922642574816	0.31225296442687744
ArgR	0.00846979107848673	0.6702428006775832	0.11575381140598531	0.25917560700169395	1.0	0.08752117447769622	0.8407679277244494	0.49858836815358554	0.25014116318464147	0.42631281761716544	0.1981931112365895	0.3167701863354037	0.7346132128740824	0.044607566346696784	-0.023150762281197064	0.7199322416713722	0.4771315640880858	0.13156408808582723	0.1417278373800113	0.3382269904009034	0.3450028232636928	0.01637492941840768	0.2715979672501412	0.32128740824393	0.32806324110671936	0.5990965556182948	0.37888198757763975	0.5313382269904009	0.5042348955392434	0.7459062676453981	0.6476566911349521	0.12027103331451157	0.3800112930547713	0.5403726708074534	0.771880293619424	0.5189158667419537	0.18238283455674761	0.018633540372670808	0.629587803500847	0.10446075663466968	-0.010728402032749858	0.043478260869565216	0.6329757199322417	0.655561829474873	0.7752682100508187	0.5561829474872954	0.7120271033314511	0.3856578204404291	0.6228119706380576	0.735742518351214	0.6420101637492942	0.5810276679841897	0.6645962732919255	0.26595143986448333	-0.0818746470920384	0.6431394692264257	0.49632975719932243	0.7549407114624506	0.7312252964426877	0.47035573122529645	0.31225296442687744	-0.04912478825522304	0.6860530773574252	0.4059853190287973	0.31225296442687744	0.7210615471485037	0.18125352907961603	0.43873517786561267	-0.14511575381140598	0.48955392433653305	0.026538678712591756	0.025409373235460192	0.4568040654997177	0.48842461885940147	0.6126482213438735	0.18690005646527386	0.8464144551101073	0.30660643704121965	0.26595143986448333	0.7380011293054771	0.47035573122529645	0.47600225861095424	-0.010728402032749858	0.5324675324675324	0.4184076792772445	0.06719367588932806	0.5211744776962168	0.7470355731225297
BioQ	0.19593450028232637	0.06380575945793338	-0.15753811405985318	0.1417278373800113	0.08752117447769622	1.0	-0.09316770186335403	0.14624505928853754	-0.05928853754940711	0.2885375494071146	0.024280067758328628	0.32580463015245625	0.04912478825522304	0.04121964991530209	-0.1767363071710898	-0.000564652738565782	0.4613212874082439	0.1067193675889328	-0.13495200451722192	0.2365894974590627	0.15640880858272163	-0.019762845849802372	0.13721061547148503	-0.13156408808582723	0.3190287972896669	0.37323546019198195	0.27837380011293056	0.06154714850367024	0.053642010163749296	0.13382269904009034	0.3269339356295878	-0.006211180124223602	-0.3924336533032185	0.15527950310559005	0.28740824392998304	0.15640880858272163	0.47148503670242803	-0.16770186335403728	0.25804630152456237	-0.36984754376058726	-0.06719367588932806	-0.18351214003387917	-0.21739130434782608	0.2456239412761152	0.409373235460192	0.3585544889892716	0.3709768492377188	0.39808018068887635	0.07284020327498589	0.1293054771315641	0.19706380575945792	0.031055900621118012	0.09203839638622248	-0.22868435911914173	-0.06380575945793338	0.13382269904009034	0.391304347826087	0.2896668548842462	0.16092603049124787	0.19367588932806323	0.5053642010163749	0.015245623941276116	0.2727272727272727	-0.11914172783738002	0.39469226425748166	0.4522868435911914	-0.42970073404856013	0.3687182382834557	-0.277244494635799	0.08074534161490683	0.1225296442687747	0.15302089215132694	0.1281761716544325	0.2015810276679842	-0.11575381140598531	-0.19480519480519481	0.15189158667419536	0.29757199322416716	0.25691699604743085	0.07848673066064371	0.22077922077922077	0.4082439299830604	-0.1259175607001694	-0.2456239412761152	0.12027103331451157	0.0942970073404856	-0.2964426877470356	0.3935629587803501
BirA	-0.02766798418972332	0.5471485036702428	0.1981931112365895	0.29079616036137773	0.8407679277244494	-0.09316770186335403	1.0	0.4872953133822699	0.08074534161490683	0.2490118577075099	0.03557312252964427	0.2704686617730096	0.6600790513833992	0.06380575945793338	-0.011857707509881422	0.6239412761151891	0.4127611518915867	-0.057029926595143984	0.2795031055900621	0.18125352907961603	0.20609824957651043	0.18125352907961603	0.019762845849802372	0.3687182382834557	0.23433088650479955	0.35064935064935066	0.47035573122529645	0.42970073404856013	0.6182947487295314	0.5324675324675324	0.5324675324675324	0.22077922077922077	0.6058723884810842	0.47374364765669114	0.7120271033314511	0.44551101072840205	0.2106154714850367	-0.11688311688311688	0.5347261434217956	0.30773574251835123	0.17221908526256352	-0.011857707509881422	0.7865612648221344	0.7029926595143986	0.6612083568605308	0.5200451722190853	0.6804065499717674	0.23094297007340486	0.5121400338791643	0.6487859966120836	0.6984754376058724	0.3201581027667984	0.5166572557876906	0.1981931112365895	-0.018633540372670808	0.6081309994353472	0.5110107284020328	0.6318464144551101	0.49407114624505927	0.26595143986448333	0.032185206098249576	-0.04121964991530209	0.4579333709768492	0.45454545454545453	0.40711462450592883	0.5211744776962168	0.39695087521174477	0.1281761716544325	0.025409373235460192	0.5403726708074534	-0.23997741389045738	0.08074534161490683	0.3416149068322981	0.3743647656691135	0.6950875211744777	0.21626199887069453	0.7267080745341615	0.27498588368153587	0.17221908526256352	0.6578204404291361	0.5076228119706381	0.3495200451722191	0.14398644833427443	0.6160361377752682	0.46357989836250707	0.21852060982495766	0.5765104460756635	0.6137775268210051
CadR-PbrR	-0.28063241106719367	0.2987012987012987	0.018633540372670808	-0.10784867306606437	0.49858836815358554	0.14624505928853754	0.4872953133822699	1.0	0.19028797289666854	0.3924336533032185	-0.30773574251835123	0.3337097684923772	0.5527950310559007	0.2264257481648786	0.16883116883116883	0.435347261434218	0.000564652738565782	0.12478825522303783	0.24449463579898362	-0.15640880858272163	0.028797289666854884	0.27837380011293056	-0.1101072840203275	0.1259175607001694	0.19367588932806323	0.5810276679841897	0.5640880858272163	0.21964991530208922	0.14285714285714285	0.12704686617730096	0.39920948616600793	-0.20045172219085264	0.29079616036137773	0.053642010163749296	0.2140033879164314	-0.006211180124223602	0.2264257481648786	-0.3924336533032185	0.33483907396950874	-0.29079616036137773	-0.22529644268774704	0.36645962732919257	0.07735742518351214	0.48616600790513836	0.22755505364201017	0.3935629587803501	0.35403726708074534	-0.034443817052512704	0.251270468661773	0.17221908526256352	0.39808018068887635	0.46357989836250707	0.19593450028232637	0.2761151891586674	-0.21287408243929984	0.4782608695652174	0.26256352343308864	0.2941840767927724	0.16544325239977414	-0.0818746470920384	0.3359683794466403	-0.045736871823828344	0.3145115753811406	0.22077922077922077	0.09994353472614342	0.28176171654432525	0.04009034443817053	0.02766798418972332	-0.2388481084133258	0.05815923207227555	-0.515527950310559	-0.11236589497459062	0.20045172219085264	0.25691699604743085	0.5471485036702428	-0.24110671936758893	0.45454545454545453	-0.1383399209486166	0.5539243365330322	0.43873517786561267	-0.06380575945793338	0.1767363071710898	0.06380575945793338	0.55957086391869	-0.10220214568040654	0.005081874647092038	0.24110671936758893	0.3201581027667984
CblR	0.011857707509881422	0.14963297571993225	-0.06832298136645963	-0.043478260869565216	0.25014116318464147	-0.05928853754940711	0.08074534161490683	0.19028797289666854	1.0	0.23207227555053642	0.11349520045172219	0.26030491247882553	0.19028797289666854	-0.10220214568040654	-0.11462450592885376	0.18238283455674761	0.1067193675889328	0.34839073969508755	-0.22190852625635235	0.06267645398080181	0.06267645398080181	-0.1383399209486166	0.25804630152456237	0.1767363071710898	0.365330321852061	0.12140033879164314	-0.11236589497459062	0.0502540937323546	0.14850367024280067	0.16431394692264256	0.5042348955392434	-0.3178994918125353	0.034443817052512704	0.19367588932806323	0.21513269339356295	0.21174477696216826	-0.2636928289102202	-0.10784867306606437	0.15753811405985318	0.054771315640880856	0.17334839073969507	0.4138904573687182	0.02766798418972332	-0.10897797854319594	-0.042348955392433656	-0.09090909090909091	0.189158667419537	-0.16431394692264256	-0.18125352907961603	0.19480519480519481	-0.14737436476566912	0.2919254658385093	0.2648221343873518	0.21852060982495766	0.05138339920948617	0.3178994918125353	-0.055900621118012424	0.2919254658385093	0.25691699604743085	0.06267645398080181	0.1880293619424054	0.054771315640880856	0.4839073969508752	0.39469226425748166	-0.21174477696216826	0.2490118577075099	0.04912478825522304	0.015245623941276116	0.0942970073404856	0.1225296442687747	0.1767363071710898	0.05928853754940711	0.2964426877470356	0.2795031055900621	0.16431394692264256	0.1259175607001694	0.07058159232072275	0.010728402032749858	-0.25014116318464147	0.30660643704121965	-0.16431394692264256	0.28176171654432525	0.2941840767927724	-0.06719367588932806	-0.15640880858272163	-0.19141727837380013	0.26030491247882553	0.2715979672501412
CcpA	0.06832298136645963	0.30547713156408807	-0.4308300395256917	0.251270468661773	0.42631281761716544	0.2885375494071146	0.2490118577075099	0.3924336533032185	0.23207227555053642	1.0	-0.000564652738565782	0.22755505364201017	0.2456239412761152	-0.20609824957651043	-0.3890457368718238	0.4647092038396386	0.11462450592885376	0.18690005646527386	0.16544325239977414	-0.09090909090909091	0.15866741953698477	0.25804630152456237	0.39808018068887635	-0.003952569169960474	0.19480519480519481	0.26595143986448333	-0.04912478825522304	0.3879164313946923	0.2930547713156409	0.24110671936758893	0.3427442123094297	-0.0942970073404856	0.055900621118012424	-0.025409373235460192	0.453416149068323	0.21852060982495766	0.409373235460192	-0.014116318464144552	0.1507622811970638	-0.08300395256916997	-0.13946922642574816	0.24110671936758893	0.14511575381140598	0.13156408808582723	0.3269339356295878	0.3382269904009034	0.38114059853190285	0.2727272727272727	0.3958215697346132	0.25804630152456237	0.053642010163749296	0.3427442123094297	0.4500282326369283	-0.29757199322416716	0.07735742518351214	0.32128740824393	0.19367588932806323	0.21852060982495766	0.32241671372106157	0.19593450028232637	0.16205533596837945	-0.21739130434782608	0.5878035008469791	0.03557312252964427	0.07058159232072275	0.37549407114624506	-0.4647092038396386	0.5618294748729531	-0.22868435911914173	0.25578769057029926	-0.04121964991530209	-0.11801242236024845	-0.0502540937323546	0.753811405985319	0.32806324110671936	-0.08413325804630152	0.17334839073969507	0.16205533596837945	0.3642010163749294	0.453416149068323	0.0942970073404856	0.515527950310559	0.3608130999435347	-0.04799548277809147	0.1767363071710898	0.019762845849802372	0.18238283455674761	0.4624505928853755
