	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	-0.07203331020124913	-0.12960017082154487	-0.1728233598462606	-0.11584369828644638	-0.012528692681364436	-0.02084022847381626	0.14684247050659263	0.05450274915923771	-0.25444402925318954	-0.05541557678962259	0.15084610046442107	-0.13142048790903751	-0.12867666684460577	0.08806384455239417	-0.0858805316820584	-0.004062349863876581	0.13633694549725084	0.03704158436982864	-0.007569529706934287	-0.044787273794907385	-0.05587999786473069	0.2580366198686809	0.04915923770885603	0.11886510436128757	-0.013996690332568194	-0.04920728126834997	-0.11795761490417979	-0.06754390647520418	0.06193348636096728	-0.00282389366358832	-0.07897293546148508	-0.1486574494208082	-0.11358565099023114	-0.10122777985373405	-0.056888912614103455	-0.10622964821438104	-0.08440719585757754	0.06063097208135376	-0.1520578657983238	0.03699887898361181	0.09817968291250734	-0.15788181284364491	-0.13637431271019057	-0.11935087812950408	-0.03585650990231143	-0.14276410612288476	-0.03292585277318102	0.008231463193295254	0.1524955960070464	-0.08976672182779052	-0.06608658517055464	0.1391127956013452	0.09839854801686863	-0.07182512144344205	0.0305717183579779	-0.19082368013665724	-0.12648267762771578	-0.19736828057438743	0.12516414882827095	0.09406928948913681	0.008231463193295254	-0.04125340308546416	-0.002653072118720974	0.028078791437570062	-0.20528479154433352	0.05046709016174665	-0.031553942240965145	-0.09237175038701756	0.06875567180910692	-0.001494688517589281	-0.03335824480862649	-0.0075802060534884965	0.03810388085197246	-0.12503069449634335	0.07290877061869429	-0.16613462873004858	0.01462125660598943	-0.07654940479367961	0.05436395665403299	-0.1120162280467624	-0.006587305823947045	-0.1404953824801153	0.13608071317994982	-0.07427534297763305	-0.0826242459830246	-0.12409651417285004	-0.002210003736721294
AgaR	-0.07203331020124913	1.0	0.30133454331927617	0.09095713446858485	0.5487161693268563	0.056846207227886615	0.35994768590188436	0.11507500133454332	0.0703624619655154	0.21602519617786795	-0.1788501574761117	0.07942668019003897	0.4038594992793466	-0.013436182138472214	0.16341749853200235	0.40516201355896014	0.2770031495222335	0.0671061762664816	0.10112101638819196	-0.15650990231142903	0.07976298510649656	0.04951689531842204	-0.1630224737094966	0.2026744248118294	-0.008594458976138366	0.24434420541290772	0.027966689798750867	0.27673090268510114	0.180755885336038	0.19948219719212085	0.2517856189611915	0.1859979714941547	0.13039022046655635	0.33848289115464686	0.4423530667805477	0.3132066406875567	0.153547216142636	0.031516575028025406	0.29112261784017507	0.09804089040730263	0.15069663161266214	-0.059344472321571556	0.36176800298937706	0.5163027811882773	0.392905567714728	0.23607537500667272	0.4111834730155341	0.3548070250360327	0.18175412373885658	0.042278332354668234	0.10640580793252549	0.19835050445737468	0.12725137457961885	0.2507767042118187	0.014738696418085732	0.2001174398120963	0.3278652645064859	0.46882506806170926	0.4614850798056905	0.23696684994394918	0.258346233918753	0.20806597982170502	0.19005498318475417	0.31078844819302837	0.2031441840602146	0.47429669567074145	0.32348796241926014	0.12522820690759623	0.08346233918753003	0.2696738376127689	-0.1429349276677521	0.03254150429722949	0.33412694176052954	0.04258260823146319	0.39711738643036354	0.1687503336358298	0.4006459189665297	0.10838093204505418	0.1179629530774569	0.2657823092937597	0.2549458175412374	0.16024128543212512	0.06356162921048417	0.1829658890727593	0.2918646239256926	0.2777077883948113	0.18374526237121658	0.49034858271499493
AmtR	-0.12960017082154487	0.30133454331927617	1.0	0.02254310574921262	0.43518923824267336	0.10411573159664762	0.37648534671435435	0.09302834570010142	0.21232050392355736	0.260695030160679	-0.18628623285111834	0.05539422409651417	0.2690492713393477	0.19091442908236803	0.24663961992206268	0.36834463246676985	0.13475150803395078	0.2238990017615972	0.09224363422836705	-0.10756419153365718	0.07219345539956228	-0.026423957721667644	-0.11987935728393743	0.28872577803875515	0.03498104948486628	0.07605295467890888	0.18931297709923664	0.2714354347942134	0.33388672396305985	0.08083061976191747	0.2507446751721561	0.12239897507073079	0.13342230288795173	0.4240644851331874	0.395099556931618	0.30099290022954145	0.1562216409544654	0.024278012064271607	0.2893983878716703	0.06927347461698606	0.1564725350984893	-0.10593604868414029	0.3649975978220253	0.3694442961618534	0.3563444189398388	0.23971067100838092	0.36188544280147333	0.2666844605775903	0.13404153098809587	7.473442587946405e-05	0.18627555650456415	0.3210430790583462	0.10695563978006727	0.01986334276410612	-0.06625206854214488	-0.032429402658410295	0.4149148561362302	0.4369935408103347	0.4314098115624833	0.09261196818448726	0.16128756739443761	0.15454011637217743	0.142112848983078	0.3166604387978434	0.198724176586772	0.38672930123311805	0.0893770351785619	0.06189611914802755	0.28675599209950353	0.28333956120215664	-0.09598035552234026	0.11052153952917311	0.3926813644370896	-0.042326375914162176	0.4630064591896653	0.14785672342924253	0.37769711204825707	0.11920140927774515	0.02331180270111568	0.25536219505685154	0.30516735173223725	0.08869908717236961	0.15315219132013025	0.15945657396039076	0.018785031762130998	0.014653285645652058	0.2072278866171996	0.3483104681577964
AraR	-0.1728233598462606	0.09095713446858485	0.02254310574921262	1.0	0.21348956387124327	-0.05436395665403299	0.2366625740671542	0.045609352479581484	0.14588159931671382	0.20731329738963328	0.023941707147814018	0.007185181230982758	0.3509795547963487	-0.12429402658410292	0.09787540703571238	0.15066460257299952	-0.08688944643143116	-0.12518016334810228	-0.050157476111674586	-0.01970853573907009	0.07194256125553836	0.0014413067848182352	-0.03647573800245556	0.06012384562002883	0.03514653285645652	0.46107937863663057	0.16037473976405275	0.09691453584583355	0.1488976672182779	0.03676399935941921	0.31812309827577	0.10824213953984946	0.076773608071318	0.42305557038381464	0.28707094432285274	0.011007313297389633	0.027507606896919876	0.1270645385149202	0.12323706827523621	0.17122190786312924	-0.24335130518336626	0.06867559920995035	0.2310521539529173	0.3124592964287621	0.30542358404953823	0.014968237869001227	0.307863129237175	0.14594565739603907	0.09127742486521112	0.02715528746063097	0.10194843324614317	-0.07792131532589548	-0.031196284631399136	0.18385202583675866	0.1163401484012171	0.1954305236747985	0.11903058773287781	0.3470346447445684	0.3630117973629424	-0.007745689425078738	-0.010681684727486254	-0.04310041103934234	0.1847221480809267	0.13122297549778467	-0.035749746436769335	0.19249452837239098	0.27670954999199276	-0.06765066994074628	-0.0007366679122404313	0.009203010729728288	-0.1341909998398548	0.0359419206747451	0.27732877809213685	0.0361768002989377	0.21701809640740938	0.19072225484439226	0.1550739336998879	0.09576149041797896	0.018566166657769712	0.010286659904980516	0.26305984092243634	0.1702610366732504	0.24640474029787007	-0.03947045321091123	0.17028238936635884	0.2702076549404794	-0.006048150322959483	0.17557251908396945
ArgR	-0.11584369828644638	0.5487161693268563	0.43518923824267336	0.21348956387124327	1.0	0.0669673837612769	0.5793626221107138	0.1984839587893023	0.0923023541344152	0.37043185821811775	-0.15583729247851386	-0.027315432658944108	0.5353120162280468	0.09975978220253029	0.272946137831634	0.6966689798750867	0.22856456520578658	0.10859979714941546	-0.006101532055730529	-0.2325415042972295	0.09006032135803128	0.022943468744995463	-0.20380077937329846	0.3351251801633481	0.05392088827203331	0.23435114503816795	0.2487962419260129	0.39922062670154274	0.4350984892969626	0.25396893183152724	0.4844392248972402	0.3136497090695564	0.16680723856296376	0.5860086478407089	0.7297015961138098	0.49193402017829496	0.20831687396572893	0.034004163775156145	0.4472535098489297	0.13414829445363796	0.07799604975177495	-0.10997170768163135	0.6222334916991406	0.6896492820156942	0.5495862915710243	0.4480061922810014	0.6965728927560989	0.4533069983451663	0.32265520738803183	0.04606843538141248	0.25033363582981905	0.39388779159771525	0.19436288901937757	0.11970319756579298	0.00904286553141515	0.14086371643623552	0.6543052367479848	0.8033310201249133	0.6869001227779854	0.21234185661666577	0.35025890140393956	0.3117333048630759	0.31069769924731755	0.47828964928201567	0.29329525436395665	0.6250413708428976	0.23729247851385257	0.12349863876581434	0.13846153846153847	0.3813270698766882	-0.17075748678802113	0.1152938664389046	0.427310094485667	0.030635776437303155	0.5503282976565419	0.3080499653018737	0.6669940746276624	0.29878289649282014	0.1137724870549298	0.31185074467517215	0.5293386003309667	0.22203597928788768	0.09270271713019805	0.2824267335717717	0.3324347408316874	0.406635349383441	0.3075802060534885	0.6971440772967491
BioQ	-0.012528692681364436	0.056846207227886615	0.10411573159664762	-0.05436395665403299	0.0669673837612769	1.0	-0.10766561682592217	0.01451449314044734	0.0963807185181231	-0.12908770618694282	0.11487215075001335	0.15166817914909517	-0.06907062403245609	0.020226338546949232	0.13258954785672342	-0.07207601558746597	0.3197939465115038	0.12150216196017723	0.004553461805370202	0.20415843698286446	-0.028409758180750547	0.07962419260129183	0.0422409651417285	0.32862862328511183	0.11675118774355416	0.010911226178401751	-0.06823786900122777	0.1593925158810655	0.10287193722308226	0.23590455346180536	0.05579458709229702	0.06828591256072172	0.013639032723002188	-0.08107617573266428	-0.14985320023487964	0.13875513799177921	-0.0640580793252549	0.018112421929215822	0.25675545828217583	-0.05901350557839107	0.20347515080339507	-0.03707361340949127	-0.08079859072225484	-0.04031388458869375	0.012576736240858378	-0.015763625687289808	-0.13438317407783057	-0.019676506699407462	-0.07590882400042705	0.2529173116959377	0.239203544547056	0.011279560134521966	0.13479421342016762	0.0035392088827203333	0.09192868200501789	-0.007051726899055143	0.044931404473389204	0.0020018149789142155	0.06443175145465221	0.15584796882506807	0.2051299845192975	0.22944002562323174	0.1906528585917899	0.08547483051299845	0.02725671275289596	-0.028890193775689958	0.08870976351892382	-0.11408743927827897	-0.062483318208509046	0.021923877649068488	-0.0648854961832061	0.030587732877809214	0.18615277851919074	0.09426680190038969	0.11542732077083222	0.055976084983718574	-0.039571878503176214	0.16257940532749693	0.05938183953451129	0.11366572358938772	0.10440933112688838	0.10201249132546843	0.14485133187423263	0.17063470880264772	0.12535632306624672	-0.06057759034858271	0.21814978914215555	0.010510863182618908
BirA	-0.02084022847381626	0.35994768590188436	0.37648534671435435	0.2366625740671542	0.5793626221107138	-0.10766561682592217	1.0	0.048102279399989324	0.03673197031975658	0.2949554262531362	-0.29420808199434156	0.06508834676773607	0.5984519297496397	0.1044306838199968	0.35525543159130946	0.5841616398868307	0.0872791330806598	0.006181604654887098	-0.19459243047029307	-0.340377942668019	0.15190305877328777	0.05296535525543159	-0.2573052901297176	0.17131265680884	0.08865638178615277	0.19319916724496877	0.1008220786846741	0.28403886190145733	0.1786206160251962	0.17222014626594778	0.5279133080659798	0.19005498318475417	0.23460203918219186	0.5261677254043666	0.5861421021726365	0.21778679335931245	0.37545507927187316	0.020680083275503122	0.3851919073293119	-0.017391768536806705	-0.016713820530614425	0.017146212566059894	0.6779907115784979	0.6539369027918647	0.4401644157369348	0.46190145732130466	0.7567180910692362	0.3580099290022954	0.29678641968718306	-0.1092136870762825	0.10946458122030642	0.32645598676133025	0.24219292158223457	0.08001387925052048	-0.128228260289329	0.12664816099930604	0.5138258687877009	0.7000800725991566	0.6479795014146159	0.08151390594138685	0.22780654460043773	0.10803395078204238	0.263604334596701	0.43918753002722466	0.16179469385576256	0.6416697806010783	0.264623925692628	0.07706720760155875	0.26169326856349756	0.4110873858965462	-0.32682965889072757	0.04980515667538568	0.40014946885175895	0.009907649602306091	0.5443762344525703	0.3274488869908717	0.6536860086478407	0.13901137030908023	0.31184006832861794	0.23689745369134682	0.4597288207975231	0.20298937703517855	0.016233384935675013	0.3658250146799765	0.12888485560241286	0.33729781668712966	-0.04816633747931458	0.5727966689798751
CadR-PbrR	0.14684247050659263	0.11507500133454332	0.09302834570010142	0.045609352479581484	0.1984839587893023	0.01451449314044734	0.048102279399989324	1.0	0.075956867559921	-0.06124486200822079	0.11829925799391448	-0.0486574494208082	0.13676933753269632	-0.0934714140821011	0.13917685368067048	0.14836918806384455	0.1349917258314205	0.044109325788715105	0.2007953878182886	0.0974430150002669	0.038498905674478195	-0.07699781134895639	0.08535205252762505	0.017183579778999626	0.13730849303368386	0.21751988469545722	-0.062472641861954836	0.07709389846794427	0.13684407195857579	0.21390060321358031	0.06151177067207601	0.22364276944429617	-0.07854588159931672	0.15423050232210536	0.07863129237175039	0.21499492873538675	-0.05814338333422303	0.14500080072599156	0.05299204612181711	0.10646452783857364	-0.050387017562590085	-0.04244381572625847	0.04260929909784872	0.0401430630438264	0.27575401697539104	0.14631399135215928	-0.011904126407943201	0.11172262851652165	0.09017776117012759	0.06891581700742005	0.12595419847328243	0.04219825975551166	0.06167725404366626	0.007238562963753804	-0.013905941386857417	0.12382426733571772	0.05471093791704479	0.11499492873538675	0.023279773661453052	0.19532909838253348	0.04914322318902471	0.061170127582341326	0.2812736881439172	0.1576362568728981	0.22002348796241927	-0.02290610153205573	0.09694656488549619	0.08828270965675546	0.034863609672769975	0.04838520258367587	0.034858271499492874	0.04073560027758501	0.11651096994608445	0.12306090855709176	0.11795761490417979	0.05226071638285379	0.03947579138418833	0.34850264239577217	-0.06316660438797843	0.207708322212139	0.24512891688464208	0.11305183366252068	0.09620455879997865	0.09846794426947099	0.2266107937863663	0.2225270912293813	0.08319009235039769	0.20410505525009343
CblR	0.05450274915923771	0.0703624619655154	0.21232050392355736	0.14588159931671382	0.0923023541344152	0.0963807185181231	0.03673197031975658	0.075956867559921	1.0	-0.16706880905354188	-0.11795227673090268	-0.018747664549191266	0.07694442961618535	-0.04278545881599317	0.004681577964020712	0.01660705706507233	0.06909731489884162	-0.11385255965408637	0.05675012010889873	0.15387284471253937	-0.05221801099663695	-0.2161106069503016	0.03059307105108632	0.09121336678588587	-0.06583035285325362	0.00427053862168366	0.1438744461645225	0.07781989003363049	0.05899215288528266	0.0698927027171302	-0.02973362515347248	0.24431751454652217	0.0504083702556985	0.04984252388832541	0.18746063097208135	0.006768803715368601	0.018341963380131318	-0.07230021886510436	0.09382907169166711	0.02266054556130892	-0.19467784124272675	-0.1529920461218171	-0.09154433352906635	0.12505738536272887	0.005434260396092457	-0.040004270538621683	0.0998772220146266	0.008695884268403353	-0.2357230555703838	0.15498318475417713	-0.024742433139379703	-0.3204291891314792	-0.17121656968985213	-0.04950621897186783	-0.07433940105695831	0.022959483264826778	-0.008498371857150484	0.05254897773981743	0.11449847862061603	-0.11530454278545882	0.06208295521272621	0.07380024555597074	-0.1564725350984893	0.18173277104574814	-0.03887791597715262	-0.01966049217957615	-0.06083916083916084	-0.09318315272513746	-0.017685368067047458	-0.038242673357177175	0.017365077670421183	0.10195910959269738	0.09095713446858485	-0.06547803341696472	0.1978967597288208	0.07258848022206801	-0.0009288421502161961	-0.07122724603640634	-0.04910585597608498	-0.051951102332781725	-0.0065606149575615225	0.07156888912614104	0.04199007099770458	-0.14640474029787007	0.0001708215448673464	0.04265734265734266	0.008925425719318848	-0.032429402658410295
CcpA	-0.25444402925318954	0.21602519617786795	0.260695030160679	0.20731329738963328	0.37043185821811775	-0.12908770618694282	0.2949554262531362	-0.06124486200822079	-0.16706880905354188	1.0	-0.1821277958682539	-0.06667912240431324	0.40476165056317726	-0.005311482410719052	0.11424758447659211	0.30333102012491325	-0.003880851972455026	-0.043415363262691506	-0.12295948326482678	-0.17424865211124754	0.07233224790476699	-0.08708162066940693	-0.2604174451502696	0.00916030534351145	0.04595099556931618	0.09314044733892062	0.18456200288261357	0.10998238402818555	0.15516468264559868	0.015395291731169594	0.17576469332194522	0.035557572198793574	0.14533710564244914	0.3010249292692041	0.4584316446911867	0.26784818235199914	0.19164042064805423	0.17737682165163082	0.16215235146532855	0.16718624886563818	-0.13385469492339722	-0.09921528852826562	0.3963913948646773	0.35222334916991405	0.30650723322479045	0.243847755298137	0.3720119575081407	0.17184113596327336	0.34886563817861527	0.05697966155981423	0.08965462018897133	0.21312656808840014	0.06625206854214488	0.1606843538141248	0.08099076496023061	0.0507606896919874	0.32768910478834146	0.46218438050499117	0.43438317407783056	0.1749105855976085	0.18350504457374686	0.0062616772540436665	0.1690973148988416	0.27462766241392195	0.10342710724390114	0.3850371003042759	0.11158383601131693	0.06374846527518284	0.1185608284844926	0.3102172636523782	-0.012950408370255698	0.0913681738109219	0.2210003736721294	-0.048059574013772484	0.23398814925532482	0.1451822986174131	0.3516841936689265	0.13673730849303367	0.047659211017989644	0.15626434634068223	0.32924251321197884	0.018096407409384507	-0.02512144344205413	0.11593444723215715	0.0544920728126835	0.13415897080019218	0.2015107030374206	0.19390914429082368
