	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
AcnR	1.0	0.28028522810145046	-0.47313831942306134	-0.130702536261243	-0.03460011344299489	0.3055668098209221	-0.019852524106636415	0.22842557329227778	0.09440077789482214	-0.15906328498500932	-0.12033060529940848	0.1399400372741269	0.021635199740701726	-0.14301920427842152	0.10363827890770602	0.004618750506441942	-0.29957053723361154	-0.1765659184831051	0.5643788996029495	0.07916700429462767	-0.006077303297949923	0.10655538449072198	-0.30443237987197147	-0.07414310023498906	0.09034924236285552	0.30281176565918483	-0.06717445912000648	-0.02925208654079896	-0.2420387326796856	-0.15290495097642007	0.049347702779353374	-0.28579531642492506	0.027793533749290982	-0.10850012154606596	-0.25143829511384813	-0.22777732760716313	-0.18321043675553034	-0.13831942306134024	-0.10347621748642735	0.19001701644923427	-0.31869378494449396	-0.07868082003079167	-0.019852524106636415	-0.18872052507900494	-0.24803500526699618	-0.2843367636334171	-0.24787294384571754	-0.21448829106231262	-0.10412446317154202	0.16181832914674663	0.016773357102341787	-0.06636415201361316	-0.12146503524835912	0.08094967992869298	0.07835669718823435	0.052102746941090676	-0.23782513572644032	0.07511546876266105	-0.02422818248116036	-0.367474272749372	-0.2757475083056478	-0.001539583502147314	-0.22226723928368852	0.15160845960619074	-0.14885341544445344	-0.23490803014342435	-0.33668260270642575	-0.21157118547929665	-0.0290900251195203	-0.007211733246900575	-0.289198606271777	-0.19471679766631553	-0.17980714690867838	-0.24673851389676688	-0.011425330200145856	-0.020500769791751073	-0.07916700429462767	0.1178996839802285	0.03119682359614294	-0.2689409286119439	-0.1362126245847176	-0.06296086216676121	-0.0002430921319179969	-0.24122842557329227	0.2929260189611863	-0.005104934770277935	0.03703103476217486	-0.13248521189530832
AgaR	0.28028522810145046	1.0	-0.29584312454420225	0.1344299489506523	0.29649137022931693	0.2783404910461065	0.1339437646868163	0.11093104286524592	0.4673041082570294	0.3569402803662588	-0.11546876266104854	-0.10768981443967264	0.2823920265780731	-0.2924398346973503	0.05080625557086136	0.26213434891824	-0.09342840936715015	0.11952029819301516	0.1916376306620209	-0.04416173729843611	-0.07365691597115306	-0.31010452961672474	-0.23004618750506442	-0.09942468195446075	0.04805121140912406	0.26926505145450125	0.047078842881452074	0.07965318855846366	0.12681306215055507	-0.16570780325743456	0.06976744186046512	-0.12097885098452313	0.2713718499311239	-0.10120735758852605	0.26602382302892796	0.1545255651892067	0.02876590227696297	-0.3267968560084272	0.12357183372498177	-0.16457337330848393	0.1362126245847176	-0.14545012559760148	0.5227291143343327	0.0867838910947249	-0.1261648164654404	0.09213191799692083	0.2420387326796856	-0.20249574588769143	-0.2545174621181428	0.06117818653269589	0.41106879507333277	-0.08808038246495421	-0.027631472328012316	-0.07527753018393972	0.02212138400453772	0.11611700834616319	0.0927801636820355	0.3593712016854388	0.25873105907138805	-0.5073332793128595	-0.006239364719228588	-0.01823190989384977	0.013208005834211166	-0.035734543391945546	-0.004780811927720606	0.2428490397860789	-0.44267077222267237	-0.1554979337168787	0.057450773843286604	0.10023498906085407	0.08062555708613564	0.16651811036382788	-0.0927801636820355	-0.24220079410096426	0.2425249169435216	-0.16133214488291062	0.026983226642897658	-0.052102746941090676	0.21935013370067255	0.16959727736812252	0.04513410582610809	0.1760797342192691	0.4319747184182805	-0.2985981687059395	0.22210517786240985	0.2509521108500122	-0.21983631796450856	0.2054128514707074
AmtR	-0.47313831942306134	-0.29584312454420225	1.0	0.2682926829268293	0.28304027226318773	-0.1971477189854955	0.34608216514058826	0.019690462685357752	0.02601085811522567	0.24446965399886558	-0.16246657483186128	-0.14382951138481484	0.11498257839721254	0.21659508953893525	0.062474677902925206	0.029738270804634957	0.4128514707073981	-0.1078518758609513	-0.37282229965156793	-0.210922939794182	0.10185560327364071	0.11417227129081922	0.025524673851389675	0.16376306620209058	-0.12973016773357102	-0.2823920265780731	0.24544202252653755	0.2217810550198525	0.40717932096264486	0.3780082651324852	0.020500769791751073	0.2545174621181428	0.0973178834778381	0.27542338546309053	0.2224293007049672	0.16019771493395998	0.21238149258568997	0.25824487480755204	0.16003565351268131	-0.00316019771493396	0.14463981849120816	0.1514463981849121	-0.011425330200145856	0.46065958998460416	0.2943845717526943	0.20233368446641278	0.2332874159306377	0.22307754639008184	0.36099181589822543	-0.2634308402884693	0.09472490073737946	-0.1619803905680253	0.22583259055181915	-0.038813710396240174	-0.1509602139210761	-0.052588931204926664	0.3754152823920266	0.027631472328012316	0.05583015963049996	0.4339194554736245	0.45839073008670284	-0.05064419414958269	0.25241066364152015	-0.01337006725548983	0.07430516165626773	0.1504740296572401	0.29211571185479296	0.2525727250627988	0.12000648245685115	0.12130297382708047	0.31512843367636334	0.4392674823758204	0.3284174702212138	0.4527185803419496	0.1279474920995057	0.2788266753099425	0.07932906571590632	-0.06928125759662912	0.16003565351268131	0.29260189611862897	0.3543472976258002	0.07414310023498906	-0.01191151446398185	0.496961348351025	-0.09910055911190341	0.19179969208329958	0.33846527834049106	0.1802933311725144
AraR	-0.130702536261243	0.1344299489506523	0.2682926829268293	1.0	0.3016773357102342	0.003970504821327283	0.5068470950490236	0.28336439510574507	0.14739486265294546	0.392107608783729	-0.19374442913864354	0.29033303622072765	0.4976095940361397	0.07706020581800502	-0.3016773357102342	0.34980957782999755	0.6123490803014342	-0.15322907381897738	-0.13459201037193097	-0.22664289765821247	0.0717121789158091	0.21724333522404993	-0.24576614536909488	0.11579288550360586	0.0812738027712503	-0.05161656267725468	0.14139859006563488	0.40977230370310347	0.3405720768171137	0.4394295437970991	0.22502228344542582	0.5045782351511223	0.0918077951543635	0.3870837047240904	0.4536909488696216	0.2634308402884693	0.3455959808767523	0.2738027712503039	0.4170650676606434	0.01790778705129244	0.42354752451178995	0.10023498906085407	0.2875779920589904	0.526942711287578	0.36698808848553605	0.4741106879507333	0.4355400696864111	0.1880722793938903	0.3891905032007131	0.16894903168300787	0.24220079410096426	-0.2548415849607001	0.36455716716635606	-0.16927315452556518	0.11433433271209789	-0.11579288550360586	0.37784620371120653	0.37006725548983066	0.5446074062069525	0.12746130783566972	0.4160926991329714	0.044647921562272104	0.4275990600437566	0.38692164330281176	0.3185317235232153	0.5612997325986548	0.3752532209707479	0.08872862815006888	0.11952029819301516	0.24706263673932422	0.4131755935499554	0.01758366420873511	0.5233773600194473	0.2994084758123329	0.1926099991896929	0.5165707803257434	0.16246657483186128	0.0579369581071226	0.5040920508872863	0.42678875293736324	0.34024795397455637	0.16262863625313995	0.029900332225913623	0.2485211895308322	-0.15031196823596144	0.5656753909731789	-0.050158009885746695	0.4292196742565432
ArgR	-0.03460011344299489	0.29649137022931693	0.28304027226318773	0.3016773357102342	1.0	0.04643059719633741	0.3217729519487886	0.4357021311076898	0.46892472246981604	0.25419333927558546	0.009966777408637873	0.028279718013126974	0.6133214488291062	-0.1678146017340572	0.08143586419252896	0.444777570699295	0.2694271128757799	-0.25046592658617617	-0.12729924641439105	0.017745725630013774	0.07868082003079167	0.06539178348594117	-0.2169192123814926	0.027145288064176324	0.05955757231990925	0.15614617940199335	0.11708937687383518	0.17219026010858116	0.5167328417470222	0.17689004132566244	0.1660319260999919	0.19520298193015154	0.45126002755044164	0.5583826270156389	0.32987602301272184	0.4169030062393647	0.09018718094157686	0.05534397536666397	0.41868568187343	0.12600275504416172	0.41495826918402073	-0.008508224617129892	0.6199659671015315	0.44283283364395104	0.3891905032007131	0.4357021311076898	0.4692488453123734	0.1610080220403533	0.09342840936715015	-0.2580828133862734	0.40539664532857955	-0.1381573616400616	0.14075034438052023	0.06944331901790779	0.1958512276152662	0.3734705453366826	0.446722307754639	0.5977635523863545	0.37411879102179724	-0.028603840855684303	0.4473705534397537	0.13248521189530832	0.2838505793695811	0.12827161494206304	0.09634551495016612	0.5204602544364314	0.003970504821327283	0.3742808524430759	0.3092942225103314	0.07592577586905437	0.3483510250384896	0.1778624098533344	0.28222996515679444	0.010939145936309862	0.4144720849201847	0.23588039867109634	0.15014990681468277	-0.026983226642897658	0.24446965399886558	0.4509359047078843	0.5358560894579045	0.3212867676849526	0.312859573778462	0.19974070172595412	-0.14577424844015882	0.4750830564784053	-0.0025119520298193016	0.3815736164006158
BioQ	0.3055668098209221	0.2783404910461065	-0.1971477189854955	0.003970504821327283	0.04643059719633741	1.0	0.02665910380034033	-0.08613564540961025	0.28660562353131835	0.027145288064176324	0.03508629770683089	0.11822380682278584	0.031520946438700265	-0.09391459363098614	0.12470626367393242	0.18645166518110365	0.1279474920995057	0.052102746941090676	0.41414796207762744	0.07754639008184101	0.024390243902439025	-0.04562029008994409	-0.2434972854711936	-0.10898630580990196	-0.031034762174864273	0.2968154930718742	-0.13313345758042297	-0.2671582529778786	-0.014828620046997813	0.012073575885260514	0.031683007859978934	0.14334332712097886	-0.017421602787456445	-0.014504497204440484	-0.11952029819301516	-0.12584069362288308	0.3302001458552791	-0.21983631796450856	0.01612511141722713	-0.02066283121302974	0.0822461712989223	-0.4188477432947087	0.11255165707803258	-0.13118872052507902	0.014504497204440484	-0.2438214083137509	-0.07722226723928369	-0.39291791589012237	0.1178996839802285	0.24025605704562028	0.01337006725548983	-0.36455716716635606	-0.0895389352564622	0.06960538043918645	-0.02844177943440564	-0.25370715501174945	0.014990681468276477	0.05323717689004132	0.001539583502147314	-0.3618021230046187	-0.055181913945385304	-0.10444858601409934	-0.03865164897496151	0.29827404586338224	-0.017745725630013774	0.00105339923831132	-0.12033060529940848	-0.16749047889149987	-0.14269508143586418	-0.2577586905437161	-0.07398103881371039	-0.0862977068308889	-0.10558301596304999	-0.22891175755611376	0.12357183372498177	-0.0005672149744753262	0.07446722307754639	0.08937687383518353	-0.014504497204440484	0.003484320557491289	-0.07527753018393972	-0.266510007292764	0.21935013370067255	-0.2874159306377117	0.03460011344299489	-0.10606920022688598	-0.27477513977797585	-0.023255813953488372
BirA	-0.019852524106636415	0.1339437646868163	0.34608216514058826	0.5068470950490236	0.3217729519487886	0.02665910380034033	1.0	0.5049023579936796	-0.0012154606595899846	0.5382870107770845	-0.09974880479701807	0.34251681387245764	0.48788590875941984	0.15744267077222268	0.01904221700024309	0.48610323312535453	0.6126732031439915	-0.4609837128271615	-0.08662182967344624	-0.31091483672311804	0.499878453934041	0.3598573859492748	-0.017097479944899116	0.24414553115630824	0.29146746616967834	0.04027226318774816	0.2966534316505956	0.44153634227372174	0.35710234178753747	0.6512438214083137	0.5394214407260352	0.5543310914836723	0.12729924641439105	0.4233854630905113	0.5021473138319423	0.4392674823758204	0.3331172514382951	0.448667044809983	0.5096021392107609	0.1619803905680253	0.5016611295681063	0.23118061745401508	0.3687707641196013	0.6632363665829349	0.6251519325824487	0.4818896361721092	0.6820354914512601	0.3483510250384896	0.4361883153715258	0.1893687707641196	0.29535694028036624	-0.11401020986954055	0.6685843934851309	-0.18677578802366096	-0.04011020176646949	-0.40491046106474354	0.3642330443237987	0.53277692245361	0.6484887772465765	0.26213434891824	0.5034438052021716	0.2639170245523053	0.46065958998460416	0.12243740377603111	0.4125273478648408	0.524025605704562	0.47184182805283204	0.2966534316505956	0.08824244388623288	0.2750992626205332	0.5433109148367231	0.21448829106231262	0.6272587310590714	0.3071874240337088	0.5882019285309132	0.5945223239607811	0.4549874402398509	0.15258082813386273	0.4801069605380439	0.2973016773357102	0.5442832833643951	0.22226723928368852	0.0007292763957539907	0.6695567620128029	-0.11968235961429381	0.526456527023742	0.32566242605947654	0.5731302163519975
CadR-PbrR	0.22842557329227778	0.11093104286524592	0.019690462685357752	0.28336439510574507	0.4357021311076898	-0.08613564540961025	0.5049023579936796	1.0	0.06749858196256381	0.13556437889960296	0.19293412203225022	0.3692569483834373	0.41852362045215136	-0.03119682359614294	0.04983388704318937	0.3616400615833401	0.24722469816060286	-0.6001944737055344	0.06198849363908922	-0.21416416821975529	0.36779839559192934	0.2739648326715825	-0.004618750506441942	0.25921724333522406	0.40847581233287417	-0.0290900251195203	0.3065391783485941	0.5159225346406288	0.3258244874807552	0.37833238797504254	0.5408799935175431	0.24009399562434164	-0.02033870837047241	0.4047483996434649	0.38740782756664777	0.340896199659671	0.13086459768252168	0.4157685762904141	0.47994489911676524	0.3370067255489831	0.3712016854387813	0.24690057531804555	0.22680495907949114	0.4013451097966129	0.48237582043594524	0.43213677983955917	0.5207843772789887	0.4802690219593226	0.18823434081516896	0.13475407179320964	0.46503524835912813	-0.06150230937525322	0.3721740539664533	-0.052913054047484	0.07608783729033304	0.050158009885746695	0.3554817275747508	0.5797747346244226	0.46989709099748805	0.28206790373551577	0.3532128676768495	0.2553277692245361	0.39243173162628636	0.17235232152985983	0.35078194635766957	0.30264970423790616	0.2131917996920833	0.35710234178753747	0.26926505145450125	0.2545174621181428	0.45628393161008024	0.06490559922210518	0.3007049671825622	0.2199983793857872	0.37509115954946926	0.4109067336520541	0.3514301920427842	0.20395429867919943	0.27120978850984523	0.19439267482375822	0.6398995219188073	0.46746616967830806	-0.09845231342678876	0.475245117899684	0.1911514463981849	0.35224049914917754	0.32614861032331255	0.3802771250303865
CblR	0.09440077789482214	0.4673041082570294	0.02601085811522567	0.14739486265294546	0.46892472246981604	0.28660562353131835	-0.0012154606595899846	0.06749858196256381	1.0	0.12178915809091646	0.0013775220808686492	-0.049347702779353374	0.2695891742970586	-0.28304027226318773	0.1243821408313751	0.27283040272263187	0.07268454744348107	0.23361153877319504	0.27979904383761445	0.20330605299408475	-0.14301920427842152	-0.19504092050887287	-0.2485211895308322	-0.2063852199983794	-0.041568754557977476	0.36131593874078277	0.17073170731707318	-0.05048213272830403	0.4882100316019771	-0.08662182967344624	-0.019366339842800423	-0.10671744591200065	0.5906328498500932	0.09294222510331415	0.016287172838505795	-0.09618345352888745	-0.11854792966534317	-0.2204845636496232	0.17170407584474515	-0.028927963698241632	0.19779596467061017	-0.33927558544688435	0.5509278016368203	0.25419333927558546	0.038165464711125516	-0.010128838829916538	0.07398103881371039	-0.2794749209950571	-0.04318936877076412	0.07398103881371039	0.20557491289198607	-0.16311482051697593	-0.12648893930799773	0.019852524106636415	0.35272668341301355	0.10671744591200065	0.2407422413094563	0.3259865489020339	0.16246657483186128	-0.3878940118304838	0.12195121951219512	-0.27785430678227047	-0.04432379871971477	0.37330848391540394	-0.2016854387812981	0.3352240499149178	-0.17186613726602382	-0.0922939794181995	0.22388785349647516	-0.11044485860140993	-0.03119682359614294	0.17397293574264647	-0.04902357993679605	0.023741998217324367	0.3363584798638684	-0.046268535775058746	-0.17348675147881046	0.22972206466250708	-0.008508224617129892	0.5446074062069525	0.010777084515031198	0.18904464792156228	0.5708613564540961	-0.16246657483186128	-0.02309375253220971	0.2091402641601167	-0.17543148853415444	0.21886394943683657
CcpA	-0.15906328498500932	0.3569402803662588	0.24446965399886558	0.392107608783729	0.25419333927558546	0.027145288064176324	0.5382870107770845	0.13556437889960296	0.12178915809091646	1.0	-0.07284660886475974	0.005591119034113929	0.17267644437241714	0.21448829106231262	0.11708937687383518	0.35775058747265215	0.4567701158739162	0.1289198606271777	0.008670286038408557	-0.5472003889474111	0.39000081030710637	0.045458228668665425	-0.1459363098614375	-0.11417227129081922	0.020824892634308402	-0.0817599870350863	0.2595413661777814	0.3519163763066202	0.31820760068065795	0.4527185803419496	0.2503038651648975	0.15987359209140264	0.05485779110282797	0.01823190989384977	0.34673041082570294	0.35353699051940685	0.21205736974313263	0.12081678956324447	0.1705696458957945	0.0033222591362126247	0.29260189611862897	0.21157118547929665	0.3533749290981282	0.4697350295762094	0.33295519001701646	0.37411879102179724	0.5512519244793777	0.15403938092537073	0.28709180779515436	0.1710558301596305	0.27477513977797585	0.12810955352078437	0.44267077222267237	-0.13750911595494691	0.042217000243092134	-0.15533587229560003	0.2603516732841747	0.3605056316343894	0.2762336925694838	-0.04837533425168139	0.6214245198930395	0.16668017178510655	0.079004942873349	0.13216108905275098	0.37946681792399317	0.338951462604327	0.13280933473786566	0.3240418118466899	-0.13783323879750425	0.004780811927720606	0.3942144072603517	0.31318369662101936	0.4880479701806985	0.3958350214731383	0.43278502552467385	0.4019933554817276	0.16862490884045053	0.07025362612430111	0.444291386435459	0.14480187991248683	0.45077384328660564	0.09132161089052751	0.15063609107851875	0.34673041082570294	-0.08889068957134755	0.2535450935904708	0.23312535450935903	0.5938740782756665
