	NikR	Rex	HutC	NiaR	CblR	BirA	CcpA	PhrR	XylR	VanR	NrdR	PdhR	LldR	ModE	NadQ	GguR	NagR	GulR	Irr	AgaR	PhnF	SiaR	AraR	CzrA	FUR	ThiR	SahR_SamR	KdgR	MetR	NagC	Zur	ArgR	MntR	RbkR	NrtR	Phr	IscR	NsrR	NagQ	PrpR	LiuQ	LexA	SoxR	HexR	HisR	PsrA	PhnR	QorR	TrpR	NarP	TyrR	AcnR	NorR	FabR	HrcA	NnrR	LiuR	GntR	NtrC	PurR	CsoR	PdxR	SdaR	FixJ	RbsR	NmlR	ZntR	FruR	BioQ	FadP	PhsR	CueR	PaaR	AmtR	DasR	HcpR	FnrN_FixK	MerR	NifA	CadR-PbrR	LtbR	RutR	GlcC	ExuR_UxuR	TtrR	HypR	FadR	MetJ
Temperature	-0.08703101036172521	-0.07397349094128355	0.03801793039813464	0.08248232521602514	0.13303158393496178	0.14557039364580607	0.24992082195538598	0.25612538809710844	0.20959114203418996	0.29611092407636	0.12937567800097258	0.2517911694659534	0.24300801755632864	0.1725333233581466	0.25368146734996694	0.520098754348558	0.4170201623461639	0.495824137458073	0.4082719235900697	0.6713624858165314	0.3650893402660881	0.49209341762366116	0.2764099302983828	0.28174166760184044	0.5021633686205563	0.4096335365777628	0.4976944849686405	0.5530019077544608	0.5382685569645507	0.4936994226860684	0.37030636292223096	0.34593199416451575	0.3463559396002444	0.413104901557376	0.34641080312722106	0.260105487599596	0.35192209379169315	0.32696417661068095	-0.2471427324530231	-0.12304143443185077	-0.058217683512263245	-0.31646030499133404	-0.25868901108492626	-0.20032419356849837	-0.255586728014065	-0.26012543797304205	-0.23223481589546005	-0.3527350715096198	-0.3172732827092607	-0.466990860235165	-0.2846793600917717	-0.2915223381837679	-0.21954637838377036	-0.5897554832354518	-0.6431426825770895	-0.5290564720258357	-0.5371214104914026	-0.5700145887105824	-0.6369830047756206	-0.4419132408134765	-0.4428309579919949	-0.37155326126260924	-0.3383658150351002	-0.1884337709946508	-0.20315714659783787	-0.3458422174840085	-0.3248095362785072	-0.193595930123817	-0.2546390852753775	-0.24610032544046684	-0.444202546166411	-0.3316624895572264	-0.3579969825060163	-0.08481153131585181	0.12589433783463636	0.050422075088218055	-0.01858127906831756	-0.06998341625207297	-0.06342971857504458	-0.13965012032568985	0.15645830995398946	0.16923652414618637	0.08479158094240577	0.04169877429893141	0.23125724759660346	-0.18954600431426827	0.005029987905086099	0.0009501365353682714
FluxAttenuation	0.14011149313159477	0.34549815331547545	0.22204576438689702	-0.013547676180663108	0.3231995858219438	0.4009528756722089	0.29412718023808065	0.15284890159810338	0.21737862235336713	0.0799248073241991	0.01568678294603097	0.12118363932894584	0.012737408466508617	0.09917676821250984	0.19644130461961506	-0.16604005998453852	0.051046865991733005	0.16331756046497944	0.038633564610886184	0.1626045248765235	0.09671355436148019	0.1864912170897979	0.33269592343183446	0.23108835207686115	0.3578790439877561	0.3009658397455446	0.24389058196050212	0.3873403780744134	0.34847993850356396	0.381311986281104	0.3428404752130487	0.33178842359198146	0.3688338634831248	0.3382381545966512	0.29007584166730815	0.26784209559090894	0.2176379080218966	0.2635638820601732	0.057529007704968944	-0.0018474103882722421	0.21575808692505816	0.08271212826089056	0.09924158962964219	0.19294094809446766	0.16616970281880325	0.3252414604616131	-0.14306086761111714	-0.08387891376927302	0.2024696964129245	0.01241330138084682	0.23455629789344237	-0.3087119990928615	-0.23426460151634676	-0.1166137294211145	-0.2536786159474884	-0.32825565635826787	-0.07191936230835272	-0.20729889198928528	-0.2546185264959076	0.014131068934854343	0.051338562368828625	0.026447138190002623	-0.22042522895858804	0.005963570376177062	-0.23663058324167788	0.008070266432978741	-0.03263758352614294	-0.3300706560379739	-0.2278472812202432	-0.3089388740528248	-0.2595449541979669	-0.29775717959749276	-0.2854735210509107	-0.09178712665942086	-0.25179879485065	-0.16902184517262706	-0.1762818438914513	-0.3021650359624932	-0.23193103049958183	-0.2720230769959461	-0.29334932323249235	-0.13790756494909456	-0.30722110649881723	-0.02268749599632578	-0.1751798798002012	0.15631684741468463	-0.16937836296685505	-0.025377584807318693
Salinity	0.08531029065200314	-0.03903041185052183	0.21105250688911334	0.19188019800745645	-0.0033591441289791643	0.06644222496539857	0.04646691355253806	0.10687165675382486	0.11120587538497986	0.15245826007805582	0.003164627987880148	0.2968840010473946	0.20997019912966497	0.2585543460641654	0.21712240801007493	0.5249117819424183	0.28854973254030597	0.21428945498073543	0.21949650245015523	0.3459968328782154	0.35066522026459185	0.3471539545380865	0.3229541515480243	0.2767341238668811	0.25035973017119917	0.210359231411863	0.36804199553610395	0.22779087021035174	0.29535280988541	0.2720358109203357	0.1846930759735159	0.18961084302796793	0.17720669833788452	0.24786593349044253	0.1935261038167558	0.17809947754959538	0.22172595668275166	0.3058117931645033	-0.09408346737490493	-0.09378421177321412	-0.2769286400079802	-0.3365752690183169	-0.3761717727153705	-0.25751193905160913	-0.2709235776007182	-0.3138717440367087	-0.24916270776443597	-0.11792416364293819	-0.05921021459120438	-0.17920173568248982	-0.15104677115674758	-0.3451639047868427	-0.2536365790097133	-0.4196436364543199	-0.306654696442599	-0.2474370004613524	-0.4597339118941633	-0.344710033790945	-0.33960273818875547	-0.46509058716442847	-0.28341749897130886	-0.34540330926819535	-0.18403970124315763	-0.19528672427337	-0.20443397049838527	-0.2927393109639771	-0.27391114602426464	-0.007164677863813763	-0.08307584882604521	-0.05868152969488397	-0.18736642601528697	-0.15437349592887692	-0.19978054589209343	0.03719497749348496	0.16320652377211686	-0.1533510392897667	0.003942692552276213	-0.0764024489083405	-0.09039264828738514	0.19571565730246013	0.2739061584309031	0.08691629571441041	0.24061397274280227	0.1250414593698176	0.17909200862853653	-0.3619870571952269	0.12099153356026883	0.010551253756281251
Brunt.Väisälä	-0.021379282884517143	0.0014388105225065226	0.27953232186514937	0.11043871787966578	-0.07763971066252728	0.10899990735715925	-0.045008876103863595	0.1200485840782251	0.1230516672652749	0.13626523328829399	0.055921413053783196	0.0426971694016546	0.23964069951201863	0.22683822220971572	0.13042990897994655	0.5191036167879562	0.31680258627189534	0.31003296941646574	0.29058633740077	0.32423955494666934	0.34337119690363455	0.3898936269337712	0.31762476371332765	0.30661612810142247	0.3356325852065169	0.3158656243175358	0.3139356428559918	0.2835684656685443	0.3469508720625979	0.3285666641432984	0.30090626593511177	0.24535590049288408	0.278624723390841	0.21664642522468805	0.27112368894141	0.3060502137586184	0.24148792934796393	0.2975348045437839	-0.10312721134692855	-0.12709581929050195	-0.06600643374771574	-0.4042016499405151	-0.271024920872147	-0.07052040145376125	-0.1875845881958782	-0.23902406643094443	-0.15853342879617785	-0.12566501698982757	-0.041754868632740305	-0.23181132796747017	-0.24337786970034728	-0.14304552777283308	-0.20795216572226924	-0.3170455023341367	-0.33818453856368985	-0.3187646006207679	-0.40818707500563983	-0.3567209026977999	-0.4646744024022271	-0.3116052503028412	-0.30523604453901826	-0.3039440514167675	-0.13926831647534377	-0.0717643452450192	-0.16822871602761327	-0.08786354053488347	-0.15124861633621442	-0.1263991039911064	-0.18743510138834507	-0.15579728633686582	-0.2784485425105341	-0.30960586425208536	-0.18886857309629682	-0.1812100436175005	-0.15021021690531453	-0.17404268507774168	-0.168332822911431	-0.02478811597772833	-0.06630807677005941	0.19478397962296556	0.014286667748524877	0.00662013004789643	-0.03811913592095203	-0.07130787660058764	0.14222868914595552	-0.12541943152030882	0.04821483424399408	-0.01747927885226848
Nitracline	-0.020873949064133843	0.10787894117754412	0.17553118493473036	0.1147765155065502	0.03822222717347318	0.24231024850217775	-0.02892478024751196	0.01665083229740958	0.09000895163408411	-0.09959196692398507	-0.015492083743731011	0.11666566006799774	0.14868226702508805	0.22311675942584314	0.20393974544742816	0.41387093483828435	0.08709835100162135	0.06974458119297548	0.1577875044753206	0.10165684586324167	0.2171417905803347	0.2979905877711209	0.22832838206774345	0.27624895021655477	0.1996507282890255	0.2285370666413917	0.18055059810090196	0.22833387376704997	0.20441203158779003	0.24045954583587595	0.163916240901412	0.16661266526091995	0.21034855853815276	0.19404370329705478	0.23464383627025698	0.2629096126009849	0.1438221131388059	0.23560488364890034	-0.08997600143824491	-0.18966681894974757	-0.04181379851994609	-0.1550306714234408	-0.07291878339215185	0.00724355138531769	-0.12645186823224044	-0.09961942542051774	-0.1747513636332026	-0.18420257813974675	0.0584865976145818	0.025426567789250117	-0.05705326409557656	-0.15729874323703913	-0.11093781769128329	-0.18318112206873152	-0.123266682634451	-0.18202237351505293	-0.2476811304239675	-0.30098905559248823	-0.24389185790245937	-0.15484944534632517	-0.15651343023620481	-0.25303553724783767	-0.08576935976944025	-0.12685276228161738	-0.24960871688056077	0.05973321335716491	-0.09442427787653704	-0.06195735157631098	-0.16882032838214642	-0.0574376830470339	-0.06388493803290424	-0.15038469381011343	-0.06593334187424123	-0.1954550700188339	-0.1948949166895675	-0.2013421716754378	-0.34618574088525894	-0.12733603182059233	-0.10534177609792565	0.06725684140711581	-0.08753768694614403	0.06139719824704456	0.049831679507485	0.07606552709479554	0.15025289302675662	-0.1815555790739976	-0.16974842556495057	-0.17390564193999644
Depth.Min.O2	0.11928605766853378	0.1394980200424969	0.1072658914832253	0.10091674871597953	-0.04729095613205868	0.23248907003595692	0.11314006457973526	0.16116636532251144	0.21088367254363025	-0.07860461924370256	0.07690502897612979	-0.010995834003842056	0.16421647176229692	0.1520189072662317	0.11618730975644402	0.3187819031668111	0.21438013602338435	0.14202165407616557	0.21565053682944885	0.20470048303483435	0.21502105895257004	0.25568532979894093	0.15048240899403206	0.3130336256456769	0.28027216341721173	0.30058999252501356	0.32384633881260877	0.30924245206902046	0.3455804931433879	0.3183040722329985	0.23857211533706757	0.2722806556439276	0.270240575070225	0.20934717427143062	0.2731933985654019	0.2982208666974879	0.17728672149676233	0.24493842568277366	-0.14884004398799372	-0.11185249619521043	-0.1023159063604965	-0.13211023877840108	-0.11481104221654082	0.1189226772577901	0.04642113215673524	-0.011817016506861226	-0.1951352805693532	-0.03038947513786273	-0.00435484240277065	-0.0381520818650091	-0.15627360546131708	-0.20848593408533733	-0.28193741852786386	-0.17649129036143366	-0.2927987731671	-0.298744477840528	-0.2038449653748945	-0.23786538335711727	-0.33383786947652144	-0.2966843684252883	-0.18425675835165675	-0.22895541013620543	0.044715819363009016	-0.13750085841494505	-0.18008217552271957	-0.048930459875020295	-0.015785588394274425	-0.1098982535138094	-0.2588470254987186	-0.22230583474590385	-0.25402579721444224	-0.29804060712365443	-0.26560819014901227	-0.08753176004307472	-0.19423684396326255	-0.15167269443394835	-0.21883226137076353	-0.1508658182463128	-0.04732243002590262	0.011693982194562186	-0.10664213613249994	-0.23722446042793158	-0.133746881258286	-0.054458420139246906	0.05848135602511782	-0.029745690945600315	-0.21531004652331895	0.07332272760407403
Depth.Max.O2	0.149508649454953	0.04667282042335796	0.20444683875600103	0.13145048997531356	0.06843425710238085	0.12284505361939217	0.1726332379746828	0.04479956736530407	0.21203207267722846	0.04378512878617335	0.08730223828865591	0.08281795866045308	0.14427795053131023	0.17772272243702614	0.18509181177463196	0.20618175928053709	0.11419638834674646	0.08206289358166828	0.08068245017427164	0.2555347725408029	0.3376553046781036	0.21909279574220078	0.2197700487708818	0.2502493169893093	0.24798700368073656	0.3104988991918855	0.3223320946632228	0.2448745216765855	0.27959886951734125	0.2840773852899809	0.3135566245681858	0.27716652246965284	0.21117037627052365	0.2632641028511114	0.25692962558710764	0.2891409324022896	0.2636589269571935	0.3227442103359947	-0.0021153349917100795	-0.12630624888511943	-0.08730800214421916	0.032136376692859805	0.0806766863187084	-0.007680337538020929	-0.05814001106642935	-0.0559612736635236	-0.2824606238044913	-0.05012536990574035	0.07669962598007092	0.08799966481180828	-0.0455863336496867	-0.38333097808902056	-0.1953341831105143	-0.23849969742363902	-0.06660999681661453	-0.19901152295986313	-0.21922536442015536	-0.27748929838119446	-0.28519269134146835	-0.11726564143417322	-0.1176547016846921	-0.30520191592926543	0.09074614198769344	-0.14193494324485206	-0.06842272939125436	-0.048554719264756706	-0.1204616993439913	-0.18724461182750313	-0.05335601094893789	-0.23083088759674458	-0.15571920382434704	-0.34852017241481614	-0.2192167186368105	0.0706129945052866	-0.10398571821646198	-0.13158594058104975	-0.1522983555475625	-0.19284707943497503	-0.14819449038653365	0.11506096668123286	-0.0006023229063588646	-0.08646071537642247	0.08405718760655026	-0.028807750105087133	-0.05568172666870633	-0.09606329874478485	-0.15596128575800322	-0.0858036358422128
Ammonium.5m	0.010881099752087658	-0.04003785822141079	0.08723085629813661	-0.07423488774252607	-0.0842605629667737	0.11529027718072617	0.11395352048415983	0.12173713550278589	0.12120343040378366	0.16253564818772792	0.0425916620596271	0.09409919201146447	0.02362517945256163	0.18425295660880958	0.09248810091821472	0.07897089700890574	0.10290532614500136	0.2993088025778245	0.20188517646836945	0.1957375920336007	-0.0036262019343423	0.17663144827913277	0.13445627571265228	0.20398757552658855	0.21121005200654405	0.10886835834927402	0.1373193292344026	0.16472034756495202	0.12627612279336567	0.0922511757574427	0.13008188906008256	0.1811130747413151	0.15986712269271672	0.09949609777894503	0.13320930118227323	0.03977100567190967	0.015280425895264975	0.07818530305476692	-0.06793267846599031	-0.09689490890857431	-0.20131905003157738	-0.20252362742792354	-0.2532206239350145	-0.07974152726867999	-0.06872824821637215	0.008422065978180156	-0.2393841945459285	-0.06936669917592622	-0.060216400072004704	-0.2149110724127091	-0.05376455385182346	-0.028964724391644756	0.17049882753872858	-0.06966347911415645	-0.17463379508146554	-0.1682343217915602	-0.08996422446872751	-0.1205101125648929	-0.12546060145049776	-0.20023418219014757	-0.17000502562469846	-0.12476728361160701	0.039591441339535086	-0.06420921251827845	-0.09853093949243164	-0.17508519986146276	-0.15590174368611132	-0.1234754179981343	-0.20897796759716555	-0.18017784384353083	-0.20539416279685613	-0.11236238098339614	-0.2311367050020014	-0.10518230163747352	-0.13202966327653465	-0.07908063076757908	0.05017825510245329	-0.17582839668156866	-0.07107256033348477	-0.07785859572780761	0.14385347577358887	0.04674658119485012	-0.16518671603931379	0.08320312856501226	0.05713387903290767	0.15476699686346637	0.21459683483105357	0.21882657243809933
Residence.time	-0.022891013178941717	-0.05453126766579893	0.19397960976331352	0.19852432502350048	0.08043614464886464	0.09812332596848117	0.08277228775629408	0.06483793771200072	0.13431892662841466	0.15119284311199774	0.014750391633940154	-0.029995120717233977	-0.03733310833909141	0.09778313675602272	0.05320506128285548	0.07540240739576866	0.07981423624483905	0.16664221726841108	0.15090049300754127	0.1211498832867618	0.15920323597410505	0.11135615478746999	0.17897673394825186	0.21339962988389022	0.13628830324116237	0.17186731095351493	0.15971086206457039	0.14811785155876012	0.16228620071200967	0.20854130269346813	0.18952791499090815	0.1538425981496623	0.11969876367736876	0.18909736301889044	0.12474313184335406	0.156285050385985	0.15841123296385026	0.19748515328856883	-0.0005900156653576061	0.0960051165752829	-0.02473281883701749	-0.1458587825697783	-0.0927121913078141	-0.11522314935096242	0.01848981524276066	-0.00038005513579341294	-0.1100512102303052	-0.013325849306770438	0.11238735333773464	-0.06903449057506225	-0.06749832366255461	-0.1674182739093319	0.00654598461160263	-0.07749669723496594	-0.10457363236407986	-0.2024843400747745	-0.1561760835288694	-0.1663817599026226	-0.251136712912776	-0.06054304890471292	-0.17014776079366642	-0.31952006007336703	0.11311557087065349	-0.08082417296932505	-0.13079477900560302	-0.1012753916401664	-0.07213605941052317	-0.15987032575791027	0.071910152511625	-0.10251123526355056	-0.02892405624363436	-0.28922727379523194	-0.29600182303395506	0.007133342548737905	-0.1095542150527292	-0.10925920722005039	-0.19148134523432184	0.00020464507311953006	-0.20532013608800226	0.12541819481182628	0.028147999602713542	-0.0383935418998017	-0.046579344824582904	-0.14791054875741827	-0.0253148613177081	0.03533715444412041	-0.02016418402282954	0.05672389344922247
Oxygen	0.07755562168101081	0.0906312946346823	-0.09318348287859367	-0.09225645486174694	-0.19099638344625527	-0.06897202893242996	-0.19859572422633218	-0.2440487090276506	-0.18379188793261308	-0.28283510346090457	-0.12195568577183666	-0.23470403772202894	-0.22763115729719832	-0.19023530488921442	-0.21687877678080938	-0.49402581944698776	-0.40104834279436	-0.4834451107855704	-0.3873031496062992	-0.6620181743270463	-0.39800402856619665	-0.4568130836843069	-0.28904962461087713	-0.24947926203991944	-0.48457242263321737	-0.3684936366965757	-0.46025796557407067	-0.47277284380150153	-0.4877197399743637	-0.43506225965940304	-0.37056514374656657	-0.3056274034059696	-0.3078534151254349	-0.34688015015564916	-0.28755035707745835	-0.198967679912104	-0.3536440212415309	-0.30769891045596043	0.23627197399743638	0.08894891045596044	0.09808757553561619	0.39042757736678263	0.2612445065006409	0.27335309467130564	0.29141869620948546	0.31022248672404323	0.20933665995238968	0.2993041567478484	0.3233725508148691	0.5328236586705731	0.3489917139718	0.2642258743819813	0.2073681560153818	0.5924109595312214	0.5866656747848379	0.5174819172312763	0.5474386559238235	0.5299452939022157	0.5943394067020692	0.42950009155832264	0.3761330342428127	0.3323738784105475	0.32819080754440577	0.16569195202343892	0.1829106390770921	0.3187488555209669	0.31003937007874016	0.18514809558688886	0.2233393609229079	0.22177714704266618	0.47724775682109505	0.28776780809375574	0.30902650613440763	0.0391812396996887	-0.12690555759018496	-0.03427714704266618	-0.021985442226698407	0.020325947628639443	0.062259659403039735	0.07866004394799488	-0.23571690166636147	-0.20457562717451017	-0.15175791979490935	0.009710904596227797	-0.2829838857352133	0.1615889946896173	-0.09741805530122688	-0.030191356894341697
