	VanR	ZntR	FnrN_FixK	HrcA	FadR	NifA	PaaR	CblR	GlcC	PurR	SoxR	NnrR	RbsR	LiuQ	FruR	BioQ	NmlR	PdxR	AcnR	MerR	PhnR	FadP	HcpR	DasR	LiuR	CueR	GntR	NtrC	ExuR_UxuR	GguR	LldR	PdhR	NikR	NagR	NrdR	SiaR	IscR	XylR	Irr	Rex	HutC	AgaR	GulR	ModE	AraR	NadQ	FUR	ArgR	CzrA	MntR	NsrR	Phr	NagC	BirA	KdgR	NrtR	RbkR	MetR	ThiR	SahR_SamR	Zur	TrpR	MetJ	PhnF	AmtR	HypR	NagQ	PhsR	PsrA	FabR	LexA	HisR	NiaR	PrpR	LtbR	PhrR	HexR	NarP	CcpA	RutR	TtrR	NorR	TyrR	CadR-PbrR	SdaR	FixJ	CsoR	QorR
Oxygen	0.031055900621118012	0.4500282326369283	0.2670807453416149	0.4127611518915867	0.3337097684923772	0.3145115753811406	0.39695087521174477	0.07735742518351214	0.39695087521174477	0.5381140598531903	0.6634669678147939	0.5177865612648221	0.6216826651609261	0.35403726708074534	0.4161490683229814	0.35742518351214003	0.383399209486166	0.5787690570299266	0.6137775268210051	0.7402597402597403	0.6736307171089779	0.49520045172219085	0.6081309994353472	0.7459062676453981	0.6578204404291361	0.6905702992659515	0.735742518351214	0.6318464144551101	-0.19367588932806323	-0.4601919819311124	-0.19706380575945792	-0.27837380011293056	-0.09881422924901186	-0.47374364765669114	-0.3404856013551666	-0.4997176736307171	-0.35742518351214003	-0.3269339356295878	-0.4409937888198758	-0.3145115753811406	-0.5031055900621118	-0.47035573122529645	-0.629587803500847	-0.771880293619424	-0.44776962168266515	-0.717673630717109	-0.7075098814229249	-0.6623376623376623	-0.7334839073969509	-0.6758893280632411	-0.6431394692264257	-0.6171654432523997	-0.6849237718802936	-0.577639751552795	-0.6420101637492942	-0.665725578769057	-0.7221908526256352	-0.6589497459062676	-0.6363636363636364	-0.7154150197628458	-0.6984754376058724	-0.233201581027668	-0.2919254658385093	-0.37549407114624506	0.032185206098249576	0.031055900621118012	0.04799548277809147	0.2354601919819311	0.10446075663466968	0.14285714285714285	0.26143421795595706	0.13382269904009034	0.18125352907961603	0.014116318464144552	-0.20045172219085264	-0.26030491247882553	0.0378317334839074	0.07509881422924901	-0.19932241671372106	-0.2795031055900621	-0.2478825522303783	-0.10446075663466968	-0.33258046301524563	0.11462450592885376	-0.034443817052512704	0.3585544889892716	0.1067193675889328	0.055900621118012424
Latitude	0.08865047995482778	0.42857142857142855	0.2930547713156409	0.32241671372106157	0.18125352907961603	0.19932241671372106	0.4805194805194805	0.3111236589497459	0.5200451722190853	0.4782608695652174	0.37662337662337664	0.29983060417843027	0.37775268210050816	0.453416149068323	0.45454545454545453	0.4184076792772445	0.409373235460192	0.5403726708074534	0.5618294748729531	0.6702428006775832	0.6950875211744777	0.5629587803500847	0.5979672501411631	0.6939582156973462	0.6273291925465838	0.7312252964426877	0.6341050254093732	0.6442687747035574	-0.025409373235460192	-0.1067193675889328	-0.2761151891586674	-0.38114059853190285	-0.22868435911914173	-0.46809712027103334	-0.4116318464144551	-0.6092603049124788	-0.3020892151326934	-0.26030491247882553	-0.3867871259175607	-0.3450028232636928	-0.6962168266516092	-0.5042348955392434	-0.5798983625070582	-0.5900621118012422	-0.47600225861095424	-0.6341050254093732	-0.7075098814229249	-0.6566911349520045	-0.6962168266516092	-0.709768492377188	-0.5957086391869001	-0.5335968379446641	-0.6781479390175043	-0.5810276679841897	-0.6329757199322417	-0.6307171089779785	-0.6883116883116883	-0.6013551665725578	-0.6589497459062676	-0.7492941840767928	-0.7052512704686618	-0.35177865612648224	-0.40146809712027104	-0.3687182382834557	-0.06945228684359118	-0.22416713721061546	-0.0818746470920384	0.2264257481648786	0.07396950875211744	0.11688311688311688	0.233201581027668	0.13608130999435347	0.189158667419537	0.029926595143986448	0.045736871823828344	-0.20609824957651043	0.06493506493506493	0.1665725578769057	-0.24675324675324675	0.009599096555618294	-0.06154714850367024	0.023150762281197064	-0.07171089779785432	-0.21852060982495766	-0.383399209486166	0.12365894974590627	0.06719367588932806	0.11236589497459062
Iron.5m	0.1383399209486166	0.3416149068322981	0.47035573122529645	0.42631281761716544	0.13269339356295878	0.3145115753811406	0.409373235460192	0.40711462450592883	0.41727837380011296	0.5832862789384529	0.34839073969508755	0.3845285149632976	0.4906832298136646	0.42179559570863917	0.5335968379446641	0.4748729531338227	0.3619424054206663	0.5189158667419537	0.7481648785996612	0.7673630717108978	0.6837944664031621	0.4647092038396386	0.551665725578769	0.6510446075663467	0.6092603049124788	0.5640880858272163	0.5697346132128741	0.5561829474872954	0.06380575945793338	-0.0818746470920384	-0.28063241106719367	-0.37323546019198195	-0.30434782608695654	-0.33145115753811405	-0.3337097684923772	-0.6792772444946358	-0.4906832298136646	-0.5098814229249012	-0.4827780914737436	-0.43873517786561267	-0.6205533596837944	-0.3800112930547713	-0.5426312817617166	-0.5527950310559007	-0.5302089215132694	-0.5279503105590062	-0.6962168266516092	-0.6939582156973462	-0.7007340485601355	-0.7052512704686618	-0.6329757199322417	-0.6612083568605308	-0.7289666854884246	-0.6149068322981367	-0.6679841897233202	-0.6092603049124788	-0.7289666854884246	-0.6182947487295314	-0.7029926595143986	-0.7075098814229249	-0.7323546019198193	-0.36984754376058726	-0.35290796160361376	-0.2919254658385093	-0.1383399209486166	-0.06719367588932806	-0.053642010163749296	0.2523997741389046	0.13043478260869565	0.06832298136645963	0.19141727837380013	-0.024280067758328628	0.034443817052512704	0.23433088650479955	-0.13946922642574816	-0.12365894974590627	-0.017504234895539244	-0.02766798418972332	-0.10107284020327499	0.026538678712591756	-0.05815923207227555	0.07735742518351214	-0.05928853754940711	0.033314511575381144	0.06154714850367024	0.1259175607001694	0.12027103331451157	0.06267645398080181
Lyapunov	0.5238095238095238	0.5238095238095238	0.3333333333333333	0.2619047619047619	0.11904761904761904	0.42857142857142855	0.5952380952380952	0.2857142857142857	0.42857142857142855	-0.3333333333333333	0.30952380952380953	-0.19047619047619047	0.19047619047619047	-0.23809523809523808	0.6428571428571429	0.2619047619047619	0.23809523809523808	0.11904761904761904	0.14285714285714285	0.11904761904761904	0.19047619047619047	0.21428571428571427	0.30952380952380953	0.5714285714285714	0.40476190476190477	-0.047619047619047616	0.38095238095238093	0.30952380952380953	0.2857142857142857	0.3333333333333333	-0.5714285714285714	-0.35714285714285715	-0.3333333333333333	-0.09523809523809523	-0.40476190476190477	0.21428571428571427	-0.5238095238095238	-0.47619047619047616	-0.38095238095238093	-0.5952380952380952	-0.09523809523809523	0.047619047619047616	0.23809523809523808	-0.11904761904761904	-0.5	-0.42857142857142855	-0.2619047619047619	-0.4523809523809524	-0.38095238095238093	-0.4523809523809524	-0.47619047619047616	-0.47619047619047616	-0.5	-0.35714285714285715	-0.42857142857142855	-0.19047619047619047	-0.19047619047619047	-0.07142857142857142	-0.14285714285714285	-0.047619047619047616	-0.07142857142857142	-0.7142857142857143	-0.09523809523809523	-0.09523809523809523	0.7142857142857143	0.5	-0.6666666666666666	-0.6190476190476191	-0.8333333333333334	-0.5952380952380952	-0.4523809523809524	-0.5952380952380952	-0.47619047619047616	0.047619047619047616	-0.38095238095238093	-0.4523809523809524	-0.38095238095238093	-0.47619047619047616	0.023809523809523808	-0.14285714285714285	-0.23809523809523808	-0.2619047619047619	0.0	-0.11904761904761904	0.35714285714285715	0.14285714285714285	0.09523809523809523	-0.2857142857142857
Gradient.Surface.temp(SST)	0.34411764705882353	0.29705882352941176	0.4264705882352941	0.46176470588235297	0.3735294117647059	0.5176470588235295	-0.09705882352941177	0.07941176470588235	0.041176470588235294	-0.1411764705882353	0.28823529411764703	0.3735294117647059	0.34411764705882353	0.04411764705882353	0.40294117647058825	0.3411764705882353	0.5117647058823529	0.43823529411764706	0.538235294117647	0.38235294117647056	-0.04411764705882353	0.2235294117647059	0.36470588235294116	0.45294117647058824	0.47352941176470587	0.3764705882352941	0.18823529411764706	0.29705882352941176	0.12941176470588237	-0.24705882352941178	-0.11764705882352941	-0.0058823529411764705	-0.12058823529411765	-0.3411764705882353	-0.1264705882352941	0.020588235294117647	-0.45	-0.2	-0.1264705882352941	-0.06764705882352941	-0.0029411764705882353	-0.3323529411764706	-0.3205882352941177	-0.21470588235294116	-0.43823529411764706	-0.38823529411764707	-0.3235294117647059	-0.3	-0.27941176470588236	-0.31470588235294117	-0.4147058823529412	-0.37058823529411766	-0.4088235294117647	-0.3176470588235294	-0.23823529411764705	-0.29411764705882354	-0.29705882352941176	-0.46176470588235297	-0.4088235294117647	-0.4088235294117647	-0.4441176470588235	-0.36470588235294116	-0.5911764705882353	-0.5029411764705882	0.48823529411764705	0.45588235294117646	-0.12941176470588237	-0.34411764705882353	-0.3941176470588235	-0.06764705882352941	-0.24411764705882352	-0.5352941176470588	-0.22647058823529412	-0.35294117647058826	-0.2323529411764706	-0.5735294117647058	-0.538235294117647	-0.1588235294117647	-0.17941176470588235	0.020588235294117647	0.06764705882352941	-0.38823529411764707	0.13823529411764707	0.15	0.2529411764705882	0.15294117647058825	0.29411764705882354	0.1676470588235294
Fluorescence	0.585544889892716	0.30547713156408807	0.5076228119706381	0.3924336533032185	0.22868435911914173	0.3201581027667984	-0.03896103896103896	0.2365894974590627	0.1767363071710898	0.043478260869565216	-0.10220214568040654	0.22077922077922077	0.11575381140598531	0.23094297007340486	0.339356295878035	0.1880293619424054	0.20609824957651043	0.4997176736307171	0.5279503105590062	0.2885375494071146	0.42518351214003386	0.1067193675889328	0.2422360248447205	0.1981931112365895	0.2738565782044043	0.19028797289666854	0.034443817052512704	0.1067193675889328	-0.06719367588932806	-0.03896103896103896	-0.3201581027667984	-0.4805194805194805	-0.20835686053077357	-0.08300395256916997	-0.30547713156408807	-0.37210615471485037	-0.26595143986448333	-0.20383963862224733	-0.22416713721061546	-0.16883116883116883	-0.08752117447769622	-0.07509881422924901	-0.13608130999435347	-0.2388481084133258	-0.3901750423489554	-0.1981931112365895	-0.25578769057029926	-0.25691699604743085	-0.2648221343873518	-0.3269339356295878	-0.24675324675324675	-0.3370976849237719	-0.37549407114624506	-0.3246753246753247	-0.39469226425748166	-0.38226990400903443	-0.43873517786561267	-0.3901750423489554	-0.4105025409373235	-0.32128740824393	-0.30095990965556185	-0.13721061547148503	-0.6612083568605308	-0.32806324110671936	0.04686617730095991	0.35290796160361376	-0.269339356295878	-0.27498588368153587	-0.2365894974590627	-0.08639186900056466	0.017504234895539244	-0.2930547713156409	-0.20383963862224733	0.2388481084133258	-0.14850367024280067	-0.09316770186335403	0.023150762281197064	0.000564652738565782	-0.010728402032749858	0.14059853190287974	0.37662337662337664	0.09994353472614342	0.1789949181253529	0.30095990965556185	0.13721061547148503	0.14624505928853754	0.07284020327498589	0.08977978543195934
Si	-0.022556390977443608	-0.1368421052631579	0.11127819548872181	0.18045112781954886	0.20601503759398496	-0.031578947368421054	-0.3804511278195489	-0.10225563909774436	-0.09473684210526316	0.10676691729323308	-0.16090225563909774	0.09473684210526316	0.061654135338345864	-0.36541353383458647	-0.324812030075188	-0.12030075187969924	-0.36541353383458647	-0.18195488721804512	-0.0962406015037594	-0.012030075187969926	-0.15338345864661654	-0.42105263157894735	-0.3233082706766917	-0.3699248120300752	-0.2796992481203007	-0.22556390977443608	-0.2796992481203007	-0.21503759398496242	0.07368421052631578	-0.10075187969924812	0.1443609022556391	0.2857142857142857	0.4781954887218045	0.35789473684210527	0.2887218045112782	-0.11127819548872181	-0.07067669172932331	-0.08270676691729323	-0.21503759398496242	-0.1699248120300752	0.28270676691729324	0.11127819548872181	0.05413533834586466	0.17593984962406015	0.19548872180451127	0.22406015037593985	0.12030075187969924	0.15789473684210525	0.18646616541353384	0.22105263157894736	0.14887218045112782	0.04661654135338346	0.18195488721804512	0.0962406015037594	0.11879699248120301	0.10676691729323308	0.17593984962406015	0.06917293233082707	0.20601503759398496	0.2571428571428571	0.13984962406015036	0.34887218045112783	0.1924812030075188	0.24360902255639097	-0.3383458646616541	0.02706766917293233	0.24962406015037594	0.18796992481203006	0.3819548872180451	0.13984962406015036	0.06015037593984962	-0.11578947368421053	-0.3443609022556391	0.21353383458646616	0.09473684210526316	0.06315789473684211	0.0406015037593985	-0.06766917293233082	0.4932330827067669	-0.03458646616541353	0.03458646616541353	0.362406015037594	0.10827067669172932	0.37293233082706767	0.3609022556390977	0.17593984962406015	-0.02406015037593985	-0.12180451127819548
Residence.time	0.05240259111279813	0.01572077733383944	0.11856086239270577	0.09170453444739673	0.04912742916824825	-0.036026781390048716	-0.17489364783896377	0.07205356278009743	-0.30983031995441895	0.14214202839346493	-0.012445615389289557	0.4657280285149934	0.24301701628560135	-0.11135550611469604	-0.3032799960653192	-0.09039446966957677	-0.23122643328522177	-0.11463066805924592	-0.025546263167489088	0.0982548583364965	-0.06157304455753781	-0.06943343322445752	0.07401865994682737	-0.09301459922521668	-0.011135550611469603	0.09235956683630671	-0.022926133611849184	-0.01768587450056937	-0.3065551580098691	-0.2607028907861707	0.16506816200531413	0.19716474906190298	0.00786038866691972	0.14672725511583476	0.1460722227269248	0.09563472878085659	-0.2102653968401025	-0.23253649806304172	-0.024236198389669138	-0.06943343322445752	0.03668181377895869	-0.13428163972654522	-0.060262979779717854	0.11332060328142596	-0.07663878950246727	0.02161606883402923	-0.11725079761488583	-0.02947645750094895	-0.09366963161412667	0.006550323889099766	-0.038646910945688624	-0.06681330366881762	-0.012445615389289557	0.037991878556778644	-0.028821425112038973	-0.0700884656133675	0.014410712556019487	-0.14083196361564498	0.011135550611469603	-0.03995697572350858	-0.08449917816938698	0.4441119596809642	0.18930436039498325	0.10218505266995635	-0.6432418059095971	-0.3949845305127159	0.4945494536270324	0.4814488058488329	0.08777434011393687	0.20961036445119252	-0.018995939278389322	0.11594073283706587	0.09432466400303664	0.08646427533611692	0.18930436039498325	0.09039446966957677	0.16048293528294427	0.2888692835092997	0.08056898383592713	-0.12576621867071552	0.08580924294720695	0.19454461950626306	-0.028821425112038973	0.3150705790656988	0.08842937250284685	0.03668181377895869	0.29148941306493964	0.24825727539688117
PAR.PC	-0.4691729323308271	0.0015037593984962407	-0.2857142857142857	-0.1293233082706767	-0.02556390977443609	-0.04360902255639098	0.3518796992481203	0.20150375939849624	0.3233082706766917	0.2962406015037594	0.2586466165413534	-0.01804511278195489	0.16541353383458646	-0.03308270676691729	0.03458646616541353	0.14736842105263157	0.14586466165413534	-0.02406015037593985	-0.08270676691729323	0.1593984962406015	-0.042105263157894736	0.26165413533834586	0.09022556390977443	0.29774436090225564	0.14736842105263157	0.22105263157894736	0.2	0.3699248120300752	-0.14586466165413534	-0.11578947368421053	0.20902255639097744	0.42406015037593986	0.20150375939849624	0.022556390977443608	-0.04360902255639098	-0.045112781954887216	0.015037593984962405	-0.10977443609022557	-0.11428571428571428	-0.16691729323308271	-0.47518796992481205	-0.3774436090225564	-0.35037593984962406	-0.11879699248120301	0.009022556390977444	-0.055639097744360905	-0.2646616541353383	-0.19097744360902255	-0.1443609022556391	-0.17443609022556392	-0.12030075187969924	-0.06917293233082707	-0.09924812030075188	-0.04661654135338346	-0.02857142857142857	-0.06616541353383458	-0.006015037593984963	0.05413533834586466	-0.08270676691729323	-0.1548872180451128	-0.11127819548872181	-0.23759398496240602	0.4345864661654135	0.09323308270676692	-0.1849624060150376	-0.5157894736842106	0.01804511278195489	0.29172932330827067	0.05263157894736842	0.2631578947368421	0.21052631578947367	0.3007518796992481	0.22105263157894736	-0.23609022556390977	0.2586466165413534	-0.15639097744360902	0.08421052631578947	-0.13533834586466165	0.01804511278195489	-0.0030075187969924814	-0.2932330827067669	-0.10526315789473684	-0.06466165413533835	-0.4481203007518797	-0.17142857142857143	0.061654135338345864	0.004511278195488722	-0.25263157894736843
Depth.Max.O2	-0.2324203304163535	0.048086964913728304	-0.03721015142133738	0.1288043703046294	0.29252903655851387	0.28794932561434927	-0.1883406125787692	-0.09044929114725087	-0.0160289883045761	0.08186233312694223	0.17746379908637827	0.3245870131676661	0.27249280117779373	-0.007442030284267476	-0.19635510673105724	0.05495653132997521	0.19406525125897495	0.14769567794930838	-0.11334784586807387	0.0045797109441646005	-0.3509203510966125	-0.013166668964473226	-0.10247103237568295	0.08586958020308626	0.027478265664987605	0.14712321408128778	-0.04465218170560486	0.1288043703046294	-0.2787899037260201	-0.40072470761440254	0.20780438409146876	0.5633044461322458	0.36809426713722976	0.11850002068025904	0.16715944946200792	0.09102175501527143	0.02576087406092588	0.005724638680205751	0.016601452172596676	-0.09216668275131258	-0.07785508605079822	-0.35721745364483887	-0.2639058431574851	-0.05610145906601636	-0.027478265664987605	0.055528995197995784	-0.06068117001018096	0.06984059189851016	0.044079717837584284	0.048659428781748885	0.029768121137069906	0.0022898554720823003	0.036637687553316804	0.055528995197995784	0.09445653822339489	-0.048659428781748885	0.08873189954318914	-0.005152174812185176	-0.014884060568534953	0.011449277360411502	0.004007247076144025	-0.02576087406092588	0.18719568484272806	-0.1356739367208763	0.018891307644678976	-0.19234785965491322	0.14998553342139068	0.07957247765485993	-0.07442030284267476	0.15571017210159643	-0.009159421888329201	-0.11163045426401214	0.07041305576653073	-0.3245870131676661	0.08243479699496281	-0.4012971714824231	-0.08586958020308626	-0.3102754164671517	0.133384081248794	0.1425435031371232	0.029195657269049328	-0.10075364077162122	0.06468841708632499	0.0017173916040617253	0.13910871992899976	0.31600005514735746	0.09731885756349777	0.05037682038581061
