	PrpR	HrcA	SdaR	FnrN_FixK	FruR	TtrR	VanR	PsrA	PurR	NnrR	FixJ	FadR	AcnR	RbsR	PhnR	QorR	DasR	GlcC	LiuQ	CueR	MerR	LiuR	ZntR	GntR	FadP	NtrC	SoxR	PdxR	BioQ	NifA	NmlR	AmtR	HypR	AgaR	Irr	Rex	SiaR	Zur	TrpR	PhnF	HutC	PhrR	ModE	NadQ	MetR	RbkR	XylR	CzrA	ThiR	Phr	BirA	NagC	NrtR	FUR	SahR_SamR	NsrR	ArgR	MntR	AraR	KdgR	NikR	PdhR	PhsR	LldR	NagQ	HisR	MetJ	NrdR	IscR	NiaR	FabR	CadR-PbrR	HcpR	PaaR	CblR	CsoR	NorR	LexA	ExuR_UxuR	RutR	GguR	LtbR	NarP	CcpA	TyrR	NagR	GulR	HexR
Nitracline	-0.0661764705882353	0.15931372549019607	0.058823529411764705	-0.17647058823529413	-0.16911764705882354	-0.13970588235294118	-0.4632352941176471	-0.12009803921568628	-0.3480392156862745	-0.3602941176470588	-0.21568627450980393	-0.4534313725490196	-0.4019607843137255	-0.3602941176470588	0.03431372549019608	0.05392156862745098	0.07352941176470588	-0.04656862745098039	-0.45588235294117646	-0.08088235294117647	-0.12009803921568628	-0.09068627450980392	-0.13480392156862744	-0.13970588235294118	0.022058823529411766	-0.12745098039215685	-0.6421568627450981	-0.375	-0.4117647058823529	-0.2647058823529412	-0.2622549019607843	-0.26715686274509803	-0.5269607843137255	0.16911764705882354	0.25245098039215685	0.09803921568627451	0.3897058823529412	0.041666666666666664	0.2426470588235294	0.2818627450980392	0.4632352941176471	0.3112745098039216	0.375	0.00980392156862745	0.3014705882352941	0.37254901960784315	0.0196078431372549	0.19607843137254902	0.13480392156862744	0.15931372549019607	0.27205882352941174	0.29411764705882354	0.33578431372549017	0.125	0.10294117647058823	0.125	0.08823529411764706	0.1323529411764706	0.02696078431372549	0.2107843137254902	-0.0857843137254902	-0.07107843137254902	-0.02696078431372549	-0.04656862745098039	0.06372549019607843	0.32107843137254904	-0.09313725490196079	0.19607843137254902	-0.012254901960784314	-0.11519607843137254	-0.29411764705882354	0.10049019607843138	-0.16911764705882354	0.2622549019607843	0.20833333333333334	0.25245098039215685	0.4387254901960784	-0.02696078431372549	0.3235294117647059	0.19362745098039216	0.5906862745098039	0.44607843137254904	0.4877450980392157	-0.4485294117647059	0.007352941176470588	-0.21568627450980393	-0.10049019607843138	-0.11029411764705882
Okubo.Weiss	0.15604395604395604	-0.13406593406593406	-0.16043956043956045	-0.31868131868131866	-0.21318681318681318	-0.26153846153846155	-0.054945054945054944	-0.3010989010989011	-0.22637362637362637	-0.3362637362637363	-0.015384615384615385	-0.3230769230769231	-0.45054945054945056	-0.24395604395604395	0.2	0.16923076923076924	-0.01098901098901099	0.006593406593406593	0.09010989010989011	-0.07692307692307693	-0.12967032967032968	-0.12967032967032968	0.015384615384615385	-0.05054945054945055	0.01978021978021978	-0.09010989010989011	-0.4065934065934066	0.10329670329670329	-0.16483516483516483	-0.41098901098901097	-0.12967032967032968	-0.01098901098901099	-0.4021978021978022	0.2967032967032967	0.13846153846153847	-0.01978021978021978	0.07252747252747253	0.26153846153846155	0.0989010989010989	0.041758241758241756	-0.1824175824175824	0.08571428571428572	0.002197802197802198	0.2967032967032967	0.14285714285714285	0.2	0.11208791208791209	0.07252747252747253	0.02857142857142857	0.1912087912087912	0.06813186813186813	0.2	0.15604395604395604	0.2	0.2703296703296703	0.18681318681318682	0.06813186813186813	0.0989010989010989	0.10329670329670329	-0.08131868131868132	0.22637362637362637	-0.0989010989010989	-0.1824175824175824	-0.3010989010989011	0.002197802197802198	0.0989010989010989	0.45054945054945056	0.046153846153846156	0.4197802197802198	0.4021978021978022	-0.367032967032967	-0.4153846153846154	-0.14725274725274726	0.3802197802197802	0.24835164835164836	0.02857142857142857	0.13406593406593406	0.13846153846153847	0.26153846153846155	0.1956043956043956	0.1912087912087912	0.35384615384615387	0.08571428571428572	-0.12087912087912088	-0.23516483516483516	0.34505494505494505	0.14285714285714285	0.4153846153846154
ChlorophyllA	0.14963297571993225	0.21626199887069453	0.06945228684359118	-0.163184641445511	-0.2015810276679842	-0.22981366459627328	-0.19932241671372106	0.011857707509881422	0.012987012987012988	-0.16770186335403728	0.0220214568040655	-0.3709768492377188	-0.34839073969508755	-0.15640880858272163	0.4048560135516657	0.053642010163749296	-0.1789949181253529	0.09655561829474874	-0.14285714285714285	-0.10784867306606437	0.12478825522303783	0.2456239412761152	0.08752117447769622	-0.11462450592885376	0.16431394692264256	0.07396950875211744	-0.269339356295878	-0.09881422924901186	-0.16092603049124787	-0.21626199887069453	-0.37775268210050816	-0.3156408808582722	-0.23771880293619424	0.0660643704121965	0.06041784302653868	0.043478260869565216	-0.04912478825522304	0.16770186335403728	0.5110107284020328	0.0502540937323546	0.07284020327498589	0.07284020327498589	0.04799548277809147	-0.07509881422924901	0.0502540937323546	0.053642010163749296	-0.07396950875211744	-0.12140033879164314	-0.1857707509881423	0.08300395256916997	0.10333145115753811	0.11236589497459062	0.10559006211180125	-0.11462450592885376	-0.04121964991530209	0.045736871823828344	-0.07058159232072275	-0.10333145115753811	-0.11801242236024845	-0.10333145115753811	-0.04912478825522304	-0.07622811970638058	-0.04912478825522304	-0.2106154714850367	0.01637492941840768	0.277244494635799	-0.16205533596837945	-0.04009034443817053	0.29079616036137773	0.14737436476566912	0.012987012987012988	0.06154714850367024	-0.12140033879164314	0.22190852625635235	0.383399209486166	0.2987012987012987	0.057029926595143984	0.07171089779785432	0.13156408808582723	0.09542631281761717	-0.07171089779785432	0.11462450592885376	0.08752117447769622	0.07622811970638058	-0.07284020327498589	-0.16431394692264256	-0.21174477696216826	0.19706380575945792
Carbon.total	0.11661506707946337	-0.013415892672858616	-0.06707946336429309	-0.11042311661506708	-0.13519091847265222	0.02786377708978328	0.22807017543859648	-0.31682146542827655	-0.07327141382868937	-0.04643962848297214	-0.11661506707946337	-0.08359133126934984	-0.2631578947368421	-0.24045407636738905	0.43653250773993807	0.18059855521155832	-0.11661506707946337	0.18472652218782248	0.06501547987616099	0.058823529411764705	0.13106295149638802	0.31682146542827655	0.3415892672858617	0.0629514963880289	0.25077399380804954	0.29205366357069146	0.22394220846233232	0.07946336429308566	-0.11042311661506708	-0.07120743034055728	-0.22394220846233232	0.07533539731682147	0.19504643962848298	-0.20123839009287925	-0.021671826625386997	-0.08978328173374613	-0.0010319917440660474	0.1785345717234262	0.2549019607843137	-0.20123839009287925	-0.2301341589267286	-0.22394220846233232	-0.11042311661506708	-0.17440660474716202	-0.18472652218782248	-0.009287925696594427	0.09184726522187822	-0.20536635706914344	-0.2218782249742002	0.03611971104231166	-0.021671826625386997	-0.034055727554179564	-0.05675954592363261	-0.21155830753353974	-0.1785345717234262	-0.07946336429308566	-0.14963880288957687	-0.13312693498452013	-0.08565531475748193	-0.14963880288957687	-0.15789473684210525	-0.029927760577915376	-0.007223942208462332	-0.15995872033023736	-0.18472652218782248	-0.08978328173374613	-0.12074303405572756	-0.2672858617131063	0.24871001031991744	0.10835913312693499	0.22394220846233232	-0.06914344685242518	-0.07739938080495357	0.15170278637770898	0.1021671826625387	0.3684210526315789	-0.02786377708978328	0.03199174406604747	-0.0608875128998968	-0.07739938080495357	-0.2528379772961816	0.11867905056759546	0.03611971104231166	0.28586171310629516	0.10835913312693499	-0.2549019607843137	-0.19091847265221878	0.13312693498452013
HCO3	-0.3535714285714286	-0.06785714285714285	0.06785714285714285	-0.21428571428571427	0.125	-0.125	0.18571428571428572	0.275	-0.08571428571428572	0.3892857142857143	0.025	-0.28214285714285714	0.08571428571428572	0.060714285714285714	0.0	0.18928571428571428	0.017857142857142856	-0.05	0.275	-0.05357142857142857	0.04642857142857143	0.12857142857142856	0.014285714285714285	0.010714285714285714	0.3107142857142857	0.14285714285714285	0.07857142857142857	0.039285714285714285	-0.18928571428571428	0.18928571428571428	0.2785714285714286	0.20357142857142857	0.42857142857142855	0.10714285714285714	0.36428571428571427	0.4714285714285714	0.09285714285714286	0.07857142857142857	0.06428571428571428	-0.04642857142857143	-0.05	-0.04285714285714286	-0.3821428571428571	-0.3464285714285714	-0.11428571428571428	-0.03214285714285714	0.06785714285714285	-0.10357142857142858	-0.30714285714285716	-0.20357142857142857	-0.02142857142857143	-0.05	-0.125	-0.017857142857142856	-0.060714285714285714	-0.11785714285714285	-0.12142857142857143	-0.15	-0.03571428571428571	0.017857142857142856	-0.38571428571428573	0.07142857142857142	0.08928571428571429	-0.02857142857142857	-0.21428571428571427	-0.06785714285714285	0.07857142857142857	-0.21428571428571427	0.4142857142857143	0.24285714285714285	0.025	0.14285714285714285	0.41785714285714287	-0.007142857142857143	0.11785714285714285	0.43214285714285716	-0.40714285714285714	-0.34285714285714286	-0.0035714285714285713	0.03571428571428571	-0.175	0.02142857142857143	-0.08214285714285714	-0.3892857142857143	-0.10357142857142858	-0.5178571428571429	-0.37142857142857144	-0.3107142857142857
Residence.time	-0.14476215794910485	0.08515421055829697	0.030786522278768904	-0.10546021461450625	-0.23450159522977165	0.003275161944549883	0.013100647778199533	0.028166392723128996	0.1545876437827545	0.5541574010178403	0.15589770856057444	0.02358116600075916	0.2692183118420004	0.24760224300797118	-0.08253408100265706	-0.20371507295100275	0.06288310933535776	-0.1290413806152654	0.016375809722749417	0.1716184858944139	-0.036026781390048716	0.04323213766805846	-0.13297157494872527	-0.059607947390807874	-0.06812336844663758	0.009170453444739672	-0.21681572072920227	-0.168343323949864	-0.047817364390428295	0.09235956683630671	-0.13690176928218512	-0.5882190852411591	-0.33013632401062826	-0.22533114178503197	-0.013100647778199533	-0.04716233200151832	-0.037991878556778644	-0.1598279028940343	0.14083196361564498	0.12249105672616564	0.23253649806304172	0.20568017011773268	0.030786522278768904	0.08908440489175683	-0.09890989072540647	0.12773131583744546	-0.14672725511583476	-0.060262979779717854	0.01375568016710951	0.018995939278389322	0.02161606883402923	-0.02751136033421902	-0.07598375711355729	-0.18602919845043336	-0.10349511744777631	-0.07794885428028722	-0.048472396779338275	0.02358116600075916	-0.005240259111279813	-0.030131489889858927	0.0982548583364965	-0.01179058300037958	0.2633230203418106	0.1460722227269248	0.07139853039118746	0.06222807694644778	0.026856327945309042	0.2593928260083508	-0.14083196361564498	0.015065744944929464	0.2607028907861707	0.3759885912343266	0.4041549839574556	-0.20043991100645286	0.06353814172426774	-0.013100647778199533	0.20633520250664264	-0.09104950205848676	-0.11332060328142596	-0.23450159522977165	-0.03668181377895869	0.12642125105962548	0.015065744944929464	-0.08515421055829697	-0.16703325917204404	-0.13362660733763523	-0.16703325917204404	-0.12249105672616564
Depth.Max.O2	-0.2759275843859172	-0.030913048873111054	-0.17918119069044	0.15513770823357584	0.03835507915737853	0.018891307644678976	-0.26161598768540284	-0.05152174812185176	0.09102175501527143	0.3348913627920364	0.32515947703568665	0.42591311780730784	0.24501453551280614	0.34290585694432446	-0.4436594977159457	-0.35893484524890057	0.1929203235229338	-0.03892754302539911	0.03892754302539911	0.10418842397974466	-0.00801449415228805	-0.12479712322848537	-0.03778261528935795	0.16486959398992562	0.005152174812185176	0.1402536476650409	-0.042362326233522554	0.03263044047717278	0.10876813492390927	0.060108706142160385	0.19063046805085151	0.02175362698478185	-0.06354348935028384	-0.47457254658905673	-0.03377536821321393	-0.10934059879192984	0.007442030284267476	-0.09789132143151834	-0.21009423956355106	-0.06468841708632499	-0.15284785276149354	-0.2610435238173822	-0.13910871992899976	0.013166668964473226	-0.05667392293403693	-0.06526088095434555	0.16486959398992562	0.010304349624370351	-0.0022898554720823003	0.10991306265995042	-0.028623193401028754	0.036637687553316804	-0.15055799728941124	-0.12765944256858824	-0.0435072539695637	-0.006869566416246901	-0.005724638680205751	0.029768121137069906	0.0320579766091522	0.05209421198987233	0.5083479148022707	0.6548986650155378	-0.014884060568534953	0.07384783897465419	-0.1036159601117241	-0.06755073642642787	0.13968118379702033	0.21295655890365392	0.016601452172596676	-0.04522464557362543	0.17631887135033714	-0.1517029250254524	0.36179716458900346	-0.2816522230661229	-0.2593261322133205	-0.18261597389856346	-0.29023918108643154	-0.11678262907619731	0.048659428781748885	0.0435072539695637	0.014884060568534953	-0.008586958020308627	-0.3669493394011886	0.07213044737059246	0.012594205096452652	0.1425435031371232	-0.2049420647513659	-0.1700217688021108
Longitude	-0.017504234895539244	-0.0660643704121965	0.1880293619424054	0.03896103896103896	-0.14963297571993225	-0.06832298136645963	0.018633540372670808	0.3879164313946923	0.43873517786561267	0.1067193675889328	-0.034443817052512704	-0.01637492941840768	0.23207227555053642	0.06154714850367024	0.48955392433653305	0.07622811970638058	-0.010728402032749858	0.365330321852061	0.10784867306606437	0.17786561264822134	0.39920948616600793	0.37888198757763975	0.14963297571993225	0.10559006211180125	0.16883116883116883	0.14737436476566912	0.163184641445511	0.03896103896103896	0.41727837380011296	0.043478260869565216	0.017504234895539244	-0.409373235460192	-0.3145115753811406	-0.20045172219085264	-0.10897797854319594	-0.251270468661773	-0.43195934500282324	-0.16544325239977414	-0.14285714285714285	0.019762845849802372	-0.13156408808582723	-0.2648221343873518	-0.08413325804630152	0.006211180124223602	-0.034443817052512704	-0.04009034443817053	-0.47939017504234893	-0.3382269904009034	-0.23771880293619424	-0.1665725578769057	-0.10333145115753811	-0.21626199887069453	-0.1225296442687747	-0.2885375494071146	-0.33258046301524563	-0.2456239412761152	-0.25691699604743085	-0.3156408808582722	-0.07735742518351214	-0.24110671936758893	-0.453416149068323	-0.33145115753811405	0.03670242800677583	-0.034443817052512704	-0.00846979107848673	0.057029926595143984	-0.1857707509881423	-0.1101072840203275	-0.189158667419537	-0.08977978543195934	0.2896668548842462	0.23433088650479955	-0.029926595143986448	0.13946922642574816	0.1541501976284585	0.13721061547148503	0.28063241106719367	0.12704686617730096	-0.28514963297571994	0.003952569169960474	-0.12140033879164314	-0.034443817052512704	0.1417278373800113	0.12140033879164314	0.15189158667419536	-0.10784867306606437	-0.1507622811970638	0.01637492941840768
PAR.PC	-0.08270676691729323	-0.039097744360902256	0.05112781954887218	-0.21203007518796993	-0.3969924812030075	-0.27669172932330827	-0.45714285714285713	0.2586466165413534	0.3007518796992481	0.009022556390977444	0.162406015037594	0.08571428571428572	-0.022556390977443608	0.045112781954887216	0.0887218045112782	-0.07819548872180451	0.3443609022556391	0.5007518796992482	0.045112781954887216	0.162406015037594	0.24060150375939848	0.14135338345864662	0.04962406015037594	0.25263157894736843	0.35789473684210527	0.3849624060150376	-0.05263157894736842	0.07518796992481203	0.03458646616541353	-0.14736842105263157	-0.02706766917293233	-0.34285714285714286	-0.5368421052631579	-0.40601503759398494	-0.07518796992481203	-0.42406015037593986	-0.0481203007518797	-0.07819548872180451	-0.1699248120300752	-0.03609022556390978	-0.24511278195488723	-0.19699248120300752	-0.2556390977443609	-0.07819548872180451	0.13383458646616542	0.058646616541353384	-0.11127819548872181	-0.2661654135338346	-0.09172932330827067	0.05714285714285714	0.02556390977443609	0.015037593984962405	-0.12481203007518797	-0.21503759398496242	-0.18796992481203006	-0.13984962406015036	-0.21654135338345865	-0.17293233082706766	-0.07819548872180451	-0.10526315789473684	0.18045112781954886	0.5097744360902255	0.0962406015037594	0.007518796992481203	-0.14887218045112782	0.20300751879699247	0.3022556390977444	0.19548872180451127	0.281203007518797	0.11428571428571428	0.29473684210526313	-0.2511278195488722	0.007518796992481203	0.2721804511278195	-0.20601503759398496	-0.12180451127819548	0.21954887218045113	0.02556390977443609	-0.012030075187969926	0.019548872180451128	-0.06015037593984962	0.16541353383458646	0.006015037593984963	0.09774436090225563	0.06766917293233082	0.03609022556390978	-0.24812030075187969	-0.2631578947368421
PO4	0.028070175438596492	0.09473684210526316	0.06315789473684211	0.10526315789473684	0.10526315789473684	-0.04035087719298246	-0.03333333333333333	0.07192982456140351	-0.13333333333333333	-0.06491228070175438	0.10350877192982456	0.11228070175438597	-0.012280701754385965	0.11403508771929824	-0.5578947368421052	-0.656140350877193	-0.30526315789473685	-0.34035087719298246	-0.2824561403508772	-0.3631578947368421	-0.4052631578947368	-0.4649122807017544	-0.2596491228070175	-0.3192982456140351	-0.4631578947368421	-0.37543859649122807	-0.1368421052631579	-0.4964912280701754	-0.15964912280701754	-0.20877192982456141	-0.18771929824561404	0.18947368421052632	0.3	0.2929824561403509	0.156140350877193	0.3719298245614035	0.13859649122807016	0.2894736842105263	0.33157894736842103	0.5245614035087719	0.3649122807017544	0.14035087719298245	0.14035087719298245	0.3719298245614035	0.1456140350877193	0.11052631578947368	0.22456140350877193	0.41754385964912283	0.30701754385964913	0.1631578947368421	0.24385964912280703	0.3333333333333333	0.21403508771929824	0.3508771929824561	0.3456140350877193	0.2789473684210526	0.3175438596491228	0.2982456140350877	0.3456140350877193	0.2789473684210526	0.48596491228070177	0.41754385964912283	0.08771929824561403	0.11929824561403508	-0.008771929824561403	-0.23157894736842105	0.14385964912280702	0.021052631578947368	0.08421052631578947	0.11578947368421053	0.11052631578947368	0.28596491228070176	0.24385964912280703	-0.41403508771929826	0.07192982456140351	-0.23508771929824562	-0.15263157894736842	-0.2929824561403509	-0.14736842105263157	-0.30701754385964913	-0.18771929824561404	-0.07192982456140351	-0.29473684210526313	0.4543859649122807	0.3192982456140351	0.312280701754386	0.312280701754386	0.18947368421052632
