	ExuR_UxuR	LexA	HutC	PhnF	LldR	NarP	NagR	SiaR	Irr	NiaR	LiuQ	KdgR	NagC	Zur	NrtR	Phr	FUR	MntR	ThiR	IscR	MetR	RbkR	NsrR	SahR_SamR	AgaR	GulR	CcpA	NadQ	CzrA	ModE	Rex	AraR	BirA	ArgR	XylR	TyrR	SoxR	PsrA	HypR	HisR	HexR	PhrR	GguR	PhsR	NikR	TrpR	NagQ	AmtR	PdhR	HcpR	RutR	CblR	PrpR	CsoR	NrdR	DasR	NorR	TtrR	FixJ	PhnR	CadR-PbrR	GlcC	VanR	LtbR	MetJ	AcnR	NmlR	ZntR	NifA	MerR	CueR	FadP	FabR	GntR	BioQ	PaaR	LiuR	RbsR	FnrN_FixK	NnrR	NtrC	FruR	PurR	FadR	PdxR	SdaR	HrcA	QorR
CO3	-0.38696094984465035	-0.07615909883362351	-0.17752684571054297	-0.12525034347759084	-0.245948366023285	-0.22173767422031473	-0.2478075721696452	-0.17063684646226687	-0.2400699936487637	-0.3256481589150504	-0.24654987389416622	-0.581986206344466	-0.5334281164042344	-0.4451294950855529	-0.49077574010538216	-0.44065919795423086	-0.5091217301672603	-0.5195387528402491	-0.4964080410781793	-0.38351595022051227	-0.47906000725662695	-0.4781577454503051	-0.4174738036584446	-0.456148025629423	-0.4316502505244413	-0.3311300829201272	-0.4161204109489618	-0.25882610271351536	-0.2907060198702215	-0.20094464077462432	-0.37357739971754256	-0.3476305374690742	-0.5050478814053827	-0.40675602705001507	-0.3536592868113158	-0.28973540489675403	-0.06386919938084527	-0.34959910868286737	-0.02222844995574795	-0.26933881982050806	-0.1324547672947367	-0.20495013636935625	0.05425874408017443	-0.05311041087212841	0.1233091135306559	0.012453947053927664	0.07540721399502195	0.136843040625484	0.0064662096119734195	0.1060704447765365	0.21021333023956718	0.06570106426034726	0.02585116781446456	0.24382941784177148	0.03678767455775998	0.3156549258783642	0.2514849725620783	0.15205845563209375	0.30953048210211875	0.2938092536586316	0.33151286065614255	0.3637345436485767	0.2188121586664832	0.31655718768468605	0.2615875706661974	0.4593742951186952	0.28773949241610264	0.4345757660782728	0.2156132304440693	0.4479593162053806	0.3122646087879426	0.32875139270346043	0.2276707291285525	0.44394014997721953	0.3909937867062405	0.454657926585649	0.32258593702692767	0.2933854640223289	0.2872336789792252	0.29452012659694576	0.3357917689194569	0.45871810471409746	0.3643633927863162	0.4400166781830623	0.3014101258452219	0.04144936055708966	0.20239372791811094	0.1647037915540291
Carbon.total	-0.3079811943245352	-0.06707304070393456	-0.20689508038134133	-0.22671114521709548	-0.24713890480370207	-0.12770194833493545	-0.1855853423167615	-0.14851379532324008	-0.12248120476370661	-0.2491589200274473	-0.27413882659714167	-0.4650018143224206	-0.41013421771689024	-0.34320343160617717	-0.37969173476749046	-0.333473217429827	-0.39728862794898934	-0.39620749304050595	-0.4288264712661946	-0.3307988310772629	-0.3824799247946318	-0.3448535848875465	-0.33856593186715644	-0.348609106148594	-0.3494199573299565	-0.2364129084748014	-0.25221739378170943	-0.2121300494118923	-0.20841720452881132	-0.21794826227465144	-0.2669122932614898	-0.2513496407630583	-0.35885143686054155	-0.2978526672871648	-0.287112445498942	-0.04052833360880373	0.006202300264457152	-0.24365366726977547	-0.030627413920587727	-0.1429089643503132	-0.06654669870901504	-0.18056375517604273	0.023571586096801607	0.0474845832173348	0.03210686169009127	0.02653048163580869	-0.1678888709200076	0.005562154594960428	0.01883450814252585	-0.0017070551186579319	0.21296935151189914	-0.1079143344178256	0.001322967716959897	0.05024432232583179	-0.02899148609854054	0.18850156147780212	0.2613359132072072	0.02782499843412429	0.24742341399014506	0.10916617483817474	0.13788737720959443	0.0800324341464127	0.12984999269258002	0.2792884428717598	0.1360665184163593	0.37013222610300606	0.3464041599536608	0.31876409249072446	0.21282709691867766	0.3036424292312796	0.2503965349884743	0.2751772851276586	0.25123583708848113	0.37590776258779873	0.3246818835687386	0.33560703632814937	0.3819251318810679	0.2826598767311092	0.28761033657521723	0.23965631320025146	0.28748230744131786	0.3850831838505851	0.3191197289737782	0.3429758242570228	0.22545930479674633	0.05203673020042262	0.06394343965306169	0.09927948060928088
NPP 8d VGPM (mgC/m2/day)	-0.18635545606544518	-0.2904119590622962	-0.1781669978207004	-0.17289768783239032	-0.2339586004081948	-0.334180629000407	-0.07976943688875986	-0.20426616231679023	-0.04171537074078812	-0.11139766609089335	-0.2790755210240657	-0.4224601252130104	-0.40913223433882234	-0.3735891304622754	-0.3800706291333422	-0.3426288419628854	-0.3861253879109896	-0.4035042154545944	-0.39967592568609217	-0.45801559836183037	-0.46801615499457383	-0.3618939835281271	-0.34294425840584764	-0.3430246586756223	-0.35931499025920066	-0.3239636101028856	-0.3124849254335153	-0.25060145625155444	-0.14965582523137005	-0.17944721750095885	-0.3138455453835484	-0.2584064670558353	-0.2637499926777836	-0.29654711810971823	-0.2536071894139003	-0.12268462704003172	-0.08732087761144366	-0.11425496798596291	0.015795560692657206	-0.15529621338787097	-0.16558126328289405	-0.1724523940305613	0.023136723786699537	0.06315750422608277	0.04086807559008568	-0.07318898403950877	-0.10410598008594314	-0.11192336016249706	-0.040781490684174485	-0.11886870654380248	0.09802029812761319	-0.17660228487816232	-0.014744172549449798	-0.024324173924910257	-0.05470310662746789	0.21212065021016324	0.244738421194139	0.0589828748339357	0.1268963642489979	0.14020570121477638	0.11408798281027702	0.07999208378967436	0.10492853669209952	0.24379835650138884	0.18265085901967318	0.24911714357879103	0.28092472722888345	0.1556982147367444	0.1989721137839341	0.21892374996032882	0.2827430102530186	0.36995874905014153	0.3845173825154959	0.4103011305686235	0.21818777826008365	0.07710385871392224	0.39422107661368666	0.24292013817000382	0.2124113281085794	0.3422577637946945	0.38431328952299093	0.4113277801672849	0.40289193647707955	0.3059910574901754	0.26756591317401285	0.13831320255700305	0.16313833200897096	0.13965526859862662
Fluorescence	-0.35910231422381605	-0.27473692684457934	-0.10657306733230777	-0.15805037147817522	-0.2732461497156779	-0.1171904800296947	-0.17040352468245204	-0.3371745924170176	-0.15453689674245455	-0.10739194491015502	-0.14529827791546	-0.3817999209328641	-0.3695237562188122	-0.26524634568593947	-0.2970145963342185	-0.2718813537525992	-0.3322543279962773	-0.29443898138851093	-0.3013259517868159	-0.32685813472687364	-0.36870487864096496	-0.33711160183410627	-0.31682163518300227	-0.33640470751476803	-0.3961477759293329	-0.37066458566487287	-0.12252368271618702	-0.22037605379210448	-0.08203473581151766	-0.12369950693053179	-0.1124591873576884	-0.2223217629086988	-0.22549928786889237	-0.24912775541429666	-0.1681428626513011	-0.2025217230135718	0.11866725925128248	0.038165294290607096	0.04813880325156714	-0.00213468086532829	-0.021843734362916697	-0.08650006824456503	-0.24321363957428876	-0.10459236344742939	0.08503028797663408	-0.012920068450478765	0.12442039915718364	-0.029927525836536944	-0.09449987227430351	-0.023383504167415792	-0.031467295641036036	0.02937460849764863	-0.1363886099103357	0.020912873526560426	-0.2132231231548405	0.03786433928336409	0.006208071893594076	-0.14076295594584448	0.11289312248441087	0.07708647557615012	0.0011898221216583911	0.19074248400915372	-0.09281312444301132	0.10640509244454423	0.12306260214776171	0.23977015437513624	0.2362636785930724	0.0621997011481066	0.09113337556537594	0.13078244803122763	0.16483935652528486	0.2446274282129652	0.4330252627470862	0.5277630994457214	0.2679269449364992	0.25002362148236884	0.31805345102660154	0.17969813513870111	0.2973575450634024	0.2831076754181289	0.36400858073724274	0.32620723203679	0.30231980320608354	0.48956281038683025	0.3625457994229686	0.29356411218140915	0.4131832291300183	0.2604100687090809
ChlorophyllA	-0.14190516849033677	-0.2371042207976092	-0.18597629070956231	-0.21550971017979778	-0.3164706913479107	-0.1175229925846015	-0.10589169948671248	-0.210952188431184	-0.15806005637593176	-0.16002216561509922	-0.18948207667003447	-0.37827995962842836	-0.3777088557864805	-0.24645109852770672	-0.3362896910115476	-0.3065074738279883	-0.3292781190906033	-0.3237649879430866	-0.3074235017724988	-0.3518565115747408	-0.38809050582426574	-0.3036180276573411	-0.3368438313730416	-0.3434822067240001	-0.3384723254966157	-0.26128848943138233	-0.19025674227742911	-0.21108789627481517	-0.1495217712141367	-0.1652242996209611	-0.17703088201687373	-0.22520151201245783	-0.23081076954921326	-0.2383369003772591	-0.1539266216386654	-0.13016644001623973	0.07983013901604137	0.014204087633396794	0.04828371986527676	0.06556950644779826	0.02745822036137533	0.007209479192906414	-0.13569088015072567	-0.01678819115587384	0.10652500275699132	-0.05996024891104283	0.04303634991153782	-0.005009881227384379	-0.07645440640571578	0.011252442034418638	0.008600484590126004	-0.02223912287505955	-0.10430278681753076	0.07489942069744185	-0.10970282809535478	0.1532650459009634	0.23688935004519318	0.07012702819641203	0.12136239366066695	0.09998840828875617	-0.06536594468235149	0.06230120921368068	0.03932700218561891	0.11050576617017259	0.030726517595492903	0.2849808171319924	0.19704213445898808	0.09190248260573172	0.039276111744257214	0.22862813506414512	0.1836070579395013	0.2498437946184862	0.37079906474825963	0.38124856870786045	0.166072473643656	0.21454844628741024	0.4120938306665306	0.21747181941896523	0.1865304310710563	0.21881758886830777	0.2404969168883887	0.30517301336561503	0.38866726415969827	0.4198631047144157	0.21804292326091312	0.06580134068066819	0.2089165707767163	0.1335252091461114
NO2	-0.3184761860681082	-0.2708756128798373	-0.18024054029502312	-0.13628834959720124	-0.2786498757735957	-0.2156723776102423	-0.1448683902189115	-0.08536021282868447	-0.0651710042005558	-0.13734779809136025	-0.18319505863084684	-0.34342545201506397	-0.3279366134666548	-0.2470081781417059	-0.3229154244767322	-0.3026292240850537	-0.28009729132195377	-0.29170645932837214	-0.3155962767811689	-0.2810672089574514	-0.34623821315800724	-0.3722320057893451	-0.31760326019616025	-0.30220395250641247	-0.2386818082862027	-0.1374597116646869	-0.32702638307026466	-0.28860272289477956	-0.1290438109505224	-0.1729437753141252	-0.13599737430655193	-0.14025755099785328	-0.2801868221806151	-0.22662498598647768	-0.16637071810740628	-0.2599603090280442	-0.013429628799198677	-0.006796884353372219	0.034521606918829044	-0.039796466674958744	0.0929927185295624	-0.01353408146763689	-0.05298734651772723	-0.030604631852396095	0.13075981907486445	-0.08318908950614735	-0.00033574071997996693	-0.13873552640061076	0.03268622431627189	-0.0616718398078757	0.13140891780015906	-0.0017756953634496028	-0.04027396458781914	-0.05770263840722365	-0.07410916825691137	0.1324758271992065	0.06980422613627935	0.05741166311657434	0.09526083361564928	0.11624089816195299	0.09970007202427329	0.12744717730439545	-0.015623134836401128	0.13281156791918647	0.028746866535173613	0.3520204144465511	0.2771054684616878	0.19980303291252255	0.1387579091152761	0.27594902820397904	0.20066849787958202	0.2514101120258877	0.24625462674797308	0.2549615027527869	0.09861077991056051	0.23317566047853125	0.3355989627870865	0.20319774463676443	0.21409066577389224	0.1610809365414997	0.20135490112931884	0.30220395250641247	0.2785752667247112	0.40364987627458154	0.18203115746824963	0.0674241974768658	0.1260370662804796	0.04116927317443239
Longitude	0.16305862861634687	0.13076581632561077	-0.02836293931891653	0.04940896406871862	0.09724597894870941	0.0869548008066783	-0.026938006960789143	-0.015691219419855136	-0.12031065787252532	-0.13237169247524638	-0.14006180361434656	-0.13621674804479647	-0.1408025422608334	-0.19453153935181125	-0.12593687888973462	-0.16624210844819495	-0.17341766068019357	-0.16592545681305554	-0.18317731643466925	-0.10710741558590847	-0.11052838414411112	-0.042295611265050964	-0.10469860136145503	-0.11452045654426166	-0.06824408186602943	-0.0936384121055139	-0.1312747207392277	-0.18845295885583135	-0.19260901156703622	-0.055510162538637074	-0.26259467742633247	-0.13691225074340627	-0.16208040124350545	-0.15246776231963025	-0.15365520595140306	0.16395769308040345	-0.22843588228566764	-0.26898425506396717	-0.16098342950748676	-0.09049451372805824	-0.026966279428212305	-0.12662672709485978	0.19795816240349856	0.035606345472730734	0.030788717023823863	0.0692845086672018	0.07606990084876078	0.14963486108382937	0.0190273705757883	0.2082549950390143	0.22431941102885516	-0.17475777563605147	0.16305862861634687	0.185258170037014	0.2858289911546873	0.21925863936010911	0.27530032428630163	0.1434262272377029	0.18887139137369416	0.160225727380546	0.29023949607270066	0.02888880721298735	0.1073562132992323	0.14810249334949396	0.16011263751085336	0.05960401582151099	0.02262362843201456	0.17514793568649112	0.1919078543749418	0.13018905799017827	0.14685850478287482	0.10075741940266619	0.01093579039927922	-0.12418964040298319	0.036675044741326275	-0.005162552551469456	0.09906672585076108	0.17185136598495038	0.09832033271078959	0.07619995419890732	-0.01656201141648854	0.0260954874315789	0.05217966587618854	-0.058659715409577366	-0.24719183717419357	-0.15942278930572817	-0.14538833647687036	-0.11275060008357168
Iron.5m	0.1986297702251125	0.09468335733057336	0.10694361646529729	0.07094324300973796	0.13128317150028432	0.15233711280959117	-0.1170040412811063	-0.03459225328741069	-0.12484201137369272	-0.05550481706979499	-0.19875983754988125	-0.15001852136806126	-0.1493116337334485	-0.2045959018612443	-0.12191832411693429	-0.1459581587948455	-0.1867879885700793	-0.17170583399798117	-0.17884257155703173	-0.07823266829786488	-0.09311689433227144	-0.049657442556278124	-0.09129029668443203	-0.08201027581723555	-0.11461758862665357	-0.12414643394123376	-0.11285885219173698	-0.09155608643504644	-0.1483050257417599	-0.01999643740792614	-0.1883544515683812	-0.1196110428775582	-0.16025990941833113	-0.16080279912171375	-0.1699923383716798	0.11696445557356798	-0.22347828435702072	-0.2835015271872605	-0.23079598515053215	-0.15997715436448603	-0.0832091572455388	-0.15597899790311617	0.1498319030325235	0.05571405580964037	0.09963157077286276	0.1400655434727134	0.10961847927467203	0.21228118422475437	0.11876277771602287	0.18774935575315269	0.20596443632185463	-0.04128789296246288	0.19105758988314045	0.21173263942029485	0.25969920675457925	0.22556501665439763	0.16731747556230506	0.08514885691491626	0.18086144264148582	0.1201200019744794	0.36362865434588765	0.15808269550372378	0.14844074816760555	0.2366603249672797	0.15393185131327758	-0.0731148018232684	-0.008516582221814697	0.1126383032497378	0.21040369066722284	0.08771627280382985	0.19261839778036546	0.07889431512386244	-0.09819517509932961	-0.03739152832047728	0.11410862952973237	0.022201926827917995	0.022111445210687558	0.049425583412125135	0.04791567142459225	0.11050067504266878	0.06548607047052735	0.04801746324397649	-0.05246237269042161	-0.002035836387684788	-0.1165233576895696	-0.10086438280762744	-0.09999349724178451	0.01573249119594189
Latitude	0.1275823364937627	-0.11178933619118415	0.12122103132355114	-0.0278879618662074	-0.030319394064599367	0.05536880020152126	-0.049160166355394795	-0.004122125750297079	0.07188557567013273	0.05146719969712485	-0.16972527643472857	-0.1222049131898772	-0.13892525042393544	-0.12017495002889413	-0.11831462167245005	-0.14748049906618438	-0.12904119581279785	-0.14674541491318216	-0.13256959974720853	-0.030285467103691573	-0.06261220635533547	-0.038563645565193524	-0.10015238859981052	-0.04457437213935785	-0.11025696845684876	-0.08784821077725023	-0.12347151973043487	-0.03175563540969602	-0.051110966607593004	-0.0078088555022774574	-0.06442729876390249	-0.06934105360204812	-0.11916279569514492	-0.12652494621213642	-0.08122114441326096	-0.012111925044082775	-0.17186832946540428	-0.11076021837698105	-0.12524703068460946	-0.16554095125610052	-0.07653356931450064	-0.10107972553129024	0.020746336595116575	0.07269982273191981	0.11912321424075249	0.08982162900338697	0.004823282942391507	0.103268014509843	0.18007865400509065	0.04936372812084156	0.1658180214368475	0.15914006463149657	0.21377943517350023	0.1727051945011299	0.16873574007491787	0.18906364415217167	0.1241217864811676	0.05078300598548432	0.10480038224417841	0.09536868711181143	0.25469535002830085	0.13653905417342052	0.14129448319399646	0.25338916203335077	0.0842745708949625	-0.06617453725065393	-0.02594847060097846	0.003907254997881045	0.10701128919666972	0.0400564318451365	0.12960099066777647	0.0858408655902057	-0.15878948603544935	0.022001634148704985	0.1869149366280113	0.000469322959224496	0.02692669797381988	-0.06705098374077197	-0.0948597826981945	0.022437030147021687	0.06161701550204015	0.04338692850758503	-0.10727705039044744	0.13043785570350208	0.11757953751944782	-0.045643071407953394	-0.01376303714159546	0.051693379436510145
Salinity	0.1919299297148447	0.09034158698565459	0.12163346545962421	0.05168757880928013	0.044811734171703865	0.08037839763416661	-0.15072009770937117	-0.021718848069844105	-0.10689789709981849	-0.049063901250204975	-0.16700499290363074	-0.1309633533313354	-0.13524944727482457	-0.19511905502372054	-0.13142702048617197	-0.14561975900616903	-0.14463587992151586	-0.14854877835013655	-0.1491707708749173	-0.06184302039570033	-0.11589982527664532	-0.10038393902211466	-0.10494144788550815	-0.07115029035741953	-0.06989499635286202	-0.09155164517022804	-0.16679012275870647	-0.1352720651848166	-0.10593663592515734	-0.07846718423984032	-0.13804275915883993	-0.0874464945066751	-0.15517582597780052	-0.14046287552798684	-0.14898982759498108	-0.12788731757241972	-0.08508292291250827	-0.26791479833306003	-0.2922064336644972	-0.2652458849540008	-0.1737225121712628	-0.16002736767109035	0.24379279732656303	0.03508603287513217	0.03214570457616864	0.00013005298245415633	0.09278432126479352	0.11445227903715557	0.19684932513811063	0.11187383729806447	0.14347105755692646	0.022363458504616882	0.19333224013435038	0.01090748709365511	0.10413851208079117	0.14115272178274366	-0.07401145597141096	0.09304442722970184	0.13159665481111218	0.06018060401128634	0.3512278697886922	0.2582456418114684	0.07473522909115583	0.31374999293190314	0.14829998134022426	-0.0949217137590401	0.07078840379754708	0.03251890009103709	0.1944292087689637	0.11793543717592776	0.20683513239959062	0.12925570112693738	-0.11350232681749042	0.053123816093773854	0.08330741697813414	0.0895160332709456	0.04170177154780012	0.048317510220468075	0.0533273772837021	0.15034690219450272	0.13969386658825791	0.12766113847249944	0.013056188542897694	0.08313778265319394	-0.08722031540675484	-0.019411821250657334	0.0208819854001391	0.09454851824417165
