	NmlR	ZntR	CsoR	TtrR	GlcC	NifA	MerR	CueR	FadP	DasR	FixJ	PhnR	HrcA	QorR	PdxR	AcnR	PaaR	RbsR	FadR	GntR	FnrN_FixK	LiuR	PurR	NnrR	NtrC	BioQ	FruR	ExuR_UxuR	LexA	LldR	HcpR	LtbR	RutR	PdhR	AmtR	CblR	PhsR	PrpR	NagR	NrdR	NarP	TrpR	NiaR	HisR	HexR	PhrR	CcpA	TyrR	IscR	Zur	MetR	KdgR	NagC	NrtR	Phr	FUR	MntR	ThiR	RbkR	NsrR	SahR_SamR	AraR	XylR	ArgR	BirA	AgaR	GulR	Irr	SiaR	HutC	PhnF	NadQ	CzrA	ModE	FabR	SdaR	NagQ	SoxR	HypR	NikR	LiuQ	PsrA	Rex	NorR	GguR	MetJ	CadR-PbrR	VanR
HCO3	-0.6326109391124871	-0.4200206398348813	-0.4282765737874097	-0.2714138286893705	-0.5025799793601651	-0.28173374613003094	-0.4984520123839009	-0.38699690402476783	-0.2631578947368421	-0.46542827657378744	-0.3539731682146543	-0.22807017543859648	-0.048503611971104234	-0.1393188854489164	-0.11248710010319918	-0.2776057791537668	-0.21568627450980393	-0.017543859649122806	0.017543859649122806	0.24458204334365324	0.14138286893704852	-0.15170278637770898	0.22807017543859648	-0.04437564499484004	0.12280701754385964	-0.11661506707946337	-0.04231166150670795	-0.4262125902992776	-0.1042311661506708	-0.11042311661506708	0.19711042311661506	0.08565531475748193	0.07739938080495357	-0.10835913312693499	-0.28792569659442724	-0.07327141382868937	0.34365325077399383	0.07739938080495357	-0.4716202270381837	-0.3973168214654283	0.034055727554179564	0.2982456140350877	-0.03611971104231166	0.36016511867905054	0.15789473684210525	0.12487100103199174	0.43653250773993807	0.5397316821465429	0.17440660474716202	0.15376676986584106	0.09184726522187822	0.19504643962848298	0.2693498452012384	0.3065015479876161	0.32094943240454077	0.21362229102167182	0.2899896800825593	0.25696594427244585	0.1785345717234262	0.1001031991744066	0.21775025799793601	0.12074303405572756	0.40144478844169246	0.30856553147574817	0.36635706914344685	0.12487100103199174	0.3890608875128999	0.16202270381836945	0.02786377708978328	0.19091847265221878	0.02786377708978328	0.26109391124871	0.23219814241486067	0.43034055727554177	0.39525283797729616	0.6697626418988648	-0.26109391124871	0.1867905056759546	0.24664602683178535	0.21775025799793601	0.21981424148606812	0.45098039215686275	0.32301341589267285	-0.3106295149638803	0.007223942208462332	0.0629514963880289	-0.19091847265221878	-0.12487100103199174
Temperature	-0.2836705279453371	-0.3665083008594459	-0.3271606256339081	-0.3037153686008648	-0.5071798430577057	-0.3998558693215182	-0.4234185661666578	-0.4416751187743554	-0.44216089254257196	-0.30470826883040625	-0.31275289595900285	-0.3269737895692094	-0.5631879570810868	-0.5112208402284738	-0.5131372444349543	-0.4595046175198847	-0.5680723856296376	-0.46722361607857793	-0.5406982330646453	-0.6397747290877062	-0.3951315859712806	-0.4682752362141675	-0.5153472481716757	-0.5310948593391341	-0.535530881332408	-0.47112582074414133	-0.5179522767309027	-0.1340788982010356	-0.1045534618053702	-0.17436609192334382	-0.25526610793786364	-0.25330166017188915	-0.24443495435861848	-0.2407195857577537	-0.3353280307478781	-0.23488496236587839	-0.20783643837078952	-0.0593871777077884	0.48736988202637055	0.34836918806384454	0.14867880211391662	0.11101265147066673	0.35922703250947524	0.2521592910905888	0.308626488015801	0.44662360540223134	0.38504777665083006	0.31842203597928787	0.41042545241018524	0.4988309400523141	0.537004217156889	0.5962953077456894	0.5713019804622858	0.5260716382853787	0.5006565953130838	0.5552767842844178	0.5236534457908504	0.52629050338974	0.4844605775903486	0.4958041958041958	0.5354668232530828	0.43878182885816475	0.4285912560721721	0.47776117012758235	0.5147386964180858	0.6008594458976139	0.5493033683873378	0.538338760476165	0.5594886030000534	0.3105001868360647	0.40890941119948754	0.3638392142208936	0.43186355629103723	0.3796935888538942	-0.29408530400896815	-0.3238990017615972	-0.06599049805156676	-0.0001494688517589281	0.13824801153045427	-0.030662467303688677	0.2852132600224203	0.039838787167031445	0.06330539689318315	0.02471574227299418	0.15924304702930658	0.14054342603960926	-0.02505204718945177	0.13686008647840708
Oxygen	-0.11941628264208909	-0.22481720430107527	-0.43880798771121354	-0.4511152073732719	-0.4509493087557604	-0.4162764976958525	-0.41397235023041473	-0.39678033794162826	-0.31814439324116744	-0.4833609831029186	-0.3989984639016897	-0.53563133640553	-0.18302918586789554	-0.11877112135176651	-0.3334869431643625	-0.4193056835637481	-0.3442089093701997	-0.3462611367127496	-0.34902611367127495	-0.2386236559139785	-0.3723932411674347	-0.24455299539170508	-0.23429800307219661	-0.24000614439324117	-0.17278648233486943	-0.3191090629800307	-0.3563563748079877	-0.399889400921659	-0.23458064516129032	-0.15221505376344086	-0.49891858678955453	-0.17559447004608295	-0.35842703533026116	-0.14758832565284177	-0.23638095238095239	-0.27281720430107526	-0.07090015360983103	-0.35634408602150536	0.047821812596006145	0.19571121351766513	0.21414439324116744	0.4626543778801843	0.23457450076804914	0.3418863287250384	0.365173579109063	0.39301382488479264	0.2631889400921659	0.3869308755760369	0.1697142857142857	0.32498924731182793	0.30451612903225805	0.3220153609831029	0.3413271889400922	0.4032749615975422	0.4011920122887865	0.32953609831029185	0.36331182795698924	0.34854070660522274	0.3832012288786482	0.4178310291858679	0.3723748079877112	0.3302119815668203	0.3569953917050691	0.4104516129032258	0.4230721966205837	0.1862242703533026	0.24929032258064515	0.4195268817204301	0.3007926267281106	0.39691551459293395	0.44814132104454685	0.4296036866359447	0.4741505376344086	0.4386175115207373	0.24478648233486944	0.37276190476190474	0.08792626728110599	0.06748387096774193	0.218826420890937	0.163926267281106	-0.17516436251920123	0.26554224270353305	0.30455299539170505	-0.10632872503840246	0.0261321044546851	0.15984024577572964	0.016737327188940092	0.14566513056835637
FluxAttenuation	-0.04518052774125448	-0.08303623534655236	0.07409087978228676	0.025377584807318693	-0.37645037999617703	-0.29205289488984515	-0.3082258384643688	-0.2503079022566057	-0.3238477999932674	-0.2110585341829621	-0.1429312247768524	-0.26064691828921704	-0.23795942229289124	0.0014908925940442656	-0.08242043188379494	-0.417028587121034	-0.2732546839214609	-0.34705386732665205	-0.2439554033776345	-0.25740584743259903	-0.24214040369792844	-0.2107668378058665	-0.39547546592452454	-0.39187787727367857	-0.30543851752767737	-0.2524470090219736	-0.3846826999719867	0.12432747805986527	-0.0859856098260747	0.10300123182331904	-0.24995138446237772	-0.3529202055771306	-0.18389836040450352	0.1005056072637232	-0.14273676052545534	0.11800738988946023	-0.07678096859327968	-0.05555195448243198	0.22645362075189746	0.07564659379346339	0.11962792531776922	0.27944512925760123	0.19922862555630652	0.2868671815192564	0.29490503724366895	0.28275102153135157	0.3009010183284122	0.2289492453114933	0.36034225783878576	0.3609904720101093	0.3474427958294462	0.3632916323183081	0.3559992228909177	0.3693848455287499	0.36322681090117576	0.3688338634831248	0.3736630590594856	0.3506838666860642	0.3588513652447415	0.32426913920462774	0.28482530687958707	0.3439424393042988	0.31457833734334	0.3731120770138605	0.3823815396637879	0.12241524625446067	0.24755299202848044	0.07914695031861078	0.2340377265563835	0.28852012765613155	0.20049264319038754	0.22979192373421398	0.32776949572977515	0.24356647487484034	-0.17132300548082582	-0.1978349650879608	0.15278408018097103	0.04735204521518852	0.10212614269203218	0.20551630301814539	0.19238996604884262	0.27568548706392443	0.3015492324997358	-0.10851105227956959	-0.28420950341682966	-0.1431256890282495	-0.17391586216612018	-0.017210086248641412
Density	0.21327342992530282	0.3188927883761898	0.2937989048054732	0.32958254243537394	0.4681997569269005	0.3897062639118382	0.3781370768411422	0.43815155198077266	0.40108973220991684	0.2890630761037294	0.2778653265782682	0.2813721339906321	0.5019459503748515	0.42946646820248807	0.38940583648554533	0.321973535074902	0.5203047972797662	0.40113889306149203	0.46602575482390857	0.5217905474607054	0.3473842330224365	0.4022313564298297	0.43126903276024525	0.48693550369389177	0.4697947534446736	0.41898428218328804	0.4267134605142771	0.22658509606849744	0.15867757309262723	0.18689043957994783	0.2787338349560966	0.3363011921506507	0.29092026382990344	0.30034822269865763	0.3635745401412009	0.22362998265714404	0.20878340548143495	0.13998006254352785	-0.47079435742670256	-0.212148192655915	-0.058799109642354803	-0.07593439757473132	-0.3178330989089022	-0.2949514536590695	-0.34823089213289815	-0.41298119597427246	-0.34890821942126754	-0.2523890808286335	-0.33278892242144503	-0.45789236504663455	-0.4515233036092259	-0.5112755875404553	-0.5027379863168963	-0.45180188176815195	-0.4502287345177457	-0.4918679758019364	-0.4488085321389067	-0.47337803329282113	-0.3916890849253711	-0.4311488617897281	-0.4480110338800202	-0.3928252468284423	-0.39208237173797267	-0.43114339947288643	-0.4504800010924634	-0.501252236135957	-0.46345300359147334	-0.49437517923227137	-0.4570129320351227	-0.20274754537136927	-0.3472203635171858	-0.3607942208687815	-0.4075134168157424	-0.3370058310232285	0.151582023515274	0.2579278701061055	0.07772057518196343	-0.03888896475440058	-0.24918816315940406	0.02192847096095809	-0.28710756667440496	-0.1198405003482227	-0.1062284067787352	-0.054970025536331235	-0.11460760081388521	-0.07319777683704544	0.1338294937797867	-0.07112209643720384
NO3	0.28389300759784947	0.283908933827554	0.4437206857975195	0.44720853010280853	0.619673671573012	0.5401699328880682	0.5582780560621029	0.5613757077396313	0.5520588633624894	0.5551724412697223	0.449478017835702	0.5700555029285924	0.5158426170144201	0.35653254128014683	0.6911824429462887	0.6565827089132278	0.6688857213599664	0.5556741175054145	0.698970369271797	0.6193073682898081	0.5398991869830915	0.574331695604255	0.5130157112418685	0.5204452973990252	0.5044951783499525	0.6059532246825715	0.6400035037908266	0.33096297948954645	0.09707833316387711	0.18272163339991176	0.41805556662869203	0.23463317912178155	0.45465404248966973	0.20670653533491282	0.34401452473239724	0.22665413803981907	0.34195207798566246	0.352184680570814	-0.4009826483854509	-0.42987282906944285	-0.2972710405496429	-0.4724595672993186	-0.44107693166656986	-0.3436880370234547	-0.41282380017075854	-0.5169654162085885	-0.4414034193755124	-0.4739088542024295	-0.42329529620147777	-0.5699599455503653	-0.5741007652735395	-0.6223970568524843	-0.6137570772377843	-0.6360617619389589	-0.6337524586318041	-0.6025689008703619	-0.6015416590544206	-0.6109620239246417	-0.5916116548336549	-0.6651749098388141	-0.6406087005195982	-0.5395010312404785	-0.521241608884251	-0.6086129050432256	-0.6004268229751044	-0.5057294611520524	-0.6094410689878604	-0.5750085603666969	-0.6056904418924469	-0.5449716911439798	-0.7083111029934956	-0.5187252645909375	-0.6046393107319489	-0.6126900198475818	0.08440901743393465	-0.04062781197622024	-0.0892505912641075	0.09021412816123073	-0.23073125284417514	-0.15872080523520618	-0.08791278796892817	-0.19244459663451877	-0.19875138359750708	0.13656741971622446	-0.29424505690578484	-0.11800539899561109	-0.08493458301418368	-0.030379283161364217
Fluorescence	0.36486718269729623	0.301383012039607	0.3491566443310864	0.24609400202006085	0.5425895008219427	0.4395583299419392	0.44962604072589457	0.4665828477605778	0.4798889687967026	0.38222367690595954	0.390056916087349	0.44920747069330125	0.580912262377499	0.4249839102356256	0.606410415791568	0.5292141426375694	0.5485501898575199	0.48946572525671395	0.6697655535820667	0.7042425062667279	0.5800373565950859	0.5325469671828049	0.5481127369663134	0.539316471995649	0.5566446419163924	0.541047400701862	0.595552772088959	0.08799412113766562	0.004909543239440571	0.03293799970768271	0.34965389294123483	0.25068883094928085	0.27499736427071614	0.1072263126352434	0.24163450024423566	0.23763762850443468	0.11157566440249139	0.1595758909973296	-0.3605713323627857	-0.44764963485770953	-0.22067767432664928	-0.3084357597316495	-0.3426452052526232	-0.2699997010244138	-0.3238913795065807	-0.468958940802743	-0.3311203672123467	-0.4141955036812651	-0.4577079042123583	-0.5258057866578808	-0.5813969224152387	-0.6172900894958924	-0.6031531226807852	-0.5795432551280396	-0.5591529149688502	-0.5862844356529637	-0.5648744211286598	-0.5629106038328836	-0.5802198908950138	-0.5967927464712279	-0.600393078180151	-0.49039098532876235	-0.4610186987558785	-0.5427185336891331	-0.5336169958375548	-0.6118738562169966	-0.5834960668644097	-0.5471497111770385	-0.603700725580569	-0.44254182160283	-0.5252361537563816	-0.48734455080582745	-0.4714420367103831	-0.46730983781718727	0.3295656785198572	0.1642147799299805	0.055836612919329884	0.06726074238033583	-0.11768112202077005	-0.027657093582181887	-0.13180864740657053	-0.09945916345900024	-0.23898145860907644	0.041060776054475084	-0.27650484581667256	-0.06324184063881941	-0.07286265710226161	-0.15119819605925858
Si	0.16861242028338083	0.1929643469662976	0.33230644485993815	0.32275238118214983	0.2907187952608102	0.3111872164398577	0.339988104098361	0.2932260034844621	0.26962090478305867	0.31548681181914157	0.25174504359697886	0.3163456639978819	0.12081542946652775	0.09073959975386953	0.27526479052906655	0.40778941584860684	0.2881102318110958	0.2839226606290389	0.34836324646247474	0.22440047050242656	0.25937869246516154	0.271039877947934	0.24876840064209005	0.21341676468859838	0.14347632421987505	0.17853989795192587	0.26447846068178116	0.12828370928166105	0.025722889477551962	-0.01479252851954616	0.3207412801176461	0.13121234186630976	0.18687236443138175	0.12223973711698531	0.0745921118964349	0.15047516930377142	0.012109282271680413	0.10918625089724876	0.032225627402300165	-0.120596715557656	-0.2643450985422252	-0.2669429930207751	-0.2375819843761368	-0.13224189758368168	-0.1511739869150446	-0.22958559048836194	-0.314286552563138	-0.3386278102748903	-0.21883660204015223	-0.2637423016714323	-0.2790042649222154	-0.32674257639766385	-0.3381530410580711	-0.3543218668578347	-0.349488822920327	-0.3102803538908772	-0.33558181900743234	-0.3158602258098982	-0.335955232998189	-0.3527802005245679	-0.30820523899938657	-0.292281799536406	-0.25346808244004176	-0.2981123922777922	-0.3573891960676216	-0.19198813610474805	-0.25801306415610864	-0.2730883204115134	-0.24731742056372127	-0.260509603408596	-0.2841200365955817	-0.2934820587924095	-0.29497571475543616	-0.32184551863316935	0.06142660147947135	-0.14942427564407051	-0.03276974493168845	-0.008657870099972384	-0.1234720032864823	0.09147042427863615	-0.06682510088869627	-0.1339809398834913	-0.13496781971620533	0.21024808025274896	-0.07491218103136918	-0.13111632112582947	-0.0619387120953662	-0.09476180188287703
NO2NO3	0.28078913786611104	0.22878952224243448	0.15607023719768584	0.2690701411673122	0.29252460925567664	0.32991666573277173	0.3592690731156581	0.35242109332024946	0.34711624289333304	0.2535125415198441	0.1984047009048273	0.2576476889023162	0.28877936288801925	0.14602616739351387	0.35312950502322277	0.5047021516415664	0.4085888057079317	0.42907233789467936	0.46981973972461705	0.3750628099974507	0.31002622241362965	0.43825972377897665	0.3794340946142472	0.30769230788832996	0.29834566665995343	0.3064182651356958	0.35949422722280466	0.012894191306832033	-0.06643144473541188	-0.040884690919661196	0.15570779400081577	0.13963398737598726	0.2172352724513039	0.24341355607978274	0.02504152996556817	0.006694216014918334	0.08122571704401729	0.07614602072424743	-0.24445146159809245	-0.2860116148391933	-0.2459012343855727	-0.2696906878528625	-0.270009198541021	-0.09388926268011383	-0.15621301785099828	-0.2411125909360167	-0.3527670618263527	-0.3491920539299525	-0.29059707043595856	-0.35677590324627917	-0.4188086055469498	-0.40701272695790586	-0.40614505991085326	-0.40745754360861003	-0.4113840115747024	-0.3775449967396517	-0.3709606119965122	-0.37175688871690854	-0.42745232663594196	-0.43142272711074586	-0.40560139511554816	-0.3145897117560391	-0.30079490402062087	-0.33655047454821174	-0.36291547133871455	-0.32570463646005443	-0.31321132929521506	-0.35590823619922657	-0.36539216651732664	-0.33188813706120135	-0.3837669382859212	-0.37543074475790966	-0.3270061370306333	-0.3644970416523294	0.18761377845255944	0.045821606586118606	0.0395667156583155	0.08140144707886338	-0.006672249760562572	0.08902373734031264	-0.1159269073625316	-0.0449374648482992	-0.13343401208407357	0.055305536904218654	-0.1973448291321618	-0.04255961781428801	-0.11572921107332974	-0.17649336218495515
PO4	0.20104777022074677	0.07606767673917085	0.2060120482868896	0.24272244526937278	0.23341991535339274	0.21187692547122647	0.268537789504923	0.25072349963040164	0.2488234551493337	0.1770171498474713	0.1582089060681138	0.2800698513842371	0.25239290287388333	0.2151992575840765	0.34526444120862615	0.43969555362609525	0.3021180554058781	0.3414259120402259	0.375835388104884	0.38564313216033874	0.304446433613892	0.3710248708637987	0.3292623324865684	0.2327279916406339	0.24105304202589112	0.24417768164938147	0.2803004926218234	0.08969747558891256	-0.03316291509008466	0.0453869006821576	0.1257873378131279	-0.011828600613353597	0.07702868189578035	0.17849435205963105	0.037451743817581956	0.01867095732841329	0.026155814633891914	0.038692813334117664	-0.0943597234629781	-0.3337433622453876	-0.18248664205308884	-0.2590101098093945	-0.1705591951950554	0.014491957761671375	-0.09597421212608208	-0.20143217228339055	-0.18852724589463432	-0.28370519660523996	-0.24343084335624493	-0.26664323648189286	-0.3674389487651358	-0.31955343467579345	-0.31999824277685274	-0.3180268093412938	-0.3150833878330498	-0.28201382752960724	-0.2949791599567789	-0.294408048320851	-0.3411183903901108	-0.35003651824344706	-0.33788941306390285	-0.23644570873220325	-0.21518278320996317	-0.2654460986296593	-0.2724971307501542	-0.27380409776314313	-0.27516597935650977	-0.3080158813384416	-0.32304051052977656	-0.3295369053884568	-0.3467910665431258	-0.29270020487110493	-0.2581369679813893	-0.28858710280081623	0.15461200105337536	0.04943410525599307	0.02703993937797266	0.11898891276237035	0.06797875904953768	0.028154705359639688	-0.07024123976109835	-0.013053195755775997	-0.07136149720080315	0.18284907828358157	-0.24330453982137626	-0.03314644071597136	-0.1872861763780986	-0.23842263362579996
