	AmtR	BirA	XylR	PhrR	ModE	PhnF	Rex	HutC	HypR	AraR	KdgR	NagC	Zur	MntR	Phr	ArgR	NrtR	ThiR	Irr	NsrR	NadQ	FUR	SahR_SamR	CzrA	RbkR	AgaR	SiaR	GulR	MetR	LtbR	IscR	VanR	LldR	NagR	FruR	PaaR	BioQ	HcpR	FadP	NifA	CueR	MerR	NtrC	AcnR	NnrR	RbsR	LexA	LiuR	PurR	FabR	SdaR	QorR	GntR	HrcA	CadR-PbrR	ZntR	CblR	ExuR_UxuR	NiaR	PrpR	PhsR	LiuQ	SoxR	CsoR	PhnR	TtrR	NmlR	FixJ	GlcC	DasR	FadR	PdxR	RutR	FnrN_FixK	PdhR	MetJ	NorR	NrdR	TrpR	NagQ	NarP	HexR	HisR	PsrA	CcpA	TyrR	GguR	NikR
ChlorophyllA	-0.006598240469208211	-0.12243401759530792	-0.016495601173020527	-0.08431085043988269	-0.15029325513196481	-0.11290322580645161	-0.10043988269794721	-0.10960410557184751	0.08870967741935484	-0.18914956011730205	-0.04838709677419355	-0.04618768328445748	-0.07331378299120235	-0.2404692082111437	-0.08504398826979472	-0.21444281524926687	-0.13306451612903225	-0.22947214076246333	-0.1279325513196481	-0.187316715542522	-0.16055718475073313	-0.14149560117302054	-0.18914956011730205	-0.25769794721407624	-0.08980938416422288	-0.05498533724340176	-0.17851906158357772	-0.12683284457478006	-0.07404692082111437	0.053519061583577714	-0.2313049853372434	-0.09787390029325513	-0.14039589442815248	0.03702346041055719	0.2928885630498534	0.37683284457478006	0.2668621700879765	0.38269794721407624	0.010997067448680353	-0.002565982404692082	0.0007331378299120235	0.022727272727272728	0.05718475073313783	0.0344574780058651	0.07991202346041056	0.0	0.17925219941348974	0.17961876832844575	0.18658357771260997	0.04142228739002932	-0.1598240469208211	0.21627565982404692	-0.031158357771260997	0.06158357771260997	-0.03482404692082111	-0.41642228739002934	0.1466275659824047	0.017961876832844576	0.06304985337243402	0.12060117302052786	0.01686217008797654	-0.020894428152492667	0.02785923753665689	-0.023826979472140762	0.0689149560117302	-0.23790322580645162	-0.10813782991202346	0.09530791788856305	-0.026026392961876834	-0.005498533724340176	0.013196480938416423	-0.26759530791788855	-0.21151026392961877	0.04472140762463343	0.00843108504398827	-0.09787390029325513	-0.30058651026392963	-0.47947214076246336	0.12133431085043989	-0.12243401759530792	-0.09310850439882698	0.14222873900293256	0.1030058651026393	0.16165689149560117	-0.05278592375366569	-0.1748533724340176	0.19868035190615835	-0.07624633431085044
Alkalinity.total	-0.11688311688311688	0.05138339920948617	0.08639186900056466	0.053642010163749296	-0.189158667419537	-0.2738565782044043	0.3867871259175607	0.1857707509881423	0.1259175607001694	-0.06945228684359118	0.23997741389045738	0.1756070016939582	0.04009034443817053	0.045736871823828344	0.08413325804630152	-0.08413325804630152	-0.057029926595143984	-0.015245623941276116	-0.2365894974590627	-0.0378317334839074	-0.07396950875211744	0.018633540372670808	-0.05138339920948617	-0.13043478260869565	-0.00846979107848673	0.08300395256916997	0.009599096555618294	-0.12365894974590627	-0.04799548277809147	0.025409373235460192	-0.08074534161490683	-0.15640880858272163	-0.06945228684359118	0.024280067758328628	-0.019762845849802372	0.019762845849802372	0.1857707509881423	0.13156408808582723	-0.11349520045172219	0.10333145115753811	0.11914172783738002	-0.06719367588932806	-0.1789949181253529	0.1880293619424054	0.07848673066064371	0.2715979672501412	0.20948616600790515	0.2885375494071146	0.07171089779785432	0.054771315640880856	0.032185206098249576	0.2422360248447205	0.032185206098249576	-0.08300395256916997	0.03557312252964427	-0.35968379446640314	-0.11349520045172219	0.10220214568040654	-0.12704686617730096	0.1665725578769057	-0.18012422360248448	-0.1507622811970638	-0.2648221343873518	-0.06719367588932806	0.024280067758328628	0.20383963862224733	-0.03896103896103896	0.09090909090909091	-0.042348955392433656	-0.41953698475437606	-0.09655561829474874	-0.163184641445511	-0.29983060417843027	-0.35968379446640314	-0.3370976849237719	-0.30999435347261434	-0.37775268210050816	-0.3235460191981931	0.09655561829474874	-0.04121964991530209	0.10559006211180125	0.04686617730095991	-0.044607566346696784	-0.29983060417843027	-0.0378317334839074	0.03896103896103896	0.2715979672501412	0.2106154714850367
Residence.time	-0.30203379217938137	-0.1450102735393021	0.05524200896735318	0.14642916075592932	0.08551160292206725	-0.2619265801893852	0.027999374408110518	0.006053918790942814	-0.14822641789699048	0.06744443903034729	-0.12571340739317188	-0.04322876386657604	0.018823903740587813	-0.003405329319905333	-0.008134953375329407	-0.020242790957215036	-0.057890598438390665	0.028566929294761404	-0.06706606910591337	-0.09695729313619351	0.004256661649881666	-0.09061959690192525	-0.10641654124704165	-0.1654422494587341	-0.1500236750380516	-0.11294342244352688	-0.055998748816221036	-0.02364812027712037	-0.16733409908090374	-0.11597038183899828	-0.03603973530233144	0.09279522396742032	0.3134794823935076	0.1893741471791799	-0.15390196676349935	-0.030553371398039517	0.13365917580628434	-0.03490462552902966	-0.1420779066249392	-0.021094123287191367	0.10840298335031977	0.002364812027712037	0.10793002094477737	-0.05335015934518355	0.12883495926975178	0.010783542846366888	-0.22181936819938905	0.0853224179598503	0.0822008660832704	0.11407853221682866	0.42878771686474654	0.35755957859006	0.36654586429536573	0.30449319668820185	0.3133848899123991	0.38820754246920797	-0.061863482644946885	0.049661052581952775	-0.006053918790942814	0.09279522396742032	0.030175001473605592	0.227305732103681	0.14179412918161374	0.12751066453423301	0.26419679973598875	0.014378057128489184	0.026580487191483294	-0.07624153977343606	-0.05505282400513622	-0.07141732323690352	0.08636293525204358	0.11559201191456436	-0.1245782976198701	0.15030745248137706	0.15390196676349935	0.265426501990399	0.17471231260736528	0.04824216536532555	0.17036105847637514	0.3857481379603874	0.45158450481189055	0.14415894120932576	0.30458778916931034	0.019675236070564147	0.1393347246727932	0.02563456238039848	-0.3012770523305135	-0.173671795315172
Depth.Max.O2	-0.006160223990722453	-0.16090505063767047	-0.029815484115096675	-0.27236403670980874	-0.14423137770278172	-0.17470395237688877	-0.06414846582338982	-0.2604542703277453	-0.44550739900904784	-0.06184864886685343	-0.07310132468990645	-0.0796722302800104	-0.13642842731453325	-0.05642765175501767	-0.10727003375844699	-0.11663357422434512	-0.10250612720562162	-0.0651341016619054	-0.0392611609008711	-0.11137684975226196	-0.05486706167736798	-0.0926497688204657	-0.07416909684829834	-0.13626415467478067	-0.18866712675585967	0.03523648122693243	-0.059877377189822244	-0.09716726641366216	-0.07318346100978275	0.029486938835591475	-0.015359491816867984	-0.03687920762445842	0.1841496291626632	-0.049692473525161124	0.007802950388248441	0.07507259636693762	0.09593522161551767	-0.2730211272688191	0.09831717489193036	0.26760013015698336	0.1586873700010104	0.07104791669299897	0.14152087914686381	0.1724041354203524	0.17749658725268294	0.2568402722531882	0.13864610795119334	0.08550390899122765	0.019959125729940748	0.06398419318363721	0.15876950632088668	0.16558682087061954	0.29864765907022456	0.28714857428754265	0.027022849239302496	0.04755692920837734	-0.1186048459013763	-0.18053563108810602	-0.31893533007967045	-0.300701067067132	0.04648915704998545	0.15564832616558733	0.17922144997008524	-0.041396705217654886	-0.12903615852566633	0.051745881522068604	0.35170772171031395	0.15203432809103015	0.12254738925543868	0.057249014953780666	-0.016509400295136176	0.2772922159023867	0.1570446436034844	0.09766008433291996	0.13462142827725468	0.23031024093314345	-0.07441550580792723	-0.09462104049749688	-0.2108439331224605	0.012977538540455302	-0.11408734830817983	-0.24788741338667153	-0.02488730492251871	-0.021766124767219334	0.04632488441023285	-0.042628750015799376	-0.019384171490806654	0.04566779385122245
PAR.PC	0.04708616242815461	0.15684411680613738	-0.08396483509915682	-0.1673808804264237	-0.20294245764489013	-0.15662460089738142	-0.15311234635728596	-0.42706820048473093	-0.26967529390670364	-0.4646054208820011	-0.018549094289879088	-0.04993986924198216	-0.33026168472335016	-0.2507969257536906	-0.11425803050748007	-0.19043005084580011	-0.11798980095633148	-0.04950083742447023	-0.1190873805001113	-0.1542099259010658	-0.33706667789478506	-0.33487151880722543	-0.3227981438256473	-0.19130811448082397	-0.26726061891038805	-0.3021636484025866	-0.3333349074459337	-0.47360557314099566	-0.4158728891381767	-0.19152763038957993	-0.5023621571880271	-0.3032612279463664	-0.20864987127254525	-0.41126305505430144	-0.03896407380418388	0.03369569199404071	0.1763810326854183	-0.17352732587159075	0.4244340095796594	0.4452880209114761	0.1096481964236048	0.16913700769647144	0.41675095277320057	0.3967750050764077	0.4700933186009002	0.48765459130137745	0.6634868342149058	0.49928893446544365	0.5554850071069708	0.38118937555473414	0.41236063459808125	0.18955198721077623	0.17177119860154302	0.06728162603370344	-0.5423140525816129	-0.48502040039630584	-0.4975328071953959	-0.5017036094617593	-0.13796574865312433	-0.3050173552164141	0.07013533284753098	-0.3223591120081354	-0.024476023826290157	-0.11886786459135534	-0.5030207049142951	-0.30282219612885447	0.3607743960404294	0.09801385325953861	0.050378901059494094	-0.31357847565789676	-0.6410962115217974	-0.3691160005731561	-0.2558457916550778	-0.15552702135360158	-0.1693565236052274	0.13489252593054082	-0.1629905622513044	0.06706211012494748	0.10020901234709827	-0.1445512259158033	-0.2198451826190995	0.05806195786595288	0.0055976556732771215	0.4152143414119088	0.19855213946977082	0.15662460089738142	0.2044790690061819	0.12896559639412974
Oxygen	-0.22664289765821247	-0.1948788590875942	-0.3023255813953488	-0.22696702050076978	-0.3353861113361964	-0.2994084758123329	-0.19682359614293818	-0.1409124058017989	-0.07317073170731707	-0.5285633255003647	-0.32501418037436186	-0.40166923263917026	-0.5222429300704967	-0.44105015800988573	-0.3827080463495665	-0.4590389757718175	-0.4298679199416579	-0.3436512438214083	-0.5356940280366259	-0.5694028036625881	-0.6680982092212949	-0.6715014990681468	-0.6142938173567782	-0.5557896442751803	-0.5695648650838668	-0.6663155335872296	-0.6982416335791265	-0.7441050158009885	-0.7439429543797099	-0.3953488372093023	-0.5162466574831861	-0.5173810874321367	-0.2979499230208249	-0.5314804310833806	0.18742403370877564	0.12486832509521109	0.4856170488615185	0.261648164654404	0.39307997731140104	0.4559598087675229	0.4789725305890933	0.3705534397536666	0.6207762742079248	0.5600032412284256	0.5585446884369176	0.5663236366582934	0.5198120087513167	0.6729600518596548	0.7705210274694109	0.5154363503767928	0.53034600113443	0.4677902925208654	0.5070091564703022	0.32922777732760716	-0.15906328498500932	-0.1133619641844259	-0.36909488696215864	-0.30183939713151287	-0.10623126164816465	-0.16376306620209058	0.18693784944493963	0.015152742889555142	0.3212867676849526	0.17770034843205576	0.029414147962077627	0.03767928044728952	0.26213434891824	0.1138481484482619	-0.01547686573211247	-0.021311076898144397	-0.290657159063285	-0.04497204440482943	-0.22777732760716313	-0.1650595575723199	-0.10882424438862329	-0.05712665100072928	-0.10088323474596872	0.008508224617129892	0.30686330119115146	0.053561299732598655	0.10217972611619804	0.06814682764767847	0.07738432866056236	0.3436512438214083	0.14301920427842152	0.0057531804553925935	-0.025200551008832346	0.11303784134186856
Latitude	-0.20897820273883802	-0.3248521189530832	-0.32695891742970584	-0.2695891742970586	-0.28903654485049834	-0.1760797342192691	-0.2733165869864679	-0.2806093509440078	-0.14463981849120816	-0.42824730572887126	-0.449153229073819	-0.5000405153553197	-0.4820516975933879	-0.45693217729519486	-0.44105015800988573	-0.5128433676363342	-0.45887691435053884	-0.4673041082570294	-0.5412041163601005	-0.6155903087270075	-0.6159144315695648	-0.5690786808200308	-0.5844745158415039	-0.5499554331091484	-0.5246738513896767	-0.4604975285633255	-0.6228830726845475	-0.521594684385382	-0.49404424276800907	-0.26116198039056804	-0.24495583826270156	-0.2639170245523053	-0.2763957539907625	-0.3848148448261891	0.3520784377278989	0.3647192285876347	0.6292034681144154	0.553520784377279	0.2287496961348351	0.15841503929989467	0.5014990681468277	0.28903654485049834	0.48999270723604244	0.39389028441779433	0.2947086945952516	0.27104772708856656	0.40345190827323557	0.41236528644356213	0.5472003889474111	0.23085649461145774	0.13880560732517624	0.4050725224860222	0.3729843610728466	0.23912162709666965	0.043837614455878776	-0.11757556113767118	0.013694190098047159	0.08289441698403695	0.15306701239769874	0.1728385057936958	0.16246657483186128	0.3062150555060368	0.3588850174216028	0.14852929260189612	0.20427842152175674	0.040596386030305485	-0.029738270804634957	0.14172271290819222	0.060043756583745236	0.3240418118466899	0.12033060529940848	0.07365691597115306	-0.018069848472571103	-0.021635199740701726	0.005915241876671258	-0.034113929179158904	-0.17137995300218783	-0.1778624098533344	0.12827161494206304	0.08111174134997164	0.10201766469491938	-0.022445506847095047	0.016611295681063124	0.2608378575480107	-0.03557248197066688	-0.09164573373308484	0.004456689085163277	-0.14642249412527347
Iron.5m	-0.21856255028652757	-0.46138278525593257	-0.5159828581374593	-0.3250042971224311	-0.27056648300132496	-0.16136633723827146	-0.3400132324613352	-0.24971623228727982	-0.11706969564345185	-0.4587866450892032	-0.5789392571806461	-0.6311865780360744	-0.5842937962745255	-0.5637680630813214	-0.5741526237482389	-0.5771544108160197	-0.5627133811385877	-0.5796694216025388	-0.6105797154626602	-0.653253769453274	-0.6761322546725764	-0.6423824325050947	-0.6404353273800477	-0.534480356825406	-0.5791826453212771	-0.5150093055749357	-0.6591762142086253	-0.591676569873662	-0.6045761413270986	-0.2097194478436057	-0.3794421112435373	-0.29117334557473923	-0.3785496880612241	-0.2858999358610702	0.46835991195401766	0.29904289545513757	0.5773977989566506	0.4872630575430158	0.33774160981544704	0.3063445396740639	0.5595493353103863	0.47298428662600434	0.5055982974705419	0.4785010844803042	0.34553003031563506	0.2920657687570524	0.30439743454901685	0.4600847151725679	0.5898105941288253	0.21807577400526582	0.2434692700110873	0.4089732056400837	0.4205747070101555	0.30958971488247555	0.1218563290758591	0.04137598390724909	0.07350321847052486	0.05589814296489142	0.06539028044949563	0.2587215934906223	0.12485811614363991	0.21767012710421435	0.159013585212173	0.33749822167481613	0.292228027517473	0.1292391026749957	0.06839206751727644	0.2538538306780047	0.16225876042058468	0.37400644276944767	0.15098177657135406	0.09273088158036415	0.012412795172174728	0.14140850970653956	0.06758077371517351	-0.0038942102500940322	-0.05216619147521798	-0.05898105941288253	0.020850250714045133	-0.007463902979346896	0.001216940703154385	-0.11804324820597535	-0.14992709462862025	0.09922123199718753	-0.10197963092433747	-0.07269192466842193	0.06555253920991622	-0.19649535886932806
Carbon.total	-0.18571428571428572	-0.2960591133004926	-0.10394088669950739	-0.2916256157635468	-0.2729064039408867	-0.35763546798029555	0.01083743842364532	-0.06354679802955665	-0.13842364532019705	-0.3955665024630542	-0.24039408866995074	-0.3310344827586207	-0.2748768472906404	-0.33399014778325126	-0.27783251231527095	-0.4241379310344828	-0.3975369458128079	-0.37142857142857144	-0.5182266009852217	-0.45270935960591135	-0.41379310344827586	-0.49556650246305417	-0.4433497536945813	-0.5640394088669951	-0.4517241379310345	-0.3748768472906404	-0.574384236453202	-0.4857142857142857	-0.45960591133004924	-0.33645320197044337	-0.25270935960591134	-0.3472906403940887	-0.2911330049261084	-0.19014778325123152	0.29802955665024633	0.3305418719211823	0.31527093596059114	0.3024630541871921	0.17783251231527095	0.1896551724137931	0.29802955665024633	0.1310344827586207	0.42857142857142855	0.2955665024630542	0.29310344827586204	0.30935960591133005	0.3955665024630542	0.5433497536945813	0.4635467980295567	0.387192118226601	0.24778325123152709	0.49556650246305417	0.4566502463054187	0.32364532019704434	0.011822660098522168	-0.3438423645320197	-0.0665024630541872	-0.12019704433497537	-0.009852216748768473	-0.0561576354679803	0.287192118226601	0.17044334975369457	0.4059113300492611	0.2995073891625616	0.1852216748768473	0.13891625615763548	0.012315270935960592	0.25024630541871923	0.059113300492610835	0.0665024630541872	0.07783251231527094	0.012315270935960592	-0.23793103448275862	-0.28916256157635467	0.16798029556650246	-0.11724137931034483	-0.19753694581280787	-0.27783251231527095	0.41182266009852214	-0.06798029556650247	0.1935960591133005	0.008374384236453201	0.030049261083743842	0.3458128078817734	0.2738916256157635	0.042364532019704436	-0.00541871921182266	-0.0916256157635468
HCO3	0.028695652173913042	-0.391304347826087	-0.39217391304347826	-0.3026086956521739	-0.4426086956521739	-0.33652173913043476	0.10347826086956521	-0.1826086956521739	-0.06086956521739131	-0.3139130434782609	-0.2565217391304348	-0.33217391304347826	-0.4147826086956522	-0.40956521739130436	-0.44173913043478263	-0.46956521739130436	-0.4	-0.4582608695652174	-0.22956521739130434	-0.4052173913043478	-0.3452173913043478	-0.40695652173913044	-0.4191304347826087	-0.5130434782608696	-0.5269565217391304	-0.19043478260869565	-0.38869565217391305	-0.5260869565217391	-0.4026086956521739	-0.20347826086956522	-0.19391304347826088	-0.37217391304347824	-0.3408695652173913	-0.2591304347826087	0.44782608695652176	0.5339130434782609	0.1408695652173913	0.3034782608695652	0.36782608695652175	0.2408695652173913	0.2826086956521739	0.34782608695652173	0.39565217391304347	0.2773913043478261	0.4930434782608696	0.3869565217391304	0.3765217391304348	0.5373913043478261	0.37043478260869567	0.18956521739130436	0.25130434782608696	0.5608695652173913	0.5095652173913043	0.3991304347826087	0.15478260869565216	-0.03739130434782609	-0.10608695652173913	-0.24695652173913044	-0.30695652173913046	-0.2634782608695652	0.08	0.2182608695652174	0.24869565217391304	0.21043478260869566	0.24695652173913044	0.1591304347826087	0.28695652173913044	0.1582608695652174	0.023478260869565216	0.06434782608695652	0.010434782608695653	-0.10521739130434783	0.1191304347826087	-0.21913043478260869	-0.2026086956521739	0.05217391304347826	-0.1565217391304348	-0.38782608695652177	0.2	0.06521739130434782	0.021739130434782608	-0.24956521739130436	-0.057391304347826085	0.14347826086956522	-0.11217391304347826	-0.4295652173913043	0.018260869565217393	-0.07043478260869565
