	PsrA	RbkR	SiaR	CsoR	FnrN_FixK	MerR	PdxR	GulR	LexA	PdhR	GlcC	NagR	NifA	AmtR	ModE	SoxR	ExuR_UxuR	FabR	NagC	Phr	HutC	Zur	ArgR	SahR_SamR	CzrA	HexR	MetR	MntR	NrtR	FUR	NsrR	NikR	ThiR	LldR	AraR	KdgR	BirA	NadQ	IscR	PhnF	LiuR	AcnR	PurR	FixJ	HypR	MetJ	LtbR	BioQ	CueR	HrcA	NmlR	SdaR	FruR	FadP	CblR	VanR	GntR	RutR	CadR-PbrR	NiaR	TtrR	FadR	PrpR	PhnR	NorR	TrpR	AgaR	HcpR	GguR	XylR	PhrR	QorR	HisR	NrdR	CcpA	PaaR	TyrR	NagQ	NarP	LiuQ	Rex	NtrC	Irr	RbsR	PhsR	NnrR	DasR	ZntR
HCO3	0.18823529411764706	0.01764705882352941	-0.09117647058823529	0.01764705882352941	-0.08235294117647059	-0.011764705882352941	0.25882352941176473	-0.014705882352941176	-0.25882352941176473	-0.2676470588235294	-0.5588235294117647	-0.31470588235294117	-0.45588235294117646	-0.13529411764705881	-0.21470588235294116	0.01764705882352941	-0.29411764705882354	-0.18529411764705883	-0.4323529411764706	0.011764705882352941	0.011764705882352941	-0.12058823529411765	-0.1	-0.10294117647058823	-0.15588235294117647	-0.026470588235294117	-0.25882352941176473	-0.041176470588235294	0.041176470588235294	-0.13823529411764707	-0.38823529411764707	-0.2823529411764706	-0.17352941176470588	-0.1411764705882353	0.020588235294117647	-0.21470588235294116	0.01764705882352941	-0.26176470588235295	-0.2911764705882353	-0.10294117647058823	-0.1588235294117647	0.18235294117647058	0.3264705882352941	0.3411764705882353	0.3264705882352941	0.13823529411764707	0.17352941176470588	0.047058823529411764	-0.13823529411764707	0.09705882352941177	0.1264705882352941	-0.2	-0.3352941176470588	-0.13823529411764707	-0.09705882352941177	-0.3323529411764706	-0.09117647058823529	-0.23823529411764705	0.5176470588235295	0.48823529411764705	0.4411764705882353	0.21176470588235294	0.4294117647058823	0.22058823529411764	-0.11764705882352941	0.10588235294117647	0.03529411764705882	0.041176470588235294	0.2323529411764706	0.061764705882352944	0.07058823529411765	0.011764705882352941	0.17647058823529413	0.31176470588235294	0.1323529411764706	0.34411764705882353	0.3	-0.16176470588235295	-0.09411764705882353	0.6205882352941177	0.711764705882353	0.2	0.06470588235294118	0.45588235294117646	0.6029411764705882	0.5529411764705883	0.4764705882352941	0.49411764705882355
Carbon.total	-0.303201439992293	-0.12110133520945811	-0.12019090581284055	-0.06862361577004886	-0.02526441575613739	-0.06979010343446511	-0.0627627265293233	-0.08696023283629947	-0.0438001892528981	-0.0006970475067853222	-0.15881302787247625	-0.08188174385829212	0.03880705303082365	-0.09706030895502557	-0.12514136565694856	-0.09314830764143447	-0.10494121341949636	-0.044724844108837813	-0.3688803856826569	-0.37449944211490593	-0.13371931762820466	-0.20816114626101262	-0.27502080507511495	-0.4493395836087341	-0.14222614230285002	-0.14421770660795094	-0.13512763810109746	-0.30169354130414516	-0.14261022970454806	-0.32465343265009433	-0.3079527434058909	-0.289402744449808	-0.40607996181007766	-0.20938453576271748	-0.3221924281873625	-0.24206041582569474	-0.38932237072858566	-0.04478174594612641	-0.11421621289753779	-0.12827096670782143	0.2756182743666452	0.25644235520038783	0.1631091165877654	0.3302867145416655	0.10551023179238234	0.1439474228808301	0.15471609558769722	0.17581245176244484	0.006401456694967244	0.05250617035805355	0.04219271234949521	-0.18929818719984248	0.019375075596767526	0.09458507903297157	-0.08434274832102398	-0.03101150132228576	0.14148641841809825	0.08465570842611127	0.0461900664190192	0.06885122311920325	0.031694323369748936	0.12305022313659258	-0.09697495619909267	0.0853527559328966	-0.049262765632603484	-0.0018350842525572766	0.11583791526026282	-0.004452568767832772	0.033429829407051165	0.003229179266127921	-0.047626837810556294	0.11700440292467908	-0.2648496016597781	-0.10239485620083161	-0.04576330263935472	0.01852154803743856	-0.022163265623908815	0.0337285640528163	-0.11312085252973228	0.1176445485941758	-0.058879176134376494	-0.16811647826916198	-0.11283634334328929	0.000924654855939713	0.28391171715145835	0.19729289533889047	0.1468209656639043	0.055920280595369416
CO3	-0.3475485136684995	-0.290760702403938	-0.1615185339650443	-0.04039672178304747	-0.10191457221408423	-0.011223590045306929	-0.11892084019990862	-0.13466940991025403	-0.24835439750680996	-0.1888871420901411	-0.2135626354297014	0.0008475792726053954	0.0436776738060361	-0.07960409845776158	-0.08088913800009878	-0.1793860518569032	-0.0744502696549836	0.03919370604128498	-0.583708706156535	-0.4812883205055734	-0.07242701590747395	-0.25600995222711675	-0.2584159837106418	-0.41523181977606904	-0.19339845112175047	-0.146699567327879	-0.3610824407633276	-0.40497884470422957	-0.32441780190642966	-0.4763532218376613	-0.39320842932175787	-0.3581295839426378	-0.38704297364522505	-0.27300254957951203	-0.276324513502788	-0.3056343515748198	-0.5095865317038503	-0.11290576149109614	-0.20933840970010353	-0.0823245545101563	0.24244868386543045	0.38895686232530174	0.3251696867450312	0.37304424501380695	0.1471233569641817	0.271512450535738	0.17018571555910592	0.23934545007702035	0.16746525950671118	0.14879117424253424	0.14494972624895172	-0.2936041941571948	0.16995331479081088	0.1973355935493368	-0.004620674099042317	0.07293282934435136	0.20196993828180826	0.09066364090191907	-0.04538650298467601	0.01693791481867879	-0.0384281505692543	-0.06229707653649656	-0.1060704447765365	0.12142256611743744	-0.2239113049355447	0.04436120547749207	-0.01480529600373618	0.04556422121925456	0.023581842665230758	-0.09375320405690002	-0.05503797018563422	-0.10098496914090413	-0.23371314910422322	-0.2548479483856416	-0.23665233529148386	-0.05144259359377585	-0.23573640285173286	0.1250042720758667	-0.034449996241380586	0.09732123938190015	-0.07613175756676527	-0.0486401137408064	-0.081258245102685	-0.01656880771609257	0.20885993753008436	0.24307753300316992	0.034832773977395926	0.010362340139272414
NPP 8d VGPM (mgC/m2/day)	-0.03932191655595713	-0.07410431018771287	-0.044337656462670134	0.12403906235392832	-0.09344985202272921	-0.16055315410390802	-0.007706056626096664	-0.16788813256181384	-0.1399397618609063	-0.1407870570116087	-0.1893797431362006	0.03807880469251779	0.03481950144857481	-0.21988855319762504	-0.1532985759157769	-0.13621042627058824	-0.21395748714270793	-0.16108503281164824	-0.3427154268687966	-0.2582889589692416	-0.19091353289805613	-0.27853127304405245	-0.2107538456239936	-0.32519435269405195	-0.04157930874578481	-0.16295897756101205	-0.1836218468931059	-0.19674564477478898	-0.2058123213509188	-0.39234713186432285	-0.3033254793153378	-0.13745353813402758	-0.17955235631527958	-0.11031535476700337	-0.1868502269563663	-0.29017075825297217	-0.14310629556280152	-0.1451781486685338	-0.13020514458203297	-0.12416275507665861	0.28645997657106365	0.37765862104010167	0.2714869724845628	0.24029785244812182	0.24087920824495415	0.2911541153986779	0.10471207442732153	0.3351083244208842	-0.08761155550985983	0.11819458120492243	-0.04224724944852834	0.03483187072084784	0.06981217270897203	0.10170634126497563	0.029537822187991707	0.13557959338466377	0.04902561065414788	0.16164783470007105	0.09391369973296777	-0.03963733299891936	0.12612946936807012	-0.020415483886633296	0.03345269686240518	-0.016859318108137646	0.15693514196404723	0.06370175220609602	0.08330086412270944	0.06920607836759364	0.002418192729377043	0.1128201324022916	-0.14808492765269546	-0.03525242597813081	-0.28515501834625917	-0.07037497459739482	-0.12235684132479648	-0.09983239651561183	0.010340711620251703	-0.10948042888857396	-0.0977667280460161	-0.11570217284190722	-0.14891366889498836	0.15917398024546536	-0.02689079792156364	0.008559536412935621	0.2581405277019652	0.2565572608510176	0.21750128364893057	0.25104056541724695
Fluorescence	-0.1754987629446127	-0.3629727355960342	-0.2436265778400408	0.05033647469980676	-0.07798234164422231	-0.17322410300614813	-0.10776988840762297	-0.20889077084127258	-0.22553428263717643	-0.2969796015659344	-0.20402649804978681	-0.20554527099331546	-0.09776138467837886	-0.2236725609644639	-0.21099745589197363	-0.12456037823031992	-0.19885427129740121	-0.09018151786804923	-0.4821859132325482	-0.2842765006788169	-0.25962618589951775	-0.27128644269177	-0.3379164815046399	-0.3654433662368896	-0.18827885232195518	-0.2268080922027166	-0.284122523698367	-0.334675965961535	-0.3463572196147576	-0.41698366096566836	-0.3943980375151294	-0.3834726708568426	-0.44703016901437115	-0.28366059275701727	-0.3288808323336929	-0.3730022361862488	-0.23254023524764733	-0.17387500569623182	-0.39223536083517385	-0.2754298232566039	0.25894028844114997	0.3193412584994553	0.3068341283147286	0.24956169054101912	0.4266142211974445	0.4261942839780357	0.27540182744197667	0.30887782278251835	0.3159117712076165	0.31213233623293685	0.39168944244994236	0.004325353359911092	0.3059732570149405	0.1127531434112746	0.12915869078284675	0.06746291429803078	0.03987303898286973	-0.017728349612710026	-0.004101386842893042	0.009000654402662888	0.052310179631028325	0.2982464121778178	0.23747449757570124	0.0036954475307978264	-0.026351060517904954	-0.03685648995678287	-0.09832829992458081	-0.07321605420393194	0.11556672278131384	-0.04139181192639838	-0.0744408710938744	-0.03915914570987469	-0.024419349308624275	-0.028660715224653598	0.04271461416753624	0.08939063610482924	-0.1244483949718109	0.06262663732117225	0.015943616430222442	-0.12339855192328879	-0.09207123535538903	0.24271671386465496	-0.0754837151887397	-0.008118786241904315	0.1342959227669483	0.09850327376600115	-0.014347854996468833	-0.03852923988076143
ChlorophyllA	-0.10013542511935662	-0.17064130437923902	-0.20974778131895727	0.002957300092462788	-0.14752573501406144	-0.11411898750685275	-0.09819027936064305	-0.16741258859951388	-0.12422922185737562	-0.1731066635385388	-0.1832225523825463	-0.01984727213106001	-0.05584377765423039	-0.29867034585828767	-0.0823407341232182	-0.2472823090699477	-0.22926143833442397	-0.09980746449724794	-0.5096847337178027	-0.3402591454377596	-0.19781680006638275	-0.2539659203687833	-0.31225809370185953	-0.40200621428994626	-0.12971973503095377	-0.13415851241639026	-0.21912858600996257	-0.26494129222245494	-0.29060138365571714	-0.3949380974341557	-0.28679590954055945	-0.2825041489857234	-0.26083047545912713	-0.31257474533699897	-0.4141746842688754	-0.4427072583923309	-0.2985855284560182	-0.26750843226447807	-0.31299317785486175	-0.2770701807469916	0.3691366436637777	0.26206880953226164	0.24344290799388224	0.3538355842943622	0.30441531123867427	0.3369003763078879	0.10785946321936458	0.30779104384899986	0.06580134068066819	0.2099287251104655	0.09568533874695086	0.14780845968829306	0.2262532478005995	0.1916816746355565	0.07535743466969708	0.08525279826780392	0.23077684258830547	0.12269685412304021	0.038902915174271475	-0.011201551593056946	0.04575616127764604	0.07156326954150868	0.22376527066736118	0.10445545814161583	-0.06962943276976438	0.008973681160111747	0.02182634485068138	-0.00029968815468552155	0.13794702305109402	-0.0128300457166311	-0.04809712158028389	-0.0796435407310485	-0.09303903579614285	0.031111023152447913	-0.11258661977251734	0.011501239747742467	-0.28712952465615277	0.011382495384565185	-0.13919101161771316	-0.1851903161151984	-0.18241395981424385	0.05655058933980945	-0.056607134274655774	-0.13070927139076444	0.19122366066330126	0.06612930130277687	0.0468983689615418	0.04745816381652042
NO2	-0.14837501551648005	-0.24288975864328496	-0.18665691849908472	-0.14063805714716393	-0.08786707687120157	-0.16217768956010092	-0.060552704074609144	-0.17444341719670237	-0.050868449529409214	-0.11536797229000507	0.02916467720892646	-0.011885221487290829	0.0030142055749312587	-0.19998209462984518	-0.020248895867236227	-0.06432792194816166	-0.09173928650830385	-0.18486630132585824	-0.44619941685337605	-0.26516802064017786	-0.16348334791557856	-0.10249045045255124	-0.2846111387794622	-0.3280037616106508	-0.02262892452664977	-0.0876357888196598	-0.19230482349963662	-0.23142980873463542	-0.19033514460908746	-0.26249701669011505	-0.23239972637013312	-0.15373194522638264	-0.22336457055022776	-0.2035334853567444	-0.30937388210420685	-0.35810851283552114	-0.3226319100909713	-0.24559806711779003	-0.19272263417338945	-0.23204906384037624	0.43000179234056474	0.3544452085352953	0.20488390914155272	0.3712247836294052	0.29088575979064335	0.2835367684755263	0.25248448232982357	0.1430404685212428	0.008303987140837849	0.14667392920191488	0.05501671264738391	0.15488092457920297	0.34945386316492644	0.12418676186814555	-0.0025217858522939736	0.12214247392871197	0.20207114799860942	0.21935060372024506	0.09864808443500273	0.1307001318357569	0.11560672124643528	0.16385639316000075	0.0901277310524	0.07073683924733482	-0.07113972811131077	0.08376357918255753	0.10286349569697342	0.06480541986102206	0.15831294082788708	-0.024068879170119406	0.009706637259865265	-0.20009400820317183	-0.042810672249890006	0.05037602980677192	-0.1042586849111124	-0.09016503557684223	-0.2953473809139327	-0.10777277111356938	-0.2503282808170633	-0.24115882870916602	-0.04928673769305914	-0.054934642693611035	-0.06017965883018696	-0.01532469864086338	0.16728840940868486	0.06344007426643686	-0.11022740882186736	-0.04724244975362557
Mean Flux at 150m	0.022890563650935277	-0.0019104771505900923	0.08136522932145043	0.15685837856654727	-0.0056259449833327875	-0.17129830402376808	-0.1657895662275881	-0.23310165380942183	-0.1489703348711661	-0.15672945066067923	-0.056353215583050086	-0.018190555446109345	0.0074309356654853895	-0.14196134507943067	0.0048289361106939755	-0.048793352011696656	-0.24542012917917758	-0.03387287708714949	-0.11672663768544006	-0.32419507966455186	-0.12203612326346037	-0.36785475687895736	-0.33804896918600885	-0.4028997058376345	0.06694874530166017	-0.3089229831785464	-0.15411573038717255	-0.1936731560512312	-0.19164547171348834	-0.24994432660327434	-0.17774469931717024	-0.058298854889786006	-0.1970370023225156	-0.08470563415530427	-0.15656536059866535	-0.07030087085422929	-0.13551494978602852	-0.20472579379973707	-0.26541567530743954	-0.17086463743130287	0.19018038187407876	0.09506674949960883	0.001793269963437326	0.16300003517335224	0.1533890458268254	0.1792332305940104	0.015916736015345677	0.25145629931754504	-0.006844899729721558	0.022374852027463105	0.042276632406002844	0.2475532999853579	0.0355254984260035	0.21039862165793097	-0.07745050927054804	0.06230734069041062	0.06297542165718138	-0.10316576613186498	0.008356872443992244	-0.024156401272185154	-0.06706595248881293	-0.07988841876332557	0.24232585943834453	0.16376188188984522	0.15941349524647758	-0.028340697853538915	-0.046519532580932985	0.0641709349661396	-0.019550158817081435	0.30840727155507425	-0.10534581981290644	-0.025058896613261456	-0.10478322531457317	-0.14870075834071472	-0.020991807219060462	-0.07237543806683325	-0.012658376212498771	-0.0881046425827345	-0.13495235528769522	-0.3115953070456295	-0.25596877602292656	-0.14427032666634015	-0.2737608270327165	-0.28597381593403476	-0.06431158359072292	0.0373304891081561	0.09901663170665706	-0.027883589823643126
NO3	-0.23628138732450016	-0.2186455124104351	-0.20284534194839166	-0.24841014888250032	-0.09248453858280473	-0.04331388361793927	-0.14368758061955128	-0.19609257199988345	-0.04750977950827445	-0.019908651854663305	0.09781682294343902	-0.22963788549813613	-0.08667147448473618	-0.23964684548653983	-0.11626128196137078	0.057475032247820516	-0.09746716495257776	-0.2583316943731887	-0.32323695892681115	-0.109967438125868	-0.14788347650988648	-0.2606481785626446	-0.28442492194121066	-0.28547389591379446	-0.16956227194328494	-0.1439935313615549	-0.19008282528195547	-0.21082191486491428	-0.21300727730779717	-0.2459188356976138	-0.28702550324824133	-0.2063419218570043	-0.41093555375970225	-0.3853449595535434	-0.3101247842695137	-0.4035927359516157	-0.4831399288725536	-0.3917043642623327	-0.6034004241044001	-0.3364365480818239	0.2809939029058845	0.19430057479671947	0.22627242733609643	0.17834742896367423	0.24812605176492553	0.09866911429616336	0.04029808344676085	0.153827662354528	0.16197906426648123	-0.08031206977594692	0.2544854564737148	0.24543805596017956	0.3214012544747895	0.3551213969684728	0.09733604320600478	0.1693655893234255	-0.02703293341846159	0.18210625236543285	0.018641141637791216	-0.023055573772414694	-0.10356432616822107	0.27015450518918527	0.18617102650919506	0.06344107171689085	-0.046023733047114074	-0.05220830876047271	-0.15452697833625054	0.06285102385731248	0.05046001880616638	-0.1361699338160341	-0.04412246772180594	-0.15782687562500372	0.0352280425792725	0.02119801569596422	0.03138180467979858	0.011975786186998344	-0.44539871948396575	-0.09423282853711105	-0.2573482812738914	-0.31281278007425967	-0.08376494243570191	-0.10633973647068237	-0.13481500910144667	-0.04174042265906357	0.12275180841673303	-0.1551825870691154	0.039948425455899585	0.09687711709299937
Alkalinity.total	0.11610058560056699	-0.10386147793124928	-0.13486949652362687	0.026324337724510184	0.02464915259658681	-0.015452728118803381	0.10974171960477623	0.0803063237855512	0.02283721766230234	-0.011760483347053902	-0.0714517738236705	-0.06338353524836608	-0.044033437648271584	-0.17746706120510697	-0.18748398452105697	-0.09545136484004213	-0.295071894675646	-0.15904002479794985	-0.2771918574939332	-0.12704057010945435	-0.14276679784097993	-0.05839216731618623	-0.03179432997895386	-0.2200646258865871	0.0024273090629093807	0.1542879690269019	-0.02095690782483733	0.012033982959776085	-0.057776793187561314	0.02639271262769073	-0.07859695120603755	-0.23237210845908535	-0.23531222929584883	0.1301516282041692	-0.1076220976061793	-0.14232236097030637	-0.21380832224556715	-0.1025623547708189	-0.1772961239471556	-0.11992958017867757	0.1774328737535167	0.0029059333851732022	0.14184373664804253	0.3185244864665732	0.19616759722498628	0.0016068102247428296	0.012239107669317722	0.0345293261061757	0.03651219829841153	0.01025623547708189	0.06427240898971318	0.01979453447076805	-0.004444368706735486	0.06246047405542871	0.08434044307320342	0.2397565980025843	0.09832311077362506	-0.010461360186623529	0.018050974439664125	0.04895643067727089	0.03572588691183525	0.19052666771259125	0.23654297755309867	-0.029572145625586115	-0.1759286258835447	-0.0546315476412562	-0.04981111696702771	0.07309277150000361	0.11510914950444909	-0.07343464601590634	0.07808413943218345	0.1289892548500999	0.04909318048363198	-0.07921232533466246	-0.1756551262708225	0.02396540356478135	-0.3189347358856565	0.07948582494738465	-0.127621756786489	0.011145109218428987	0.07634057940107954	0.018905660729420952	0.08369088149298823	-0.08290457010641195	0.191244604195987	0.008239175833255785	-0.03651219829841153	0.1166133973744211
