	ModE	AraR	IscR	PhnF	FUR	NagR	NrtR	Phr	KdgR	NsrR	MntR	NagC	RbkR	Zur	XylR	NadQ	ArgR	MetR	AgaR	CzrA	SahR_SamR	LtbR	NikR	FabR	HisR	ThiR	Irr	AmtR	Rex	PdhR	SiaR	HutC	TyrR	HexR	RutR	GguR	ZntR	LldR	BirA	LexA	NmlR	FixJ	NorR	QorR	FadR	PaaR	PsrA	NagQ	FadP	NiaR	CadR-PbrR	ExuR_UxuR	PhrR	TrpR	CblR	SoxR	HcpR	NifA	GulR	CsoR	PhnR	GlcC	NarP	PrpR	MetJ	AcnR	NtrC	VanR	HypR	NrdR	BioQ	CcpA	FruR	CueR	LiuQ	DasR	TtrR	MerR	HrcA	PurR	GntR	PdxR	LiuR	FnrN_FixK	NnrR	PhsR	RbsR	SdaR
HCO3	-0.034782608695652174	-0.16608695652173913	-0.12	-0.07217391304347825	-0.24869565217391304	-0.42869565217391303	-0.3408695652173913	0.013043478260869565	-0.15043478260869564	-0.07565217391304348	-0.45130434782608697	-0.1373913043478261	-0.2756521739130435	-0.5417391304347826	-0.10608695652173913	-0.19478260869565217	-0.5017391304347826	-0.4678260869565217	-0.29304347826086957	-0.31217391304347825	-0.3278260869565217	0.08260869565217391	-0.14173913043478262	-0.391304347826087	-0.17739130434782607	0.15565217391304348	0.3234782608695652	0.10434782608695652	0.11217391304347826	-0.20521739130434782	-0.11478260869565217	-0.36	-0.3808695652173913	0.18	0.042608695652173914	-0.27304347826086955	-0.4756521739130435	-0.5565217391304348	-0.3626086956521739	-0.15391304347826087	-0.20782608695652174	0.2617391304347826	0.28608695652173916	0.11478260869565217	-0.2382608695652174	0.0808695652173913	0.0	0.08260869565217391	0.0052173913043478265	0.020869565217391306	0.019130434782608695	0.23304347826086957	0.2573913043478261	0.4547826086956522	0.3095652173913043	0.49217391304347824	-0.12608695652173912	-0.2608695652173913	0.22086956521739132	0.2252173913043478	0.28347826086956524	-0.32	0.16434782608695653	0.18608695652173912	0.10521739130434783	-0.15391304347826087	0.01217391304347826	0.11652173913043479	0.21565217391304348	0.14956521739130435	0.4973913043478261	0.4226086956521739	0.37043478260869567	0.2991304347826087	0.30869565217391304	0.4008695652173913	0.6269565217391304	-0.06956521739130435	-0.1826086956521739	0.12347826086956522	0.2539130434782609	0.38782608695652177	0.3765217391304348	-0.11826086956521739	0.2982608695652174	0.059130434782608696	0.1617391304347826	0.21739130434782608
Carbon.total	-0.2650246305418719	-0.1458128078817734	-0.1541871921182266	-0.3561576354679803	-0.4492610837438424	-0.5280788177339901	-0.18423645320197043	-0.24433497536945814	-0.10098522167487685	-0.38275862068965516	-0.41921182266009854	-0.3	-0.2645320197044335	-0.5842364532019705	-0.33448275862068966	-0.3689655172413793	-0.5	-0.5551724137931034	-0.3275862068965517	-0.4270935960591133	-0.3955665024630542	0.029064039408866996	0.10492610837438424	0.0	-0.12463054187192119	0.17339901477832512	-0.053201970443349754	-0.1748768472906404	-0.026600985221674877	-0.052216748768472904	-0.17536945812807883	-0.258128078817734	-0.2147783251231527	-0.1916256157635468	-0.06600985221674877	-0.15369458128078817	-0.3748768472906404	-0.09950738916256158	-0.34876847290640395	-0.2147783251231527	-0.08374384236453201	0.21674876847290642	0.04827586206896552	-0.017733990147783252	-0.18226600985221675	-0.30295566502463056	-0.33399014778325126	-0.31527093596059114	0.17536945812807883	-0.042364532019704436	-0.2650246305418719	0.025123152709359605	-0.17783251231527095	-0.0004926108374384236	0.10049261083743842	0.10049261083743842	-0.11576354679802955	-0.08669950738916256	0.07980295566502463	0.022660098522167486	0.13793103448275862	-0.07536945812807881	-0.21773399014778325	0.04384236453201971	0.015763546798029555	0.015763546798029555	0.007881773399014778	0.216256157635468	0.016748768472906402	0.2334975369458128	0.42857142857142855	0.44679802955665027	0.3650246305418719	0.27241379310344827	-0.016748768472906402	0.5182266009852217	0.4142857142857143	0.16403940886699508	0.046798029556650245	0.1807881773399015	-0.10640394088669951	0.14630541871921182	0.21970443349753693	0.10985221674876847	0.16305418719211823	0.14334975369458128	0.3645320197044335	0.09310344827586207
Oxygen	-0.4266266915160846	-0.25014180374361883	-0.3345758042298031	-0.38319423061340246	-0.5097642006320395	-0.3154525565189207	-0.3295519001701645	-0.11093104286524592	-0.4120411636010048	-0.5144639818491208	-0.33441374280852443	-0.288226237744105	-0.1554979337168787	-0.5433109148367231	-0.39389028441779433	-0.37330848391540394	-0.5437970991005591	-0.605704562029009	-0.3647192285876347	-0.4266266915160846	-0.48966858439348515	-0.06312292358803986	-0.07608783729033304	-0.043999675877157446	-0.08727007535856089	0.014990681468276477	-0.1033141560651487	-0.23344947735191637	-0.2814196580504011	0.027307349485454987	-0.05404748399643465	-0.1765659184831051	-0.2041163601004781	0.08532533830321692	-0.04092050887286282	-0.24771088242443887	-0.19439267482375822	-0.10882424438862329	-0.09099748804797018	-0.07706020581800502	0.04983388704318937	-0.06231261648164654	0.22712908192204845	-0.025848796693947004	-0.11093104286524592	-0.13831942306134024	-0.08240823272020095	-0.15857710072117331	-0.3120492666720687	-0.1908273235556276	0.16360100478081194	-0.06944331901790779	0.041406693136698806	-0.046916781460173404	0.16214245198930394	0.27801636820354914	0.15403938092537073	0.22356373065391782	-0.27347864840774655	-0.04529616724738676	0.0689571347540718	-0.1971477189854955	0.09650757637144478	0.046268535775058746	0.010290900251195202	0.1545255651892067	0.20751964994733005	0.4087999351754315	0.30880803824649544	0.42095454177133135	0.4381330524268698	0.393566161575237	0.5635685924965562	0.341382383923507	0.46681792399319344	0.4802690219593226	0.5108986305809902	0.3656915971153067	0.18288631391297303	0.398428004213597	0.07754639008184101	0.34527185803419497	0.29130540474839967	0.46487318693784946	0.3721740539664533	0.25419333927558546	0.4647111255165708	0.5002025767765983
Latitude	-0.4608216514058828	-0.37590146665586255	-0.31188720525079006	-0.3444615509278016	-0.4019933554817276	-0.24641439105420954	-0.3668260270642574	-0.15209464387002675	-0.5755611376711773	-0.5044161737298436	-0.41495826918402073	-0.4151203306052994	-0.42776112146503525	-0.5836642087351106	-0.5922534640628798	-0.5164087189044648	-0.6355238635442833	-0.5687545579774734	-0.3822218620857305	-0.5426626691516084	-0.48999270723604244	-0.07997731140102099	-0.21643302811765658	-0.07916700429462767	-0.12097885098452313	-0.1619803905680253	-0.16262863625313995	-0.2465764524754882	-0.3574264646300948	-0.2522486022202415	-0.4585527915079815	-0.40345190827323557	-0.37752208086864925	-0.0689571347540718	-0.1623045134105826	-0.07916700429462767	-0.17915890122356373	-0.11595494692488453	-0.3647192285876347	-0.20055100883234747	-0.12681306215055507	-0.2013613159387408	0.04351349161332145	-0.13037841341868567	-0.22729114334332712	-0.16376306620209058	-0.1490154768657321	-0.23944574993922696	0.209464387002674	0.09942468195446075	0.20995057126651	0.21659508953893525	0.1261648164654404	0.20055100883234747	0.09650757637144478	0.26099991896928937	0.03622072765578154	0.09213191799692083	-0.10396240175026335	0.013045944412932501	0.1670042946276639	-0.017097479944899116	0.18580341949598897	0.13702293169111093	0.266510007292764	0.2447937768414229	0.19909245604083947	0.30832185398265943	0.06506766064338385	0.10768981443967264	0.35402317478324286	0.26181022607568266	0.41544445344785674	0.4844826189125679	0.38886638035815574	0.5546552143262297	0.4348918240012965	0.07722226723928369	-0.13005429057612836	0.10866218296734462	0.09796612916295276	0.1614942063041893	0.0995867433757394	0.3065391783485941	0.13637468600599628	0.07479134592010372	0.15776679361478	0.19325824487480756
Iron.5m	-0.4275518337082406	-0.264481779485553	-0.2774624803191998	-0.28022087924634975	-0.48888564514722166	-0.31608006529929894	-0.42203503585394075	-0.2840339601162335	-0.5486779983622071	-0.47841995510009394	-0.4422362515263035	-0.5051926505694904	-0.48134061278766443	-0.5088434726789536	-0.6139871494314925	-0.5011361815589758	-0.6233981575358863	-0.5325332517003589	-0.22489064194293037	-0.5014606990798169	-0.43209507900001703	0.0032451752084116936	-0.20282345052573086	-0.06287526966297656	0.001865975744836724	-0.26342709754281923	-0.16866798145719777	-0.283628313215182	-0.49553825432446563	-0.3357945046904	-0.43355540784380225	-0.34739600606047183	-0.37587241851428443	0.053545390938792944	-0.08299535595512907	-0.11001143956515641	-0.2106930004061292	-0.20420264998930582	-0.2383581190578389	-0.20679879015603517	-0.30107112996039487	0.03350643402685074	-0.08226519153323643	-0.012250536411754144	-0.034561115969584534	-0.2258641945054539	-0.03464224534979483	-0.18684096262430328	0.08396890851765257	-0.03326304588621986	0.17102073348329624	0.16274553670184644	0.005679056614720464	0.31591780653887835	0.2330847093441699	0.2751097282931013	-0.05638491924615318	-0.021580415135937763	-0.11577162556008717	-0.06506576292865446	0.16225876042058468	0.057926377470148734	0.16063617281637885	0.07739742872061889	0.3710857850818772	0.24322588187045643	0.22367370123977598	0.3761969360351256	0.11147176840894167	0.2119910704894939	0.32175912191401945	0.16031165529553768	0.4189521194059497	0.3938831409209693	0.4360704186303213	0.4157880735777483	0.3679217392536758	0.25150107865190624	0.08494246108017608	0.24825590344349457	0.28265476065265854	0.3718970788839801	0.04462115911566079	0.24858042096433575	0.26975518919922203	0.10798320505989911	0.31275376071067695	0.2457408926569755
Gradient.Surface.temp(SST)	-0.11457378744302879	-0.21264894949426144	-0.41998167525116636	-0.4340971658641475	-0.5096242065465921	-0.21411549397353222	-0.18698442110702299	-0.2331805722040522	-0.3484876318867164	-0.16260311913914646	-0.2980751654117837	-0.15490376062297492	-0.14500458538789723	-0.4065994568778206	-0.38973419536620674	-0.23923006818104411	-0.3866177883477564	-0.30944088512613216	-0.14152154224962918	-0.19248396290428837	-0.16846929705622954	-0.10137488712959188	-0.21154904113480838	-0.39028414954593327	-0.3468377693475368	0.09679193563187073	0.28780935405688834	0.0034830431382680753	0.03318056884350114	0.02988084376514191	-0.16168652883960224	0.005866177917083075	-0.2681943216466418	0.22969752906578414	-0.011915673894074994	-0.042346471838943446	-0.13418881985327533	0.008615948815715766	-0.27057745642545683	-0.3913840579053864	-0.15032080912525378	0.0469294233366646	0.002566452838723845	-0.3140238366238533	-0.36865261847668945	-0.06782768216627305	-0.4029330956796437	0.08359303531843382	0.021264894949426145	-0.09019248547515227	0.18166819736966647	0.042346471838943446	-0.04087992735967268	-0.042346471838943446	-0.11109074430476072	0.10210815936922726	-0.12520623491774188	0.024014665848058836	-0.03959670094031075	0.18276810572911953	-0.006416132096809613	0.30339138914914027	0.1937671893236503	0.281026585840261	0.03336388690340999	0.15857012182115185	0.11439046938311995	0.4443629772190429	0.11017415400521649	0.1886342836462026	0.12318973625874456	-0.015582035092251917	0.02749770898632691	0.3178735158819391	0.14628781180725917	0.26232814372955876	0.021631531069243835	0.05041246647493267	0.07094408918472343	-0.04619615109702921	-0.031530706304321525	0.13968836165054072	-0.2713107286650922	-0.23171402772478145	-0.2168652648721649	-0.3741521602739548	0.10449129414804226	0.1444546312081707
Fluorescence	-0.12101313320825516	-0.26904315196998124	-0.33771106941838647	-0.027204502814258912	-0.5431519699812383	-0.2969981238273921	-0.3630393996247655	-0.39606003752345215	-0.2861163227016886	-0.3339587242026266	-0.3825515947467167	-0.4151969981238274	-0.3853658536585366	-0.36397748592870544	-0.4105065666041276	-0.3212007504690432	-0.36923076923076925	-0.2551594746716698	-0.10694183864915573	-0.25046904315197	-0.15966228893058163	0.06547842401500938	-0.06716697936210131	-0.21200750469043153	-0.051407129455909945	-0.04202626641651032	-0.15121951219512195	-0.1898686679174484	-0.174671669793621	-0.0876172607879925	-0.3450281425891182	-0.12908067542213883	0.005065666041275798	-0.1772983114446529	-0.2272045028142589	0.12326454033771107	-0.15403377110694183	-0.30356472795497186	-0.08818011257035648	-0.3172607879924953	-0.2020637898686679	0.09662288930581614	-0.3452157598499062	0.28686679174484053	-0.1803001876172608	-0.09437148217636022	-0.025703564727954972	-0.2589118198874296	-0.03789868667917448	-0.09268292682926829	-0.031332082551594746	-0.009568480300187617	-0.020825515947467167	0.26885553470919327	-0.03264540337711069	-0.036585365853658534	0.001125703564727955	0.08273921200750468	-0.03714821763602252	-0.0772983114446529	0.09043151969981238	0.24333958724202626	0.0600375234521576	-0.04165103189493433	0.0975609756097561	0.13527204502814258	0.10619136960600375	0.4461538461538462	0.2894934333958724	0.31200750469043154	0.13133208255159476	0.15121951219512195	0.37073170731707317	0.1971857410881801	0.24165103189493434	0.24671669793621012	0.05928705440900563	0.28574108818011257	0.3844277673545966	0.11200750469043153	0.27298311444652906	0.34071294559099435	-0.1529080675422139	-0.05778611632270169	0.03189493433395872	-0.224953095684803	0.17879924953095686	-0.175046904315197
PAR.PC	-0.4729470254147278	-0.1241362464014985	-0.05806195786595288	-0.4349707731999457	-0.05367163969083357	0.019866189742414882	-0.006256203399545018	0.027549246548873675	-0.001426853406913776	-0.1981131076522589	-0.039842137439207746	0.09208692372312755	0.04313487607054723	-0.1438926781895354	0.063769371493608	-0.3230176597344033	-0.254748212111298	-0.3726282551132515	-0.4452880209114761	-0.06464743512863184	-0.19460085311216346	-0.15662460089738142	0.1726492622365669	0.05147648060327392	0.08242822373786506	0.011305069300932225	-0.05081793287700602	-0.09647724189824686	-0.30918815748277745	0.04028116925671968	0.3010660688588067	0.04006165334796371	0.04598858288437478	0.18121038267804956	0.2560653075638338	-0.21325970535642053	0.07913548510652557	0.24311386894723183	0.17725909632044218	0.165624753156376	0.31687121428923626	0.042256812435523365	0.1548684736273337	-0.021622317012462606	0.11623367368628375	-0.3618719755842092	-0.018768610198635054	-0.12523382594527835	-0.33926183698234474	0.11074577596738461	-0.1559660531711135	-0.23082097805689777	-0.03457375562906457	-0.38492114600358557	0.027549246548873675	-0.15969782361996493	-0.04006165334796371	-0.08572096236920454	-0.3897504959962168	-0.21940615080158757	-0.18647876448819273	-0.2720899689030193	-0.0808916123765733	0.07562323056643012	0.09845288507705055	0.1548684736273337	0.19196666220709185	-0.08352580328164488	0.06530598285489975	0.18823489175824046	-0.049061805606958296	0.09955046462083038	0.04291536016179126	0.14477074182455926	0.13291688275173713	0.18516166903565692	0.37811615283215066	0.18955198721077623	0.12479479412776641	0.3234566915519152	-0.16342959406881635	-0.010207489757152398	0.40182387097779493	0.41192160278056933	0.4215803027658318	0.36999406420817993	0.3792137323759305	0.41740950049946846
Longitude	-0.17851065553844908	0.3011911514463982	0.04950976420063204	0.003970504821327283	-0.26472733165869866	0.012235637306539178	-0.0235799367960457	0.009318531723523215	-0.12130297382708047	-0.1710558301596305	0.02098695405558707	-0.10023498906085407	-0.05971963374118791	0.011749453042703185	-0.5612997325986548	-0.32874159306377115	-0.2608378575480107	-0.27347864840774655	-0.1811036382789077	-0.2653755773438133	-0.15906328498500932	0.30443237987197147	-0.11093104286524592	0.34608216514058826	0.26667206871404264	-0.17040758447451584	-0.23636658293493235	-0.18499311238959565	-0.4003727412689409	-0.3840045377197958	-0.13702293169111093	-0.1893687707641196	-0.2613240418118467	0.045458228668665425	0.23636658293493235	-0.35904707884288145	0.0922939794181995	-0.04578235151122275	-0.043837614455878776	-0.2044404829430354	-0.054371606838991976	-0.015963049995948466	-0.17689004132566244	-0.3099424681954461	-0.06117818653269589	-0.27850255246738514	0.003484320557491289	-0.24592820679037355	0.19374442913864354	-0.10201766469491938	-0.13605056316343894	0.04075844745158415	-0.0008913378170326554	0.05064419414958269	0.050158009885746695	-0.04367555303460011	0.11206547281419658	0.02001458552791508	-0.009966777408637873	-0.006563487561785917	0.23944574993922696	-0.0922939794181995	0.07527753018393972	0.15193258244874808	0.4096102422818248	0.23393566161575238	-0.06668827485617049	0.0008913378170326554	-0.07706020581800502	-0.0002430921319179969	0.17219026010858116	0.03541042054938822	0.09359047078842882	0.05647840531561462	0.06458147637954785	0.17721416416821975	0.17510736569159713	0.03087270075358561	-0.16570780325743456	0.01612511141722713	0.17510736569159713	0.26796856008427195	0.10963455149501661	0.1650595575723199	0.14820516975933878	0.1477189854955028	0.22016044080706587	0.32501418037436186
ChlorophyllA	-0.26759530791788855	-0.1909824046920821	0.15102639296187684	-0.09530791788856305	-0.09787390029325513	-0.18511730205278593	-0.02126099706744868	0.10190615835777127	0.021994134897360705	-0.050953079178885634	0.006964809384164223	-0.03519061583577713	-0.0714809384164223	-0.22067448680351906	-0.27419354838709675	-0.1906158357771261	-0.29838709677419356	-0.08541055718475073	-0.10850439882697947	-0.22067448680351906	-0.15175953079178886	-0.020527859237536656	0.08614369501466276	-0.13086510263929618	-0.1315982404692082	-0.0186950146627566	0.012096774193548387	-0.156158357771261	-0.18841642228739003	-0.2939882697947214	-0.23093841642228738	-0.4567448680351906	-0.49266862170087977	-0.07551319648093842	-0.12573313782991202	0.07954545454545454	-0.15542521994134897	0.15029325513196481	0.013563049853372434	-0.06451612903225806	-0.015762463343108504	0.02346041055718475	0.056818181818181816	-0.34824046920821117	-0.21627565982404692	-0.08174486803519061	-0.09310850439882698	-0.17558651026392963	0.3526392961876833	0.2686950146627566	-0.20637829912023462	0.15065982404692083	0.17705278592375367	0.15395894428152493	0.2375366568914956	0.03702346041055719	-0.024193548387096774	-0.1968475073313783	-0.028958944281524925	-0.00843108504398827	0.38343108504398826	-0.23973607038123168	-0.10117302052785923	0.2126099706744868	0.033357771260997066	-0.07771260997067449	0.015395894428152493	-0.11290322580645161	-0.2159090909090909	-0.21151026392961877	0.16532258064516128	0.13416422287390029	0.14186217008797655	-0.005131964809384164	-0.16019061583577712	0.30828445747800587	0.19831378299120234	-0.3885630498533724	-0.3313782991202346	-0.250366568914956	-0.0076979472140762464	-0.2562316715542522	0.1840175953079179	0.0747800586510264	-0.0076979472140762464	0.12609970674486803	0.12756598240469208	0.09530791788856305
