	MerR	LtbR	RutR	GguR	PhsR	PurR	QorR	PdhR	PrpR	HypR	NnrR	CsoR	AcnR	NagQ	PhnF	IscR	RbkR	LexA	NtrC	LiuR	FnrN_FixK	SdaR	AmtR	NiaR	CblR	NifA	CcpA	RbsR	AraR	LiuQ	FixJ	BioQ	FadP	CueR	GntR	GulR	PaaR	NorR	SoxR	TrpR	PdxR	Phr	NikR	LldR	NrtR	HexR	HrcA	NsrR	NadQ	CzrA	HutC	AgaR	NagR	HisR	KdgR	SahR_SamR	ArgR	ModE	NarP	Zur	CadR-PbrR	HcpR	SiaR	FruR	Irr	TtrR	FadR	Rex	MetJ	DasR	NmlR	ExuR_UxuR	PhrR	TyrR	FabR	ThiR	PsrA	VanR	ZntR	MetR	XylR	NrdR	BirA	MntR	FUR	NagC	GlcC	PhnR
Lyapunov	0.6190476190476191	-0.11904761904761904	-0.42857142857142855	0.11904761904761904	-0.21428571428571427	-0.21428571428571427	0.35714285714285715	0.2619047619047619	-0.023809523809523808	-0.38095238095238093	-0.11904761904761904	-0.6190476190476191	-0.19047619047619047	0.09523809523809523	0.047619047619047616	-0.7619047619047619	-0.5	-0.30952380952380953	-0.3333333333333333	0.0	-0.19047619047619047	-0.14285714285714285	-0.6428571428571429	-0.47619047619047616	0.047619047619047616	-0.35714285714285715	0.21428571428571427	0.47619047619047616	0.21428571428571427	0.30952380952380953	-0.7380952380952381	-0.3333333333333333	0.09523809523809523	-0.21428571428571427	-0.47619047619047616	-0.3333333333333333	-0.38095238095238093	-0.11904761904761904	0.0	-0.07142857142857142	-0.11904761904761904	-0.5	-0.7142857142857143	-0.5952380952380952	-0.5714285714285714	-0.21428571428571427	-0.7619047619047619	-0.5714285714285714	-0.2857142857142857	-0.09523809523809523	-0.19047619047619047	-0.14285714285714285	-0.19047619047619047	-0.30952380952380953	-0.7619047619047619	-0.5714285714285714	-0.6190476190476191	-0.6666666666666666	-0.6428571428571429	-0.42857142857142855	0.23809523809523808	-0.5238095238095238	-0.16666666666666666	0.40476190476190477	0.2857142857142857	0.5476190476190477	0.3333333333333333	0.2857142857142857	-0.09523809523809523	0.11904761904761904	-0.3333333333333333	-0.5	-0.35714285714285715	-0.19047619047619047	-0.30952380952380953	-0.5238095238095238	-0.5238095238095238	-0.8809523809523809	-0.30952380952380953	-0.6190476190476191	-0.5476190476190477	-0.7142857142857143	-0.21428571428571427	-0.47619047619047616	-0.42857142857142855	-0.6428571428571429	-0.7380952380952381	-0.8809523809523809
Okubo.Weiss	0.5032967032967033	-0.15164835164835164	-0.35384615384615387	-0.0989010989010989	-0.4197802197802198	-0.34065934065934067	-0.006593406593406593	0.002197802197802198	0.08571428571428572	-0.45494505494505494	-0.14285714285714285	-0.08571428571428572	0.18681318681318682	-0.16923076923076924	-0.2879120879120879	-0.43736263736263736	-0.22637362637362637	-0.3934065934065934	-0.45054945054945056	-0.367032967032967	-0.02857142857142857	-0.16923076923076924	0.5252747252747253	0.07252747252747253	-0.1824175824175824	-0.4945054945054945	-0.17362637362637362	-0.24835164835164836	-0.24835164835164836	-0.16043956043956045	-0.5164835164835165	0.03296703296703297	-0.14285714285714285	-0.015384615384615385	-0.2175824175824176	-0.15164835164835164	-0.23076923076923078	-0.5076923076923077	-0.3934065934065934	-0.4945054945054945	-0.37142857142857144	-0.42417582417582417	-0.701098901098901	-0.4945054945054945	-0.5604395604395604	-0.6615384615384615	-0.42417582417582417	-0.5340659340659341	0.05054945054945055	-0.3010989010989011	-0.1912087912087912	-0.34945054945054943	-0.27472527472527475	-0.4901098901098901	-0.3626373626373626	-0.6351648351648351	-0.3010989010989011	-0.2	-0.35824175824175825	-0.26593406593406593	0.13406593406593406	-0.14285714285714285	-0.17802197802197803	0.23076923076923078	-0.23076923076923078	-0.08571428571428572	-0.389010989010989	-0.27912087912087913	0.34945054945054943	0.31868131868131866	0.16043956043956045	-0.2043956043956044	0.006593406593406593	-0.3362637362637363	-0.05934065934065934	-0.3230769230769231	0.05934065934065934	0.06813186813186813	0.06813186813186813	-0.34065934065934067	0.01978021978021978	0.23516483516483516	-0.07252747252747253	-0.046153846153846156	-0.3802197802197802	-0.17362637362637362	-0.45054945054945056	-0.06813186813186813
ChlorophyllA	0.23771880293619424	0.18238283455674761	0.045736871823828344	-0.11462450592885376	-0.3879164313946923	-0.026538678712591756	0.029926595143986448	-0.05815923207227555	0.11688311688311688	-0.17786561264822134	0.16770186335403728	-0.07509881422924901	-0.11462450592885376	-0.35177865612648224	-0.1541501976284585	-0.2456239412761152	-0.1281761716544325	-0.26030491247882553	-0.21626199887069453	-0.06945228684359118	-0.19028797289666854	-0.018633540372670808	0.057029926595143984	-0.054771315640880856	-0.14850367024280067	-0.3901750423489554	-0.5381140598531903	-0.4601919819311124	-0.04121964991530209	-0.014116318464144552	0.032185206098249576	-0.05138339920948617	-0.269339356295878	-0.37323546019198195	-0.2941840767927724	-0.25804630152456237	-0.07284020327498589	-0.39695087521174477	-0.5832862789384529	-0.3687182382834557	-0.5110107284020328	-0.5663466967814794	-0.39469226425748166	-0.40372670807453415	-0.36984754376058726	-0.4613212874082439	-0.4184076792772445	-0.47600225861095424	-0.2987012987012987	-0.5629587803500847	-0.3450028232636928	-0.5550536420101637	-0.5742518351214003	-0.37775268210050816	-0.3551665725578769	-0.37210615471485037	-0.5403726708074534	-0.39808018068887635	-0.5313382269904009	-0.5460191981931113	-0.3845285149632976	-0.21513269339356295	-0.30886504799548276	-0.032185206098249576	-0.12140033879164314	-0.02766798418972332	-0.28740824392998304	-0.4872953133822699	0.11123658949745906	-0.09203839638622248	0.07284020327498589	0.011857707509881422	-0.12140033879164314	-0.22529644268774704	-0.07735742518351214	-0.19028797289666854	-0.057029926595143984	-0.22981366459627328	-0.23771880293619424	-0.14398644833427443	-0.12027103331451157	-0.07961603613777526	-0.3924336533032185	-0.4150197628458498	-0.4330886504799548	-0.3337097684923772	-0.2422360248447205	-0.251270468661773
Carbon.total	0.017543859649122806	-0.06707946336429309	-0.11455108359133127	-0.05263157894736842	-0.13725490196078433	0.15583075335397317	-0.19504643962848298	-0.009287925696594427	-0.08565531475748193	0.021671826625386997	-0.2260061919504644	-0.12074303405572756	0.058823529411764705	-0.021671826625386997	-0.3993808049535604	-0.26109391124871	-0.391124871001032	-0.16202270381836945	-0.09391124871001032	0.034055727554179564	-0.16615067079463364	-0.09597523219814241	0.30030959752321984	-0.054695562435500514	-0.5892672858617131	-0.2899896800825593	-0.5294117647058824	-0.5706914344685242	-0.13312693498452013	-0.07739938080495357	0.005159958720330237	-0.04024767801857585	-0.06501547987616099	-0.6821465428276574	-0.5913312693498453	-0.11661506707946337	-0.07120743034055728	-0.5830753353973168	-0.5376676986584107	-0.3415892672858617	-0.5232198142414861	-0.4241486068111455	-0.5954592363261094	-0.4695562435500516	-0.49638802889576883	-0.2961816305469556	-0.27966976264189886	-0.3931888544891641	-0.48194014447884415	-0.6635706914344686	-0.6326109391124871	-0.4262125902992776	-0.4406604747162023	-0.38080495356037153	-0.5232198142414861	-0.36635706914344685	-0.5830753353973168	-0.3457172342621259	-0.45923632610939114	-0.5397316821465429	-0.5727554179566563	-0.2776057791537668	-0.2631578947368421	-0.18472652218782248	-0.21775025799793601	-0.3931888544891641	-0.2549019607843137	-0.7048503611971104	-0.3993808049535604	-0.07120743034055728	-0.02786377708978328	0.1785345717234262	-0.21981424148606812	-0.21981424148606812	-0.1434468524251806	-0.05675954592363261	-0.2631578947368421	0.08771929824561403	-0.47781217750258	-0.36429308565531476	-0.2899896800825593	-0.4200206398348813	-0.5397316821465429	-0.3931888544891641	-0.6099071207430341	-0.5252837977296182	-0.5913312693498453	-0.37874097007223945
PAR.PC	0.25263157894736843	0.5849624060150376	0.4842105263157895	-0.23759398496240602	-0.02406015037593985	0.0481203007518797	-0.2857142857142857	0.10827067669172932	0.5037593984962406	0.43609022556390975	0.5428571428571428	0.24360902255639097	0.05714285714285714	-0.06766917293233082	0.02706766917293233	0.09323308270676692	0.09323308270676692	0.12481203007518797	0.10075187969924812	0.40902255639097745	0.11729323308270677	0.11278195488721804	0.14586466165413534	-0.14135338345864662	0.0015037593984962407	-0.23759398496240602	-0.2571428571428571	-0.318796992481203	-0.3684210526315789	-0.28721804511278193	-0.2887218045112782	-0.3954887218045113	-0.13984962406015036	-0.42105263157894735	-0.48872180451127817	-0.3609022556390977	-0.5834586466165413	-0.27669172932330827	-0.21503759398496242	-0.4481203007518797	-0.19398496240601504	-0.2075187969924812	-0.17894736842105263	-0.10977443609022557	-0.03609022556390978	0.05112781954887218	-0.02556390977443609	-0.016541353383458645	-0.09924812030075188	-0.2992481203007519	-0.21954887218045113	-0.2646616541353383	-0.15789473684210525	0.20902255639097744	0.055639097744360905	-0.23759398496240602	-0.11879699248120301	-0.16390977443609023	0.06315789473684211	-0.02556390977443609	-0.29473684210526313	-0.21804511278195488	-0.12330827067669173	0.03609022556390978	0.162406015037594	0.12781954887218044	-0.06766917293233082	0.12481203007518797	0.03308270676691729	-0.22706766917293233	0.07819548872180451	0.23609022556390977	0.28270676691729324	0.03759398496240601	-0.1293233082706767	0.15789473684210525	0.3954887218045113	0.2736842105263158	0.5593984962406015	0.3924812030075188	-0.08721804511278196	0.05714285714285714	0.12481203007518797	-0.009022556390977444	0.03759398496240601	0.11127819548872181	0.06766917293233082	0.09323308270676692
Nitracline	0.33088235294117646	0.4215686274509804	0.17401960784313725	-0.1568627450980392	-0.11029411764705882	-0.26715686274509803	0.44607843137254904	-0.12990196078431374	0.5122549019607843	0.3112745098039216	0.5980392156862745	0.00980392156862745	-0.22303921568627452	0.0196078431372549	0.1323529411764706	0.03676470588235294	0.056372549019607844	-0.06372549019607843	0.09313725490196079	0.25735294117647056	-0.022058823529411766	0.22303921568627452	-0.4362745098039216	0.007352941176470588	-0.12009803921568628	-0.3382352941176471	-0.16176470588235295	0.11764705882352941	0.44362745098039214	0.3161764705882353	0.05392156862745098	-0.10049019607843138	-0.24509803921568626	-0.03676470588235294	-0.18627450980392157	-0.28921568627450983	-0.27450980392156865	0.12009803921568628	-0.10294117647058823	-0.15441176470588236	-0.19362745098039216	-0.3333333333333333	0.17401960784313725	0.09313725490196079	0.17647058823529413	-0.041666666666666664	-0.23039215686274508	-0.11519607843137254	0.1642156862745098	0.041666666666666664	0.17892156862745098	-0.12745098039215685	-0.10784313725490197	0.029411764705882353	0.2549019607843137	0.1323529411764706	0.03431372549019608	-0.0024509803921568627	-0.058823529411764705	0.041666666666666664	0.00980392156862745	0.029411764705882353	-0.04411764705882353	0.12990196078431374	0.20588235294117646	0.22549019607843138	-0.00980392156862745	0.1715686274509804	0.22058823529411764	0.04656862745098039	-0.1642156862745098	-0.2181372549019608	-0.04656862745098039	0.11029411764705882	0.13970588235294118	0.16176470588235295	0.35049019607843135	-0.18872549019607843	0.11029411764705882	0.46078431372549017	0.3014705882352941	0.2916666666666667	0.2426470588235294	0.022058823529411766	0.19362745098039216	0.2426470588235294	0.2696078431372549	0.32598039215686275
NO3	0.126557718942217	0.6504236866948366	0.484446350377175	-0.5456504931443127	-0.4273916410179788	-0.43050371607393495	-0.2136958205089894	0.15767846950177858	-0.0010373583519853854	-0.23133091249274093	0.031120750559561563	-0.2614143047003171	-0.21577053721296016	-0.3060207138356887	-0.10892262695846547	-0.0850633848628016	-0.1701267697256032	0.028008675503605404	-0.19813544522920862	-0.04149433407941541	-0.02697131715162002	0.1275950772942024	0.30394599713171794	0.45954974992952574	-0.29460977196384946	-0.22095732897288708	-0.07261508463897698	0.021784525391693094	0.2188826122689163	0.28008675503605407	0.045643767487356955	-0.39419617375444643	-0.43050371607393495	-0.022821883743678478	-0.06639093452706467	-0.04149433407941541	-0.15767846950177858	0.13070715235015856	0.0352701839675031	0.09439961003067007	-0.113072060366407	-0.16908941137361783	0.1701267697256032	0.07572715969493313	-0.05809206771118158	-0.011410941871839239	-0.05809206771118158	-0.1348565857581001	0.10062376014258238	-0.08298866815883083	0.020747167039707706	0.13174451070214394	0.3858973069385634	0.1286324356461878	0.24585392942053633	0.1275950772942024	0.13278186905412934	0.22406940402884323	0.1773882781895009	0.00933622516786847	-0.0425316924314008	0.10269847684655316	0.07883923475088929	0.2676384548122294	0.4408772995937888	0.5892195439276989	0.28631090514796637	0.18153771159744245	0.126557718942217	-0.028008675503605404	0.03838225902345926	0.26037694634833175	0.41598069914613955	0.18672450335736937	0.20954638710104784	0.33817882274723565	0.3049833554837033	0.39627089045841724	0.4356905078338619	0.6431621782309389	0.4377652245378326	0.17220148642957397	0.44813880805768647	0.2738626049241417	0.12966979399817316	0.2500033628284779	0.4543629581695988	0.36722485660282644
Salinity	0.09203839638622248	0.5550536420101637	0.3235460191981931	-0.3958215697346132	-0.25014116318464147	-0.3867871259175607	-0.19141727837380013	-0.05928853754940711	0.39695087521174477	0.25014116318464147	0.24449463579898362	-0.15979672501411632	-0.1417278373800113	-0.12704686617730096	0.031055900621118012	0.07961603613777526	0.05251270468661773	0.000564652738565782	-0.11801242236024845	0.16431394692264256	0.16092603049124787	0.18690005646527386	0.2230378317334839	0.2106154714850367	-0.30773574251835123	-0.40711462450592883	-0.13495200451722192	-0.1067193675889328	0.007340485601355167	0.14850367024280067	-0.14624505928853754	-0.3382269904009034	-0.21626199887069453	-0.163184641445511	-0.21174477696216826	-0.3608130999435347	-0.35742518351214003	-0.15527950310559005	-0.17221908526256352	-0.24110671936758893	-0.20271033314511575	-0.28063241106719367	0.07284020327498589	0.01637492941840768	-0.07171089779785432	0.07735742518351214	-0.04686617730095991	-0.09881422924901186	0.07735742518351214	-0.19593450028232637	-0.053642010163749296	0.03670242800677583	0.2106154714850367	0.233201581027668	0.23094297007340486	-0.045736871823828344	0.005081874647092038	0.012987012987012988	0.08977978543195934	-0.0220214568040655	-0.08300395256916997	0.010728402032749858	0.053642010163749296	0.37549407114624506	0.3337097684923772	0.3145115753811406	0.30886504799548276	0.21852060982495766	0.14624505928853754	-0.11349520045172219	-0.1101072840203275	0.1756070016939582	0.30999435347261434	0.17108977978543197	0.05138339920948617	0.2862789384528515	0.5076228119706381	0.4601919819311124	0.33258046301524563	0.6261998870694523	0.40711462450592883	0.2941840767927724	0.3370976849237719	0.15302089215132694	0.27837380011293056	0.27498588368153587	0.35742518351214003	0.39920948616600793
Density	0.042348955392433656	0.6589497459062676	0.4771315640880858	-0.25804630152456237	-0.22077922077922077	-0.3167701863354037	-0.09316770186335403	-0.01637492941840768	0.4330886504799548	0.2930547713156409	0.25917560700169395	0.020892151326933936	0.055900621118012424	-0.09768492377188029	0.1767363071710898	0.22755505364201017	0.14963297571993225	0.15302089215132694	-0.017504234895539244	0.1281761716544325	0.1880293619424054	0.3416149068322981	0.16205533596837945	0.10559006211180125	-0.2264257481648786	-0.39808018068887635	-0.10107284020327499	-0.12478825522303783	0.044607566346696784	0.17334839073969507	-0.07622811970638058	-0.2930547713156409	-0.26143421795595706	-0.07396950875211744	-0.007340485601355167	-0.35629587803500845	-0.409373235460192	-0.03670242800677583	-0.17221908526256352	-0.08074534161490683	-0.1259175607001694	-0.17334839073969507	0.16431394692264256	0.05138339920948617	-0.0378317334839074	0.1857707509881423	0.07284020327498589	0.00846979107848673	0.05251270468661773	-0.22190852625635235	-0.05928853754940711	-0.07284020327498589	0.25014116318464147	0.32128740824393	0.2941840767927724	-0.10897797854319594	0.003952569169960474	0.07622811970638058	0.08074534161490683	-0.01637492941840768	-0.20045172219085264	-0.04121964991530209	-0.017504234895539244	0.2862789384528515	0.20609824957651043	0.39695087521174477	0.3370976849237719	0.08413325804630152	0.17447769621682666	-0.04912478825522304	-0.20496894409937888	0.17221908526256352	0.3427442123094297	0.06041784302653868	0.06041784302653868	0.37323546019198195	0.5245623941276115	0.5550536420101637	0.30660643704121965	0.6442687747035574	0.4161490683229814	0.39920948616600793	0.29983060417843027	0.14963297571993225	0.22077922077922077	0.233201581027668	0.4048560135516657	0.3924336533032185
Brunt.Väisälä	-0.23739868781657048	-0.09560988249050921	-0.0604878848409344	-0.16650428515353985	-0.07089440266303064	-0.24065072463597556	-0.07219521739079267	-0.18471569134220828	-0.2809759811965985	-0.1990246533475906	-0.2712198707383833	-0.40390297297011035	-0.21333361535297293	0.014959369369263346	-0.23739868781657048	-0.04292688601614699	-0.1521953231481575	-0.10081314140155732	-0.1691059146090639	-0.08065051312124587	0.08520336466841297	0.08130092048512688	0.1125204739514156	0.4663420799026878	-0.3252036819405075	-0.1079676224042485	0.28292720328824156	0.33951264394588987	0.35187038385962915	0.4247160086143028	0.20292709753087668	0.22634176263059322	0.07089440266303064	0.2926833137464568	0.2816263885604795	0.12032536231798778	0.37463464159546467	0.026666701919121617	0.07219521739079267	0.2530084645497149	0.12878065804844097	0.08585377203229398	0.34146386603753287	0.13918717587053722	-0.020162628280311467	0.052032589110481205	0.045528515471671055	0.013008147277620301	0.2386995025443325	0.09170743830722312	0.2874800548354086	0.4546347473528295	0.5034152996439056	0.02471547982747857	0.2998377947491479	0.22243931844730713	0.23089461417776033	0.27447190755778833	0.1261790285929169	0.1600002115147297	0.11902454759022575	0.1866669134338513	0.29723616529362384	0.4546347473528295	0.20227669016699568	0.1990246533475906	0.4598380062638776	0.06569114375198251	0.05788625538541034	-0.07414643948243571	-0.2692686486467402	-0.0995123266737953	-0.1125204739514156	0.05788625538541034	0.3121955346628872	0.24910602036642876	0.15674817469532462	0.29008168429093273	-0.1899189502532564	0.31414675675453024	0.5359356678379564	0.21008157853356785	0.21853687426402105	0.20878076380580582	0.34731753231246204	0.3434150881291759	0.4208135644310167	0.4897567450024043
