	NtrC	PurR	FadP	FadR	MetR	HutC	SahR_SamR	NagC	KdgR	NsrR	FUR	CcpA	NifA	NrdR	ExuR_UxuR	PhnF	PrpR	NadQ	LldR	SiaR	NikR	PdhR	LiuQ	AmtR	CzrA	IscR	BirA	MntR	Phr	ModE	RbkR	ThiR	Zur	ArgR	NrtR	NagR	PsrA	GguR	QorR	CblR	CsoR	NnrR	NarP	SdaR	Irr	Rex	FixJ	AcnR	BioQ	GulR	VanR	NorR	TtrR	AgaR	NmlR	SoxR	ZntR	HcpR	HisR	GntR	RbsR	FnrN_FixK	PhsR	MetJ	CueR	FruR	MerR	PaaR	PhnR	HrcA	DasR	HexR	RutR	PdxR	FabR	NagQ	GlcC	LexA	CadR-PbrR	NiaR	XylR	HypR	TyrR	AraR	PhrR	TrpR	LiuR	LtbR
PAR.PC	0.32850555745330245	0.39611645735013984	-0.35638407786531007	-0.5313382571438146	0.03918358971293985	0.34650586197129163	0.3478229574238274	0.5111427935382657	0.32126153246435557	0.2819681847970377	0.1478439645471428	0.3190663733767959	0.004939107947009224	0.09889191689456248	-0.09164789190561562	-0.2751631916256028	-0.1559660531711135	0.4955571640165922	0.4419952822801366	0.4733860572322397	0.6849993932729904	0.43980012319257694	0.2158938962614921	0.3170907301979922	0.305675902942682	0.27099238935923947	0.4668005799695607	0.18099086676929357	0.26067514164770905	0.19547891674718731	0.35704262559157796	0.37614050965334694	0.197454559925991	0.09296498735815141	0.0745256510226503	0.14564880545958314	0.2936025279611039	0.08133064419408523	-0.1261118895803022	-0.49994748219171153	-0.0554277669608813	-0.2687972302716798	-0.17989328722551376	-0.15706363271489335	-0.43672690046999346	0.006036687490789052	-0.3100662211178013	-0.2720899689030193	-0.20557664854996172	-0.14740493272963087	0.04401293970557109	-0.02096376928619471	-0.21369873717393245	-0.14191703501073172	-0.1535513781747979	-0.1261118895803022	0.04664713061064268	0.04554955106686285	0.049281321515714266	0.06333033967609605	0.11996544413513517	0.32126153246435557	0.3522132755989467	0.4411172186451128	-0.03369569199404071	-0.027110214731361743	0.229284366695606	0.3724087392044955	0.312261380205361	0.509167150359462	0.222918405341683	0.30348074385512236	0.3640671346717688	0.43299513002114204	0.45362962544420277	0.40357999824784263	0.2518945052974705	0.4275072323022429	0.3010660688588067	0.19701552810847908	0.17352732587159075	0.5941198070480207	0.3803113119197103	0.3541889187777504	0.3137979915666527	0.00910991021337257	0.3337739392634456	0.06640356239867957
Fluorescence	0.37495349452588744	0.535836931911659	-0.12963039795110431	-0.06581298371658931	-0.6549970515372515	-0.4389559104301789	-0.5224732818830988	-0.5034997282798457	-0.40193517187895056	-0.4320863631333315	-0.4445481300217313	-0.3457898857145781	-0.38001383431683244	-0.35731440149653676	-0.3575538154221299	-0.348216672323999	-0.33471563134950183	-0.21667096296814992	-0.3254410623455601	-0.2967249943383424	-0.27785754463393164	-0.2430078550897862	-0.23967374411462322	-0.18359783357641687	-0.3153815965514637	-0.1884051563778147	-0.403037020059237	-0.299815610468726	-0.34094719494689946	-0.06843973536613632	-0.2456250845945653	-0.16638587675522665	-0.2797279659276277	-0.30169963482637624	-0.3695340338465527	-0.2193222001328144	-0.18456909234274343	0.29682293639881224	0.09375367707842028	-0.0031531902245727455	0.3782794436626779	0.23366118984688744	0.15560952949074638	0.1637985739911467	-0.05323150986539287	-0.06298490672052082	0.11398279348464171	-0.05497406235791992	-0.09632873708494151	-0.14615131912342355	-0.023478888384868675	-0.019928488692834652	-0.005380011793867648	-0.17418315301374734	-0.028444006728134647	-0.08866205024038068	-0.06505665336073838	-0.05619425719460747	-0.05058435361991463	0.04406984629227059	0.023537381559871534	0.008035329877718381	0.006075128361924884	-0.053106361677014664	0.039998449250792496	0.09722653930591563	0.21117124421148573	0.02870518555605439	0.13016771897729337	-0.07116442907615322	-0.07302124730589517	-0.08039682858183711	-0.12959911090400975	0.13428264582342475	-0.0037789311664637995	0.008467907311460458	-0.0839363458227078	-0.05123049915773692	0.12949028639237653	0.08657397992341814	-0.09394820089296467	0.07218737948550556	0.07829651550731583	0.03333294791325736	0.11589402397020027	0.15657534703149126	0.18515538439916743	0.2393268659837923
NO3	0.17040710250273128	0.32394408440750455	0.23377077188297185	0.25773830329219755	-0.4642587945525724	-0.4628581968536748	-0.5257497546500173	-0.44117253809995643	-0.3127455976374422	-0.4030101850681952	-0.19767312017812488	-0.055032473629719185	-0.15690785861380557	-0.16090192261358333	-0.23135041316285437	-0.07438904856954034	-0.30316487989487056	-0.31034727079123997	-0.2181753525615387	-0.2499043984100488	-0.21401132839155768	-0.1952401718157701	-0.3252565546107412	-0.16939048889207073	-0.44534285709105614	-0.33839069887478573	-0.47095333681224716	-0.380235522260952	-0.40972361179122585	-0.18033718281738748	-0.2580341598847737	-0.21976479489399556	-0.23271324193504017	-0.19962766213546293	-0.363050660607062	-0.22009527300272422	-0.23053208641743103	0.12302598394272025	0.0448317160069614	0.23043136927953278	0.3393569539164971	0.20072296101010645	0.165808735675564	0.23064539319756658	-0.05479012301665151	-0.09593307384808926	0.12618598414427804	0.11857239800128172	0.177347142786033	-0.017842670460787993	-0.023725180796158034	-0.06544410775995145	0.02321215287498879	0.038234743474625604	-0.062498131476427445	0.018667292027329967	0.03055506170988355	0.15957056794699073	0.14303722027888008	0.14395311675164235	0.06737976525393356	0.08896470686975365	0.12276789627685597	-0.24082726635696844	0.03592454412408434	0.12148690017921251	0.31238679283367965	0.02480474261800497	0.12145857348417863	-0.1286976177706158	-0.005422988393709246	-0.09580403001515712	-0.12080076467728064	-0.1876297330833331	-0.025062830283869252	-0.16080435288624437	-0.25407156999058916	-0.10302418983823838	0.00016051793852534622	0.017845817871347314	-0.12731275712451479	-0.18575072897941877	-0.10322247670347558	-0.1564640737249414	-0.14696204124635276	-0.11323753710323345	0.03002314932535838	0.0867961409943818
Density	0.12382583020260693	0.208941496098089	0.04773561811505508	0.04000018866901088	-0.3642113753263384	-0.22454206493515683	-0.4493907170129922	-0.36638342731408435	-0.31951568664907326	-0.3298217313683456	-0.2709404914356061	-0.07773870757010823	-0.25830202606934055	-0.28395157809835786	-0.05632477483532733	-0.10536456748808437	-0.15412135662452273	-0.15950314015984982	-0.18888598024163783	-0.23023986906370644	-0.21453553227065514	-0.2685184530084453	-0.20841086450499147	-0.11862092386497902	-0.18885532152736997	-0.14278706579595918	-0.2143680885234999	-0.15582645281034282	-0.20534735144084165	-0.09973043915070645	-0.24641823674659158	-0.1924824832615212	-0.1446831893552944	-0.20247486575020696	-0.2599127877497211	-0.14098056001679155	-0.16851444379196412	0.16725979486961792	0.15651273633741566	0.1608686321260875	0.32665916707348425	0.18019777229065403	0.12209007530251896	0.08001924423910967	0.01018576822483686	0.07131216938703797	0.02122998044917375	-0.04596920450069925	-0.0011367307905467393	-0.05364095815557175	-0.22203040872782845	-0.00753025189671315	0.22404209205632714	-0.035816453352766245	-0.029795553543086106	0.06163109076630277	-0.0019668744384148972	-0.08227855564438721	-0.022630847854951265	0.02043049551557345	-0.024156708480436204	-0.055369637967751746	0.014669015595852111	0.08643634897163598	0.05813363897713096	0.009692870433915141	0.14184372074156354	0.017216047242720325	0.03050542069651882	-0.007978340797551076	-0.14979611955011873	-0.012959202684760024	-0.11345139296689094	-0.01614299224334529	-0.08929232612381875	-0.17980864245571584	-0.1512087787690762	-0.14834100980371348	-0.0024220384271607907	0.0480988059609974	-0.12727847310169496	-0.057386038021522416	0.08837728142105498	0.05109628487133953	-0.006384087655622455	-0.11502913757036765	0.0009834372192074486	0.18423293076083136
NPP 8d VGPM (mgC/m2/day)	0.11340148819912395	0.04202460254761383	-0.29919414237614633	0.08309677113020447	-0.1448256244087525	0.015084327536958077	-0.22044517044991133	-0.2516404751224888	-0.20716675666481538	-0.12537494375941538	-0.22092757206855942	-0.22322207207520617	-0.2674112972706	-0.3224916667023952	-0.013872138854201299	-0.08202682907858752	-0.08012814578467767	-0.00273979380847578	0.11302422539479658	0.03519676425290218	-0.006512421851749428	0.1127706553131995	-0.11238102323659911	-0.4621654892094314	-0.01778701352861477	-0.1312689019975134	-0.20943033349077958	-0.2639293471257425	-0.37224087978451526	-0.21191037258152176	-0.14905591552612818	-0.20881805451326466	-0.16811077946272834	-0.16301463928624066	-0.23504091173208477	-0.09496508787617518	-0.20223760166401358	0.09045648813265635	-0.061308298021265036	0.18010278893142934	0.03676766183157678	0.043156390960595925	0.16354033335784438	0.1645546136842327	-0.18957765149256905	-0.12434829416075403	0.21543561517933482	0.3427092422326601	0.12264751922321264	0.1519070327850612	0.159891398037301	0.0949712725123117	0.11536820249053545	-0.02317383160351862	0.148548775362934	-0.054975230617474516	-0.056379143020463235	-0.02596928713722303	-0.1521296796859757	0.16389285761762568	0.20184178495127666	0.1251090044055453	0.09231187897361061	0.27177765038297896	0.16173441960598223	0.27646560457445674	0.039600225182100275	0.23087246697607422	0.09140273746154302	0.07263855142335901	-0.12003141813746714	0.17681874714294032	0.05299614705378998	0.06426455409451881	0.08521810132502884	0.05834585731187474	0.012418749362120467	-0.12750245859037626	-0.13609291818399447	0.12860332382267578	0.03340321977331307	0.026884613285427128	0.011478684669370312	0.13956868369271544	0.08336271048407459	0.009171815390450524	-0.12920941816405418	-0.09599173747483654
CO3	-0.1736217495681697	-0.015812485617883443	-0.0357145205307039	0.06272395542395345	-0.12317301686712201	-0.041263683882676296	-0.17946678063440602	-0.2805023176364912	-0.28934547487393536	-0.27106742497051917	-0.10597981524934022	-0.23551727539218412	-0.06213879483352034	-0.1999079522709963	-0.018751438246238494	-0.04356487721584021	-0.012682862684780525	-0.16041947467390358	0.10396791479234549	0.08225122456537293	-0.06380880370958787	0.01349156777043527	-0.05356520595796109	-0.23796969000152737	-0.11716361484851683	-0.11188401985842934	-0.2895887438834413	-0.3424044182986004	-0.3362109208133421	-0.247522929753205	-0.3508728097646436	-0.2193037246505207	-0.14727637332249027	-0.2571945165905882	-0.3191755153098344	-0.28540057201708297	-0.3130346165293342	0.0955981458977236	-0.13782833098032873	0.16022880436915574	-0.061849501957351165	0.046142213748983786	-0.07808935205139363	0.03600381340687307	-0.11317926296309588	-0.3203589861668901	0.22631907689762323	0.10202176271629829	0.1256911798574128	0.14918307636996894	0.13296295079021075	0.10321180841144877	0.1433117459513536	-0.1077550215349238	0.08039712022265229	-0.10678852033499496	-0.17849370459638242	-0.1371905716851376	-0.2224201979074341	-0.032979387883286214	-0.003234820342618983	0.06732634209028127	0.052664453138979786	0.23896906539193	-0.04002761432086254	0.04374239784439857	-0.08678128801265846	0.054781551005490585	-0.037174134587739285	-0.09637397679290458	-0.0380157138638678	-0.03198658733097836	0.026660968474227595	-0.1629639370165734	-0.1695584996256117	-0.3296163582043038	0.011150925408702836	-0.13865676058026774	0.08837239883158893	-0.030027285578741656	-0.008764259180307123	-0.02864656957884331	-0.16283244025467833	-0.16619218252109763	-0.12997139945709768	-0.07229691968991532	-0.2731450738084614	-0.2489365199435771
Mean Flux at 150m	0.02626613064093495	-0.013654637303297286	-0.1382341565279727	-0.15962446818335257	-0.26982266554438356	-0.21571982795466657	-0.302042921292679	-0.2134811706800487	-0.13402641850918837	-0.0371781197648575	-0.2360201127695257	-0.24748297567306626	-0.20954300919171578	-0.10347050481846218	-0.09632086640214343	-0.10826427877301033	-0.05195794606482135	0.12961942827224437	0.06541333114995893	0.24799868729653843	-0.10198197354162204	0.03198584137398995	-0.16955191693519187	-0.14687232622113158	-0.18698062566480825	-0.1704426915575529	-0.15927284662189425	-0.16577784550887278	-0.2556288751801835	-0.26679872011584216	-0.07775524795714522	-0.17789706866046884	-0.2689670530781683	-0.14423516451019433	-0.2418453099710182	-0.25260492975164217	-0.0718948885995069	-0.03512699398968409	-0.03932301128975313	0.2595553159498012	-0.17793223081661466	0.05543899952325851	0.01775688885364411	0.01795614107180381	-0.10636552234113551	-0.16556687257199781	0.1287520950873139	0.09635602855828926	0.32021003530135783	-0.147821704437069	0.09105826369898422	0.05613052192745983	-0.025035455175830904	-0.001242396183819324	0.001722945651145666	-0.2667166750848352	-0.19584148901355738	-0.17055989874470567	0.09459792075099777	0.032384345810309356	0.053352711591939266	-0.044925514835655364	-0.024402536365205965	-0.04583973089544694	0.0942814613456853	0.1503768211169993	0.06428814215329237	0.07665350039790923	-0.030755165908885905	-0.06693702458294488	0.11957477233325228	-0.030180850691837346	0.0076067464462145394	-0.10788921577412147	-0.06606969139801443	-0.002273819430763668	-0.08141211219631155	-0.1452548670384234	-0.22547146592577672	-0.07639564458617314	-0.0668315381145074	-0.0862996519005819	-0.23099192444067201	-0.04573424442700945	-0.14257082245262506	0.1484663439664092	-0.08783506605228314	-0.16420726920102574
Si	0.06613021428428276	0.12050546349811843	0.08548444723014748	0.2544535343548062	-0.24047927089968968	-0.25920429617165913	-0.15037331769267556	-0.16104302146512492	-0.037884155063137935	-0.12367345097249825	0.04787343658358425	-0.11096248044403972	-0.15386810295117154	-0.006033565058980511	-0.23865017882441264	0.021395499701873898	-0.11712042376413907	-0.10567274616233854	-0.10375341887801451	-0.0862234004285594	-0.010691652877352692	0.050792667535726393	0.011111124659949559	-0.17356864399662206	-0.13740139669481083	-0.07960208711605654	-0.18803798170678024	-0.13870614904184178	-0.12664145771331445	0.003055803160429499	-0.07973865932434389	-0.00948445210766985	0.019093282476458535	-0.026221863991171566	-0.07701453152689797	-0.04745640359042108	-0.020702883502702326	-0.02834604958792663	-0.2083116382691509	0.026341364673423	0.20150009938081923	0.11466212401496674	0.2465299074847061	0.15981387159053875	-0.06557904787226594	-0.050112245283723336	0.027326635604638896	0.1999368353538158	0.10476551649300113	0.009140582797517767	0.0443225591681131	-0.07976304721868092	-0.06942745759864882	0.060996562526338546	0.06102826678897668	-0.010238038042683988	0.04487860315899732	0.0702176253751685	0.09794666123636835	0.18762826508191818	0.0587114168269591	0.08662336189568665	-0.03421377696541535	-0.06250861197523423	0.13428462379853875	0.0768682041608758	0.1681203884017302	0.11683264661096215	0.21446470401038284	-0.003333825155871608	0.014562011708638897	0.05424111579498203	0.057421297216530366	-0.02304412135905693	0.014442511026387463	0.01361088382949484	0.020671179240064192	0.022039340112371415	0.10639218904528083	0.0910643974544593	-0.03784025685333129	-0.03717690612736415	0.016656931832189525	-0.10417045187117767	-0.1327847682968116	-0.07782420961888727	0.07437576135963163	0.07508057150597171
NO2NO3	0.10461410318112219	0.3625071074998475	-0.06283978573882373	0.30725108985499006	-0.36704589669123805	-0.3651131705245745	-0.2743498558978386	-0.17362614345219407	-0.13313116604021613	-0.24543377860433674	0.00183546639827662	-0.17845671194874543	-0.23631131109768472	-0.10738226581982742	-0.34180075219428935	-0.1243428731223808	-0.21616357600029776	-0.16504483927220787	-0.15431883250727887	-0.1326623240797868	-0.12554490410603478	-0.05684459386184412	-0.1732819935025172	-0.2168618512605117	-0.1616631919406004	-0.11591618703572767	-0.2705342803688125	-0.18739214143926872	-0.22796193405769813	-0.0036335251933274936	-0.0984293794477988	-0.12361467177958628	0.008952886372028622	-0.013990443606429127	-0.16338144784876968	-0.14460283102944502	-0.16539397690231483	0.08245134518997502	-0.0040499965092408025	0.1634687322562964	0.3360998334626856	0.167857891034784	0.22241064573899738	0.29263469235458345	-0.070872445071499	-0.04180923120530915	0.05906660549345345	0.12677187349183927	0.09399533154544033	0.08739663033641867	0.012274681538474896	-0.10576875120069022	0.03386385628016063	0.05078206829905817	-0.06972527857257611	-0.004523826150100256	0.07921184675062538	0.0989156782897335	0.1571169212285647	0.14089698446988108	0.03532275280596474	0.14941594264449104	0.09907528406349668	-0.05681716161947858	0.03374913963026834	0.020167685819107373	0.2535861422673344	0.12786417550603105	0.20871198143772907	0.05444053189453616	-0.028295111079954523	0.0031173002688121942	-0.0011172404163422903	0.05239807675841041	0.12782926174302037	0.055123844113459795	0.01244426267309828	-0.0031222879492422938	0.1743543447949886	0.14976009259416792	0.07285255420224851	0.10437220068026236	0.02772900935113823	-0.01284826478793634	0.018110267641691324	-0.025452133234797805	0.13577214282795383	0.12894650215936265
PO4	0.21399659764807805	0.3724868075838286	-0.008403875730005925	0.2868565424065239	-0.32051030272744296	-0.318145995352112	-0.1691665752789387	-0.15005317779163538	-0.11222425978634012	-0.12792764760717365	0.06652196867678742	-0.1780779991941559	-0.2226325682768489	-0.0800880430342689	-0.3480632828522545	-0.061354669062525805	-0.2093955075670672	-0.15610039762648942	-0.1852346836549743	-0.15919924709901057	-0.10392495428544808	0.010194322091907036	-0.13447731464045293	-0.21095130853681032	-0.10307308949217889	-0.0809654127614683	-0.22980710619141848	-0.172285828698604	-0.20826818948735168	0.04140470974231144	-0.13006241057713266	-0.06000545805761742	0.028233961860748284	0.029060321720087257	-0.11400195368127612	-0.058674100506460186	-0.05858483323770443	0.068131330007784	-0.0021934243179985114	0.10162440924494266	0.25761258516213914	0.1219722455344684	0.23606856747128632	0.35695685331372057	-0.0664250499278526	-0.05341753362344282	0.057511075519242366	0.17370645351851702	0.1309193763571879	0.047819200625760575	0.1308964219166507	-0.11563171895941687	-0.07632096429277611	0.08472739051617506	-0.08147041045328657	0.012066384242384836	0.09470237017628225	0.08363322885056883	0.1332632797853747	0.12821585336058508	0.11515732718831488	0.15762304218212328	0.09556443694312353	-0.16185176022775297	0.031065009527002176	0.08522218623442124	0.21318043976231116	0.1531367243037984	0.27152552662107154	0.0610817662694725	0.04624299570887327	0.0367194533793309	-0.009704627360446902	0.10892392133577027	0.20719698226228264	0.11893460790337976	-0.020528921320430254	0.09319757907439954	0.227024517899632	0.1256577084873845	0.08527829708906771	0.167309816088819	-0.004236369525808753	-0.06939127374393664	0.08364088033074789	0.04135880086123705	0.1346635006581435	0.07333943751633396
