	NtrC	HypR	PurR	FadP	CcpA	ExuR_UxuR	HutC	FUR	MetR	NifA	SahR_SamR	CblR	AraR	CsoR	LiuR	TrpR	TyrR	LtbR	PhrR	QorR	GguR	NnrR	MetJ	CadR-PbrR	XylR	HcpR	HisR	NarP	SdaR	PhsR	FnrN_FixK	HrcA	PaaR	PhnR	LexA	FabR	NagQ	GlcC	MerR	NiaR	PdxR	Rex	Irr	SoxR	DasR	LiuQ	FixJ	NmlR	CueR	FruR	FadR	AgaR	VanR	BioQ	AcnR	GulR	IscR	ModE	ThiR	MntR	RbkR	AmtR	PsrA	NagR	BirA	Phr	CzrA	ZntR	Zur	ArgR	NagC	NsrR	KdgR	NrtR	NrdR	PhnF	NikR	LldR	PdhR	NorR	TtrR	PrpR	GntR	RbsR	SiaR	NadQ	HexR	RutR
PAR.PC	0.026108374384236452	0.3142857142857143	0.1566502463054187	0.09359605911330049	0.39113300492610836	-0.0960591133004926	0.08719211822660099	0.20738916256157636	0.25862068965517243	-0.016748768472906402	0.08571428571428572	-0.07044334975369458	0.45517241379310347	0.007389162561576354	0.2334975369458128	-0.129064039408867	0.16354679802955666	-0.22019704433497536	-0.018226600985221674	-0.008866995073891626	-0.0980295566502463	-0.06403940886699508	0.270935960591133	0.09014778325123153	0.12512315270935961	0.21280788177339902	0.0960591133004926	-0.14630541871921182	-0.18620689655172415	0.09704433497536946	0.2773399014778325	0.44729064039408867	0.37635467980295567	0.23940886699507388	0.10344827586206896	0.28620689655172415	0.17635467980295566	0.13201970443349753	0.16896551724137931	0.23201970443349754	0.23201970443349754	-0.052216748768472904	-0.31133004926108376	-0.12955665024630542	0.05517241379310345	-0.00935960591133005	-0.2576354679802956	-0.2911330049261084	-0.17586206896551723	-0.14039408866995073	-0.3399014778325123	0.12266009852216748	0.08916256157635467	-0.1206896551724138	-0.15123152709359605	-0.1413793103448276	0.13054187192118227	-0.10640394088669951	-0.024630541871921183	0.0980295566502463	0.24334975369458128	0.23891625615763548	0.05960591133004926	0.183743842364532	0.26108374384236455	0.2246305418719212	0.2536945812807882	0.1206896551724138	0.2655172413793103	0.09359605911330049	0.2817733990147783	0.1748768472906404	0.053694581280788176	-0.0812807881773399	-0.10640394088669951	-0.03596059113300493	0.5669950738916256	0.3561576354679803	0.25270935960591134	0.09064039408866995	0.04729064039408867	-0.0916256157635468	-0.035467980295566505	0.09113300492610837	0.3985221674876847	0.358128078817734	0.41133004926108374	0.21674876847290642
FluxAttenuation	-0.1280871202535421	-0.17605496893148806	0.23552861915042778	0.1437739031995731	0.11142801605052575	-0.40753224951114336	-0.05211641937441693	-0.06239061398989589	-0.0451481170326883	0.07143320167986003	-0.0555195437738658	-0.10011667876092904	0.08877293076276616	-0.021942049699303648	-0.05013936615187997	0.0007778570055883124	-0.1297076556818511	0.11729435430100428	0.016043300740258944	0.021229014110847693	-0.2993128936086694	-0.1616322036195381	-0.08323069959794943	-0.06728463098338902	-0.16487327447615605	-0.17521229050876738	-0.052148830082983114	-0.28712646718778584	-0.1668827384072592	-0.2704349522762033	-0.2051597852239174	-0.4202372472690858	-0.29665521550624263	-0.17190639823501705	-0.21173915906285187	-0.1351526547209693	0.06602061334930802	-0.06994230908581577	-0.11363194423302597	-0.1241330138084682	-0.03662410067978304	-0.07726712922177237	0.09894989325254658	-0.10539962425721634	0.025669281184414312	0.004699552742096054	-0.06028391793309421	-0.11761846138666608	-0.05607052581949085	-0.17851818278251771	-0.2079146954520427	-0.031211512349231037	-0.22233746076399263	-0.09784792916129646	-0.18558371724994488	-0.18033318246222377	-0.056913204242211524	-0.013158747677868952	-0.016756336328714896	0.07159525522269092	-0.0033707136908826874	0.024081156464671506	-0.060478382184491294	-0.11606274737548945	-0.01024178390691278	-0.0026252673938605546	-0.1565437223746479	-0.0679652558632788	0.00515330266202257	0.06284436390982241	0.10189926773206893	0.049231866312026945	0.07979516448993439	-0.007486873678787507	0.0893239128083912	-0.14688533122192635	0.16967005934395066	-0.1608219359053836	0.005898748959044703	-0.15482595482064035	-0.1746937191717085	-0.07107668388563206	-0.12154015712317381	-0.10095935718364972	-0.2629156678888496	-0.0048940169934931325	-0.0048940169934931325	-0.03143838730919429
Longitude	0.25506085494958036	0.03564886800195791	0.001842918045012025	-0.008104849318388473	0.033267289202246836	0.02373349260403172	0.15619416226419236	-0.04209534045981459	0.016927912976375678	0.1667279725783071	0.12222112772129816	-0.141914664665087	-0.016496485612658384	0.04410534309077493	0.03988583384563238	0.03307027901881524	0.4017636152119923	0.031277236969608685	0.11139554283172144	0.009538784197795663	0.05768408294881346	-0.012304408165208837	0.18619706754097134	-0.15338614370034453	-0.19870347348919234	0.024349461152229246	0.004416519428574149	0.052217673808534225	0.09588909573580158	0.04070629397663232	0.04900565967866211	0.1210939302160946	0.18705244086903514	0.24471906721931666	0.17842888119426978	0.12109143641630432	0.12881722816657123	0.22419758874515705	0.2833081251740069	0.1891721706907675	0.059679122781032164	0.1804338962256496	0.030067744071326095	0.14198947865879522	0.1603388575156267	0.3302464248265324	-0.09019575081460747	0.18167082092162518	0.15590238768873038	0.20908266821631014	-0.1112583838432564	-0.0012444060953464148	0.031708664333325975	-0.010249517138023577	-0.1935163699254237	-0.12093183322972682	0.08464954008103948	0.10836806988632956	0.09260476141201154	0.1489222420757552	0.06895605800084913	0.14219895784117817	0.13277239463394483	0.17154599377311527	0.14017648621126647	0.20216237379830151	0.0033067785219024967	0.17403231216401782	0.13840588836017237	-0.014578753573938157	-0.012663515335008204	0.09158230349799946	-0.03215754829557518	0.11402650161045985	0.06732012533842979	0.02710261612069105	0.17630416377295688	0.12718628310373245	0.10566229711388295	-0.11360255564611338	0.10336051990746062	0.04411282449014575	0.17295499065461972	0.08251734126035574	0.18783798780297123	0.0788963439648788	0.2493051650336294	0.21586330984606344
Iron.5m	0.07514767309876354	-0.13907257542411555	-0.18308329449931401	0.07747951547057237	0.03163823778477746	0.11709090840259354	0.12570002056033056	-0.20618474464911646	-0.0024465640286037114	0.12770515560518006	-0.038376888146945884	-0.26626397752277947	-0.08046227854723909	0.006544122335429296	-0.09334851334417626	-0.04675156909297164	0.2935802015852631	0.03317949830432597	-0.004356929009144428	-0.09911701752170979	0.02710673234137996	-0.040267301535000535	0.14032703180167688	-0.286415085933705	-0.2693440046128157	-0.15955537906012196	-0.16938153835950895	-0.07247415970563084	-0.12223093741681601	-0.03279543014896922	-0.06530655010501202	-0.017395294698787856	-0.07757677948394194	0.004985404172455473	-0.10357869239140606	-0.043546844549897455	-0.12019587498323739	0.06741643101041338	0.12965292982163215	0.009152793052982285	-0.012567009317160144	0.049058471974172894	-0.022891958428698744	0.07820525464725299	0.11048693128970603	0.20782825708015604	-0.1386885072687588	0.18377162444008327	0.18038733556463452	0.19446817196167482	-0.23371794227988604	-0.08505363876809477	-0.16254562398397093	0.060361049117528674	-0.1619046790753561	-0.08117554797861591	-0.024213751430900543	-0.05819380738372987	-0.11713081158756566	0.03206969097228861	-0.0209117628744568	0.10046624396357993	0.10306493888488989	0.14938256084128962	0.14357914137690547	0.07441943997302217	-0.05178435829758151	0.0027433439668339272	-0.051519999697141154	-0.19647580095558512	-0.08221801868601279	-0.006623928705373555	-0.1893431066418169	-0.053791987291491795	-0.01951016350231074	-0.0024266124361176466	0.0625033513607199	0.06627669628964693	-0.010252624588776613	-0.0741800208631894	0.04540483660016225	0.059979474911232684	0.18302094577279507	0.003840681553567498	0.1029277716865482	0.02660046068204606	0.11703105362513533	0.09212149040628327
Lyapunov	0.18426938132894413	0.1682048711618054	-0.13422790717431463	0.044924630175466794	-0.033577976153274264	-0.02645219342989857	0.14066771081430052	-0.09806000999191561	0.029301106561935807	-0.030463071131759348	0.13185497952871114	-0.13440990162500988	-0.09943896794526041	-0.11551047789896433	-0.34935934746923464	-0.31560637665183033	0.13602685232157155	-0.009141721254153886	0.03110705149575794	0.11741441984469929	0.041109746497431675	0.04008777765891217	0.2090626253428898	-0.05578829892466039	-0.05389135676549063	-0.02368727773664376	-0.1473525069840685	0.011780640789235061	0.11330554513092568	0.024989238037771342	0.2148304494726163	0.2406876610444727	0.22506413743094172	0.13578885957835468	0.10211988619973279	0.1321559703510148	0.13123199852440814	0.23261690713479474	0.025962208370334427	-0.17456067736300887	0.0749047160342272	0.1219012830329938	-0.1031348552516871	0.05940718857886985	-0.016967482634049784	0.21020359055301774	0.12881007237284825	0.17997151237791006	0.08800131669772025	0.09785001639495955	0.02598320773003003	-0.11811439850121949	-0.07460372521192352	0.07441473097466306	0.10202888897438517	-0.054941324750270935	-0.05319137810897043	-0.014797548798837146	0.018304441868003375	-0.12979704227854172	-0.1321069718450584	0.026683186386550237	0.07026385754149823	0.1235532326623815	0.04846652217745904	0.0031919026737321377	0.02056537292856364	0.049922477783021064	0.046772573828680136	-0.06085614439786668	-0.09997795151078097	-0.06280908484955805	-0.09568708234631211	-0.0190674186036104	-0.15537426238779004	-0.049579488241326165	0.1831424156919466	0.056600274166223825	-0.10660674938802732	0.021384347956692282	0.02750216141467888	-0.005669827117813666	0.04971948397263021	-0.07335076341675234	0.0983750003873497	0.06152812390812607	0.14446159513264004	0.13597785381561514
Si	-0.011127352099704469	0.04868973203563485	0.048885573432589646	-0.05889840994598771	-0.12841854511226933	-0.12643164512134608	-0.18590333624751057	0.11568885431020741	-0.15716806218523377	-0.17965065455564463	-0.0046859505162275454	0.1619181062495556	0.01238785854555899	0.07353310342751904	-0.009977228986679014	-0.08242430284926688	0.01798180099312242	0.022981097744477645	-0.12712243113969574	-0.2014567039183935	-0.08884077916404047	-0.006897177925480818	-0.0363303595114511	0.09841920385146607	0.02962190147758127	0.01283295262954717	0.04115874013455486	0.12502514781594345	0.04631827075614583	-0.08812150712431557	0.03983770089327795	0.029579172445518404	0.14049305742270063	0.20807258238279377	0.08422248294857913	0.05451512340687213	0.055686611035929014	0.13067250155358545	0.04239432131170605	0.027122253101903658	-0.05509552609239272	0.03675764983207975	0.02828305847294483	-0.030893090181451508	0.05581835888478952	0.16483436268784615	0.044584184204927886	0.050277827727304665	0.13459289024535334	0.050032135792943196	0.26174380740642433	0.10631695327775233	0.08640878508912907	0.05977435510327645	0.13012770639478394	0.03901160627339589	0.05245700836251079	0.01622991067854495	0.0864408318631762	0.010048444040117123	0.02361491172007681	-0.08310440660960082	-0.01733374400683563	-0.009895331675225189	-0.037590865957305625	-0.011162959626423523	-0.05253890567396462	-0.007758880072081932	0.029290751479094067	0.06701336528526018	-0.043398453565183376	0.033100756838032874	0.06736587979977883	0.06468463303783403	0.04168929228266877	0.10480363339219251	0.004041454282612663	0.00848527361715064	0.03534047026866139	-0.14193872300749424	-0.056861659417657806	-0.03823892294359241	0.013566467679959688	-0.06238082605911122	0.06327457497975948	-0.07553780718180178	0.06279743412172416	0.10988482745500157
Okubo.Weiss	0.019275829956097175	-0.0047504077519736985	-0.08308228130532111	0.11519560747271153	-0.0896238847838636	-0.007122050602659218	0.04862223946435448	0.1123182990292372	0.08482006165236997	0.09938109410950673	0.2020383314962367	-0.009725160097931163	-0.23700759995529347	-0.1284853538972736	-0.14131572805796422	-0.22754239470435936	-0.0018161229036781005	-0.09398614077799237	-0.08398678173185883	-0.024588879705680952	-0.002378764901288179	-0.13881944932173215	0.10452321464462669	-0.00728585776652038	-0.03575981607595193	0.18201824725216165	-0.013784728941446917	0.07210007927602059	0.05941570715268453	0.17209010871205468	0.020522188811562536	0.056880257138137845	0.21061684144713974	0.17830765888817618	0.11653099196071012	0.21762850026545774	0.05292395802836065	0.20449543895415412	0.08322828334267562	-0.06130661158769055	-0.18206454058107893	-0.04143609040627133	-0.08830630542237165	-0.010814833840138023	-0.013539018195655174	0.11314089587384434	0.09903923568057908	0.03483751052290757	0.04482618649313712	0.05806251753817927	0.142469500255595	-0.013264819247452793	0.003660734009766838	-0.004063129868817084	0.11498194595463175	-0.039011032176065864	-0.004757529802576358	-0.05133930176926897	0.014511178102918158	-0.11100071966774525	0.0423583959593157	0.053312109786205576	-0.0007442542879778884	0.04043900332189904	-0.12995605734672275	0.029759488443211544	-0.03580254837956789	0.1601856011297098	0.08938885711397584	0.10713344619050129	-0.04461608600035867	-0.03661802317357237	0.04984011011740921	0.03508322126869931	-0.004686309296549765	0.011430891217268046	0.036393678579588605	0.04537814541484321	0.0637174257166907	0.035421518672325625	0.038124336876034795	0.0473010990775612	-0.17012798377102206	-0.06165203104191952	-0.09220918915262889	-0.02767984966723505	-0.04818779437759227	0.014988355493296324
Ammonium.5m	-0.18495126234582185	-0.0658552188983788	-0.12646566292198327	0.11849500172380034	0.03077034351163363	0.03256598683537947	0.0039703669047269205	0.12249778996631712	0.07191302116696026	-0.04805341050268737	-0.0023642637095986937	0.1456266735557879	-0.07064609504409514	-0.04607820284656695	-0.23797760727566092	-0.09206163562882508	-0.19697957866585825	-0.28927315155733385	-0.16302695615269727	-0.08943051936972526	-0.1568319866857741	-0.08004578905409247	-0.05847063572947402	0.030116928857715004	0.127303629806398	-0.04803096496114055	-0.017001250747188074	-0.10835709879181861	-0.0674987313294184	-0.011432262494515202	-0.11993401033185778	-0.046205394248665606	-0.048198059548211346	0.02670770049165866	-0.05782470292273767	0.07148406192850987	-0.021275879437327484	0.020839438351694814	-0.14672650509158222	0.08316821327816164	-0.024817287103604008	-0.1394092585473179	-0.006367051952115469	-0.011242722365897585	-0.11780417783397035	-0.04563677386281276	0.11491618482161245	0.027655401134746745	-0.03154346772046865	0.05604402329335637	0.16239099914220395	0.2913680687683706	0.26625898962465794	0.315068066692755	0.15853285994521113	0.2124570265369231	-0.1436140566637561	-0.126912079803859	-0.09917437835010723	-0.17389558615948114	-0.06858110522178743	-0.2755464559269212	-0.03430177538166712	-0.10952426695225341	-0.25248490896209086	-0.1372470047116406	0.010788823636839608	-0.10038144969551416	-0.03730449005081989	0.12148774059671008	-0.04264403498990302	0.021602586764286797	0.01620318704774548	-0.006920708643603771	0.09058272383579552	-0.057368310244618935	-0.007706302597742578	0.13939928275107488	0.05836090197080066	0.14979156848725395	0.02746336705706837	-0.08691911266554185	-0.0762100953986465	0.10103486434943278	0.058131458657210915	-0.055330753861979554	-0.01661967654089208	-0.05145515702156144
Residence.time	-0.32841281870528843	-0.07963882618216517	-0.0018418056580757705	-0.03739423608820504	0.14473456353173206	0.02376274803586647	0.11690283358747595	0.03270334577578984	0.15366718808698843	-0.052529998314383264	-0.05311735625151854	0.008220353391671513	0.12549526893027388	0.05589202451563269	0.11060667542877249	-0.03585541144747507	-0.17140752397105158	-0.0067187369460541815	-0.019606061096139913	-0.07526952098465209	-0.18976976825914033	-0.06960058668641887	0.011375076791579073	-0.03644011165638801	-0.08303274512208257	-0.02796993181181733	0.04155623848437626	0.10458160554874685	0.04660326437858389	-0.05102838186876594	-0.02083127380663476	-0.020724964677741497	-0.24360471113068838	-0.16233669754823396	-0.1750220343534225	-0.12688260306233096	-0.0713121636616004	-0.10372581706115609	-0.1703656945078976	-0.014463356985928344	-0.1601095212979201	-0.12111267509164915	-0.02225847386202681	-0.17449580416540084	0.022901644091831045	-0.23190804922420719	-0.0041513714832818955	-0.10048604635813392	-0.17330248419357397	-0.07542366922154732	0.0018976179507447333	-0.07489743903352566	0.14456446892550284	0.07113675359892652	-0.026651698613540876	0.14656839600514082	0.1036009038347065	-0.11945159495269192	-0.008302742966563791	-0.06155564335742124	0.05722620408324313	-0.14468406669550776	-0.05383494287154806	-0.1571514697864651	-0.011529225028474303	-0.0683062730421434	0.014035462742132965	-0.0406924768121185	-0.03186084592931073	-0.029107439490975235	-0.005767270242459484	0.0015919792051766039	0.009583767969727602	-0.02340395472585171	0.11693206859792162	0.06773220374611978	-0.03139574349040271	-0.15156492506312416	0.013549098477446288	-0.08007469361062755	-0.010622939704659242	-0.03053198181814495	0.043677105605796844	-0.02174819004333915	0.040782839571677776	-0.07990991446084299	0.04911481754868721	-0.08208925160315486
Nitracline	-0.2423212319007908	-0.11362325865217816	-0.08633500479801319	0.10641265746269968	0.15444855129694823	0.22340781948908942	0.1279730689401502	0.15746898591554165	0.28468420035139025	0.09296348586099913	0.16799657348616637	-0.10809860914980547	-0.027463988231974046	-0.19455992303186892	-0.22308380923000395	-0.12868149815069305	-0.1596436988409289	-0.073764505085358	-0.2550894327884812	0.1830328461874551	-0.023449556038898055	0.06987089027702575	0.051122228844520376	0.03941392592299095	0.13082875257954762	0.011949937691016902	0.0737974552811972	-0.0797779158260122	-0.10009171156087962	0.07506054612169992	0.026129505300486404	-0.02779898188967259	-0.057640875921375644	-0.09393551663825556	-0.04492210032744405	-0.07407204024652389	-0.07482440305151897	-0.18893642294197863	-0.07978889922462526	-0.09976770130179415	-0.03979285317514176	0.07906948661546936	-0.07403909005068468	-0.022213923694928018	-0.1122173836297056	-0.23738968592352372	-0.05995288132942625	0.0801897932740022	-0.1890297818301897	-0.2781161279807762	0.05711916448725496	0.07130971549533753	-0.031862839376507385	-0.11961470259560622	0.010247510905991516	-0.06065581884066254	-0.08909732954919955	-0.01130191717284595	0.12191572460504375	0.0898442006548881	-0.020862965665520778	0.06336871829809008	0.19254996108567768	-0.06234726222707485	0.06898672668867387	0.07408851534444348	0.09950959143438706	-7.688379029146904e-05	0.1240519956352853	0.08552772499995277	0.218503732008355	0.06676258846952779	0.12904395030492424	0.1049244069506291	0.08458864441853554	-0.03513589216320135	0.15645302154383295	-0.12613884137176803	0.002679949261588349	0.256940135454783	0.1610166236675623	-0.031500387222276174	-0.018885953915168716	-0.12433756399922503	0.03443295465196506	0.08517076454502809	-0.11309605551875096	-0.037321588487201685
