	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	-0.07030231749443565	-0.09198164551451658	-0.034690219450271696	-0.02202930005425936	0.3955883641848884	-0.14060989194293502	0.37669016285051693	0.42019070241226125	0.35231748878416913	0.4177101773326393	0.26809503145525915	0.2598009985739635	-0.19045814916898882	0.14403173354982002	0.434821837479997	0.3205882352941177	0.14366914430718475	0.19102848511700304	-0.04643717908043941	0.09568390280992908	0.14367798418120564	-0.14064055174874623	0.1293895986327649	0.34714110242432084	-0.07963890506697728	-0.08613287216266567	-0.37206908465384136	0.24497474186799706	-0.3087119990928615	0.3224174510687571
AgaR	-0.1581392192847166	-0.05054551725912975	0.3360286342740499	-0.276465002712968	-0.22358432687585295	-0.1898490819955782	-0.21339611529156363	-0.10700429791005968	0.05507970554113123	0.03544657882356079	0.1235220511651775	-0.11561288641618835	-0.19983996185556954	0.023589341597288347	-0.3090930218323869	-0.08529411764705883	-0.23398326117859686	0.17105062785932362	-0.05150084002341786	-0.05318306238720469	0.08242774408880446	0.021129013406627234	-0.17368235599692483	-0.34686814323170506	-0.3646243447874199	0.052762234235245	0.16098526509379932	-0.09152709244759528	0.1626045248765235	-0.3204692906857551
AmtR	0.28068340208367176	0.09823551530852011	-0.07628455592560969	-0.015382528486163864	-0.0028611737032240357	0.147270866435587	0.11525467142805469	-0.043579145453399706	-0.1303605166566065	0.05507113356064932	-0.14737352848340696	-0.1330588732384316	0.24535787042355528	-0.030666144076474854	0.17498410789272678	-0.047058823529411764	-0.017645052354816802	-0.02192049191479205	-0.0984127373172615	-0.2135244143237128	-0.18120867759539228	0.17001705985776377	0.22298971744925591	-0.043253533599110924	0.13951077460687245	-0.1078916133153416	0.1000470315634417	-0.08894853433023442	-0.09178712665942086	-0.01018609571683885
AraR	-0.04395237785604828	-0.15463343332424448	-0.09245636156990913	0.11648128052088985	-0.1516082793099661	0.043658220762110476	-0.2530993722596827	-0.06439507009215766	-0.07804673266110675	-0.1596844337014542	-0.026583927075242875	-0.16099507255832843	-0.053378499064879764	-0.19018479319668852	-0.23517590688113899	-0.13823529411764707	-0.1810900911512787	-0.1340417913407712	0.2332448821859449	0.07683998316472228	-0.147772466554342	0.10909240114974679	-0.10330899804411162	-0.13497482127165925	0.07026208503203261	0.030616882033409943	0.12758622878297082	-0.12005532180057862	0.33269592343183446	-0.21469964347908965
ArgR	-0.1119872434631463	-0.049097966927063835	0.1384272636287044	-0.012561041779706999	-0.2875988476153773	-0.08480019903760792	-0.29029894838710346	-0.19861674903526	-0.08637742493544912	-0.2309709565882947	0.016709653810022977	-0.09838744853594429	-0.09071913147566492	0.00020512470954163782	-0.37524521699589514	-0.05588235294117647	-0.20494922500166451	-0.04052368820748076	0.10650729146889772	-0.02638748875158418	0.0008411625419132142	0.09364763229340006	-0.13159695629759285	-0.31051557793821283	-0.1365171811298777	0.20969918959391565	0.2548586594306683	-0.23801263495112274	0.33178842359198146	-0.3053354860597049
BioQ	0.16447225198750498	0.1565559611090195	-0.18563084178206513	0.09998643516006511	0.14677934187408995	0.10529202549038456	0.3338288539128807	0.04879431797042186	-0.055795881655625094	0.0752638825328874	-0.17477463679439215	-0.019306515076544073	0.17340801942212872	-0.06468265840879646	0.44075489238823473	0.09705882352941177	0.08814128769981956	-0.0753347134826049	-0.14413175294665348	-0.045021364706478176	0.014980115268483859	0.12277493552651804	0.1948124182871513	0.1131590827233698	0.20041933605125217	-0.24110964167559962	-0.07415868540339389	0.062389385721417556	-0.2278472812202432	0.2757543714187576
BirA	-0.06982734004172651	-0.2747914198726847	0.07374004105150664	0.0925122083559414	-0.1823178334250051	-0.051585798214316005	-0.34115496546378765	-0.18514235480673066	-0.12057277642519043	-0.21637273546983685	-0.010231790055857167	-0.10343745379761794	-0.18791335368438283	-0.1364763067483697	-0.4481780463402465	0.014705882352941176	-0.2007925083255744	-0.1660788001775608	0.17620566300614438	-0.060858658956064404	-0.13764759095793075	0.0976883113526287	-0.1575028320051252	-0.14214874876989367	-0.0844845661036692	0.2124597281379116	0.12067584810836518	-0.11829721399328713	0.4009528756722089	-0.22154603568221085
CadR-PbrR	0.13846723645168021	0.21341189309699912	-0.2834985383175668	0.19716494845360824	-0.09841645910002834	0.25918428507613755	0.11979259295182036	-0.0014474155483580797	-0.12062216788136242	-0.04820909548999698	-0.2651582863893101	-0.20750262381477202	0.23366312139652154	-0.08721218900678634	0.22983068921035335	0.2	0.13310940446843061	-0.045240339302927944	0.07838936652110871	0.18503648866900047	0.12695369364198997	0.06167227333571566	0.16357160954272607	-0.07923515434879204	0.379557367501456	-0.1051853359712276	0.13549939915073247	-0.027344436762740402	-0.2720230769959461	0.07754915251575126
CblR	0.07550445150029753	-0.30956655480317447	0.06199003681064851	-0.1798290830168204	-0.024738408995267108	-0.10620805084506166	-0.19907107775415914	-0.06708845675688584	-0.028103738561862504	-0.0565571800218097	0.009823199437986	-0.006345023408284256	-0.18561172754608365	0.17551837646446142	-0.14880484487596338	0.20588235294117646	-0.35073871468402656	0.12901234313951776	0.002191007138788753	-0.13235753113854654	-0.16256703126210972	0.07636349411493752	0.10809645978682556	0.0742449003914836	-0.118462434478742	-0.12511954427787178	0.07872922346063553	-0.13324113035526483	0.3231995858219438	-0.26953881210156083
CcpA	-0.11487103514030886	-0.16238008939819099	0.04820442067050794	0.03784590341833966	-0.07599639243346056	-0.19948431165218178	-0.20956946673390542	-0.21989524977710145	-0.059870676789814295	-0.08149216549510369	0.10121981327304291	0.0041338788872155	-0.1447083814568501	-0.019076597987372317	-0.27963280679263486	0.3088235294117647	-0.17125462770305538	-0.11901106725650148	0.0009372641649262999	-0.26536319709291545	-0.1327799812484771	0.009107844869186409	-0.0275249929392531	-0.004241365916029323	-0.14978450786255096	0.09904025508459283	0.09233851215346699	-0.09148020957273417	0.29412718023808065	-0.29838395504226295
CsoR	0.06800093864619022	0.1000619167040564	-0.12093231024987136	-0.029422137818773737	0.06672302311866328	0.09849534353778039	0.06960517246327717	-0.021935060372024504	0.017517503122332575	-0.02368932888085074	-0.04385539298483871	0.04177423165507647	0.12802583327998865	0.1765781874637599	0.28485498876255844	0.047058823529411764	0.06353688394033677	-0.0534636105845191	-0.13587895939054917	-0.1135796252245809	0.022445432827963636	-0.11677028470722381	0.2299612402059817	0.048439758258810146	0.19297612114152593	-0.14330382888832194	0.03597763837894392	-0.0862996519005819	0.051338562368828625	-0.0039148746744134735
CueR	0.23441268189892417	0.06896220253857775	-0.031919525476248364	-0.10823385784047748	0.13727413832642277	0.22217007537418504	0.21703783287803388	0.14339859195588808	0.11792210161062694	0.2684936297325943	0.00023834452709151473	0.14923811741944876	0.18331575650886137	0.004546931061506305	0.2872200083457961	-0.05	0.031038917199996005	0.012511884232250813	-0.039754607307133705	-0.052582937557739504	-0.0014596644109670482	-0.27443983630910684	0.07919114028671698	0.18438743408876654	0.16003494467093768	-0.18426425214923525	-0.3401367135404859	0.17367760992296924	-0.29775717959749276	0.18591634689975267
CzrA	-0.0307604445564007	-0.2361429569052217	-0.08672272138693024	0.200732501356484	-0.1344808185450143	-0.012852627352969449	-0.16236939270301362	-0.03300704322647497	-0.015615932059710947	-0.10218754782920485	0.033410795315506975	-0.1010340358399345	-0.15589982648803954	0.028614896981058475	-0.2587440789129406	0.008823529411764706	-0.2235284889326733	-0.0787013981214145	0.19949119998671597	0.05241490260548925	-0.20460660330169883	0.21988770228480728	-0.07420565701206597	-0.021731751104407674	0.012906231799650553	0.25382032774795454	0.21029250252326587	-0.10153658623044154	0.23108835207686115	-0.10670971189941561
DasR	0.1880288718444839	0.26345981492948123	0.14386687098178694	-0.19378730330982094	-0.005383077797370122	0.20944750100366977	0.10462825331440907	0.0023800286594135435	-0.004404071508669139	0.12511199985504656	-0.18275066614741892	-0.05923718378055043	0.2695277724262352	-0.10840840899275558	0.1612314506630328	-0.15588235294117647	0.06784055524638964	0.012133235104169538	-0.16477590909879639	-0.10260934334195732	0.022600058295227092	-0.10515259073076323	0.10221405545575368	-0.06895369142693217	-0.01341875364006989	-0.170861735778385	-0.1701195195096897	0.26259098209705783	-0.25179879485065	0.10242375905681128
ExuR_UxuR	0.044393428347849616	0.07017791863777373	0.035888968679849136	0.02225990233315247	-0.0869378373262244	0.19038060288039083	-0.1417567021452191	-0.19649785204694198	-0.22236033568630054	-0.12329814902745374	-0.11670369522945238	0.03866392606278027	0.14588464248084576	-0.1612622091513176	-0.2290241218380353	-0.05588235294117647	0.11855039934283222	-0.16359288633667937	0.11416364419277619	-0.12056507823955565	-0.07775186995875746	-0.13867657998868063	-0.01880039720861384	-0.14676105922973415	0.09917297612114152	-0.0022518397951023705	0.01993300328844788	0.1284942392755778	-0.02268749599632578	-0.023792295217170037
FUR	-0.12359591858709679	-0.1731066635385388	0.2181440873956042	-0.14007053716766144	-0.30430787586246627	-0.13749992931903127	-0.3762633990708525	-0.21313566994817146	-0.08328222701533772	-0.11617386746365546	0.0467070150053979	-0.11189748500866362	-0.20272971850586657	-0.02235859334003852	-0.44921701448085954	-0.10882352941176471	-0.3366205734483165	0.0073013429697411	0.15433210840390332	0.010790244433784025	-0.014169877820023337	0.06987230044269652	-0.20785854274418195	-0.30398555417640527	-0.24105998835177636	0.18550547709653564	0.19418647214543375	-0.2105392702825143	0.3578790439877561	-0.38175285016247407
FabR	-0.07282422158858173	-0.10063302054600427	-0.3204788211545312	0.3022788931090613	0.26332410708585	-0.12023115504011851	0.10080160475675087	0.18756714889547485	0.1953596729789458	0.08944688478719748	0.15219149285247113	0.231208807529146	-0.10866276719267556	0.19965471728719414	0.13045885481408528	0.4676470588235294	-0.03264492137030354	-0.03801307985824622	-0.12339021869945327	-0.09117696534064554	-0.02819131519147375	-0.005624910056018707	0.14908109273509557	0.3768236648828693	0.18355270821199768	-0.07039712419689008	-0.1319998677725758	0.08741312017853319	-0.1166137294211145	0.1518575556959691
FadP	0.17130288011694103	0.03746101933569019	-0.07527805893096448	0.0027807921866521974	0.1148766896337935	0.16521817801426059	0.222287027367907	0.13742986804513313	-0.001876875334535633	0.15127078829635499	-0.12164934416660132	0.005949166332901103	0.0981838648971758	-0.02382865375842026	0.2834742547862174	-0.041176470588235294	0.058561420040168316	-0.05078014067681268	0.015507461637871508	0.06208891485646803	-0.00805289433508092	-0.01415721033086565	0.11062997056307927	0.20275968743790346	0.1349679673849738	-0.17027842787965367	-0.1956736024386855	0.1416448856741182	-0.3089388740528248	0.29676358037449624
FadR	0.11709325107976942	-0.21604688706083786	-0.23048215729625504	0.07021161150298426	0.49615918530256176	0.01824699888606793	0.2731145935259469	0.45137728484595596	0.37199998406870727	0.4221464630916916	0.1977833959632623	0.3113528999910038	-0.15375654317989362	0.23804722542307066	0.36150623039963026	0.20588235294117646	-0.10429580023644244	0.11353711790489175	-0.13701097974559	-0.012194536534732557	-0.03696167169465712	-0.09815705385729692	0.1686211586071214	0.5796393439500273	0.17246359930110658	-0.21618340297981284	-0.2955091613457474	0.22243579977852007	-0.16937836296685505	0.38020669112834554
FixJ	-0.06359043372817688	0.0005315223875554533	-0.01789642128119151	-0.04184753119913185	0.25665745926746836	-0.057884886147095575	0.21032341607797936	0.17648770513613596	0.06474396713211734	0.02653030005659852	-0.02373230505468368	0.057088245371327596	-0.06052654682608413	0.18813354610127214	0.2889835200581525	0.12058823529411765	-0.039278873237194804	0.042400470842318384	-0.01123499771723344	0.09975274915370304	0.1039887192440211	-0.10067876986342346	0.027361916383540217	0.24220579024770755	-0.034432149097262665	-0.06820632825165494	-0.17640230391374873	0.009821962283401825	0.005963570376177062	0.11007415395767932
FnrN_FixK	-0.06516238291690472	0.2515457971573606	-0.06667194417899815	-0.017132392837764514	0.13889132346302765	0.06246501292048108	0.23513261713580796	0.1457189333761941	0.04539074822205912	-0.007211696061513601	0.002153613048362615	0.0847303794352255	0.14819192372022186	0.23110717275024525	0.17367172708353135	0.4147058823529412	0.19280447451116894	0.09587231292962185	-0.3760863753730895	-0.2027041636484555	0.040283026731476206	-0.27030422205905935	0.01571359097547712	0.12313959063798667	0.09528246942341292	-0.1879540137412102	-0.1923036833337939	0.11666803409186367	-0.1762818438914513	0.16270540747941495
FruR	0.06943717999128687	0.06227859123974215	-0.11212263430797677	0.06553174172544764	0.2802593150723243	0.16435869743456355	0.3407282016841232	0.22940790350986717	0.056125158030105024	0.23317817265560642	-0.03451739490557472	0.06130129567361973	0.10697189197068181	-0.09951967157928461	0.36834154711418987	-0.3558823529411765	0.3165402729398307	-0.024085377147082816	-0.01967037520157014	0.04029838229858717	0.03803167992812025	-0.12259099859430646	0.028713122130875537	0.2552168450957249	0.14824694234129296	-0.12546545942711942	-0.11673972802026304	0.32103048561142716	-0.3300706560379739	0.35464558997613244
GguR	0.008029380748178125	0.16867354064658693	0.10791570304945972	-0.0415491047205643	-0.26671680317662955	0.2055798383950331	-0.13034788376885525	-0.24062910446208652	-0.3572401705826442	-0.47800432713177876	-0.326617125160765	-0.25699041333874306	0.14453307332346615	-0.10693834857437384	-0.11563988817691999	0.09411764705882353	-0.0028341250064250665	-0.18533228519021516	0.3629038157547105	0.38486005313602306	0.016705735483144055	0.021817293540064123	-0.21426512171861667	-0.3255913241149903	-0.0295165987186954	0.2514328349531472	0.15101876344957538	-0.03665068742267005	-0.16604005998453852	-0.06214940853583096
GlcC	0.07768708598536567	0.09322563408113572	0.05400591458346291	-0.18334237655995658	-0.1425384717606156	0.2814742353732803	-0.032234890823990614	-0.018047928925145333	-0.06858826880417059	-0.1114753382114572	-0.141951190492075	-0.1862733743720812	0.19957417210495515	0.0710757118561775	0.2571582854351628	-0.24705882352941178	-0.013656283827255597	-0.0731780597530985	0.1982983183222643	0.06724998838986862	-0.14905276542328344	-0.035517628265113906	-0.2290060775225205	0.032685113577321685	0.07120559114735003	-0.07929596097753559	0.09321168957335793	-0.1379880214349519	-0.30722110649881723	-0.09659164718007841
GntR	0.0730447468344824	-0.08113067251750684	-0.3425199744417617	0.22689907759088443	0.404703407682116	-0.02519069725362028	0.4041310738829432	0.2623552594972346	0.13981898051354266	0.30230118672399287	0.12711424368062818	0.24505249496540255	-0.019052035528083475	0.1892959194553414	0.4232428109655329	0.20588235294117646	0.14235704939680277	-0.020636377480429468	-0.25431506750396343	-0.1293088970048634	0.005733512326129041	-0.1254687215660038	0.23897704407182252	0.5115815185911673	0.22615026208503203	-0.1926883034309134	-0.239100535681074	0.2401809679134489	-0.20729889198928528	0.38323716283523745
GulR	0.03541409269425323	-0.016448921546795888	0.2059077980899175	-0.13530927835051546	-0.16652483312242658	-0.161395751225608	-0.10599389740933542	-0.12231407474114617	-0.05386961486491747	-0.09801350556329849	0.0049967227643828264	0.022846608350684843	-0.044709229113988704	0.03196526723690522	-0.20627618781198082	0.4	-0.21303172964961747	0.0966296111857844	-0.06596148713942362	-0.03106246117311797	-0.03609576907798175	0.1396140649980171	-0.0833321199692834	-0.320482087945516	-0.21306930693069306	0.04290704380667951	0.00011596887607926557	-0.00896634981718663	0.16331756046497944	-0.24014942118084548
HcpR	-0.10768417392134098	0.19263728403445937	0.23911088995821342	-0.2309278350515464	-0.04484013333313558	-0.07281270674183352	-0.011821356696706177	-0.06952817265540692	-0.08850948946020669	0.07015013441654139	0.003728389388074409	0.04892793451735774	0.0700327717363567	0.05322986212605501	-0.10021941366887345	0.3558823529411765	0.025433647742844206	0.20694821150198534	-0.15631618709069536	-0.11807456019727514	0.16949425219551267	-0.1311292323185796	0.011124150764700259	-0.1707674702726064	-0.16295864880605707	-0.12360701333116145	-0.08413883044480362	-0.024332212052914304	-0.16902184517262706	-0.06728884116527424
HexR	-0.16982705731745196	0.03466204506079711	0.020633188390226802	0.1216087900162778	-0.014464194333689888	-0.15372827973831077	0.010669094491612074	0.0758550200008072	0.13120017141153034	0.03597106580985269	0.18193348491167657	-0.002623966899682616	-0.0827001981486176	-0.045264185905521406	-0.1603291888567109	-0.11764705882352941	0.06597213209400571	0.09296659244673729	0.03674805862224025	0.06676988852629648	0.0874685343215932	-0.07370530877200884	-0.06564996199984362	-0.1311743894360092	-0.12724519510774607	0.23039983734889286	0.1357040501085194	-0.026359896390657164	0.19294094809446766	-0.11251090059546591
HisR	-0.11758519201293245	-0.11389846226095207	-0.03681630298952225	0.11071622354856213	-0.008436504279071663	-0.17411832559612328	-0.10340486381270422	0.003342485390022782	0.08369382248343764	0.08131733649967306	0.18675144928074078	0.10791629385052447	-0.14985452343683112	-0.005162305190131218	-0.22281765426121516	0.3235294117647059	-0.04776025473790389	-0.024653350839204728	-0.12643328416999322	-0.056579768921977636	-0.16170112864543434	0.05916242422844149	-0.034345087465674044	0.0003779434974679595	-0.05351193942923704	0.14016346194515208	0.03582073931130727	-0.05043425263183538	0.16616970281880325	-0.10426678062549251
