	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	-0.09012983789288694	-0.11553439260808944	-0.46586238189291623	-0.3527250384024578	0.14578979995290597	-0.3360219932739017	0.3038437274155179	0.30117502832087206	0.5225881742507452	0.6842386067951197	0.47165583940590855	0.14536567801726635	-0.20133900529053864	0.08736810101015743	0.38342173236626775	0.1042311661506708	0.026282494618042884	0.38695291516438496	0.05311542398203465	0.10893797404128196	0.10916037261057336	-0.09119763887502012	0.004184163269862722	0.5884496701072812	0.31739611356156716	0.07925221013340703	-0.23917294217893265	0.24497474186799706	-0.3087119990928615	0.3224174510687571
AgaR	-0.04958101956580987	0.05479115675874094	0.6395772166764533	0.1631520737327189	-0.02920033812526971	0.16120215662200396	-0.14563834282411192	-0.03187110727842435	-0.23818558754311148	-0.49939878484450734	-0.19525977344893863	-0.038269440089165926	-0.024783306486315323	0.0688570859167252	-0.2628178585803818	-0.05263157894736842	-0.09590260291503463	-0.10898887493070596	-0.10567069771115702	-0.09715802478262242	0.03866127048415487	0.04534404597499457	-0.11078746663101269	-0.6035213384237432	-0.5743380354777479	-0.10361529070240678	0.10056802644093342	-0.09152709244759528	0.1626045248765235	-0.3204692906857551
AmtR	0.23989782722733585	0.03124441158504586	-0.23655047242833502	-0.13285407066052227	-0.10689659059568785	-0.009624726418619549	0.12981123164438174	0.004572068787681564	-0.03290544902493081	0.2578058433418523	-0.03423924086548731	-0.15136930320982595	0.16678812896003678	-0.064804762122191	0.14409369639682632	-0.11867905056759546	-0.04241070503433441	0.018073237152622573	0.0442793283258008	-0.07127791793955882	-0.13023422215532374	0.15047399276149714	0.1903056869978881	0.13498411479669586	0.2699504294746617	-0.008285905207388694	0.14234305580954473	-0.08894853433023442	-0.09178712665942086	-0.01018609571683885
AraR	-0.018251238791505593	-0.06709834809810933	0.32605028559227034	0.34146236559139787	0.03566074950916835	0.2294133347568462	-0.18393101297905715	-0.012889286103895751	-0.31048202219151166	-0.5119725431962228	-0.27511106477613206	-0.04395539903098536	-0.013769096817795609	-0.14867165537387086	-0.19292676354827767	-0.0196078431372549	-0.11041335774647393	-0.3093521533995678	0.0001812250818245599	0.002239140805929352	-0.10879708089035245	0.09602003601633542	-0.001548577398180263	-0.41666915815959865	-0.2800229417307351	-0.10800248856527332	0.06899944899636813	-0.12005532180057862	0.33269592343183446	-0.21469964347908965
ArgR	-0.054593570962482504	0.027419600223233906	0.5278172209469919	0.3613763440860215	-0.049744716824799445	0.18953184220359792	-0.22206593783985223	-0.11998879708721827	-0.33536978837658954	-0.6322633561544319	-0.27010834650372484	-0.04822387243378784	0.01856078522181715	0.04668277011303403	-0.3275298880787923	0.054695562435500514	-0.04312905923391061	-0.27464065571594465	-0.004448252008421015	-0.06959786347718237	-0.010813788220446773	0.0850070660123509	-0.03264849068403327	-0.5863442313719057	-0.460022668614893	-0.01199413197243065	0.17845676634358218	-0.23801263495112274	0.33178842359198146	-0.3053354860597049
BioQ	0.08800257300303171	0.09230793868590688	-0.3909998398548017	-0.19983410138248847	0.00811496196163123	-0.08889659958362249	0.26200178814219466	0.01064326398065895	0.19436291010336718	0.41812723466236235	0.12338207919258525	-0.07687256321482361	0.09350866468215634	-0.06555038970038528	0.3913612135397473	0.015479876160990712	0.025693907628712705	0.1653530495926334	0.024789394525941314	0.03043386511130194	0.044239556252708284	0.0491726858536804	0.05035198044594591	0.3421101909252483	0.38063335563779377	-0.0640076192401691	-0.055435164055201845	0.062389385721417556	-0.2278472812202432	0.2757543714187576
BirA	-0.03838151708421328	-0.1022663275141835	0.5014893503443122	0.4269923195084485	0.03530459284529676	0.20650723322479048	-0.26499894873104723	-0.10357309620075833	-0.3729485580157086	-0.640385733303735	-0.3028539107829391	-0.05360284298203486	-0.05268454726560957	-0.08552024135984984	-0.3960539201273834	0.14551083591331268	-0.0496174197462118	-0.37323795273245086	0.03023713031897051	-0.0759071528641768	-0.08730427395857311	0.09090767570773729	-0.060257959675575214	-0.5213714620268732	-0.431116087888678	-0.0170572286657108	0.09955387429579948	-0.11829721399328713	0.4009528756722089	-0.22154603568221085
CadR-PbrR	0.11286781731155264	0.12460664230718144	-0.1702450221534191	0.09853763440860215	-0.04431220062270742	0.19155500987562057	0.11131559590527844	-0.036576550301452515	-0.0913027362297229	0.03777701685911189	-0.19508404679173005	-0.18817053793842817	0.16435357752579297	-0.13281896468965307	0.20320602559738532	0.25077399380804954	0.0433978627408488	-0.014467124899029639	0.032115281166970495	0.16652386742723033	0.04012615645278759	0.05603608587150102	0.1273056255449355	-0.07621751164921267	0.23944338991383196	-0.07931365548162644	0.08826524782664102	-0.027344436762740402	-0.2720230769959461	0.07754915251575126
CblR	0.07107253386080885	-0.22571458312839468	-0.006517909571344686	-0.19026728110599078	-0.13443336151882315	-0.11323333155394225	-0.19064833342161705	0.02663750228342363	0.004909457848512707	0.030100574141535188	0.027127802706576956	0.04676634493039187	-0.1505337608864506	0.12993371014794472	-0.16486253787712057	0.005159958720330237	-0.26109626155822285	0.12420282781124893	-0.048892330408607784	-0.16226362948935727	-0.12654563928630655	0.03853131913203891	0.0709505179011056	0.10209646937864846	-0.034278769340015565	-0.08216471963900751	0.09165709204375054	-0.13324113035526483	0.3231995858219438	-0.26953881210156083
CcpA	-0.07414465668166625	-0.07098454861646118	0.299439491805904	0.20175115207373273	0.03147252747452646	-0.002450221534191	-0.15179040929596718	-0.1294156880415162	-0.22606570670232004	-0.3506000207152146	-0.10187752951668334	0.08168026840459675	-0.0479382397545509	0.027653057573901407	-0.2304158369038468	0.26109391124871	-0.11191031520752627	-0.227659841193174	-0.10762024025805758	-0.2665416188571258	-0.11566446631130266	0.012122149498250861	-0.044840465120500106	-0.2139333466586229	-0.3193789345751	-0.02612963433030806	0.031138799553792056	-0.09148020957273417	0.29412718023808065	-0.29838395504226295
