	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2
AcnR	0.4843205574912892	0.33295519001701646	-0.6418442589741512	0.527428895551414	0.09750733137829912	-0.4530427031845069	0.3694581280788177	-0.3739710789766407	-0.24516129032258063	-0.3100104778483447	-0.11813125695216908	-0.4098656288223969	0.639137257296683	0.009599096555618294	-0.27669172932330827	0.30782608695652175	-0.08741197788870564	0.04879032258064516	-0.18768279500640772	-0.2971100796680726	-0.299710436354717	0.0909033743452507	0.10042852825585423	0.38221815490994404	0.49437148217636023	-0.16441131188720526	-0.3928036011031365	0.04961033720528482
AgaR	-0.5600032412284256	-0.1499878453934041	0.4815655133295519	-0.6893282554087999	-0.09494134897360704	0.5932258325905518	-0.4812807881773399	0.30945494994438266	0.4346774193548387	0.5610988778335051	0.349944382647386	0.3546976502793981	-0.502839898543392	0.11462450592885376	0.2075187969924812	-0.2182608695652174	0.22373303864371086	0.18185483870967742	0.46979192944168485	0.3917005833182659	0.4331871986127932	-0.1266593322042567	-0.4455075368202321	-0.2575618741719287	-0.3617260787992495	0.446722307754639	0.277401841670319	-0.03400443642878794
AmtR	-0.00948059314480188	-0.3024876428166275	-0.159225346406288	-0.0652297220646625	-0.10190615835777127	-0.1444777570699295	0.10246305418719212	0.15372636262513906	0.06895161290322581	-0.16069657599050263	0.13548387096774195	-0.1270486094093178	-0.019146533729628993	0.034443817052512704	0.12481203007518797	0.25478260869565217	0.29241387841340816	-0.1346774193548387	-0.2092420831237956	-0.0744518802924102	0.17051962517832212	-0.4008829349377445	-0.05147648060327392	0.3237396937990222	0.019324577861163227	-0.2136779839559193	0.12277645052016747	0.052238699441326406
AraR	-0.4579045458228669	-0.1683007859978932	0.33473786565108177	-0.47070739810388135	-0.10557184750733138	0.4710315209464387	-0.3142857142857143	0.4518353726362625	0.38548387096774195	0.6103122042305965	0.20088987764182425	0.39096248323339877	-0.5043813567673875	0.2795031055900621	0.5323308270676692	-0.15304347826086956	-0.26952026515684235	0.12741935483870967	0.24534135625058462	0.34052581314069585	0.10102598978248888	-0.009175470667522704	-0.20799132354627733	-0.3250229202183841	-0.41369606003752346	0.3877319504092051	0.1752907343070114	0.01190976638206341
ArgR	-0.6204521513653675	-0.28984685195689164	0.5052264808362369	-0.45061178186532697	-0.2316715542521994	0.29892229154849687	-0.38275862068965516	0.5479421579532814	0.23951612903225805	0.32172793651431886	0.22580645161290322	0.5679056614720464	-0.6467634190364505	0.13156408808582723	0.5654135338345865	-0.39043478260869563	-0.03642165745362735	0.0907258064516129	0.17782234540233108	0.44043430824034707	0.1650091166447318	-0.10310580440824481	-0.08923321690929999	-0.3105407934855853	-0.40600375234521574	0.09666963779272345	0.19012115704311083	0.0004928179192577963
BioQ	0.4642249412527348	0.3139940037274127	-0.36082975447694676	0.4592010371930962	0.1217008797653959	-0.3029738270804635	0.34236453201970446	-0.4549499443826474	-0.2411290322580645	-0.42818941810802685	-0.2849833147942158	-0.47768979067820133	0.46762974753212505	0.2456239412761152	-0.45714285714285713	0.14956521739130435	-0.2528703646066127	-0.08185483870967741	-0.21743127008311347	-0.26040722064804367	-0.32542614284480503	0.12609177731760582	0.1941618212946515	0.3888176050666625	0.33583489681050654	-0.1650595575723199	-0.26127476995182836	0.22078242782749272
BirA	-0.43278502552467385	-0.1870999108662183	0.34980957782999755	-0.17980714690867838	-0.12903225806451613	0.09504902357993679	-0.2354679802955665	0.5457174638487208	0.1689516129032258	0.17140968105653615	0.14883203559510566	0.3748988659517609	-0.49237420849626423	0.19028797289666854	0.5684210526315789	-0.24782608695652175	0.008324950275114823	-0.008467741935483872	0.013035848629118257	0.33538218206663006	-0.000612278725954478	-0.1102948329724894	0.1612344349812567	-0.17103574989495338	-0.3166979362101313	-0.07965318855846366	0.09862636322313123	-0.12435438829271726
CadR-PbrR	-0.1394538530102909	-0.05939551089863058	-0.1472328012316668	-0.2559760149096508	-0.00036656891495601173	0.12810955352078437	-0.31822660098522165	0.0878754171301446	0.5076612903225807	0.5597597397002508	0.38954393770856505	0.20923267156234396	0.01419764153680116	-0.14963297571993225	-0.1924812030075188	0.06695652173913043	0.04786846408191023	0.3185483870967742	0.13436951663860355	0.21638122586154818	-0.043165650179790696	0.21983292609611094	-0.5583387139207984	0.004766269557629998	0.19099437148217635	0.3898387488858277	0.25633129570646185	-0.0933068593794761
CblR	0.209464387002674	0.2686168057693866	-0.12211328093347379	-0.1537152580828134	0.1532258064516129	0.052426869783648	0.08817733990147783	-0.35884315906562847	0.052016129032258066	0.06394384586288751	0.16885428253615128	-0.42665941052592743	0.3223270275754915	-0.47261434217955955	-0.28270676691729324	0.1443478260869565	0.1540115800896242	0.18306451612903227	0.1763182090220482	-0.26938677998073485	0.08143307055194557	0.021567085692733776	-0.2507969257536906	-0.07956003800043919	0.3170731707317073	0.025200551008832346	0.23769196658458827	-0.03285452795051975
CcpA	-0.10266591038003403	0.14788104691678147	0.13216108905275098	0.12097885098452313	-0.04655425219941349	-0.1394538530102909	0.22413793103448276	-0.17686318131256953	-0.1254032258064516	-0.23100132798634754	0.09944382647385984	-0.05516797854299879	-0.0942723398043597	-0.07284020327498589	0.12631578947368421	-0.33304347826086955	-0.3101043977480271	0.1870967741935484	-0.31687139744625914	0.05841072575634056	-0.19562305294245572	0.15664514871564533	0.14038042364943995	-0.18808432946647607	0.015196998123827393	-0.28028522810145046	-0.06621013866335104	0.17601813349490955
CsoR	0.3078356697188234	0.060205818005023906	-0.3473786565108176	0.1366988088485536	0.16862170087976538	-0.20298193015152743	0.4236453201970443	-0.11279199110122358	-0.007258064516129033	-0.02243056373200766	0.035372636262513905	-0.2043649087497264	0.31129343186689173	-0.1665725578769057	-0.045112781954887216	0.4643478260869565	0.06659960220091858	-0.008064516129032258	-0.08707278379193092	-0.06765182565211982	-0.22501243178827066	0.05335015934518355	-0.03764697835164809	0.21429881203344106	0.22870544090056286	-0.050158009885746695	0.06150978610218291	-0.00796722302800104
CueR	0.6653431650595576	0.1614942063041893	-0.5053885422575156	0.4412122194311644	0.10557184750733138	-0.3483510250384896	0.38226600985221676	-0.5452725250278087	-0.43185483870967745	-0.2711754719839732	-0.3085650723025584	-0.4429664159481962	0.5969499795873311	-0.017504234895539244	-0.29172932330827067	0.16434782608695653	-0.0062437127063361166	-0.13951612903225807	-0.20305841133818822	-0.47844487007581643	-0.1971537497573419	0.08674130517647752	0.12457527821901045	0.4205316294308929	0.37654784240150097	-0.05647840531561462	-0.17326472027202514	0.08369690995394906
CzrA	-0.6227210112632687	-0.20298193015152743	0.5938740782756665	-0.5407179320962645	-0.2287390029325513	0.37946681792399317	-0.43842364532019706	0.6378197997775306	0.31088709677419357	0.29795823464905696	0.2489432703003337	0.5012984403193964	-0.6380825753539493	0.06493506493506493	0.5684210526315789	-0.3373913043478261	0.13423982318622651	0.10806451612903226	0.25653881597046824	0.31803332471511997	0.27981137776119647	-0.18625259530260002	-0.08484289873418067	-0.26837763970655065	-0.44953095684803	0.11498257839721254	0.27829328784571294	0.004928179192577963
DasR	0.4045863382221862	0.11546876266104854	-0.21254355400696864	0.14463981849120816	0.07771260997067449	-0.0038084434000486183	0.15763546798029557	-0.3170189098998888	-0.1879032258064516	-0.18011407892268838	-0.20133481646273638	-0.34390744271142926	0.35185812197203786	-0.30886504799548276	-0.6601503759398496	0.2391304347826087	0.356932243045548	-0.19274193548387097	-0.12267067812529231	-0.4183777207532513	0.19990900402413705	-0.20100902235552312	-0.11425803050748007	0.2339138444436876	0.11313320825515948	0.04643059719633741	-0.0852546705922219	0.06234146678611123
ExuR_UxuR	0.11579288550360586	-0.09553520784377278	-0.026821165221618995	-0.16003565351268131	0.16532258064516128	0.07106393323069443	0.09655172413793103	0.03982202447163515	-0.06733870967741935	0.039504574930998564	-0.20845383759733035	0.04648713486049751	0.155687280623551	0.3642010163749294	0.3037593984962406	-0.32	0.33820110492653965	-0.034274193548387094	0.07888359683261303	-0.026502777059593332	0.256238646811949	-0.2216301832371721	-0.24882128257488695	0.21631531069243837	0.024577861163227018	0.1738108743213678	-0.1197779497483878	-0.16123359591717568
FUR	-0.6557815412041164	-0.2951948788590876	0.5838262701563893	-0.5885260513734706	-0.19171554252199413	0.4316505955757232	-0.4635467980295567	0.5777530589543938	0.31088709677419357	0.32407142824751367	0.23515016685205783	0.5096547664810565	-0.6736983732662676	0.163184641445511	0.556390977443609	-0.28956521739130436	0.035381038669237995	0.027016129032258064	0.26405949787188265	0.47574228425723947	0.29573062463601285	-0.16203692013882876	-0.18779585994072853	-0.3230064215593868	-0.4973733583489681	0.19552710477270885	0.24701163114552507	-0.06768032757807069
FabR	0.31188720525079006	0.3629365529535694	-0.30508062555708615	0.49339599708289444	0.26173020527859236	-0.19536504335143018	0.5192118226600986	-0.08164627363737487	-0.05443548387096774	-0.12453984639263954	-0.11590656284760846	-0.1771054369990682	0.20485168503098816	0.13382269904009034	0.19699248120300752	0.2843478260869565	-0.3704602872426096	-0.031048387096774193	-0.33358402389384667	-0.05039014848830574	-0.36430584194291443	0.10424091418154659	0.29009027342100846	0.05536205409247152	0.03189493433395872	-0.06782270480512113	-0.1940921445516839	0.07301918837003014
FadP	0.4078275666477595	0.130702536261243	-0.34397536666396566	0.16894903168300787	0.29802052785923755	0.033141560651486913	0.3980295566502463	-0.3935483870967742	-0.09758064516129032	-0.07264824372903973	-0.1474972191323693	-0.32897963675273545	0.36565011660778757	-0.14285714285714285	-0.4030075187969925	0.5895652173913043	0.2736827402943998	-0.24435483870967742	0.002172641438186376	-0.2618021036511802	0.10071985041951163	-0.1874822975570103	0.0025244329506936038	0.22511457756806297	0.149906191369606	0.15565999513815737	0.006402204350556588	-0.01979485309018815
FadR	0.0817599870350863	-0.043999675877157446	-0.10039705048213272	-0.20363017583664209	-0.013196480938416423	0.044485860140993434	-0.040886699507389164	-0.2694104560622914	0.06935483870967742	0.14563127199139303	0.12169076751946607	-0.07025804326211317	0.08437455541870403	-0.10897797854319594	-0.6120300751879699	-0.10086956521739131	0.1540115800896242	0.14758064516129032	-0.040277429738685894	-0.1482934992709482	0.16439683791877735	0.0734983578212901	-0.4450685050027201	-0.0005499541797265382	0.22363977485928704	0.1243821408313751	-0.05883544757600105	0.050760245683553015
FixJ	0.08370472409043027	-0.16635604894254924	-0.3752532209707479	0.1958512276152662	0.0007331378299120235	-0.19779596467061017	0.25566502463054186	-0.29076751946607343	0.02379032258064516	0.1660531285235194	0.10166852057842046	0.005922444755351341	0.13848785201896902	0.277244494635799	-0.3774436090225564	0.1617391304347826	-0.04474660772874217	0.16370967741935483	-0.2119161033554096	-0.08168783587118075	-0.06428926622522019	0.11199749763244207	0.051695996512029885	0.07204399754417651	0.25628517823639774	0.028927963698241632	-0.0847684272238252	0.18037135844835342
FnrN_FixK	0.23247710882424438	-0.07138805607325176	-0.10023498906085407	0.24819706668827485	0.09164222873900293	-0.4143100234989061	0.04334975369458128	-0.3228031145717464	-0.3858870967741935	-0.429528556241281	-0.24760845383759733	-0.07634274677788509	0.2903620517726363	0.014116318464144552	-0.44511278195488724	-0.07043478260869565	0.0374622762380167	-0.056451612903225805	-0.25068939671381263	-0.058846626694820714	-0.14970214849586988	0.1296862915997281	0.04028116925671968	0.23648029728241143	0.3178236397748593	-0.3541852362045215	-0.30074152335336074	-0.0925676325005894
FruR	0.3793047565027145	0.3784944493963212	-0.5096021392107609	0.27477513977797585	0.2664956011730205	-0.16262863625313995	0.49901477832512314	-0.464293659621802	-0.09274193548387097	-0.08135264159519197	-0.007341490545050055	-0.43890994693768154	0.4731465453864249	-0.06041784302653868	-0.3007518796992481	0.4721739130434783	0.19979880660275573	-0.11088709677419355	0.0563215511283699	-0.2959767372280242	-0.05694192151376645	-0.04635031574315592	-0.04159826470925547	0.25811182835165525	0.3467166979362101	-0.02665910380034033	0.02690546638461756	0.032197437391509355
GguR	-0.18385868244064502	-0.052913054047484	0.5040920508872863	-0.33473786565108177	0.14809384164222875	0.2762336925694838	-0.270935960591133	0.2164627363737486	0.1439516129032258	-0.11683980212642796	-0.04560622914349277	0.12096390589354589	-0.10149285464307573	-0.05251270468661773	0.37142857142857144	-0.22869565217391305	0.32155120437631	0.03951612903225806	0.547171389894015	-0.06573386152280714	0.22256331688445274	-0.255210514030683	-0.09406256690193124	-0.13033914059518956	-0.1303939962476548	-0.013856251519325824	0.17602009935960644	-0.17856435941107485
GlcC	0.32695891742970584	0.14075034438052023	-0.18256219107041569	0.07641196013289037	0.08907624633431085	-0.0689571347540718	0.15270935960591134	-0.3526140155728587	-0.2153225806451613	-0.212922963187416	-0.09899888765294772	-0.253367054396743	0.3284928604714737	-0.2896668548842462	-0.3894736842105263	-0.11739130434782609	0.27680459664756785	-0.02258064516129032	-0.1099690820251258	-0.4933526821718377	0.17266260071916278	9.459248110848147e-05	0.08067209646781734	-0.02474793808769422	0.19606003752345216	-0.0057531804553925935	-0.1510596064485757	-0.011499084782681912
GntR	0.5089538935256462	0.17300056721497448	-0.6193177214164168	0.4429948950652297	0.056818181818181816	-0.19876833319828216	0.36305418719211824	-0.6849833147942158	-0.10927419354838709	-0.10947454239352992	-0.27875417130144603	-0.42560472858319365	0.5005682758975037	0.14737436476566912	-0.4075187969924812	0.3973913043478261	-0.2528703646066127	-0.053629032258064514	-0.09710035966048343	-0.2352121464038908	-0.243380793566905	0.2890746222675194	0.05279357605580971	0.06617781962709343	0.23846153846153847	0.07284660886475974	-0.1674297998512647	0.10086340080809564
GulR	-0.5222429300704967	-0.12908192204845637	0.5609756097560976	-0.5439591605218378	-0.18878299120234604	0.36763633417065067	-0.43891625615763546	0.40600667408231367	0.2528225806451613	0.21894908478705985	0.20266963292547274	0.5337501924035133	-0.5280711357887928	0.08300395256916997	0.2992481203007519	-0.4756521739130435	0.34028234249531836	0.024193548387096774	0.29614774065125066	0.46231653535205075	0.19684761039436469	-0.04039098943332159	-0.28306576434081754	-0.16865261511613838	-0.3030018761726079	0.2357183372498177	0.16256736616729767	-0.1333893834791102
HcpR	0.57523701482862	0.15695648650838667	-0.3977797585284823	0.41722712908192205	0.3192815249266862	-0.33733084839154037	0.3556650246305419	-0.47808676307007786	-0.30685483870967745	-0.2564449525181771	-0.37441601779755285	-0.3614313888368524	0.5296937233929987	0.09655561829474874	-0.46766917293233085	0.3730434782608696	0.08741197788870564	-0.2967741935483871	-0.2563716897059924	-0.15073454452643706	-0.13745657397678032	0.04994483002527822	0.07869645328901365	0.22713107622706027	0.33414634146341465	-0.15290495097642007	-0.11078244743304881	-0.26078281560725053
HexR	0.1971477189854955	0.053561299732598655	-0.12243740377603111	0.40717932096264486	0.24303519061583578	-0.30589093266347944	0.31477832512315274	0.05850945494994438	-0.1407258064516129	-0.3428193621130723	-0.0424916573971079	-0.152360976034929	0.14976483586819966	-0.2354601919819311	0.37293233082706767	0.1391304347826087	-0.023934232040955114	-0.12903225806451613	-0.3665078979955941	-0.13887803899977688	0.03643058419429144	-0.05353934430740052	0.4088483800579858	-0.20623281739745183	0.09624765478424015	-0.33554817275747506	-0.04384294371710271	-0.25585463641467254
HisR	0.24090430273073496	0.07365691597115306	-0.236042460092375	0.1550117494530427	0.3837976539589443	0.21513653674742728	0.08029556650246306	-0.0389321468298109	0.12338709677419354	0.23167089705297464	-0.10789766407119021	-0.1313484665604633	0.07666726429872626	0.07735742518351214	-0.0481203007518797	0.29478260869565215	-0.5889902319643737	-0.08951612903225807	-0.1393833045728798	0.036964399583117015	-0.011327156430157843	0.26287250500047	-0.13796574865312433	-0.3252062382782929	-0.08724202626641651	0.33489992707236044	0.04505855213809447	-0.044517885372954265
HrcA	0.20119925451746212	-0.11952029819301516	-0.22615671339437646	0.12324771088242444	0.10703812316715543	-0.24187667125840695	0.00935960591133005	-0.10122358175750834	-0.11612903225806452	-0.19350546025523027	0.074972191323693	-0.06790529123601469	0.3297909305548384	-0.2885375494071146	-0.45263157894736844	0.008695652173913044	0.19355509389641962	0.2254032258064516	-0.03342525289517501	-0.258489256518731	-0.16623367409664078	0.15844240585670646	-0.12128253958767096	0.37781852147213174	0.3941838649155722	-0.05404748399643465	-0.20989505402457675	0.12575070573061434
HutC	-0.48545498744023985	-0.22388785349647516	0.22129487075601653	-0.36893282554087997	-0.22287390029325513	0.19277206061097155	-0.20394088669950738	0.603559510567297	0.33991935483870966	0.4549721807731106	0.27119021134593996	0.4533509766151136	-0.39282845897823554	0.28289102202145683	0.42406015037593986	-0.11565217391304349	0.11863054142038622	0.18064516129032257	0.09208657172620717	0.3289308481771238	-0.1013321291454661	0.028377744332544443	-0.4490197913603275	0.02053162270979076	-0.13358348968105066	0.15582205655943604	0.1266663974673411	-0.08451827315271206
HypR	0.008184101774572563	-0.09359047078842882	-0.13896766874645491	0.2819058423142371	-0.04875366568914956	-0.4480187991248683	0.08226600985221674	0.5132369299221357	-0.06129032258064516	-0.28155379251669316	0.0033370411568409346	0.13207863098235592	0.05030021573038125	0.18238283455674761	0.3699248120300752	0.03130434782608696	0.41104441983379436	-0.1528225806451613	-0.34962814528353064	0.12597537122076435	-0.08418832481874072	-0.3300331665874919	0.11601415777752778	0.29147571525506527	0.124953095684803	-0.4660076168868001	-0.14668341613300537	-0.19597725922485032
Irr	-0.3793047565027145	-0.06976744186046512	0.4553115630824082	-0.2827161494206304	-0.05205278592375367	0.19244793776841423	-0.30344827586206896	0.40556173526140155	0.035483870967741936	0.02711754719839732	0.07764182424916574	0.18692209200451357	-0.46000358579235756	-0.18690005646527386	0.3954887218045113	-0.02782608695652174	0.046827845297520876	-0.2310483870967742	0.11381298610807093	0.39405444838605874	0.08449446418171797	-0.11001105552916396	0.14169751910197576	-0.1539871703234307	-0.46116322701688556	-0.09715582205655944	0.2936099539502091	-0.0776188222831029
IscR	-0.3493233935661616	-0.17494530427031846	0.21432622964103396	-0.36212624584717606	-0.33284457478005863	0.32242119763390326	-0.4083743842364532	0.44160177975528364	0.18467741935483872	0.32474099731414074	0.21334816462736375	0.2687816366366985	-0.3781440411601726	0.026538678712591756	0.2932330827067669	-0.2373913043478261	-0.16233653036473905	0.025	0.08924542523011729	0.21795046924007672	0.28930169801349087	-0.09657892321175958	-0.21962566671034353	-0.31035747542567643	-0.34015009380863037	0.2305323717689004	0.10527168925788617	-0.0034497254348045737
