	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	0.02897937599153887	-0.18556319407720784	-0.10719196192490746	0.09052877664646714	0.47244843997884717	-0.176467477525119	0.4119625646827976	0.49160217854960725	0.4454642480046236	0.528265601162393	0.3460328956774	0.23966155473294554	-0.21168693812797462	0.23355138319777233	0.545756569012383	-0.2	0.07785714285714286	0.2190775681341719	-0.011043654253788554	0.09988100047643342	-0.036002337814143776	-0.09675990022842326	0.21205890525145873	0.4867203578607306	-0.06768546818560711	-0.07013658179767315	-0.47090204884713704	0.42561085972850676	-0.22064662507090188	0.3262017227007502
AgaR	-0.14056054997355896	-0.09910100475938657	0.34357482813326284	-0.3250484481220585	-0.24219989423585406	-0.1643574828133263	-0.3365076861229541	-0.20486731521502163	0.01669156885192217	-0.02449516679082182	0.047609064408578164	-0.14732945531464833	-0.22480169222633528	-0.09080416216585548	-0.4048625792811839	0.14285714285714285	-0.25020408163265306	0.022335107240767618	-0.08326105824845821	-0.0335052230880702	0.09754529514903565	0.11258833340945978	-0.20372325646012782	-0.38800213905371334	-0.3025840511253126	0.03608342563538185	0.23036622484423414	-0.24407239819004525	-0.1234097723037031	-0.39144206724090025
AmtR	0.32982548915917503	0.1671602326811211	-0.0434690639873083	0.006059860346365622	0.00026441036488630354	0.1742993125330513	0.2082911255626185	-0.011257238877613025	-0.0843543223820926	0.1622551750648239	-0.16756561020024788	-0.11729243786356425	0.36218931782125857	-0.05848403664919505	0.1961643008154636	-0.02857142857142857	0.09755102040816327	0.03644573455894211	-0.13865279005541858	-0.15060161443295958	-0.27790765634132086	0.21223864317528973	0.14843011947763268	-0.03934468733805613	0.13948318977493748	-0.19349083311726495	0.09127835342414876	-0.03339366515837104	-0.03703103476217486	0.026173937204779105
AraR	-0.060549973558963514	-0.24579587519830778	-0.061501850872554206	0.008705281614322187	-0.11607615018508725	0.15452141723955579	-0.21193824643822856	-0.0714401698002365	-0.15291355403474477	-0.2647907286148342	-0.04246316873591359	-0.0733474352194606	-0.10259122157588578	-0.16237015438131783	-0.21458773784355178	0.08571428571428572	-0.17469387755102042	-0.28342202870504757	0.29580803749938345	0.13211688598894925	-0.08334307422559907	-0.028931623083946756	-0.13892747985551543	-0.07535123398762808	0.10186162823006391	0.10351298146893427	0.019626086181211335	-0.2648868778280543	0.288712422007941	-0.09480411225340372
ArgR	-0.1538339502908514	-0.0005288207297726071	0.20698043363299842	-0.1929619489987388	-0.3442622950819672	-0.05293495505023797	-0.30992422729628527	-0.170265738023897	-0.054727854905790844	-0.2509236300596996	0.035411385777076955	-0.05790586991010047	-0.10946589106292967	-0.04886495167399849	-0.440048323769254	0.02857142857142857	-0.3025510204081633	-0.06128043863892921	0.0684590923376212	0.02356207874622774	0.1108708357685564	0.14039132038832394	-0.23534315087524313	-0.3915347345395849	-0.1340372325646013	0.19499815439274126	0.2669209730395709	-0.44199095022624435	0.20476460578559275	-0.3440955821061406
BioQ	0.14257006874669487	0.13802221047065044	-0.21047065044949761	0.2255683041619244	0.19196192490745637	0.04833421470121629	0.3016574199782358	-0.04694124288389277	-0.07432230529717775	0.11377093997059391	-0.22500905300547389	-0.012533051295610787	0.15150713907985194	-0.06540977783133657	0.38356991845363936	-0.02857142857142857	0.06979591836734694	-0.001854539590388647	-0.09846776541466967	-0.0913658609070896	-0.01858562244301578	0.18082952620213724	0.2532925812725757	0.15063764970946036	0.19299805501528203	-0.25298388101055436	-0.07639601319195059	0.176289592760181	-0.045458228668665425	0.2926924145595999
BirA	-0.11316763617133792	-0.3321523003701745	0.08439978847170809	-0.069488449352487	-0.10216816499206768	-0.07763088313061872	-0.25610893259839473	-0.12253071547555715	-0.09455709720462303	-0.25396022098418164	0.015208980543653073	-0.034743521946060285	-0.2694870438921206	-0.10234706413609133	-0.33977650256720027	-0.08571428571428572	-0.24959183673469387	-0.1719077568134172	0.08274067663440535	-0.06878222987535168	-0.018351841028638224	0.06102893280410082	-0.25812725757154764	-0.11009382445418177	-0.09146985273687136	0.1129568106846736	0.09524697748606828	-0.21429864253393666	0.3455959808767523	-0.20733537093637122
CadR-PbrR	0.16668429402432575	0.11819143310417768	-0.3913802221047065	0.22944415392660494	-0.02628239026969857	0.2994711792702274	0.07083519211740412	0.0318594292593984	-0.013703308443649658	0.06073181848964088	-0.14858297282997412	-0.22654680063458488	0.1717609730301428	-0.14774914521901908	0.1611295681063123	0.3142857142857143	0.1389795918367347	-0.03692952749556523	0.055680832703656424	0.2361496781187584	0.08012857977790766	0.01775537287264097	0.17821617115865518	0.04184019057119478	0.4425673798277299	-0.04048234282707801	0.13397206696526726	0.04126696832579185	-0.2227534235475245	0.11480966935259794
CblR	0.09270227392913802	-0.18434690639873083	0.19365415124272872	-0.20335906979605647	-0.12427287149656266	-0.034849286092014806	-0.14264294980163758	-0.09247533090808392	-0.06646744936686143	-0.16326737203965122	-0.00861461053349773	0.036065573770491806	-0.09243786356425172	0.03770681310277049	-0.10767139836907279	-0.08571428571428572	-0.28520408163265304	0.06636026447347201	-0.07875108426000005	-0.11693772414794508	-0.20695499707773232	0.08484040185035577	0.07957766046123924	-0.06326262741670968	-0.16693525979438734	-0.12221606994831379	-0.0243698321302245	-0.12823529411764706	0.3420306296086217	-0.1882189497082523
CcpA	-0.16049709148598626	-0.047540983606557376	0.17102062400846113	-0.12098188194038574	-0.2429402432575357	-0.21819143310417768	-0.2741013955847377	-0.3432375430856817	-0.14710779095581533	-0.1995040237384703	0.08736587319812743	-0.005869910100475939	-0.06483342147012162	-0.3216622015705728	-0.3249773482331622	0.37142857142857144	-0.2076530612244898	-0.11369134010643445	-0.04631396365070488	-0.33050377123496555	-0.0029807130333138515	-0.06714008439747492	-0.07879966657404834	-0.12321952327783312	-0.22117254792998056	-0.05601698046208895	0.06802469681133913	-0.23918552036199095	0.26926505145450125	-0.3283689913864962
