	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	-0.06617453725065393	0.05960401582151099	0.009075436384300908	-0.14305480195333695	0.2849808171319924	-0.0949217137590401	0.37013222610300606	0.3520204144465511	0.31887124104636966	0.33307108991978424	0.22643581304147797	0.1860358601268513	-0.0731148018232684	0.15069828660992324	0.4593742951186952	-0.19117647058823528	0.12871126232883023	0.2297000851979993	-0.10116366850262959	0.15920111476052426	0.13080696028619535	-0.15358733839667116	-0.006726907923156439	0.23977015437513624	-0.09440885264997088	-0.02551632924450337	-0.23809092428932513	0.17659606888307314	-0.417028587121034	0.24911714357879103
AgaR	-0.11025696845684876	-0.06824408186602943	0.3437413415813312	-0.18746608790016278	-0.3384723254966157	-0.06989499635286202	-0.3494199573299565	-0.2386818082862027	-0.09899694198739264	-0.10078891586575978	-0.02424304332702264	-0.22716541025916093	-0.11461758862665357	-0.16423651743967133	-0.4316502505244413	0.07058823529411765	-0.1822972184688301	0.020101329799445056	0.15890887887159538	0.01635340160292629	-0.016940766193384513	0.11071816629252014	-0.18777100557797713	-0.3961477759293329	-0.29440885264997085	0.16330586369481861	0.19035949923481799	-0.13640572440838955	0.12241524625446067	-0.35931499025920066
AmtR	0.103268014509843	0.14963486108382937	-0.06290606216532561	0.01420238741182854	-0.005009881227384379	0.11445227903715557	0.005562154594960428	-0.13873552640061076	-0.1365838401342773	-0.02340523176327596	-0.15791176150266747	-0.2397197346498838	0.21228118422475437	-0.01336729357179673	0.136843040625484	-0.16176470588235295	0.08023722795967854	-0.0446805971135904	-0.1214791735839542	-0.2070190611723102	-0.058689642354518304	0.10317675207184526	0.10308767986135842	-0.029927525836536944	0.13598136284216658	-0.08146640897281499	0.22555264227557864	-0.2072691897609521	-0.14273676052545534	-0.11192336016249706
AraR	-0.06934105360204812	-0.13691225074340627	0.03498425228016805	0.036909929462832336	-0.22520151201245783	-0.0874464945066751	-0.2513496407630583	-0.14025755099785328	-0.08093613284716818	-0.1535435652369532	0.04102079557335748	-0.08873419099767225	-0.1196110428775582	-0.09500692796936858	-0.3476305374690742	0.047058823529411764	-0.2712152663555958	-0.08433174602592736	0.12745575416809463	-0.044217197434994825	-0.1351241033321911	0.12392009126577079	-0.04910933992039402	-0.2223217629086988	-0.06729178800232964	0.16745684548579046	0.1428463685352836	-0.11869571842960654	0.3439424393042988	-0.2584064670558353
ArgR	-0.12652494621213642	-0.15246776231963025	0.04679080129600624	0.10998372219207814	-0.2383369003772591	-0.14046287552798684	-0.2978526672871648	-0.22662498598647768	-0.09716122619966701	-0.18389824956859682	0.01676923994179586	-0.1312266204895153	-0.16080279912171375	-0.027110649111086463	-0.40675602705001507	0.27647058823529413	-0.15152072025091048	-0.07723619062579565	0.12470482298272653	-0.08784027128881912	-0.03229816760199121	0.11658041432558605	-0.050099447580079386	-0.24912775541429666	-0.09643564356435644	0.19904364646709086	0.24234766421129345	-0.23005426694344988	0.3731120770138605	-0.29654711810971823
BioQ	0.1869149366280113	0.036675044741326275	-0.13883438600856088	0.04513022246337493	0.166072473643656	0.08330741697813414	0.3246818835687386	0.09861077991056051	0.05251958172954973	0.2795734173180106	-0.05615567304366867	0.047220093992133276	0.11410862952973237	-0.03193107978531495	0.3909937867062405	-0.08235294117647059	0.0612485904166306	-0.0862661491802556	-0.1319351465407294	-0.10445172656841543	-0.08453683546227803	-0.0019343045129347034	0.15993150785270635	0.2679269449364992	0.14393709959231218	-0.2000067827649961	-0.14264853927608956	0.2092382705051186	-0.2524470090219736	0.21818777826008365
BirA	-0.11916279569514492	-0.16208040124350545	0.10661517322491815	0.10836950623982637	-0.23081076954921326	-0.15517582597780052	-0.35885143686054155	-0.2801868221806151	-0.11503270142456551	-0.13826788176120167	0.033504430665435785	-0.08604236288506681	-0.16025990941833113	-0.11165621689383151	-0.5050478814053827	0.2735294117647059	-0.18433358976974293	-0.14853746774405654	0.06301579976394096	-0.18471242126108928	-0.07921771938841506	0.09237194066677135	-0.07920861277482907	-0.22549928786889237	-0.14467093768200348	0.195082578875706	0.1542249617882374	-0.17055989874470567	0.3823815396637879	-0.2637499926777836
CadR-PbrR	0.25469535002830085	0.29023949607270066	-0.11420348202724327	-0.03917525773195876	-0.06536594468235149	0.3512278697886922	0.13788737720959443	0.09970007202427329	-0.09537490186811336	-0.12150615182428977	-0.17611958091155142	-0.11331126027788917	0.36362865434588765	0.028512334626287654	0.33151286065614255	-0.43529411764705883	0.07614349183928679	-0.05090361321857831	-0.006171336774254988	0.11962288225729531	0.04491560573068942	-0.01758674409919773	0.1154523772820174	0.0011898221216583911	0.26941176470588235	-0.17691864221521156	-0.0640148195957546	0.12743937459120291	-0.17391586216612018	0.11408798281027702
CblR	0.15914006463149657	-0.17475777563605147	0.05742121899225902	-0.1984264785675529	-0.02223912287505955	0.022363458504616882	-0.1079143344178256	-0.0017756953634496028	-0.17159415065085645	-0.1524071767666541	-0.1573159001849387	-0.12329816877969843	-0.04128789296246288	0.03798225871679327	0.06570106426034726	0.07647058823529412	-0.22132416948323155	0.05791685359086626	0.04360104206189618	0.023128810927588228	-0.11705147871843809	0.041136604871706436	0.06990742493649069	0.02937460849764863	-0.024100174723354687	-0.1781530845125267	0.0005798443803963279	-0.11523810640859992	0.11800738988946023	-0.17660228487816232
CcpA	-0.12347151973043487	-0.1312747207392277	0.0987554495026887	0.07730602278893109	-0.19025674227742911	-0.16679012275870647	-0.25221739378170943	-0.32702638307026466	-0.21508332781029396	-0.18311151908915899	0.0021451007438236325	-0.04460178219352756	-0.11285885219173698	-0.1144595879242339	-0.4161204109489618	0.5	-0.13469441512017205	-0.2437677234564971	0.035433454338967	-0.25364876042175505	-0.09664091703966156	0.07382397776053246	-0.01616787566639158	-0.12252368271618702	-0.1425160163075131	0.08771322960922849	0.10957694449772017	-0.13423739144606336	0.3009010183284122	-0.3124849254335153
