	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
AcnR	0.017609730301427817	0.08286620835536752	-0.047646747752511896	0.07336429911716755	0.3130618720253834	-0.11893178212585934	0.39429429021873114	0.3202540137105551	0.33331910382559665	0.36489700942525893	0.2130019631025899	0.12781597038603915	-0.03141195134849286	0.1708349491594908	0.4335548172757475	-0.7714285714285715	0.18785714285714286	0.24600870827285923	-0.059612604898722506	0.1934946466735672	0.02402104032729398	-0.12153483912048044	0.048346762989719363	0.246860365283339	-0.09196999166435121	0.0828411468338306	-0.2652467097634486	0.32416289592760184	-0.41220322502228346	0.2980272297860517
AgaR	-0.06282390269698572	-0.09381279746166049	0.3663141195134849	-0.38183272324587036	-0.33172924378635643	-0.0780539397144368	-0.3998865422279999	-0.2187945402366839	-0.0685165422182483	-0.10870995509645717	-0.04059539919546497	-0.20666314119513485	-0.11216287678476997	-0.1250481046775552	-0.4175475687103594	0.42857142857142855	-0.2136734693877551	0.0429769392033543	0.024689216577841427	0.004178236186199756	0.023378141437755698	0.08822631016560357	-0.20255626562934148	-0.422064137729411	-0.26718532925812727	0.06773717242038434	0.251635569426084	-0.3211764705882353	-0.05307511546876266	-0.4774103917754932
AmtR	0.21797990481226864	0.22258064516129034	-0.08339502908514014	0.10695499707773232	-0.03870967741935484	0.07831835007932311	0.1731977180261929	-0.17639948997644256	-0.13524012819153308	0.09615871260859805	-0.19447673868099744	-0.250502379693284	0.37657324167107353	0.09426703275692623	0.15478707339172457	0.3142857142857143	0.19489795918367347	-0.06845670053217223	-0.24509974021889885	-0.34245670007143575	-0.20005844535359438	0.06689233500855435	0.04856904695748819	-0.07924032993537664	0.15332036676854682	-0.2191768181177286	0.21390263596236492	-0.09592760180995476	-0.10072117332469006	-0.05812725757154765
AraR	-0.14706504494976202	-0.18096245372818615	0.10497091485986251	-0.07853209880340829	-0.20851401374933898	-0.041882601797990485	-0.21210034069936679	-0.16110119098891715	-0.16055496279304163	-0.2740017210857631	0.042806228447424564	0.011581173982020096	-0.1737704918032787	-0.03039630852162111	-0.30640289942615523	0.2571428571428571	-0.2590816326530612	-0.18795355587808418	0.18733738105903097	-0.039693243768897685	-0.021917007597895968	0.044264557487142135	-0.10875243123089748	-0.23791544460351732	-0.07290914142817449	0.18592346508120022	0.10861007881956287	-0.31085972850678734	0.3079977311401021	-0.25684912475687693
ArgR	-0.1850872554204125	-0.13172924378635642	0.1118455843469064	-0.08271555569226983	-0.2676890534108937	-0.14759386567953464	-0.30635815355124435	-0.18191986673373356	-0.06433297764666678	-0.2158003950331906	0.060340391480207554	-0.07964040190375463	-0.1904283447911158	-0.05925356344721078	-0.4013893083660526	0.6571428571428571	-0.18928571428571428	-0.07402031930333818	0.047586007596167434	-0.11897395317539686	0.0962010520163647	0.12530613537404914	-0.1648791330925257	-0.30273371039932645	-0.12097804945818283	0.12366186790642371	0.2590457346666994	-0.42380090497737555	0.2775301839397131	-0.3493748263406502
BioQ	0.21618191433104178	0.053305129561078794	-0.10861977789529349	0.09901873327386262	0.24304600740349022	0.014436805922792173	0.31195040556051307	0.11120131481026711	0.1319957311768372	0.4130775854270407	-0.019440050318955054	0.053516657852987835	0.10898995240613432	-0.09234321576188692	0.3899124131682271	-0.6	0.03642857142857143	-0.01128850185453959	-0.11708586316189436	-0.1852439524324639	-0.1288720046756283	0.046852162215868104	0.20844679077521533	0.29398324451689223	0.0648513475965546	-0.21431647604578458	-0.20928290951528675	0.37402714932126696	-0.09747994489911677	0.23828841344818005
BirA	-0.1907456372289794	-0.18556319407720784	0.14246430460074036	-0.06893475652896121	-0.1891062929666843	-0.2044420941300899	-0.3319690468110838	-0.24415940860515173	-0.0708217716760585	-0.15668809170327347	0.1012026148957366	-0.05314648334214701	-0.22406134320465362	-0.08272413078669037	-0.43068559347629115	0.2	-0.23234693877551021	-0.11820674084825028	-0.04376987575977977	-0.3073119159482745	0.020748100526008183	0.0777933081210595	-0.18771881078077243	-0.21905332925693688	-0.1865518199499861	0.06878306881561279	0.16944164451867288	-0.2973755656108597	0.30961834535288874	-0.3358710752986941
CadR-PbrR	0.2474881015335801	0.2900052882072977	-0.2145425700687467	0.11335322526069704	-0.06626123744050767	0.35224748810153356	0.13859059327318196	0.032220238197783434	-0.13067235871031652	-0.04342325022009323	-0.19581085978131788	-0.16573241671073505	0.37123215230037016	-0.16390920797734929	0.1505587435819994	-0.2	0.2838775510204082	-0.08442186744073536	0.10598438872876659	0.14198069673231956	0.13904149620105202	-0.11564390920614684	0.20672409002500694	-0.016107339050258563	0.3283689913864962	-0.015503875976327748	-0.05952936092879267	0.12615384615384614	-0.15193258244874808	0.1972770213948319
CblR	0.23146483342147012	-0.1496562665256478	0.21649920676890533	-0.22821372542988094	0.0016922263352723427	-0.012374405076679007	-0.09441990711301579	0.04120438076357075	-0.14582710792369855	-0.10496482628959598	-0.11320970479862061	-0.054732945531464836	-0.030936012691697514	-0.032704888915668286	-0.00347327091513138	-0.02857142857142857	-0.19448979591836735	0.10893404289630705	-0.07551315421700446	-0.04670104496727069	-0.19310344827586207	0.10892714799541134	0.006168380105584885	0.005412325193950061	-0.1828841344818005	-0.0454349698750716	-0.11357085889696227	0.07746606334841628	0.15857710072117331	-0.09480411225340372
CcpA	-0.1850872554204125	-0.05684822845055526	0.25309360126916974	-0.16699990771786274	-0.28852459016393445	-0.21877313590692754	-0.34671962457466227	-0.433944910195679	-0.32175026710214166	-0.30376031214568716	-0.012769444817352829	-0.03172924378635643	-0.06208355367530407	-0.33205081334378506	-0.4494110540622169	0.5428571428571428	-0.16989795918367348	-0.19738751814223512	-0.023359352453039665	-0.3169112813634043	-0.0001168907071887785	0.051118957247277955	-0.12681300361211448	-0.202719126276393	-0.24918032786885247	-0.07628891353431115	0.11419095640663719	-0.25547511312217197	0.2880641763228263	-0.4549597110308419
