	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2
AcnR	0.6205533596837944	0.4522868435911914	-0.49181253529079616	0.6533032185206098	-0.00846979107848673	-0.3958215697346132	0.029927760577915376	-0.5929824561403508	-0.2661654135338346	-0.6400501031749828	-0.41754385964912283	-0.6228119706380576	0.6973461321287409	0.05	-0.7470588235294118	0.18214285714285713	0.35714285714285715	-0.22255639097744362	-0.29901960784313725	-0.6575618448837062	-0.16043956043956045	-0.16703325917204404	0.2857142857142857	0.3088235294117647	0.3167701863354037	-0.295313382269904	-0.3145115753811406	0.04923189264976946
AgaR	-0.3551665725578769	-0.054771315640880856	0.42970073404856013	-0.5629587803500847	0.032185206098249576	0.2546583850931677	0.0196078431372549	0.28421052631578947	0.14586466165413534	0.226144120732814	0.2	0.11801242236024845	-0.4500282326369283	0.18823529411764706	0.5588235294117647	0.02857142857142857	-0.3333333333333333	-0.02857142857142857	0.19852941176470587	0.4461794516223763	0.015384615384615385	-0.09432466400303664	-0.1593984962406015	-0.23529411764705882	-0.0942970073404856	0.08526256352343309	0.21513269339356295	-0.1768913352183577
AmtR	-0.08413325804630152	-0.30886504799548276	-0.05138339920948617	-0.10784867306606437	0.00846979107848673	0.020892151326933936	0.08978328173374613	0.1824561403508772	-0.0481203007518797	-0.014523016927795396	-0.18771929824561404	0.15302089215132694	-0.17334839073969507	0.32941176470588235	0.19705882352941176	0.1357142857142857	0.7619047619047619	-0.5533834586466165	0.022058823529411766	0.10406517822096241	0.26593406593406593	-0.6203156722977479	0.031578947368421054	0.2911764705882353	-0.15302089215132694	-0.023150762281197064	0.11349520045172219	0.017173916040617253
AraR	-0.6081309994353472	-0.3145115753811406	0.30547713156408807	-0.5392433653303218	-0.09542631281761717	0.2354601919819311	-0.16615067079463364	0.5368421052631579	0.2661654135338346	0.5041561590648973	0.43333333333333335	0.35064935064935066	-0.52343308865048	0.023529411764705882	0.6294117647058823	-0.05714285714285714	-0.38095238095238093	0.24661654135338346	0.07107843137254902	0.5495942224794577	0.12527472527472527	0.07074349800227749	-0.3804511278195489	-0.2823529411764706	-0.18238283455674761	0.13043478260869565	0.35742518351214003	-0.13739132832493803
ArgR	-0.5324675324675324	-0.3020892151326934	0.3901750423489554	-0.5731225296442688	-0.04912478825522304	0.2761151891586674	-0.07739938080495357	0.5210526315789473	0.1924812030075188	0.44191465794577417	0.34385964912280703	0.4138904573687182	-0.5979672501411631	0.09705882352941177	0.7088235294117647	-0.22857142857142856	-0.47619047619047616	0.13533834586466165	0.16666666666666666	0.5450413709322905	0.046153846153846156	-0.01768587450056937	-0.3037593984962406	-0.27647058823529413	-0.2264257481648786	0.1756070016939582	0.37775268210050816	-0.12136234002036192
BioQ	0.7786561264822134	0.3687182382834557	-0.4376058723884811	0.7018633540372671	0.18012422360248448	-0.23433088650479955	0.21981424148606812	-0.7456140350877193	-0.4330827067669173	-0.4761474835612919	-0.5280701754385965	-0.4997176736307171	0.6352343308865048	0.052941176470588235	-0.6147058823529412	0.025	0.047619047619047616	-0.2887218045112782	-0.15931372549019607	-0.5079681511910727	-0.15164835164835164	-0.026856327945309042	0.3518796992481203	0.20588235294117646	0.20609824957651043	-0.054771315640880856	-0.2795031055900621	0.04751450104570773
BirA	-0.4850367024280068	-0.3145115753811406	0.39920948616600793	-0.5448898927159797	0.01637492941840768	0.3687182382834557	-0.05263157894736842	0.4842105263157895	0.11729323308270677	0.4398399412418034	0.21052631578947367	0.3958215697346132	-0.6092603049124788	0.19117647058823528	0.65	-0.20357142857142857	-0.38095238095238093	0.03308270676691729	0.22549019607843138	0.42211437915877875	0.17802197802197803	-0.04061200811241855	-0.10977443609022557	-0.4176470588235294	-0.3404856013551666	0.25691699604743085	0.3743647656691135	-0.030913048873111054
CadR-PbrR	0.24449463579898362	0.22868435911914173	-0.4782608695652174	0.551665725578769	0.010728402032749858	-0.23771880293619424	0.17234262125902994	-0.2543859649122807	0.24962406015037594	-0.04668112583934234	0.18596491228070175	-0.22755505364201017	0.3337097684923772	0.0058823529411764705	-0.36470588235294116	0.25	-0.2857142857142857	0.2796992481203007	-0.40441176470588236	0.017560998824787406	-0.2923076923076923	0.24105191911887142	-0.1924812030075188	0.27058823529411763	0.30660643704121965	-0.053642010163749296	-0.08752117447769622	0.03320290434519335
CblR	0.055900621118012424	0.1541501976284585	0.21626199887069453	-0.18012422360248448	0.21513269339356295	-0.30773574251835123	0.16615067079463364	-0.06315789473684211	-0.13082706766917293	-0.16079054455773473	-0.12105263157894737	-0.005081874647092038	0.08413325804630152	0.07941176470588235	0.07058823529411765	-0.15	0.3333333333333333	-0.061654135338345864	0.029411764705882353	-0.07414643948243571	0.38461538461538464	-0.048472396779338275	-0.20300751879699247	-0.01764705882352941	0.36645962732919257	-0.4138904573687182	0.044607566346696784	-0.19406525125897495
CcpA	-0.13495200451722192	-0.08752117447769622	-0.018633540372670808	-0.11462450592885376	-0.029926595143986448	0.006211180124223602	0.2301341589267286	-0.18421052631578946	-0.06015037593984962	-0.030083392207576175	0.41228070175438597	-0.028797289666854884	-0.17334839073969507	-0.37058823529411766	0.19117647058823528	-0.075	-0.2857142857142857	0.18646616541353384	-0.5147058823529411	0.30048820211302896	0.10329670329670329	0.05240259111279813	-0.19548872180451127	-0.3205882352941177	0.01637492941840768	0.03670242800677583	0.12027103331451157	-0.006869566416246901
